adm_id,GID_1,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
1,KEN.1_1,-0.001212635,-0.001064354,-0.002883168,-0.00043039,-0.103073987,0,-0.000990071,-0.000847072,-0.002831436,-0.000281675,-0.084156031,0,-0.000916055,-0.000809538,-0.002751499,-0.000342502,-0.077864674,0,-0.001242731,-0.001124856,-0.002953901,-0.000653088,-0.105632166,0,-0.002060555,-0.001879846,-0.004130279,-0.000957267,-0.175147162,0,-0.003156497,-0.003165853,-0.003579128,-0.002683207,-0.268302265,0,-0.003324317,-0.003327126,-0.003819538,-0.00276172,-0.282566923,0,-0.003796146,-0.003827685,-0.004220559,-0.003213592,-0.322672373,0,-0.003987269,-0.00409478,-0.004642151,-0.00308334,-0.338917905,0,-0.003788582,-0.003815519,-0.004393114,-0.002962654,-0.3220295,0,-0.003512187,-0.003599285,-0.004179769,-0.002119005,-0.298535859,0,-0.00337077,-0.003394779,-0.003849329,-0.002638088,-0.286515458,0
2,KEN.2_1,-0.004080329,-0.004099836,-0.004451082,-0.003504647,-0.073445927,0,-0.003465938,-0.00350653,-0.004070406,-0.002754127,-0.062386876,0,-0.003310538,-0.003345635,-0.003997107,-0.002577453,-0.05958968,0,-0.00311349,-0.003005755,-0.004095883,-0.002168906,-0.05604282,0,-0.003983735,-0.004008283,-0.004486552,-0.003148338,-0.071707233,0,-0.003142791,-0.003146461,-0.003561136,-0.002739242,-0.056570245,0,-0.003361282,-0.003398826,-0.003974868,-0.002444267,-0.06050307,0,-0.003317246,-0.00326807,-0.00434866,-0.002126891,-0.059710433,0,-0.003648285,-0.003539128,-0.004655772,-0.002662085,-0.065669125,0,-0.00363957,-0.003702165,-0.004302118,-0.002557998,-0.065512257,0,-0.003731609,-0.003730621,-0.004210608,-0.003157434,-0.067168962,0,-0.003506184,-0.003492055,-0.003876106,-0.003146998,-0.06311131,0
3,KEN.3_1,-0.002656487,-0.002590734,-0.004004683,-0.001223452,-0.082351092,0,-0.002122489,-0.001998278,-0.003891197,-0.000962184,-0.065797153,0,-0.002465187,-0.002198387,-0.004194687,-0.00092956,-0.076420792,0,-0.002423489,-0.002340689,-0.003718166,-0.001191462,-0.075128159,0,-0.00293437,-0.002914326,-0.003353372,-0.002340339,-0.090965459,0,-0.002569606,-0.002549701,-0.002754314,-0.00243326,-0.079657796,0,-0.002803339,-0.002791253,-0.003057636,-0.00263278,-0.086903495,0,-0.002988266,-0.002954797,-0.003215012,-0.002802301,-0.092636237,0,-0.00321051,-0.003175117,-0.003443546,-0.003020069,-0.099525825,0,-0.002919846,-0.002894766,-0.003297509,-0.002656164,-0.090515215,0,-0.003018955,-0.002994604,-0.003431371,-0.002764857,-0.093587595,0,-0.00283062,-0.00284525,-0.003115876,-0.002601114,-0.087749213,0
4,KEN.4_1,-0.003692921,-0.003635687,-0.005148841,-0.002874358,-0.055393819,0,-0.003467425,-0.002906999,-0.005724736,-0.002315832,-0.052011377,0,-0.003501965,-0.003023744,-0.005569736,-0.002405752,-0.052529479,0,-0.003538479,-0.003224356,-0.005074026,-0.002754544,-0.053077178,0,-0.003390656,-0.003427259,-0.004352471,-0.002782315,-0.050859847,0,-0.003085782,-0.003107337,-0.003922526,-0.002518172,-0.046286735,0,-0.003263968,-0.00324843,-0.004237948,-0.002685514,-0.048959523,0,-0.00359475,-0.00362872,-0.004683985,-0.002924257,-0.053921257,0,-0.003835184,-0.003870483,-0.005031959,-0.003144541,-0.057527759,0,-0.003429511,-0.003437796,-0.004448086,-0.002775726,-0.051442662,0,-0.003536816,-0.003563098,-0.00455703,-0.002846521,-0.053052246,0,-0.003293864,-0.003309993,-0.004165412,-0.002685448,-0.04940796,0
5,KEN.5_1,-0.001970175,-0.001699392,-0.003395106,-0.000952674,-0.051224539,0,-0.001436898,-0.001230459,-0.00254722,-0.000778136,-0.037359356,0,-0.001401692,-0.0012551,-0.002479361,-0.000831591,-0.036443995,0,-0.001699075,-0.001646848,-0.002576807,-0.001141184,-0.044175937,0,-0.00301832,-0.003187543,-0.004147566,-0.001837881,-0.078476329,0,-0.003423967,-0.003350894,-0.00405796,-0.002869504,-0.089023149,0,-0.003642097,-0.003578385,-0.004240613,-0.00316263,-0.094694526,0,-0.003879347,-0.003786033,-0.00454196,-0.003313985,-0.10086301,0,-0.004218531,-0.004199999,-0.004916711,-0.003522272,-0.109681806,0,-0.004027613,-0.00403504,-0.00445685,-0.003409761,-0.104717948,0,-0.003716499,-0.00377641,-0.004262262,-0.003073546,-0.096628971,0,-0.003629068,-0.00356824,-0.004257744,-0.003003895,-0.094355768,0
6,KEN.6_1,-0.002675221,-0.002569601,-0.003913846,-0.001654744,-0.061530085,0,-0.001912886,-0.001806743,-0.003872684,-0.000944605,-0.043996382,0,-0.001833213,-0.001618758,-0.004149416,-0.000840989,-0.042163889,0,-0.002659446,-0.002585008,-0.003591981,-0.00207967,-0.061167269,0,-0.003114005,-0.003070743,-0.003785026,-0.002571405,-0.071622115,0,-0.002201507,-0.002099921,-0.003104225,-0.001462283,-0.050634655,0,-0.001760829,-0.001501345,-0.003138048,-0.000775027,-0.040499076,0,-0.001675251,-0.001273784,-0.003466103,-0.000564103,-0.038530764,0,-0.001801722,-0.00131157,-0.003906562,-0.000663629,-0.041439603,0,-0.003157169,-0.003132238,-0.003909298,-0.002583533,-0.072614893,0,-0.003329662,-0.00334677,-0.003655649,-0.003052346,-0.076582227,0,-0.003324787,-0.003308073,-0.003654571,-0.003160816,-0.076470095,0
7,KEN.7_1,-0.000415363,-0.000275833,-0.00172904,-4.42E-05,-0.150361413,0,-0.000292663,-0.000260197,-0.000761022,-7.06E-05,-0.105943874,0,-0.000203498,-0.000132877,-0.000765013,-5.60E-05,-0.073666404,0,-0.000966486,-0.000895288,-0.001705907,-0.000629398,-0.34986802,0,-0.001686053,-0.00158541,-0.003622733,-0.00083768,-0.610351111,0,-0.000586945,-0.000232567,-0.003225486,-5.31E-05,-0.212474005,0,-0.00043186,-0.000265867,-0.002668975,-4.63E-05,-0.156333312,0,-0.000407403,-0.00031381,-0.00229117,-5.77E-05,-0.147479922,0,-0.000657556,-0.00054983,-0.0024389,-6.53E-05,-0.238035431,0,-0.002205929,-0.002202202,-0.003891563,-0.001270096,-0.798546274,0,-0.002832002,-0.002660043,-0.004351819,-0.00215431,-1.025184865,0,-0.003233076,-0.003185813,-0.004818767,-0.002126829,-1.170373495,0
8,KEN.8_1,-0.004381044,-0.004231777,-0.005455794,-0.003322798,-0.157717581,0,-0.00394109,-0.003553213,-0.006024263,-0.00239281,-0.141879247,0,-0.004066025,-0.003801132,-0.005857343,-0.002658583,-0.146376895,0,-0.004229698,-0.004068182,-0.005414431,-0.003316649,-0.152269119,0,-0.004188806,-0.004104773,-0.004835083,-0.00364279,-0.150797018,0,-0.003628577,-0.003500574,-0.004344008,-0.003134049,-0.130628784,0,-0.003890222,-0.003755414,-0.004717365,-0.003300129,-0.140047985,0,-0.003952817,-0.003885423,-0.004878193,-0.002863001,-0.142301425,0,-0.004280233,-0.004205053,-0.005160778,-0.003502227,-0.154088388,0,-0.003988941,-0.003867821,-0.004822919,-0.003301284,-0.14360188,0,-0.004014618,-0.003926658,-0.004780873,-0.00337321,-0.144526232,0,-0.00373,-0.003661661,-0.004288255,-0.003222409,-0.134280002,0
9,KEN.9_1,-0.001138982,-0.001077315,-0.002030865,-0.000358639,-0.24032525,0,-0.000446068,-0.000381695,-0.001130314,-0.000175119,-0.094120331,0,-0.000531499,-0.000500517,-0.001032988,-0.000294289,-0.112146361,0,-0.001068208,-0.001014169,-0.001756856,-0.0006407,-0.225391978,0,-0.001225302,-0.001182207,-0.001917875,-0.000465428,-0.258538727,0,-0.000311898,-0.000156181,-0.002350787,-6.29E-05,-0.06581038,0,-0.000149351,-7.73E-05,-0.001940353,-3.25E-05,-0.031512981,0,-0.00015885,-7.14E-05,-0.002708668,-2.84E-05,-0.03351737,0,-0.00019389,-9.01E-05,-0.002560778,-3.96E-05,-0.040910697,0,-0.002129981,-0.002202338,-0.003122291,-0.001083818,-0.449425956,0,-0.002748505,-0.002723568,-0.003543445,-0.002082144,-0.579934579,0,-0.003057119,-0.003022503,-0.003748565,-0.002391947,-0.645052114,0
10,KEN.10_1,-0.002226148,-0.002195364,-0.004139984,-0.000637616,-0.396254338,0,-0.001336738,-0.001146935,-0.004335125,-0.000178379,-0.237939281,0,-0.001018428,-0.000775155,-0.004112473,-0.000140463,-0.181280272,0,-0.001681339,-0.001576096,-0.003601024,-0.000928911,-0.299278408,0,-0.00273249,-0.002714973,-0.003408444,-0.002080132,-0.486383267,0,-0.001744419,-0.001757179,-0.002967217,-0.000517486,-0.310506504,0,-0.001035743,-0.00087283,-0.003124647,-0.00015375,-0.184362207,0,-0.000905185,-0.000787353,-0.003130584,-0.000269097,-0.161122919,0,-0.000993491,-0.000838677,-0.003568256,-0.000167436,-0.176841471,0,-0.002573841,-0.002596835,-0.003369369,-0.001794828,-0.458143766,0,-0.003022001,-0.003030225,-0.003571931,-0.002250603,-0.537916151,0,-0.003150186,-0.003135987,-0.003735596,-0.002732018,-0.560733123,0
