adm_id,GID_1,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
1,KEN.1_1,-0.884367698,-0.75414568,-2.528677884,0.192129397,-75.17125435,0,-0.976104138,-0.832282818,-2.833682641,0.25953791,-82.9688517,0,-0.855884695,-0.732149302,-2.614068889,0.384438853,-72.75019909,0,-0.663235186,-0.686474987,-2.293603363,0.684948246,-56.37499082,0,-0.600388441,-0.595021625,-1.885569093,0.391549593,-51.03301745,0,0.09010372,0.083403754,-0.118501905,0.359533583,7.658816193,0,0.014175556,0.046838345,-0.602095726,0.287847834,1.204922267,0,0.004642872,0.078515532,-0.712077853,0.297917434,0.394644152,0,-0.128406273,-0.024682207,-1.147834431,0.242410346,-10.91453319,0,-0.310246709,-0.329433265,-1.423325583,0.674995014,-26.37097023,0,-0.395073999,-0.402398346,-1.284034342,0.483027067,-33.58128987,0,-0.228210858,-0.229091421,-1.038274118,0.545089074,-19.39792289,0
2,KEN.2_1,-0.677282812,-0.678778746,-1.034971205,-0.365349698,-12.19109062,0,-0.784917803,-0.716946297,-1.37520269,-0.408279169,-14.12852045,0,-0.572654475,-0.515258838,-1.067745555,-0.26463055,-10.30778055,0,-0.691855297,-0.586054265,-1.490313832,-0.026188871,-12.45339535,0,-1.794305687,-1.767263043,-2.634656528,-0.692163879,-32.29750237,0,-0.661597465,-0.617683993,-1.048539614,-0.352424372,-11.90875438,0,-0.910834452,-0.871819222,-1.364554145,-0.506486388,-16.39502014,0,-1.323408265,-1.289857298,-1.911023421,-0.725186821,-23.82134877,0,-1.436170434,-1.410347098,-2.014110428,-0.769295429,-25.85106781,0,-1.626734093,-1.608887398,-2.41098937,-0.602085749,-29.28121367,0,-0.825505979,-0.790875194,-1.210180296,-0.510989203,-14.85910761,0,-0.220639244,-0.1956403,-0.41671567,-0.095303302,-3.9715064,0
3,KEN.3_1,-0.914444059,-0.982564302,-1.638631621,-0.111228183,-28.34776582,0,-0.95804833,-1.04379552,-1.794194297,-0.024781772,-29.69949824,0,-0.79994717,-0.854916172,-1.489552978,0.067564709,-24.79836228,0,-0.444396272,-0.525908931,-1.111021678,0.174219656,-13.77628444,0,-0.382155117,-0.421088839,-0.98493136,0.113677061,-11.84680861,0,-0.1234106,-0.120464176,-0.39399759,0.112622705,-3.825728601,0,-0.152783786,-0.111236238,-0.396543766,0.058956687,-4.736297381,0,-0.346709121,-0.336481953,-0.656048242,0.012586033,-10.74798276,0,-0.42829378,-0.433560738,-0.738524394,-0.099702214,-13.27710717,0,-0.511543271,-0.555995827,-1.227304682,0.187929143,-15.8578414,0,-0.645953277,-0.691523766,-1.198412853,-0.136727819,-20.02455159,0,-0.656278555,-0.70749846,-1.177993429,-0.111599736,-20.34463521,0
4,KEN.4_1,-0.073063623,-0.100648527,-0.200698697,0.176338477,-1.095954343,0,0.12941618,0.069259354,-0.038019987,0.605599183,1.941242694,0,0.122646316,0.097900432,-0.061834913,0.538979867,1.839694734,0,0.229711602,0.175502634,-0.034761339,0.789806661,3.44567403,0,0.09134333,0.072469981,-0.017554024,0.250008654,1.370149957,0,-0.177412199,-0.218452483,-0.302831321,0.060256856,-2.661182984,0,-0.027590343,-0.066060695,-0.129731154,0.221065573,-0.413855147,0,-0.078397063,-0.102458918,-0.23878295,0.292831903,-1.175955947,0,-0.182712182,-0.215173173,-0.33459654,0.118981164,-2.740682733,0,0.198459975,0.181905109,0.098279177,0.32048433,2.976899625,0,-0.162227007,-0.173068437,-0.269127597,-0.013057174,-2.433405111,0,-0.157077285,-0.168971693,-0.293214075,0.031765745,-2.356159281,0
5,KEN.5_1,-1.19630882,-1.305570483,-1.938766918,-0.203144596,-31.10402933,0,-1.416141905,-1.57768182,-2.263722069,-0.341035977,-36.81968952,0,-1.232363288,-1.397132518,-1.964159263,-0.236600063,-32.04144549,0,-1.042618545,-1.106718775,-1.65626209,0.049286837,-27.10808217,0,-0.828103039,-0.971648074,-1.280069822,0.05793174,-21.53067901,0,0.035365747,0.005552851,-0.095645662,0.429920612,0.919509413,0,0.05150949,0.08615897,-0.144596719,0.220270199,1.33924673,0,-0.062358134,-0.024173667,-0.405496289,0.152642961,-1.621311495,0,-0.09766763,-0.075737276,-0.39676983,0.16558977,-2.539358372,0,-0.866391927,-0.96203726,-1.424426484,-0.253733958,-22.52619011,0,-0.841942946,-0.898490602,-1.349264134,-0.282921245,-21.89051661,0,-0.592468542,-0.625805608,-1.078136058,-0.002135313,-15.40418209,0
6,KEN.6_1,-1.145015289,-1.199568551,-1.427121186,-0.572657832,-26.33535164,0,-1.399122174,-1.467001057,-1.728374128,-0.703403872,-32.17981,0,-1.305077657,-1.341992455,-1.583030008,-0.696342748,-30.01678611,0,-1.078652984,-1.094011378,-1.257420601,-0.551865097,-24.80901864,0,-0.366369271,-0.391539906,-0.813505409,0.009237655,-8.426493242,0,-0.208149719,-0.136176309,-0.620456097,0.055174861,-4.787443537,0,-0.360395026,-0.281426036,-0.744726678,-0.070075322,-8.289085592,0,-0.393267472,-0.304207185,-0.769033,-0.067929098,-9.045151845,0,-0.627043546,-0.552709489,-0.994123687,-0.319187733,-14.42200156,0,-0.825529214,-0.875040358,-1.089602336,-0.335512162,-18.98717192,0,-0.899876843,-0.944654086,-1.047845707,-0.50200655,-20.69716739,0,-0.807515294,-0.82763496,-1.027865522,-0.357269261,-18.57285177,0
7,KEN.7_1,-2.587935504,-2.626266246,-4.428023285,-1.342741612,-936.8326524,0,-2.813507757,-2.82303485,-4.156007894,-1.726950286,-1018.489808,0,-2.63931792,-2.622166447,-3.707088977,-1.818905623,-955.4330869,0,-1.572171873,-1.597362995,-2.42807293,-0.947709187,-569.1262182,0,-0.367787852,-0.13681591,-2.054548697,0.342823498,-133.1392025,0,-0.537766731,-0.429894743,-1.991149277,0.929898377,-194.6715566,0,-0.779772295,-0.651651864,-2.242703178,0.252986363,-282.2775706,0,-0.828667439,-0.680847774,-2.158813386,-0.027591739,-299.9776129,0,-0.973893758,-0.77912782,-2.340365674,-0.285123402,-352.5495403,0,-0.836741027,-0.743394894,-1.972920197,-0.326915608,-302.9002519,0,-0.899988335,-0.912509479,-1.407746141,-0.560928452,-325.7957774,0,-1.018327854,-1.008422045,-2.314632755,-0.483160676,-368.634683,0
8,KEN.8_1,0.33849755,0.225758769,-0.154244047,0.91494404,12.18591181,0,0.662390063,0.566866676,0.000457789,1.407324893,23.84604225,0,0.610246222,0.527318598,0.004586116,1.279592328,21.96886398,0,0.588057811,0.504504778,-0.070609257,1.378185483,21.17008119,0,-0.005489019,-0.004194707,-0.449213806,0.340407833,-0.197604681,0,-0.252475529,-0.231188789,-0.451931971,-0.146749962,-9.089119056,0,0.031759303,0.037952149,-0.375199096,0.393153276,1.143334898,0,0.082502547,0.039614145,-0.436672395,0.535357032,2.970091707,0,-0.183924916,-0.194383096,-0.594031651,0.141587854,-6.621296971,0,-0.001004379,-0.013126081,-0.332930844,0.267632184,-0.036157636,0,-0.053592666,-0.100098094,-0.28767979,0.189613834,-1.929335986,0,0.171847443,0.089249883,-0.082152,0.537515396,6.18650795,0
9,KEN.9_1,-1.975224491,-2.02632621,-3.065995894,-0.715654272,-416.7723676,0,-2.393660785,-2.505586102,-3.378265863,-1.016141845,-505.0624255,0,-2.418697232,-2.613690101,-3.23561944,-1.105011421,-510.345116,0,-2.366073001,-2.475029051,-3.342561759,-1.022236589,-499.2414032,0,-2.486756005,-2.46668251,-4.032963294,-0.683975273,-524.705517,0,-2.215109785,-2.254886389,-3.643864692,-0.414243843,-467.3881645,0,-2.459396819,-2.501123166,-4.017474377,-0.569374543,-518.9327288,0,-2.551441071,-2.540775921,-4.206852375,-0.604074924,-538.3540661,0,-2.695958671,-2.696469349,-4.316160027,-0.803920644,-568.8472796,0,-2.152293275,-2.21715428,-3.455806753,-0.594757889,-454.133881,0,-1.314442891,-1.377532074,-1.881612404,-0.506055343,-277.3474499,0,-0.8816673,-0.900463152,-1.461550518,-0.203046122,-186.0318003,0
10,KEN.10_1,-1.849284389,-2.003199559,-2.952351441,-0.4036352,-329.1726212,0,-2.410278417,-2.577215908,-3.84090084,-1.006246637,-429.0295583,0,-2.233919804,-2.424739876,-3.386609245,-1.132581316,-397.6377251,0,-1.971106644,-2.142119064,-2.978189391,-0.628411443,-350.8569826,0,-1.360273882,-1.527279797,-2.444976615,0.587787706,-242.1287509,0,-0.631344389,-0.642371915,-1.596437863,0.473265362,-112.3793013,0,-1.180702039,-1.238637048,-2.028760258,0.120128903,-210.164963,0,-1.58188889,-1.694170886,-2.462631805,-0.117372095,-281.5762224,0,-1.965440819,-2.114838933,-3.051617363,-0.53180347,-349.8484658,0,-1.80065857,-2.022222812,-3.070844376,0.277423896,-320.5172255,0,-1.265846373,-1.48314823,-2.084712357,0.280328031,-225.3206545,0,-0.755372627,-0.966544952,-1.400639164,0.419077389,-134.4563276,0
