GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
LBY.1_1,1,0,0,0,0,0,0.572246066,0,0,0,0,0,0.572246066,0,0,0,0,0,0.572246066,0,0,0,0,0,0.572246066,0,0,0,0,0,0.572246066,0,0,0,0,0,0.572246066,0,0,0,0,0,0.572246066,0,0,0,0,0,0.572246066,0,0,0,0,0,0.572246066,0,0,0,0,0,0.572246066,0,0,0,0,0,0.572246066,0,0,0,0,0,0.572246066
LBY.2_1,2,1.887581712,0,0,5.933755904,130.2431382,0,1.902638973,0,0,5.938233785,131.2820891,0,1.916417471,0,0,5.942308347,132.2328055,0,1.910938429,0,0,5.940739001,131.8547516,0,1.898771413,0,0,5.936339346,131.0152275,0,1.889654267,0,0,5.933362299,130.3861445,0,1.883934155,0,0,5.931679825,129.9914567,0,1.882179546,0,0,5.931304553,129.8703887,0,1.879577624,0,0,5.931282587,129.690856,0,1.877146633,0,0,5.931282587,129.5231177,0,1.876382469,0,0,5.931282587,129.4703904,0,1.880009122,0,0,5.931567124,129.7206294,0
LBY.3_1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBY.4_1,4,1.002736075,0.276114292,0,3.52370132,15.04104113,0,1.003275561,0.276199343,0,3.524240339,15.04913341,0,1.003040071,0.276139004,0,3.523950717,15.04560107,0,1.002393072,0.275922489,0,3.523307112,15.03589609,0,1.002079028,0.275860757,0,3.522945085,15.03118543,0,1.002052258,0.275855159,0,3.522912905,15.03078387,0,1.002052258,0.275855159,0,3.522912905,15.03078387,0,1.002050512,0.275855159,0,3.522912905,15.03075768,0,1.002041784,0.275855159,0,3.522912905,15.03062676,0,1.002084547,0.275860912,0,3.52295313,15.03126821,0,1.002318968,0.275896201,0,3.523234707,15.03478452,0,1.002393012,0.275927777,0,3.523323203,15.03589517,0
LBY.5_1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBY.6_1,6,0.002166894,0,0,1.93342621,7.86365967,0,0.002166894,0,0,1.93342621,7.86365967,0,0.002166894,0,0,1.93342621,7.86365967,0,0.002166894,0,0,1.93342621,7.86365967,0,0.002166894,0,0,1.93342621,7.86365967,0,0.002166894,0,0,1.93342621,7.86365967,0,0.002166894,0,0,1.93342621,7.86365967,0,0.002166894,0,0,1.93342621,7.86365967,0,0.002166894,0,0,1.93342621,7.86365967,0,0.002166894,0,0,1.93342621,7.86365967,0,0.002166894,0,0,1.93342621,7.86365967,0,0.002166894,0,0,1.93342621,7.86365967,0
LBY.7_1,7,1.189739256,0,0,5.915162756,99.93809751,0,1.194846706,0,0,5.9239312,100.3671233,0,1.198290605,0,0,5.928998051,100.6564109,0,1.194509084,0,0,5.924202507,100.338763,0,1.190403132,0,0,5.917307252,99.99386307,0,1.188816435,0,0,5.914718779,99.86058051,0,1.188045116,0,0,5.914285694,99.79578974,0,1.187615914,0,0,5.914146617,99.75973679,0,1.186868085,0,0,5.913186123,99.69691913,0,1.186392044,0,0,5.908916674,99.6569317,0,1.186198056,0,0,5.908212,99.64063672,0,1.18692158,0,0,5.909181901,99.70141273,0
LBY.8_1,8,1.373978885,0,0,5.965451754,93.43056416,1.449275362,1.374636911,0,0,5.968753495,93.47530997,1.449275362,1.374839674,0,0,5.969012786,93.48909786,1.449275362,1.374295314,0,0,5.966936794,93.45208137,1.449275362,1.373626721,0,0,5.965102876,93.40661705,1.449275362,1.373326806,0,0,5.964857726,93.38622281,1.449275362,1.373091101,0,0,5.96428571,93.37019489,1.449275362,1.372824646,0,0,5.961138054,93.3520759,1.449275362,1.372827474,0,0,5.960661897,93.3522682,1.449275362,1.373071095,0,0,5.960661897,93.36883444,1.449275362,1.373323428,0,0,5.961233913,93.38599309,1.449275362,1.373594934,0,0,5.964381569,93.40445549,1.449275362
LBY.9_1,9,0,0,0,0,0,0.12399256,0,0,0,0,0,0.12399256,0,0,0,0,0,0.12399256,0,0,0,0,0,0.12399256,0,0,0,0,0,0.12399256,0,0,0,0,0,0.12399256,0,0,0,0,0,0.12399256,0,0,0,0,0,0.12399256,0,0,0,0,0,0.12399256,0,0,0,0,0,0.12399256,0,0,0,0,0,0.12399256,0,0,0,0,0,0.12399256
LBY.10_1,10,0.414682829,0,0,5.657453662,22.39287276,1.818181818,0.414941331,0,0,5.664150126,22.40683187,1.818181818,0.414843158,0,0,5.661358528,22.40153055,1.818181818,0.414473723,0,0,5.654960709,22.38158104,1.818181818,0.414349974,0,0,5.651166259,22.37489858,1.818181818,0.414341532,0,0,5.650815302,22.37444273,1.818181818,0.414327371,0,0,5.650815302,22.37367805,1.818181818,0.414256594,0,0,5.650815302,22.36985606,1.818181818,0.414247753,0,0,5.650815302,22.36937866,1.818181818,0.414261914,0,0,5.650815302,22.37014334,1.818181818,0.414343148,0,0,5.651319776,22.37452998,1.818181818,0.414458251,0,0,5.654511445,22.38074553,1.818181818
LBY.11_1,11,0.808291258,0,0,4.329294125,19.39899018,0,0.808608043,0,0,4.329294125,19.40659304,0,0.80854799,0,0,4.329294125,19.40515177,0,0.808038482,0,0,4.328434827,19.39292357,0,0.807768193,0,0,4.324217179,19.38643663,0,0.807735833,0,0,4.323567807,19.38566,0,0.807735833,0,0,4.323567807,19.38566,0,0.807735833,0,0,4.323567807,19.38566,0,0.807735833,0,0,4.323567807,19.38566,0,0.807777501,0,0,4.324433636,19.38666002,0,0.807980967,0,0,4.328546321,19.3915432,0,0.808047439,0,0,4.329294125,19.39313853,0
