GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
LBY.1_1,1,3.116092193,2.892476224,2.243771325,5.31281018,2165.684074,0.572246066,2.160184501,2.137760525,1.735101314,2.865730614,1501.328228,0.572246066,1.066000568,0.945941163,0.328022725,2.486430634,740.870395,0.572246066,-0.62706258,-0.661053127,-1.6760124,0.1967831,-435.8084932,0.572246066,-1.540423435,-1.685059533,-1.993618279,0.134914871,-1070.594287,0.572246066,-0.910188105,-0.97839561,-1.727635786,1.96900902,-632.5807331,0.572246066,0.088861506,0.043806724,-0.658551584,2.78513173,61.75874683,0.572246066,-0.135531593,-0.145653728,-1.112364714,2.441989257,-94.19445699,0.572246066,-0.069397817,-0.11710244,-0.643883299,1.86266773,-48.23148252,0.572246066,-0.940536133,-0.981473721,-1.284562006,-0.22725307,-653.6726128,0.572246066,-0.290462673,-0.319187895,-1.322758336,0.735287758,-201.8715578,0.572246066,1.79970028,1.648206246,0.771616413,3.620611116,1250.791695,0.572246066
LBY.2_1,2,3.420013426,3.508438522,2.269993617,4.5229744,235.9809264,0,1.644236798,1.715736165,0.926287542,2.097456058,113.452339,0,1.377525581,1.359851675,1.000858637,2.092328844,95.04926512,0,0.402635682,0.401730859,-0.06820852,1.102116558,27.78186209,0,-0.223015094,-0.070321154,-1.087487719,0.844786074,-15.3880415,0,-0.180371374,0.06841512,-1.470295866,1.417728145,-12.44562479,0,1.049612086,1.113744901,0.037345215,2.697661307,72.4232339,0,0.229172486,0.310150844,-0.803680908,1.963675388,15.81290154,0,0.236528694,0.31127096,-0.45445711,1.135489526,16.3204799,0,-0.651636229,-0.66900175,-1.111122053,0.218073288,-44.96289981,0,0.224026189,0.09166666,-0.092514744,0.960578362,15.45780703,0,1.760881692,1.74897223,1.107647221,2.571809347,121.5008368,0
LBY.3_1,3,3.88172443,3.940961573,1.707727838,5.344603411,2779.314692,0,1.077207167,1.178839219,-0.581692415,2.741420932,771.2803317,0,-0.238616197,-0.37617861,-1.155930392,1.473631388,-170.8491969,0,0.262150118,0.299855131,-0.53871221,1.240004062,187.6994846,0,-1.972235427,-2.088858156,-2.994256662,-0.200620717,-1412.120566,0,-2.71997585,-2.916939739,-3.434938526,-1.058677494,-1947.502709,0,-2.193914212,-2.330853748,-2.796840208,-0.741308535,-1570.842576,0,-2.566541278,-2.608510793,-3.240425258,-1.1243417,-1837.643555,0,-1.793221318,-1.869862057,-2.384226001,-0.306603826,-1283.946464,0,-1.146067935,-1.253257118,-1.680053181,0.043049857,-820.5846413,0,1.35557076,1.383253257,-0.216033943,2.528487236,970.5886644,0,1.719124778,1.804773449,-0.229566362,3.280637069,1230.893341,0
LBY.4_1,4,3.890794615,3.911447089,3.518167548,4.270145079,58.36191922,0,1.89782297,1.904219118,1.553930924,2.234318203,28.46734456,0,0.65019171,0.606263884,0.472104769,0.998643189,9.75287565,0,0.16223172,0.2699402,-0.586912908,0.513264948,2.433475802,0,-1.030628006,-1.031463707,-1.587006179,-0.629625875,-15.45942009,0,-1.541302827,-1.512254676,-2.128090735,-1.139411125,-23.1195424,0,-1.462390743,-1.454028683,-2.139382069,-0.952301593,-21.93586115,0,-1.728448733,-1.696714044,-2.420152087,-1.17796578,-25.926731,0,-0.931715826,-0.906178481,-1.513991704,-0.607133454,-13.97573739,0,-0.215477441,-0.160468061,-0.676296678,-0.014689657,-3.232161618,0,1.804069874,1.808313566,1.626731279,2.017481891,27.06104811,0,2.098527326,2.106129934,1.782828216,2.431950907,31.47790989,0
LBY.5_1,5,2.714627224,2.812015751,1.178133821,3.995555037,2535.461827,0,0.931544902,1.011661091,-0.433953286,2.322224689,870.0629388,0,-0.829006472,-0.637750396,-2.175780678,0.32486811,-774.292045,0,-1.500407035,-1.362489156,-3.00362279,-0.088443642,-1401.38017,0,-2.679432807,-2.646124263,-3.826375179,-1.694274761,-2502.590242,0,-2.377370562,-2.4648811,-3.479620825,-1.031439073,-2220.464105,0,-2.115844552,-2.167526166,-3.718945547,-0.444361782,-1976.198812,0,-1.901969101,-2.040866471,-3.231657781,-0.195752123,-1776.43914,0,-1.941900468,-1.873660967,-3.269344426,-0.847560309,-1813.735037,0,-1.438045472,-1.360647007,-2.607808762,-0.796226835,-1343.134471,0,-0.364813089,-0.282886195,-1.582241509,0.663505452,-340.7354251,0,0.520402795,0.785673793,-1.131184154,1.743660785,486.0562108,0
LBY.6_1,6,0.02921917,0.415974167,-2.948775208,2.152239482,106.0363689,0,-0.541338911,-0.396921493,-3.292226715,1.640793879,-1964.518908,0,-1.584235152,-1.43974482,-3.759170197,0.453047289,-5749.189365,0,-2.255769135,-2.13428871,-3.600878037,-0.493990395,-8186.186192,0,-2.76297642,-2.758467218,-3.987445203,-0.530449679,-10026.84143,0,-1.717732448,-1.658502267,-3.429118302,-0.716563292,-6233.651053,0,-1.112491397,-0.985308893,-3.529829441,0.316719688,-4037.23128,0,-0.672976187,-0.492590569,-2.701813552,0.571102674,-2442.230581,0,-1.68195784,-1.619166529,-3.706220257,-0.376096289,-6103.825003,0,-2.432796379,-2.317883069,-4.181170786,-0.422639751,-8828.618059,0,-1.626634094,-1.578524894,-3.401985223,0.098125507,-5903.055127,0,-0.995046931,-0.724284527,-3.57070029,0.653768318,-3611.025311,0
LBY.7_1,7,3.168674235,3.327597794,2.160799367,3.886260187,266.1686358,0,1.437843677,1.534249321,0.853189186,1.949599157,120.7788689,0,1.175471072,1.166091435,0.952720794,1.473702584,98.73957007,0,0.192360172,0.210359703,-0.112293477,0.436186014,16.15825446,0,-0.300991531,-0.286179314,-0.765877435,0.137899666,-25.28328862,0,-0.329470751,-0.27476622,-1.099035606,0.373181015,-27.67554309,0,0.852739976,0.818810616,0.552121589,1.332471348,71.63015796,0,-0.057584473,-0.111273999,-0.58856813,0.560625668,-4.837095737,0,0.157437699,0.132706602,-0.344927991,0.637419835,13.22476667,0,-0.8989328,-0.944224003,-1.210701946,-0.458538243,-75.51035522,0,0.004798631,-0.039826207,-0.214166252,0.576742713,0.403085006,0,1.410574248,1.439969989,1.010063095,1.849567353,118.4882369,0
LBY.8_1,8,5.022320728,5.04070462,4.321804273,5.727391426,341.5178095,1.449275362,2.79896351,2.811997378,2.321047047,3.332398458,190.3295187,1.449275362,1.570308639,1.5979558,1.122533957,1.93015863,106.7809874,1.449275362,0.442744009,0.393568148,-0.233333934,1.264549414,30.10659261,1.449275362,-0.464200417,-0.414487246,-0.96530961,-0.168895561,-31.56562834,1.449275362,-1.206815007,-1.16070671,-1.792908541,-0.916716954,-82.06342047,1.449275362,-1.107735867,-1.03442196,-1.643783418,-0.807835443,-75.32603893,1.449275362,-1.483726842,-1.446697004,-1.996819885,-1.123588939,-100.8934253,1.449275362,-0.638565277,-0.600867857,-1.186520217,-0.304386637,-43.42243882,1.449275362,-0.229443475,-0.210749298,-0.685507783,0.079136839,-15.60215629,1.449275362,2.297538131,2.340524365,1.695262044,2.732996284,156.2325929,1.449275362,2.995864886,3.008348938,2.451204485,3.613819814,203.7188122,1.449275362
LBY.9_1,9,2.682204455,2.75112041,1.533162862,4.193411531,4321.031377,0.12399256,1.987352611,2.010064954,0.689756102,2.915461367,3201.625057,0.12399256,0.401940949,0.45364601,-0.90846895,1.406417431,647.5268692,0.12399256,-1.069721023,-1.119766913,-2.167552389,-0.02274409,-1723.320568,0.12399256,-1.302853041,-1.387986309,-2.60770138,-0.006577756,-2098.896249,0.12399256,-0.690341045,-0.79174597,-1.74543464,0.524204344,-1112.139424,0.12399256,0.508462235,0.385531076,-1.254263178,1.750108628,819.1326608,0.12399256,0.379709554,0.352514515,-1.123026782,1.535278039,611.7120919,0.12399256,-0.158871591,-0.188196116,-1.700062944,0.761780688,-255.942133,0.12399256,-1.125134559,-1.0746605,-2.074217349,-0.51244973,-1812.591774,0.12399256,-0.778036478,-0.685776507,-1.951801692,0.484782307,-1253.416767,0.12399256,1.06549927,1.100280442,0.034184979,2.345166867,1716.519324,0.12399256
LBY.10_1,10,4.147374713,4.146052762,3.774556769,4.513994762,223.9582345,1.818181818,1.637436641,1.624142404,1.403830694,1.849835384,88.42157864,1.818181818,-0.171563776,-0.16124952,-0.454498903,0.082059748,-9.264443902,1.818181818,-0.543994915,-0.438404529,-1.75179613,0.197621043,-29.37572541,1.818181818,-2.135573354,-2.044271703,-3.083302645,-1.485605865,-115.3209611,1.818181818,-2.325245665,-2.246481012,-3.329271582,-1.673354263,-125.5632659,1.818181818,-2.633637209,-2.539566179,-3.677447006,-1.744238475,-142.2164093,1.818181818,-2.827826169,-2.7405247,-4.036911689,-1.85331611,-152.7026131,1.818181818,-2.128759545,-2.053298132,-3.052467675,-1.515859875,-114.9530155,1.818181818,-0.579678112,-0.521505492,-1.205145363,-0.208592568,-31.30261806,1.818181818,2.167588596,2.146603901,1.857313501,2.554350885,117.0497842,1.818181818,1.941881253,1.933166013,1.733901903,2.153043693,104.8615876,1.818181818
