GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
MAR.1_1,1.0,277.5096234169933,277.5956932799867,271.6222458534599,282.299109325117,41348.933889132015,0.0,277.59023114794104,277.4466754877174,272.36266050726056,282.96330909103625,41360.9444410432,0.0,279.2408748295806,279.09803828235704,274.3224416799989,284.18896081636626,41606.89034960752,0.0,281.582504236616,281.34585424016683,279.12856181285616,284.56252013665903,41955.793131255785,0.0,282.7748103386513,282.4515690113352,278.4303824449056,287.3664747347213,42133.44674045905,0.0,284.22972805880715,283.91288037105323,281.3357347639528,287.8127485373418,42350.22948076227,0.0,287.7336807452025,287.60993933470843,285.09732117960687,290.2020615272158,42872.31843103518,0.0,287.93081458296416,287.6719622398169,283.63554732133224,291.83382751069746,42901.69137286165,0.0,287.1086735117817,287.1401246589411,281.27947452137465,291.2399397616879,42779.192353255465,0.0,283.9027275454915,283.7511720021222,278.3974239471736,288.4642556460169,42301.50640427823,0.0,282.2017034380131,282.1435744523587,279.15060086196894,285.4426884373712,42048.05381226396,0.0,281.3213345854301,281.16488609167413,277.68334033441835,285.0913664790324,41916.878853229086,0.0
MAR.2_1,2.0,280.17669161582853,280.34689428395757,276.55637507987075,283.4418041447814,34461.7330687469,5.384615384615384,280.5369516433766,280.6218461918516,276.67039745036226,284.00182052174165,34506.04505213532,5.384615384615384,282.4389766350602,282.4785626801125,279.4456569673132,285.32331637428416,34739.994126112404,5.384615384615384,283.2149986126256,283.1915965538472,281.1413660794285,285.1575906347992,34835.44482935294,5.384615384615384,285.40985361290427,285.43553659918115,282.47559519200576,288.18641471721776,35105.41199438723,5.384615384615384,286.2616021089895,286.39669950418175,283.9643847371252,288.47890393454867,35210.177059405716,5.384615384615384,288.81102479151167,288.93089903133387,287.09031466525454,290.35018344303364,35523.756049355936,5.384615384615384,289.9407920500821,290.1671833964503,287.4583313758588,291.906728816614,35662.717422160094,5.384615384615384,289.484163920458,289.6336169506115,286.9595523135434,291.62126154206976,35606.552162216336,5.384615384615384,286.3971928083951,286.48787105442347,283.5100273121073,289.05389818554835,35226.8547154326,5.384615384615384,283.963894623445,284.0030603028949,281.84789673111567,286.1593517875551,34927.559038683736,5.384615384615384,283.61876978803207,283.5927857404228,281.214597296073,286.00606731576215,34885.108683927945,5.384615384615384
MAR.3_1,3.0,270.1385647864735,268.9556373203116,264.94882881995363,279.2989374280381,46193.694578486975,0.0,269.739044045838,268.30274772749056,264.0972972062497,279.7973833787489,46125.376531838294,0.0,273.8752458444588,273.1488142121142,270.1379088876228,280.1051707214577,46832.66703940245,0.0,277.09946626408976,276.3394530316415,273.78289066061456,283.0650497412668,47384.008731159345,0.0,277.6719922917384,276.98146662598907,274.0860709998191,283.5900659224679,47481.91068188727,0.0,279.8854681669822,279.4537872454525,275.24579074208543,284.88802039896336,47860.41505655397,0.0,282.8490444157042,281.9064102013581,277.5470853076383,288.800590714939,48367.18659508541,0.0,283.1874581274082,282.4778265716707,279.27663469942553,288.7855802972842,48425.0553397868,0.0,282.2641797879668,281.56885731457305,278.6061195779979,288.2686896097252,48267.17474374231,0.0,278.25742950031474,277.4184595666495,274.66455283143745,285.52379828739976,47582.020444553826,0.0,276.52261043211,275.4821737931956,271.83313236388705,284.0271530778418,47285.36638389081,0.0,274.19326530629104,272.84391346795337,269.83479343375575,282.550849987303,46887.04836737577,0.0
MAR.4_1,4.0,280.9941671805228,280.8786100818268,279.36017408591505,282.9589153409998,21917.545040080782,0.0,281.30890823063663,281.18361149803263,279.8973059461197,283.063442971044,21942.094841989656,0.0,281.9696848240875,281.77651570183633,280.3572532723572,283.97175072747893,21993.635416278827,0.0,283.9370016243061,283.8075025898943,282.6751188562414,285.44564154986017,22147.086126695875,0.0,285.7033438848836,285.57197812263,283.7008861065957,287.88317026941127,22284.860823020917,0.0,286.73216521590666,286.5530730710342,285.0196572073008,288.51527501464824,22365.108886840717,0.0,289.94712383401395,289.87411871522755,288.9441669774908,291.0617962554588,22615.875659053087,0.0,290.85105874712286,290.7793019323496,289.25102167221,292.4812476536325,22686.38258227559,0.0,289.8701971411748,289.72022275430464,288.32942425919066,291.65876510399727,22609.875377011635,0.0,287.4972805562347,287.4846340164862,285.71657731183063,289.4106304255475,22424.787883386307,0.0,284.70088005344206,284.7233075499022,283.52506691477305,285.93985896449965,22206.66864416848,0.0,283.6609235678696,283.5460979845933,282.3855404168907,285.32493444024897,22125.552038293827,0.0
MAR.5_1,5.0,281.15952041843184,281.1581234631643,280.5587863787792,281.87519436817814,1968.1166429290229,0.0,281.64630308689067,281.6295071900834,280.9697416506749,282.4478670349937,1971.5241216082345,0.0,282.897196522327,282.8698709335776,282.31531181637894,283.5136919786431,1980.2803756562887,0.0,283.7132324365466,283.69895010650436,283.2609044415918,284.28885418890127,1985.9926270558265,0.0,286.3712675221692,286.38868802780985,285.8304368966005,287.0423777027136,2004.598872655184,0.0,287.05422362967954,287.0658268832412,286.6512977232188,287.63687838260984,2009.379565407757,0.0,289.6787423548677,289.6971784046549,289.45188709982267,290.07755321171487,2027.7511964840744,0.0,291.18832986144787,291.1890204236645,290.80712332170873,291.709591663154,2038.3183090301354,0.0,290.41985070177515,290.41157739438387,290.0032760412417,290.91783792415606,2032.9389549124264,0.0,287.55428428663777,287.5481063351861,287.0180695478344,288.1746930750119,2012.8799900064648,0.0,284.72409111082845,284.70251679218325,284.3179325299621,285.26619435769965,1993.068637775799,0.0,284.18067135569265,284.14731082616584,283.7073272609031,284.63281858467025,1989.264699489848,0.0
MAR.6_1,6.0,272.74419532018106,273.2023756286657,265.2350162718142,281.4292685179705,157373.4006997445,0.3454231433506045,270.00451364737177,268.5689171788722,265.8605059001852,280.4482789228066,155792.60437453352,0.3454231433506045,275.6784807620133,274.6250095992441,269.22337627299214,286.1031621552732,159066.4833996817,0.3454231433506045,278.085742377152,278.0633859095888,270.45577733486044,286.0696298530685,160455.4733516167,0.3454231433506045,278.6010530536888,278.19648461340205,270.22364725344903,288.50912170120387,160752.80761197847,0.3454231433506045,281.70939629486554,282.06548050037173,273.9419254972589,288.7157782134848,162546.32166213743,0.3454231433506045,282.54925188901296,283.4353136943846,272.32906727630365,290.5970919548471,163030.91833996048,0.3454231433506045,283.3106585029565,282.92449123050363,276.18056450087363,291.34413051735453,163470.24995620592,0.3454231433506045,282.2571854605125,281.48683787016137,274.79449859059935,291.5428854441462,162862.3960107157,0.3454231433506045,279.5346800716581,278.247588035734,273.1038559335757,289.59565599212885,161291.51040134672,0.3454231433506045,279.28318709979044,278.7582403626363,272.9653073779353,287.41991401215006,161146.39895657904,0.3454231433506045,276.07048015105744,275.45827468412,270.854135911125,283.6078771546452,159292.66704716015,0.3454231433506045
MAR.7_1,7.0,279.21754554253295,279.1669745748883,277.3482245795869,281.18351369004347,12844.007094956509,9.803921568627453,277.38383096978043,277.3140771663858,274.6111631212479,280.6577833020372,12759.6562246099,9.803921568627453,284.81531735581814,284.9848064578456,282.94729330395,285.99186547772456,13101.504598367637,9.803921568627453,285.0602857654926,285.1284849047284,283.9495009119512,285.9365802481425,13112.77314521266,9.803921568627453,287.48873432504695,287.53585242721863,286.5725629735498,288.28297320278267,13224.481778952158,9.803921568627453,287.6695424167896,287.76932733390936,286.59718538528665,288.5730911764235,13232.798951172324,9.803921568627453,289.8060744009053,289.8127015696693,289.16521683838926,290.4833570106007,13331.079422441642,9.803921568627453,290.5194364048691,290.6331469071405,289.46244295067595,291.2260689363899,13363.894074623979,9.803921568627453,290.6297141557098,290.7529365655285,289.4019684904016,291.4585043767476,13368.96685116265,9.803921568627453,288.70222973436387,288.80692694764605,287.2688321079293,289.7290436601636,13280.302567780738,9.803921568627453,286.41619642085936,286.47786636054593,284.92706651433633,287.59205755949296,13175.145035359528,9.803921568627453,281.79248841549617,281.72452218197014,279.92790818485764,283.75563881161145,12962.454467112828,9.803921568627453
MAR.8_1,8.0,274.25386953573803,274.8065441898915,263.29270751944085,281.77783697912764,79259.36829582829,0.0,274.07048886386525,274.3405246969614,263.60899785265565,282.2301048786519,79206.37128165706,0.0,277.57815565340803,278.1302562978321,267.68492714121584,284.5051725755841,80220.0869838349,0.0,280.4578295565725,281.4197309681664,271.62434264901543,284.71490895394686,81052.31274184947,0.0,281.22055690926493,281.5818887492818,272.44425722325195,287.4597861384118,81272.74094677757,0.0,283.14216547846263,283.6026469033707,274.5306137124998,287.9128167156756,81828.0858232757,0.0,285.36992562088625,286.77744936977206,272.4579530972544,289.7897666325881,82471.90850443613,0.0,285.5590653060712,286.3517862698525,275.11259712227303,290.86132885658736,82526.56987345454,0.0,284.87123703101366,285.7158283148321,273.2520431069218,290.78963714907417,82327.78750196294,0.0,281.0325189203857,281.66841535685995,270.37568426375753,288.06916565227334,81218.39796799148,0.0,279.7456392049862,280.65710097939683,270.3095144529006,285.0001504285204,80846.48973024102,0.0,278.61567184097817,279.52362234782896,268.33578091308294,284.49296973175205,80519.9291620427,0.0
MAR.9_1,9.0,267.41472851059564,266.8567538269009,261.0517423742139,279.7105346116702,142799.46502465807,0.0,267.28846522487333,266.42082799026923,261.06089971831136,280.3082874872381,142732.04043008236,0.0,271.86477226044263,271.322926519877,267.34427284257055,280.79749856046607,145175.78838707638,0.0,274.46346017471114,273.48513904714696,270.9251618580607,282.83591323971694,146563.48773329574,0.0,274.77864774705154,273.61975868230513,270.9697515352348,284.25736018424703,146731.7978969255,0.0,275.0156772700345,272.91047811515284,270.180412952106,285.52680507183015,146858.37166219842,0.0,276.9064181416991,274.2864513896368,270.9008562473571,289.28771782934564,147868.0272876673,0.0,279.33493813188596,277.81620212381307,274.6671979703643,289.8663198764256,149164.85696242712,0.0,279.01921474642654,278.21102205432413,274.5381675345187,288.7461979673455,148996.26067459176,0.0,275.9483792271574,275.64633888698427,270.759718467957,286.15157518127165,147356.43450730204,0.0,274.02941682920283,273.56945924431574,267.8537957040785,283.95628633697163,146331.7085867943,0.0,271.97154807701816,271.26234676001167,266.6672063738063,282.66365481052804,145232.8066731277,0.0
MAR.10_1,10.0,269.6054851016479,268.2996952101717,263.7317939665776,280.1901235084824,141273.2741932635,0.3802281368821293,268.7191064543822,266.7440240741177,263.16218998666693,280.7607779870378,140808.81178209628,0.3802281368821293,273.39037807626136,271.94761037075176,269.183170491056,282.1919096374022,143256.5581119609,0.3802281368821293,276.357480726634,275.3763886437136,272.84650574684366,282.9810572518212,144811.31990075618,0.3802281368821293,276.8886213380726,275.58346473390753,272.54510467365515,286.06868770277663,145089.63758115005,0.3802281368821293,277.85989767454254,277.16524279903666,270.4519232510984,288.21185509585166,145598.58638146028,0.3802281368821293,280.50774303538446,279.5380439840497,273.2506221995493,291.58727507824534,146986.05735054144,0.3802281368821293,282.5420089237947,281.4599233325939,276.9341574384748,292.5102768758667,148052.0126760684,0.3802281368821293,282.5141703565556,281.17421960409166,277.16488536369314,292.4586762980548,148037.42526683517,0.3802281368821293,278.6446357565128,277.4648301867791,274.05918165065816,287.52723267380816,146009.7891364127,0.3802281368821293,276.2438853395425,274.8368637182483,270.54904472261995,283.49669643651316,144751.79591792027,0.3802281368821293,274.23141240333246,272.5012587477744,268.5814536145504,283.60688450978006,143697.2600993462,0.3802281368821293
