adm_id,GID_1,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
1,MOZ.1_1,-0.004072385,-0.00407264,-0.005167677,-0.003115881,-2.565602413,0.316455696,-0.004296775,-0.004287459,-0.005260591,-0.003485324,-2.706968389,0.316455696,-0.004235279,-0.004219528,-0.00528867,-0.003366284,-2.66822586,0.316455696,-0.003706126,-0.003640721,-0.004991744,-0.002236836,-2.334859649,0.316455696,-0.003376295,-0.003408472,-0.004562679,-0.00218322,-2.127065734,0.316455696,-0.001723632,-0.001736462,-0.003549211,-0.000369869,-1.085887862,0.316455696,-0.001210361,-0.00123705,-0.003122411,-0.000259877,-0.762527284,0.316455696,-0.000994405,-0.001022646,-0.002964284,-0.000160266,-0.626475255,0.316455696,-0.000866135,-0.000897748,-0.003122966,-0.000125192,-0.545664979,0.316455696,-0.001473139,-0.001387152,-0.004075816,-0.000731988,-0.928077591,0.316455696,-0.001946192,-0.001831942,-0.004570361,-0.001306889,-1.226101201,0.316455696,-0.003619331,-0.003634613,-0.004834404,-0.002667251,-2.280178379,0.316455696
2,MOZ.2_1,-0.002631154,-0.002597695,-0.004243954,-0.001607637,-1.612897601,0,-0.002700818,-0.002689431,-0.00385069,-0.002096981,-1.655601205,0,-0.002241906,-0.002188768,-0.003618407,-0.001088704,-1.374288463,0,-0.001182822,-0.001131636,-0.002995835,-0.000508652,-0.725069667,0,-0.000453616,-0.000414231,-0.002044324,-7.04E-05,-0.278066405,0,-0.000387263,-0.000313894,-0.00162203,-8.68E-05,-0.237392137,0,-0.000223881,-0.000177589,-0.001604278,-3.93E-05,-0.137239295,0,-0.000270917,-0.000234856,-0.001474305,-7.75E-05,-0.166072235,0,-0.000546381,-0.00047373,-0.002146274,-0.000234488,-0.334931702,0,-0.000818729,-0.000640395,-0.002879368,-0.000324427,-0.501881037,0,-0.001726367,-0.001712873,-0.003538745,-0.000770756,-1.058262795,0,-0.002424161,-0.002412195,-0.004333744,-0.001470498,-1.486010509,0
3,MOZ.3_1,-0.003479692,-0.003628504,-0.005057902,-0.002588208,-1.934708615,1.243339254,-0.003551556,-0.003558228,-0.005134877,-0.002709734,-1.974665402,1.243339254,-0.002898822,-0.002959457,-0.004633393,-0.001851974,-1.611745053,1.243339254,-0.00171827,-0.001632554,-0.003659892,-0.000702399,-0.955357904,1.243339254,-0.000787099,-0.000694936,-0.002723388,-0.000267471,-0.437627199,1.243339254,-0.000644943,-0.000553102,-0.002537423,-0.000195045,-0.358588158,1.243339254,-0.000350271,-0.000280729,-0.002090987,-9.02E-05,-0.194750693,1.243339254,-0.000374961,-0.000314361,-0.001930409,-0.000115632,-0.208478428,1.243339254,-0.000639564,-0.000506409,-0.00312349,-0.000297479,-0.355597769,1.243339254,-0.001337948,-0.001285016,-0.004036844,-0.000441151,-0.743899132,1.243339254,-0.002020874,-0.002007508,-0.003785858,-0.001243695,-1.123606049,1.243339254,-0.001933867,-0.001870979,-0.004800571,-0.001128407,-1.07523021,1.243339254
4,MOZ.4_1,-0.004282634,-0.004321726,-0.004854315,-0.003594924,-2.188426084,0,-0.004331564,-0.004529094,-0.005354835,-0.002782548,-2.213429338,0,-0.003781659,-0.003863354,-0.004686172,-0.002628044,-1.932427977,0,-0.002981151,-0.003142732,-0.003689838,-0.001777373,-1.523368372,0,-0.001670955,-0.001797938,-0.002731356,-0.000462492,-0.853857754,0,-0.00107739,-0.001130269,-0.001980434,-0.000312632,-0.550546068,0,-0.000821104,-0.000823377,-0.00169437,-0.000149495,-0.419583994,0,-0.00089119,-0.000885024,-0.001809807,-0.000166639,-0.45539818,0,-0.001108842,-0.001015779,-0.002465773,-0.000149668,-0.566618175,0,-0.001330986,-0.001323576,-0.003374497,-0.000216162,-0.680133847,0,-0.002455471,-0.002398541,-0.003989874,-0.001484157,-1.254745612,0,-0.003608158,-0.003665944,-0.004855827,-0.001757842,-1.843768955,0
5,MOZ.6_1,-0.002970975,-0.002923017,-0.004997464,-0.002145818,-0.540717375,1.086956522,-0.003030638,-0.002959186,-0.004464292,-0.00211004,-0.551576147,1.086956522,-0.002204162,-0.002367004,-0.004121673,-0.00112942,-0.401157401,1.086956522,-0.001694292,-0.001721426,-0.003080589,-0.000512395,-0.308361109,1.086956522,-0.000598614,-0.000569918,-0.0020253,-6.03E-05,-0.10894778,1.086956522,-0.000392646,-0.000263564,-0.001567008,-9.09E-05,-0.07146154,1.086956522,-0.000276707,-0.000181359,-0.001585897,-4.59E-05,-0.050360608,1.086956522,-0.000355264,-0.000290973,-0.00155501,-0.000108444,-0.064658081,1.086956522,-0.000801201,-0.000728437,-0.002166227,-0.000413798,-0.145818542,1.086956522,-0.001507526,-0.001581234,-0.003277295,-0.000424539,-0.27436978,1.086956522,-0.002442041,-0.002404988,-0.003941107,-0.001791126,-0.444451463,1.086956522,-0.003133928,-0.003096945,-0.004604918,-0.002579746,-0.57037498,1.086956522
6,MOZ.5_1,-0.003754871,-0.003837243,-0.004236786,-0.003259601,-0.018774354,0,-0.003687664,-0.003754631,-0.004102634,-0.003304323,-0.018438319,0,-0.002953491,-0.003058567,-0.003483378,-0.002468554,-0.014767453,0,-0.002109161,-0.002186744,-0.002640668,-0.001563331,-0.010545806,0,-0.000914458,-0.000994841,-0.001361165,-0.000518036,-0.004572288,0,-0.000589911,-0.000646195,-0.000970013,-0.000221577,-0.002949553,0,-0.000527395,-0.000595956,-0.000894615,-0.000172835,-0.002636975,0,-0.000614604,-0.00068214,-0.000965998,-0.000279309,-0.00307302,0,-0.001226158,-0.00131095,-0.001712709,-0.000755429,-0.00613079,0,-0.002336219,-0.002412591,-0.00291156,-0.001767334,-0.011681097,0,-0.002896104,-0.00296706,-0.003339435,-0.002377415,-0.014480522,0,-0.003530142,-0.003650444,-0.004088721,-0.003053474,-0.017650708,0
7,MOZ.7_1,-0.004140108,-0.004146912,-0.005279697,-0.003483693,-2.612408122,1.713395639,-0.004390038,-0.004373349,-0.005688418,-0.003857639,-2.770114274,1.713395639,-0.004020594,-0.004028868,-0.00523033,-0.00345998,-2.536994971,1.713395639,-0.003324484,-0.003294164,-0.004752681,-0.002752915,-2.097749584,1.713395639,-0.002949406,-0.002924575,-0.004665288,-0.001774497,-1.861075474,1.713395639,-0.001808814,-0.001874404,-0.00372906,-0.001004057,-1.141361724,1.713395639,-0.001472313,-0.001496537,-0.003563565,-0.000819099,-0.929029683,1.713395639,-0.001196104,-0.001217176,-0.002379374,-0.000742423,-0.754741883,1.713395639,-0.001059323,-0.001032219,-0.00283294,-0.000685347,-0.668432649,1.713395639,-0.001647254,-0.0015917,-0.003138147,-0.001011335,-1.039417351,1.713395639,-0.001742515,-0.001717167,-0.003211296,-0.001206662,-1.099526861,1.713395639,-0.003542857,-0.003577067,-0.00488384,-0.002869501,-2.23554276,1.713395639
8,MOZ.8_1,-0.003784137,-0.003770984,-0.004578953,-0.00310551,-3.969559713,0,-0.004032925,-0.004038577,-0.004705239,-0.003210372,-4.230538689,0,-0.004159303,-0.004200232,-0.005023792,-0.003420615,-4.363108774,0,-0.003602532,-0.003486912,-0.005700846,-0.002846366,-3.77905619,0,-0.002480361,-0.002342446,-0.005990496,-0.001592369,-2.601898207,0,-0.001509929,-0.001295288,-0.005458099,-0.000780419,-1.583915516,0,-0.001212001,-0.001053336,-0.004371423,-0.000454722,-1.27138935,0,-0.001200473,-0.001051242,-0.003942312,-0.000408711,-1.259296399,0,-0.00116543,-0.000960916,-0.004927621,-0.000273487,-1.222536208,0,-0.001852273,-0.001657367,-0.005301875,-0.000654326,-1.943034574,0,-0.002065197,-0.001842531,-0.005746653,-0.001339947,-2.166392001,0,-0.003932177,-0.003896839,-0.005154298,-0.003107194,-4.124853291,0
9,MOZ.9_1,-0.00435379,-0.004362876,-0.00501087,-0.00369763,-2.381522906,0.364298725,-0.004476268,-0.004508049,-0.0053039,-0.003473829,-2.448518593,0.364298725,-0.003931398,-0.00389631,-0.00533175,-0.003403816,-2.150474881,0.364298725,-0.003272884,-0.003338612,-0.003979136,-0.002234196,-1.790267377,0.364298725,-0.002116745,-0.002198586,-0.003142286,-0.00092032,-1.157859431,0.364298725,-0.001476161,-0.001471086,-0.002685876,-0.000543284,-0.807460092,0.364298725,-0.001073401,-0.00107223,-0.002210328,-0.000327821,-0.587150213,0.364298725,-0.001142919,-0.001139778,-0.002184533,-0.000473209,-0.625176624,0.364298725,-0.001260736,-0.00122127,-0.002859578,-0.000384179,-0.689622527,0.364298725,-0.00159704,-0.001514981,-0.003604312,-0.000457556,-0.873581021,0.364298725,-0.002528792,-0.002557556,-0.003808644,-0.001569196,-1.3832491,0.364298725,-0.003724826,-0.003793843,-0.004968867,-0.001637224,-2.037480092,0.364298725
10,MOZ.10_1,-0.00382245,-0.003904548,-0.004586844,-0.002737652,-3.14205349,0,-0.004524445,-0.004572217,-0.005275919,-0.003233363,-3.719093608,0,-0.004159951,-0.004226505,-0.005193243,-0.002598818,-3.419479518,0,-0.003093366,-0.003188171,-0.004659213,-0.001308136,-2.54274663,0,-0.00168379,-0.001783588,-0.004021077,-0.000341099,-1.384075136,0,-0.001045901,-0.001065328,-0.002722133,-0.000195402,-0.859730948,0,-0.000874506,-0.000891385,-0.003025152,-0.000148125,-0.718844136,0,-0.000948123,-0.00096314,-0.003080329,-0.000152631,-0.779357154,0,-0.000964788,-0.000944581,-0.004666782,-0.000132897,-0.793055799,0,-0.001206071,-0.001161369,-0.005136206,-0.000154838,-0.99139016,0,-0.002456106,-0.002399926,-0.006138157,-0.00158573,-2.018919234,0,-0.004123858,-0.004137035,-0.005650427,-0.003011879,-3.389811019,0
