adm_id,GID_1,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
1,NAM.1_1,25.68395996,25.68219948,17.96759033,30.21853256,34288.08594,0.373134328,26.17611122,26.557724,18.81236649,29.07922745,34945.10938,0.373134328,25.02291107,25.19281387,17.00142097,28.60848618,33405.58594,0.373134328,21.14990044,21.41018105,14.79802132,23.99367332,28235.11719,0.373134328,20.45658112,20.79849434,14.9826088,22.69336128,27309.53516,0.373134328,15.47888279,15.32862186,13.12206078,19.11941719,20664.30859,0.373134328,15.31404209,15.22459126,13.26856613,18.48735428,20444.24609,0.373134328,16.68774223,16.72525978,14.08495903,19.82271767,22278.13672,0.373134328,20.89076805,21.18451118,16.07682419,23.29226875,27889.17578,0.373134328,21.97787666,22.20744324,15.35011864,24.83556366,29340.46484,0.373134328,24.14925575,24.12577629,16.39278412,28.0888176,32239.25586,0.373134328,24.32547951,24.42439842,17.72978973,27.8574028,32474.51563,0.373134328
2,NAM.2_1,22.81847954,22.95836449,18.14889526,26.79264641,11888.42773,1.138519924,24.49575043,25.1077652,19.21576118,28.26951981,12762.28613,1.138519924,24.34033585,25.06894493,18.17803383,28.10167885,12681.31543,1.138519924,22.20127678,22.94475174,15.49970913,26.64195251,11566.86523,1.138519924,22.76257706,23.21683121,16.53146553,26.13104057,11859.30273,1.138519924,19.87228584,20.05589676,16.27295113,23.12126732,10353.46094,1.138519924,19.09278679,19.28962708,15.06661606,22.2514782,9947.341797,1.138519924,19.81191444,19.91202736,15.9694519,22.70637131,10322.00781,1.138519924,22.21480179,22.96332932,15.0963459,25.76603317,11573.91211,1.138519924,23.3521347,24.27022362,16.09420776,26.93267822,12166.46191,1.138519924,23.42867088,24.02404213,16.67871284,27.18426514,12206.33789,1.138519924,23.18279839,23.8486805,17.90335464,26.43136978,12078.23828,1.138519924
3,NAM.3_1,27.42310715,28.93878555,18.21848297,30.33357239,24735.64258,0.551267916,26.79310799,27.43592453,19.08318138,29.13300896,24167.38281,0.551267916,26.73564911,27.71926308,18.18719292,29.00552177,24115.55469,0.551267916,22.44707108,23.23672485,15.63350964,24.41687584,20247.25781,0.551267916,21.23117447,21.49402237,16.93371582,23.76729965,19150.51953,0.551267916,16.23914719,15.8915596,13.5947876,20.71705437,14647.71094,0.551267916,15.84298897,15.51624107,14.0778656,20.01221657,14290.37598,0.551267916,17.94376183,18.02955246,15.04515648,20.12693024,16185.27246,0.551267916,21.16761589,21.28860855,16.14924431,23.85251236,19093.18945,0.551267916,23.8258667,24.51043892,16.74648285,25.49021339,21490.93164,0.551267916,26.18375778,27.42219162,17.14960098,28.61423492,23617.75,0.551267916,25.11649704,25.57440567,17.97633171,27.67856026,22655.08008,0.551267916
4,NAM.4_1,25.59982109,25.51411247,24.34011078,26.92014503,10163.12891,0,25.20445633,25.22340584,24.51277351,25.88053131,10006.16895,0,27.81812096,27.83903694,27.19422531,28.35744286,11043.79395,0,25.08860207,24.89699745,24.35894585,26.33076477,9960.174805,0,22.42056084,22.33211708,21.48955727,24.09708786,8900.962891,0,18.48888206,18.44456482,17.64877892,19.89788818,7340.086426,0,18.21232796,18.15952873,17.16697311,19.73795509,7230.293945,0,22.20779419,22.17975235,21.29590988,23.45370293,8816.494141,0,24.26857185,24.17836952,23.10503006,25.8747921,9634.623047,0,28.40646553,28.32035637,27.53946304,29.3313179,11277.36719,0,28.83686256,28.83114815,28.26309776,29.38778114,11448.23438,0,26.34879684,26.37041855,25.21567535,27.88719559,10460.47266,0
5,NAM.5_1,26.23163414,25.7295723,23.49283409,29.41055298,8000.648438,0,25.6035862,25.56483459,23.21845245,28.10094643,7809.09375,0,25.7482605,25.60859108,22.96820259,28.24221611,7853.219238,0,21.94734192,21.89019012,19.3645401,23.90278053,6693.939453,0,20.38990402,20.32034111,17.76721764,23.79097748,6218.920898,0,15.85552597,15.81317425,13.68726444,19.31971931,4835.935547,0,15.54012203,15.46681213,13.40963173,19.02550697,4739.737305,0,18.18660927,18.3049984,16.06016731,20.67334938,5546.916016,0,20.83463097,20.83336639,18.55762291,24.29446602,6354.5625,0,23.96863556,24.11809158,21.50451469,25.7986412,7310.433594,0,25.87524033,25.7046566,22.90155792,28.29177666,7891.948242,0,23.33642387,23.34388733,20.69628334,25.99883461,7117.609375,0
6,NAM.6_1,24.32269859,24.84622192,18.9707737,29.03240585,23130.88672,0.9375,25.37329865,25.95807076,19.83481789,29.49838066,24130.00781,0.9375,25.74029732,26.40996552,18.92523575,29.88985252,24479.02344,0.9375,24.49038506,25.19772911,16.39250183,29.5587101,23290.35547,0.9375,23.8775425,24.17183495,17.09400177,28.06264305,22707.54297,0.9375,20.9690094,20.93989563,17.82276917,24.9250145,19941.52734,0.9375,20.28829384,20.24224663,16.56620598,24.96222496,19294.16797,0.9375,21.37598419,21.79062271,15.78178596,25.91240311,20328.56055,0.9375,23.12662125,24.18060303,15.39249039,27.57772827,21993.41602,0.9375,24.48596001,25.25054359,16.79851151,28.93686295,23286.14844,0.9375,25.08728027,25.68289375,17.76680565,29.50580978,23858.00391,0.9375,23.79429817,24.21893501,18.8021431,27.38559341,22628.37695,0.9375
7,NAM.7_1,24.76571083,24.75985527,24.13440323,25.42751503,2055.553955,0,25.95979881,26.0945797,25.05359077,26.89213943,2154.66333,0,27.96674156,28.03932571,27.40625191,28.6358242,2321.239502,0,27.12932396,27.06940269,26.27939224,27.92756653,2251.733887,0,24.63506508,24.65421677,23.87669945,25.22931671,2044.710327,0,20.41930008,20.44978905,19.63212013,21.0074234,1694.80188,0,20.0549984,20.10137749,19.36145973,20.5802002,1664.564941,0,23.38920021,23.4130764,23.07629204,23.62682152,1941.303589,0,26.07208824,26.097826,25.67116737,26.44698715,2163.983398,0,28.88121605,29.01763344,27.90307426,29.31243134,2397.140869,0,28.58167267,28.55365181,28.16803169,29.00898743,2372.278809,0,24.67936707,24.6552887,24.22641945,25.22022057,2048.387451,0
8,NAM.8_1,27.50933456,27.23967743,25.92432785,29.79013062,19201.51563,0,25.35803986,25.35253906,23.97375298,27.44613647,17699.91211,0,27.6438427,27.79000473,25.5674839,29.6269474,19295.40234,0,23.34355545,23.44335747,21.68216515,25.21092033,16293.80176,0,20.27888298,20.37016869,19.04280853,21.66789055,14154.66016,0,15.84859753,15.82675171,14.73015499,17.45479774,11062.32129,0,15.31165218,15.27365398,14.40232658,16.91732216,10687.5332,0,19.3752327,19.05306625,17.97624016,21.48226929,13523.91309,0,21.3305397,21.18541336,20.21627045,22.97553635,14888.7168,0,26.06837654,25.66262627,24.14433289,28.47156143,18195.72656,0,28.10822868,28.24409866,26.34353447,29.93981743,19619.54297,0,24.69320488,24.75783539,22.23456001,27.85079956,17235.85742,0
9,NAM.9_1,26.85357475,27.0477066,25.56609344,27.70151329,5800.37207,0,27.52747536,27.63720703,26.3388195,28.50260735,5945.93457,0,28.45280457,28.58708954,26.74888802,29.30675507,6145.805664,0,27.06396866,27.23894882,25.37210464,27.8134594,5845.817383,0,24.5975914,24.59303856,23.51702499,25.58981133,5313.07959,0,20.25124359,20.22923851,19.12911415,21.51207542,4374.268555,0,19.46045876,19.39054108,18.74322128,20.8230381,4203.458984,0,22.64951897,22.72674561,21.59584236,23.6784935,4892.295898,0,25.38757706,25.46210861,24.20216751,26.15356636,5483.716797,0,27.45074654,27.6009655,26.0050354,28.12901115,5929.361328,0,27.98780441,28.1067543,26.41586113,28.86052895,6045.365723,0,25.11328316,25.10372162,24.15231133,25.95893288,5424.469238,0
10,NAM.10_1,26.89063454,27.13067245,25.40863609,27.49062347,1882.34436,0,27.45969391,27.57279205,26.21617699,28.47967529,1922.178589,0,29.20047188,29.2734642,28.62061501,29.59538841,2044.033081,0,27.61517525,27.68299866,26.93584824,27.85031319,1933.062256,0,24.70455551,24.79980659,24.14922142,25.07124329,1729.318848,0,20.35096169,20.43520355,19.81232643,20.80167007,1424.567261,0,19.61951065,19.64657974,19.108284,20.08617783,1373.365723,0,22.88765717,22.884552,22.6380825,23.13818741,1602.135986,0,25.6581955,25.67840576,25.3452034,25.96026993,1796.07373,0,28.15473557,28.18165588,27.41212273,28.6622963,1970.831543,0,28.70190811,28.71652603,28.21245384,29.20814514,2009.133545,0,25.3007679,25.38141251,24.34534454,26.1219902,1771.053711,0
