GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
NGA.1_1,1.0,100054.03288884569,100065.11242481359,98684.07165370393,100811.83978035297,3802053.249776136,0.0,99966.3995672693,99977.95293027717,98599.43794206488,100720.98853339195,3798723.183556233,0.0,99988.27083532186,100001.7037661212,98612.1691409525,100744.05110920953,3799554.291742231,0.0,99941.53560473504,99954.73573436023,98567.70478687488,100695.3355240944,3797778.352979932,0.0,100019.07654144992,100032.0060906476,98646.76426479881,100769.57558368208,3800724.908575097,0.0,100283.3828436832,100296.38831035246,98900.90183385584,101037.93210857974,3810768.5480599618,0.0,100276.45411346343,100289.96836904352,98889.7315063842,101034.60396901313,3810505.2563116094,0.0,100369.02602603742,100382.49071039716,98979.22811968053,101129.77487902674,3814022.988989422,0.0,100218.549912995,100231.88763266188,98834.2913616964,100974.69234886485,3808304.8966938094,0.0,100058.20391304043,100071.24260273784,98680.42813152737,100807.78794275268,3802211.748695536,0.0,99961.40276210508,99974.47407100053,98588.5259041434,100712.13768967168,3798533.304959994,0.0,99971.98654183897,99983.4864698915,98607.78114184436,100720.96159931863,3798935.488589882,0.0
NGA.2_1,2.0,96197.56591655256,96091.29594487572,90302.3750494384,99331.78081403149,26742923.324801616,0.0,96097.28120310722,95991.87156048293,90233.87676902194,99217.06881092169,26715044.17446381,0.0,95888.02972377381,95772.62762227244,90156.46443588124,98962.33032728916,26656872.26320912,0.0,95811.03993876657,95708.02188127516,90121.6392215232,98877.21164896863,26635469.102977104,0.0,95936.94387973096,95835.33286292158,90201.10979641338,99020.27377134743,26670470.39856521,0.0,96205.00419862164,96097.57712572443,90404.5386804088,99318.14774906792,26744991.16721681,0.0,96219.97251220363,96105.30972580511,90385.40772015355,99350.93449043672,26749152.35839261,0.0,96316.42289813633,96195.43909190485,90457.57266206873,99460.67896878168,26775965.56568189,0.0,96187.25358319566,96072.27480148859,90350.98749457156,99310.70107932846,26740056.496128395,0.0,96085.24717608702,95968.6778828496,90233.87987055418,99209.84372975476,26711698.714952193,0.0,95979.73227943564,95865.50061641962,90178.03968776832,99062.76084217757,26682365.57368311,0.0,96168.79282167587,96059.3676608708,90255.83736016846,99308.11383087604,26734924.40442589,0.0
NGA.3_1,3.0,100603.18227621859,100635.29528123492,99888.27819353195,101065.36097867279,5231365.478363368,0.0,100510.2405444635,100542.08128375623,99801.91677824633,100969.08556053901,5226532.5083121015,0.0,100533.88306735794,100566.11163373607,99826.38591352463,100987.348208176,5227761.919502612,0.0,100485.03545353275,100516.48825964011,99779.95664204226,100937.82389153619,5225221.843583704,0.0,100558.10694059992,100589.34080305992,99853.36377433207,101010.47248240627,5229021.560911195,0.0,100825.78399711844,100857.23038291892,100116.47796243409,101281.10251972335,5242940.767850159,0.0,100821.82586556773,100853.55698022137,100109.14041638293,101279.09757982157,5242734.945009522,0.0,100918.36348148657,100950.42134417947,100203.37187211668,101377.87365816665,5247754.901037301,0.0,100762.7617183942,100794.41883175797,100051.00719201037,101219.1481653038,5239663.609356498,0.0,100597.30205231828,100628.35643172596,99890.17224597331,101050.2837541286,5231059.7067205515,0.0,100500.64009115276,100531.82752250783,99795.76613723699,100953.51944840926,5226033.284739944,0.0,100511.40829091727,100542.06986922736,99805.05853780208,100966.72801051894,5226593.231127698,0.0
NGA.4_1,4.0,100117.89244392766,100245.15991699726,98851.39293105641,100715.43038075331,3904597.805313179,0.0,100027.76240786156,100152.08131062672,98764.85185146137,100626.65778746738,3901082.7339066,0.0,100045.43198031947,100164.62946228911,98781.44154370922,100652.1718087636,3901771.84723246,0.0,99999.4692720644,100121.16868909716,98735.59417616764,100604.1510013519,3899979.3016105113,0.0,100085.05240746214,100210.84682559148,98814.80408799947,100684.28902976763,3903317.0438910224,0.0,100349.23620209818,100477.89885117457,99068.83788888619,100952.24765725943,3913620.211881829,0.0,100342.95351889727,100471.6472006464,99059.74251177676,100948.4975111566,3913375.187236993,0.0,100434.04805541712,100562.94335059746,99150.98978845408,101039.15450039807,3916927.874161266,0.0,100286.4865774232,100416.17866389267,99004.71930402386,100889.10598692491,3911172.9765195036,0.0,100129.53451078967,100257.45568935988,98848.66339121095,100727.18463206087,3905051.845920797,0.0,100027.98666792412,100156.72878539127,98756.28005430708,100627.77978247851,3901091.480049041,0.0,100042.047044848,100168.68442561453,98772.91802946074,100633.41516875096,3901639.834749072,0.0
NGA.5_1,5.0,95402.22512579756,95891.26761058246,89931.71858361318,98384.74373052627,37874683.37494163,0.0,95310.62596975653,95796.17128533908,89859.30000767787,98285.0252342588,37838318.50999333,0.0,95096.1577527659,95572.23356972232,89762.64284981918,98052.14401147014,37753174.62784806,0.0,94950.94390763828,95420.21500883774,89668.30734411514,97972.24659263065,37695524.73133239,0.0,95020.87323121572,95503.99498721896,89730.64829107284,98099.03236061108,37723286.67279264,0.0,95287.24311713887,95781.79188899003,89933.82738698722,98393.4239338859,37829035.51750413,0.0,95301.34323186048,95799.42637085293,89912.56651285374,98409.78715952355,37834633.26304861,0.0,95395.35532501564,95893.40164504413,89976.76240910047,98511.03264605648,37871956.06403121,0.0,95283.27982519603,95778.21360157881,89896.74834745508,98377.9071403898,37827462.09060282,0.0,95181.42275110367,95674.32301709012,89789.85053175579,98266.11492875993,37787024.83218817,0.0,95143.19078348528,95615.96109494408,89779.1203686538,98145.53221535642,37771846.74104366,0.0,95383.8793485266,95874.34279013012,89897.12200493047,98369.22693703018,37867400.10136506,0.0
NGA.6_1,6.0,100964.52781602905,100964.9603799784,100844.29225607724,101084.93265845068,8077162.225282323,1.2345679012345678,100873.27825888727,100873.7562907673,100756.48716768107,100991.783065581,8069862.260710983,1.2345679012345678,100888.78220298936,100887.61953388533,100778.1818692744,101003.03603653167,8071102.576239149,1.2345679012345678,100838.97309151344,100838.66636087194,100727.69378980836,100953.64799735912,8067117.8473210735,1.2345679012345678,100912.64040966783,100912.19062218457,100803.7840505376,101025.54197843307,8073011.232773425,1.2345679012345678,101181.93593749273,101180.5084449234,101073.25977420401,101294.98811619717,8094554.874999419,1.2345679012345678,101181.61833113096,101181.43618675187,101070.23605422725,101296.86361135564,8094529.466490476,1.2345679012345678,101277.09368014276,101277.43088938516,101163.3918466378,101394.38935959508,8102167.494411423,1.2345679012345678,101120.48522746912,101120.08287912476,101010.02219812297,101235.59743617957,8089638.818197528,1.2345679012345678,100950.43253952221,100949.23786646764,100844.76296302176,101062.42671654932,8076034.603161777,1.2345679012345678,100857.99436214636,100857.31456360286,100748.69080696387,100972.40294894364,8068639.548971709,1.2345679012345678,100871.21739165898,100871.2081393103,100755.24303711626,100989.90757042254,8069697.391332719,1.2345679012345678
NGA.7_1,7.0,99226.69414748848,99326.26214172236,95762.34919585632,100240.98935359927,25600487.09005203,0.0,99139.03683007401,99237.87250411436,95681.87946005599,100152.45475443052,25577871.50215909,0.0,99086.82028155062,99171.99962295603,95647.06251153113,100131.92373243796,25564399.63264006,0.0,99043.13819987321,99125.74429598717,95606.25945106463,100087.07977656764,25553129.655567285,0.0,99154.82671965676,99243.28083160822,95693.81414126436,100192.07994656918,25581945.29367144,0.0,99425.27639632726,99516.75285342784,95937.65796309427,100466.57026002613,25651721.31025243,0.0,99423.62704801184,99517.34206184046,95928.11300458484,100462.59040302072,25651295.77838705,0.0,99516.40352045721,99609.55211037301,96012.18349254565,100554.46972249936,25675232.10827796,0.0,99369.7416559448,99462.71522594703,95877.16508569792,100404.75599404561,25637393.34723376,0.0,99232.80451026994,99326.89916263844,95741.61400335043,100261.06504943149,25602063.563649643,0.0,99108.30821600008,99202.62686412148,95644.51345261023,100139.48755614758,25569943.51972803,0.0,99171.68846415836,99281.16865827267,95698.92441968381,100176.01222809694,25586295.623752866,0.0
NGA.8_1,8.0,97281.81570966144,97705.95259871258,93814.36603528974,98135.108393165,55353353.13879734,0.0,97177.86932502656,97599.22754096877,93724.16054158132,98037.17129117828,55294207.64594011,0.0,96909.40457968305,97320.17791475928,93530.439770469,97758.40397044152,55141451.20583965,0.0,96718.36308164119,97113.41208502742,93429.1142365824,97565.17670436787,55032748.59345384,0.0,96752.48387388301,97126.31576278883,93521.82571651752,97690.25620227633,55052163.32423942,0.0,97035.18001324568,97406.63324429773,93770.27403526584,97982.9187283469,55213017.42753679,0.0,97076.09131549264,97460.41466663618,93779.45087963792,98011.22455520033,55236295.95851531,0.0,97205.02857151876,97595.39763740725,93866.37864433664,98120.10181232568,55309661.25719418,0.0,97073.1939250874,97463.15910858943,93760.93873558324,97981.69659576776,55234647.34337474,0.0,96993.90789694533,97385.94833993947,93659.9315054341,97880.39618081764,55189533.59336189,0.0,96966.79028491922,97373.2672104986,93599.39290355904,97774.2435847383,55174103.67211904,0.0,97263.50906784645,97686.5942435188,93787.62742652457,98127.95527589926,55342936.65960461,0.0
NGA.9_1,9.0,99477.19103268998,99824.35522415506,90998.08224176633,101073.90542789943,17110076.857622676,1.1494252873563218,99388.4206755716,99735.25708959343,90925.7344583758,100977.1216685932,17094808.35619832,1.1494252873563218,99405.55776561717,99748.59492344732,90921.46688829108,100997.12695028332,17097755.935686152,1.1494252873563218,99359.64095787206,99701.97687677183,90886.57330714416,100946.48858100515,17089858.244753994,1.1494252873563218,99438.14033268944,99785.4462096667,90942.29605005725,101017.13223197346,17103360.13722258,1.1494252873563218,99702.52707673203,100051.28674837136,91149.49536738476,101290.21253617408,17148834.657197908,1.1494252873563218,99696.18302809406,100046.23147451373,91124.0892682336,101287.77028790301,17147743.48083218,1.1494252873563218,99788.91326597199,100139.20825497997,91202.6432896742,101388.87179063878,17163693.08174718,1.1494252873563218,99637.59216718913,99986.7046124672,91081.51947940409,101227.6960308924,17137665.852756526,1.1494252873563218,99481.71914124324,99831.14031839283,90944.42456551695,101059.01829051222,17110855.692293838,1.1494252873563218,99380.17190433793,99727.91969781127,90877.94201408712,100961.49254227275,17093389.567546126,1.1494252873563218,99396.31899790133,99746.23305027463,90918.10725051537,100973.99584332912,17096166.867639028,1.1494252873563218
NGA.10_1,10.0,100678.49199555356,100893.47513106653,98605.63996739007,101046.20791651373,13390239.435408626,0.0,100589.82882281533,100804.69256507084,98517.30006875227,100956.18414890807,13378447.23343444,0.0,100607.44896633172,100825.02227741462,98532.2621161742,100964.93645964752,13380790.71252212,0.0,100559.79469990359,100776.7248513218,98487.8707670509,100918.04908068624,13374452.69508718,0.0,100638.41622662036,100854.69539866892,98566.60978289203,100994.3192171299,13384909.358140506,0.0,100904.16465942167,101122.82536618171,98817.89810887171,101261.26469468273,13420253.899703082,0.0,100902.00202765854,101120.80593960283,98808.08709421726,101261.88985973553,13419966.269678585,0.0,100995.00579005422,101211.7427351021,98896.86428727835,101359.893354599,13432335.77007721,0.0,100842.50383375274,101060.4267618955,98754.6284005724,101201.24884961233,13412053.009889113,0.0,100677.7234742795,100895.72049016383,98599.44353245255,101031.05653681733,13390137.222079173,0.0,100580.85531996543,100797.22715224994,98508.96280450703,100936.80403227077,13377253.757555405,0.0,100591.79583273569,100803.28663897641,98525.69832591184,100953.058323644,13378708.845753845,0.0
