adm_id,GID_1,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
1,SEN.1_1,1.402608579,1.402608579,0.838256283,1.966960875,2.805217158,60,1.402608579,1.402608579,0.838256283,1.966960875,2.805217158,60,1.402608579,1.402608579,0.838256283,1.966960875,2.805217158,60,1.402608579,1.402608579,0.838256283,1.966960875,2.805217158,60,1.402608579,1.402608579,0.838256283,1.966960875,2.805217158,60,1.402608579,1.402608579,0.838256283,1.966960875,2.805217158,60,1.402608579,1.402608579,0.838256283,1.966960875,2.805217158,60,1.402997011,1.402997011,0.83864054,1.967353482,2.805994022,60,1.404890617,1.404890617,0.840513792,1.969267442,2.809781234,60,1.404842063,1.404842063,0.84046576,1.969218366,2.809684126,60,1.402899903,1.402899903,0.838544475,1.96725533,2.805799806,60,1.402608579,1.402608579,0.838256283,1.966960875,2.805217158,60
2,SEN.2_1,0.162661044,0,0,2.16483968,6.506441745,0,0.162657269,0,0,2.16483968,6.506290772,0,0.162651576,0,0,2.16483968,6.506063036,0,0.162650297,0,0,2.16483968,6.506011883,0,0.162650297,0,0,2.16483968,6.506011883,0,0.162654589,0,0,2.16483968,6.506183566,0,0.162691969,0,0,2.165114726,6.507678758,0,0.162764275,0,0,2.165914999,6.510571004,0,0.162784074,0,0,2.165929961,6.511362945,0,0.162709769,0,0,2.165033738,6.508390771,0,0.162686047,0,0,2.164935257,6.507441863,0,0.162664666,0,0,2.16483968,6.506586644,0
3,SEN.3_1,0.947733435,0.552709321,0,2.42687821,52.12533894,0,0.945688531,0.552499262,0,2.422889682,52.0128692,0,0.944067892,0.552499262,0,2.422285046,51.92373409,0,0.943575337,0.5522716,0,2.421742361,51.89664351,0,0.941565878,0.550862208,0,2.419521188,51.78612326,0,0.944590002,0.551125076,0,2.423001832,51.95245011,0,0.954617253,0.554725769,0,2.430655672,52.5039489,0,0.971116979,0.561448078,0,2.438690062,53.41143385,0,0.988596011,0.566762717,0,2.452913746,54.37278059,0,0.984359305,0.563227183,0,2.453096367,54.13976175,0,0.968002254,0.557995833,0,2.442793649,53.24012397,0,0.954301572,0.554283477,0,2.433212453,52.48658646,0
4,SEN.4_1,1.928130177,1.956984748,1.233239323,2.430228178,177.3879763,0,1.92295115,1.953270106,1.233012625,2.429763332,176.9115058,0,1.920306702,1.949797956,1.231483192,2.429763332,176.6682166,0,1.91908542,1.950508972,1.231166269,2.429484896,176.5558586,0,1.909833831,1.937321779,1.23104105,2.42783431,175.7047124,0,1.921175421,1.944772368,1.231414325,2.428632061,176.7481388,0,2.001997852,2.029399737,1.234166126,2.437835082,184.1838023,0,2.146883981,2.188187497,1.239593374,2.456402619,197.5133263,0,2.236732063,2.285799785,1.241654976,2.480038216,205.7793498,0,2.151585401,2.198692142,1.237630731,2.464223634,197.9458569,0,2.025811514,2.057823366,1.235218371,2.445275326,186.3746593,0,1.959244145,1.989277168,1.233744062,2.434750261,180.2504613,0
5,SEN.5_1,1.457409375,1.772424206,0,2.417056355,64.12601249,0,1.452780414,1.766746208,0,2.415486266,63.9223382,0,1.451769477,1.761239635,0,2.415336226,63.87785698,0,1.45087101,1.760218768,0,2.415232383,63.83832444,0,1.44634793,1.759337721,0,2.414669898,63.6393089,0,1.449738925,1.766124064,0,2.415428641,63.78851271,0,1.480433009,1.827899971,0,2.422123862,65.13905241,0,1.540955224,1.971154511,0,2.435665914,67.80202986,0,1.592936962,2.089692012,0,2.447786069,70.08922633,0,1.578088839,2.061071108,0,2.443083049,69.43590893,0,1.520594829,1.932344986,0,2.430534739,66.90617247,0,1.475275735,1.816740819,0,2.421341374,64.91213233,0
6,SEN.6_1,0.519643371,0.061913944,0,2.472668872,73.26971536,0,0.519115909,0.061913944,0,2.471784751,73.19534319,0,0.520692956,0.061913944,0,2.474220165,73.41770676,0,0.522592089,0.061913944,0,2.478001295,73.68548457,0,0.52601584,0.061913944,0,2.485296405,74.16823347,0,0.535035496,0.061913944,0,2.499913699,75.440005,0,0.547395812,0.061913944,0,2.532367227,77.18280945,0,0.554038661,0.061913944,0,2.613596357,78.11945118,0,0.557438349,0.061913944,0,2.660985683,78.59880726,0,0.550778264,0.061913944,0,2.574667402,77.65973529,0,0.538221252,0.061913944,0,2.505203246,75.88919653,0,0.525656601,0.061913944,0,2.482726603,74.11758073,0
7,SEN.7_1,0.380906148,0,0,2.058770446,39.99514553,0,0.379946668,0,0,2.057882775,39.89440009,0,0.380551442,0,0,2.057882775,39.95790137,0,0.381725207,0,0,2.058031669,40.08114676,0,0.382664363,0,0,2.05911956,40.17975809,0,0.384923347,0,0,2.067582746,40.41695141,0,0.388654154,0,0,2.087121263,40.80868615,0,0.391162075,0,0,2.108684546,41.07201783,0,0.39498733,0,0,2.129043076,41.4736696,0,0.394149059,0,0,2.122181255,41.38565123,0,0.389300573,0,0,2.089664157,40.87656012,0,0.384095553,0,0,2.067637064,40.33003307,0
8,SEN.8_1,0.442400234,0,0,2.435821541,89.80724744,0,0.441794557,0,0,2.435141759,89.6842951,0,0.441265676,0,0,2.431626853,89.57693227,0,0.441165731,0,0,2.430972094,89.5566433,0,0.440750515,0,0,2.430509596,89.47235449,0,0.441530192,0,0,2.431476623,89.6306289,0,0.446489298,0,0,2.439441054,90.6373275,0,0.457068089,0,0,2.457066267,92.78482201,0,0.461303138,0,0,2.471910428,93.6445371,0,0.452924561,0,0,2.44964033,91.94368586,0,0.44652911,0,0,2.441353632,90.64540929,0,0.443511161,0,0,2.437468965,90.03276574,0
9,SEN.9_1,0.639217807,0,0,2.439728977,143.8240066,0,0.638134916,0,0,2.439113901,143.5803561,0,0.637896924,0,0,2.439113901,143.526808,0,0.637779371,0,0,2.439113901,143.5003586,0,0.637409837,0,0,2.439113901,143.4172134,0,0.642691992,0,0,2.442078307,144.6056983,0,0.672459828,0,0,2.463345586,151.3034613,0,0.7182454,0,0,2.492218702,161.6052149,0,0.73035299,0,0,2.495115627,164.3294228,0,0.6902329,0,0,2.46911492,155.3024024,0,0.659851758,0,0,2.45256754,148.4666456,0,0.646814907,0,0,2.444541244,145.533354,0
10,SEN.10_1,0.054379411,0,0,1.825779752,8.972602793,1.19760479,0.054379411,0,0,1.825779752,8.972602793,1.19760479,0.054379411,0,0,1.825779752,8.972602793,1.19760479,0.054379411,0,0,1.825779752,8.972602793,1.19760479,0.054379411,0,0,1.825779752,8.972602793,1.19760479,0.054381116,0,0,1.825990324,8.972884114,1.19760479,0.054437511,0,0,1.829282975,8.982189365,1.19760479,0.054710227,0,0,1.841013244,9.027187433,1.19760479,0.054868388,0,0,1.848363438,9.053284057,1.19760479,0.054729983,0,0,1.841179331,9.030447153,1.19760479,0.054562253,0,0,1.833858055,9.002771731,1.19760479,0.054399469,0,0,1.826632093,8.975912398,1.19760479
