adm_id,GID_1,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
1,SEN.1_1,-1.630424672,-1.630424672,-1.687989417,-1.572859927,-3.260849344,60,-1.861243019,-1.861243019,-1.914486075,-1.807999964,-3.722486038,60,-1.003378597,-1.003378597,-1.048684923,-0.95807227,-2.006757194,60,-0.107971797,-0.107971797,-0.143024407,-0.072919187,-0.215943594,60,1.090338435,1.090338435,1.071765949,1.108910921,2.18067687,60,2.52017975,2.52017975,2.50000779,2.54035171,5.040359501,60,3.479011861,3.479011861,3.411723438,3.546300284,6.958023722,60,3.069559243,3.069559243,3.009061808,3.130056678,6.139118486,60,1.687071076,1.687071076,1.631476379,1.742665773,3.374142152,60,0.618031049,0.618031049,0.616987971,0.619074128,1.236062099,60,-0.841170236,-0.841170236,-0.901209817,-0.781130655,-1.682340472,60,-1.720089341,-1.720089341,-1.784480437,-1.655698245,-3.440178682,60
2,SEN.2_1,-1.583865248,-1.620169416,-1.743345681,-1.348451794,-63.35460991,0,-1.765661705,-1.771841976,-1.915457741,-1.628952804,-70.62646821,0,-0.531480599,-0.53267045,-0.609253164,-0.419366768,-21.25922396,0,0.60698075,0.593081401,0.457749491,0.855306955,24.27923002,0,1.701169349,1.725872714,1.33838201,1.840382951,68.04677398,0,2.641337161,2.653168874,2.339090014,2.837463387,105.6534864,0,2.763944632,2.75335555,2.635787406,3.028038067,110.5577853,0,2.230988467,2.224275777,2.079556417,2.446036231,89.23953867,0,1.248744158,1.246925642,1.078381975,1.403560144,49.94976633,0,0.609541426,0.61292391,0.488972474,0.691200754,24.38165705,0,-0.49255623,-0.466915286,-0.758572642,-0.305206196,-19.70224919,0,-1.605833235,-1.615554601,-1.738736459,-1.45708682,-64.23332939,0
3,SEN.3_1,-1.44062549,-1.460044932,-1.685420023,-1.121816538,-79.23440197,0,-1.510687417,-1.553567568,-1.793261787,-1.068727722,-83.08780791,0,-0.355204499,-0.47661041,-0.584883233,0.313166317,-19.53624743,0,0.654320715,0.494787931,0.255010238,1.824242056,35.9876393,0,1.889731168,1.717173405,1.279339596,3.361897037,103.9352142,0,3.04943106,2.883604469,2.416751749,4.343286394,167.7187083,0,3.022600297,2.860248434,2.610377279,4.11402531,166.2430163,0,2.477083642,2.276703006,2.023711082,3.550677523,136.2396003,0,1.225605018,1.156826301,0.9367422,1.790002347,67.40827597,0,0.881430621,0.805456135,0.546622578,1.568554144,48.47868415,0,-0.05726255,-0.102446811,-0.661888169,0.714568196,-3.149440265,0,-1.329709277,-1.310355917,-1.641855947,-1.087145186,-73.13401021,0
4,SEN.4_1,-1.273811863,-1.289795742,-1.530116349,-1.040832232,-117.1906914,0,-1.32667042,-1.352438823,-1.688931298,-1.021213482,-122.0536787,0,-0.258525211,-0.271349496,-0.479718452,-0.051548051,-23.78431938,0,0.536181719,0.496456323,0.386487515,0.79161318,49.32871818,0,1.759225896,1.713610663,1.611508241,2.06005195,161.8487825,0,2.778799438,2.763890295,2.652472363,3.029473363,255.6495483,0,2.229705913,2.227856299,1.938719583,2.632237675,205.132944,0,1.832167554,1.828511012,1.708870085,2.07224083,168.559415,0,0.996143586,0.984319204,0.831458151,1.265027788,91.64520988,0,0.683281585,0.662759183,0.540386443,0.889026777,62.86190584,0,-0.407138764,-0.444750617,-0.785967497,0.075920647,-37.45676627,0,-1.299879046,-1.320442641,-1.57139815,-0.987774687,-119.5888722,0
5,SEN.5_1,-1.303275813,-1.341933946,-1.542046602,-0.976622049,-57.34413579,0,-1.317180079,-1.342575555,-1.629190135,-0.918921471,-57.95592346,0,-0.324585799,-0.352153075,-0.504338122,-0.023708499,-14.28177515,0,0.592366788,0.573896604,0.334982343,0.898425448,26.06413869,0,1.719610098,1.697351468,1.456904101,1.983008098,75.66284431,0,2.812705082,2.806978313,2.725766449,2.97966218,123.7590236,0,2.437402961,2.483891373,2.02382878,2.710346664,107.2457303,0,1.960816276,1.963588185,1.723966798,2.177815004,86.27591613,0,0.943154094,0.949757538,0.790018205,1.101202941,41.49878012,0,0.826411368,0.849886574,0.705868443,0.897236006,36.36210019,0,0.006591217,0.048443095,-0.391254733,0.238714096,0.290013527,0,-1.141779485,-1.150093969,-1.436073846,-0.902222059,-50.23829735,0
6,SEN.6_1,-1.659954175,-1.693514268,-2.002379512,-1.087029659,-234.0535387,0,-1.325941562,-1.325237093,-1.790268378,-0.80486974,-186.9577602,0,-0.30087668,-0.315749449,-0.703854164,0.012310807,-42.42361186,0,1.380954103,1.414303807,0.69406859,1.763873006,194.7145285,0,2.710493839,2.746207655,1.854563158,3.121162965,382.1796313,0,3.345591226,3.396503228,2.014134613,3.855204582,471.7283629,0,2.198278377,2.241104762,1.113102112,2.729673768,309.9572511,0,2.353462964,2.383486037,1.32211655,2.868049732,331.8382779,0,0.797038037,0.837129048,0.339551476,1.088063747,112.3823632,0,0.951492394,1.006871664,0.575188904,1.145809228,134.1604275,0,-0.147475712,-0.152336387,-0.727290597,0.339536249,-20.79407533,0,-1.849835063,-1.860797219,-2.237101751,-1.293794331,-260.8267439,0
7,SEN.7_1,-1.264187884,-1.215368426,-1.633134712,-1.053229825,-132.7397278,0,-1.117553866,-1.100215575,-1.513140788,-0.757562412,-117.343156,0,-0.116300847,-0.117350459,-0.280366241,0.033356292,-12.21158892,0,0.981682752,0.959416629,0.855934099,1.187885315,103.0766889,0,2.361901972,2.383092711,2.16134437,2.469291258,247.9997071,0,3.102076395,3.120982702,2.845491317,3.333927769,325.7180215,0,1.846432676,1.847946991,1.583936871,2.111480585,193.875431,0,1.865669722,1.851171552,1.656142404,2.153010699,195.8953208,0,0.780438678,0.782226518,0.533489562,1.046893549,81.94606121,0,1.012436581,1.021257573,0.814528328,1.14286228,106.305841,0,0.339017513,0.353815117,0.070448993,0.50291272,35.59683882,0,-1.17600714,-1.16371472,-1.527805439,-0.996316702,-123.4807497,0
8,SEN.8_1,-1.97934439,-1.956372029,-2.6554411,-1.382327245,-401.8069111,0,-2.346170191,-2.321500959,-3.174661401,-1.535514586,-476.2725488,0,-0.7185946,-0.703144145,-1.128258188,-0.336646198,-145.8747037,0,0.571118828,0.505019195,0.145230733,1.23347821,115.937122,0,2.116168777,2.13131076,1.643838159,2.637822954,429.5822617,0,3.029122762,3.023856349,2.649776777,3.49599308,614.9119207,0,3.676942727,3.733950613,2.416395765,4.845477252,746.4193735,0,2.965115955,2.985108125,1.953380946,4.189626929,601.9185389,0,2.026319769,2.010668784,1.194810261,3.102831227,411.3429132,0,0.544354343,0.567498549,0.126974613,1.029460101,110.5039317,0,-1.130975661,-1.123653324,-1.830268188,-0.494981671,-229.5880592,0,-2.158254861,-2.142103588,-2.900080955,-1.469374298,-438.1257368,0
9,SEN.9_1,-2.372551462,-2.436813018,-3.291347167,-1.375893695,-533.8240789,0,-2.604321919,-2.690783162,-3.787251661,-1.511003854,-585.9724318,0,-0.859678249,-0.898175795,-1.422720478,-0.318431145,-193.4276059,0,0.087239594,0.014688191,-0.118658271,0.46401122,19.62890865,0,1.816144896,1.819011864,1.482292254,2.179037896,408.6326016,0,3.243429918,3.297007865,2.635268084,3.619404934,729.7717316,0,3.237784917,3.262468103,1.903597344,4.806115051,728.5016063,0,2.728818107,2.823480239,1.826727188,3.727070898,613.984074,0,1.760280647,1.785748921,1.03748506,2.641043088,396.0631455,0,0.267561749,0.308247369,-0.366962882,0.559225564,60.20139353,0,-1.792582711,-1.858324458,-2.574815759,-0.800577715,-403.3311101,0,-2.64615538,-2.709993045,-3.68979406,-1.534706082,-595.3849604,0
10,SEN.10_1,-2.541444165,-2.620835948,-3.121352303,-1.645919767,-419.3382872,1.19760479,-3.085720336,-3.164586338,-3.694666693,-2.279532893,-509.1438555,1.19760479,-1.084640508,-1.11102168,-1.353129723,-0.498996272,-178.9656838,1.19760479,0.320528106,0.171366941,-0.054616449,1.198796295,52.8871375,1.19760479,2.33606637,2.347170071,1.929518133,2.622723598,385.450951,1.19760479,2.709395312,2.666962159,2.128243684,3.438307804,447.0502264,1.19760479,4.588295946,4.684521298,3.714897721,5.205820223,757.0688311,1.19760479,3.721492574,3.751768678,2.967713332,4.405504272,614.0462747,1.19760479,2.696659743,2.730067718,2.055364732,3.503652285,444.9488576,1.19760479,0.093587537,0.102439423,-0.500663775,0.989855011,15.44194358,1.19760479,-1.714548614,-1.845774593,-2.282440162,-0.59278218,-282.9005212,1.19760479,-2.871719818,-2.945062865,-3.62498053,-2.062094732,-473.8337701,1.19760479
