adm_id,GID_1,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
1,TZA.1_1,-0.002969281,-0.003262716,-0.004455064,-0.000421337,-0.9175077,0,-0.002325439,-0.002110156,-0.005344951,-0.000168957,-0.718560625,0,-0.001980116,-0.001682439,-0.005260981,-0.000115355,-0.611855719,0,-0.002308737,-0.002348757,-0.004716944,-0.000692599,-0.713399624,0,-0.002656031,-0.002678958,-0.004410364,-0.001102597,-0.820713469,0,-0.001675618,-0.001668246,-0.004063442,-0.000130935,-0.517765837,0,-0.001223246,-0.001007559,-0.004462481,-7.72E-05,-0.377983155,0,-0.001088377,-0.000839023,-0.004919821,-9.45E-05,-0.336308368,0,-0.001117748,-0.000834017,-0.005667676,-0.000117,-0.345384014,0,-0.002643484,-0.002656317,-0.005077583,-0.000666131,-0.816836486,0,-0.003018567,-0.003120708,-0.004347424,-0.001435367,-0.932737078,0,-0.003279574,-0.003271896,-0.003899538,-0.00259619,-1.01338831,0
2,TZA.2_1,-0.003169675,-0.003242966,-0.003723032,-0.002501479,-0.038036097,7.692307692,-0.002179808,-0.002087932,-0.002778535,-0.001701582,-0.026157694,7.692307692,-0.002244867,-0.002186832,-0.002765391,-0.001842656,-0.026938407,7.692307692,-0.003746075,-0.003658503,-0.004133188,-0.003545651,-0.044952905,7.692307692,-0.003306691,-0.003119199,-0.004060931,-0.00297102,-0.039680289,7.692307692,-0.003303012,-0.003270617,-0.003756654,-0.002954871,-0.039636148,7.692307692,-0.002329477,-0.002224712,-0.002939351,-0.002128967,-0.027953723,7.692307692,-0.002217716,-0.002150111,-0.002663893,-0.001996201,-0.026612591,7.692307692,-0.00219733,-0.00207603,-0.002869803,-0.001962768,-0.026367957,7.692307692,-0.003758695,-0.003669592,-0.004205942,-0.003534886,-0.045104339,7.692307692,-0.00404745,-0.004047561,-0.004278354,-0.003728164,-0.048569399,7.692307692,-0.004005767,-0.004020694,-0.004211077,-0.003702873,-0.048069201,7.692307692
3,TZA.3_1,-0.003577711,-0.003635237,-0.005212932,-0.00219111,-1.209266199,0,-0.002465203,-0.002411347,-0.005826645,-0.000622478,-0.833238662,0,-0.002616387,-0.002540538,-0.005791138,-0.00090074,-0.88433873,0,-0.002114025,-0.002041561,-0.005424097,-0.001034807,-0.714540329,0,-0.002136853,-0.002328407,-0.004828395,-0.000818904,-0.722256325,0,-0.000891449,-0.000782688,-0.004688938,-7.60E-05,-0.301309774,0,-0.000412419,-0.000207615,-0.004596224,-3.51E-05,-0.139397461,0,-0.000354121,-0.000153797,-0.004802793,-3.65E-05,-0.119692993,0,-0.000333406,-0.000141657,-0.00540551,-4.00E-05,-0.112691198,0,-0.001566548,-0.001471684,-0.005426414,-0.000463854,-0.529493114,0,-0.001504549,-0.001316395,-0.005403889,-0.00074962,-0.50853759,0,-0.003399445,-0.003435177,-0.004347252,-0.002406686,-1.149012312,0
4,TZA.4_1,-0.003574625,-0.003585761,-0.004771237,-0.003003655,-0.56836544,0,-0.003249505,-0.003281658,-0.004797054,-0.001923253,-0.516671351,0,-0.002912754,-0.002919198,-0.004573741,-0.001775202,-0.463127826,0,-0.003103773,-0.003143706,-0.004367567,-0.002342385,-0.493499906,0,-0.002909074,-0.002868169,-0.004298068,-0.002367044,-0.462542802,0,-0.001617456,-0.001582313,-0.00381967,-0.000601677,-0.257175559,0,-0.001363907,-0.001217482,-0.003910236,-0.000677718,-0.216861261,0,-0.0011488,-0.000931014,-0.004059113,-0.000476821,-0.182659206,0,-0.001785038,-0.001667191,-0.004229421,-0.000716994,-0.283821037,0,-0.002752914,-0.002699126,-0.003695091,-0.002217125,-0.437713268,0,-0.003017547,-0.00301004,-0.003835453,-0.002529938,-0.479789907,0,-0.003093656,-0.00309909,-0.003557704,-0.002756404,-0.491891335,0
5,TZA.5_1,-0.003606781,-0.003602082,-0.004638121,-0.001993088,-1.067607285,0,-0.003483611,-0.003678137,-0.004793404,-0.00083307,-1.03114877,0,-0.003227125,-0.003595361,-0.004663179,-0.001037017,-0.955229005,0,-0.002988015,-0.003146688,-0.004064588,-0.001032155,-0.884452318,0,-0.002404752,-0.002610919,-0.003469678,-0.000798041,-0.711806633,0,-0.00138402,-0.001436647,-0.003173698,-4.30E-05,-0.409669789,0,-0.000926024,-0.000912075,-0.002394258,-2.53E-05,-0.27410298,0,-0.000820695,-0.000774568,-0.002458922,-2.53E-05,-0.242925853,0,-0.000837312,-0.000750901,-0.002542134,-3.48E-05,-0.247844208,0,-0.001738897,-0.001486277,-0.003999425,-0.000322022,-0.514713373,0,-0.001959792,-0.00170953,-0.004396415,-0.000711358,-0.580098474,0,-0.003247428,-0.003204444,-0.004051069,-0.002463799,-0.961238753,0
6,TZA.6_1,-0.003614449,-0.003450096,-0.004667512,-0.002028303,-1.102407056,0,-0.00353054,-0.003152851,-0.00543223,-0.001407332,-1.07681484,0,-0.003406961,-0.002991308,-0.005241902,-0.001291344,-1.039123076,0,-0.003373497,-0.003019103,-0.005079977,-0.001926678,-1.028916677,0,-0.003254554,-0.00297788,-0.004570697,-0.00217324,-0.992638897,0,-0.002674044,-0.002536295,-0.004059996,-0.001004093,-0.815583468,0,-0.00256972,-0.002151213,-0.004599762,-0.000581269,-0.783764586,0,-0.002517486,-0.002091988,-0.004548698,-0.000418854,-0.767833159,0,-0.002809738,-0.002542979,-0.004296716,-0.001204281,-0.856970042,0,-0.002850787,-0.002671604,-0.003970382,-0.002128167,-0.869490053,0,-0.003169483,-0.003087334,-0.004020112,-0.002528398,-0.966692428,0,-0.003173354,-0.003140826,-0.003806398,-0.002581761,-0.967873027,0
7,TZA.7_1,-0.003705549,-0.00368877,-0.004295202,-0.003133674,-1.452575392,0,-0.003989443,-0.003969333,-0.004799413,-0.00293469,-1.563861822,0,-0.003882368,-0.003828349,-0.004852316,-0.002740638,-1.521888226,0,-0.003628847,-0.003595484,-0.005268393,-0.001901426,-1.422507968,0,-0.003165145,-0.003162895,-0.005564561,-0.000958011,-1.240736739,0,-0.001836264,-0.001797359,-0.006134026,-0.000242462,-0.719815524,0,-0.001136508,-0.001051703,-0.004914813,-0.000114968,-0.445510959,0,-0.000956138,-0.000838545,-0.004601967,-8.86E-05,-0.374806076,0,-0.000994763,-0.000830504,-0.005079699,-0.000141294,-0.389947068,0,-0.002282436,-0.002176992,-0.004638248,-0.00104441,-0.894714789,0,-0.002569419,-0.002469888,-0.00470996,-0.001627906,-1.007212346,0,-0.003239734,-0.003200641,-0.00408281,-0.002792907,-1.269975891,0
8,TZA.8_1,-0.00373528,-0.003719113,-0.004519969,-0.00314381,-1.340965659,0,-0.003851095,-0.003837552,-0.004835422,-0.002842926,-1.382543001,0,-0.003777042,-0.003741184,-0.004936479,-0.00242409,-1.355958031,0,-0.003461281,-0.00333638,-0.005173248,-0.002388983,-1.242599715,0,-0.003306656,-0.003155682,-0.005429796,-0.00240763,-1.18708933,0,-0.00263021,-0.00218351,-0.005873414,-0.001160262,-0.944245224,0,-0.001935797,-0.001453459,-0.004880461,-0.000694242,-0.694951033,0,-0.00169758,-0.001102898,-0.004936572,-0.000490262,-0.609431368,0,-0.001897966,-0.001331102,-0.005279709,-0.000569044,-0.681369655,0,-0.00295863,-0.002726429,-0.004556843,-0.002036013,-1.062148175,0,-0.003174466,-0.002985054,-0.004705435,-0.002257946,-1.139633396,0,-0.003208979,-0.003164792,-0.004163944,-0.002710449,-1.152023521,0
9,TZA.9_1,-0.002628162,-0.002271487,-0.004131671,-0.001080759,-0.273328856,0,-0.001973986,-0.001088278,-0.004369811,-0.000361753,-0.205294592,0,-0.001835314,-0.000955945,-0.004349114,-0.000438284,-0.190872687,0,-0.002414831,-0.00213314,-0.003921963,-0.00120545,-0.251142384,0,-0.002546145,-0.002567085,-0.003097403,-0.002043677,-0.264799078,0,-0.00234272,-0.002314673,-0.003053133,-0.001836145,-0.243642844,0,-0.001938523,-0.001827081,-0.003097556,-0.000946511,-0.20160638,0,-0.001883855,-0.001774405,-0.003231558,-0.000911864,-0.195920932,0,-0.001918222,-0.001711691,-0.003718645,-0.000831159,-0.199495096,0,-0.002914386,-0.002934946,-0.00358774,-0.002287444,-0.303096121,0,-0.00326311,-0.003297299,-0.003700506,-0.002461118,-0.339363432,0,-0.003422465,-0.003414793,-0.003957817,-0.002727148,-0.355936309,0
10,TZA.10_1,-0.003689058,-0.003720231,-0.004981745,-0.00253932,-1.936755512,0.190114068,-0.003914133,-0.003997521,-0.004826565,-0.002354903,-2.054919941,0.190114068,-0.003837774,-0.003908806,-0.004808875,-0.002319106,-2.014831367,0.190114068,-0.003584091,-0.003601493,-0.004698681,-0.002374382,-1.881647585,0.190114068,-0.003236387,-0.003214406,-0.004927393,-0.002241281,-1.699103058,0.190114068,-0.001518591,-0.001535934,-0.004031203,-0.000220729,-0.797260418,0.190114068,-0.000861732,-0.000866858,-0.003055124,-7.98E-05,-0.45240946,0.190114068,-0.000727279,-0.000717427,-0.002466496,-0.000138353,-0.381821442,0.190114068,-0.000777676,-0.000752357,-0.002459384,-0.000173314,-0.408279795,0.190114068,-0.002503696,-0.002475509,-0.004339834,-0.001443972,-1.314440481,0.190114068,-0.002614539,-0.002494551,-0.004537724,-0.001873439,-1.372633074,0.190114068,-0.003653266,-0.003617335,-0.004830895,-0.003000988,-1.917964875,0.190114068
