adm_id,GID_1,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
1,UGA.1_1,4.92E-05,3.59E-05,1.34E-05,0.000138441,0.001279709,0,0.000560648,0.000476301,0.000198485,0.001133112,0.014576843,0,0.001051541,0.001018451,0.000542089,0.001720421,0.027340077,0,0.003837962,0.003266234,0.002491899,0.006637372,0.099787024,0,0.008386551,0.008091477,0.005094847,0.011910783,0.218050329,0,0.007251715,0.006982321,0.00575876,0.010203902,0.188544591,0,0.007529446,0.007067063,0.004924353,0.011508548,0.195765603,0,0.006732035,0.00639625,0.004233281,0.009580394,0.175032901,0,0.007981077,0.007141236,0.004913128,0.012556207,0.207508011,0,0.010873018,0.00937404,0.00580935,0.019413577,0.282698464,0,0.005679513,0.005146335,0.003756075,0.008998644,0.147667333,0,0.001916035,0.001299341,0.000715955,0.005251792,0.049816919,0
2,UGA.2_1,0.0004326,0.000456713,0.000104959,0.000714134,0.022062602,0,0.000359241,0.000348574,0.000239226,0.000596532,0.018321312,0,0.001540153,0.001628795,0.000738505,0.001938372,0.078547795,0,0.00447983,0.004483262,0.003355241,0.005268451,0.228471322,0,0.005859969,0.006189445,0.003434314,0.007702944,0.298858426,0,0.007773012,0.007928293,0.006418522,0.009015756,0.396423598,0,0.004703022,0.004933137,0.002553083,0.006456025,0.239854111,0,0.004261986,0.004531026,0.003028567,0.005207859,0.21736127,0,0.004855264,0.005027956,0.003804403,0.005594115,0.247618475,0,0.008633945,0.008902469,0.006540312,0.010736773,0.440331217,0,0.004277876,0.004285527,0.003043374,0.005295563,0.218171678,0,0.004276051,0.004360089,0.002200988,0.006886165,0.218078591,0
3,UGA.3_1,7.32E-05,6.56E-05,1.42E-05,0.000170468,0.003587469,0,0.000525131,0.000475112,0.000165844,0.001023226,0.025731412,0,0.000827374,0.000803128,0.000394292,0.001394424,0.040541312,0,0.002770219,0.002764126,0.001507431,0.004849491,0.135740724,0,0.003495131,0.003396834,0.00158161,0.009335357,0.171261437,0,0.005923701,0.00579743,0.003318463,0.008152147,0.290261372,0,0.004481175,0.004555536,0.003026073,0.006413199,0.219577596,0,0.004404489,0.004224727,0.001655934,0.007890116,0.215819941,0,0.004636573,0.004302809,0.001875557,0.008916224,0.227192076,0,0.006065075,0.005641035,0.002572224,0.015308048,0.297188662,0,0.003057456,0.002788601,0.001662369,0.007102534,0.149815333,0,0.00187767,0.001862149,0.001010806,0.003901333,0.092005819,0
4,UGA.4_1,0.00252769,0.002383578,0.002029246,0.003913332,0.035387654,0,0.002695859,0.002504402,0.002145796,0.004492461,0.037742019,0,0.003122789,0.002950907,0.00270779,0.004515319,0.043719053,0,0.00767968,0.007509797,0.006415147,0.010543396,0.107515517,0,0.010455519,0.010301221,0.008764165,0.012740988,0.146377272,0,0.006672508,0.00644998,0.005469948,0.008613501,0.093415113,0,0.004158264,0.004122112,0.003593445,0.005017824,0.058215689,0,0.003981582,0.003880999,0.003269143,0.005169027,0.055742148,0,0.004227354,0.004167635,0.003517108,0.005173844,0.059182951,0,0.011737445,0.01164953,0.010527557,0.013900842,0.164324234,0,0.006735121,0.006711905,0.005750455,0.008907875,0.094291692,0,0.009132228,0.008755496,0.007794322,0.012052973,0.127851188,0
5,UGA.5_1,0.002162927,0.000363732,0.000210589,0.017456456,0.034606831,0,0.001174724,0.000437266,0.000152456,0.00779126,0.01879559,0,0.002930606,0.000959197,0.000403422,0.01920285,0.046889695,0,0.00773768,0.00277668,0.001593551,0.046754935,0.123802885,0,0.011057625,0.005691613,0.00452373,0.0529488,0.176922006,0,0.012678108,0.009258568,0.007557075,0.037979439,0.202849728,0,0.006186495,0.004430324,0.003174931,0.014629831,0.098983915,0,0.009171201,0.006244705,0.003197673,0.031179457,0.146739211,0,0.009188287,0.006805381,0.003968117,0.029347189,0.147012595,0,0.011540849,0.008636537,0.005253902,0.033689472,0.184653588,0,0.006895805,0.004275878,0.002828118,0.02870063,0.110332874,0,0.005741107,0.003375943,0.002120287,0.025445642,0.091857716,0
6,UGA.6_1,0.002043188,0.002099659,0.000355571,0.003227812,0.075597953,0,0.001596152,0.001627624,0.000395639,0.002699929,0.059057617,0,0.002421619,0.002590016,0.000562558,0.004257193,0.089599921,0,0.006002156,0.00573191,0.00262062,0.010831071,0.222079754,0,0.005839481,0.005007243,0.001842079,0.015453572,0.21606078,0,0.006452717,0.006423538,0.002104848,0.011117705,0.238750516,0,0.002302318,0.002391041,0.000900744,0.003728136,0.085185779,0,0.003172678,0.003087689,0.001271485,0.006337329,0.11738908,0,0.004670382,0.004747879,0.002136117,0.00776151,0.172804141,0,0.008888418,0.008747482,0.005320976,0.014681128,0.328871451,0,0.004566884,0.004375723,0.001436714,0.008914947,0.168974726,0,0.004618758,0.004744887,0.001238953,0.006558014,0.170894029,0
7,UGA.7_1,0.002563644,0.002576096,0.002378986,0.002739718,0.01281822,0,0.002416621,0.002432483,0.002058228,0.002698909,0.012083107,0,0.003041183,0.003057885,0.002728339,0.003318046,0.015205916,0,0.008099687,0.008087735,0.007649817,0.008517705,0.040498433,0,0.011538991,0.011569771,0.010956375,0.012289613,0.057694957,0,0.00701996,0.007121057,0.006278553,0.007566942,0.035099799,0,0.004652385,0.004634001,0.00433154,0.004922593,0.023261923,0,0.005543344,0.005702453,0.004682967,0.005908506,0.027716721,0,0.004474547,0.004520215,0.004132029,0.004743959,0.022372734,0,0.011970048,0.011799427,0.011233368,0.012592638,0.05985024,0,0.007531576,0.007463439,0.007250178,0.007774552,0.037657882,0,0.009814032,0.009764708,0.009655889,0.010148414,0.049070161,0
8,UGA.8_1,0.000164466,0.000150543,2.04E-05,0.00044117,0.015953205,0,0.000530394,0.000446377,0.000180297,0.001218828,0.051448197,0,0.001214919,0.001283274,0.000447464,0.00215853,0.117847136,0,0.004749995,0.004991383,0.002438734,0.007147685,0.460749485,0,0.006608622,0.006617934,0.002647578,0.011703708,0.641036334,0,0.007346944,0.007461722,0.003000497,0.010860211,0.712653568,0,0.006152228,0.00610574,0.003145992,0.011326546,0.596766158,0,0.006092816,0.006033146,0.003124078,0.009598656,0.59100314,0,0.007021135,0.006574427,0.0042455,0.013036438,0.681050116,0,0.010880143,0.009723366,0.005689205,0.021013179,1.055373874,0,0.00541184,0.004778295,0.003709949,0.009724972,0.524948435,0,0.003072027,0.002665845,0.000717019,0.006663125,0.297986585,0
9,UGA.9_1,0.000991127,0.000943131,0.00042334,0.001807037,0.02874268,0,0.001251069,0.001254316,0.000610378,0.002108321,0.036281015,0,0.002283481,0.002254823,0.001631946,0.002889506,0.066220952,0,0.005412416,0.005237266,0.003381261,0.006852276,0.156960065,0,0.006531269,0.00667584,0.003259201,0.008925493,0.189406797,0,0.008737218,0.008595912,0.006343203,0.010598179,0.253379327,0,0.005047247,0.005086299,0.003497047,0.006481383,0.146370177,0,0.006723795,0.006674558,0.004392213,0.009679047,0.194990046,0,0.006573705,0.006568411,0.004074964,0.008764032,0.190637455,0,0.012022589,0.01146596,0.008358386,0.016176341,0.348655088,0,0.007146481,0.007249699,0.004077617,0.010836959,0.207247955,0,0.006985547,0.006990536,0.004800898,0.008711268,0.202580849,0
10,UGA.10_1,0.002327343,0.002263212,0.001704521,0.003148094,0.048874195,0,0.002219952,0.002263453,0.001074127,0.002863836,0.046619001,0,0.00303678,0.003221621,0.001902644,0.003706603,0.063772381,0,0.007363047,0.007144696,0.005249243,0.009376103,0.154623987,0,0.009729915,0.008894076,0.007712897,0.013398941,0.204328215,0,0.006892615,0.006929394,0.004932558,0.008188131,0.144744917,0,0.004613932,0.004330685,0.003836105,0.006230626,0.096892566,0,0.004601172,0.004376508,0.003825355,0.006241419,0.096624603,0,0.005325973,0.005088945,0.004580057,0.006860495,0.111845429,0,0.010656763,0.009991803,0.008201588,0.014527466,0.223792013,0,0.006274269,0.005957562,0.005107081,0.008363221,0.131759651,0,0.00722572,0.007103267,0.005216344,0.009410785,0.151740126,0
