adm_id,GID_1,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
1,UGA.1_1,-0.735903056,-0.720203544,-1.088978035,-0.417784462,-19.13347945,0,-0.914839763,-0.91065069,-1.294471035,-0.55685566,-23.78583383,0,-0.760853197,-0.755241924,-1.003741206,-0.498487371,-19.78218313,0,-0.20691855,-0.208202933,-0.385098391,-0.078684767,-5.379882291,0,-0.346048191,-0.335766394,-0.612095718,-0.215609221,-8.997252974,0,-0.153584063,-0.147708904,-0.29770164,-0.049797515,-3.99318564,0,-0.220766105,-0.202055662,-0.437481698,-0.118824222,-5.739918721,0,-0.159123927,-0.158752195,-0.393822714,0.007928099,-4.137222097,0,-0.242782709,-0.219804583,-0.517844728,-0.081664413,-6.31235044,0,-0.142590527,-0.14334556,-0.347044974,0.037893839,-3.707353696,0,-0.319978418,-0.313265362,-0.490242953,-0.179161482,-8.319438861,0,-0.262362297,-0.254854031,-0.411151166,-0.106931246,-6.821419711,0
2,UGA.2_1,-1.124790655,-1.131468407,-1.486206575,-0.817007383,-57.3643234,0,-1.360276456,-1.356416507,-1.852711279,-0.99192052,-69.37409928,0,-0.970064075,-0.969252353,-1.320219335,-0.681704155,-49.47326785,0,-0.310081769,-0.315898329,-0.44087026,-0.129354472,-15.81417023,0,-0.303295866,-0.311601876,-0.364023429,-0.116703403,-15.46808918,0,-0.084847991,-0.084502222,-0.151608034,-0.014770485,-4.327247535,0,-0.203378064,-0.198410461,-0.310815756,-0.109194211,-10.37228129,0,-0.261582237,-0.275406403,-0.328873171,-0.106772225,-13.3406941,0,-0.178186022,-0.186143412,-0.257376153,-0.045910806,-9.087487142,0,-0.273039838,-0.284296248,-0.451388211,-0.071888733,-13.92503174,0,-0.664875679,-0.667040019,-0.870167708,-0.44588408,-33.90865963,0,-0.529785792,-0.533253722,-0.759087968,-0.273340246,-27.01907538,0
3,UGA.3_1,-0.250859747,-0.244456422,-0.547588213,-0.059794207,-12.29212761,0,-0.474029368,-0.46535443,-0.935985172,-0.083483384,-23.22743902,0,-0.446050112,-0.446803759,-0.80211051,-0.226220843,-21.85645548,0,-0.352028048,-0.328456155,-0.598473326,-0.161528736,-17.24937434,0,-0.735787372,-0.749763935,-0.94908075,-0.452340109,-36.05358122,0,0.024305639,0.05967265,-0.268192959,0.279627344,1.190976294,0,-0.101801951,-0.091515896,-0.405310712,0.150798174,-4.988295608,0,-0.012810093,3.62E-05,-0.372006525,0.227701537,-0.627694581,0,-0.06997123,-0.062517138,-0.482819769,0.239124618,-3.428590283,0,-0.300126271,-0.313075133,-0.431053791,-0.073483737,-14.70618727,0,-0.501226001,-0.486105329,-0.859841811,-0.26598075,-24.56007405,0,-0.352462117,-0.341518969,-0.666688026,-0.084882265,-17.27064373,0
4,UGA.4_1,-0.045631102,-0.094015019,-0.263163093,0.410833882,-0.638835425,0,0.222224862,0.125091457,-0.104473883,0.909596107,3.111148061,0,0.171516794,0.051971146,-0.181101317,0.918550828,2.40123511,0,0.359627819,0.240499444,0.00190245,1.108021208,5.034789462,0,0.120908221,0.094716121,-0.06305751,0.374484861,1.692715097,0,-0.046939833,-0.050281737,-0.156930315,0.051991707,-0.657157665,0,0.074098128,0.042216571,-0.051150838,0.3583391,1.037373786,0,0.044463421,0.003172728,-0.103831934,0.364142792,0.622487892,0,-0.031780087,-0.039976186,-0.172246956,0.138045722,-0.444921224,0,0.197930976,0.180711493,0.058440441,0.410862548,2.771033666,0,-0.105187561,-0.108671788,-0.239062617,0.096269475,-1.472625857,0,-0.079895972,-0.1057058,-0.236209675,0.292887802,-1.11854361,0
5,UGA.5_1,-0.032020535,0.002465692,-0.22943364,0.073821104,-0.512328555,0,-0.160340253,-0.13177779,-0.3463178,0.065753084,-2.565444041,0,-0.104341916,-0.066388534,-0.301484049,0.077469153,-1.66947065,0,-0.171582952,-0.168213981,-0.257354297,-0.082044306,-2.745327229,0,-0.435615294,-0.420321009,-0.647358674,-0.20710195,-6.969844696,0,0.103510593,0.144019761,-0.165977592,0.244524956,1.656169494,0,0.023971363,0.042029901,-0.142692668,0.129888995,0.383541805,0,0.028617278,0.069087184,-0.205916784,0.150666792,0.457876446,0,0.076849835,0.104899796,-0.164434009,0.19204018,1.229597363,0,0.052944151,0.08168115,-0.179367835,0.163489659,0.847106412,0,-0.277853511,-0.28535337,-0.348207505,-0.185722157,-4.445656169,0,-0.127008734,-0.126215119,-0.243221143,-0.025362391,-2.032139742,0
6,UGA.6_1,-0.059829458,-0.113581736,-0.327930073,0.483947982,-2.213689964,0,-0.104587751,-0.1945709,-0.350903307,0.468094021,-3.869746769,0,-0.014134111,-0.109890206,-0.245646592,0.581908945,-0.522962103,0,-0.308453131,-0.361423279,-0.578338253,0.143289556,-11.41276585,0,-0.730584791,-0.767529169,-1.24144439,-0.285093737,-27.03163725,0,-0.181693263,-0.185744449,-0.42013669,0.0461738,-6.722650741,0,-0.272283348,-0.300135753,-0.543868995,0.037857957,-10.07448389,0,-0.390873474,-0.406042359,-0.713796124,0.014894765,-14.46231855,0,-0.449886087,-0.504340968,-0.582804183,-0.144400898,-16.64578523,0,-0.343507307,-0.361347669,-0.482653076,-0.122361511,-12.70977036,0,-0.415112716,-0.42709656,-0.608662112,-0.106338367,-15.3591705,0,-0.131860979,-0.110238182,-0.443149001,0.140280076,-4.878856215,0
7,UGA.7_1,-0.267320361,-0.269527541,-0.341810063,-0.179380818,-1.336601805,0,-0.069223356,-0.059594923,-0.176021199,0.093409652,-0.346116781,0,-0.091641868,-0.082462928,-0.213829742,0.066801314,-0.458209341,0,0.156087133,0.172844209,0.042464794,0.325561548,0.780435664,0,0.007165098,0.018883518,-0.057157975,0.089828502,0.035825492,0,-0.244177309,-0.240604791,-0.291012616,-0.219848524,-1.220886544,0,-0.105726928,-0.11206195,-0.135616497,-0.055452166,-0.528634639,0,-0.17737315,-0.183581329,-0.220462822,-0.108955782,-0.886865748,0,-0.28892565,-0.294858861,-0.333770326,-0.228356996,-1.44462825,0,0.046118368,0.041823769,-0.003376595,0.097387401,0.230591842,0,-0.309317826,-0.315531226,-0.34163041,-0.266934979,-1.546589131,0,-0.310553723,-0.307890651,-0.332864449,-0.287915056,-1.552768613,0
8,UGA.8_1,-1.006537665,-1.083968341,-1.451433516,0.11054657,-97.63415347,0,-1.247372461,-1.370857977,-1.862875135,0.149852535,-120.9951287,0,-0.973621163,-1.042167702,-1.396808278,0.088310981,-94.44125277,0,-0.365708112,-0.340267525,-0.625024022,-0.057349309,-35.47368688,0,-0.466891222,-0.440638417,-0.823169866,-0.208804288,-45.28844849,0,-0.183644413,-0.172774665,-0.351081982,-0.010381072,-17.81350806,0,-0.271337575,-0.282822974,-0.453097783,-0.120544027,-26.31974473,0,-0.242962018,-0.265024785,-0.390472327,0.003739081,-23.5673157,0,-0.224635861,-0.233856954,-0.522214946,-0.066962157,-21.78967856,0,-0.229506728,-0.231820659,-0.3860327,0.039570159,-22.26215263,0,-0.510896833,-0.500721033,-0.780847361,-0.204335858,-49.55699277,0,-0.471267538,-0.475692848,-0.645947897,-0.208344396,-45.7129512,0
9,UGA.9_1,0.559532686,0.501631156,0.191298435,1.151015157,16.22644791,0,0.518454797,0.471967515,0.029306079,1.037255696,15.03518912,0,0.514806405,0.532836804,0.065203765,1.130214132,14.92938574,0,0.310621859,0.254816431,0.006242597,0.814359756,9.008033903,0,-0.212649074,-0.293827338,-0.4703661,0.457726655,-6.166823149,0,0.125635079,0.131488146,0.031459633,0.217888925,3.643417289,0,0.005147853,0.025298176,-0.12783113,0.058755188,0.149287751,0,-0.056378132,-0.029950511,-0.294782589,0.069241997,-1.634965837,0,0.108568546,0.11101087,-0.043337706,0.239530393,3.148487821,0,0.066653461,0.079162902,-0.170847773,0.200307734,1.93295036,0,-0.120116298,-0.104987282,-0.38877747,0.003405082,-3.483372648,0,0.094627233,0.102775303,0.00015456,0.170472705,2.744189754,0
10,UGA.10_1,-0.162403559,-0.14978127,-0.322679631,-0.070471262,-3.410474745,0,0.009673022,0.017314057,-0.160148266,0.144985667,0.203133461,0,-0.059402355,-0.061188269,-0.183025858,0.099230084,-1.247449464,0,0.093973603,0.072415053,-0.020806546,0.289226558,1.97344566,0,0.041498084,0.017874926,-0.069268591,0.186441908,0.87145977,0,-0.028136005,-0.02917525,-0.129154127,0.062086103,-0.590856106,0,-0.029404945,-0.035768503,-0.171512429,0.119429791,-0.617503843,0,-0.07996317,-0.070488493,-0.243777632,0.073031564,-1.679226576,0,-0.022104044,-0.034143464,-0.178815895,0.109330734,-0.464184925,0,0.10043412,0.104573638,-0.021162082,0.222292114,2.109116517,0,-0.083407806,-0.066718778,-0.220907671,0.007027983,-1.751563932,0,-0.072363783,-0.070659663,-0.202917977,0.049510052,-1.519639441,0
