adm_id,GID_1,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
1,ZMB.1_1,2.574782457,2.502237253,0,5.711227968,1956.834668,0,2.628392848,2.540470265,0,5.717735044,1997.578565,0,2.636374013,2.541021815,0,5.731163997,2003.64425,0,2.558808781,2.48130033,0,5.721661766,1944.694673,0,2.425534247,2.362809004,0,5.68928043,1843.406028,0,2.318766407,2.257567504,0,5.653764292,1762.262469,0,2.252407704,2.176835673,0,5.630687202,1711.829855,0,2.230630514,2.149596938,0,5.621810044,1695.279191,0,2.265706823,2.199285937,0,5.630621115,1721.937185,0,2.345940962,2.285355487,0,5.669361457,1782.915131,0,2.426355441,2.350651244,0,5.688491875,1844.030135,0,2.482254138,2.411137748,0,5.685691246,1886.513145,0
2,ZMB.2_1,3.079188069,3.021855762,2.065122201,4.606540188,782.1137696,0,3.224249435,3.199918765,2.079802151,4.680313136,818.9593564,0,3.292610727,3.285243386,2.092756787,4.697778058,836.3231246,0,3.111074846,3.043176114,2.078590471,4.571245739,790.213011,0,2.719062116,2.59537812,1.925191925,4.374882638,690.6417775,0,2.447747209,2.30206622,1.68948996,4.252602464,621.727791,0,2.285923305,2.155384714,1.490823632,4.175998563,580.6245196,0,2.270456666,2.156040328,1.452138541,4.145303122,576.6959931,0,2.450975803,2.329392884,1.566011314,4.196500306,622.547854,0,2.698315106,2.581115636,1.798071006,4.303819501,685.3720369,0,2.916206166,2.856152073,2.019269084,4.402791779,740.7163661,0,2.941574587,2.874162846,2.04978585,4.479260796,747.1599452,0
3,ZMB.3_1,1.300135135,1.120758858,0,5.964784645,530.4551351,0,1.316871141,1.124963821,0,5.975309126,537.2834253,0,1.321758671,1.126634355,0,5.981747766,539.2775379,0,1.313513037,1.124935252,0,5.98343033,535.9133189,0,1.282980253,1.120504391,0,5.959616502,523.4559434,0,1.258399638,1.11948747,0,5.934813022,513.4270521,0,1.240875938,1.118333439,0,5.915709288,506.2773827,0,1.231756353,1.117638647,0,5.906097574,502.5565921,0,1.230717478,1.117639085,0,5.901554376,502.1327311,0,1.237402827,1.117917615,0,5.907367948,504.8603536,0,1.253546416,1.118976068,0,5.921445114,511.4469377,0,1.276914766,1.119925174,0,5.942497758,520.9812247,0
4,ZMB.4_1,3.096000982,3.141436358,0,5.756511601,1238.400393,0,3.163985385,3.256690838,0,5.792893638,1265.594154,0,3.214950885,3.322289878,0,5.834334661,1285.980354,0,3.214378391,3.31936653,0,5.818180632,1285.751357,0,3.005963135,3.016178563,0,5.70436732,1202.385254,0,2.809726518,2.746343038,0,5.604281739,1123.890607,0,2.685260157,2.599280931,0,5.545500387,1074.104063,0,2.645853947,2.543715239,0,5.532941298,1058.341579,0,2.706760145,2.632248451,0,5.521977994,1082.704058,0,2.863005231,2.85038547,0,5.564990399,1145.202092,0,3.006641392,3.037054123,0,5.671383863,1202.656557,0,3.052177339,3.083129605,0,5.740884183,1220.870935,0
5,ZMB.5_1,1.928737509,2.303074239,0,4.702598855,343.3152766,0,1.950761365,2.325573163,0,4.744425687,347.2355229,0,1.947368003,2.320598522,0,4.740216035,346.6315045,0,1.920739954,2.287100411,0,4.708145203,341.8917118,0,1.884733406,2.248448529,0,4.646487073,335.4825463,0,1.854616775,2.181531142,0,4.593706361,330.121786,0,1.833102756,2.142319574,0,4.553994528,326.2922906,0,1.819941505,2.117795845,0,4.528487495,323.9495879,0,1.819560221,2.127457091,0,4.528226149,323.8817193,0,1.830138376,2.146966397,0,4.549272965,325.764631,0,1.85041995,2.180274693,0,4.585475832,329.3747511,0,1.882147332,2.260830734,0,4.629494536,335.022225,0
6,ZMB.6_1,2.858556964,2.748536703,0,5.894139553,1969.545748,0,2.898575907,2.806528659,0,5.908816565,1997.1188,0,2.919843538,2.826131003,0,5.921171501,2011.772197,0,2.92457404,2.832978426,0,5.910421683,2015.031513,0,2.855034627,2.736683476,0,5.871443829,1967.118858,0,2.775365052,2.63538147,0,5.83330438,1912.226521,0,2.717839811,2.542892254,0,5.811334489,1872.59163,0,2.693110625,2.527808862,0,5.795745367,1855.553221,0,2.684449477,2.512253632,0,5.794982184,1849.58569,0,2.708983393,2.528397617,0,5.836533692,1866.489558,0,2.765466215,2.603871919,0,5.86176796,1905.406222,0,2.805508521,2.680669303,0,5.859754063,1932.995371,0
7,ZMB.7_1,2.945656045,2.898905981,0.464767281,5.876538237,2954.493013,0,3.082029041,3.048787907,0.464767281,5.912205715,3091.275128,0,3.123147598,3.085588179,0.464767281,5.92538506,3132.517041,0,3.017303803,2.929444083,0.464767281,5.91363671,3026.355714,0,2.629342246,2.487545596,0.464767281,5.806973106,2637.230273,0,2.325503335,2.208584374,0.464767281,5.722625903,2332.479845,0,2.145884141,2.018304556,0.464767281,5.672137542,2152.321794,0,2.155235594,2.015665454,0.464767281,5.68606266,2161.701301,0,2.414957589,2.269476751,0.464767281,5.795719571,2422.202462,0,2.751002264,2.606504959,0.464767281,5.900517563,2759.255271,0,2.973305064,2.86510665,0.464767281,5.937763039,2982.224979,0,2.927453037,2.842098678,0.464767281,5.902421392,2936.235396,0
8,ZMB.8_1,3.028584701,2.873418591,0,5.572478699,1917.094116,0,3.121846771,2.995153136,0,5.624364654,1976.129006,0,3.154904244,3.045789551,0,5.667169228,1997.054386,0,3.130186448,3.0261414,0,5.644704724,1981.408022,0,2.946200575,2.787805377,0,5.513303539,1864.944964,0,2.753352306,2.571806723,0,5.390304654,1742.87201,0,2.63030422,2.46190617,0,5.302286512,1664.982572,0,2.594484879,2.433406478,0,5.286537109,1642.308928,0,2.61489114,2.446156027,0,5.266420586,1655.226092,0,2.697883154,2.507140572,0,5.311840681,1707.760037,0,2.839583568,2.680790915,0,5.450551429,1797.456399,0,2.972704049,2.827994231,0,5.548262738,1881.721663,0
9,ZMB.9_1,2.019793332,2.298381465,0,5.438043016,1395.677192,0,2.051026661,2.376618688,0,5.453262822,1417.259423,0,2.044124637,2.355690432,0,5.452889358,1412.490124,0,1.987912319,2.234372017,0,5.437425507,1373.647412,0,1.919860268,2.125707141,0,5.414452589,1326.623445,0,1.870387181,2.044106893,0,5.394341453,1292.437542,0,1.839843733,2.004573758,0,5.379057959,1271.33202,0,1.822879666,1.975275299,0,5.371084224,1259.609849,0,1.82693029,1.975518062,0,5.365636277,1262.40883,0,1.850088028,2.004428016,0,5.372581208,1278.410828,0,1.888640046,2.070699193,0,5.387299413,1305.050272,0,1.949554622,2.167625546,0,5.410850285,1347.142244,0
10,ZMB.10_1,2.285990553,2.284579538,0.096747248,4.785136037,2359.142251,0,2.327968008,2.314715871,0.09687494,4.786447478,2402.462984,0,2.339279373,2.322879728,0.097671496,4.782501738,2414.136313,0,2.236587354,2.219422898,0.097659335,4.779406155,2308.158149,0,2.06792221,2.052393993,0.096686442,4.768212587,2134.09572,0,1.941989363,1.917104804,0.09530615,4.759570909,2004.133022,0,1.848601484,1.821720458,0.093585345,4.751760498,1907.756731,0,1.811164092,1.784868901,0.093488056,4.751514664,1869.121343,0,1.872701488,1.844721257,0.094418385,4.756446664,1932.627935,0,2.001319513,1.992326612,0.095506809,4.760793708,2065.361737,0,2.123262824,2.095709931,0.096601314,4.764647668,2191.207235,0,2.206375886,2.185419596,0.096747248,4.775927998,2276.979915,0
