GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
ZMB.1_1,1.0,88685.05883698908,88495.94324082076,84605.26684643992,95281.30289560015,67134589.53960073,0.0,88701.08732739552,88520.77801197303,84610.20417413871,95307.78148578906,67146723.1068384,0.0,88725.43321880809,88544.66783745225,84636.578807063,95306.77877990883,67165152.94663772,0.0,88875.33101905431,88685.87532183617,84747.23214712668,95546.68606390938,67278625.58142412,0.0,89063.6889550095,88871.29064820451,84894.64021745557,95823.18653888648,67421212.53894219,0.0,89307.23751114393,89121.96342952401,85079.42120568868,96131.15062418704,67605578.79593596,0.0,89206.03046664962,89018.59175859351,84993.8923558041,96023.26887979117,67528965.06325376,0.0,89183.05089407685,88992.72519812043,85020.16077951263,95941.54175598273,67511569.52681619,0.0,88975.08361601806,88779.95991590864,84853.78473237781,95695.11099405742,67354138.29732569,0.0,88640.42863292273,88441.33478105307,84597.12357279501,95218.49756803377,67100804.4751225,0.0,88603.75098833053,88422.62293416371,84537.74846499303,95163.93591858172,67073039.498166196,0.0,88615.0086901399,88426.53860287892,84538.3638284953,95198.69422457117,67081561.57843591,0.0
ZMB.2_1,2.0,87667.7928528169,87683.96959875735,86708.75791075223,88601.61006875453,22442954.970321126,0.0,87664.63416735204,87678.91953110837,86694.75504707053,88606.37719404566,22442146.34684212,0.0,87693.14657841621,87706.81167077516,86724.00293106074,88633.33197789606,22449445.524074554,0.0,87803.11241570898,87818.94047518334,86810.48562155839,88762.44976494428,22477596.7784215,0.0,87957.28779544076,87968.72054048188,86940.99393806924,88934.83320709363,22517065.675632834,0.0,88191.25740344613,88206.016748359,87158.34853662502,89183.89950862662,22576961.89528221,0.0,88088.36122198372,88102.19631975023,87059.93884623943,89077.13755655916,22550620.47282784,0.0,88067.35303325193,88078.75872472992,87049.62740182318,89043.14079835705,22545242.37651249,0.0,87861.91351204523,87871.37207198993,86853.91168370473,88826.82685122416,22492649.859083574,0.0,87576.45517689784,87589.66336367058,86606.08413371535,88512.95523764563,22419572.525285847,0.0,87569.35482722784,87585.38398820627,86598.57177113755,88505.76196383177,22417754.835770328,0.0,87596.59763182605,87613.3357913995,86638.21090075902,88527.42938601284,22424728.99374747,0.0
ZMB.3_1,3.0,91601.80825994098,91566.28772681783,87133.77202936477,95465.53021786542,37465139.57831586,0.0,91621.14662688867,91571.04405589263,87136.45509110505,95495.85892062855,37473048.97039748,0.0,91640.05967070768,91589.41476360454,87149.92196614222,95512.94049514881,37480784.40531944,0.0,91813.78127427778,91763.3399198573,87271.19436965586,95733.87981288273,37551836.54117961,0.0,92024.4805742042,91976.91733682044,87441.99690143151,95992.22516203453,37638012.55484952,0.0,92278.46534422683,92229.40859560127,87641.88727052482,96295.69492227974,37741892.32578877,0.0,92175.99758555747,92126.33250023652,87564.63015847062,96185.07632363166,37699983.01249301,0.0,92151.30569807117,92095.4384867995,87593.11695935861,96099.29481895213,37689884.03051111,0.0,91933.93184388436,91880.10358521594,87414.13227374305,95855.67484131099,37600978.124148704,0.0,91579.29674133516,91530.22010521972,87145.55225118161,95395.16115099324,37455932.36720608,0.0,91500.30564599668,91451.16953720443,87054.9617745852,95339.23856167648,37423625.00921264,0.0,91530.88622454544,91480.57787539624,87051.50026130839,95393.40293291172,37436132.46583909,0.0
ZMB.4_1,4.0,88348.86364272262,88336.62694935485,85257.04074891239,91006.08028392776,35251196.59344633,0.0,88314.49680445243,88319.74706282296,85217.29963067122,90949.25901125633,35237484.22497652,0.0,88344.96762125338,88351.29084399543,85246.86411712857,90977.47637621217,35249642.08088009,0.0,88405.07520563307,88433.1279328432,85282.55850621028,91001.79509275238,35273625.00704759,0.0,88524.19481008564,88559.24048248869,85380.91264942451,91092.873065726,35321153.72922417,0.0,88752.92240003425,88789.13754943348,85565.08679104768,91352.26094410873,35412416.03761367,0.0,88651.11887550309,88688.82870251793,85477.80086025938,91244.71012103984,35371796.43132573,0.0,88634.86112456069,88672.28105877351,85481.85216201919,91212.43008936233,35365309.58869971,0.0,88436.44649814723,88470.97442959086,85315.9632647541,91003.37154872305,35286142.152760744,0.0,88221.76522063694,88231.08701106995,85140.2642849201,90867.13141032326,35200484.32303414,0.0,88205.04941703849,88203.48443715961,85122.17449328747,90854.58373267982,35193814.71739836,0.0,88275.39430652367,88261.1116545034,85177.4753914211,90947.96577109078,35221882.32830295,0.0
ZMB.5_1,5.0,91457.09069098296,91174.9359538741,87528.22598034964,96397.92137752117,16370819.233685948,0.0,91492.53342141867,91215.5821713724,87562.01825640089,96444.77399704924,16377163.482433947,0.0,91506.80434621485,91229.10818863443,87586.83296005541,96447.83947443195,16379717.97797246,0.0,91718.07792345852,91448.61031457264,87752.70059529581,96715.79374079431,16417535.948299075,0.0,91955.13348300627,91686.11234182908,87945.57015509202,97008.38924913664,16459968.89345812,0.0,92215.0639836825,91935.26678914094,88170.09087313883,97308.00480562127,16506496.453079168,0.0,92114.92223795489,91837.04645254812,88075.80119326543,97205.66773876207,16488571.08059392,0.0,92078.41327606628,91808.80238805985,88069.4608563193,97135.1378205832,16482035.97641586,0.0,91857.67505214756,91592.94225381316,87873.67190133466,96884.06506888804,16442523.834334414,0.0,91447.47138106592,91182.19947161213,87535.78184205071,96383.67955313023,16369097.3772108,0.0,91391.1498713018,91122.65703900068,87490.19907160278,96307.7920539567,16359015.826963022,0.0,91393.91008537918,91117.92532695412,87476.05034577457,96326.14582114242,16359509.905282872,0.0
ZMB.6_1,6.0,88941.59759517947,87921.25969265378,83080.80515743543,95007.44283090653,61369702.34067384,0.0,88931.1661589113,87910.75251407741,83069.31389466661,95021.62100878141,61362504.64964879,0.0,88953.89396157402,87935.19474902065,83084.22883286122,95041.50377701268,61378186.83348608,0.0,89059.52348897746,88023.50018719975,83153.83482357112,95227.03364618753,61451071.20739444,0.0,89216.78151489189,88169.43691445644,83273.65095049408,95454.59307457537,61559579.24527541,0.0,89447.95209562518,88385.68605409091,83429.39055924883,95753.42864299793,61719086.94598138,0.0,89352.14025114787,88296.90121993027,83359.9163627687,95635.39980704038,61652976.77329204,0.0,89346.92438382428,88300.12482214149,83393.2557896745,95574.51850423607,61649377.82483874,0.0,89145.13648016262,88107.09882908806,83248.65657625967,95326.50749806297,61510144.17131222,0.0,88862.07991928977,87836.29259997113,83040.92287830367,94934.28700098488,61314835.14430994,0.0,88803.32447405026,87792.21259292169,82981.9758364334,94850.26264430537,61274293.88709468,0.0,88857.9880307037,87839.17492827936,82987.1505655276,94923.89766015788,61312011.74118554,0.0
ZMB.7_1,7.0,87824.35495432664,88032.42355696631,85119.16156725893,89506.13652121644,87824354.95432664,0.0,87819.07333445876,88029.12948623212,85098.47349033797,89513.21246462193,87819073.33445877,0.0,87849.95348550449,88057.74785452898,85130.52098745923,89547.54694669088,87849953.48550451,0.0,87927.54040077553,88157.9432728598,85171.86006338388,89627.14831277178,87927540.40077552,0.0,88065.5902548303,88306.87665114686,85268.72647339436,89785.80244922909,88065590.2548303,0.0,88313.54943748863,88558.00785980279,85472.94943778173,90066.4364243998,88313549.43748862,0.0,88210.38388204652,88454.03837576523,85383.24453524702,89956.30271495039,88210383.88204652,0.0,88169.19762000689,88414.61600812398,85370.61636963989,89887.63169942406,88169197.62000689,0.0,87955.44906915628,88194.92504923967,85194.77290430457,89647.56831914239,87955449.06915629,0.0,87719.49017657075,87923.74795102363,85025.72888062306,89397.3706671217,87719490.17657074,0.0,87728.92600830807,87934.79894931907,85021.71265411578,89415.9483051384,87728926.00830807,0.0,87754.23108328623,87960.08451364096,85048.03497179213,89438.79868169264,87754231.08328623,0.0
ZMB.8_1,8.0,87241.96272792832,87371.44369110744,82969.96406810317,91895.77820394069,55311404.36950655,0.0,87203.02702521719,87331.57011943872,82930.81014266779,91822.56380820974,55286719.13398771,0.0,87230.76995661455,87359.52530528097,82955.12352397594,91844.81852085721,55304308.15249362,0.0,87278.25592982359,87418.96593232291,82976.00039435372,91865.61564447737,55334414.25950816,0.0,87388.71271492293,87539.28166625445,83063.12121794879,91971.293435168,55404443.86126113,0.0,87588.94455064609,87740.11878416063,83211.10109722022,92187.3091292161,55531390.84510962,0.0,87500.33558194805,87650.35466063826,83145.32265517105,92099.16085676893,55475212.75895506,0.0,87498.57101462143,87645.54032380492,83169.90960855024,92082.64329619256,55474094.02326999,0.0,87318.29827787241,87460.65506575907,83029.25364911355,91889.77196298598,55359801.10817111,0.0,87118.14482376965,87255.99890960321,82866.8815462884,91748.81301198961,55232903.81826995,0.0,87094.42414011616,87221.99238671952,82840.14234612763,91732.80994987034,55217864.90483365,0.0,87163.22997737392,87291.12257467763,82884.36806192868,91834.36903471383,55261487.80565506,0.0
ZMB.9_1,9.0,89854.45499565026,89476.30343147207,86676.76656291191,96330.04827038893,62179282.85698997,0.0,89891.76804819264,89509.91881851578,86717.99035964122,96355.95765977984,62205103.48934929,0.0,89905.61077933108,89524.3682575685,86748.51586954042,96339.78127869108,62214682.65929709,0.0,90093.61939661363,89706.35587276591,86906.26614292843,96621.72162806973,62344784.62245664,0.0,90317.00140594644,89924.81351832293,87100.15901526483,96924.62093326695,62499364.97291492,0.0,90586.86669516133,90196.05730676217,87327.01553439522,97250.43724256693,62686111.75305162,0.0,90482.5780850399,90087.82623143957,87230.64777009707,97147.10433066293,62613944.03484762,0.0,90441.47258923776,90047.21175828176,87225.64676977512,97056.39189552117,62585499.03175253,0.0,90224.30762740836,89837.01029363484,87032.33192910763,96799.50518275498,62435220.87816658,0.0,89834.21245307196,89455.16330745637,86701.19805448229,96281.38372504633,62165275.01752579,0.0,89791.09268223813,89413.49965239574,86648.52655784633,96219.00608365476,62135436.13610878,0.0,89774.85821300904,89395.53937457867,86624.63632128885,96225.33140158044,62124201.88340226,0.0
ZMB.10_1,10.0,89309.82878009057,89493.07786154744,87854.40236953278,90626.4451367718,92346362.95861363,0.0,89333.09961300621,89513.36590058691,87864.52150771965,90662.93332581002,92370424.99984844,0.0,89355.94179071297,89539.16785678547,87894.023204313,90665.25526448435,92394043.81159724,0.0,89486.340332754,89648.098164186,87998.63313690717,90864.0144540776,92528875.90406764,0.0,89681.32525897307,89829.42767983199,88161.54155199091,91102.56353920783,92730490.31777816,0.0,89962.11528280725,90111.84185016439,88418.23517142936,91401.10118615057,93020827.20242272,0.0,89857.76667026717,90005.69686649012,88315.66578817608,91293.80018090537,92912930.73705626,0.0,89791.3838712591,89932.00524233162,88274.19020060892,91221.5153862608,92844290.92288192,0.0,89563.56431267719,89695.59465431966,88053.26105407963,90998.16097538742,92608725.4993082,0.0,89239.11739479496,89411.74770732793,87768.70511739807,90583.98380761816,92273247.38621798,0.0,89229.63068359287,89413.10817077008,87771.32403736479,90547.36303454779,92263438.12683506,0.0,89233.9216157474,89423.32035110399,87782.57388719083,90529.72496601024,92267874.95068282,0.0
