adm_id,GID_1,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
1,ZMB.1_1,-0.027398136,-0.041498816,-0.543995651,0.584601527,-20.82258348,0,-0.924157052,-0.921347891,-1.522909303,-0.057455038,-702.3593594,0,-1.01371766,-1.039754341,-1.7991028,0.076450249,-770.4254216,0,-2.122176824,-2.214433158,-3.107699769,-0.084870098,-1612.854387,0,-2.401368244,-2.481685521,-3.508272529,-0.0118662,-1825.039865,0,-2.267169102,-2.410209752,-3.256012157,0.197110611,-1723.048518,0,-2.185906572,-2.318074845,-3.241329508,0.187265348,-1661.288994,0,-2.767627512,-2.833469647,-3.890559162,-0.539667646,-2103.396909,0,-2.782220965,-2.831971816,-3.888208809,-0.78576252,-2114.487934,0,-2.629116028,-2.676993557,-3.618471143,-1.380486985,-1998.128181,0,-1.628490779,-1.674483031,-2.343662281,-0.873323148,-1237.652992,0,-1.119585928,-1.07292029,-2.093223048,-0.228600571,-850.8853049,0
2,ZMB.2_1,0.195218474,0.180443922,-0.055592794,0.452989328,49.58549251,0,-0.537000858,-0.499278744,-0.932040001,-0.249706106,-136.398218,0,-0.650053827,-0.603358371,-1.036910635,-0.390334472,-165.1136721,0,-1.670014508,-1.610920709,-2.232265494,-1.37343429,-424.183685,0,-1.971464641,-1.905804091,-2.537280589,-1.647907502,-500.7520189,0,-1.969893885,-1.900767238,-2.557965692,-1.620798777,-500.3530469,0,-1.895337506,-1.825836171,-2.443600638,-1.566852452,-481.4157266,0,-2.287774483,-2.232063793,-2.944713787,-1.877166943,-581.0947186,0,-2.269914259,-2.223422495,-2.925231935,-1.86384539,-576.5582217,0,-1.872856798,-1.839593753,-2.631182535,-1.267930322,-475.7056268,0,-1.033849736,-1.003475929,-1.593013817,-0.688620264,-262.5978329,0,-0.588467539,-0.537941775,-1.151646979,-0.256891456,-149.470755,0
3,ZMB.3_1,-0.369743967,-0.40946983,-0.697277379,0.097002144,-150.8555384,0,-0.953385376,-0.965378222,-1.8566095,0.047968112,-388.9812333,0,-0.82253298,-0.780203096,-1.842785495,0.140397251,-335.5934558,0,-1.760647816,-1.866970609,-3.335673085,0.636408957,-718.344309,0,-2.041351651,-2.141063861,-3.66722358,0.499938941,-832.8714735,0,-1.861685765,-2.042490936,-3.614019245,0.70596908,-759.567792,0,-1.84452599,-1.96082789,-3.497293284,0.420512376,-752.5666041,0,-2.650523123,-2.658655892,-4.332300196,-0.680890439,-1081.413434,0,-2.708890114,-2.724059554,-4.299269711,-1.035756112,-1105.227167,0,-3.116906802,-3.067520929,-4.847034339,-1.396418244,-1271.697975,0,-2.056914534,-2.01409149,-3.40155834,-0.962799833,-839.2211297,0,-1.129354161,-1.152751059,-2.062616213,0.064197247,-460.7764978,0
4,ZMB.4_1,0.210372755,0.254066057,-0.216957861,0.652511982,84.14910203,0,-0.422367157,-0.423227751,-0.855001804,0.113089368,-168.9468627,0,-0.394224964,-0.437672138,-0.673325307,0.107661032,-157.6899858,0,-1.587208385,-1.714987231,-3.170716966,-0.045698149,-634.8833539,0,-1.980608638,-2.131220933,-3.130645749,0.093116486,-792.2434553,0,-1.633245559,-1.978924039,-2.736106884,1.459164663,-653.2982236,0,-1.601519826,-1.95242832,-2.673188041,1.472110124,-640.6079302,0,-1.982423165,-2.320506536,-3.135888311,0.885789649,-792.9692659,0,-1.998982514,-2.334150351,-3.149948567,0.412442069,-799.5930057,0,-1.376057415,-1.483331995,-2.487528212,0.269973052,-550.4229662,0,-0.702411652,-0.705515862,-1.460657279,0.555626347,-280.9646607,0,-0.052057809,-0.090950454,-0.466166228,0.664547837,-20.82312378,0
5,ZMB.5_1,-0.354740633,-0.309643829,-0.923995512,-0.085847152,-63.14383265,0,-1.155332725,-1.14582576,-1.736328675,-0.519516821,-205.649225,0,-1.290820162,-1.259050222,-1.801342934,-0.896939186,-229.7659888,0,-2.223244477,-2.196088463,-2.904011028,-1.233325053,-395.737517,0,-2.376351171,-2.283084229,-3.243339653,-1.26368854,-422.9905085,0,-1.995598054,-1.920468646,-2.916381196,-1.025687954,-355.2164536,0,-1.994738679,-1.878676025,-3.044387746,-0.753013883,-355.0634849,0,-2.70434757,-2.594981265,-3.700267326,-1.353970967,-481.3738675,0,-2.737742414,-2.676139917,-3.597373209,-1.601407866,-487.3181497,0,-2.80870617,-2.717967122,-3.610204531,-1.913838003,-499.9496982,0,-1.918876089,-1.901990563,-2.33151747,-1.275418273,-341.5599439,0,-1.666816903,-1.62578937,-2.110379567,-0.981962411,-296.6934087,0
6,ZMB.6_1,0.212109356,0.174730754,-0.431600642,0.842317551,146.1433463,0,-0.37169433,-0.416194141,-1.126901394,0.391631642,-256.0973935,0,-0.136409266,-0.186607975,-0.820848212,0.616882161,-93.98598426,0,-0.993422601,-1.16671855,-2.874859142,1.020355152,-684.4681721,0,-1.312906145,-1.567508214,-3.329917742,1.209719188,-904.5923341,0,-1.080604184,-1.31437997,-2.953939907,1.198861108,-744.5362831,0,-1.217087274,-1.491480824,-3.215744139,1.020812244,-838.5731316,0,-1.850621417,-2.077183155,-4.107883441,0.21375438,-1275.078156,0,-1.981945635,-2.198727776,-4.158046881,-0.232661168,-1365.560542,0,-2.310681557,-2.423037459,-4.802566344,-0.642378372,-1592.059593,0,-1.342524785,-1.36278713,-3.062404626,-0.241350005,-924.9995766,0,-0.094895752,-0.065729265,-0.936068161,0.422091818,-65.38317305,0
7,ZMB.7_1,0.372200129,0.372539458,-0.063551732,0.820865248,373.3167289,0,-0.282639705,-0.264142178,-0.911396968,0.072094968,-283.4876246,0,-0.427955553,-0.369507702,-1.121568036,-0.089550568,-429.23942,0,-1.508751541,-1.475333087,-2.288214119,-1.00402394,-1513.277796,0,-1.955525989,-1.911429315,-2.684545166,-1.53408963,-1961.392567,0,-1.986702681,-1.96675107,-2.694527261,-1.414015985,-1992.662789,0,-1.927238237,-1.919333856,-2.651993135,-1.507990382,-1933.019952,0,-2.138502698,-2.095611758,-3.101841281,-1.544250955,-2144.918206,0,-1.970364788,-1.952936298,-3.015374351,-1.224531948,-1976.275882,0,-0.882608652,-0.841947853,-2.474444165,-0.228682628,-885.2564779,0,-0.481333997,-0.474366218,-1.440750054,-0.038392784,-482.7779991,0,-0.073266582,-0.087550196,-0.935295613,0.377153073,-73.48638197,0
8,ZMB.8_1,0.158436315,0.213160217,-0.451177283,0.624030543,100.2901876,0,-0.508984494,-0.526106003,-0.886345752,-0.138264405,-322.1871845,0,-0.281124891,-0.280938958,-0.680425558,0.075359623,-177.952056,0,-1.618535234,-1.680052503,-3.104597279,-0.537174054,-1024.532803,0,-2.149046383,-2.179154867,-3.114022342,-1.151702841,-1360.346361,0,-1.595896351,-1.720333457,-2.702523596,0.316974312,-1010.20239,0,-1.732934681,-1.852096136,-2.512087899,-0.057503333,-1096.947653,0,-2.06639663,-2.190443769,-3.120289575,-0.362348822,-1308.029067,0,-2.0651321,-2.194481748,-3.038841569,-0.593995833,-1307.22862,0,-1.616683543,-1.689981169,-3.048479674,0.287898472,-1023.360683,0,-0.803136072,-0.78565354,-1.7032842,0.199463581,-508.3851335,0,0.12552047,0.113261009,-0.213627818,0.444065425,79.45445726,0
9,ZMB.9_1,-0.633419623,-0.634654782,-1.767336264,-0.056769629,-437.6929597,0,-1.111000669,-1.156244231,-1.981901131,-0.503084139,-767.7014625,0,-1.606403946,-1.681736016,-2.32679401,-0.719431941,-1110.025127,0,-2.063679309,-2.086301703,-2.844799014,-0.891875251,-1426.002402,0,-2.31219983,-2.461365185,-3.258388261,-0.511924307,-1597.730083,0,-2.104414016,-2.357340864,-3.096741266,-0.229257015,-1454.150085,0,-2.035695458,-2.29239552,-3.091002589,-0.07329293,-1406.665562,0,-2.581880802,-2.66545839,-3.697208961,-0.623419782,-1784.079634,0,-2.645728995,-2.764096161,-3.535037455,-0.956252106,-1828.198736,0,-2.611302161,-2.590668725,-3.518532853,-1.259243689,-1804.409793,0,-1.642044971,-1.604126422,-2.531225566,-0.993735738,-1134.653075,0,-1.51930815,-1.550978917,-2.687308669,-0.707708763,-1049.841932,0
10,ZMB.10_1,-0.137816573,-0.144591125,-0.846867675,0.473597284,-142.226703,0,-0.574973795,-0.594745282,-1.210218257,-0.015187383,-593.3729562,0,-0.756775372,-0.666142339,-2.121014024,-0.327084256,-780.9921837,0,-1.649092004,-1.622844208,-2.410622383,-1.284737301,-1701.862948,0,-2.150181951,-2.129926895,-2.883058208,-1.809500638,-2218.987773,0,-2.313684358,-2.33135124,-2.89501672,-1.84613307,-2387.722257,0,-2.17204258,-2.175706138,-2.847523121,-1.652811838,-2241.547943,0,-2.467823844,-2.488770359,-3.194267963,-1.95119794,-2546.794207,0,-2.407545387,-2.382935868,-3.262819158,-1.920166913,-2484.58684,0,-1.437998818,-1.424554596,-2.6772237,-0.535611393,-1484.014781,0,-0.729767556,-0.655483531,-1.544238841,-0.085761409,-753.1201175,0,-0.369232059,-0.373332854,-1.191684328,0.183211346,-381.0474845,0
