adm_id,GID_1,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
1,ZMB.1_1,-0.607269199,-0.686612593,-0.923084958,0.049884064,-461.5245911,0,-0.122667465,-0.123909204,-0.633067327,0.43382257,-93.22727311,0,-0.014267594,-0.051176723,-0.533810707,0.700257551,-10.84337149,0,0.40714433,0.34427449,-0.430703109,1.876632285,309.4296905,0,0.902987638,0.765054221,0.019256636,2.47788778,686.2706052,0,0.900035285,0.769799317,-0.092566918,2.468840969,684.0268169,0,0.926070754,0.83797113,-0.058213559,2.384831847,703.8137728,0,0.807210302,0.729295233,-0.236519072,2.29050962,613.4798294,0,0.997754314,0.915418155,0.139481918,2.411373078,758.2932787,0,0.160375937,0.141051207,-0.560363339,1.062910462,121.8857121,0,-0.068236837,-0.028846798,-0.622162126,0.667492602,-51.8599958,0,-0.46733986,-0.440938983,-1.040303687,0.225902873,-355.1782936,0
2,ZMB.2_1,-0.698452973,-0.695534159,-0.827688313,-0.574329515,-177.4070551,0,-0.179386634,-0.175127085,-0.335215121,-0.019802754,-45.56420493,0,-0.054875288,-0.066109502,-0.139308406,0.114743816,-13.93832319,0,0.459808504,0.409473574,0.275489387,0.872508502,116.79136,0,1.093172186,1.032858171,0.78819318,1.585475972,277.6657353,0,1.241583272,1.146201208,0.949750455,1.693742819,315.3621511,0,1.187480265,1.123772443,0.93670192,1.642438176,301.6199874,0,1.03066514,0.972192383,0.771815505,1.532252933,261.7889455,0,1.084782529,1.02245032,0.779203357,1.57536325,275.5347623,0,0.101931018,0.064699707,-0.044181485,0.41988547,25.89047867,0,-0.084724563,-0.109644621,-0.279063477,0.187388514,-21.52003893,0,-0.608479372,-0.624516494,-0.713452905,-0.343229263,-154.5537604,0
3,ZMB.3_1,-0.400561445,-0.376394351,-0.939018072,-0.038360272,-163.4290696,0,0.148163703,0.091133141,-0.259075355,0.578024555,60.4507909,0,0.504496787,0.418872681,-0.078394923,1.224874177,205.834689,0,1.191997062,1.159725814,0.035774676,2.287260005,486.3348012,0,1.713557161,1.665863095,0.297887375,2.977828429,699.1313216,0,1.854803852,1.920619133,0.299122245,3.110280698,756.7599716,0,1.512785711,1.462226059,0.311391956,2.596928439,617.2165702,0,1.289558785,1.22449897,0.170475992,2.329585402,526.1399843,0,1.474307766,1.397103544,0.361543743,2.497152008,601.5175683,0,0.148623719,0.175936649,-0.545632978,0.61511599,60.63847753,0,0.19810757,0.163712333,-0.309768114,0.816622224,80.82788862,0,0.053018977,-0.040202171,-0.524908568,0.625996005,21.63174265,0
4,ZMB.4_1,-0.429630031,-0.453427288,-0.821046179,-0.014370968,-171.8520124,0,0.091111235,0.079505746,-0.282299745,0.5581609,36.44449413,0,0.212407444,0.200078542,-0.180374714,0.920242307,84.96297746,0,0.944791455,0.878010368,0.377717974,2.941586893,377.9165822,0,1.497640417,1.412707155,0.65572389,3.747104206,599.0561667,0,1.819095474,1.773016605,1.017630216,4.264301866,727.6381897,0,1.536356459,1.523009201,0.589273756,3.419780121,614.5425838,0,1.40122919,1.434473672,0.410035172,2.789708321,560.4916758,0,1.197118602,1.249307323,0.202944074,2.25973875,478.8474409,0,-0.079905959,0.002262928,-1.341883494,0.646254909,-31.96238366,0,-0.088624634,0.004567174,-1.252391823,0.296685072,-35.44985361,0,-0.518578371,-0.450197111,-1.522711315,-0.248494742,-207.4313483,0
5,ZMB.5_1,-0.361040697,-0.398241254,-0.867767571,0.096212145,-64.26524415,0,-0.168189939,-0.275866207,-0.616836384,0.472958515,-29.93780906,0,-0.031851162,-0.059663207,-0.695161493,0.566205912,-5.669506918,0,0.088550292,-0.024951986,-0.896319465,1.095557364,15.76195193,0,0.398289263,0.358506478,-0.98078012,1.545926761,70.89548873,0,0.375414598,0.394825087,-0.85992312,1.343921492,66.82379837,0,0.461458962,0.482094215,-0.917230327,1.490733446,82.13969529,0,0.378268833,0.308055004,-1.022381208,1.603970748,67.33185234,0,0.460501464,0.429006319,-0.843768981,1.568318432,81.9692605,0,-0.090646571,-0.148770907,-0.952510824,0.795217745,-16.1350897,0,-0.18729409,-0.357846885,-0.855122819,0.649746471,-33.33834805,0,-0.497991226,-0.633846194,-0.98245024,0.135667017,-88.64243819,0
6,ZMB.6_1,-0.314282282,-0.303642145,-0.801063831,-0.040751818,-216.540492,0,0.149242675,0.159449578,-0.352103342,0.464731756,102.828203,0,0.315458124,0.312939612,-0.230812334,0.679504934,217.3506475,0,1.092723073,1.115315579,-0.481786003,1.780425895,752.8861972,0,1.531335601,1.591287325,-0.679737686,2.371960053,1055.090229,0,1.67742836,1.737547565,-0.531314489,2.649305326,1155.74814,0,1.38541797,1.463579927,-0.716630474,2.290989685,954.5529811,0,1.215285549,1.334266231,-0.945175813,2.231581774,837.3317436,0,1.297115175,1.41531757,-0.927113197,2.136975031,893.7123553,0,0.387872464,0.493388973,-1.048159667,1.115661155,267.2441275,0,0.089894487,0.173352484,-0.879825584,0.596488579,61.93730156,0,-0.152640145,-0.160494948,-0.577317865,0.236285861,-105.1690598,0
7,ZMB.7_1,-0.910721205,-0.838235639,-1.739739044,-0.494672378,-913.453369,0,-0.398184976,-0.367974695,-0.946911865,0.026732553,-399.3795309,0,-0.261402915,-0.226070058,-0.858339285,0.200588258,-262.1871234,0,0.15264802,0.134756405,-0.132801629,0.65784095,153.1059642,0,0.833651227,0.782657246,0.395810933,1.671969735,836.1521804,0,0.994335813,0.947702005,0.482616041,1.82529595,997.3188201,0,1.000643622,0.943255465,0.525996198,2.035181348,1003.645553,0,0.76002256,0.744343756,0.332075851,1.429617752,762.3026272,0,0.738138847,0.715948775,0.415773288,1.395461839,740.3532638,0,-0.27508182,-0.214788378,-1.035164343,0.186930478,-275.9070653,0,-0.505796039,-0.465912541,-1.324025194,0.011306691,-507.3134272,0,-0.852833309,-0.794708389,-1.730192752,-0.498016443,-855.391809,0
8,ZMB.8_1,-0.316914175,-0.347450599,-0.80978055,0.079912611,-200.606673,0,-0.006638833,-0.029618321,-0.310963275,0.360446493,-4.202381246,0,0.185555141,0.179075871,-0.182141208,0.609725315,117.456404,0,0.79463873,0.790870027,0.007400741,1.416669632,503.0063162,0,1.224448361,1.226689563,0.173732201,2.238735338,775.0758128,0,1.638666682,1.625710868,0.805359095,2.651069464,1037.276009,0,1.274279915,1.285018131,0.235300756,2.335029061,806.6191863,0,1.189400178,1.188171881,-0.031600303,2.090978919,752.8903129,0,1.048955285,1.082716587,-0.161667122,2.03021025,663.9886956,0,-0.046352566,-0.021228696,-1.180605212,0.580772317,-29.34117452,0,-0.165482996,-0.160029299,-0.970168644,0.224895789,-104.7507362,0,-0.392164486,-0.414995069,-0.908255473,0.074664655,-248.2401196,0
9,ZMB.9_1,-0.770370701,-0.750426758,-1.650775024,-0.358297451,-532.3261547,0,-0.557469193,-0.559771485,-1.20798765,-0.116602256,-385.2112123,0,-0.068472149,-0.02662948,-0.915396505,0.7288295,-47.31425472,0,-0.467412528,-0.428976335,-1.642508641,0.324020774,-322.9820568,0,-0.135633601,-0.061984648,-1.7193652,0.924886742,-93.7228184,0,0.09829972,0.142451507,-1.099106457,1.117410852,67.9251063,0,-0.020526095,0.058224748,-1.366289169,1.011983376,-14.18353152,0,-0.357121057,-0.325008728,-1.919790992,0.645082383,-246.7706502,0,-0.014178127,0.037464367,-1.462817168,0.94055972,-9.797085522,0,-0.537818633,-0.485996687,-1.90501102,0.195581834,-371.6326752,0,-0.811839136,-0.815081468,-1.941255325,-0.292665444,-560.9808433,0,-0.971251608,-0.972577173,-2.092792346,-0.554857904,-671.1348612,0
10,ZMB.10_1,-1.027860235,-0.959395234,-1.628053328,-0.660843335,-1060.751762,0,-0.643971556,-0.651355044,-0.921307665,-0.351028041,-664.5786461,0,-0.517364613,-0.515175609,-0.912677758,0.048813488,-533.9202811,0,-0.15421438,-0.146697,-0.774830488,0.246779928,-159.1492403,0,0.590121893,0.578403345,-0.436684533,1.556372869,609.0057939,0,0.625205941,0.641517445,-0.36460619,1.573774301,645.2125316,0,0.770149658,0.757353156,-0.40593451,1.820306592,794.7944471,0,0.299187769,0.359778621,-0.785271551,1.148209284,308.7617774,0,0.761106962,0.745387576,-0.23057321,1.414680281,785.4623847,0,-0.184672334,-0.162164027,-0.763671149,0.163013055,-190.5818485,0,-0.88502703,-0.893805161,-1.274940916,-0.445746688,-913.3478947,0,-1.049714967,-0.996207902,-1.650122811,-0.71045472,-1083.305846,0
