GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
ZWE.1_1,1.0,288.2190711004738,288.20173236125663,288.062039911418,288.362710000891,1729.3144266028428,0.0,287.6012779099685,287.56350341937264,287.4245505606922,287.77577228715967,1725.6076674598107,0.0,285.42758753243805,285.4311063128067,285.34542052781035,285.5228505917973,1712.5655251946287,0.0,285.7997481804578,285.78326654340344,285.71813776958163,285.94071594555646,1714.798489082747,0.0,278.35582893455705,278.31876424810275,278.1954269750597,278.53521206293084,1670.1349736073425,0.0,277.24092778623384,277.2143011299775,277.1231757795862,277.3838318747513,1663.445566717403,0.0,272.3628000141973,272.36690439333177,272.22792646599623,272.4772520341515,1634.176800085184,0.0,277.1764592563731,277.16392650906516,277.08182195979566,277.35584175072063,1663.0587555382388,0.0,274.1943432348544,274.21873556641856,274.08206983070653,274.2919905773447,1645.1660594091259,0.0,279.7256420455809,279.7298455681498,279.6555824910109,279.80631153393347,1678.3538522734855,0.0,285.75021734156337,285.65698996140395,285.6178137487402,286.0169393644358,1714.5013040493805,0.0,285.72047177365056,285.6546429729889,285.6423299958389,285.91565461369066,1714.3228306419035,0.0
ZWE.2_1,2.0,289.5173618028788,289.5435810952968,289.3921487449647,289.62076353629845,2026.621532620152,0.0,288.56459815279555,288.57136171575286,288.3902005523826,288.71928163512524,2019.9521870695687,0.0,286.4890123499288,286.46547012751563,286.3979003733812,286.62625910738706,2005.4230864495016,0.0,286.16938376212363,286.19031884360334,286.077659115448,286.2208960044738,2003.185686334865,0.0,280.6663146428144,280.62980743126246,280.608143436225,280.81376881300304,1964.6642024997007,0.0,278.8996343845592,278.89045642163444,278.82976224613856,278.98061115054594,1952.297440691914,0.0,274.6999373030718,274.64653332754773,274.6225669359433,274.86736676633944,1922.8995611215028,0.0,278.4211548696207,278.4058726831716,278.3592551944974,278.5334096713555,1948.9480840873446,0.0,275.6903947197548,275.62879988418035,275.4990521703209,276.01337261316075,1929.832763038284,0.0,281.0218562521122,281.0174274937059,280.9660123445834,281.13570922564367,1967.152993764785,0.0,287.1933419366505,287.20491209316884,287.1060329296189,287.2463786899325,2010.3533935565536,0.0,286.992715758581,286.9777104133242,286.85414515781594,287.1949677709956,2008.9490103100675,0.0
ZWE.3_1,3.0,291.12703028137213,291.09909083664087,288.5084242326549,293.59433132703253,86464.72799356753,0.0,290.04902978214983,290.02196959712086,287.42074229560694,292.70363113641207,86144.56184529849,0.0,289.23957605846107,289.2199409942669,286.585207199348,292.7239003849026,85904.15408936294,0.0,288.54650647165784,288.54363205007036,285.83991619051864,291.85557928068266,85698.31242208237,0.0,283.9128196703514,283.92474900356694,281.10409703856675,286.8179844375324,84322.10744209436,0.0,281.84222028132194,281.78046132466324,279.25848594276243,285.2564278782288,83707.13942355262,0.0,278.5629831675761,278.64602895272856,274.907686478622,281.9943002830557,82733.2060007701,0.0,281.7693081176665,281.82404731906917,278.67132540059816,285.46830408517064,83685.48451094695,0.0,279.9540180496119,279.8921590683659,276.404915916196,284.47260277360687,83146.34336073473,0.0,284.7904920549359,284.7804333354053,281.46531882443105,289.02045897742704,84582.77614031595,0.0,288.81243891180014,288.8719028115545,286.3461562596558,291.36979653528,85777.29435680463,0.0,289.2536229881727,289.34731949106117,287.07446333510984,291.8753805501532,85908.32602748729,0.0
ZWE.4_1,4.0,292.6929458323125,292.5055309764077,289.7568325725836,295.60292846345766,67026.68459559957,0.0,291.93275486956765,291.77940446086825,289.01210416228616,295.10765062211016,66852.60086513098,0.0,290.2369070409905,290.39266992792017,286.8586122121219,293.29712322579763,66464.25171238683,0.0,288.24512777841414,288.1073695148331,286.1548628743342,290.94930028583826,66008.13426125684,0.0,283.8277333132036,283.8052114219679,280.9511031985637,287.17694898475366,64996.55092872364,0.0,281.71638378194723,281.6341692049099,278.91935734058404,284.69183256051264,64513.05188606593,0.0,278.96505066026083,279.09735779075817,275.16000912296767,282.56116682942866,63882.996601199724,0.0,281.12063783126183,281.04579752009545,278.5123678178796,284.18426337623765,64376.62606335896,0.0,279.11341948869216,279.10484685196,276.1560618402668,282.3029806036673,63916.973062910496,0.0,283.47271591550737,283.47784689984,281.0051763905399,285.7496941574988,64915.2519446512,0.0,289.32664671526663,289.2962789915662,287.14643873355783,291.9994256205018,66255.80209779604,0.0,290.56320728018846,290.4009677550618,287.4427182586713,293.83541955141027,66538.97446716318,0.0
ZWE.5_1,5.0,290.64673283885406,290.0455296459532,288.75862099107286,294.3555121840408,77893.32440081287,0.0,289.55439475623183,289.16975228414424,287.62997688137295,293.1882919681302,77600.57779467011,0.0,288.09870039104163,287.49873055605343,286.25020670426704,292.0064241943893,77210.45170479914,0.0,287.23431674027483,286.95520744163747,285.6390952386833,289.8323972427814,76978.79688639365,0.0,282.2244315601173,281.80750824740466,279.92743119079387,285.7477590052472,75636.14765811147,0.0,280.33729885528044,279.88117399387056,278.2194400137363,283.99326296235563,75130.39609321514,0.0,276.7906618811715,276.0202047008561,274.14267066275147,281.5130177729849,74179.89738415397,0.0,279.9337642266039,279.51335704190035,278.09170289526986,283.276267432809,75022.24881272983,0.0,277.65696273545313,277.2211663174664,274.98172134162616,281.6295964795943,74412.06601310143,0.0,282.5716913867776,282.1348555133675,280.53413794058554,285.8667505269641,75729.2132916564,0.0,288.18040135072187,287.75806298090606,286.5377482210577,290.8510018507929,77232.34756199346,0.0,288.33882052366533,287.9144808143087,285.88498749818393,292.0512703725948,77274.8039003423,0.0
ZWE.6_1,6.0,292.06546510002005,291.76496594734954,289.1514441454593,295.83645543707087,139023.16138760955,0.0,291.34650599710653,291.1712764071844,287.9767025872028,295.29902050431235,138680.93685462268,0.0,288.68107967373385,288.0819641864226,286.2510715491502,293.3384833838503,137412.1939246973,0.0,287.9243344466893,287.39008833964266,285.67001393788394,292.63689082779456,137051.9831966241,0.0,282.93745762831617,282.3626872155888,279.89918244972404,289.67467440015656,134678.2298310785,0.0,280.7766026996743,280.0668889441232,278.1503434953858,287.3857184673402,133649.66288504493,0.0,277.84502722451265,277.0587289732265,274.09225490690017,286.7213468691844,132254.23295886806,0.0,280.3060148352537,279.38652582537486,278.0232928459124,288.61241566549,133425.66306158074,0.0,278.0208533759995,277.41036309333543,274.8427112158942,288.40973172401334,132337.92620697574,0.0,282.4697167870849,281.7468978129783,280.41156655597183,292.063124401353,134455.5851906524,0.0,288.88618097745194,288.3958439745559,286.66341742011775,293.9311268494508,137509.82214526713,0.0,289.62627486002486,289.3764109314413,285.94581294611334,294.4949735581306,137862.10683337186,0.0
ZWE.7_1,7.0,291.0475405162598,291.0258240315378,288.65080616942964,293.4787101206543,135628.15388057713,0.0,290.60774198808764,290.8924711233116,287.6042637172298,292.8287682782429,135423.20776644885,0.0,290.34219891082137,290.68917450337176,286.60893221294845,292.8759646997657,135299.4646924428,0.0,289.70003570005235,289.9556193674105,286.4239928276263,291.83895164391623,135000.2166362244,0.0,284.14251948795584,284.22187121096647,280.6174992335284,286.7948318715688,132410.41408138745,0.0,282.4105862187268,282.6125612281849,278.7377648480272,285.31084557434065,131603.33317792672,0.0,278.57711524820616,278.65850957422685,274.4748310918069,281.97950770703517,129816.93570566409,0.0,282.3172407713683,282.4702321530306,278.6913238107494,285.52179937360444,131559.83419945766,0.0,280.65249408240084,280.95823144035967,275.8580946516591,284.20716672947606,130784.06224239875,0.0,285.1772443239768,285.44489019487264,280.9161995542639,288.5831956577985,132892.59585497322,0.0,288.7960658140009,288.81542240465666,286.56234033988466,290.8422705191053,134578.9666693244,0.0,289.1888851113438,289.2744190995603,286.6089309080293,291.13882053987436,134762.0204618862,0.0
ZWE.8_1,8.0,291.4854229107938,291.57930039644236,288.02271136484404,295.0435471486562,181595.4184734245,0.0,290.73361159977964,290.7392159214507,287.4179321441789,294.81534216280767,181127.0400266627,0.0,286.74154617002176,286.2412001352562,285.1037641580587,293.24445490896517,178639.98326392355,0.0,287.59670506324187,287.384466118124,285.46704186350223,292.6670490502605,179172.7472543997,0.0,280.96479532607225,280.31524668778576,277.5012640460361,289.6712066489138,175041.06748814302,0.0,278.5151090061886,277.79313764719114,276.6755907058068,287.18272894881505,173514.91291085552,0.0,274.61201735102395,273.69491885341455,271.67867244615485,286.74469081299543,171083.28680968788,0.0,278.62599897494994,278.01154477723003,276.686353605324,288.64873491041106,173583.99736139382,0.0,274.8906683363293,274.08071699912534,273.05277795310224,288.13898934393916,171256.88637353314,0.0,280.41886173199504,279.984521882136,278.58594815385004,291.61768381575337,174700.95085903292,0.0,288.26178151744017,288.151781603337,285.6688172700036,293.90292023268483,179587.08988536525,0.0,288.8058065464227,288.66981621624853,285.6661296850024,294.49733341269433,179926.01747842133,0.0
ZWE.9_1,9.0,289.3395710387168,289.30124184761894,287.979879389998,291.12585144695413,129913.46739638384,0.0,289.37308317404364,289.4778606602216,287.3656459108517,291.9831767384196,129928.51434514552,0.0,287.79300714950284,287.774796604451,284.96548313452587,291.5396229904469,129219.06021012676,0.0,287.129400692644,287.1559696911345,284.7290306757922,289.91252889797295,128921.10091099713,0.0,280.5641791833812,280.5871264948887,276.57408959491835,285.10201436129904,125973.31645333815,0.0,279.2416618878865,279.1404068344711,276.39733201459467,283.46723268383994,125379.50618766106,0.0,274.90011234617117,274.94280701981256,271.36824437081884,279.5359284756724,123430.15044343087,0.0,279.14287080884424,278.98637308215297,276.3227245916734,283.50406053749293,125335.14899317107,0.0,276.7140713110551,276.46960847395843,272.8626927044432,282.08008796939407,124244.61801866375,0.0,281.70662471564265,281.4165389191292,278.57362831925053,286.10975332696574,126486.27449732351,0.0,286.7559604289786,286.59999585968075,285.3466364958448,289.28454646146406,128753.42623261141,0.0,287.02670135780465,286.84004304380886,285.5083009123938,289.84006983212663,128874.98890965432,0.0
ZWE.10_1,10.0,290.3739747003133,289.85676875896627,288.26186739521506,294.1641638807259,117891.83372832724,0.0,289.702029155039,289.1208509541148,287.51156770677517,293.9331027252016,117619.02383694582,0.0,287.37532675654364,287.14968888468013,286.0618465202699,290.5995203802289,116674.38266315672,0.0,287.323309556458,287.1396094147318,285.7931497353115,290.81497512784273,116653.26367992195,0.0,281.1363386236121,280.96026924798537,279.36131048256414,286.4160042089418,114141.35348118652,0.0,279.2451638676715,279.01530938282843,277.78928161962773,283.3800476618283,113373.53653027465,0.0,275.34209953338865,275.1405822790509,273.2878542641619,280.854688435276,111788.89241055584,0.0,279.12800378675456,278.94666820557643,277.8694110681251,282.40042570355587,113325.96953742234,0.0,276.0853918887632,275.5370972802577,274.06916820495525,280.38775464791945,112090.66910683783,0.0,281.2289641415325,280.89990301392174,279.88618266857816,284.3807845848881,114178.95944146221,0.0,287.52469957677306,287.30641131311864,286.0945390519448,291.2890649119765,116735.02802816988,0.0,287.7179981901544,287.3182373554072,285.94012070092936,292.96373788259183,116813.50726520267,0.0
