adm_id,GID_1,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
1,ZWE.1_1,-0.003206235,-0.003221583,-0.003553898,-0.002994597,-0.019237412,0,-0.003194337,-0.003201046,-0.003333354,-0.003081982,-0.019166021,0,-0.001125998,-0.001128048,-0.001204677,-0.001047516,-0.00675599,0,-0.001728646,-0.001724546,-0.001884739,-0.001629462,-0.010371874,0,-0.000464397,-0.000473909,-0.000520972,-0.000391915,-0.00278638,0,-0.000162739,-0.000163732,-0.000189441,-0.000134898,-0.000976434,0,-0.000127666,-0.00012728,-0.000156102,-9.35E-05,-0.000765996,0,-0.000130565,-0.000132879,-0.000144664,-0.000114384,-0.000783388,0,-0.000220555,-0.000210879,-0.000272622,-0.000194129,-0.001323327,0,-0.000355169,-0.000349886,-0.000391988,-0.000309392,-0.002131016,0,-0.00235768,-0.002349691,-0.002585472,-0.002128685,-0.01414608,0,-0.002439196,-0.002404906,-0.00267248,-0.002247203,-0.014635175,0
2,ZWE.2_1,-0.003956429,-0.003999319,-0.004011876,-0.003846065,-0.027695004,0,-0.004266716,-0.004292372,-0.00431119,-0.004185648,-0.029867013,0,-0.003661627,-0.003624593,-0.003755004,-0.003544692,-0.025631389,0,-0.00293705,-0.0029386,-0.003099767,-0.002814218,-0.020559353,0,-0.001643746,-0.001582734,-0.001826644,-0.00152348,-0.011506223,0,-0.000797772,-0.000772735,-0.000888369,-0.000739324,-0.005584407,0,-0.000708862,-0.000676941,-0.000805271,-0.000649953,-0.004962035,0,-0.000613137,-0.000586158,-0.000692792,-0.000562226,-0.004291957,0,-0.000773279,-0.00074643,-0.000846269,-0.000715262,-0.005412956,0,-0.000841675,-0.00083773,-0.000982433,-0.000764201,-0.005891723,0,-0.002363221,-0.002332069,-0.002572938,-0.00218669,-0.016542548,0,-0.002995648,-0.003023322,-0.003175498,-0.002797725,-0.020969538,0
3,ZWE.3_1,-0.003891753,-0.003888037,-0.004468268,-0.003300247,-1.155850723,0,-0.003804704,-0.003958474,-0.004777446,-0.002503545,-1.12999696,0,-0.003214378,-0.003272846,-0.004069629,-0.002198688,-0.954670228,0,-0.003022282,-0.003026297,-0.003458518,-0.002180034,-0.897617823,0,-0.001731497,-0.001715844,-0.002597536,-0.000659491,-0.514254642,0,-0.001028941,-0.001003913,-0.001725215,-0.000296258,-0.305595581,0,-0.000866971,-0.000830735,-0.001548921,-0.000208287,-0.257490239,0,-0.000852146,-0.000804825,-0.001590238,-0.000192538,-0.253087484,0,-0.0010575,-0.001010693,-0.002314282,-0.000195199,-0.314077382,0,-0.001263911,-0.001146903,-0.00328492,-0.000185616,-0.375381612,0,-0.00244744,-0.002439556,-0.003836724,-0.001284687,-0.726889566,0,-0.003447563,-0.003405048,-0.004797415,-0.002514916,-1.023926112,0
4,ZWE.4_1,-0.003835514,-0.003820069,-0.004288217,-0.003500858,-0.878332791,0,-0.004324393,-0.00431317,-0.004732106,-0.003958873,-0.990286095,0,-0.00382146,-0.003994846,-0.0045527,-0.002372306,-0.875114398,0,-0.002430769,-0.002579318,-0.0032645,-0.001066796,-0.556646163,0,-0.001179391,-0.001182941,-0.002183049,-0.000278684,-0.270080576,0,-0.000594496,-0.00058183,-0.001129332,-0.000153897,-0.136139583,0,-0.000512669,-0.00049159,-0.001058785,-0.000119485,-0.117401185,0,-0.000514501,-0.000486302,-0.001065194,-0.000121785,-0.117820654,0,-0.00057606,-0.000556763,-0.001209148,-0.00011195,-0.131917644,0,-0.000608756,-0.00056855,-0.001342204,-0.000125081,-0.139405111,0,-0.00206823,-0.002109298,-0.002562045,-0.00137183,-0.473624685,0,-0.003389712,-0.003447259,-0.004154931,-0.002667817,-0.776244155,0
5,ZWE.5_1,-0.003879974,-0.003884942,-0.004335255,-0.003283009,-1.039832914,0,-0.004061982,-0.004097768,-0.004813231,-0.003387669,-1.088611068,0,-0.003432941,-0.003507099,-0.004254051,-0.002528609,-0.920028102,0,-0.002624402,-0.002746988,-0.003234069,-0.001508735,-0.703339731,0,-0.001275718,-0.001325654,-0.002050131,-0.000327912,-0.341892327,0,-0.000661939,-0.000640013,-0.001157503,-0.000173999,-0.177399623,0,-0.000540111,-0.000507675,-0.001018629,-0.000139356,-0.144749779,0,-0.000519535,-0.000490673,-0.000949496,-0.000124936,-0.139235273,0,-0.0005926,-0.00055166,-0.001264692,-0.000125364,-0.15881683,0,-0.000671744,-0.000615407,-0.001428501,-0.000191871,-0.18002743,0,-0.002429346,-0.002427499,-0.00285547,-0.001994568,-0.651064774,0,-0.003151818,-0.003285747,-0.003743056,-0.001894658,-0.844687183,0
6,ZWE.6_1,-0.003982636,-0.003911439,-0.005271459,-0.003246826,-1.895734671,0,-0.004312182,-0.00431036,-0.005118762,-0.003248626,-2.052598565,0,-0.003238096,-0.003228917,-0.006489009,-0.000937076,-1.541333536,0,-0.002341508,-0.002320196,-0.005230744,-0.000749412,-1.114557997,0,-0.001132781,-0.001046567,-0.004703246,-7.76E-05,-0.539203616,0,-0.000604725,-0.000504299,-0.003432482,-5.11E-05,-0.287849245,0,-0.000541271,-0.000440547,-0.003367363,-4.17E-05,-0.257645139,0,-0.000529935,-0.000430254,-0.002976159,-5.73E-05,-0.25224923,0,-0.000744149,-0.000591885,-0.004562955,-0.000106538,-0.354215049,0,-0.000777497,-0.000600998,-0.004985431,-6.45E-05,-0.370088705,0,-0.002316703,-0.002176737,-0.006557999,-0.001214099,-1.102750538,0,-0.003108534,-0.002940463,-0.006130787,-0.001481023,-1.47966198,0
7,ZWE.7_1,-0.002869471,-0.002915917,-0.004228953,-0.001279211,-1.337173468,0,-0.002889222,-0.00277918,-0.003951033,-0.002369553,-1.346377661,0,-0.002734729,-0.002751415,-0.003471023,-0.001724005,-1.274383867,0,-0.002389783,-0.002620574,-0.003360838,-0.000851149,-1.113638956,0,-0.001089793,-0.001136932,-0.002270203,-0.000165437,-0.507843533,0,-0.000656342,-0.000610588,-0.001516983,-0.000139144,-0.305855509,0,-0.000515377,-0.000476587,-0.001420119,-5.04E-05,-0.240165658,0,-0.000631378,-0.00057636,-0.001450171,-0.000175058,-0.294222334,0,-0.000874728,-0.000802375,-0.002150031,-0.000194712,-0.407623199,0,-0.000996598,-0.000874849,-0.002440059,-0.000341171,-0.464414719,0,-0.002018882,-0.001951687,-0.003726372,-0.000963025,-0.940799225,0,-0.003091732,-0.003022473,-0.004136062,-0.002368072,-1.440747141,0
8,ZWE.8_1,-0.003847367,-0.003787578,-0.00538034,-0.002976727,-2.396909599,0,-0.003948777,-0.00392335,-0.005088543,-0.003024587,-2.460088294,0,-0.002322363,-0.002251455,-0.006129271,-0.00104853,-1.446831987,0,-0.00197739,-0.001976339,-0.004904293,-0.00088215,-1.231913794,0,-0.000836374,-0.000825331,-0.004439985,-0.000122426,-0.521060784,0,-0.000447985,-0.000421072,-0.003408095,-5.63E-05,-0.279094615,0,-0.00038715,-0.000356591,-0.003019064,-4.24E-05,-0.241194238,0,-0.000363613,-0.000325131,-0.002852851,-3.40E-05,-0.226531128,0,-0.000447545,-0.000378116,-0.00454539,-6.12E-05,-0.278820769,0,-0.00056777,-0.000495168,-0.004981361,-0.00011032,-0.353721021,0,-0.002308364,-0.00222541,-0.006339833,-0.001229148,-1.438110647,0,-0.002772686,-0.002611435,-0.005953757,-0.002003856,-1.727383197,0
9,ZWE.9_1,-0.002600931,-0.002527295,-0.004122123,-0.000995365,-1.165217093,0,-0.003254202,-0.003356124,-0.003876859,-0.002559894,-1.457882511,0,-0.001762221,-0.001820618,-0.002682285,-0.000943576,-0.789475003,0,-0.001384011,-0.001341452,-0.002410896,-0.000628396,-0.620037041,0,-0.000406376,-0.000350299,-0.001193563,-9.58E-05,-0.182056655,0,-0.00020796,-0.000189388,-0.000668411,-5.49E-05,-0.093166175,0,-0.000158912,-0.000150652,-0.000508904,-4.28E-05,-0.071192555,0,-0.000213271,-0.000197279,-0.000613559,-3.99E-05,-0.095545327,0,-0.000312795,-0.0002724,-0.000992646,-7.90E-05,-0.140131969,0,-0.000422039,-0.000416947,-0.000996468,-0.0001224,-0.189073482,0,-0.001953664,-0.001976843,-0.002995384,-0.001030559,-0.875241519,0,-0.002546244,-0.002500701,-0.003307655,-0.002106395,-1.140717162,0
10,ZWE.10_1,-0.00353919,-0.003511665,-0.004404757,-0.002407107,-1.440450131,0,-0.003793705,-0.003650831,-0.004715749,-0.002810455,-1.544038051,0,-0.002741673,-0.002718967,-0.003553526,-0.002102479,-1.115860925,0,-0.002128598,-0.002145188,-0.002681247,-0.00134885,-0.866339484,0,-0.000843135,-0.000832785,-0.00156436,-0.000252302,-0.34315587,0,-0.000443062,-0.00042525,-0.000950415,-0.000119501,-0.180326418,0,-0.000374686,-0.000367708,-0.000779069,-0.00010214,-0.152497118,0,-0.000389848,-0.000371515,-0.000793893,-8.98E-05,-0.15866829,0,-0.00051893,-0.00049566,-0.001263933,-0.000104787,-0.211204553,0,-0.000582531,-0.000550062,-0.0012196,-0.000242632,-0.237090136,0,-0.002229976,-0.002163096,-0.002929529,-0.001784039,-0.907600303,0,-0.002629149,-0.002622589,-0.003958399,-0.001547187,-1.070063594,0
