adm_id,GID_1,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
1,ZWE.1_1,0.415087929,0.407823679,0.364051499,0.492794774,2.490527574,0,0.136051993,0.140441262,0.078715776,0.169070825,0.816311956,0,1.264677374,1.271615741,1.166677431,1.321458004,7.588064243,0,0.437367558,0.455154891,0.304074445,0.513858557,2.624205345,0,0.751426229,0.762510138,0.613164414,0.825539041,4.508557374,0,0.932329509,0.94327415,0.829707832,0.986673086,5.593977054,0,0.890596008,0.90659824,0.733594251,0.967840468,5.343576048,0,0.168256379,0.170238188,0.016989027,0.254687583,1.009538277,0,0.776678624,0.786838024,0.657797667,0.839097104,4.660071743,0,0.248842409,0.264666408,0.128238072,0.318946013,1.493054453,0,-0.252859822,-0.240055045,-0.332164542,-0.203750866,-1.51715893,0,0.202243855,0.198628895,0.147323112,0.262585656,1.213463127,0
2,ZWE.2_1,0.025827134,0.046717196,-0.078815223,0.126623622,0.180789937,0,-0.513089761,-0.529274302,-0.575335688,-0.415812144,-3.591628326,0,1.192138333,1.173489911,1.022159536,1.388569896,8.344968331,0,-0.160767001,-0.20844131,-0.320770501,0.051438252,-1.125369005,0,0.198044369,0.147232803,0.026861226,0.422343589,1.386310582,0,0.850983902,0.83720367,0.704737775,1.040815866,5.956887315,0,-0.054671361,-0.026105143,-0.217481683,0.11970788,-0.382699524,0,-0.507675892,-0.488702632,-0.617853934,-0.403698813,-3.553731245,0,0.03884757,0.007177784,-0.089368081,0.204512139,0.27193299,0,-0.779824319,-0.811353829,-0.874091846,-0.657202368,-5.458770234,0,-1.258425031,-1.257918975,-1.331003783,-1.199578291,-8.808975214,0,-0.755556329,-0.790384074,-0.85331255,-0.618714828,-5.288894303,0
3,ZWE.3_1,0.574965332,0.529338498,0.062138203,1.306915501,170.7647037,0,0.10979092,0.111527755,-0.357970731,0.759709757,32.60790336,0,1.221991458,1.17945903,0.145363597,2.594797828,362.9314632,0,0.51376379,0.52555873,-0.327894122,1.833731277,152.5878457,0,0.644443199,0.596808843,-0.16619932,1.963517398,191.3996302,0,0.986745019,0.931394826,0.162685767,2.044751437,293.0632705,0,0.23157766,0.113617997,-0.544664213,1.451070195,68.77856492,0,0.200676423,0.177425154,-0.461929522,1.715481456,59.60089748,0,0.603961822,0.642175343,-0.115821518,1.833506116,179.376661,0,0.216458654,0.150588294,-0.496039152,1.347869038,64.28822024,0,-0.282077167,-0.32600649,-0.978406678,1.228871891,-83.77691862,0,0.313125969,0.279147757,-0.520429844,1.366563272,92.99841268,0
4,ZWE.4_1,-0.154486031,-0.162634482,-0.585045414,0.136567903,-35.37730112,0,-0.105155664,-0.184691434,-0.747013437,0.547605593,-24.08064695,0,0.205469365,0.254927574,-0.510567695,0.879177287,47.05248457,0,0.125770165,-0.083251445,-0.693351219,1.307964648,28.80136784,0,0.260377892,0.131530437,-0.51053664,1.270722798,59.62653727,0,0.488603057,0.422971179,-0.182274426,1.201968501,111.8901001,0,0.311764227,0.217775971,-0.335165169,1.110591735,71.39400802,0,0.320906246,0.16340452,-0.600451729,1.311570742,73.48753031,0,0.389796206,0.259429111,-0.386135006,1.412360802,89.2633312,0,-0.110192458,-0.255064649,-0.907997414,0.931531665,-25.23407288,0,-0.105154312,-0.21311837,-1.168012369,1.027595094,-24.08033735,0,-0.212128846,-0.346917374,-1.013205178,0.865765967,-48.57750567,0
5,ZWE.5_1,0.321712296,0.259858395,-0.177688815,0.895718231,86.21889543,0,-0.011554169,-0.033607275,-0.49391077,0.619174132,-3.096517211,0,1.275397542,1.386301458,0.0572773,2.201817044,341.8065412,0,0.629121201,0.726570969,-0.349633416,1.617090069,168.6044819,0,0.888960057,0.955842128,-0.080742077,1.745929433,238.2412954,0,1.250457124,1.333096596,0.473311913,1.800873871,335.1225093,0,0.604045496,0.602257269,-0.098096084,1.303916511,161.8841929,0,0.431014022,0.388830729,-0.476474267,1.578999989,115.5117578,0,0.795891107,0.803308716,-0.002567621,1.699363988,213.2988168,0,0.151881144,0.168194535,-0.750054636,1.208675192,40.70414666,0,-0.221711569,-0.239098239,-1.234949617,1.23558608,-59.41870049,0,0.17372649,0.179927315,-0.76158303,1.222458319,46.55869926,0
6,ZWE.6_1,-0.525160393,-0.458466282,-1.866494351,0.354858079,-249.976347,0,-0.555683812,-0.573829546,-1.421425598,0.149016817,-264.5054944,0,0.317663094,0.053406104,-0.815856198,2.063355354,151.2076325,0,-0.50460865,-0.618281437,-1.619654761,0.747361415,-240.1937176,0,-0.289091569,-0.381093354,-1.559910576,1.110699848,-137.6075868,0,0.142259084,0.041005021,-1.006943439,1.401208569,67.71532413,0,-0.238488514,-0.31867835,-1.140191444,1.025742377,-113.5205327,0,-0.477970741,-0.552200545,-1.656714175,0.717736984,-227.5140729,0,-0.200306037,-0.272737576,-1.314731428,0.996659029,-95.34567359,0,-0.738812383,-0.873017817,-1.784420942,0.451285723,-351.6746945,0,-0.965605941,-1.014074387,-1.629804069,-0.058676001,-459.6284277,0,-0.962157754,-1.027698697,-1.939168153,0.369168079,-457.9870911,0
7,ZWE.7_1,1.069886127,1.043509975,0.416492071,1.569909494,498.566935,0,0.46354935,0.462750187,0.034727964,1.011780794,216.0139971,0,1.403082723,1.374312902,0.217281933,2.54741825,653.8365489,0,0.476237217,0.522843956,-0.444361661,1.090082608,221.9265433,0,0.41747743,0.531661161,-0.579384646,1.292719129,194.5444825,0,0.664566655,0.697481248,-0.11535227,1.754456986,309.6880611,0,0.086710323,0.071231614,-0.447956694,0.906334718,40.40701045,0,0.282052777,0.292438813,-0.310798566,0.685817841,131.4365942,0,0.751090396,0.785618984,0.04542904,1.244888398,350.0081246,0,0.413150438,0.43176052,-0.268521853,0.921315954,192.5281041,0,0.122741462,0.191829351,-0.544436213,0.814187511,57.19752122,0,0.780531324,0.7791643,0.120143176,1.467406597,363.7275972,0
8,ZWE.8_1,-0.481769861,-0.576484805,-1.486567939,0.540595982,-300.1426235,0,-0.468644944,-0.551673101,-1.087177004,0.255118138,-291.9657998,0,0.368603814,0.251275352,-0.948038441,1.620611978,229.6401759,0,-0.347009402,-0.45441573,-1.477599516,0.668285046,-216.1868573,0,-0.01645912,-0.084223421,-1.343215134,0.972672188,-10.25403167,0,0.348903221,0.316070873,-0.738260615,1.161368745,217.3667068,0,0.177911636,0.134423323,-1.030020411,0.958883647,110.8389494,0,-0.349679173,-0.411559722,-1.509879775,0.449483043,-217.8501248,0,-0.007501955,-0.044225017,-1.3132859,0.861404641,-4.673718174,0,-0.470966937,-0.512985402,-1.835174319,0.404763207,-293.4124017,0,-0.780184707,-0.808362319,-1.948138403,-0.030083605,-486.0550727,0,-0.723488942,-0.718093048,-2.08855107,0.344089579,-450.7336109,0
9,ZWE.9_1,0.28334357,0.222891235,-0.530273467,1.57299601,126.9379193,0,0.071767683,-0.030272515,-0.419756022,1.091953486,32.15192183,0,0.54494153,0.476575385,-0.209190786,1.722154524,244.1338054,0,-0.013227005,-0.144580934,-0.458791984,1.170286059,-5.925698048,0,0.045955409,-0.016993628,-0.565717691,1.05072822,20.58802337,0,0.275265271,0.169350129,-0.12716906,1.236597745,123.3188412,0,0.061298019,-0.031431976,-0.425264927,1.015410972,27.46151245,0,-0.067820793,-0.175898526,-0.482052796,0.86351216,-30.38371539,0,0.312620269,0.21348773,-0.15522152,1.345489375,140.0538807,0,-0.057442125,-0.175737237,-0.450298232,1.01455115,-25.7340722,0,-0.279643047,-0.337672401,-0.880528245,0.890029735,-125.2800852,0,0.185599518,0.064193749,-0.634977491,1.532103735,83.14858392,0
10,ZWE.10_1,0.205330419,0.287831588,-0.755212366,0.956756165,83.56948035,0,0.07029034,0.121451492,-0.580682161,0.544547216,28.60816857,0,1.382387672,1.419293772,0.21481458,2.244431168,562.6317826,0,0.365729982,0.463249296,-0.618728928,0.983437278,148.8521028,0,0.608242978,0.640167642,-0.519366964,1.325721084,247.554892,0,0.890267907,0.899450583,-0.071741403,1.557842669,362.339038,0,0.526752041,0.555043921,-0.349949872,1.126593767,214.3880805,0,0.285303595,0.342364008,-0.518200767,0.701977124,116.1185631,0,0.627423371,0.692548348,-0.142076817,1.139911484,255.3613121,0,0.182356882,0.276856389,-0.710868454,0.698160557,74.21925109,0,-0.255890419,-0.195780954,-1.00376589,0.388243134,-104.1474004,0,-0.057618061,0.294492446,-1.30589434,0.839278222,-23.45055088,0
