GID_2,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
BFA.1.1_1,1.0,-0.0004123990863049229,-0.0004077257960359629,-0.0005392027182052889,-0.00031465867068647684,-0.016083564365891995,0.0,-0.000278260883797553,-0.0002726608392824523,-0.0004239405011443588,-0.00020153461270205032,-0.010852174468104566,0.0,-0.0004926794350603796,-0.0004944779434504561,-0.0006317352448408075,-0.0003296354025695188,-0.019214497967354808,0.0,-0.0011576048055998956,-0.0011829438156616939,-0.0014087200935965773,-0.0009522950411898682,-0.04514658741839593,0.0,-0.0019519910362560016,-0.0018604643543889327,-0.0024353241286067377,-0.001774169139756939,-0.07612765041398407,0.0,-0.001429719036513979,-0.001391340149670591,-0.0018616304624519558,-0.0012878128047878075,-0.05575904242404518,0.0,-0.0036830054316020298,-0.0036757913735532798,-0.0038048575243774213,-0.003588324765224197,-0.14363721183247916,0.0,-0.003544800880414883,-0.003547712491749323,-0.0037356025182776853,-0.003384216579846959,-0.1382472343361804,0.0,-0.00454489223718267,-0.004545141344340967,-0.004635062476884032,-0.004470549528694629,-0.17725079725012413,0.0,-0.004124457541306171,-0.004131656527801426,-0.0042189303170247815,-0.0040188279055003865,-0.16085384411094067,0.0,-0.0026292932448183713,-0.0025803364812856736,-0.003039300455216702,-0.002489530186659877,-0.10254243654791648,0.0,-0.0010201484896008599,-0.0010047246962258877,-0.0012953107561925205,-0.0009160343442765553,-0.03978579109443353,0.0
BFA.1.2_1,2.0,-0.0005632303785768704,-0.0005308656383811489,-0.0009903273168381855,-0.00029270860754125117,-0.02816151892884352,0.0,-0.00041420507189650536,-0.0003763503198572259,-0.0008342330617648881,-0.00018563732319329328,-0.02071025359482527,0.0,-0.00038742483039823464,-0.00034927272929727565,-0.000796128229027809,-0.00017472794835186192,-0.019371241519911733,0.0,-0.0008691893336700591,-0.0008284178225286872,-0.0012607234848227465,-0.0006248012173325996,-0.04345946668350295,0.0,-0.0014073572638101776,-0.0014085473991195985,-0.001896135386578621,-0.0010084720742937901,-0.07036786319050886,0.0,-0.001667990326570508,-0.001642528142214559,-0.002081890736594068,-0.0014319206741017355,-0.0833995163285254,0.0,-0.003549655566541314,-0.0035468436416602133,-0.0037339147264343602,-0.0032783265348997176,-0.1774827783270657,0.0,-0.003735474510042491,-0.003737734324433919,-0.0038374419531838453,-0.003500437467578227,-0.18677372550212454,0.0,-0.004511040869984225,-0.004520081135702642,-0.004619434103946837,-0.004389659579660718,-0.2255520434992113,0.0,-0.004078146828186849,-0.004106898057335515,-0.004230677362120028,-0.0037649575808067592,-0.2039073414093424,0.0,-0.0026043552962845234,-0.002802519857362204,-0.003130200460824425,-0.0017044559382512565,-0.13021776481422614,0.0,-0.0011036825412903046,-0.0011345539576797102,-0.0016594798016102436,-0.0005449604805748727,-0.055184127064515226,0.0
BFA.1.3_1,3.0,-0.000253767139209201,-0.0002817112847279221,-0.0004491422337716664,-7.088676845394876e-05,-0.01522602835255206,0.0,-0.00017666073241441504,-0.00019008243582337332,-0.00034308537589271683,-4.5206949317694394e-05,-0.010599643944864902,0.0,-0.00016582229952334397,-0.000172186603924813,-0.00031117257395507717,-5.250757655429339e-05,-0.009949337971400638,0.0,-0.0005613437855596107,-0.0005765906076813874,-0.0007568969033468659,-0.000345871113691712,-0.03368062713357664,0.0,-0.0009306929764664998,-0.0009298188507421668,-0.0012905543628047357,-0.0007105194323026425,-0.05584157858798999,0.0,-0.0012798000596430106,-0.0012821559017997892,-0.0015534536692757795,-0.0010270187365276798,-0.07678800357858062,0.0,-0.003299523786583841,-0.0033225315488954,-0.003495846739690738,-0.0029861230340342483,-0.1979714271950305,0.0,-0.003463651102177111,-0.003459649923968143,-0.0036834767842269705,-0.0031942605074024148,-0.20781906613062665,0.0,-0.004413823515376885,-0.004433406154149371,-0.004583712863890596,-0.004018549214743297,-0.2648294109226131,0.0,-0.003317988988736148,-0.003334405203357089,-0.003960707261768765,-0.0026101600721655928,-0.19907933932416885,0.0,-0.0014027332055600106,-0.00144502916275344,-0.002085220971816575,-0.0007841032225136144,-0.08416399233360063,0.0,-0.0005577745045104226,-0.0005676302976130455,-0.0007782897350476143,-0.00025051789623599884,-0.03346647027062536,0.0
BFA.1.4_1,4.0,-0.0004018591901350668,-0.0004193401109436284,-0.0005450290009202008,-0.00023222381273015449,-0.021298537077158543,0.0,-0.0002686370394678829,-0.0002743440933253514,-0.00037533729315973054,-0.00014668922863131774,-0.014237763091797794,0.0,-0.0003280960002367884,-0.00031634343066545384,-0.0005919948670146562,-0.00020928370546800682,-0.01738908801254978,0.0,-0.0008888001564098443,-0.0009157346211449037,-0.0011097146240509695,-0.0005159762401154729,-0.04710640828972176,0.0,-0.001608168060720934,-0.0017063267135064627,-0.0019695765019098047,-0.001034403168697243,-0.0852329072182095,0.0,-0.0015834413194578461,-0.0015416517893335829,-0.002052214687503982,-0.0012234302084747329,-0.08392238993126583,0.0,-0.0035869031130187326,-0.0036141874581285547,-0.003699078059126,-0.0033456457713770945,-0.19010586498999288,0.0,-0.0036172135254590593,-0.003627987065710499,-0.003801494040876214,-0.003354280800833086,-0.19171231684933013,0.0,-0.004543005994035074,-0.004544368827229194,-0.00461188006879734,-0.004431593909452782,-0.2407793176838589,0.0,-0.004110660076126647,-0.004153872591597999,-0.004223501333639293,-0.00366039102731886,-0.2178649840347123,0.0,-0.002533861820090453,-0.002535394864953975,-0.0030850971341191704,-0.0014555590773248311,-0.13429467646479398,0.0,-0.0010279133910100946,-0.0010332672673976095,-0.0013654875888865613,-0.0005113411441044154,-0.05447940972353504,0.0
BFA.1.5_1,5.0,-0.0004087660691837641,-0.00040683544896761073,-0.0006410918271115353,-0.000245469529259845,-0.011854216006329158,0.0,-0.00030527148492767074,-0.0003015782678462009,-0.0005323083486503627,-0.00015451167130480704,-0.008852873062902451,0.0,-0.0003479664685112463,-0.0003306745431971345,-0.0006865924057099103,-0.00020626992838329719,-0.010091027586826142,0.0,-0.0006440484617947747,-0.0006331752954967079,-0.0009007734367698812,-0.0004515221412756387,-0.018677405392048468,0.0,-0.0011270735806488887,-0.0010961727192950515,-0.0015034501160716175,-0.0009375516659053908,-0.03268513383881777,0.0,-0.001408644131744158,-0.0014253746332604008,-0.0015800611973781804,-0.0011092130771309784,-0.04085067982058058,0.0,-0.0033703583189906103,-0.003412252086609305,-0.0035971620262929688,-0.0028797168019629995,-0.0977403912507277,0.0,-0.003299697517484326,-0.003289157532162275,-0.0035257452980508664,-0.002949478416768493,-0.09569122800704544,0.0,-0.0043868169009637,-0.004396440813510231,-0.004611684417787807,-0.003933056568898497,-0.1272176901279473,0.0,-0.0037225613128736242,-0.0036804247138085048,-0.004112059388521771,-0.0033363666756366954,-0.1079542780733351,0.0,-0.001960367977350489,-0.001988471992455648,-0.002457948520678153,-0.0013408755555221028,-0.056850671343164176,0.0,-0.0009181954622714024,-0.0009398016443466293,-0.0012228758282782199,-0.0005147385634786633,-0.026627668405870664,0.0
BFA.1.6_1,6.0,-0.00027198923651823635,-0.000291153915773211,-0.00045394894478415214,-7.924229445883032e-05,-0.012783494116357106,0.0,-0.0002046401460480892,-0.0002116626481918088,-0.0004269649781222022,-5.127472192943219e-05,-0.00961808686426019,0.0,-0.00022801493571821904,-0.0002444334672931041,-0.00037233957228710964,-7.930435199726528e-05,-0.010716701978756292,0.0,-0.0004127697507461166,-0.0004195162192174112,-0.0006534621115961987,-0.00017881592362367312,-0.01940017828506748,0.0,-0.0008539608902670422,-0.0009008833649997764,-0.0010727197893205358,-0.0005669267330935718,-0.04013616184255098,0.0,-0.0011407780488475394,-0.0010955289827630724,-0.0015069854761318832,-0.0009020434292008557,-0.053616568295834326,0.0,-0.0031342029286183025,-0.003165764275936077,-0.0035226414332539843,-0.002595287435881467,-0.14730753764506022,0.0,-0.003111668382145594,-0.0031283658966389147,-0.0033794434434295424,-0.0027517841682979088,-0.14624841396084293,0.0,-0.004082161047978354,-0.004134194535549329,-0.004455519820661622,-0.003567226003309275,-0.19186156925498266,0.0,-0.0029107683849120625,-0.0028640767523676986,-0.003368566117684161,-0.002410068194588851,-0.13680611409086693,0.0,-0.0011167244900352593,-0.0011807383485616678,-0.001513318350731683,-0.000694695538836199,-0.05248605103165718,0.0,-0.0004848541888534707,-0.0005025607764929876,-0.0006860241427640432,-0.00023811080906320587,-0.022788146876113118,0.0
BFA.2.1_1,7.0,-0.000994029995960441,-0.0010070630107203188,-0.0012857779569831662,-0.0007519061746811817,-0.12425374949505512,0.0,-0.0007882091334008183,-0.0008004940211817332,-0.0010903007867914746,-0.0005609199298945532,-0.09852614167510228,0.0,-0.001204325318395974,-0.0012169087041804365,-0.001882420340635866,-0.0007204919272406048,-0.15054066479949674,0.0,-0.0016610567775247687,-0.0016793026643030847,-0.0023616006130301576,-0.0009628761101940947,-0.20763209719059608,0.0,-0.002670809046991504,-0.002696837916292775,-0.0032034625587485173,-0.002157434915583073,-0.333851130873938,0.0,-0.002556564743841207,-0.0025596090349,-0.003078498276565005,-0.001967718289413313,-0.31957059298015084,0.0,-0.0032936876858320426,-0.003326727620528152,-0.0035351151642546773,-0.0029391582041589344,-0.4117109607290053,0.0,-0.0034928799959876664,-0.003485486614312689,-0.0038521913880189282,-0.0032082401085051808,-0.4366099994984583,0.0,-0.0040026461060422795,-0.00402630942101335,-0.004321581101332655,-0.003695950454819705,-0.5003307632552849,0.0,-0.003900855466104694,-0.003918740302121989,-0.0041090657920486336,-0.0036230145547013095,-0.4876069332630867,0.0,-0.003487548292553377,-0.0034840517338366604,-0.003752995706260274,-0.00312642352002805,-0.4359435365691721,0.0,-0.0018309834262542441,-0.0018265228747034925,-0.002220821813173979,-0.0015101606690088908,-0.2288729282817805,0.0
BFA.2.2_1,8.0,-0.0011036844947325472,-0.0010448384519143343,-0.0014689460948638187,-0.0008589060394778469,-0.02759211236831368,0.0,-0.0008618890016054193,-0.0008147865686038853,-0.0012388454125748989,-0.0006187654567431865,-0.02154722504013548,0.0,-0.0010151161505107759,-0.0009752742111282213,-0.0014067860034644455,-0.0007550569196373059,-0.025377903762769403,0.0,-0.0013018349321226221,-0.0011979618698071445,-0.001850203987734428,-0.0009796074470717075,-0.032545873303065555,0.0,-0.00258842093175752,-0.002538408888918218,-0.003137536577265871,-0.0022354904864536752,-0.06471052329393799,0.0,-0.0026915875228014784,-0.002507677006402789,-0.003421096364098958,-0.0022647083347256585,-0.06728968807003696,0.0,-0.0033353606886978816,-0.00333327591783565,-0.003470065136327777,-0.0032105249760358647,-0.08338401721744704,0.0,-0.0034725782165512865,-0.0034668268063237358,-0.003599143394574099,-0.0033859662571912442,-0.08681445541378216,0.0,-0.004056147773976412,-0.0040621643065061365,-0.004139920990370592,-0.003957510615367669,-0.1014036943494103,0.0,-0.003914354633374063,-0.003916467118371973,-0.004009310270478172,-0.003770599839155942,-0.09785886583435156,0.0,-0.003602744701065131,-0.0035776004602670725,-0.00383685987596625,-0.00338180371075956,-0.09006861752662827,0.0,-0.002042603638812068,-0.0019884806718330926,-0.0023677678008265065,-0.0018470862126493644,-0.0510650909703017,0.0
BFA.7.1_1,9.0,-0.0005291470568789576,-0.0005213209665434935,-0.0006777921891261945,-0.00039459923796897616,-0.010582941137579151,0.0,-0.0004087362494853732,-0.00040280738512641213,-0.0005520441239128228,-0.00028259242358190726,-0.008174724989707463,0.0,-0.00046799736678351057,-0.0004783402018293053,-0.0005701095355776188,-0.0003683727337695055,-0.009359947335670207,0.0,-0.0004844813697091665,-0.0004754025772318201,-0.0006159070158359393,-0.00039843111374813134,-0.00968962739418333,0.0,-0.0013229318050574895,-0.001340178145172507,-0.0016241550820215982,-0.00106581281748234,-0.02645863610114979,0.0,-0.0013055177729614498,-0.0013087512087949801,-0.0013980761587958038,-0.0011645374239120983,-0.026110355459229,0.0,-0.003132891817249075,-0.003120106808388078,-0.0035277120770693025,-0.002791825130634105,-0.0626578363449815,0.0,-0.003084059589331039,-0.003068403669727577,-0.0032860665977390113,-0.0028182606415085914,-0.06168119178662077,0.0,-0.003906431870026572,-0.003886204733162397,-0.004246297673374699,-0.00366197222844706,-0.07812863740053143,0.0,-0.0032898978606749818,-0.003273249589226057,-0.003548250984890029,-0.003025276224188237,-0.06579795721349964,0.0,-0.0016950024943240027,-0.0017124399231864785,-0.001825332443928624,-0.0015367001442333846,-0.033900049886480065,0.0,-0.000788676048578809,-0.0007868488029280068,-0.000944156633989252,-0.0006281251331476652,-0.01577352097157618,0.0
BFA.3.1_1,10.0,-0.0007143081567405603,-0.0006363575076971928,-0.001995943543825903,-0.0004266926496580203,-0.039286948620730816,0.0,-0.0005922042937842702,-0.0005074369246158291,-0.0019315446251526704,-0.00029118100012301304,-0.03257123615813485,0.0,-0.0006165097387543963,-0.0005794272565496676,-0.001606032894429152,-0.0003042270506703258,-0.03390803563149178,0.0,-0.0007143562572274562,-0.000629251976053163,-0.002013250501372591,-0.0003670071691288954,-0.039289594147510105,0.0,-0.0018853598561403644,-0.0017906390550647925,-0.0031426427068017787,-0.0015207652473279336,-0.10369479208772003,0.0,-0.0015972610905451387,-0.0015473506579580904,-0.002819152863456816,-0.0010980002444452676,-0.08784935997998264,0.0,-0.003137257729391679,-0.0031656122448863178,-0.003870880914760847,-0.002469352833426904,-0.17254917511654236,0.0,-0.003142296369635934,-0.0032278875386681557,-0.003603637276256052,-0.0026011338107689995,-0.17282630032997634,0.0,-0.003937755254303851,-0.0039832854133573375,-0.004392700188005834,-0.003233127140451927,-0.21657653898671173,0.0,-0.0034261659671426872,-0.00353532904185995,-0.00393741671454025,-0.002779904845848918,-0.18843912819284767,0.0,-0.002228194326074099,-0.0022669271562278212,-0.003491139187911035,-0.0012986905361801403,-0.12255068793407545,0.0,-0.0010205511112355088,-0.0009540187758452424,-0.0026597711053031325,-0.00045165851048762517,-0.05613031111795298,0.0
