GID_2,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
BFA.1.1_1,1.0,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,5.734212766010835e-07,0.0,2.9486642835745746e-08,2.940621931287607e-08,2.940621931287607e-08,3.254273670479336e-08,1.149979070594084e-06,0.0,5.203555575296402e-06,5.34728118559907e-06,2.3429186553391732e-06,6.2586169259600026e-06,0.0002029386674365597,0.0,8.680660404371447e-06,8.642717081152866e-06,7.121317214779207e-06,1.0684370783742817e-05,0.00033854575577048644,0.0,1.9799830866196416e-05,1.9624161551854245e-05,1.715043564026225e-05,2.313458540631408e-05,0.0007721934037816602,0.0,2.11728026738226e-05,2.107130330925472e-05,1.7838605494827594e-05,2.3727198772494136e-05,0.0008257393042790818,0.0,8.183718895604815e-05,8.342954389976909e-05,6.869198082003782e-05,9.330592753180344e-05,0.003191650369285879,0.0,0.00012835316295574387,0.00012766850697483706,0.000120285045626907,0.00013966673587784132,0.0050057733552740106,0.0,0.0001176883681464428,0.0001171801728163604,0.00010669859297586844,0.00012673837877029127,0.0045898463577112684,0.0,7.740650399929328e-05,7.819046356319218e-05,6.353014535599541e-05,8.902690725579139e-05,0.003018853655972437,0.0,9.710921518457356e-07,8.784096433399597e-07,5.538912890446135e-07,1.8116480329627655e-06,3.787259392198369e-05,0.0,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,5.734212766010835e-07,0.0
BFA.1.2_1,2.0,1.507458009217451e-08,1.4703109656438035e-08,1.4703109656438035e-08,2.5511931172725428e-08,7.537290046087255e-07,0.0,1.479061252275357e-07,6.845231471745846e-08,2.940621931287607e-08,7.971350160445603e-07,7.3953062613767856e-06,0.0,1.5177087510179497e-06,1.4245122354842111e-06,8.7116559011617e-07,2.743025921848008e-06,7.588543755089749e-05,0.0,8.171312549384803e-06,7.983807281904608e-06,6.310288876069035e-06,1.052138818409116e-05,0.00040856562746924014,0.0,1.842637493016968e-05,1.7967628167355527e-05,1.2127424097888722e-05,2.4824924529340812e-05,0.000921318746508484,0.0,2.466254537662722e-05,2.371734862222885e-05,2.0497785272393146e-05,3.23948302878551e-05,0.001233127268831361,0.0,8.409266123036902e-05,8.570914394568499e-05,5.614329651298166e-05,0.0001103021239499302,0.004204633061518451,0.0,0.00012618222447778225,0.00012484880816252276,0.00011303747171436399,0.0001432736024044998,0.006309111223889111,0.0,0.00011336122930125779,0.0001122433827595574,9.387412034149408e-05,0.00013628175551539775,0.0056680614650628895,0.0,6.110116087032521e-05,6.068561381384685e-05,4.402877828344987e-05,8.136447328042053e-05,0.0030550580435162607,0.0,3.219132583607278e-06,3.3595571946826462e-06,5.816805493354591e-07,5.658751773023567e-06,0.00016095662918036392,0.0,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,7.351554828219017e-07,0.0
BFA.1.3_1,3.0,1.8349774555306293e-08,1.5135894848383138e-08,1.4703109656438035e-08,2.923332850254122e-08,1.1009864733183777e-06,0.0,5.700615867947662e-08,3.247322465755753e-08,1.97121743273031e-08,1.754385716226019e-07,3.420369520768597e-06,0.0,1.282086829747203e-06,1.1532738032354743e-06,7.868443321150023e-07,2.6402233796184454e-06,7.692520978483219e-05,0.0,5.844147998065713e-06,5.8314944103796095e-06,4.349322880472413e-06,8.178688339609331e-06,0.00035064887988394284,0.0,1.2124789055362015e-05,1.219174410945438e-05,9.211112317468233e-06,1.5097229627459821e-05,0.0007274873433217207,0.0,2.2388195078750804e-05,2.2292937990545786e-05,1.886494935398218e-05,2.708231302618821e-05,0.0013432917047250482,0.0,5.387689475024276e-05,5.298574818796706e-05,4.24448948222215e-05,7.254022282128007e-05,0.0032326136850145647,0.0,0.00010998931048214373,0.00011080759901073103,9.674641505021068e-05,0.00012003041725440659,0.006599358628928624,0.0,7.992625176083243e-05,7.951228578601438e-05,6.0907540987988244e-05,0.00010590939819216932,0.004795575105649946,0.0,3.970521972304113e-05,4.005233371129261e-05,3.0221680361845564e-05,5.2030364710315837e-05,0.002382313183382468,0.0,3.362266421301828e-07,2.6303233444530914e-07,4.410932896936832e-08,1.6307789882077254e-06,2.0173598527810967e-05,0.0,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,8.82186579386282e-07,0.0
BFA.1.4_1,4.0,1.4979331748724716e-08,1.4703109656438035e-08,1.4703109656438035e-08,2.39948997612658e-08,7.939045826824099e-07,0.0,3.160351146081268e-08,2.940621931287607e-08,2.0465551931660302e-08,6.09890601240507e-08,1.6749861074230722e-06,0.0,2.7435419025219127e-06,2.485983902320608e-06,1.2531629832520194e-06,5.269270317452166e-06,0.00014540772083366138,0.0,7.702298744058215e-06,7.874807616048071e-06,4.673638943689571e-06,9.317848150392587e-06,0.00040822183343508533,0.0,1.9305685933247165e-05,1.8717959149433533e-05,1.5741286042467995e-05,2.7428005577880608e-05,0.0010232013544620997,0.0,2.268094320678229e-05,2.274694238743565e-05,1.683894862167578e-05,2.6542175670479737e-05,0.0012020899899594613,0.0,7.270671511543923e-05,6.943196211628454e-05,5.5932631571561975e-05,0.00010208400988942823,0.003853455901118279,0.0,0.00012248395020943514,0.00012231275872545978,0.00011112644994447807,0.00013768619762825248,0.006491649361100061,0.0,0.00010826994412815684,0.0001079554848461044,9.052509855509196e-05,0.00012471058920440715,0.005738307038792312,0.0,6.128737102985769e-05,5.950658026678332e-05,4.2434410844300137e-05,8.345289313985743e-05,0.003248230664582457,0.0,1.615292991366324e-06,1.036854110879377e-06,2.959654162509162e-07,4.8612112056679855e-06,8.561052854241517e-05,0.0,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,7.792648117912158e-07,0.0
BFA.1.5_1,5.0,2.199083683499544e-08,2.2237351239932666e-08,1.4703109656438035e-08,2.940621931287607e-08,6.377342682148675e-07,0.0,2.8908237031152766e-08,2.940621931287607e-08,1.7823344745912004e-08,3.789300316437354e-08,8.383388739034302e-07,0.0,3.124287800506539e-06,2.8931896720766704e-06,1.8917610428319225e-06,4.711267831333879e-06,9.060434621468962e-05,0.0,6.758532916856233e-06,7.0075737067960845e-06,4.640462829834652e-06,9.054912457028172e-06,0.00019599745458883072,0.0,1.5973628196170566e-05,1.581025639960718e-05,1.4219566067302066e-05,1.9369009887217835e-05,0.0004632352176889465,0.0,2.371455078801597e-05,2.388281953751791e-05,2.0106060447729054e-05,2.6108103975301403e-05,0.0006877219728524633,0.0,5.605682079816004e-05,5.590843977439609e-05,5.05087790456875e-05,6.27719957601591e-05,0.0016256478031466408,0.0,0.00011501804886984551,0.00011501242040155104,0.0001072247834024055,0.00012126592332389817,0.0033355234172255197,0.0,9.562699392268737e-05,9.57359416456454e-05,8.827424066020074e-05,0.00010293228721841353,0.0027731828237579337,0.0,4.684372516883015e-05,4.630969098639754e-05,3.7341784704300935e-05,5.915960542193786e-05,0.0013584680298960744,0.0,7.29297828063552e-07,7.634953424678393e-07,1.4276057887061582e-07,1.16745290951824e-06,2.1149637013843008e-05,0.0,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,4.2639018003670296e-07,0.0
BFA.1.6_1,6.0,2.341714025315561e-08,2.4603281391419466e-08,1.4703109656438035e-08,2.940621931287607e-08,1.1006055918983138e-06,0.0,3.6292228773440374e-08,3.2754604275209016e-08,2.0384479313285336e-08,6.023465541545937e-08,1.705734752351697e-06,0.0,1.952603403540161e-06,1.8105886877808723e-06,9.53863898820171e-07,3.4351749095528873e-06,9.177235996638756e-05,0.0,4.952752338294575e-06,5.0723299807886915e-06,3.1991944271598783e-06,6.39363362785312e-06,0.00023277935989984502,0.0,1.164296866887458e-05,1.279149880134718e-05,6.774831080564132e-06,1.5353685691214525e-05,0.0005472195274371053,0.0,2.0152690785177303e-05,2.0980734123127508e-05,1.2958268866414662e-05,2.348697437470725e-05,0.0009471764669033334,0.0,4.3762231766738815e-05,4.524326951537762e-05,3.323953987958142e-05,5.0294488888368594e-05,0.0020568248930367245,0.0,0.00010448882306783458,0.00010634864451888856,9.15439508683337e-05,0.00011563934935668225,0.004910974684188225,0.0,7.087519068264231e-05,7.117411932576969e-05,5.267227097683921e-05,9.433336624728343e-05,0.0033311339620841892,0.0,3.0259104051836303e-05,3.08283944091101e-05,2.264305138775605e-05,3.798475517001318e-05,0.0014221778904363064,0.0,2.3071160163925165e-07,1.9879759429446424e-07,8.423064480163402e-08,3.993055133850879e-07,1.0843445277044826e-05,0.0,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,6.910461538525876e-07,0.0
BFA.2.1_1,7.0,2.1492385749127255e-07,1.180468545961491e-07,1.4703109656438035e-08,1.3555287897093023e-06,2.6865482186409064e-05,0.0,3.4338900106853474e-07,2.607745356126877e-07,5.415759474435333e-08,1.3438214261381394e-06,4.292362513356684e-05,0.0,1.6090612224371304e-05,1.3785194180897738e-05,7.0224790373936215e-06,4.16754059960424e-05,0.002011326528046413,0.0,1.9438171451201675e-05,1.743189364237828e-05,1.0231173424248778e-05,3.977343085792992e-05,0.002429771431400209,0.0,4.931723314443242e-05,4.6241064205431566e-05,3.2904685244825565e-05,7.969785637923725e-05,0.006164654143054052,0.0,4.2962293826704896e-05,3.9246733097762336e-05,2.4189743832818343e-05,7.766566131928346e-05,0.005370286728338111,0.0,0.0001318508007440505,0.00012521114299952508,0.00010333541718217544,0.00019865014303716886,0.01648135009300631,0.0,0.00015834554806357087,0.00015181856198468423,0.0001305942856778033,0.0002483591582686648,0.01979319350794636,0.0,0.0001482052852079576,0.00014145006619594437,0.00012340123595290474,0.00022992592777028837,0.018525660650994702,0.0,0.00015375373142231179,0.00014639929689176274,0.00011308889980092249,0.00027378506020870865,0.019219216427788968,0.0,1.4429800163442724e-05,1.4079590093352039e-05,7.765481767270584e-06,2.661571804938201e-05,0.0018037250204303405,0.0,1.5585696156719856e-08,1.4703109656438035e-08,1.4703109656438035e-08,2.8211468115522963e-08,1.9482120195899817e-06,0.0
BFA.2.2_1,8.0,1.3023957675343168e-07,1.3045719674728273e-07,3.4626341986577365e-08,1.9629018365781415e-07,3.2559894188357917e-06,0.0,3.743060579359471e-07,4.234409082678003e-07,1.2349209467821687e-07,7.017703564402057e-07,9.357651448398678e-06,0.0,9.292220515454472e-06,9.274790168494685e-06,7.369492869641472e-06,1.1184834561730558e-05,0.0002323055128863618,0.0,1.3329760443119172e-05,1.3213113329175228e-05,1.1268465837813115e-05,1.65941577264643e-05,0.0003332440110779793,0.0,4.915933187699246e-05,4.870507556832856e-05,4.2847235157135495e-05,5.5242465896735976e-05,0.0012289832969248115,0.0,4.770287167674249e-05,4.604106752777013e-05,3.6170782564879544e-05,6.06523885859597e-05,0.0011925717919185625,0.0,0.00012910515576343627,0.0001304358205175511,0.00011446821568092951,0.00014315601891479846,0.0032276288940859066,0.0,0.0001647693628654576,0.00016449081539247727,0.00014960617431362757,0.0001850379551110806,0.00411923407163644,0.0,0.00015276912859037533,0.00015086899424640322,0.00013669098610788645,0.00017588003704788942,0.0038192282147593826,0.0,0.0001164047837081441,0.00011711196718827959,0.00010227613606011364,0.00012615617689855287,0.0029101195927036016,0.0,1.0800808333667554e-05,1.0303977432056904e-05,8.01329284713554e-06,1.583171602648956e-05,0.00027002020834168884,0.0,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,3.675777414109509e-07,0.0
BFA.7.1_1,9.0,2.1687449273277745e-08,2.1315415238667146e-08,1.4703109656438035e-08,2.794937197525506e-08,4.3374898546555493e-07,0.0,2.940621931287607e-08,2.940621931287607e-08,2.940621931287607e-08,2.940621931287607e-08,5.881243862575214e-07,0.0,2.55497880272242e-06,2.6257354022605698e-06,1.7238526270692158e-06,3.1313893012308832e-06,5.10995760544484e-05,0.0,3.0527073667019873e-06,2.928464133527573e-06,2.1666891740795e-06,4.149114322175774e-06,6.105414733403975e-05,0.0,1.4314041246097846e-05,1.431314141648327e-05,1.1696929079581967e-05,1.5900688939379676e-05,0.0002862808249219569,0.0,2.023656693748979e-05,2.0280483836726017e-05,1.782383986141883e-05,2.220909017139301e-05,0.00040473133874979576,0.0,5.531546323955853e-05,5.4776745844683756e-05,4.4820571799472084e-05,6.451274690733098e-05,0.0011063092647911703,0.0,9.890934335455556e-05,9.88155549643354e-05,8.98089768937715e-05,0.0001047885204097356,0.001978186867091111,0.0,8.256771585822038e-05,8.353488175340491e-05,7.261096255187601e-05,9.143861156864692e-05,0.0016513543171644074,0.0,5.09169935609871e-05,5.081636130363767e-05,4.425803793471776e-05,5.588752986561914e-05,0.001018339871219742,0.0,2.87228712948688e-07,2.7635388384793844e-07,1.0485335610725473e-07,5.963995775955126e-07,5.744574258973761e-06,0.0,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,2.940621931287607e-07,0.0
BFA.3.1_1,10.0,5.850849665515944e-08,3.918395782687035e-08,1.4703109656438035e-08,2.1550085915314455e-07,3.217967316033769e-06,0.0,2.9408809057317185e-08,2.940621931287607e-08,2.183219489992835e-08,3.332934410599099e-08,1.6174844981524452e-06,0.0,3.075356661491055e-06,3.103060075274653e-06,1.3531244109394473e-06,5.073172104596276e-06,0.00016914461638200802,0.0,4.672094479733395e-06,4.219142238301657e-06,2.0811778215374144e-06,8.301785534570121e-06,0.0002569651963853366,0.0,1.6177574423128117e-05,1.586476181364944e-05,1.3487223897655173e-05,2.13518148918796e-05,0.0008897665932720465,0.0,2.028183092964081e-05,2.0210300769747952e-05,1.6889734150784213e-05,2.398810557863727e-05,0.0011155007011302439,0.0,7.290591553302222e-05,7.52374023367427e-05,4.941613297211505e-05,8.785724288623009e-05,0.004009825354316222,0.0,0.00011434501954638753,0.0001145644414587858,9.719297975026444e-05,0.00012515505173751591,0.006288976075051314,0.0,8.935399712102221e-05,8.982591077110678e-05,7.108053460668167e-05,0.00010305115584912656,0.004914469841656222,0.0,6.507970583540106e-05,6.54483103173226e-05,4.207853600482536e-05,9.032756073800252e-05,0.0035793838209470592,0.0,1.2434650997380744e-06,1.3435039759141815e-06,3.2317058420053357e-07,2.697966895215393e-06,6.839058048559411e-05,0.0,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,8.086710311040918e-07,0.0
