GID_2,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
BFA.1.1_1,1.0,-1.22533163113635,-1.244705959920311,-1.3070256632424206,-1.0847697119876856,-47.787933614317645,0.0,-1.4992944295544341,-1.5125996577522312,-1.6367481098747996,-1.305257501734206,-58.472482752622916,0.0,-0.452219113467817,-0.4714043830511501,-0.6339503617782555,-0.2239934180931415,-17.636545425244858,0.0,0.6160572678332931,0.6259951501182572,0.4148372719344533,0.8001316506242959,24.026233445498427,0.0,1.2890091071043248,1.288013722653344,1.209844634925597,1.3390725809813768,50.27135517706867,0.0,1.0306407374894688,1.040398246883388,0.8793793622495659,1.1389192573588898,40.19498876208928,0.0,1.1770141813288748,1.1978985762244163,1.066165748534384,1.2531699052205103,45.90355307182612,0.0,1.4507913829578447,1.4547506835855255,1.3406268049857608,1.5339394292159938,56.58086393535594,0.0,0.598396388820426,0.6171721233406949,0.4911246427137475,0.6506747909907288,23.33745916399661,0.0,0.2871698846955375,0.3019537368168448,0.1571490406603139,0.3532913023060225,11.199625503125963,0.0,-0.8731484993697501,-0.8865697507413935,-0.9853029776213708,-0.6750500194296976,-34.05279147542026,0.0,-1.8823224727793648,-1.901228347843384,-1.9857786835004296,-1.7233696992518823,-73.41057643839521,0.0
BFA.1.2_1,2.0,-1.1479733907535623,-1.1137499743949122,-1.468102213773584,-0.9443237914043112,-57.39866953767814,0.0,-1.3835504695972207,-1.3455441832227806,-1.676967419894846,-1.2491962350817865,-69.17752347986104,0.0,-0.3940671175747477,-0.3609626920233322,-0.6284166949411332,-0.27509000084948404,-19.703355878737387,0.0,0.3977625654119718,0.3974209851709046,0.10021053334337483,0.6883752510305068,19.88812827059859,0.0,1.236628963184039,1.2395905765062911,1.0963159998140513,1.3476426861298898,61.83144815920196,0.0,1.0605347542599066,1.0609995315720482,0.9659053585599432,1.1298555122207443,53.02673771299535,0.0,1.3247517699354088,1.3360415939313135,1.1510532841491392,1.436289219294407,66.23758849677044,0.0,1.5595189870274544,1.5776637777590463,1.321206865866872,1.6918669421722567,77.97594935137272,0.0,0.6867079792110204,0.6849598741889777,0.5748654677830203,0.8091001147225029,34.335398960551025,0.0,0.4288596846527268,0.4316904316679338,0.2741319985194089,0.5391696802733598,21.442984232636334,0.0,-0.6813249868244405,-0.64000294106778,-0.9803701773353852,-0.516058257390888,-34.066249341222026,0.0,-1.7715981567982104,-1.7135987218043582,-2.3298509750571643,-1.3870164769975657,-88.5799078399105,0.0
BFA.1.3_1,3.0,-1.2152382669400759,-1.2199845980557322,-1.5256363098603378,-0.9463189448417764,-72.91429601640456,0.0,-1.5111892445689017,-1.5414508622606695,-1.7222799320589035,-1.249881530641343,-90.67135467413412,0.0,-0.5945751844580089,-0.6001737449044797,-0.8699789471146033,-0.3115392736582161,-35.67451106748054,0.0,-0.036880949650692565,-0.04841807459886703,-0.3116374767182402,0.2834641180880345,-2.2128569790415544,0.0,1.050540362816606,1.0393431438566691,0.939927614918963,1.25905606080126,63.032421768996365,0.0,0.9075371912203659,0.8941043241762989,0.8010621198487448,1.0778184030936326,54.45223147322197,0.0,1.2474781306567366,1.2639594990063359,1.105863539057781,1.4097080046816612,74.84868783940419,0.0,1.3763173500075143,1.3850138202474724,1.162571337491447,1.6094252498096684,82.57904100045086,0.0,0.7705711489932169,0.7790654885938373,0.6019778128310525,0.9410089412588406,46.23426893959302,0.0,0.36592582884850383,0.3724324785478209,0.24178140548697,0.4748493473939047,21.95554973091023,0.0,-0.7657770638885856,-0.7654576648427025,-1.0258483053172858,-0.5554431019021578,-45.946623833315144,0.0,-1.7630074984341808,-1.7418405058249706,-2.2249078902333403,-1.380638372063458,-105.78044990605083,0.0
BFA.1.4_1,4.0,-1.2840313513042343,-1.2934563118061913,-1.3806419078046042,-1.1381541650828515,-68.0536616191244,0.0,-1.5923689412445752,-1.630870592934208,-1.7226789803141576,-1.335897072557163,-84.39555388596247,0.0,-0.6227625804219941,-0.6193055433291917,-0.7346043487215306,-0.5359566765481054,-33.00641676236568,0.0,0.3867997283457317,0.3815018421442302,0.14977563677846714,0.5905632427642123,20.500385602323774,0.0,1.1906776433660191,1.1791988148511643,1.0695057731839444,1.3174932835216144,63.10591509839902,0.0,1.0180796499437434,1.0353265647027985,0.8593621298361601,1.1189363091668314,53.958221447018396,0.0,1.1866522473507148,1.2005068044776062,1.0519399198470762,1.251019211761199,62.89256910958788,0.0,1.3738601025310342,1.4016061999247549,1.207385746869158,1.4719646917303346,72.81458543414482,0.0,0.5958520864515326,0.5974933611036329,0.5516761167592719,0.6282301772536185,31.580160581931228,0.0,0.3237137766524629,0.3330165848579781,0.25166806462050456,0.4030412208120545,17.156830162580533,0.0,-0.8411904779223641,-0.8623844558951044,-1.0914061168990987,-0.5258736507514127,-44.5830953298853,0.0,-1.8662570530303595,-1.8752751141843376,-2.0199828917391414,-1.6293697727158707,-98.91162381060906,0.0
BFA.1.5_1,5.0,-1.347603403103459,-1.3595218145719807,-1.4082707972541093,-1.2245806343957022,-39.08049869000031,0.0,-1.6485449183190102,-1.6679086665243223,-1.717926382386037,-1.4993460537964118,-47.807802631251285,0.0,-0.6993605437337341,-0.7115579797709111,-0.7836933920795754,-0.5804855401116269,-20.28145576827829,0.0,0.12295718763803755,0.1148187476357428,0.03322631976934818,0.2272807874129001,3.565758441503089,0.0,1.0324894805127498,1.028292267782847,0.947612658204131,1.136875702975126,29.94219493486975,0.0,0.8759357040227842,0.879443319981545,0.8284327374410597,0.9121129032370516,25.402135416660727,0.0,1.0730446867439882,1.0743718136041307,1.0128588790207158,1.1437010272676829,31.11829591557566,0.0,1.1543584357463441,1.1434508320202008,1.1018558490033072,1.2462216422502022,33.47639463664397,0.0,0.6378765224234282,0.6379602630342203,0.586304513436259,0.7002938189146848,18.498419150279414,0.0,0.3226877835778803,0.33028687006083024,0.2324863983079973,0.4041677145031872,9.35794572375853,0.0,-0.8865087695106797,-0.8886575965506488,-1.0936620530559988,-0.6362220846254579,-25.708754315809717,0.0,-1.8650646710396803,-1.9052947514117808,-1.9611794944615568,-1.6571023831982916,-54.08687546015073,0.0
BFA.1.6_1,6.0,-1.4653270856768223,-1.484562356184412,-1.5798544495312754,-1.3137631338224154,-68.87037302681064,0.0,-1.7577953335634473,-1.7532725278663472,-1.8992209735830208,-1.6766178389111808,-82.61638067748203,0.0,-0.9233680265538582,-0.8926080004419876,-1.1454179413692434,-0.7843616612712159,-43.398297248031334,0.0,-0.18104109056954207,-0.159097173004107,-0.3882922335435737,0.01852644608807117,-8.508931256768482,0.0,0.9044710830046476,0.9065650490253166,0.8122891753805039,1.0538388822018792,42.510140901218435,0.0,0.9244896429815814,0.914530371851747,0.8125038441716225,1.0506053027630131,43.45101322013433,0.0,1.1417260849555932,1.1223679700925595,1.0588017505872078,1.2956836450641718,53.66112599291289,0.0,1.112637362020919,1.1067649955243206,1.0578822489665107,1.2079680536876505,52.293956014983166,0.0,0.7547611090014762,0.7333999899762655,0.6615240709942919,0.9580941138687996,35.47377212306938,0.0,0.27180428432817844,0.24772256649557745,0.18617344070950687,0.4605760960284835,12.774801363424388,0.0,-1.0381313120885436,-1.0588291184049692,-1.1005655650157884,-0.8948885937995025,-48.79217166816154,0.0,-1.9610726332059727,-1.9585420951825496,-2.1028016858408307,-1.8480790155314863,-92.17041376068072,0.0
BFA.2.1_1,7.0,-0.8474261335763059,-0.8964125554199537,-1.0972659334227055,-0.4124214601444348,-105.92826669703823,0.0,-0.8122552124239423,-0.8627743018180193,-0.9859067330888072,-0.4133659669790916,-101.53190155299278,0.0,0.0830565251447468,0.07690190786471973,-0.059581305385818586,0.2521470614186764,10.38206564309335,0.0,0.8340990767971378,0.8568474130941219,0.5153200724484565,1.10573391202519,104.26238459964222,0.0,0.9283690019536568,0.9717941391450714,0.4811101640089087,1.2597799073310163,116.04612524420708,0.0,0.8138107024721171,0.8056787226620812,0.4162057659790305,1.2003419509241031,101.72633780901465,0.0,1.0863392679563408,1.1111680521858704,0.6808743582540885,1.4141155269945436,135.7924084945426,0.0,1.3090080573505454,1.3682729973911036,0.8444444607323041,1.6467385541668749,163.62600716881818,0.0,0.414127200514,0.425335869190877,0.18233510763956426,0.6131510220610186,51.76590006425001,0.0,0.2862426634741404,0.2998863892907217,0.045567070776761885,0.4879246128823275,35.78033293426755,0.0,-0.248824784985508,-0.2385993742628152,-0.4578316492702279,0.001006286535131375,-31.103098123188484,0.0,-1.3229327449731094,-1.3766560516513258,-1.6816318823356542,-0.6158562174813332,-165.3665931216387,0.0
BFA.2.2_1,8.0,-1.0872399728363813,-1.0971582841809422,-1.2849127064504289,-0.8274714891177737,-27.18099932090953,0.0,-1.0321466019596497,-1.0070682388854844,-1.285208196747095,-0.8815530573493282,-25.80366504899124,0.0,-0.1164434837544916,-0.08549510261262605,-0.327749264283536,0.0036290638168927744,-2.9110870938622897,0.0,0.7555438314122136,0.7598701620546029,0.6549866353983066,0.8799779968044299,18.88859578530534,0.0,0.8026002544856479,0.8170978734278641,0.6146112526400218,0.970327542224588,20.065006362141197,0.0,0.6158383044480862,0.6157934261797827,0.4824962133508833,0.7725534481608688,15.395957611202155,0.0,1.033920733451757,1.0348862721807506,0.8986415784062648,1.110845451697457,25.84801833629393,0.0,1.4498793389019706,1.4632134864918718,1.2786548157327384,1.5346500155669238,36.24698347254928,0.0,0.3406253600345893,0.3496992616894361,0.21894286271810864,0.4638871714741594,8.515634000864733,0.0,0.20277822979270432,0.18942442256939349,0.10210471343566598,0.3123385363112563,5.069455744817609,0.0,-0.5750263265175611,-0.5557533716168198,-0.8906667643581364,-0.3172859841861427,-14.375658162939027,0.0,-1.678203006919983,-1.6585197350243048,-1.9798925752866767,-1.4207891300498152,-41.95507517299957,0.0
BFA.7.1_1,9.0,-1.0888276811210351,-1.0668968875417812,-1.2659834271700736,-0.9886511769486588,-21.776553622420696,0.0,-1.2986593693123738,-1.2894944376305195,-1.4732743789073883,-1.1872014497402688,-25.97318738624748,0.0,-0.3010063968679573,-0.3133497034384593,-0.4204353068449926,-0.15015584962437048,-6.0201279373591445,0.0,0.4569033866014959,0.450303301930356,0.3568531636939292,0.5414014719651684,9.138067732029919,0.0,1.3153212612916556,1.3063857141910018,1.231550344756802,1.4008800105206536,26.30642522583312,0.0,0.909894956539006,0.923094507827812,0.8547211001496601,0.942009521156312,18.197899130780122,0.0,1.0993868521871288,1.1079347631830916,1.0479577964808275,1.1260075848249058,21.987737043742577,0.0,1.2006570226746032,1.1990186252205968,1.0933098179172769,1.3020821380155816,24.013140453492063,0.0,0.6340567976041281,0.6396635113231023,0.5512943962290193,0.70686099766939,12.681135952082565,0.0,0.3657788732882608,0.3663608238653331,0.33402326190352977,0.39390341531796574,7.315577465765215,0.0,-0.6571352725151379,-0.6441931492110782,-0.8034506057360021,-0.5230760739571527,-13.14270545030276,0.0,-1.7260554762423026,-1.7129642550397173,-1.8649507935693843,-1.616777243806533,-34.521109524846054,0.0
BFA.3.1_1,10.0,-1.1459251862200093,-1.1423167983665623,-1.327962444667624,-1.0396266557263203,-63.02588524210051,0.0,-1.3799265012659954,-1.3754664970134627,-1.5494901405036776,-1.2820596549663237,-75.89595756962973,0.0,0.05755169820993005,0.07562592673883077,-0.15730219137572432,0.19226012996971256,3.1653434015461532,0.0,0.8663753229404885,0.8897362609548635,0.6220023769190698,1.0880213256178082,47.65064276172686,0.0,1.3818947640426602,1.3691203454980745,1.3034835161776726,1.5446931616032928,76.00421202234631,0.0,1.188640754580883,1.211444739130347,1.0026542170936814,1.3893506711472363,65.37524150194857,0.0,1.194683776888283,1.1964514944083011,1.0940708723080907,1.3587395711547925,65.70760772885556,0.0,1.2907685444692445,1.3163786242276,1.1455513994256077,1.489321941148682,70.99226994580842,0.0,0.5906233661977482,0.5998973722624892,0.5291430539317693,0.6751481960947563,32.48428514087615,0.0,0.3316586963209726,0.3339051901169583,0.2792819981346873,0.4066562061769707,18.241228297653493,0.0,-0.3753429767233232,-0.3743140310680329,-0.7063397385973058,-0.11359478162134168,-20.643863719782782,0.0,-1.8958992349841264,-1.8885551676789745,-2.0874426046264567,-1.805241927220788,-104.27445792412693,0.0
