GID_2,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
CIV.1.1_1,1.0,297.2378393122505,297.23420094373444,296.9941371683779,297.5029382268478,4755.805428996008,0.0,297.6023708904837,297.5901777148665,297.3907669175988,297.8718451377557,4761.637934247739,0.0,297.6505221068337,297.6370749682318,297.48540320804625,297.87687764901995,4762.408353709339,0.0,297.74999817419416,297.7491945452288,297.6077450462124,297.9573892260788,4763.999970787107,0.0,297.42025992130004,297.4253726835828,297.28765425380385,297.5294375336959,4758.724158740801,0.0,296.1376534230161,296.12489117754524,295.9919821065804,296.26383625978536,4738.202454768258,0.0,295.52905036487635,295.50388644003607,295.31933466245533,295.81592456835926,4728.464805838024,0.0,295.15140992170825,295.1071280255328,294.91973306774014,295.4663417262283,4722.422558747332,0.0,296.05673763328963,296.04562886586615,295.91543044734095,296.22334034628415,4736.907802132633,0.0,296.30038751275436,296.3014867955807,296.1597416002608,296.437114556296,4740.806200204071,0.0,297.2237465016567,297.208700172354,297.0937976109965,297.3814365046652,4755.579944026507,0.0,297.3915845366216,297.3791835666576,297.2599017013953,297.54131480042486,4758.265352585945,0.0
CIV.2.1_1,2.0,296.6106682557165,296.63183530094074,295.97656697694964,297.34293601527247,14533.92274453011,3.92156862745098,296.92706808517613,296.955907587558,296.2982392426305,297.6169545342184,14549.426336173628,3.92156862745098,297.01949495111364,297.0439299803791,296.5058976350177,297.6267525433229,14553.955252604568,3.92156862745098,297.2101072053632,297.23747020070283,296.8122868898178,297.7620175439791,14563.295253062795,3.92156862745098,297.0053677503365,297.02094543532945,296.62702226285546,297.5074720985733,14553.263019766488,3.92156862745098,295.881624773269,295.89281292398294,295.52988993990044,296.258328377817,14498.199613890181,3.92156862745098,295.17086408871387,295.18154859548764,294.7651834939383,295.5541441640673,14463.372340346985,3.92156862745098,294.7226356763951,294.7109980239688,294.34347925265445,295.10765737506995,14441.409148143357,3.92156862745098,295.78710516373343,295.791212427804,295.4045366992678,296.12072202718224,14493.568153022938,3.92156862745098,296.02471231565124,296.03547763904635,295.65263131445613,296.3860949577401,14505.210903466912,3.92156862745098,296.8515396241836,296.8499047345628,296.4121832338337,297.3717702992183,14545.725441584995,3.92156862745098,296.96009792142405,296.9514561747668,296.4629420440346,297.55881386371095,14551.044798149778,3.92156862745098
CIV.2.2_1,3.0,295.37595059266636,295.31587923931687,294.7728825778524,296.2946750862021,21562.44439326465,0.0,295.78720458517927,295.75747943402547,295.28913406993576,296.62853195796856,21592.46593471809,0.0,296.1789590916293,296.13418583187706,295.845763307183,296.76614075687763,21621.06401368894,0.0,296.69388796786694,296.6708662334247,296.46335386788485,297.0065622736615,21658.653821654287,0.0,296.4688720980452,296.4398139283764,296.25402079398043,296.79894165646743,21642.227663157304,0.0,295.49857771181007,295.4838689980954,295.2745359416843,295.7894121796916,21571.396172962137,0.0,294.79669882275414,294.7826381013619,294.60519364926324,295.0456314372167,21520.159014061053,0.0,294.4499112043024,294.4392959049812,294.2749649036851,294.6325250420325,21494.843517914065,0.0,295.5152453206922,295.50995803318517,295.35549818618136,295.7283291040792,21572.61290841053,0.0,295.66076343671045,295.6499410953254,295.4732602856434,295.898321669952,21583.235730879864,0.0,296.31513900682273,296.2957272560318,296.07317225165923,296.6367775098858,21631.005147498057,0.0,296.1326699549165,296.0852114507213,295.7598787685121,296.6686735743943,21617.684906708902,0.0
CIV.2.3_1,4.0,296.4685301136933,296.47704379856424,295.4817245300854,297.452237593513,29053.915951141942,2.0,296.8005045993362,296.7826093894403,295.9133916359364,297.70039679535097,29086.449450734952,2.0,296.9144237797292,296.9051211366172,296.20509307965415,297.72957117378536,29097.61353041345,2.0,297.12695467372487,297.1243382816911,296.5530362485821,297.874672568624,29118.441558025035,2.0,296.8587832042956,296.8676100828308,296.36736435548784,297.53344260452525,29092.160754020962,2.0,295.692774029149,295.6941556837498,295.29910312308215,296.2636796519561,28977.8918548566,2.0,295.02874396294146,295.0225743033313,294.6063250735257,295.5699610087301,28912.816908368262,2.0,294.5707017555523,294.56176809950944,294.18693369640516,295.11976283707,28867.928772044124,2.0,295.70861450867835,295.710683281967,295.2970088903328,296.2517168124752,28979.444221850485,2.0,295.87125992312036,295.8846827865915,295.42129265354106,296.4900272227625,28995.3834724658,2.0,296.5603944456796,296.5899257542239,296.0058267294898,297.32630727392257,29062.9186556766,2.0,296.6711616130653,296.66834113291213,296.04023452240637,297.5470985697113,29073.77383808041,2.0
CIV.3.1_1,5.0,293.9391445197097,293.9760216357048,291.6279874337655,296.42183372860177,16166.652948584036,0.0,295.2708771309334,295.3017219963544,293.84752633814026,297.013983840852,16239.898242201338,0.0,295.81895093363283,295.74935526513667,295.0908452804285,297.1314731503223,16270.042301349802,0.0,296.87198440542215,296.87449939657705,296.5584409104848,297.3127972094647,16327.959142298225,0.0,296.6830621149212,296.690723870982,296.3506131075012,297.1241245183571,16317.568416320664,0.0,295.50254969183084,295.4888797381122,295.1847315987088,295.90293609890136,16252.640233050695,0.0,294.9258126565812,294.91789908832214,294.66122025589334,295.2043427417903,16220.919696111963,0.0,294.4480298710866,294.4388799782867,294.1943161521765,294.715550596064,16194.641642909763,0.0,295.61000421736463,295.62683422833425,295.3834445941993,295.79284108590537,16258.550231955054,0.0,295.8880566463511,295.89861764462637,295.6258316799033,296.05832016605325,16273.843115549309,0.0,296.4812718771832,296.50582489062236,296.14947708670945,296.70394937824545,16306.469953245069,0.0,295.11947910996287,295.13326286084174,293.6497379457119,296.7953633177154,16231.571351047958,0.0
CIV.3.2_1,6.0,297.0042999349428,297.12742201726866,295.34550085162965,297.76356239907346,16632.240796356797,8.196721311475411,297.4574590198378,297.5575813538709,296.2281908523543,298.0388890630335,16657.61770511092,8.196721311475411,297.50192190583783,297.54569291686505,296.5628308215842,297.9992298205794,16660.10762672692,8.196721311475411,297.6265871953775,297.63395681988237,297.0932853021463,298.08998847158006,16667.08888294114,8.196721311475411,297.39210947144,297.3911874427505,296.91986403567415,297.8192378740572,16653.95813040064,8.196721311475411,296.14598050728443,296.12463708502617,295.74206865139087,296.5539138475615,16584.174908407927,8.196721311475411,295.4622452656867,295.46221956885154,295.0398280728785,295.8545800171018,16545.88573487846,8.196721311475411,295.0754544557821,295.0906592663005,294.5843359647738,295.61738724011707,16524.225449523798,8.196721311475411,295.9739689203306,295.98466974459893,295.5804606430137,296.3243895046347,16574.542259538513,8.196721311475411,296.2702103386512,296.2703266911976,295.9037633239155,296.6171497836284,16591.131778964467,8.196721311475411,297.01744286314795,297.0356154328067,296.5341112724719,297.47298218032347,16632.976800336284,8.196721311475411,297.2131794753116,297.297623627368,296.1710370143685,297.8215259072756,16643.938050617453,8.196721311475411
CIV.4.1_1,7.0,275.65235821193534,275.48889019071805,274.6362289108676,277.08860803326047,16263.48913450418,0.0,276.9992302233253,276.9610651919949,275.9427778264129,278.31751622472405,16342.954583176192,0.0,284.05813567574484,283.9529139417025,282.8631959463199,285.51176821878613,16759.430004868944,0.0,293.165775729667,293.201040217208,292.34128021590067,293.9464026441745,17296.780768050354,0.0,295.26641504186983,295.2789137576578,295.0273832940405,295.4395785212563,17420.718487470316,0.0,295.34654038831894,295.36326209030983,295.1741188878634,295.4616751422868,17425.44588291082,0.0,295.01485756575283,295.0036066586904,294.78193132221804,295.36871557715284,17405.876596379414,0.0,294.574301977527,294.55001597733474,294.31220938790403,294.95646971726137,17379.883816674093,0.0,295.1867772520668,295.15520863188607,294.93949185513196,295.6072450318614,17416.019857871943,0.0,295.1048960701412,295.0797013694917,294.8616044646547,295.50462362621687,17411.188868138328,0.0,290.53242318016015,290.4774717734431,290.1303216837094,291.05795184529427,17141.412967629447,0.0,281.1896117933344,281.0851591669846,280.54214807717966,282.32435011450315,16590.18709580673,0.0
CIV.4.2_1,8.0,276.99861828910315,276.76450725835565,275.3721879419317,281.4265830143433,32408.83833982507,0.0,280.1745268215562,279.42213979060904,277.0490534981512,286.93841834603967,32780.419638122075,0.0,286.79223780062597,286.5552342745482,284.14919820604825,291.0744705085616,33554.69182267324,0.0,294.471541206469,294.42682393515065,293.14943727729036,295.72581524786284,34453.170321156875,0.0,295.44269515000576,295.4126490821653,295.0807828148822,295.87579192739463,34566.795332550675,0.0,295.1445200709647,295.15778798929,294.82773847195887,295.41461266766487,34531.90884830287,0.0,294.7384790967973,294.7649767287541,294.41862293719737,295.01067410978686,34484.402054325285,0.0,294.2485312484688,294.2705393919918,293.9067479477156,294.51097533784286,34427.07815607085,0.0,294.9833741084841,294.9913365352119,294.66273077544116,295.33633788094835,34513.05477069264,0.0,294.8732584463749,294.86789377770265,294.47756286002124,295.31010488236166,34500.17123822586,0.0,291.840663085424,291.7114391135348,290.55562378677837,294.2633144923517,34145.357580994605,0.0,283.1747750462867,282.7738201158798,281.0177319653934,288.0538907551809,33131.44868041554,0.0
CIV.5.1_1,9.0,294.88163842311377,294.84284361169625,294.15460922318533,295.6579465379842,16218.490113271255,0.0,295.4801046934502,295.46675362408,295.0361396467044,296.05571507225363,16251.405758139761,0.0,295.9871273675266,295.9851448125198,295.69273927148447,296.2996943064716,16279.292005213965,0.0,296.67839714518533,296.6811769604585,296.53336224846316,296.7978692361124,16317.311842985193,0.0,296.3807264745472,296.38192779417165,296.23037720171305,296.5421707291412,16300.93995610009,0.0,295.40496813090647,295.4281904692476,295.2535691590249,295.5495596007687,16247.27324719986,0.0,294.66434316547213,294.674434622594,294.469701231775,294.8308379306393,16206.538874100965,0.0,294.3325928828416,294.3459612675343,294.1331347058773,294.5008398858336,16188.292608556285,0.0,295.42033309467394,295.4404118862932,295.2315374541015,295.57437268752193,16248.118320207066,0.0,295.6028624645752,295.6062341978472,295.4534414358882,295.77989417628993,16258.157435551631,0.0,296.29264329867124,296.2902136747798,296.11513733214815,296.54285119078094,16296.09538142692,0.0,295.79489718621744,295.81263807872534,295.20954136529593,296.2799519488438,16268.719345241958,0.0
CIV.5.2_1,10.0,296.07851749710426,295.92756039876235,294.95572312104684,297.76476994722464,21317.65325979151,0.0,296.50908646867265,296.35000460611116,295.5556700163628,297.9262530408712,21348.65422574443,0.0,296.69224849369067,296.5232600850232,295.9601010477609,297.95899903652577,21361.841891545733,0.0,297.03750851077024,296.87712411704524,296.52929727204634,298.04307690029214,21386.700612775458,0.0,296.8331143836023,296.6953171979428,296.3174240796264,297.7244309773926,21371.98423561937,0.0,295.75470308543134,295.64366179840187,295.3096309564658,296.4795942217449,21294.33862215106,0.0,294.9637865723958,294.8284939968998,294.4917081986258,295.8034857390895,21237.392633212505,0.0,294.5784510457746,294.4639843862093,294.14615960769373,295.44034806609363,21209.648475295773,0.0,295.6303009646178,295.54037790872434,295.2328190520115,296.31962285260585,21285.38166945248,0.0,295.8990147419076,295.81352644263717,295.4649445524468,296.6149013239176,21304.72906141735,0.0,296.7027106074408,296.5673822211113,296.1663645130825,297.5902365360792,21362.595163735736,0.0,296.6777161358168,296.5108943601332,295.8155100221432,297.81874755906534,21360.79556177881,0.0
