GID_2,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
CMR.1.1_1,1.0,278.6609535803648,278.805177805578,275.56764618785917,281.24537238850127,30931.36584742049,0.0,278.68869978145125,278.72704309659724,276.08530385658815,280.7921900484977,30934.445675741088,0.0,288.89681422789437,289.3390136349779,285.80641793690444,291.15571492108035,32067.546379296284,0.0,292.90292246769695,292.97452720769843,291.5096890170372,293.81472817802376,32512.22439391437,0.0,293.85859859716265,293.90067755630747,292.84543704357355,294.48975636412587,32618.304444285048,0.0,293.1880535544417,293.2229206284976,292.1836413861465,293.7525244035757,32543.873944543022,0.0,292.7044472674076,292.7494859832393,291.64985367375493,293.29795613080404,32490.193646682244,0.0,292.52692882227075,292.59784752613024,291.55638623277895,292.992098382792,32470.48909927205,0.0,292.8906970077751,292.92067735635504,291.76841430397695,293.576464692079,32510.86736786304,0.0,292.6534064159756,292.63251356930175,291.51752896514813,293.47749268898065,32484.528112173288,0.0,290.4821742095054,290.68118969746195,287.3754586080645,292.7318238315256,32243.521337255097,0.0,281.69627690888007,281.67321350780287,278.8322570403055,284.4106294032691,31268.28673688569,0.0
CMR.1.2_1,2.0,277.813036996984,277.91717897852607,275.4692881645377,280.0137598319003,23614.10814474364,0.0,278.09187536468295,278.0929702451287,275.66460845487524,280.37610731249197,23637.809405998047,0.0,285.2299001093298,285.63487377302346,282.3294328129936,288.14900669982705,24244.54150929303,0.0,290.56040223111216,290.6206544053477,286.7467279353027,292.60552317825886,24697.63418964453,0.0,293.2577722270998,293.16967613175166,289.29437967859366,295.3124880851175,24926.910639303493,0.0,293.0170532025003,292.8212739086317,289.220219366586,295.23519873407747,24906.44952221252,0.0,292.3954112687406,292.18138060042213,288.6373279152771,294.6090571589447,24853.609957842953,0.0,292.2318638267008,292.05617836870294,288.5156117615093,294.32213724792086,24839.708425269564,0.0,292.5979972350778,292.3692769044763,288.6923983469736,294.8525946431002,24870.829764981627,0.0,292.35458615177305,292.086667136573,288.57324586939546,294.6971650981256,24850.139822900703,0.0,288.149546525667,287.97566547019136,284.12246495373574,290.7361735691148,24492.711454681696,0.0,280.57302088699714,280.5071663446656,277.4643977952045,282.40307616315613,23848.70677539476,0.0
CMR.1.3_1,3.0,281.02878212180445,280.6075414656471,276.6237297570395,286.15191363461173,19672.014748526308,0.0,280.61726866095063,280.1503787561395,276.79288707797764,285.5257965151394,19643.208806266543,0.0,288.75286302776465,288.2845726213116,284.2160742172638,292.61577010991004,20212.70041194353,0.0,292.1484780874523,291.91916780199,287.9319008034708,294.38221266802054,20450.393466121666,0.0,293.0764761472991,293.0470147773982,290.22358146345834,294.6879952967428,20515.353330310936,0.0,292.5084855704156,292.51527228813745,289.9812206771054,294.1066556327661,20475.593989929086,0.0,291.96650082313494,291.94061344901434,289.4076626245308,293.62656741898894,20437.65505761945,0.0,291.7491590530563,291.7552855585309,289.2047190239925,293.5273812052824,20422.441133713943,0.0,292.14484335343286,292.07951002281067,289.4057901601805,293.9159653295626,20450.1390347403,0.0,291.85558217969367,291.80284425768025,289.32003186265547,293.5501263988712,20429.890752578558,0.0,290.0169243104345,289.6304591019785,285.1851915338422,293.40235775526617,20301.184701730414,0.0,283.4882644029632,283.1204707941039,278.31795321189554,288.4409224335589,19844.178508207424,0.0
CMR.1.4_1,4.0,277.9675087561086,278.0728828463438,274.7260608059769,280.90725336936816,33356.10105073304,0.0,278.1028372358475,278.17743013688204,275.66853195303514,280.54279435745684,33372.3404683017,0.0,288.8506893443915,289.67303044627704,283.49332664148477,291.5722174540992,34662.08272132698,0.0,292.4135543485956,292.8316344241925,289.6064301735185,293.90527804781516,35089.62652183147,0.0,293.420370743682,293.56791816227474,291.89063367358045,294.3393261001727,35210.44448924183,0.0,292.8076528411796,292.9264039472968,291.5068595423966,293.6322932944888,35136.918340941564,0.0,292.29048232815154,292.4089013938626,290.92008259757387,293.2183292398684,35074.857879378185,0.0,292.06596817838454,292.1789179650175,290.70906988545534,293.0285924391808,35047.91618140614,0.0,292.3970861841455,292.50605532279394,291.0715441988398,293.3545062824778,35087.65034209746,0.0,292.1780892835501,292.29335374102385,290.80107117736685,293.11705277690504,35061.370714026016,0.0,289.24622164091176,289.3106666155893,286.18275612189154,292.15132360240494,34709.546596909415,0.0,281.2388951168859,281.20608534245275,278.87353243189136,284.01530434967583,33748.667414026306,0.0
CMR.1.5_1,5.0,275.808644031561,275.582384459781,274.2459791640776,277.902766617375,39164.82745248167,0.0,276.1813214972477,276.04562812182996,274.67273528436084,278.04148687551213,39217.74765260918,0.0,283.81476187998754,283.93879876592604,279.0332234014051,289.10774962298063,40301.69618695823,0.0,290.64610470845287,290.7963892518663,288.2332517499262,293.0059277393225,41271.74686860031,0.0,292.90964520129063,293.0786188245092,290.8662946580613,294.7177984342245,41593.16961858326,0.0,292.5585851732849,292.55414336394614,290.5341002192717,295.07258862323084,41543.319094606464,0.0,291.9811829198214,291.97017416978383,290.0260969826223,294.412723425798,41461.327974614636,0.0,291.8616757418882,291.8765137958444,289.89238690068606,294.33801507881236,41444.35795534812,0.0,292.1413592910647,292.15326573255885,290.14537242757365,294.61588390944206,41484.07301933119,0.0,291.8650830582397,291.86766034297983,289.89162917399483,294.34378904785825,41444.84179427004,0.0,287.3634396612627,287.3980414278816,284.76878449966733,290.00690116194164,40805.6084318993,0.0,279.84591974506003,279.66776510752084,278.3911086366288,282.3215562337167,39738.12060379853,0.0
CMR.2.1_1,6.0,290.8052114815553,290.821178502738,288.38113005622495,292.612120327213,27626.495090747758,0.0,290.1715562188527,290.20488696462496,287.2189626539913,292.65775518519206,27566.297840791005,0.0,293.81191996086375,293.84270592938384,293.1475750347716,294.40244465120946,27912.132396282057,0.0,294.91078445643427,294.9081877053029,294.56851730587846,295.1661795142471,28016.52452336125,0.0,294.84578354513354,294.8038180056751,294.5353837757927,295.3082139082408,28010.349436787685,0.0,293.9946813851257,293.95596881045964,293.711626650716,294.4520182161282,27929.494731586932,0.0,293.5701864142392,293.5565402062405,293.2629531812315,293.93397623146615,27889.16770935272,0.0,293.14850672118814,293.17958775724225,292.7995517154604,293.4036864852114,27849.108138512875,0.0,293.96072661425814,293.96058112711637,293.6411016443971,294.2738498790771,27926.269028354516,0.0,294.00701793961036,293.9961267175146,293.6914053035508,294.27414385058603,27930.66670426299,0.0,294.4457361736138,294.4565512321422,294.0698419644113,294.7378340887645,27972.344936493315,0.0,291.95699505049475,291.92010985499024,289.94902455144364,293.5147987933805,27735.914529797003,0.0
CMR.2.2_1,7.0,293.7536623692814,293.6760013164505,293.2137755916238,294.59023533563345,6756.334234493471,0.0,293.7397606579105,293.66866249796396,293.21090609625486,294.5903825037805,6756.014495131944,0.0,294.75381044774673,294.76866821163935,294.21510129164545,295.27527911006007,6779.337640298175,0.0,295.2687819598988,295.2873718605938,294.6410499516928,295.7857480594455,6791.181985077672,0.0,294.99287365093767,295.00833106719637,294.3794172499961,295.46430608701456,6784.8360939715685,0.0,294.12494345022185,294.13950224780547,293.54799360911545,294.60247676571106,6764.873699355103,0.0,293.7319359971852,293.75205119613037,293.1257087226857,294.21328472561083,6755.834527935259,0.0,293.3883745631768,293.4107791958469,292.7782274083468,293.9059846971752,6747.932614953066,0.0,294.12353319279345,294.14319212242486,293.5129406845282,294.61054050511683,6764.841263434249,0.0,294.03258977298617,294.0318877405655,293.4187626606705,294.5474522402152,6762.749564778682,0.0,294.73365096613037,294.76240679963183,294.04847442309534,295.24903414891963,6778.873972220998,0.0,294.1240105895618,294.1246156765906,293.67351252053555,294.70713495013536,6764.852243559924,0.0
CMR.2.3_1,8.0,292.8820933499931,292.6819773152527,290.4223290886294,295.07183583255784,15815.633040899631,0.0,293.14451007280593,293.0445381420172,290.53148563501645,295.19851168586985,15829.803543931519,0.0,294.53938710167364,294.559574311202,293.30901575758185,295.813686390799,15905.126903490376,0.0,295.15585853657683,295.1580573568655,294.2079264077229,296.2715546892545,15938.416360975149,0.0,294.9119662284385,294.92674195045595,294.0045592599684,296.010104078632,15925.24617633568,0.0,294.1640119883402,294.1774503030091,293.37668166667686,295.320667238882,15884.856647370369,0.0,293.7844606926756,293.7986087077322,292.94935119968136,294.83303846488576,15864.360877404482,0.0,293.4229821221557,293.4483946999018,292.6087058540195,294.51450384086985,15844.84103459641,0.0,294.1028492689648,294.1531977550803,293.25694643532694,295.0847929541309,15881.5538605241,0.0,293.9968106154005,294.0594958785836,293.06784652947687,294.9445507945618,15875.827773231626,0.0,294.5444826637988,294.59035139251733,293.46449223246475,295.65281472964404,15905.402063845131,0.0,293.1934295804133,293.1709141799355,291.3476841801218,295.1114338075699,15832.445197342322,0.0
CMR.2.4_1,9.0,287.2843982009622,287.23251417075807,279.7759061390174,293.4528311676652,61478.861215005905,0.0,286.9097801887793,286.99287454472505,279.6507497998766,293.5485585076135,61398.69296039878,0.0,292.85889277614154,292.90269163451194,289.9507001758905,294.84218524531036,62671.803054094285,0.0,294.4436110420994,294.4294825917571,293.0895412730689,295.6000548257012,63010.932763009274,0.0,294.6133686968968,294.7239050048497,293.66413984041174,295.4539290844083,63047.260901135916,0.0,293.84737134096645,293.9383587258957,293.0314191247338,294.58974104778036,62883.33746696683,0.0,293.42742546403036,293.55246946392015,292.5245696087887,294.2959055342812,62793.46904930251,0.0,293.12381142561617,293.20773768185427,292.361975997662,293.8816232856534,62728.49564508186,0.0,293.7726965069138,293.8829868580442,292.79378996780986,294.6507091730432,62867.35705247956,0.0,293.632610758034,293.80313152404506,292.4674866741994,294.67675212268193,62837.37870221928,0.0,293.5831246885708,293.7368502327279,291.24509942546,295.18710682054865,62826.78868335414,0.0,288.8609158522536,288.78463235746534,282.3187924872303,294.0683667938747,61816.23599238227,0.0
CMR.2.5_1,10.0,293.0179045722143,292.9338988648269,292.3141443824016,293.6307244424922,8790.53713716643,0.0,293.01251074055887,292.8920935921102,292.18109639387086,293.69034305588764,8790.375322216767,0.0,294.4005600858864,294.3885216527546,294.1356319893657,294.7717261561855,8832.016802576592,0.0,294.93399908785716,294.8807313932178,294.67001051399683,295.3308470276193,8848.019972635715,0.0,294.70761212567965,294.67446987657524,294.4189115608101,295.09132665693534,8841.228363770391,0.0,293.7641818895023,293.7109044481593,293.4684679382118,294.1957208297895,8812.92545668507,0.0,293.3546218498016,293.2722102202099,293.0704977681678,293.78958920464197,8800.638655494047,0.0,292.9238630733425,292.85434041152286,292.61228447405773,293.3980829214204,8787.715892200276,0.0,293.7185417776008,293.6423900372942,293.4364209781773,294.15272416314616,8811.556253328024,0.0,293.7664266953874,293.7212035974509,293.5089692133438,294.16222851052424,8812.992800861624,0.0,294.3540446925025,294.32039206316375,294.0826929334695,294.779768119641,8830.621340775077,0.0,293.62119688241296,293.61773767196564,293.27995570435706,294.1523647652856,8808.63590647239,0.0
