GID_2,adm_id,GID_2,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12
GAB.1.1_1,1.0,GAB.1.1_1,911483.1971911531,46768.69093641445,336.0248907092144,18492807.307956666,26433012.718543444,99.7389973899739,911483.1971911531,46768.69093641445,336.0248907092144,18492807.307956666,26433012.718543444,99.7389973899739,911483.1971911531,46768.69093641445,336.0248907092144,18492807.307956666,26433012.718543444,99.7389973899739,911483.1971911531,46768.69093641445,336.0248907092144,18492807.307956666,26433012.718543444,99.7389973899739,911483.1971911531,46768.69093641445,336.0248907092144,18492807.307956666,26433012.718543444,99.7389973899739,911483.1971911531,46768.69093641445,336.0248907092144,18492807.307956666,26433012.718543444,99.7389973899739,911483.1971911531,46768.69093641445,336.0248907092144,18492807.307956666,26433012.718543444,99.7389973899739,911483.1971911531,46768.69093641445,336.0248907092144,18492807.307956666,26433012.718543444,99.7389973899739,911483.1971911531,46768.69093641445,336.0248907092144,18492807.307956666,26433012.718543444,99.7389973899739,911483.1971911531,46768.69093641445,336.0248907092144,18492807.307956666,26433012.718543444,99.7389973899739,911483.1971911531,46768.69093641445,336.0248907092144,18492807.307956666,26433012.718543444,99.7389973899739,911483.1971911531,46768.69093641445,336.0248907092144,18492807.307956666,26433012.718543444
GAB.1.2_1,2.0,GAB.1.2_1,270335.6964600837,34715.463116680665,833.3677340374702,10941572.82365512,93536150.97518896,94.92519800528014,270335.6964600837,34715.463116680665,833.3677340374702,10941572.82365512,93536150.97518896,94.92519800528014,270335.6964600837,34715.463116680665,833.3677340374702,10941572.82365512,93536150.97518896,94.92519800528014,270335.6964600837,34715.463116680665,833.3677340374702,10941572.82365512,93536150.97518896,94.92519800528014,270335.6964600837,34715.463116680665,833.3677340374702,10941572.82365512,93536150.97518896,94.92519800528014,270335.6964600837,34715.463116680665,833.3677340374702,10941572.82365512,93536150.97518896,94.92519800528014,270335.6964600837,34715.463116680665,833.3677340374702,10941572.82365512,93536150.97518896,94.92519800528014,270335.6964600837,34715.463116680665,833.3677340374702,10941572.82365512,93536150.97518896,94.92519800528014,270335.6964600837,34715.463116680665,833.3677340374702,10941572.82365512,93536150.97518896,94.92519800528014,270335.6964600837,34715.463116680665,833.3677340374702,10941572.82365512,93536150.97518896,94.92519800528014,270335.6964600837,34715.463116680665,833.3677340374702,10941572.82365512,93536150.97518896,94.92519800528014,270335.6964600837,34715.463116680665,833.3677340374702,10941572.82365512,93536150.97518896
GAB.1.3_1,3.0,GAB.1.3_1,3271.8623253665446,1180.2560835291679,320.180129006442,14880.713292781411,19631.173952199268,99.88670694864048,3271.8623253665446,1180.2560835291679,320.180129006442,14880.713292781411,19631.173952199268,99.88670694864048,3271.8623253665446,1180.2560835291679,320.180129006442,14880.713292781411,19631.173952199268,99.88670694864048,3271.8623253665446,1180.2560835291679,320.180129006442,14880.713292781411,19631.173952199268,99.88670694864048,3271.8623253665446,1180.2560835291679,320.180129006442,14880.713292781411,19631.173952199268,99.88670694864048,3271.8623253665446,1180.2560835291679,320.180129006442,14880.713292781411,19631.173952199268,99.88670694864048,3271.8623253665446,1180.2560835291679,320.180129006442,14880.713292781411,19631.173952199268,99.88670694864048,3271.8623253665446,1180.2560835291679,320.180129006442,14880.713292781411,19631.173952199268,99.88670694864048,3271.8623253665446,1180.2560835291679,320.180129006442,14880.713292781411,19631.173952199268,99.88670694864048,3271.8623253665446,1180.2560835291679,320.180129006442,14880.713292781411,19631.173952199268,99.88670694864048,3271.8623253665446,1180.2560835291679,320.180129006442,14880.713292781411,19631.173952199268,99.88670694864048,3271.8623253665446,1180.2560835291679,320.180129006442,14880.713292781411,19631.173952199268
GAB.2.1_1,4.0,GAB.2.1_1,88757.86408629481,16614.437218440642,57.18660888873679,1615528.4361266356,3994103.8838832662,98.47354138398914,88757.86408629481,16614.437218440642,57.18660888873679,1615528.4361266356,3994103.8838832662,98.47354138398914,88757.86408629481,16614.437218440642,57.18660888873679,1615528.4361266356,3994103.8838832662,98.47354138398914,88757.86408629481,16614.437218440642,57.18660888873679,1615528.4361266356,3994103.8838832662,98.47354138398914,88757.86408629481,16614.437218440642,57.18660888873679,1615528.4361266356,3994103.8838832662,98.47354138398914,88757.86408629481,16614.437218440642,57.18660888873679,1615528.4361266356,3994103.8838832662,98.47354138398914,88757.86408629481,16614.437218440642,57.18660888873679,1615528.4361266356,3994103.8838832662,98.47354138398914,88757.86408629481,16614.437218440642,57.18660888873679,1615528.4361266356,3994103.8838832662,98.47354138398914,88757.86408629481,16614.437218440642,57.18660888873679,1615528.4361266356,3994103.8838832662,98.47354138398914,88757.86408629481,16614.437218440642,57.18660888873679,1615528.4361266356,3994103.8838832662,98.47354138398914,88757.86408629481,16614.437218440642,57.18660888873679,1615528.4361266356,3994103.8838832662,98.47354138398914,88757.86408629481,16614.437218440642,57.18660888873679,1615528.4361266356,3994103.8838832662
GAB.2.2_1,5.0,GAB.2.2_1,152864.96259314555,11345.896762046284,500.71861186466367,2453330.8014907986,8713302.867809298,99.20833333333331,152864.96259314555,11345.896762046284,500.71861186466367,2453330.8014907986,8713302.867809298,99.20833333333331,152864.96259314555,11345.896762046284,500.71861186466367,2453330.8014907986,8713302.867809298,99.20833333333331,152864.96259314555,11345.896762046284,500.71861186466367,2453330.8014907986,8713302.867809298,99.20833333333331,152864.96259314555,11345.896762046284,500.71861186466367,2453330.8014907986,8713302.867809298,99.20833333333331,152864.96259314555,11345.896762046284,500.71861186466367,2453330.8014907986,8713302.867809298,99.20833333333331,152864.96259314555,11345.896762046284,500.71861186466367,2453330.8014907986,8713302.867809298,99.20833333333331,152864.96259314555,11345.896762046284,500.71861186466367,2453330.8014907986,8713302.867809298,99.20833333333331,152864.96259314555,11345.896762046284,500.71861186466367,2453330.8014907986,8713302.867809298,99.20833333333331,152864.96259314555,11345.896762046284,500.71861186466367,2453330.8014907986,8713302.867809298,99.20833333333331,152864.96259314555,11345.896762046284,500.71861186466367,2453330.8014907986,8713302.867809298,99.20833333333331,152864.96259314555,11345.896762046284,500.71861186466367,2453330.8014907986,8713302.867809298
GAB.2.3_1,6.0,GAB.2.3_1,44277.89033412941,16312.522516113471,1941.8105830971024,355816.30007567955,797002.0260143295,99.7047244094488,44277.89033412941,16312.522516113471,1941.8105830971024,355816.30007567955,797002.0260143295,99.7047244094488,44277.89033412941,16312.522516113471,1941.8105830971024,355816.30007567955,797002.0260143295,99.7047244094488,44277.89033412941,16312.522516113471,1941.8105830971024,355816.30007567955,797002.0260143295,99.7047244094488,44277.89033412941,16312.522516113471,1941.8105830971024,355816.30007567955,797002.0260143295,99.7047244094488,44277.89033412941,16312.522516113471,1941.8105830971024,355816.30007567955,797002.0260143295,99.7047244094488,44277.89033412941,16312.522516113471,1941.8105830971024,355816.30007567955,797002.0260143295,99.7047244094488,44277.89033412941,16312.522516113471,1941.8105830971024,355816.30007567955,797002.0260143295,99.7047244094488,44277.89033412941,16312.522516113471,1941.8105830971024,355816.30007567955,797002.0260143295,99.7047244094488,44277.89033412941,16312.522516113471,1941.8105830971024,355816.30007567955,797002.0260143295,99.7047244094488,44277.89033412941,16312.522516113471,1941.8105830971024,355816.30007567955,797002.0260143295,99.7047244094488,44277.89033412941,16312.522516113471,1941.8105830971024,355816.30007567955,797002.0260143295
GAB.2.4_1,7.0,GAB.2.4_1,29515.413209581915,15115.713336434532,21.789146410480303,154048.28353086152,737885.3302395478,99.59735867289422,29515.413209581915,15115.713336434532,21.789146410480303,154048.28353086152,737885.3302395478,99.59735867289422,29515.413209581915,15115.713336434532,21.789146410480303,154048.28353086152,737885.3302395478,99.59735867289422,29515.413209581915,15115.713336434532,21.789146410480303,154048.28353086152,737885.3302395478,99.59735867289422,29515.413209581915,15115.713336434532,21.789146410480303,154048.28353086152,737885.3302395478,99.59735867289422,29515.413209581915,15115.713336434532,21.789146410480303,154048.28353086152,737885.3302395478,99.59735867289422,29515.413209581915,15115.713336434532,21.789146410480303,154048.28353086152,737885.3302395478,99.59735867289422,29515.413209581915,15115.713336434532,21.789146410480303,154048.28353086152,737885.3302395478,99.59735867289422,29515.413209581915,15115.713336434532,21.789146410480303,154048.28353086152,737885.3302395478,99.59735867289422,29515.413209581915,15115.713336434532,21.789146410480303,154048.28353086152,737885.3302395478,99.59735867289422,29515.413209581915,15115.713336434532,21.789146410480303,154048.28353086152,737885.3302395478,99.59735867289422,29515.413209581915,15115.713336434532,21.789146410480303,154048.28353086152,737885.3302395478
GAB.2.5_1,8.0,GAB.2.5_1,33065.42233857109,13039.264008715832,2552.207867892795,193346.99116452888,495981.3350785664,99.7594611930725,33065.42233857109,13039.264008715832,2552.207867892795,193346.99116452888,495981.3350785664,99.7594611930725,33065.42233857109,13039.264008715832,2552.207867892795,193346.99116452888,495981.3350785664,99.7594611930725,33065.42233857109,13039.264008715832,2552.207867892795,193346.99116452888,495981.3350785664,99.7594611930725,33065.42233857109,13039.264008715832,2552.207867892795,193346.99116452888,495981.3350785664,99.7594611930725,33065.42233857109,13039.264008715832,2552.207867892795,193346.99116452888,495981.3350785664,99.7594611930725,33065.42233857109,13039.264008715832,2552.207867892795,193346.99116452888,495981.3350785664,99.7594611930725,33065.42233857109,13039.264008715832,2552.207867892795,193346.99116452888,495981.3350785664,99.7594611930725,33065.42233857109,13039.264008715832,2552.207867892795,193346.99116452888,495981.3350785664,99.7594611930725,33065.42233857109,13039.264008715832,2552.207867892795,193346.99116452888,495981.3350785664,99.7594611930725,33065.42233857109,13039.264008715832,2552.207867892795,193346.99116452888,495981.3350785664,99.7594611930725,33065.42233857109,13039.264008715832,2552.207867892795,193346.99116452888,495981.3350785664
GAB.2.6_1,9.0,GAB.2.6_1,79773.7010505265,43653.11794625394,828.7126083547772,584708.4707212397,2712305.835717901,99.67996987951807,79773.7010505265,43653.11794625394,828.7126083547772,584708.4707212397,2712305.835717901,99.67996987951807,79773.7010505265,43653.11794625394,828.7126083547772,584708.4707212397,2712305.835717901,99.67996987951807,79773.7010505265,43653.11794625394,828.7126083547772,584708.4707212397,2712305.835717901,99.67996987951807,79773.7010505265,43653.11794625394,828.7126083547772,584708.4707212397,2712305.835717901,99.67996987951807,79773.7010505265,43653.11794625394,828.7126083547772,584708.4707212397,2712305.835717901,99.67996987951807,79773.7010505265,43653.11794625394,828.7126083547772,584708.4707212397,2712305.835717901,99.67996987951807,79773.7010505265,43653.11794625394,828.7126083547772,584708.4707212397,2712305.835717901,99.67996987951807,79773.7010505265,43653.11794625394,828.7126083547772,584708.4707212397,2712305.835717901,99.67996987951807,79773.7010505265,43653.11794625394,828.7126083547772,584708.4707212397,2712305.835717901,99.67996987951807,79773.7010505265,43653.11794625394,828.7126083547772,584708.4707212397,2712305.835717901,99.67996987951807,79773.7010505265,43653.11794625394,828.7126083547772,584708.4707212397,2712305.835717901
GAB.3.1_1,10.0,GAB.3.1_1,111185.2737222578,22397.68978787917,1224.880758960356,1570398.2467569697,2779631.8430564445,99.76593951877165,111185.2737222578,22397.68978787917,1224.880758960356,1570398.2467569697,2779631.8430564445,99.76593951877165,111185.2737222578,22397.68978787917,1224.880758960356,1570398.2467569697,2779631.8430564445,99.76593951877165,111185.2737222578,22397.68978787917,1224.880758960356,1570398.2467569697,2779631.8430564445,99.76593951877165,111185.2737222578,22397.68978787917,1224.880758960356,1570398.2467569697,2779631.8430564445,99.76593951877165,111185.2737222578,22397.68978787917,1224.880758960356,1570398.2467569697,2779631.8430564445,99.76593951877165,111185.2737222578,22397.68978787917,1224.880758960356,1570398.2467569697,2779631.8430564445,99.76593951877165,111185.2737222578,22397.68978787917,1224.880758960356,1570398.2467569697,2779631.8430564445,99.76593951877165,111185.2737222578,22397.68978787917,1224.880758960356,1570398.2467569697,2779631.8430564445,99.76593951877165,111185.2737222578,22397.68978787917,1224.880758960356,1570398.2467569697,2779631.8430564445,99.76593951877165,111185.2737222578,22397.68978787917,1224.880758960356,1570398.2467569697,2779631.8430564445,99.76593951877165,111185.2737222578,22397.68978787917,1224.880758960356,1570398.2467569697,2779631.8430564445
