GID_2,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
GAB.1.1_1,1.0,295.8064230987487,296.2781295189706,293.9931942719488,296.8943035556264,21889.675309307408,0.0,296.18189427512664,296.64835444580405,294.3119619440205,297.3863029764517,21917.460176359367,0.0,296.3064357245755,296.7683647479426,294.5570116368848,297.37835393017605,21926.6762436186,0.0,296.66142164507244,297.1472079274873,294.81500272754243,297.7331999483946,21952.945201735358,0.0,296.41681304928363,296.89539935534214,294.6252186626694,297.4207235535305,21934.844165646984,0.0,294.6257286414392,294.914857484773,293.27058458992894,295.45089753028697,21802.303919466496,0.0,294.2619041029824,294.5453565175527,292.91599180506785,295.0862053210692,21775.380903620702,0.0,293.83608305129667,294.06970983182543,292.5321420496098,294.7252583939217,21743.870145795958,0.0,295.12943333641783,295.52452533739614,293.6478356566872,295.9875702764024,21839.57806689492,0.0,295.3928829562176,295.8695392411326,293.6612454410857,296.4475672016227,21859.073338760107,0.0,295.8804980845636,296.3280849953536,294.11237467555105,296.9439629970185,21895.156858257706,0.0,295.82513706079436,296.2943190020248,294.03478676248767,296.89295829169447,21891.060142498784,0.0
GAB.1.2_1,2.0,296.7162512704901,296.725461942687,296.29190137932494,297.15960036726847,13352.231307172056,2.1739130434782608,297.18530578941966,297.172669504138,296.7653692890762,297.6227736866585,13373.338760523886,2.1739130434782608,297.2292941227648,297.2185027090784,296.80601165720486,297.6874685748134,13375.318235524412,2.1739130434782608,297.5678760977006,297.5498110540665,297.11526255104036,297.97124963317657,13390.55442439653,2.1739130434782608,297.1909949840301,297.1687072721589,296.6993990234673,297.57969574969815,13373.594774281355,2.1739130434782608,295.0816127453212,295.0829933047778,294.3406701280999,295.6748669970478,13278.67257353945,2.1739130434782608,294.680916990132,294.7038245947522,293.9101717555452,295.2815147867562,13260.64126455594,2.1739130434782608,294.332091918969,294.3643674421777,293.5767018370946,294.90161904550644,13244.944136353606,2.1739130434782608,295.66954520538485,295.66343540983274,295.025123431474,296.16018421548364,13305.129534242316,2.1739130434782608,296.1595497054614,296.1255613007986,295.68572221160457,296.5552980847505,13327.179736745757,2.1739130434782608,296.73712797809884,296.71325390261194,296.2787338015945,297.10387003197553,13353.170759014443,2.1739130434782608,296.7521493500231,296.73966729107644,296.34126141495284,297.14323029654963,13353.84672075104,2.1739130434782608
GAB.1.3_1,3.0,295.82907025738615,296.25162496670515,294.0106556959803,296.88880383989795,10945.675599523283,2.631578947368421,296.2173104148594,296.649117616496,294.3468893236709,297.30267773263074,10960.040485349797,2.631578947368421,296.28312290322486,296.71544042665465,294.4714672325374,297.327088416752,10962.475547419324,2.631578947368421,296.65038848229943,297.09576142074,294.8029127278747,297.6608249900604,10976.064373845078,2.631578947368421,296.36607323519365,296.79897373947733,294.59779027343205,297.29971477501283,10965.544709702168,2.631578947368421,294.9332839326927,295.22680345760966,293.5030767649773,295.8327620013252,10912.531505509627,2.631578947368421,294.4966424422483,294.8462985686654,293.0848732522239,295.34747125905824,10896.375770363184,2.631578947368421,294.16037519873845,294.4566223788172,292.71217038981814,295.0626593085462,10883.933882353322,2.631578947368421,295.2191713175408,295.63451728709475,293.68126999892866,296.07182115312213,10923.109338749013,2.631578947368421,295.3746502730264,295.8006629752948,293.63970517244536,296.3081020955226,10928.862060101976,2.631578947368421,295.8781639554616,296.3014588787817,294.1697410329238,296.80278176098005,10947.492066352077,2.631578947368421,295.8169290710532,296.2539737459706,294.01463060808436,296.81609983777787,10945.226375628969,2.631578947368421
GAB.2.1_1,4.0,295.0305668973919,294.9910563993303,294.14734047575166,295.73666515988225,5605.580771050446,0.0,295.36731983710337,295.3550579242699,294.5050577796319,296.1255488560921,5611.979076904965,0.0,295.62442126463776,295.5843536222408,294.7610757906213,296.3234453428919,5616.864004028116,0.0,295.90690732016844,295.85955662154527,294.9824358167449,296.67990945438567,5622.231239083199,0.0,295.7415591974339,295.7045141240044,294.8127437290357,296.4338763060158,5619.089624751244,0.0,294.03745025090234,293.9810085544409,293.09152706329485,294.92317445131613,5586.711554767144,0.0,293.9737877609471,293.95476542764436,293.0601590354052,294.76243800770754,5585.501967457995,0.0,293.7256162085589,293.69456523580584,292.856658216034,294.472045925984,5580.786707962621,0.0,294.6099872504463,294.5910890274515,293.7699760221634,295.3026795230942,5597.589757758479,0.0,294.7842282683843,294.76153788446817,293.9262242314729,295.4670495100546,5600.9003370993005,0.0,295.19170411609093,295.16459028192594,294.3214658246653,295.9132968757345,5608.642378205727,0.0,295.20763157879964,295.17103276870495,294.3076679629519,295.906994824828,5608.944999997192,0.0
GAB.2.2_1,5.0,295.0017530886395,295.0119453784373,294.5930490316741,295.4500874297036,14455.085901343335,0.0,295.3068466153572,295.2764603488742,294.91034557607065,295.8350352149255,14470.035484152495,0.0,295.4961597417721,295.4585547197274,295.1018472720465,296.0044388922002,14479.311827346835,0.0,295.89086160988046,295.8635483753856,295.4866163564831,296.460049111509,14498.652218884143,0.0,295.4868726058468,295.47466565401237,295.01644365401864,296.02588495754014,14478.856757686492,0.0,293.91584084929144,293.92375750875107,293.2794660384701,294.60526688717226,14401.876201615281,0.0,293.86783720525835,293.84769923149736,293.36386226299123,294.44110596695424,14399.524023057658,0.0,293.7110663045148,293.70752180947204,293.3215079535777,294.22358003237184,14391.842248921223,0.0,294.52860351779026,294.5367253328308,294.1111603926743,294.9777119757708,14431.901572371722,0.0,294.6388451196774,294.62589151540965,294.21697871788626,295.1478801536992,14437.303410864191,0.0,295.09655644868394,295.06764181619684,294.6932612651785,295.6167060197625,14459.731265985514,0.0,295.0785692323152,295.09378095893936,294.6798355821041,295.52547880040896,14458.849892383438,0.0
GAB.2.3_1,6.0,294.3403380064358,294.38541984518923,293.6523221536109,295.0196089876155,13245.31521028961,0.0,294.72321251175066,294.77942774422456,294.03918536113775,295.3093908200367,13262.544563028785,0.0,294.9871262761793,295.0569578318972,294.24686100795935,295.62558176612237,13274.420682428072,0.0,295.2448384416954,295.3066068984991,294.49433366533736,295.89112755609636,13286.017729876292,0.0,294.9899131899341,294.99624800978955,294.32098784040136,295.71529596152567,13274.546093547036,0.0,292.5921936739741,292.5487825411813,291.7919439660417,293.6734322426942,13166.648715328833,0.0,292.769192372902,292.70269616882837,292.0773209713018,293.7566295990172,13174.613656780592,0.0,292.74044052895727,292.6949477573213,292.10885011251287,293.62503554417634,13173.319823803078,0.0,293.72716639663025,293.6610157974669,293.1791638776207,294.5080839360822,13217.72248784836,0.0,294.1255246717684,294.15794572907816,293.4619111539732,294.73253125733504,13235.648610229578,0.0,294.4131668300144,294.4023540348793,293.7719154775972,295.1281475599633,13248.592507350648,0.0,294.54781326840117,294.5955725446786,293.8528487495472,295.1858237215264,13254.651597078057,0.0
GAB.2.4_1,7.0,295.1739674130147,295.22570382650963,294.3592006912881,295.7593884998239,12397.306631346617,0.0,295.49976017285144,295.51635551284863,294.74837734594104,296.13411385893545,12410.989927259761,0.0,295.7428145918774,295.80992394489465,294.87396348544337,296.3297655190775,12421.19821285885,0.0,296.06779627575764,296.1055072314986,295.1851488867406,296.70606417816447,12434.84744358182,0.0,295.76307172390875,295.78930968668664,294.75325383206126,296.4440606417074,12422.049012404168,0.0,293.74287118277795,293.8307438161711,291.79302591431684,294.93983508616964,12337.200589676673,0.0,293.7569871127937,293.862239065536,292.0908499650712,294.76541413658475,12337.793458737337,0.0,293.66293869737035,293.7825970670379,292.2152332255753,294.47759672585187,12333.843425289555,0.0,294.55773033139803,294.6235254932471,293.38286025040884,295.30471959667483,12371.424673918717,0.0,294.8021533577036,294.8325421380282,293.972332505034,295.44952480105565,12381.69044102355,0.0,295.27641970215285,295.3514324433452,294.3096572364323,295.9280307801832,12401.609627490418,0.0,295.32871393836524,295.379964166998,294.4892876103424,295.914305588977,12403.80598541134,0.0
GAB.2.5_1,8.0,294.6082064356432,294.61973677329416,294.24200791388444,295.1861305923053,12962.761083168301,0.0,294.891567392332,294.87086613136256,294.57138787137137,295.50862515143996,12975.228965262608,0.0,295.0944952263244,295.08292241982406,294.7008480995612,295.76010861875824,12984.157789958272,0.0,295.4123581006914,295.4041856918049,295.00285123157414,296.05475282285335,12998.14375643042,0.0,295.002659646853,295.00159923095475,294.575456066287,295.71040456392444,12980.117024461533,0.0,293.05118750233817,293.1381569771187,291.7694897755144,293.95736350734444,12894.252250102882,0.0,293.1597833431475,293.2538269903734,292.03770127586034,293.8957806568228,12899.030467098488,0.0,293.17167931128984,293.25960942602563,292.1748680076812,293.7662490889841,12899.55388969675,0.0,294.0400684253137,294.08663703121624,293.30360293111863,294.6086217006096,12937.763010713803,0.0,294.205313220751,294.222306438562,293.7753827543624,294.79050972379866,12945.033781713044,0.0,294.6641932989755,294.6690814788755,294.1622230115625,295.33374317765,12965.224505154922,0.0,294.68268607523936,294.67223611985787,294.3294982528492,295.3267298091726,12966.038187310527,0.0
GAB.2.6_1,9.0,295.2403241046246,295.33896906526286,294.57956536606633,295.70975305576,22438.26463195147,0.0,295.6837112092488,295.7406354713946,295.12858373818614,296.16082238488593,22471.96205190291,0.0,295.88713573019487,295.97062429872017,295.3234392548772,296.33869044787986,22487.42231549481,0.0,296.22505963949567,296.2941908890688,295.533910649947,296.76927470611537,22513.10453260167,0.0,295.9592828927005,296.0119758739416,295.40615312835627,296.44565402346353,22492.905499845238,0.0,294.4131253397155,294.48626569257567,293.86555503939604,294.91541602163085,22375.39752581838,0.0,294.2139730390759,294.25903358654546,293.6976024569969,294.7096792150689,22360.261950969765,0.0,293.89372688265723,293.9918601149496,293.26296797128515,294.4018421209864,22335.923243081947,0.0,294.79856423936667,294.8981041351418,294.2292105315658,295.2446419021232,22404.69088219187,0.0,294.9645612341454,295.0378446504633,294.378391279178,295.4090576398233,22417.306653795047,0.0,295.39646498283133,295.4832376848376,294.82496402532087,295.9092232988959,22450.131338695177,0.0,295.3447551418035,295.4245615581596,294.77554642692667,295.76395238978785,22446.20139077707,0.0
GAB.3.1_1,10.0,295.4401039650564,295.4554685322928,294.0973647081537,296.694483374542,22453.447901344287,0.0,295.8076526780308,295.82013190720807,294.42777064640603,297.0830027825764,22481.381603530343,0.0,296.04211147395716,296.05596823491766,294.6365726550758,297.25774133634263,22499.20047202074,0.0,296.34755275142527,296.3554664131811,294.9009727150783,297.6245343371134,22522.41400910832,0.0,296.1557681089418,296.1644885542016,294.77703201166094,297.32700687609895,22507.838376279586,0.0,294.29759963479944,294.3601934948693,293.0653835138564,295.19202262151737,22366.617572244762,0.0,293.9480314727378,294.0280896209877,292.7692122607454,294.82191876027736,22340.05039192808,0.0,293.4556137867358,293.53680654756636,292.35838638380426,294.28325624721384,22302.626647791923,0.0,294.8305922722584,294.9164092790176,293.57965170639784,295.77447834765496,22407.125012691642,0.0,295.1636399807335,295.1986880387032,293.93800768232484,296.2450488938629,22432.436638535743,0.0,295.64260343503474,295.6472004910795,294.38711051316767,296.7840314048863,22468.837861062642,0.0,295.59162698639966,295.6187149181337,294.2514989044499,296.7213868748832,22464.963650966376,0.0
