GID_2,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
GAB.1.1_1,1.0,98596.66163465656,99874.38722019033,94280.60951834085,100827.33908811564,7296152.9609645875,0.0,98502.95875445493,99777.94405333813,94198.52852810107,100727.30958732383,7289218.947829664,0.0,98512.20989535627,99786.3620291423,94212.09325267683,100734.81466029877,7289903.532256364,0.0,98458.10286187717,99729.8036067535,94166.97320029757,100676.131014986,7285899.61177891,0.0,98520.08842032844,99795.59062814456,94215.89365954233,100744.28328276641,7290486.543104304,0.0,98779.51050130195,100062.99091375682,94438.96557171234,101023.73515371668,7309683.777096344,0.0,98764.58909222578,100049.88730347935,94417.81566514898,101012.30298175632,7308579.592824708,0.0,98861.74581233122,100149.7833575368,94504.90497742077,101113.00012859752,7315769.190112513,0.0,98703.95140753746,99986.5564812901,94366.55433521363,100946.12044815086,7304092.404157773,0.0,98536.936002597,99816.12376545617,94213.71244889818,100773.56870889117,7291733.264192178,0.0,98463.4313331556,99739.40069831764,94153.53681430707,100692.92860176,7286293.918653515,0.0,98507.7040644136,99785.6122155739,94194.7260463142,100736.82378312916,7289570.100766608,0.0
GAB.1.2_1,2.0,100596.89358900044,100639.7112002252,99687.24082326527,101180.3558070149,4526860.211505019,2.1739130434782608,100497.05689547314,100539.69105748515,99591.53901824284,101078.53594584447,4522367.5602962915,2.1739130434782608,100504.77414297855,100547.81193746113,99598.45247949193,101086.55245367457,4522714.8364340365,2.1739130434782608,100446.20365753387,100488.42752315415,99542.04788684924,101026.13053587584,4520079.164589025,2.1739130434782608,100515.12149337443,100557.27877050216,99608.49176600511,101096.11018396054,4523180.46720185,2.1739130434782608,100796.19345389273,100837.89478767883,99885.81781330396,101379.83035571873,4535828.705425172,2.1739130434782608,100784.13396278844,100823.58681469868,99870.72566608863,101372.18410050355,4535286.02832548,2.1739130434782608,100884.33883797268,100924.24752365037,99969.53839010179,101472.21336687267,4539795.24770877,2.1739130434782608,100717.34242753,100757.23309470662,99803.72649082453,101305.25327655119,4532280.40923885,2.1739130434782608,100541.8401541334,100583.48802279966,99629.206987966,101127.14934427684,4524382.806936003,2.1739130434782608,100462.4817923046,100504.76490606557,99554.17227535463,101045.91235846431,4520811.680653707,2.1739130434782608,100506.67782977178,100549.72910994756,99598.46738576527,101089.67827893863,4522800.50233973,2.1739130434782608
GAB.1.3_1,3.0,98463.4211509694,99607.12153350581,94064.11134281404,100691.57796058481,3643146.582585868,2.631578947368421,98370.20338359255,99511.17734256457,93983.32186284932,100591.76300944356,3639697.525192925,2.631578947368421,98378.94481996061,99519.43704165972,93993.40698165746,100599.8901551302,3640020.958338542,2.631578947368421,98324.06501340805,99461.78475329584,93947.63132557562,100540.60848695293,3637990.4054960967,2.631578947368421,98385.61916323133,99527.00731503835,93996.01073854473,100608.64246586963,3640267.90903956,2.631578947368421,98645.80586671598,99793.95782568636,94220.8004819095,100886.54677360583,3649894.817068491,2.631578947368421,98634.44611755939,99785.27240232044,94201.38943564707,100881.4583732873,3649474.5063496977,2.631578947368421,98730.867561909,99884.2326907098,94288.42903916493,100981.46208876783,3653042.099790633,2.631578947368421,98574.88346177417,99724.359206209,94151.27160777069,100816.46243528512,3647270.6880856436,2.631578947368421,98405.10755722904,99551.74760396256,93996.00443558244,100639.58318031946,3640988.9796174746,2.631578947368421,98329.2001535568,99472.66365661152,93933.37719874953,100557.20846373127,3638180.4056816017,2.631578947368421,98373.21014619904,99516.53803286645,93976.4481012184,100600.93049340574,3639808.775409365,2.631578947368421
GAB.2.1_1,4.0,95993.25864113313,95867.71315433763,94190.0693815306,97346.98441448492,1823871.914181529,0.0,95908.1645381576,95782.9066857537,94109.53440263144,97258.36273688712,1822255.1262249944,0.0,95919.30839706816,95794.15965670439,94121.88946902318,97270.11013741596,1822466.859544295,0.0,95877.3781493165,95751.7283816218,94080.15164514905,97226.6310790956,1821670.184837013,0.0,95929.13799473783,95804.07134074654,94128.68111443556,97281.02043869068,1822653.621900019,0.0,96141.73733507404,96016.22255846184,94336.9869771675,97498.45516838136,1826693.0093664064,0.0,96126.27684181492,96000.77806757348,94316.87264537413,97485.94135511132,1826399.259994484,0.0,96209.75365186666,96083.92501959813,94397.59349808528,97570.72373945064,1827985.3193854662,0.0,96067.27957694283,95942.4558040556,94261.75675879988,97425.028361825,1825278.311961914,0.0,95926.67386416807,95800.77889638176,94118.26526598117,97285.73677830774,1822606.8034191937,0.0,95873.85226509588,95748.50059126076,94070.87326847216,97228.33761147792,1821603.193036822,0.0,95915.47240865098,95790.17739328313,94112.23171565947,97268.42883469274,1822393.9757643687,0.0
GAB.2.2_1,5.0,95612.02638735145,95537.5036823969,94915.255034562,96475.15320288924,4684989.292980221,0.0,95528.21773510703,95455.39002517592,94832.62450853725,96387.93238257583,4680882.669020245,0.0,95539.989929497,95467.81004844226,94844.48762546742,96399.09234490935,4681459.506545353,0.0,95499.37475226943,95428.85273204802,94803.47554540084,96356.674129935,4679469.362861201,0.0,95550.47938491267,95481.92488278149,94852.55378405053,96408.04201727961,4681973.489860722,0.0,95757.30627005122,95684.73816935527,95057.7776475309,96619.90966096328,4692108.007232511,0.0,95742.02048976156,95667.53386096835,95041.47122595547,96607.7007981199,4691359.003998316,0.0,95824.81096298897,95751.47069736957,95123.46773002604,96691.87619775294,4695415.737186459,0.0,95685.39871651288,95614.13502201776,94985.19443321461,96547.67297883453,4688584.53710913,0.0,95551.41314533241,95485.02077977206,94849.37582858422,96411.62429264236,4682019.244121287,0.0,95496.33303128472,95427.70623118084,94797.5361783166,96354.96007376249,4679320.31853295,0.0,95535.32843568672,95464.30063229628,94837.87156129313,96396.38240623428,4681231.093348648,0.0
GAB.2.3_1,6.0,94622.19002101992,94654.31449059381,93165.98340396008,96009.45039645232,4257998.550945897,0.0,94541.29831877924,94572.9131924728,93089.48906877077,95924.95144885087,4254358.424345065,0.0,94553.3666032443,94585.77023661158,93101.59587599443,95936.20441980158,4254901.497145994,0.0,94510.80303233076,94541.44231175656,93061.02802930318,95893.69319621004,4252986.136454884,0.0,94558.93471566583,94588.59661297893,93106.05194814963,95944.75150200854,4255152.0622049635,0.0,94765.39944644213,94797.37821307137,93310.5125530771,96155.50722234203,4264442.975089895,0.0,94747.84853221939,94779.69447019664,93288.99621093232,96140.84715126552,4263653.183949873,0.0,94830.95885990467,94862.81339529493,93369.16960869466,96225.72998799494,4267393.148695711,0.0,94690.84350957519,94720.74709412506,93234.93546342806,96081.68666419014,4261087.957930883,0.0,94548.6038684843,94577.13649370596,93090.71490231669,95940.99956289656,4254687.174081793,0.0,94500.61701511119,94530.99460729842,93046.36890512666,95888.85710538305,4252527.765680004,0.0,94544.33606378378,94575.63599451336,93088.40261823806,95932.37483083314,4254495.122870268,0.0
GAB.2.4_1,7.0,96149.1204724464,96273.04380782336,94264.89431533446,97332.29571119156,4038263.0598427486,0.0,96062.97695735742,96186.28921674992,94183.6200076476,97242.65991782608,4034645.0322090117,0.0,96073.95219746424,96196.39245923453,94195.91007087204,97253.76017897553,4035105.992293498,0.0,96031.68301115886,96155.08446027637,94152.23689757145,97211.25990725351,4033330.686468673,0.0,96082.60705168023,96206.16727948027,94197.76728889057,97265.61641123996,4035469.49617057,0.0,96292.67606360377,96414.65563134626,94402.07630473256,97481.81430900538,4044292.39467136,0.0,96279.41445601368,96402.65027638296,94385.06811498107,97470.39354322586,4043735.4071525736,0.0,96363.74955415938,96487.64656239287,94465.99292416468,97555.25026215914,4047277.4812746937,0.0,96219.77450877766,96343.22542785392,94327.46169890463,97408.60046163668,4041230.529368662,0.0,96081.78779068886,96205.9966843282,94188.02108962684,97270.27325671435,4035435.087208932,0.0,96028.38128062268,96152.11588089504,94142.3331624827,97212.86934894344,4033192.013786153,0.0,96070.94156179091,96194.66716123033,94186.0207370331,97253.18946508427,4034979.5455952175,0.0
GAB.2.5_1,8.0,94900.9655761772,94925.63576163712,93846.885644484,96115.51219657234,4175642.4853517963,0.0,94818.02300613704,94841.98294846943,93765.84487459256,96028.62726844024,4171993.01227003,0.0,94829.58117512957,94853.24052983633,93779.22539010386,96039.74348742088,4172501.571705701,0.0,94788.51251949543,94811.39773321156,93735.27657255225,95997.39504421822,4170694.5508578,0.0,94837.50774337152,94860.05457482667,93779.99298383256,96048.54560108279,4172850.340708347,0.0,95040.50489678113,95063.21334026284,93983.17162599806,96256.51262294744,4181782.21545837,0.0,95024.17623924963,95047.60114038967,93965.14270858027,96244.46058884881,4181063.754526984,0.0,95106.78171377146,95130.55814585494,94045.04849185346,96329.41466004688,4184698.395405944,0.0,94968.62823615725,94991.69363293877,93908.77698471284,96185.0699088312,4178619.64239092,0.0,94834.47834001364,94856.3298180578,93769.6172273368,96048.2642843744,4172717.0469606007,0.0,94783.21896544543,94805.9692342518,93725.44672118814,95995.15684215694,4170461.6344795995,0.0,94824.76143686287,94849.07741423944,93769.20827488533,96037.66806574848,4172289.503221968,0.0
GAB.2.6_1,9.0,96056.13427616784,96193.1735064606,94880.12414679267,97254.74266009538,7300266.204988757,0.0,95972.51832388608,96109.83732537656,94801.26963086886,97166.61369364057,7293911.3926153425,0.0,95985.83058849355,96122.48511072113,94815.05879060387,97179.10287433617,7294923.124725512,0.0,95944.14092189178,96082.13606115856,94773.55624656533,97135.49677402193,7291754.710063775,0.0,95998.27130318637,96136.25555155224,94827.82161535336,97190.82555695674,7295868.619042164,0.0,96207.20460053557,96344.2299362676,95034.45619556957,97404.79192576764,7311747.549640702,0.0,96191.55678101428,96328.4348660574,95015.17246032404,97393.51964882453,7310558.315357085,0.0,96274.55844673717,96411.65184836998,95096.07306481292,97477.86110307154,7316866.441952025,0.0,96135.019252734,96272.36611635947,94961.93704944279,97332.82281081805,7306261.463207784,0.0,96000.6749196785,96140.14838430096,94826.19568990527,97195.76067823275,7296051.293895566,0.0,95942.52932337443,96081.5805739892,94768.63864541167,97135.97095305637,7291632.228576456,0.0,95978.85563067037,96117.23479365856,94804.24385591068,97174.87180108613,7294393.027930948,0.0
GAB.3.1_1,10.0,97765.8464526167,97875.07785180028,94320.53601573648,100531.20271274787,7430204.330398869,0.0,97675.95874353117,97784.59151189486,94239.41515910694,100432.4002352868,7423372.864508367,0.0,97686.09099697898,97794.5865243682,94251.73385728199,100440.61512518508,7424142.915770402,0.0,97633.95053994084,97742.5848668307,94206.01311640932,100382.88962082227,7420180.241035505,0.0,97694.38736304065,97803.26716496967,94256.50088545086,100450.41612557176,7424773.439591087,0.0,97940.8415544213,98050.07710330961,94478.6598852557,100725.31073678096,7443503.958136017,0.0,97924.73224354663,98034.74811981943,94457.49476600588,100711.65352887586,7442279.650509545,0.0,98020.25883784877,98131.19261417584,94544.22850705296,100812.68035789572,7449539.671676506,0.0,97864.67800637287,97975.80962026284,94402.45303924226,100643.25634650936,7437715.528484339,0.0,97704.10751478103,97813.7732788424,94250.14568985373,100473.62618279307,7425512.1711233575,0.0,97636.6463651058,97744.62356143023,94195.85987532762,100396.1714583117,7420385.123748043,0.0,97681.00391268052,97789.24300326237,94238.51128083751,100441.91360946947,7423756.297363721,0.0
