GID_2,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
MLI.1.1_1,1.0,271.5737925167897,271.5737925167897,271.50016512880484,271.6474199047747,543.1475850335795,0.0,269.3326730107491,269.3326730107491,269.25566035456825,269.40968566693,538.6653460214982,0.0,276.31894881847245,276.31894881847245,276.2452946552628,276.392602981682,552.6378976369449,0.0,282.07921431789384,282.07921431789384,282.01575491395437,282.1426737218333,564.1584286357877,0.0,290.2456292471288,290.2456292471288,290.19701501951994,290.29424347473764,580.4912584942575,0.0,294.0520033742365,294.0520033742365,294.00952363434936,294.0944831141236,588.104006748473,0.0,295.95309995102787,295.95309995102787,295.916094301555,295.9901056005008,591.9061999020557,0.0,295.4643851941562,295.4643851941562,295.41835689649037,295.51041349182213,590.9287703883124,0.0,296.00310777918963,296.00310777918963,295.9612306134888,296.0449849448903,592.0062155583793,0.0,294.6701754388573,294.6701754388573,294.6640113306942,294.6763395470204,589.3403508777146,0.0,285.23898732645705,285.23898732645705,285.2211793917686,285.2567952611454,570.4779746529141,0.0,275.52372886655803,275.52372886655803,275.48410173233043,275.5633560007856,551.0474577331162,0.0
MLI.2.1_1,2.0,263.0531406053988,262.93540277479644,262.39687636702683,264.8586611928929,51295.362418052784,0.0,262.9298038131409,262.8814512332975,262.2657970702749,264.34913811608595,51271.31174356248,0.0,268.16523366804586,268.23669570724485,267.6806507791083,269.1907304464436,52292.220565268944,0.0,273.8650595221419,274.16723108049536,271.95952552466906,275.367430394363,53403.686606817675,0.0,281.592714765707,282.0567316084941,276.68222560193783,284.42015990162366,54910.57937931286,0.0,290.0783082390135,290.3579241495418,286.73929283721355,291.78718205357933,56565.270106607626,0.0,292.2649637028731,292.445238281864,290.26791473802706,293.39463431404613,56991.66792206025,0.0,295.2931396974604,295.36680128416043,294.42184898542916,295.5981678910365,57582.162241004764,0.0,290.30907687756246,290.7792816292892,285.87800766828383,292.38118783832107,56610.26999112469,0.0,286.08284693543584,286.3396688205242,282.2032306048922,288.4969803541825,55786.15515240999,0.0,273.8159358452234,273.9821739499025,272.8300871652037,275.1142205065562,53394.107489818576,0.0,267.0589865749804,266.94862329325827,266.504683470751,268.38499971722223,52076.50238212118,0.0
MLI.2.2_1,3.0,263.09448518720603,262.99716891112513,262.6723069668044,264.58803216166984,88399.74702290123,0.0,262.6706160309498,262.59107488813675,262.4116386306623,263.7631816354601,88257.32698639912,0.0,268.29310697512955,268.23331661029,267.73932409703417,269.32142640354715,90146.48394364351,0.0,271.63434626661734,271.5354941040227,270.40005548482657,273.7396285208725,91269.1403455834,0.0,273.78529446426984,273.6927016251126,271.8733735169601,277.02071390087485,91991.85893999466,0.0,282.41409613269394,282.3954977160098,279.2033576020806,286.1556740616276,94891.13630058516,0.0,289.4259159823867,289.4315466768617,287.4915729346232,291.40839358806596,97247.10777008193,0.0,293.8213253689649,293.96903728927964,291.85276445730995,295.2280500501482,98723.96532397221,0.0,284.2255335237825,284.22977991859335,280.9562027005227,287.7089074968014,95499.77926399092,0.0,280.7977865329079,280.8288495839239,278.77971074702043,282.95901948053915,94348.05627505702,0.0,272.25073288157057,272.19012181090847,271.4502649684673,273.7651299680893,91476.24624820774,0.0,267.0369429910072,266.9373830282535,266.7268756066084,268.301811371944,89724.41284497842,0.0
MLI.2.3_1,4.0,262.9359900803203,262.8757594709432,262.5668401840615,263.723100361442,62315.82964903593,0.0,262.58950960918116,262.52403440747526,262.36335805900313,263.14442013472956,62233.71377737594,0.0,268.0898002198466,268.018104383848,267.64610858716765,268.7538517183361,63537.282652103655,0.0,272.79131053176553,272.69443243428213,271.0577884230487,274.3397854789048,64651.540596028426,0.0,276.9217938436219,276.76912386519564,273.7492496168271,281.6580599162492,65630.4651409384,0.0,286.64775089627517,286.53611265118667,283.6996678145176,289.91663023307177,67935.51696241723,0.0,290.6412603540258,290.83218818534607,287.79772048837805,292.51407837498834,68881.97870390411,0.0,294.7856942735512,294.9670806031536,292.9021344105124,295.68355875562906,69864.20954283164,0.0,287.0400232003712,287.1556328082192,282.4915180840447,291.2042147136704,68028.48549848795,0.0,282.6319606239129,282.5194538645863,279.9845818196004,286.07917737208777,66983.77466786737,0.0,273.1243451782671,272.9603123519326,272.41938062433275,274.1381157162707,64730.469807249305,0.0,266.96515571386595,266.97208616302953,266.5814514876807,267.4542384889212,63270.74190418624,0.0
MLI.2.4_1,5.0,262.66503367965464,262.64928164690986,262.316762057363,263.89539255055786,169418.94672337724,0.0,262.72469243835064,262.69024349981555,262.3157381546204,263.8929963944168,169457.42662273615,0.0,267.981942212312,267.97354490832345,267.60163372400416,268.40413315309024,172848.35272694126,0.0,271.26872229374266,271.1131119282249,270.43201279675657,273.5297777712313,174968.32587946404,0.0,278.6840713867057,278.3285049629383,273.48845182386856,284.96038110139324,179751.2260444252,0.0,287.9356877834172,287.9351374142644,283.54751693732214,291.50255046679325,185718.51862030406,0.0,290.03410726132614,290.22106005317033,286.6504168542108,292.80887178285775,187071.9991835553,0.0,293.9898841532443,294.19577769838503,291.8383539667331,295.434671412659,189623.47527884247,0.0,286.0275787321028,285.7162547511054,281.5846674305032,291.1779721280173,184487.7882822064,0.0,283.24703867104597,282.9652120871866,279.5095575940554,287.4874083978106,182694.33994282465,0.0,272.9089477326934,272.8368960054997,272.14971583125083,274.06743642637645,176026.27128758727,0.0,267.0650784135888,267.0655208876041,266.5458252186223,267.62572428458583,172256.97557676482,0.0
MLI.3.1_1,6.0,271.25521700738756,270.7874069643467,268.86595288097647,279.9205391996013,42858.324287167234,0.0,268.6160553137153,268.1276233740702,265.95748782417303,278.9226722055861,42441.336739567014,0.0,274.968068219989,274.7497257849656,272.619306124015,283.5214013599034,43444.95477875826,0.0,279.77081473436067,279.6830383847858,276.6844254337769,288.3106901071105,44203.78872802899,0.0,283.4644374357926,283.65081821603906,279.8083973478427,290.62815180476264,44787.381114855234,0.0,290.0816103171163,290.5613614735145,285.5736353155326,294.550543113547,45832.89443010438,0.0,295.8619332646779,295.91118217139365,295.08579188661287,296.7778178669413,46746.185455819104,0.0,295.64095197499296,295.69772241378087,295.03978865673014,296.36234638265074,46711.2704120489,0.0,296.7492376777742,296.7594732847038,296.2325493215815,297.22492774971215,46886.37955308832,0.0,293.77425821665264,294.42265481317503,290.8018696358318,295.87926206603964,46416.332798231124,0.0,284.5783475684981,285.30250465222616,279.1423307216708,290.6246423094525,44963.37891582269,0.0,274.62345582800776,274.1485070658477,271.5722753929007,283.3816011774813,43390.506020825225,0.0
MLI.3.2_1,7.0,269.50162825069543,269.56088675879624,268.15672173424826,270.5204444133075,26680.661196818844,0.0,266.1040141793042,266.16209363752915,265.23684151967115,266.647291581041,26344.29740375112,0.0,272.98648586042185,273.0126655260978,272.1582727129146,273.6748269822271,27025.66210018176,0.0,276.8321813938579,276.85131256420425,276.09614711381715,277.36430981272207,27406.385957991934,0.0,280.4016173403155,280.3808348386885,278.9621189057913,281.5080742823552,27759.760116691235,0.0,286.30992977992463,286.3328953096481,283.8131528710307,288.4798974414889,28344.68304821254,0.0,295.63953840586464,295.64413729869426,294.9983075424969,296.14163701985785,29268.314302180584,0.0,295.51858584162534,295.49743859747537,295.1568576278805,295.87451425265425,29256.339998320916,0.0,296.3489958708832,296.3719353307586,295.67881968466185,296.760477310363,29338.550591217427,0.0,290.21610168695327,290.2674476185681,288.44675920722597,291.48410784744163,28731.39406700837,0.0,279.06883282156457,279.1439929184332,277.2427267337017,280.52560238835946,27627.81444933489,0.0,272.4355940669562,272.4364462563637,271.68167347421956,273.1985981033509,26971.123812628663,0.0
MLI.3.3_1,8.0,269.12494092898515,269.14911933370394,266.7588862645813,272.14925530543843,48711.614308146316,0.0,266.4499272968577,266.3610343124711,264.4647124017095,268.96150849887744,48227.43684073124,0.0,272.95871002623613,272.89727433790864,271.7755593802684,274.5875168584662,49405.52651474874,0.0,277.7677800736409,277.5935968879482,276.2058744546365,280.1163802089624,50275.96819332901,0.0,280.73442895517644,280.8391961207003,277.347995896197,284.04736565215865,50812.93164088693,0.0,286.5780254281223,286.7020680882295,282.21438349112486,290.32938524682237,51870.622602490126,0.0,295.2212371360898,295.35583873432597,293.46491022896464,295.97130001762537,53435.043921632256,0.0,295.27346077971237,295.31286216519464,294.4029951366546,295.73329857670683,53444.49640112794,0.0,296.95969625180834,297.01750422295794,296.0161520861819,297.3832717488644,53749.705021577305,0.0,291.7560216588253,291.66353475777237,288.42959790003624,294.86760266666823,52807.83992024738,0.0,281.6695750966032,281.74690512757917,277.3811008241147,286.58652909741716,50982.193092485184,0.0,272.5108104147329,272.60161663120675,270.35547897819526,274.9451960486456,49324.45668506665,0.0
MLI.3.4_1,9.0,274.0092939654679,273.87329829538123,271.4519162515638,277.5831734297105,32881.11527585615,0.0,271.80511167715093,271.9857555954208,268.20023507864136,276.1520803044266,32616.61340125811,0.0,276.90173114353195,277.3078319831116,274.32688171294706,279.8365771058447,33228.207737223835,0.0,282.5516597121811,282.7714874032463,280.12143776080313,285.29372652765596,33906.19916546173,0.0,286.7050345153985,287.02642850615575,283.9153001476075,289.99581922657813,34404.604141847834,0.0,292.55249958514116,292.7871910493056,290.3783558477132,294.06844486367146,35106.29995021694,0.0,295.8294639833415,295.8671835914392,294.89986001495635,296.4724822745925,35499.53567800098,0.0,295.588365874432,295.6732058557725,294.6266960539466,296.3028564689568,35470.603904931835,0.0,296.22866844687263,296.27514559450333,295.0605957925096,297.0467581844436,35547.440213624715,0.0,295.05777604146334,295.05676996988007,294.19609257377283,295.9000585057638,35406.93312497561,0.0,288.42895928266915,288.4163363536518,286.3074630455098,290.41665724014206,34611.4751139203,0.0,277.7414904228503,278.0850946162108,274.89337349834204,280.08169279009127,33328.97885074203,0.0
MLI.3.5_1,10.0,270.85123743314125,270.1823066002002,268.90333923095943,275.1884932437128,77734.30514331152,0.0,268.7548414267326,268.15935211805146,266.07975663366125,274.2799239412668,77132.63948947225,0.0,275.523833250684,275.3439619965027,273.2514315324845,278.9192329070141,79075.34014294631,0.0,280.3338278668246,280.13671413937146,277.1943549252343,284.58668587846375,80455.80859777867,0.0,285.25109598396364,285.29323701666345,281.0647233443196,289.6666867700799,81867.06454739756,0.0,291.45671213088656,291.76485698144694,287.5382470241022,293.85719690861646,83648.07638156445,0.0,295.96449244843944,295.984912907359,295.21794280988263,296.4788770267528,84941.80933270213,0.0,295.5613217088986,295.6067278512912,294.63366974095936,296.100389371435,84826.0993304539,0.0,296.3069762862578,296.3541454819532,295.10554423836294,296.97224589840647,85040.10219415599,0.0,293.8755161402973,294.2458055477927,291.11109404035716,295.58459155453977,84342.27313226534,0.0,284.9354948837536,284.9252441953147,280.28002920739226,288.91283680884317,81776.48703163727,0.0,275.0169520134573,274.6069390108758,271.7492073395612,279.44039375079325,78929.86522786226,0.0
MLI.3.6_1,11.0,268.30446350112743,268.2288478717305,266.8230311101634,269.48683756002816,22805.87939759583,0.0,265.2202321042417,265.23407297793227,264.1151494834833,266.3514349694342,22543.719728860542,0.0,272.4589955431448,272.41999237232017,271.846620324909,273.10729089126016,23159.014621167305,0.0,276.30074325914336,276.2770675226925,275.56401501388564,277.18331097050424,23485.563177027187,0.0,278.9255036383923,278.88781488561995,277.9227872115804,280.026503633611,23708.66780926333,0.0,283.90180426340197,283.90879354925244,282.0421038225595,285.8584799675672,24131.65336238917,0.0,294.98971604826335,295.0055416459087,294.3917301871745,295.52533855944785,25074.125864102378,0.0,295.1639160534697,295.1429636522211,294.84633650629064,295.54505943169517,25088.932864544917,0.0,295.881529002095,295.85880671720724,295.1320545035291,296.81280677050154,25149.929965178075,0.0,289.01765304438715,289.00756507732865,286.8958693693109,291.2172268227603,24566.5005087729,0.0,277.6304429065517,277.571083536494,276.20976165963083,279.78947121586856,23598.58764705689,0.0,271.9644099071148,271.9824179143183,270.849917303239,272.8098323576752,23116.974842104766,0.0
MLI.3.7_1,12.0,267.86909704709666,267.78261023947954,267.2141941616566,268.9361884448373,12054.109367119348,0.0,265.1327720895702,265.1320502939674,264.45093948697985,266.2742209371388,11930.97474403066,0.0,272.2979514787231,272.3158927691788,271.92219619659795,272.7758509714756,12253.407816542542,0.0,276.6540315915619,276.6619783446445,276.1586519163874,277.31974173480455,12449.431421620286,0.0,278.6139894659778,278.5770404850025,277.74130682501067,280.14818478479253,12537.629525969,0.0,283.84351514627224,283.78718210498437,282.51562623531083,286.03994524202056,12772.958181582251,0.0,294.96756105394763,294.9809112373641,294.4979257014809,295.4314155002887,13273.540247427642,0.0,295.14787317797436,295.14527520653905,294.79439053621553,295.46046774575376,13281.654293008845,0.0,296.4888437592645,296.54039011191287,295.74729516594016,297.08817180113215,13341.9979691669,0.0,289.8015781562923,289.8786581776361,288.55737715394383,291.45207274479014,13041.07101703315,0.0,277.82545051884483,277.6794878509544,276.70868002889483,280.14426062634135,12502.145273348018,0.0,271.5134447653217,271.5057805494828,270.85693501399913,272.2270508722735,12218.10501443948,0.0
MLI.4.1_1,13.0,262.55888107679067,262.4502414633811,262.0769286535291,263.48584235746245,51986.65845320457,0.0,262.3675541644603,262.28271909790783,261.9846347402189,262.9317336208185,51948.77572456314,0.0,267.8184028251341,267.8073058252856,267.36735508203805,268.568346318059,53028.04375937653,0.0,270.0339024714112,269.9766202916436,269.4744083517526,270.562926457319,53466.712689339416,0.0,270.8905896992684,270.80614965598284,270.09971535233524,271.8420677884173,53636.336760455146,0.0,278.370777037778,278.34695409320483,276.5852006482708,280.37594379255023,55117.41385348005,0.0,283.78383571809064,283.6916701113259,282.1040162743522,285.60255936241725,56189.199472181936,0.0,288.3365620994247,288.2379092644738,286.52156026996124,290.56977238747413,57090.63929568607,0.0,278.4594794643777,278.391341043235,277.4253813248265,279.75512665264785,55134.97693394679,0.0,277.5361522987104,277.5026930538917,276.75906014705294,278.46965997374167,54952.15815514466,0.0,271.1227785677981,271.09930288392536,270.491459468531,271.8255191471406,53682.31015642404,0.0,267.05791126886214,266.9743801066302,266.65858329700205,267.6894967884129,52877.46643123469,0.0
