GID_2,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
MLI.1.1_1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI.2.1_1,2.0,-7.373718443200792e-05,-5.199258251891727e-05,-0.0003295487305213419,-2.5892623467866397e-05,-0.012092898246849296,6.8181818181818175,-8.254315312756189e-05,-5.571055972823805e-05,-0.0004055387010833588,-2.350165358224389e-05,-0.013537077112920149,6.8181818181818175,-9.615448605877122e-05,-7.421706424340184e-05,-0.0003968640326675076,-2.599596095295879e-05,-0.01576933571363848,6.8181818181818175,-0.0001347560887529015,-9.651305111628593e-05,-0.0005083083048624509,-6.680507916656319e-05,-0.02209999855547584,6.8181818181818175,-0.00018973781890681293,-0.0001511671331893037,-0.0006105738904046878,-8.560994651213691e-05,-0.03111700230071732,6.8181818181818175,-0.0004406623357738656,-0.00043925680230750386,-0.0008656652827652815,-0.00012732185804417842,-0.07226862306691395,6.8181818181818175,-0.0008342767481286808,-0.0007988932209289975,-0.0012848565318043547,-0.0005404350882020671,-0.13682138669310365,6.8181818181818175,-0.0023011188433791968,-0.0023364304062084337,-0.002699391663174809,-0.0016165489668725696,-0.3773834903141883,6.8181818181818175,-0.0014224619885893964,-0.0013240420271629176,-0.002478113595649867,-0.0007722727145391624,-0.23328376612866106,6.8181818181818175,-0.000340675285471319,-0.0002812258721349417,-0.0007580442889283504,-0.00017950557075036277,-0.05587074681729631,6.8181818181818175,-0.00015637755062848242,-0.00011949361607964092,-0.0004639102378560536,-7.895972588101865e-05,-0.02564591830307112,6.8181818181818175,-0.00010921138106288824,-7.658409127728198e-05,-0.0004298632228042306,-5.205096096097185e-05,-0.017910666494313672,6.8181818181818175
MLI.2.2_1,3.0,-3.190280015510763e-05,-3.1398653151475816e-05,-3.9066071897837796e-05,-2.616823134258655e-05,-0.002743640813339256,27.118644067796605,-3.580925033891466e-05,-3.5412744674765624e-05,-4.263257860459712e-05,-2.9508942090111346e-05,-0.003079595529146661,27.118644067796605,-5.225212997451623e-05,-5.15986318040223e-05,-5.9499042905202185e-05,-4.453246213203154e-05,-0.004493683177808396,27.118644067796605,-6.963222803767402e-05,-6.901653507003969e-05,-7.866898819198393e-05,-5.816881854472536e-05,-0.005988371611239966,27.118644067796605,-8.559052757337646e-05,-8.482623132368413e-05,-9.570817492922714e-05,-7.218520588459171e-05,-0.0073607853713103764,27.118644067796605,-0.00017855183930101236,-0.00016431543538616774,-0.00030999389475213507,-9.538388791668093e-05,-0.015355458179887062,27.118644067796605,-0.0004121294592019703,-0.0004121384083210028,-0.0005614785628539214,-0.00027984626392695564,-0.03544313349136945,27.118644067796605,-0.0015815813012746973,-0.001559850183590509,-0.002029660572813858,-0.0011216238686189174,-0.13601599190962396,27.118644067796605,-0.0004155051625870675,-0.0003914465032186662,-0.0008758272912312925,-8.803138918989228e-05,-0.0357334439824878,27.118644067796605,-8.120822311694994e-05,-6.96206413130316e-05,-0.00013595392140302822,-5.691948798150989e-05,-0.006983907188057695,27.118644067796605,-5.1992459492628665e-05,-5.092976755882306e-05,-6.724732308383916e-05,-4.1453809830654106e-05,-0.0044713515163660655,27.118644067796605,-3.7280549717310086e-05,-3.687981833428043e-05,-4.652004991125113e-05,-3.037708470326025e-05,-0.003206127275688668,27.118644067796605
MLI.2.3_1,4.0,-5.0639602021956986e-05,-4.166070850022394e-05,-0.00036590002920566567,-3.040892843193462e-05,-0.008304894731600947,11.351351351351347,-5.696688732361705e-05,-4.443579893692152e-05,-0.0004523961537059348,-3.4814682571699516e-05,-0.009342569521073195,11.351351351351347,-7.184913452003894e-05,-5.8693241689842356e-05,-0.00044570881433773153,-5.015068597401978e-05,-0.011783258061286387,11.351351351351347,-9.68650358414124e-05,-7.43035643859505e-05,-0.000576105073934466,-6.688186300968312e-05,-0.015885865877991637,11.351351351351347,-0.00012578843276382648,-9.11253548056576e-05,-0.0006512286381361365,-8.127138845051701e-05,-0.020629302973267545,11.351351351351347,-0.00022691969563846983,-0.00019991482868079408,-0.000786693875541974,-0.00010530633179809618,-0.03721483008470905,11.351351351351347,-0.0005208459486856945,-0.0005010474934275123,-0.0010381256800170394,-0.0002676931010591292,-0.0854187355844539,11.351351351351347,-0.001891268176717153,-0.0017836298911110028,-0.002794832458308283,-0.0014510996004383268,-0.31016798098161313,11.351351351351347,-0.0008891315406642002,-0.0008814391404541105,-0.0017721126127396704,-0.000369472164772587,-0.1458175726689288,11.351351351351347,-0.0002229146804112996,-0.0002164200311474189,-0.0006716055860581519,-7.617744496843243e-05,-0.03655800758745314,11.351351351351347,-8.916150485672605e-05,-8.003893915138296e-05,-0.00047871486784358436,-5.0501515661071396e-05,-0.014622486796503072,11.351351351351347,-6.499813147138816e-05,-5.394864230722718e-05,-0.0004739825007093629,-3.612647915934264e-05,-0.010659693561307658,11.351351351351347
MLI.2.4_1,5.0,-3.446957413460314e-05,-3.088504925671031e-05,-8.209876019234748e-05,-1.2746065585627374e-05,-0.021267727241050145,0.0,-3.876984514616597e-05,-3.551263389235837e-05,-8.996663729824358e-05,-1.4772493864030414e-05,-0.0239209944551844,0.0,-5.600551881629533e-05,-5.3075689151986436e-05,-0.000110257036058158,-2.174613144024297e-05,-0.034555405109654214,0.0,-7.334938714573033e-05,-7.108220062422342e-05,-0.0001332267002428495,-2.8908814997070507e-05,-0.045256571868915615,0.0,-0.00010667690758879903,-9.106664403225373e-05,-0.0002228248795122313,-7.40600827461909e-05,-0.065819651982289,0.0,-0.0002259363998768124,-0.00016971843671152338,-0.0005627437721148384,-7.618282040904644e-05,-0.13940275872399324,0.0,-0.00041040253058526846,-0.00042423194653245497,-0.0009188669939251935,-0.00010460889034954633,-0.25321836137111065,0.0,-0.00164314280998379,-0.0015900163513599664,-0.0025368271920403664,-0.0011811977905778418,-1.0138191137599983,0.0,-0.0007670643901001519,-0.0006717271983494963,-0.0021761919792766967,-0.00015079931916813118,-0.4732787286917937,0.0,-0.0002097688039936652,-0.00017080233043836968,-0.0005743212076445397,-6.030505988559814e-05,-0.12942735206409142,0.0,-8.068760009004518e-05,-7.457701603079288e-05,-0.0002462105087792228,-4.563027505965344e-05,-0.04978424925555788,0.0,-5.110972407895352e-05,-4.644573248735172e-05,-0.0001318469861912435,-2.1789201030907752e-05,-0.031534699756714316,0.0
MLI.3.1_1,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI.3.2_1,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI.3.3_1,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI.3.4_1,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI.3.5_1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
