GID_2,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
MLI.1.1_1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI.2.1_1,2.0,0.0,0.0,0.0,0.0,0.0,6.8181818181818175,0.0,0.0,0.0,0.0,0.0,6.8181818181818175,0.0,0.0,0.0,0.0,0.0,6.8181818181818175,0.0,0.0,0.0,0.0,0.0,6.8181818181818175,0.0,0.0,0.0,0.0,0.0,6.8181818181818175,0.0,0.0,0.0,0.0,0.0,6.8181818181818175,0.0,0.0,0.0,0.0,0.0,6.8181818181818175,0.0,0.0,0.0,0.0,0.0,6.8181818181818175,0.0,0.0,0.0,0.0,0.0,6.8181818181818175,0.0,0.0,0.0,0.0,0.0,6.8181818181818175,0.0,0.0,0.0,0.0,0.0,6.8181818181818175,0.0,0.0,0.0,0.0,0.0,6.8181818181818175
MLI.2.2_1,3.0,0.0,0.0,0.0,0.0,0.0,27.118644067796605,0.0,0.0,0.0,0.0,0.0,27.118644067796605,0.0,0.0,0.0,0.0,0.0,27.118644067796605,0.0,0.0,0.0,0.0,0.0,27.118644067796605,0.0,0.0,0.0,0.0,0.0,27.118644067796605,0.0,0.0,0.0,0.0,0.0,27.118644067796605,0.0,0.0,0.0,0.0,0.0,27.118644067796605,0.0,0.0,0.0,0.0,0.0,27.118644067796605,0.0,0.0,0.0,0.0,0.0,27.118644067796605,0.0,0.0,0.0,0.0,0.0,27.118644067796605,0.0,0.0,0.0,0.0,0.0,27.118644067796605,0.0,0.0,0.0,0.0,0.0,27.118644067796605
MLI.2.3_1,4.0,0.0,0.0,0.0,0.0,0.0,11.351351351351347,0.0,0.0,0.0,0.0,0.0,11.351351351351347,0.0,0.0,0.0,0.0,0.0,11.351351351351347,0.0,0.0,0.0,0.0,0.0,11.351351351351347,0.0,0.0,0.0,0.0,0.0,11.351351351351347,0.0,0.0,0.0,0.0,0.0,11.351351351351347,0.0,0.0,0.0,0.0,0.0,11.351351351351347,0.0,0.0,0.0,0.0,0.0,11.351351351351347,0.0,0.0,0.0,0.0,0.0,11.351351351351347,0.0,0.0,0.0,0.0,0.0,11.351351351351347,0.0,0.0,0.0,0.0,0.0,11.351351351351347,0.0,0.0,0.0,0.0,0.0,11.351351351351347
MLI.2.4_1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLI.3.1_1,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI.3.2_1,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI.3.3_1,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI.3.4_1,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI.3.5_1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
