GID_2,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
MLI.1.1_1,1.0,1.4717862782668218e-08,1.4717862782668218e-08,1.4703109656438035e-08,1.4732615908898404e-08,2.9435725565336435e-08,0.0,2.940621931287607e-08,2.940621931287607e-08,2.940621931287607e-08,2.940621931287607e-08,5.881243862575214e-08,0.0,1.981542811507771e-06,1.981542811507771e-06,1.901239129514885e-06,2.061846493500656e-06,3.963085623015542e-06,0.0,3.442182028548545e-06,3.442182028548545e-06,3.0090113883254022e-06,3.875352668771687e-06,6.88436405709709e-06,0.0,1.1681560072281774e-05,1.1681560072281774e-05,1.136106219806324e-05,1.2002057946500313e-05,2.3363120144563548e-05,0.0,3.046525187423581e-05,3.046525187423581e-05,2.9187005274874847e-05,3.1743498473596775e-05,6.093050374847162e-05,0.0,0.00012397007823794094,0.00012397007823794094,0.00011764465150123496,0.0001302955049746469,0.0002479401564758819,0.0,0.0001691307019715673,0.0001691307019715673,0.00016453242522229312,0.00017372897872084154,0.0003382614039431346,0.0,0.00011224933910145283,0.00011224933910145283,0.0001068219856536998,0.00011767669254920584,0.00022449867820290565,0.0,6.725004065562068e-05,6.725004065562068e-05,6.347488696903672e-05,7.102519434220465e-05,0.00013450008131124137,0.0,1.0392958778870302e-06,1.0392958778870302e-06,9.660041437066834e-07,1.1125876120673773e-06,2.0785917557740604e-06,0.0,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,2.940621931287607e-08,0.0
MLI.2.1_1,2.0,3.278496511830457e-09,0.0,0.0,2.940621931287607e-08,6.393068198069392e-07,0.0,3.2732219181742352e-09,0.0,0.0,2.940621931287607e-08,6.382782740439757e-07,0.0,5.287632189535213e-09,0.0,0.0,4.6190501103836025e-08,1.0310882769593665e-06,0.0,3.185862975627412e-07,1.6746949294840367e-07,2.8186160942748302e-08,2.088643531178386e-06,6.212432802473455e-05,0.0,4.500930975397749e-07,2.328446987488329e-07,5.025119849861532e-08,2.677743745786446e-06,8.776815402025612e-05,0.0,1.5010762797487684e-06,1.0330852524747782e-06,2.1136939953646465e-07,6.090597796030743e-06,0.00029270987455100984,0.0,2.7422224152493312e-06,1.944543000136719e-06,4.672339529506362e-07,1.0330432756920354e-05,0.0005347333709736197,0.0,1.7915502012138196e-05,1.480785343757853e-05,5.1375849107378956e-06,4.80123775893584e-05,0.0034935228923669483,0.0,1.3947831397534402e-06,9.61014474268003e-07,2.1426527140470329e-07,5.126867224923228e-06,0.0002719827122519208,0.0,4.322581845817497e-07,2.724976004238592e-07,5.247547348195811e-08,1.918413202893283e-06,8.429034599344115e-05,0.0,1.5378336343068167e-09,0.0,0.0,1.4703109656438035e-08,2.998775586898292e-07,0.0,1.5378336343068167e-09,0.0,0.0,1.4703109656438035e-08,2.998775586898292e-07,0.0
MLI.2.2_1,3.0,3.7165846249517687e-11,0.0,0.0,9.017159183723605e-09,1.2487724339837942e-08,0.0,3.7165846249517687e-11,0.0,0.0,9.017159183723605e-09,1.2487724339837942e-08,0.0,2.5474078443407348e-09,0.0,0.0,5.978890557512254e-08,8.55929035698487e-07,0.0,1.6059840756355215e-09,0.0,0.0,6.341639061619331e-08,5.396106494135352e-07,0.0,1.111183410395235e-09,0.0,0.0,5.660980721547698e-08,3.73357625892799e-07,0.0,1.0596623460059668e-07,2.0454217252986962e-08,0.0,1.0581490894117924e-06,3.560465482580048e-05,0.0,2.3659298884617852e-07,6.667584555840843e-08,0.0,2.7160912203919133e-06,7.9495244252316e-05,0.0,2.488111429547517e-06,9.252132746061172e-07,5.603363622750869e-09,1.4386220369523566e-05,0.0008360054403279657,0.0,9.280047978168516e-08,2.697756417809078e-08,0.0,8.540098557667127e-07,3.118096120664621e-05,0.0,1.928776600280077e-08,2.666974904516025e-09,0.0,2.486982598938522e-07,6.480689376941058e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLI.2.3_1,4.0,1.0487266452259345e-10,0.0,0.0,8.460503209094048e-09,2.4854821491854644e-08,0.0,1.6395279122751618e-10,0.0,0.0,1.1843657140100455e-08,3.8856811520921336e-08,0.0,5.411601582780846e-09,0.0,0.0,9.591975105332212e-08,1.2825495751190608e-06,0.0,8.654363582546054e-08,6.860617733142322e-08,0.0,7.070910555680775e-07,2.0510841690634147e-05,0.0,1.2567253946515154e-07,7.252297300849654e-08,0.0,1.5333123972491043e-06,2.9784391853240917e-05,0.0,5.140278876318983e-07,4.846348810213729e-07,9.038645630317187e-09,2.5192358970737847e-06,0.00012182460936875991,0.0,1.1576665790524008e-06,1.0871292550139507e-06,1.5064409383860128e-08,5.4861428554131e-06,0.000274366979235419,0.0,1.2130723521750913e-05,1.213524578673361e-05,5.188248340691128e-07,3.6572059796303605e-05,0.002874981474654966,0.0,6.857769695308588e-07,6.10359044580384e-07,1.3557968445475776e-08,4.738741874660466e-06,0.00016252914177881353,0.0,2.471529554189863e-07,2.1678878521707568e-07,5.250562142734943e-10,1.705144156501551e-06,5.857525043429974e-05,0.0,5.911527526619586e-11,0.0,0.0,8.460503209094048e-09,1.401032023808842e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLI.2.4_1,5.0,1.4845054105388675e-09,0.0,0.0,2.112623437670596e-08,9.575059897975696e-07,0.0,2.671509661638096e-09,0.0,0.0,2.940621931287607e-08,1.7231237317565712e-06,0.0,4.370818377301759e-09,0.0,0.0,9.533291556222392e-08,2.819177853359635e-06,0.0,6.347136149175285e-08,3.3642436930389285e-08,0.0,7.862551641246505e-07,4.093902816218059e-05,0.0,2.815197319469775e-07,1.2677286247114505e-07,0.0,2.1506781570830468e-06,0.00018158022710580048,0.0,1.0134940508190143e-06,5.37748683156565e-07,0.0,6.697382076123357e-06,0.0006537036627782643,0.0,1.3785849877737105e-06,9.93517724244702e-07,0.0,7.787471945248058e-06,0.0008891873171140432,0.0,1.340911543963607e-05,1.3680766902287727e-05,6.750047941433811e-08,3.9395923883800984e-05,0.008648879458565266,0.0,5.295219672901965e-07,3.4510186586839234e-07,0.0,3.4963984678956392e-06,0.0003415416689021767,0.0,5.851453132307835e-07,1.8094273337906e-07,0.0,6.181637660289142e-06,0.0003774187270338554,0.0,1.3431367595799385e-09,0.0,0.0,1.4703109656438035e-08,8.663232099290603e-07,0.0,1.2782882741535453e-09,0.0,0.0,1.4703109656438035e-08,8.244959368290369e-07,0.0
MLI.3.1_1,6.0,2.119530310907956e-08,1.914138504979184e-08,8.479066300158659e-09,2.940621931287607e-08,3.3488578912345697e-06,0.0,2.7148970022037882e-08,2.940621931287607e-08,8.479066300158659e-09,2.940621931287607e-08,4.289537263481985e-06,0.0,2.3729884821966848e-06,2.222810148542397e-06,4.183919874174824e-07,5.7118942526584786e-06,0.00037493218018707616,0.0,2.7407096416257274e-06,2.767737268413815e-06,8.928139032153973e-07,4.836965918832423e-06,0.0004330321233768649,0.0,3.414456906160626e-06,3.2323001743234213e-06,1.212321745027425e-06,7.665657342487217e-06,0.000539484191173379,0.0,1.2352377919192932e-05,1.1350522704685099e-05,5.251322584311885e-06,2.525972899565255e-05,0.0019516757112324832,0.0,7.140360030661833e-05,6.75024758065648e-05,3.1385892076396916e-05,0.00014987900867284175,0.011281768848445695,0.0,0.0001294873932143015,0.0001273292970636761,4.3885817430816135e-05,0.0001822600061991174,0.02045900812785963,0.0,0.00010288358469754466,0.00010218032224896292,3.491183863008361e-05,0.0001646558255308171,0.016255606382212056,0.0,4.297231359085253e-05,4.274844032322746e-05,1.693777116459861e-05,9.203586827667754e-05,0.0067896255473547,0.0,7.245708408450647e-07,7.017359936710777e-07,2.5235985136519828e-08,2.8278690703682763e-06,0.00011448219285352019,0.0,1.6770087521296063e-08,1.4703109656438035e-08,8.122280794298623e-09,3.6134627443685846e-08,2.6496738283647787e-06,0.0
MLI.3.2_1,7.0,1.614759196248416e-08,1.4703109656438035e-08,1.4703109656438035e-08,2.6665566156742318e-08,1.598611604285932e-06,0.0,2.6552266712387816e-08,2.883234647773335e-08,1.4895621892164552e-08,2.940621931287607e-08,2.628674404526394e-06,0.0,2.2301713265995704e-06,2.221439552938675e-06,7.716920698597127e-07,3.4201180084639663e-06,0.00022078696133335742,0.0,2.380751472960793e-06,2.2203690370304366e-06,9.115076654704635e-07,5.0202033339615475e-06,0.0002356943958231185,0.0,3.5784450006591387e-06,3.4111276872659307e-06,1.369330772444149e-06,6.220717733107035e-06,0.0003542660550652548,0.0,7.464075960282057e-06,7.449404348447716e-06,3.3451833483373884e-06,1.2481622442753304e-05,0.0007389435200679238,0.0,3.83486417521062e-05,3.840940790290694e-05,2.0648424926966626e-05,5.749237251093747e-05,0.003796515533458514,0.0,9.248552049530225e-05,9.125774708909978e-05,6.206435496123106e-05,0.00012019465169739773,0.009156066529034923,0.0,5.256222309922322e-05,5.308775584809419e-05,2.9600990999463288e-05,7.865914084260678e-05,0.0052036600868231,0.0,1.830738605840267e-05,1.6971268471341296e-05,1.215913521138884e-05,3.0146985084641607e-05,0.0018124312197818643,0.0,7.541304391867694e-08,6.453921296677161e-08,1.4703109656438035e-08,1.718506158101973e-07,7.465891347949017e-06,0.0,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,1.4556078559873654e-06,0.0
MLI.3.3_1,8.0,1.6903347051094967e-08,1.4703109656438035e-08,1.4703109656438035e-08,2.940621931287607e-08,3.0595058162481887e-06,0.0,2.7267001570033942e-08,2.940621931287607e-08,1.4703109656438035e-08,4.612685037621117e-08,4.9353272841761425e-06,0.0,5.357766969103841e-07,5.16638762566214e-07,7.857748835660516e-08,1.2579803339577005e-06,9.697558214077952e-05,0.0,1.2261547155315898e-06,9.70723748137207e-07,2.688154783078138e-07,3.2184054711241365e-06,0.00022193400351121779,0.0,1.6812236288519189e-06,1.5706244644464557e-06,1.9208151519916047e-07,3.8929110738953285e-06,0.0003043014768221974,0.0,4.358019913146724e-06,4.381436587931084e-06,5.998807033539661e-07,9.733102521230703e-06,0.0007888016042795573,0.0,3.037234058967024e-05,2.672253302302317e-05,1.000787240259057e-05,6.57635093935406e-05,0.005497393646730313,0.0,9.240341090960651e-05,9.280374202610778e-05,4.567272089334152e-05,0.00012881094953433734,0.01672501737463878,0.0,5.235725832980435e-05,4.701683005302157e-05,1.903928113411281e-05,0.0001168886214777968,0.009476663757694587,0.0,1.6684926944483788e-05,1.2590301960087322e-05,4.407407375312704e-06,4.46695821441285e-05,0.0030199717769515662,0.0,1.0487004503410887e-07,5.6615499149477265e-08,1.4703109656438035e-08,8.714017425455791e-07,1.8981478151173705e-05,0.0,1.4859783703476441e-08,1.4703109656438035e-08,3.528285582003302e-09,2.8211129458598744e-08,2.6896208503292354e-06,0.0
MLI.3.4_1,9.0,3.156459777563475e-08,2.940621931287607e-08,1.4703109656438035e-08,5.855388722563225e-08,3.7877517330761695e-06,0.0,3.270947244656309e-08,2.940621931287607e-08,1.514508899640449e-08,5.8166627398146974e-08,3.925136693587571e-06,0.0,5.08009168991743e-06,4.15004665026688e-06,5.082120596453717e-07,1.558192312337392e-05,0.0006096110027900916,0.0,5.113068649286203e-06,5.0212501008457085e-06,1.06232523747083e-06,9.290671337827949e-06,0.0006135682379143446,0.0,5.985574502134125e-06,5.856994489306599e-06,7.245427515812138e-07,1.933474534892496e-05,0.000718268940256095,0.0,2.724116662363789e-05,2.440936863753684e-05,9.36898754253638e-06,7.629855757020028e-05,0.003268939994836548,0.0,0.0001387526386420201,0.00013459362395963907,6.48755061482559e-05,0.000242117657977436,0.01665031663704241,0.0,0.00018913091650120493,0.00019039840481455966,0.00012572747970824593,0.00029937048304928284,0.0226957099801446,0.0,0.0001705431121046451,0.00017022146980754153,0.00011307390564376485,0.0002489166718889165,0.020465173452557408,0.0,8.942818117562798e-05,9.362022529952491e-05,4.1410358573870335e-05,0.00014920799349420376,0.010731381741075356,0.0,3.292203869170466e-06,2.580810961153274e-06,4.0575629129001174e-07,1.2092702901857505e-05,0.00039506446430045603,0.0,2.132448522214036e-08,1.6829331610242168e-08,1.4703109656438035e-08,2.940621931287607e-08,2.558938226656844e-06,0.0
MLI.3.5_1,10.0,1.9710173215970728e-08,1.4703109656438035e-08,1.4703109656438035e-08,4.410932896936832e-08,5.656819712983599e-06,0.0,3.0145546744069315e-08,2.940621931287607e-08,1.5827794956335245e-08,4.6367144940226815e-08,8.651771915547892e-06,0.0,3.93749003617748e-06,3.552123184564843e-06,1.0705661015348957e-06,1.3367380235843245e-05,0.0011300596403829367,0.0,3.2304378611777025e-06,2.8787462822813204e-06,6.203881975108106e-07,9.156840509393857e-06,0.0009271356661580006,0.0,8.40402900606022e-06,6.788565260701343e-06,2.588247470373818e-06,2.469185221088941e-05,0.0024119563247392826,0.0,2.340956490243338e-05,2.0365818367019634e-05,9.038272687604378e-06,7.581880137660986e-05,0.00671854512699838,0.0,0.00011168189202515283,0.00010712002650565836,5.121987428077696e-05,0.00025487294736659046,0.03205270301121886,0.0,0.0001639303192517859,0.00016191395725383273,0.00010676635279642102,0.00028636334014735634,0.04704800162526256,0.0,0.00012577251148431176,0.000123621623523767,6.941956057899308e-05,0.0002345919020288453,0.03609671079599746,0.0,6.344252806544014e-05,5.868561080628391e-05,2.20004938413793e-05,0.0001394194225855971,0.018208005554781317,0.0,1.8230021451110287e-06,1.0003586744570528e-06,1.6421930172185976e-08,6.890689572864447e-06,0.0005232016156468652,0.0,1.751652472568679e-08,1.4703109656438035e-08,1.4703109656438035e-08,2.940621931287607e-08,5.027242596272108e-06,0.0
