GID_2,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
MLI.1.1_1,1.0,97064.30404626094,97064.30404626094,96907.26402185293,97221.34407066894,194128.60809252187,0.0,96907.42093701604,96907.42093701604,96751.87802993268,97062.96384409943,193814.8418740321,0.0,96836.60624300463,96836.60624300463,96683.27030285491,96989.94218315439,193673.2124860093,0.0,96655.87828744436,96655.87828744436,96504.2513122956,96807.50526259313,193311.7565748887,0.0,96682.53908536263,96682.53908536263,96530.99327251043,96834.08489821485,193365.07817072526,0.0,96891.5711494559,96891.5711494559,96738.75435652328,97044.3879423885,193783.1422989118,0.0,96978.82262637024,96978.82262637024,96824.3734907266,97133.27176201387,193957.64525274048,0.0,97024.44144749046,97024.44144749046,96869.24218495523,97179.64071002572,194048.88289498087,0.0,97005.55506278382,97005.55506278382,96851.14218879218,97159.96793677547,194011.11012556765,0.0,96825.07669892492,96825.07669892492,96671.23162261416,96978.92177523568,193650.15339784985,0.0,96841.58744588014,96841.58744588014,96687.50517671376,96995.66971504652,193683.17489176028,0.0,96944.3554291515,96944.3554291515,96788.50748622883,97100.2033720742,193888.710858303,0.0
MLI.2.1_1,2.0,98040.4314794827,98081.67651382108,97432.97386560914,98465.14933151519,19117884.138499126,0.0,97929.21041849887,97968.85927474724,97329.85528673114,98347.79947588386,19096196.03160728,0.0,97714.95632357037,97755.37638833663,97115.32893821293,98130.8620273568,19054416.48309622,0.0,97471.54925412443,97516.72579189569,96864.7057931814,97892.2842849926,19006952.104554266,0.0,97367.50591513368,97421.21920391326,96724.19571767047,97816.77254154623,18986663.653451066,0.0,97616.36210932344,97663.313719704,96961.93755910498,98081.08514290351,19035190.611318074,0.0,97626.6406723146,97677.82501226992,96955.75431546212,98100.60527111146,19037194.931101345,0.0,97756.5183623385,97806.1969741271,97091.47209215695,98224.52016755346,19062521.080656007,0.0,97688.01160122405,97736.0636599142,97042.43160667684,98147.61027975881,19049162.26223869,0.0,97582.05402358797,97626.57599684564,96959.1899192502,98026.99456307293,19028500.53459965,0.0,97706.85447090688,97752.51005228893,97099.76089245774,98128.19480336533,19052836.62182684,0.0,97967.34990483588,98005.79712775833,97376.04213317145,98389.61683883068,19103633.231442995,0.0
MLI.2.2_1,3.0,97745.48965756423,97818.71587662958,96670.81730104813,98391.72807226118,32842484.524941586,0.0,97655.82030295707,97726.66381963652,96598.789294669,98287.96396275844,32812355.621793576,0.0,97431.32769991683,97501.26836166905,96387.46093671543,98060.04155874797,32736926.10717205,0.0,97172.20159703775,97239.75567167904,96134.37158897967,97800.03711282751,32649859.73660469,0.0,97000.60688748359,97068.39254459801,95958.40511015199,97645.7045890382,32592203.91419449,0.0,97166.68659190439,97244.14656537467,96095.66463904254,97843.10935949028,32648006.694879875,0.0,97153.81262541794,97230.48567180804,96056.6093067818,97850.34849985642,32643681.042140417,0.0,97284.97194221153,97366.23039943703,96175.390666817,97991.26036015236,32687750.57258308,0.0,97273.27567897511,97349.72429992381,96203.5032273694,97942.83257627752,32683820.62813564,0.0,97222.21593192409,97294.50474584296,96178.46935245117,97865.01949345547,32666664.55312649,0.0,97412.49565887994,97482.38022647653,96361.69514424476,98046.18861547783,32730598.54138366,0.0,97671.30511785008,97748.3010089503,96615.54982604618,98302.69144967476,32817558.51959763,0.0
MLI.2.3_1,4.0,97835.64342415208,97898.64473361456,96651.213545519,98408.43782382958,23187047.49152404,0.0,97733.85491060409,97800.74058646148,96563.59455669936,98303.54177234668,23162923.61381317,0.0,97514.96857130511,97579.55260469664,96353.9687991131,98075.8530741089,23111047.55139932,0.0,97260.0406512152,97330.65292173212,96089.94850117604,97816.36078168699,23050629.63433801,0.0,97113.38458120608,97190.40321261733,95916.17800345416,97664.23605580359,23015872.14574584,0.0,97329.88448124373,97414.34510218867,96117.07487288456,97876.78568526392,23067182.62205476,0.0,97330.60150023883,97420.92325155123,96089.68842552062,97888.23597097283,23067352.555556595,0.0,97468.36174700524,97557.7289489246,96226.59957208752,98029.9843320095,23100001.73404024,0.0,97422.71637276124,97503.09500799504,96229.48157634072,97966.80475470776,23089183.78034441,0.0,97339.06016174382,97413.9439185825,96169.06833649144,97884.80770799944,23069357.25833329,0.0,97498.2452626483,97568.99592968904,96319.73114984267,98061.95340077608,23107084.12724765,0.0,97763.81498257727,97825.7103948919,96617.00842834322,98320.38240163252,23170024.15087081,0.0
MLI.2.4_1,5.0,97521.21584861603,97533.19657768607,96367.16260186207,98354.07452055886,62901184.22235735,0.0,97419.00429948627,97429.7871096787,96283.01238870203,98239.7303584957,62835257.77316866,0.0,97191.7196466922,97200.42736713633,96076.30246419297,97997.54543112835,62688659.17211647,0.0,96932.22789414304,96941.26039937108,95809.40667492726,97754.66708610213,62521286.99172226,0.0,96787.44779370539,96781.08838551154,95635.13936789213,97665.6234761967,62427903.82693999,0.0,97026.93337724461,97020.72567552568,95834.18248505518,97942.20657510225,62582372.02832277,0.0,97005.44262764083,96998.21411929447,95798.71895406164,97940.47038553297,62568510.49482835,0.0,97146.27074391591,97139.23547247086,95933.03522438613,98081.35040825537,62659344.62982577,0.0,97107.73928748972,97101.96565153057,95949.86929573733,97996.4488010435,62634491.84043088,0.0,97039.79172632367,97036.708285581,95892.35500063989,97911.92254096727,62590665.66347876,0.0,97175.61303750984,97181.87641845092,96038.04492918137,98006.16781948674,62678270.40919384,0.0,97479.62663779779,97494.44259899351,96340.5721013052,98309.55600702176,62874359.18137957,0.0
MLI.3.1_1,6.0,98527.40388058104,98506.15321119572,97255.4727858358,99749.09427533619,15567329.813131802,0.0,98368.5806342911,98344.67141878157,97107.01645188515,99581.31248717027,15542235.740217993,0.0,98315.48509699713,98297.74623260314,97053.61581120284,99524.21040827128,15533846.645325547,0.0,98102.43632592377,98083.50660256717,96849.4798416839,99297.07939260225,15500184.939495953,0.0,98079.68243653212,98055.14237674934,96822.48774381148,99271.39024141793,15496589.824972074,0.0,98274.42472902963,98250.0617224624,97003.43306001852,99468.89130598684,15527359.107186684,0.0,98398.76724734613,98378.30419704961,97117.9060587392,99610.84191306053,15547005.225080686,0.0,98442.54155515225,98423.5148407134,97157.72347570347,99659.34962217548,15553921.565714052,0.0,98443.81536034957,98421.63196527683,97165.12497071104,99660.80735241693,15554122.826935232,0.0,98261.7567751117,98239.19863770582,96988.53909935225,99471.73473046762,15525357.570467647,0.0,98277.42161525444,98255.98462580002,97015.00718851977,99481.581083755,15527832.615210202,0.0,98392.98058387355,98372.4005477892,97128.5379804516,99601.9173776242,15546090.932252025,0.0
MLI.3.2_1,7.0,98131.37830269363,98152.51995049967,97558.19322248676,98575.02449316833,9715006.45196667,0.0,97980.19552180346,98000.99480194326,97407.20035682444,98419.34032767195,9700039.356658544,0.0,97891.48798396962,97909.92403710783,97316.15698766168,98341.18926712348,9691257.310412994,0.0,97650.96778904594,97670.54414448568,97084.68023885187,98102.18527217364,9667445.811115548,0.0,97585.9772512144,97598.48283372927,97024.5816964614,98046.5189803712,9661011.747870224,0.0,97735.6461925023,97732.70556984488,97182.31154169011,98209.02566699855,9675828.973057728,0.0,97869.79652865123,97861.41844220004,97311.60251602533,98351.65546079467,9689109.856336473,0.0,97920.67174450507,97916.01752761258,97357.00615475557,98402.913747056,9694146.502706002,0.0,97934.70705817043,97928.43813330636,97369.4329346777,98412.56429472724,9695535.998758873,0.0,97764.37525426572,97771.2174564274,97194.93536380754,98235.93158174476,9678673.150172308,0.0,97846.39265074133,97867.23320480196,97277.18388498107,98291.57702157556,9686792.87242339,0.0,97995.30751822352,98014.37903603993,97423.93875147002,98436.222247541,9701535.44430413,0.0
MLI.3.3_1,8.0,99965.87679897695,100019.15822100293,98539.68333669883,100850.34825618344,18093823.70061483,0.0,99806.84378481103,99861.49245842652,98389.22199901752,100688.18845596678,18065038.725050803,0.0,99740.81335233069,99786.71404334797,98338.52887735674,100624.88907340122,18053087.216771856,0.0,99497.76793708504,99545.21703332693,98124.2585031984,100369.70961352976,18009095.996612392,0.0,99448.38445646547,99515.6874172106,98091.68031558851,100312.07844820377,18000157.58662025,0.0,99614.39180549244,99694.40869923976,98263.1261685623,100472.18180618767,18030204.91679413,0.0,99744.10564612846,99822.91648964293,98380.99053025038,100596.76335067024,18053683.12194925,0.0,99793.10576449947,99875.87074198095,98416.96800648577,100645.96153532203,18062552.143374406,0.0,99811.73618195267,99883.3046621198,98434.4894393586,100672.52044038322,18065924.248933434,0.0,99627.7724290141,99689.89216598103,98252.3269868659,100481.64293283268,18032626.809651554,0.0,99669.47193183283,99707.54813820693,98278.81274882752,100531.1013585632,18040174.419661745,0.0,99811.32093621016,99861.28851974213,98398.51264010194,100684.96282430117,18065849.08945404,0.0
MLI.3.4_1,9.0,98025.14236681402,98091.48178541352,95546.57752198227,100066.77605405092,11763017.084017685,0.0,97870.05306590258,97935.38584547477,95409.69431892187,99898.772022505,11744406.36790831,0.0,97843.0503764802,97901.47742796688,95397.03535242006,99862.94558338453,11741166.045177625,0.0,97665.69905398703,97715.52872915418,95252.55510317883,99659.26234600334,11719883.886478445,0.0,97671.6392709604,97717.38968222708,95270.27172015606,99653.08537906928,11720596.712515248,0.0,97888.76544989653,97941.2959833747,95476.72554699994,99863.31150521607,11746651.853987586,0.0,97986.47900628494,98037.95486261195,95537.31044859023,99992.21818509938,11758377.480754193,0.0,98024.370447392,98076.20420405258,95568.40281301984,100033.05660761695,11762924.45368704,0.0,98010.31913422547,98060.59432793834,95553.41905171836,100027.58054691863,11761238.296107056,0.0,97831.35533386213,97882.13022158088,95385.41554072188,99834.99768496687,11739762.640063452,0.0,97816.68142906859,97873.18551252536,95373.64103400207,99818.14492273767,11738001.771488233,0.0,97897.75524355039,97963.32981008264,95432.31552633646,99920.96112039039,11747730.629226048,0.0
MLI.3.5_1,10.0,97537.7324135474,97521.7387027752,95479.8710560484,98958.44394144592,27993329.202688105,0.0,97381.21145303074,97364.8854490344,95342.38041216326,98793.41699683393,27948407.687019825,0.0,97325.40657091702,97319.77179302172,95319.6742224341,98724.76848031332,27932391.68585319,0.0,97123.90835833164,97124.23863248972,95170.40763928788,98491.8177532312,27874561.698841184,0.0,97115.55805669217,97117.22009007329,95198.35013869092,98456.0853242218,27872165.16227065,0.0,97313.90796476822,97316.26809492863,95406.06419112002,98646.12302157076,27929091.58588848,0.0,97428.83840277768,97432.4452029962,95464.45624061457,98788.11193231668,27962076.621597193,0.0,97473.23273865014,97477.51564266741,95503.92606252039,98837.07454673435,27974817.79599259,0.0,97466.05256114127,97477.26721500774,95482.2820114236,98840.72760367447,27972757.08504755,0.0,97288.17021442171,97298.13806236043,95313.90926073986,98655.0610155082,27921704.851539034,0.0,97305.7741332408,97307.70329734274,95308.95046574695,98681.0077649506,27926757.17624012,0.0,97412.638563599,97396.82696025084,95373.30481956287,98817.27355815716,27957427.26775291,0.0
