GID_2,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
MOZ.1.1_1,1.0,97848.12295317481,97748.57415901848,96119.85093173133,100547.915878081,5088102.3935650885,0.0,97893.90419751883,97795.96696753208,96163.72712716668,100593.5529269366,5090483.018270978,0.0,97846.25551458012,97747.52559629756,96119.18799738877,100541.6642275528,5088005.286758167,0.0,98001.39668423444,97907.96009163524,96269.90604958207,100701.08131602114,5096072.62758019,0.0,98301.04820858127,98207.27335657476,96561.86824244617,101009.91285211267,5111654.506846227,0.0,98490.98310393355,98396.6190120207,96744.51175296678,101213.09149427817,5121531.121404545,0.0,98514.9525136718,98419.71279500947,96758.77094957928,101256.85304797534,5122777.530710935,0.0,98563.37039885725,98467.9684029866,96800.73298869267,101318.7443882042,5125295.260740576,0.0,98367.11743017123,98271.06278385967,96605.34182257668,101125.56838688377,5115090.106368904,0.0,98080.16078796287,97982.6232029384,96331.45232031443,100820.48784110916,5100168.36097407,0.0,97894.05004000233,97796.60609669569,96156.44387481539,100614.18337367957,5090490.602080122,0.0,97782.9629663215,97685.89839096498,96054.5574842642,100484.77420774646,5084714.074248718,0.0
MOZ.1.2_1,2.0,95427.49281997351,95279.30658158276,94717.78415288213,96800.30173233325,4485092.162538757,0.0,95481.15537151364,95327.36330381084,94770.87359041956,96862.7098282886,4487614.302461141,0.0,95434.42509195293,95284.19876940583,94724.06114896027,96809.18682140646,4485417.979321787,0.0,95618.07577304544,95448.929649955,94907.47853501028,97020.63539899117,4494049.561333137,0.0,95907.13679403004,95735.43160524561,95189.53257725068,97327.88164013684,4507635.4293194115,0.0,96099.60849203794,95923.64568586496,95378.27530871703,97529.2300637517,4516681.599125782,0.0,96099.71921217784,95926.43402717203,95375.856037976,97533.06163298033,4516686.802972359,0.0,96120.91272409762,95953.27390336363,95400.93973777464,97547.05645180242,4517682.898032588,0.0,95917.13588935343,95753.15604535717,95199.63764227583,97333.25360241492,4508105.386799612,0.0,95626.8076713525,95474.41341863967,94917.13902741278,97016.2251377527,4494459.960553567,0.0,95451.83922263447,95304.78043288142,94745.29679661027,96828.7559262818,4486236.443463822,0.0,95376.7368496917,95220.2696433598,94668.87247432256,96763.28061720732,4482706.63193551,0.0
MOZ.1.3_1,3.0,97843.34128707534,97657.35293863095,96210.52270354884,100456.479320215,3620203.627621788,0.0,97894.93154582103,97712.36746327886,96261.2189618304,100507.6557756611,3622112.46719538,0.0,97844.91667627213,97662.02909959284,96214.34252931103,100453.89158111883,3620261.9170220685,0.0,98019.7129925276,97852.85698154473,96382.17696907674,100626.06600363387,3626729.380723522,0.0,98324.39234099568,98165.79198997775,96680.46454787637,100932.95412928457,3638002.51661684,0.0,98517.70783214686,98362.60446658668,96868.97319811683,101136.10215035608,3645155.189789434,0.0,98538.63758610057,98376.81961067584,96878.81635536195,101178.66142834132,3645929.590685722,0.0,98580.08920124342,98405.37587974024,96914.01104152224,101237.79867419477,3647463.3004460083,0.0,98377.80815127485,98196.25594131436,96712.30933883094,101041.05355059913,3639978.9015971688,0.0,98079.33262981533,97886.66329473599,96424.65209433828,100733.19914802037,3628935.3073031683,0.0,97891.08794141695,97698.27873201313,96249.18135324486,100525.61414006351,3621970.2538324273,0.0,97787.538545499,97608.82648238805,96154.19489195578,100400.55456991856,3618138.926183463,0.0
MOZ.1.4_1,4.0,99425.5868138057,99636.902478559,97356.84184619132,100602.94881059683,3479895.5384831987,0.0,99462.47562828756,99671.6039512568,97393.04021221127,100641.40702364617,3481186.6469900636,0.0,99416.47798586464,99625.47924681797,97349.6025960532,100594.26152986099,3479576.7295052623,0.0,99536.91751090674,99740.86227244047,97470.25945124683,100718.71162457578,3483792.1128817364,0.0,99844.3155006944,100048.78350612556,97760.90528197993,101037.82486644179,3494551.042524304,0.0,100036.15128595813,100239.88100017652,97941.28966322087,101237.25068759656,3501265.2950085336,0.0,100072.0472628818,100277.90056155123,97969.37572124618,101279.67492848383,3502521.6542008636,0.0,100134.78490223033,100342.84496487453,98030.07505991076,101344.51913116334,3504717.471578062,0.0,99947.80263271312,100157.31844701422,97849.3337490573,101153.30460511048,3498173.0921449587,0.0,99665.74072491804,99877.62189570745,97581.46592346867,100858.87564862828,3488300.925372132,0.0,99473.21267357284,99684.434515405,97400.84247105813,100657.68143702627,3481562.4435750493,0.0,99352.49878939409,99561.77791407212,97285.83576066588,100532.628304456,3477337.4576287926,0.0
MOZ.1.5_1,5.0,100204.31513078073,100327.20175200047,99532.0402285686,100657.24336306828,501021.5756539036,0.0,100253.01054976424,100376.94367317967,99579.61858664377,100706.84148823489,501265.0527488213,0.0,100200.4167797846,100323.67959039909,99528.13038385351,100653.49237275137,501002.08389892295,0.0,100366.73615615725,100492.40539369224,99691.96272708249,100822.70965546474,501833.68078078615,0.0,100671.6300693692,100798.36593879043,99993.23753130656,101130.29340791538,503358.150346846,0.0,100872.78467805448,101000.27267190193,100190.41862083472,101334.5173871218,504363.9233902724,0.0,100914.51274851953,101042.609120534,100228.15458533104,101378.27894081897,504572.5637425978,0.0,100974.78178010897,101102.19950904202,100287.10794349447,101439.33757646564,504873.9089005449,0.0,100780.67511917024,100907.23630983332,100093.09660306216,101244.07344752805,503903.3755958514,0.0,100476.655358763,100601.65363679397,99794.85282124062,100935.86453002461,502383.276793815,0.0,100272.2326387668,100395.73381175716,99595.09164430213,100727.8870140366,501361.16319383396,0.0,100145.20035119004,100269.3097671068,99471.42725500886,100599.31309915037,500726.0017559501,0.0
MOZ.1.6_1,6.0,97827.84132563477,97749.02070868912,96733.10147164633,99845.49379386328,4793564.224956104,0.0,97868.71790478672,97787.45500801725,96775.19970150894,99888.17983499801,4795567.17733455,0.0,97825.1787237747,97746.15778981287,96732.13409923472,99840.83051436473,4793433.75746496,0.0,97961.76139403414,97882.24834568404,96873.09842863516,99981.54058748996,4800126.308307673,0.0,98262.68753068826,98182.32155532992,97168.14304086668,100292.97795291775,4814871.689003725,0.0,98453.09199173287,98373.328608157,97354.5508649573,100489.69526108081,4824201.507594911,0.0,98473.44991614693,98389.79051563848,97369.64807053852,100525.58222708393,4825199.045891198,0.0,98519.46269275477,98433.36570555693,97409.61486217756,100582.012081161,4827453.671944981,0.0,98324.58468588912,98238.44343567887,97213.12664165423,100384.88998076557,4817904.649608566,0.0,98045.1443586651,97958.67826220846,96936.67446744851,100088.10962227797,4804212.07357459,0.0,97861.66684308957,97776.51902829118,96758.97385561516,99891.92992049873,4795221.675311388,0.0,97756.33985222183,97676.4160772313,96663.07886843763,99775.90090754077,4790060.652758871,0.0
MOZ.1.7_1,7.0,99778.9882967902,99909.36105052617,98159.35428107496,100772.90715945372,2793811.672310125,3.4482758620689653,99809.08637371543,99934.864194367,98187.99886237546,100805.85412659352,2794654.418464032,3.4482758620689653,99763.87278906957,99890.77138986104,98145.7434030368,100757.71641752662,2793388.438093948,3.4482758620689653,99877.95653567488,100001.44810547943,98256.10060213166,100870.18130395935,2796582.7829988967,3.4482758620689653,100174.7195458674,100291.96384164877,98536.81190556564,101179.76765125232,2804892.1472842875,3.4482758620689653,100367.00544309652,100484.77189587342,98717.97858705984,101379.19530310092,2810276.1524067027,3.4482758620689653,100406.41504954381,100524.62436531967,98752.66107276909,101422.5832954791,2811379.621387226,3.4482758620689653,100475.04818705877,100592.30126959592,98819.61948846393,101494.85083787203,2813301.349237645,3.4482758620689653,100293.5171871204,100410.77347406127,98642.74849943069,101311.6774773967,2808218.4812393715,3.4482758620689653,100015.26990777043,100133.13421186023,98379.9546018492,101026.35060957838,2800427.5574175715,3.4482758620689653,99823.23362581164,99945.33602724287,98198.45453260368,100825.85940828368,2795050.5415227255,3.4482758620689653,99701.09469060363,99827.14657284199,98080.35746216193,100696.01185795724,2791630.6513369014,3.4482758620689653
MOZ.1.8_1,8.0,96644.72884500015,96586.17355334693,94955.81387634297,98415.30671171915,13916840.953680025,0.0,96687.10735355245,96630.24238884586,95003.31620812457,98452.13510385207,13922943.458911553,0.0,96647.28934067527,96589.99931284158,94960.07477625935,98418.41446361912,13917209.665057242,0.0,96797.30331504304,96746.19347489078,95131.46612458855,98559.36369506094,13938811.677366195,0.0,97087.62379291463,97035.01885239377,95402.18639921414,98852.48002526356,13980617.826179706,0.0,97282.56466085324,97235.06561213222,95596.25677064227,99059.5936124026,14008689.311162867,0.0,97289.09131463268,97239.214171955,95595.45958432216,99061.46910756103,14009629.149307106,0.0,97316.60807270482,97259.22571542927,95617.15259059836,99083.04471648755,14013591.562469495,0.0,97116.2110164978,97055.94852487363,95420.77357373493,98880.5273861031,13984734.386375684,0.0,96835.23167348873,96771.38038304572,95140.6122275615,98590.41993741607,13944273.360982375,0.0,96659.31463500485,96595.63628877242,94969.81288720947,98411.50251434119,13918941.307440694,0.0,96574.97947599317,96516.07433292543,94893.83642647168,98338.33486498434,13906797.044543015,0.0
MOZ.1.9_1,9.0,97067.50698232463,97538.79624847416,92709.19058716383,99368.80520814679,8833143.13539154,0.0,97098.95420070004,97567.33642903902,92735.68067304141,99396.0039265317,8836004.832263703,0.0,97064.00443257453,97532.93633183435,92702.34051996103,99361.10484869203,8832824.40336428,0.0,97189.16542043166,97640.49888607176,92806.915530206,99479.25474731023,8844214.053259281,0.0,97467.8662914974,97924.1579252698,93040.5962886526,99770.7021896124,8869575.832526265,0.0,97659.24189840334,98118.625114257,93199.62609056658,99977.35501695203,8886991.012754705,0.0,97667.11987639556,98129.38549666268,93203.5983152856,99988.56192551967,8887707.908751994,0.0,97707.7798695932,98172.57447896198,93263.0667398759,100029.6637309175,8891407.968132982,0.0,97518.74831009783,97980.36635351344,93101.44048967064,99834.61223443864,8874206.096218903,0.0,97252.59606300962,97715.70533702766,92873.49565269065,99560.46461258632,8849986.241733877,0.0,97081.1506900702,97546.96457845977,92727.0571980508,99379.5444347352,8834384.712796388,0.0,96990.52016153984,97459.86437873484,92631.69944961347,99288.11623977542,8826137.334700126,0.0
MOZ.1.10_1,10.0,97645.13589895453,98067.87238864439,94216.69964449108,100201.78490648439,1659967.3102822271,0.0,97681.6799671805,98103.17192654024,94250.17652153844,100237.19850944278,1660588.5594420687,0.0,97638.98811754241,98059.41034193321,94212.53492232019,100190.58496519619,1659862.797998221,0.0,97764.23770504227,98180.66893036598,94331.50537390313,100310.74694960329,1661992.0409857188,0.0,98055.32518811,98471.81797733414,94591.58072560736,100621.59294705284,1666940.52819787,0.0,98239.1958914142,98654.92798797967,94755.90347194174,100815.73207082473,1670066.3301540408,0.0,98264.57148714432,98686.27973871167,94770.92284934915,100854.51507899504,1670497.7152814534,0.0,98321.40017716034,98747.09300900348,94832.401475865,100917.41377264721,1671463.8030117254,0.0,98137.6995151094,98565.53401167756,94663.79772745036,100728.84979575347,1668340.8917568596,0.0,97866.7800709398,98296.50643734774,94417.7505698321,100444.77079207083,1663735.2612059766,0.0,97684.01674049435,98110.57624680408,94254.41452611914,100246.90345287774,1660628.284588404,0.0,97572.46174538594,97994.08830003763,94146.42122903623,100126.00374775901,1658731.849671561,0.0
