GID_2,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
TGO.1.1_1,1.0,7.481903395984462e-06,7.399382004873438e-06,4.426102123496804e-06,1.1136750944954697e-05,0.0004489142037590678,0.0,8.470064812938725e-06,8.15198675347605e-06,2.9270245648852043e-06,1.7712978294783262e-05,0.0005082038887763235,0.0,5.58918533270327e-05,5.4141090898267167e-05,3.069032825753469e-05,9.624541902162218e-05,0.003353511199621961,0.0,8.971871441321017e-05,8.611306449051134e-05,5.8111964584795616e-05,0.0001547878449847454,0.0053831228647926105,0.0,0.00012804371140166346,0.00012753473117175585,7.378925582195111e-05,0.00016919185939732063,0.007682622684099806,0.0,0.00015881554993459353,0.00015809280714249081,0.00010489329060403697,0.00022144863147776392,0.009528932996075613,0.0,0.00025816414828715227,0.0002622069925396528,0.00019010775789061627,0.00032884990706089285,0.01548984889722914,0.0,0.00018544145342473933,0.00018370975801100067,0.00012765744068488454,0.00024790955720456194,0.01112648720548436,0.0,0.000275008008634622,0.0002767664925749761,0.00020782797441053685,0.00032142383665636137,0.01650048051807732,0.0,0.00032882831745677883,0.00033249643673592514,0.0002527850644013067,0.0004060391907256683,0.019729699047406728,0.0,3.0919492132230604e-05,2.958624802100785e-05,1.7596999006154713e-05,5.644971152002325e-05,0.001855169527933836,0.0,4.2904651102972433e-07,2.1731113187094718e-07,3.2112705513580554e-08,3.4834702742085367e-06,2.574279066178346e-05,0.0
TGO.1.2_1,2.0,2.794618932051627e-06,2.416465464305284e-06,1.2603619909333484e-06,6.819718087580607e-06,7.824933009744556e-05,0.0,3.6372135690154677e-06,3.5333499400383727e-06,2.4791239205999213e-06,6.176223550565295e-06,0.0001018419799324331,0.0,3.3081170774411075e-05,3.2586576437127593e-05,1.9440080858227893e-05,6.52734439936207e-05,0.0009262727816835099,0.0,7.004354274162038e-05,6.783036141397308e-05,5.803361974191039e-05,0.00011290678959226111,0.0019612191967653693,0.0,0.00012789197489822894,0.00012824584502511068,0.00010905768938972159,0.00017140777588304737,0.0035809752971504094,0.0,0.00013047425266075215,0.00012745534084566154,0.00011675668698716391,0.00019041193385406968,0.003653279074501061,0.0,0.00024673472486043304,0.0002434255451551501,0.00022567878756062792,0.0003110639975361239,0.006908572296092126,0.0,0.00020042146374399085,0.00020005917216586765,0.00016970692030648588,0.00024959277953374634,0.005611800984831744,0.0,0.0002426323891635621,0.00023971976564051944,0.00022042860815788145,0.00032230228398845456,0.00679370689657974,0.0,0.0002819917006382185,0.0002773125360701592,0.0002577689265674453,0.00035862809908237967,0.007895767617870121,0.0,2.233288215035882e-05,2.220893896351664e-05,1.3441677578584915e-05,3.600847866535644e-05,0.0006253207002100469,0.0,1.7393026955926403e-07,7.831970559302957e-08,1.4703109656438035e-08,6.264691142497351e-07,4.870047547659394e-06,0.0
TGO.1.3_1,3.0,4.377499336582583e-06,4.514725205470546e-06,1.6826183148117669e-06,6.163873540977393e-06,7.879498805848649e-05,0.0,5.898856764229965e-06,5.409905479702492e-06,3.527192544255246e-06,8.917564020851609e-06,0.00010617942175613936,0.0,3.1321585095922084e-05,3.068040876554519e-05,2.0078522130183395e-05,4.068323572691661e-05,0.0005637885317265974,0.0,6.218004110376165e-05,6.221406848130915e-05,5.2531468139914064e-05,6.941344165005176e-05,0.0011192407398677095,0.0,0.0001226683736953579,0.00012422922164912205,0.00010495335096425864,0.0001364465376508959,0.0022080307265164426,0.0,0.00012888219278558372,0.00012775201440479763,0.00011651253220848045,0.00014057183068144998,0.002319879470140507,0.0,0.00025927337295367296,0.00025692925359340564,0.0002338898918096304,0.0002844559712663489,0.0046669207131661145,0.0,0.00020936292594800647,0.0002073158524959163,0.00019106148461228665,0.00022544267068700709,0.0037685326670641173,0.0,0.00025988862110618987,0.00026131152077643854,0.00024371836461275958,0.0002816152235796094,0.004677995179911418,0.0,0.0002802968242832324,0.0002765868781954816,0.0002593182761142552,0.0002991041592990373,0.005045342837098186,0.0,2.054593285392796e-05,1.9891346757465986e-05,1.2911665396305353e-05,2.933908411868504e-05,0.00036982679137070325,0.0,3.6201627606867686e-08,2.9125133593607694e-08,1.4703109656438035e-08,7.180488104585249e-08,6.516292969236183e-07,0.0
TGO.2.1_1,4.0,1.5275100086849694e-06,1.3765421275007169e-06,4.043629089105562e-07,2.685741526016316e-06,1.3747590078164725e-05,0.0,3.7607104458795687e-06,3.927442823260334e-06,2.1183403428246795e-06,5.1948057463995625e-06,3.384639401291613e-05,0.0,2.385141304701389e-05,2.481618264541174e-05,1.6918045052967053e-05,2.8681009469551366e-05,0.00021466271742312504,0.0,5.429437049635058e-05,5.5728135819567004e-05,4.72691458008149e-05,6.157708922161707e-05,0.0004886493344671552,0.0,0.00011776451478966578,0.00011767973401552144,8.453006684535921e-05,0.00013339134884831708,0.0010598806331069918,0.0,0.00013011349203936268,0.00012779051052040096,0.00010398817235132446,0.000151796617060849,0.0011710214283542641,0.0,0.0002397981567495297,0.00024385680737157653,0.0002011688389736948,0.0002673259205953477,0.0021581834107457674,0.0,0.0002105800550260312,0.0002133316141637531,0.0001819736229424044,0.00023519207759960264,0.0018952204952342804,0.0,0.00026556932449599665,0.00026200556024348636,0.0002324400727568493,0.0002939577716345222,0.00239012392046397,0.0,0.0002756478876668969,0.00027392692145484154,0.00026211198243257446,0.00029648460031653104,0.0024808309890020732,0.0,2.107871052977761e-05,2.1486557316628865e-05,1.4045832693398968e-05,2.610261288551377e-05,0.0001897083947679985,0.0,1.5577825002929708e-08,1.4703109656438035e-08,1.4703109656438035e-08,1.8354768165643467e-08,1.4020042502636735e-07,0.0
TGO.2.2_1,5.0,2.039257940422541e-06,1.592547434409996e-06,1.473006029217253e-07,6.034658542125871e-06,0.00010196289702112704,0.0,2.6704480048197004e-06,1.9960279271645127e-06,4.120638168436742e-07,8.053762858670897e-06,0.00013352240024098498,0.0,2.0555502143040733e-05,2.0061467013218045e-05,6.662630195251291e-06,3.743826445327559e-05,0.0010277751071520367,0.0,4.429041387229857e-05,4.594750530193298e-05,1.8714837363788586e-05,6.428277279301745e-05,0.0022145206936149287,0.0,6.020423101088601e-05,5.547446471360441e-05,2.9359328683786627e-05,0.00010715672947943572,0.003010211550544301,0.0,8.230409612784583e-05,8.248773264078208e-05,4.3697345914460296e-05,0.00012650994275986008,0.0041152048063922905,0.0,0.00018800508633712632,0.00019314853154784835,0.00012147178510583938,0.00026432091325953545,0.009400254316856314,0.0,0.00019026562897584624,0.00018563668128504542,0.00014628699166126957,0.00025913187881215305,0.009513281448792313,0.0,0.00024386873318307987,0.0002633246818690543,0.0001393359016692331,0.00031374574834485655,0.012193436659153995,0.0,0.00027306376760917,0.0002907802981712514,0.00016218160826037003,0.0003358685131579605,0.0136531883804585,0.0,2.7834615605730425e-05,2.871860795011452e-05,1.2599334822747665e-05,4.13364224859678e-05,0.001391730780286521,0.0,3.296055622518537e-08,1.6076195428020876e-08,1.4703109656438035e-08,1.841519108363695e-07,1.6480278112592684e-06,0.0
TGO.2.3_1,6.0,2.0504548220917465e-07,2.0504548220917465e-07,1.663998861088983e-07,2.43691078309451e-07,4.100909644183493e-07,0.0,8.534622724029209e-07,8.534622724029209e-07,6.523542794219325e-07,1.0545702653839097e-06,1.7069245448058417e-06,0.0,1.0988851267607973e-05,1.0988851267607973e-05,1.0803008461536923e-05,1.1174694073679022e-05,2.1977702535215945e-05,0.0,3.677787504057842e-05,3.677787504057842e-05,3.6197522865772135e-05,3.7358227215384695e-05,7.355575008115684e-05,0.0,6.352068777597951e-05,6.352068777597951e-05,6.138574122741931e-05,6.565563432453968e-05,0.00012704137555195902,0.0,7.663931290695731e-05,7.663931290695731e-05,7.398648043203803e-05,7.929214538187661e-05,0.00015327862581391462,0.0,0.00015698263040021197,0.00015698263040021197,0.00015615507620454883,0.0001578101845958751,0.00031396526080042404,0.0,0.00015968307587523322,0.00015968307587523322,0.00015721422867262337,0.00016215192307784303,0.00031936615175046643,0.0,0.00018135343421986705,0.00018135343421986705,0.0001792588317361636,0.00018344803670357042,0.00036270686843973415,0.0,0.000192674662266835,0.000192674662266835,0.0001897753489028646,0.00019557397563080544,0.00038534932453367,0.0,2.03664445353316e-05,2.03664445353316e-05,1.985149444485669e-05,2.0881394625806505e-05,4.07328890706632e-05,0.0,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,2.940621931287607e-08,0.0
TGO.2.4_1,7.0,3.146754639892592e-07,3.382698688277749e-07,1.2602852241979144e-07,5.162125511893315e-07,3.461430103881852e-06,0.0,5.600888186811296e-07,5.559647243415584e-07,3.1557623239494395e-07,8.940786632076237e-07,6.160977005492428e-06,0.0,1.1869281396959973e-05,1.174873701937453e-05,1.0123636805065796e-05,1.527113135738058e-05,0.00013056209536655968,0.0,4.068567618364225e-05,3.844882856645871e-05,3.457091795913364e-05,5.419361012316776e-05,0.0004475424380200648,0.0,6.365292959729508e-05,6.291204241151028e-05,5.71833420822818e-05,7.178570483599873e-05,0.0007001822255702457,0.0,8.238473453315122e-05,7.837260022091995e-05,7.333080721632462e-05,0.00010475813956454028,0.0009062320798646637,0.0,0.00018460169632641488,0.00017605452845103104,0.0001584477257914885,0.0002206247002402609,0.002030618659590564,0.0,0.00020114242451255496,0.00019696907618837784,0.0001629294217853433,0.00025175788267482805,0.0022125666696381045,0.0,0.0002219063987319293,0.0002072208771691009,0.00018966884371875864,0.00027165271844571356,0.002440970386051222,0.0,0.0002430854719218458,0.00022541062538731734,0.00020247955824542394,0.00028676333042353407,0.0026739401911403038,0.0,2.7484374139304776e-05,2.656397901715193e-05,2.230826426550936e-05,3.337585570209508e-05,0.00030232811553235255,0.0,1.5840777952135854e-08,1.4703109656438035e-08,1.4703109656438035e-08,2.4907221994401748e-08,1.7424855747349446e-07,0.0
TGO.2.5_1,8.0,2.29199543022828e-07,2.2590836056711224e-07,1.5012623483950145e-07,2.8916200282266305e-07,2.750394516273936e-06,0.0,2.2111742282148384e-07,2.3466188058781675e-07,1.1923272037586892e-07,3.254612684843235e-07,2.6534090738578056e-06,0.0,8.394956994825612e-06,8.341962605719612e-06,5.719763572147693e-06,1.0893524574086298e-05,0.00010073948393790734,0.0,2.700029654458795e-05,2.5340256870036012e-05,1.90894904296952e-05,3.950470009030745e-05,0.00032400355853505535,0.0,4.885750047000423e-05,4.847459059445836e-05,3.395256847495011e-05,6.672586298681779e-05,0.0005862900056400508,0.0,5.406866867456255e-05,5.117317502944908e-05,3.800847039293144e-05,7.841194439066921e-05,0.0006488240240947506,0.0,0.0001431382468116131,0.00013997187275043406,0.00010907680406655827,0.0001983125989548211,0.001717658961739357,0.0,0.00018228770959979887,0.00017542104536249684,0.00015137169560426456,0.00023839169588539858,0.0021874525151975863,0.0,0.00017590900359796668,0.00017386205567387504,0.00013774511848138932,0.00022264377876056915,0.0021109080431756,0.0,0.00021273087961898028,0.0002101106571788882,0.0001722828783186186,0.0002684952543585171,0.0025527705554277635,0.0,2.147384233022463e-05,2.1537085819295122e-05,1.2664458057332276e-05,3.1134586508285315e-05,0.0002576861079626956,0.0,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,1.4703109656438035e-08,1.7643731587725642e-07,0.0
TGO.2.6_1,9.0,7.57197125267022e-07,7.581654363329238e-07,3.785587809794949e-07,1.1965835885209198e-06,6.814774127403199e-06,0.0,2.5753656374385963e-06,2.0139276329368906e-06,9.205885513808424e-07,4.484216265104559e-06,2.317829073694737e-05,0.0,1.9662899819549373e-05,1.979697513426604e-05,1.0928402991453507e-05,2.8346018537592084e-05,0.00017696609837594435,0.0,5.8916450006583764e-05,6.23641769363323e-05,3.721305696543451e-05,7.506145337713567e-05,0.0005302480500592538,0.0,0.00010252149429727698,0.00010742467446920003,6.302374759192651e-05,0.00013903874234885873,0.0009226934486754927,0.0,0.00012305957384208568,0.00012528150621512064,8.060421445567893e-05,0.00015272240288156144,0.0011075361645787713,0.0,0.00022535473529892568,0.00023857234333307442,0.00015282955801132288,0.0002780754845983566,0.002028192617690331,0.0,0.00021353603487777068,0.00021128985947781103,0.00015238587193120543,0.00025691512178207534,0.001921824313899936,0.0,0.0002589661560208996,0.00026726416670507376,0.00017899961497825278,0.00031949730509462634,0.0023306954041880964,0.0,0.00027137090525947843,0.00028200988007691364,0.00018770622288804265,0.00033815000795116545,0.002442338147335306,0.0,2.890735869120749e-05,2.7807706609858648e-05,2.0774927808141227e-05,3.6057680393306567e-05,0.00026016622822086743,0.0,1.6102745670039262e-08,1.4703109656438035e-08,1.4703109656438035e-08,2.5335557851490025e-08,1.449247110303534e-07,0.0
TGO.3.1_1,10.0,2.1794761205118627e-05,2.1794761205118627e-05,2.1794761205118627e-05,2.1794761205118627e-05,2.1794761205118627e-05,0.0,4.794037857745723e-05,4.794037857745723e-05,4.794037857745723e-05,4.794037857745723e-05,4.794037857745723e-05,0.0,4.011187635560772e-05,4.011187635560772e-05,4.011187635560772e-05,4.011187635560772e-05,4.011187635560772e-05,0.0,7.146959114252968e-05,7.146959114252968e-05,7.146959114252968e-05,7.146959114252968e-05,7.146959114252968e-05,0.0,0.00010000634602997077,0.00010000634602997077,0.00010000634602997077,0.00010000634602997077,0.00010000634602997077,0.0,0.00013047262531090833,0.00013047262531090833,0.00013047262531090833,0.00013047262531090833,0.00013047262531090833,0.0,9.056283614643142e-05,9.056283614643142e-05,9.056283614643142e-05,9.056283614643142e-05,9.056283614643142e-05,0.0,4.527484022662056e-05,4.527484022662056e-05,4.527484022662056e-05,4.527484022662056e-05,4.527484022662056e-05,0.0,0.00011527626497202441,0.00011527626497202441,0.00011527626497202441,0.00011527626497202441,0.00011527626497202441,0.0,0.00019950252568352557,0.00019950252568352557,0.00019950252568352557,0.00019950252568352557,0.00019950252568352557,0.0,7.75594413869662e-05,7.75594413869662e-05,7.75594413869662e-05,7.75594413869662e-05,7.75594413869662e-05,0.0,3.323012842833792e-05,3.323012842833792e-05,3.323012842833792e-05,3.323012842833792e-05,3.323012842833792e-05,0.0
TGO.3.2_1,11.0,2.338405918225377e-05,2.4213209087229488e-05,1.594848533815245e-05,2.916133321640364e-05,9.353623672901507e-05,0.0,5.5409866483794265e-05,5.43515212980814e-05,5.101082586689098e-05,6.192559747212325e-05,0.00022163946593517706,0.0,4.536067730165264e-05,4.654464274198742e-05,3.303481210002405e-05,5.531861162261168e-05,0.00018144270920661057,0.0,7.405881954212702e-05,7.741694020765794e-05,5.8934533544917945e-05,8.246686420827418e-05,0.0002962352781685081,0.0,0.00010291189383864952,0.00010204502913175269,9.556002561528957e-05,0.00011199749147580308,0.00041164757535459807,0.0,0.00014698421560235383,0.00015142775564100914,0.0001282730903481729,0.00015680826077922412,0.0005879368624094152,0.0,9.284593807842983e-05,8.732676726437188e-05,7.005420065965133e-05,0.00012667601712532426,0.0003713837523137193,0.0,4.3728615337692135e-05,4.227906636692257e-05,3.150776166072595e-05,5.884856695619745e-05,0.00017491446135076854,0.0,0.00013582094688722234,0.00013339075006491946,0.00010839495230073628,0.00016810733511831414,0.0005432837875488894,0.0,0.0002152216161484433,0.0002105980211945665,0.00020042818813745307,0.00023926223406718725,0.0008608864645937732,0.0,8.130568045632485e-05,7.867029633318476e-05,6.218562143595397e-05,0.00010569650772297591,0.00032522272182529936,0.0,4.77042501621013e-05,4.8884508819580966e-05,3.1582217219786934e-05,6.146576578945634e-05,0.0001908170006484052,0.0
TGO.3.3_1,12.0,2.1180341663444505e-05,1.963349493254592e-05,1.755904518120886e-05,2.823121160107712e-05,0.0001482623916441115,0.0,5.095725600946426e-05,4.858596384901722e-05,4.389762975888892e-05,6.58759237422711e-05,0.0003567007920662499,0.0,4.3704850993261e-05,4.171015880355694e-05,3.926412794298715e-05,5.338790108145267e-05,0.000305933956952827,0.0,7.275200169517765e-05,6.939647249155854e-05,6.521667376511757e-05,9.044889792050562e-05,0.0005092640118662435,0.0,9.0915833822257e-05,8.976174840477684e-05,7.958493744414895e-05,0.00010747742155055915,0.0006364108367557991,0.0,0.00013911540987623434,0.00013630277191443597,0.00012410436629482858,0.00015674820603682184,0.0009738078691336404,0.0,9.560520597448189e-05,9.391485505124953e-05,7.911740703759267e-05,0.0001146977450047714,0.0006692364418213731,0.0,4.530655066243892e-05,4.494175511729032e-05,3.915456046130303e-05,5.127445056184323e-05,0.00031714585463707244,0.0,0.00012981977097844952,0.00012893440809786565,0.00010801046392808565,0.00015983654519131308,0.0009087383968491467,0.0,0.0002080346260986933,0.00020433658821835006,0.00017627699320608002,0.0002560028961712337,0.0014562423826908536,0.0,7.788535708216556e-05,7.906640835361869e-05,6.838645922595135e-05,8.503041755167663e-05,0.0005451974995751589,0.0,4.6264108345737956e-05,4.3237625008172746e-05,3.990627192166725e-05,5.628887352372165e-05,0.00032384875842016576,0.0
TGO.3.4_1,13.0,1.7657127884680815e-05,1.8454928432411134e-05,1.1527019708909241e-05,2.2203957912348348e-05,0.00019422840673148891,0.0,4.1516081166067154e-05,4.113677762100327e-05,3.568102287651994e-05,5.163681785059871e-05,0.0004566768928267387,0.0,4.864300001209321e-05,4.751023396556111e-05,3.871859961090001e-05,6.362506825115591e-05,0.0005350730001330253,0.0,7.51128925490685e-05,7.39605282801943e-05,6.016094178433005e-05,9.758349215177798e-05,0.0008262418180397535,0.0,9.813265899894332e-05,9.619348518822034e-05,7.732688145498333e-05,0.00013173097867949518,0.0010794592489883764,0.0,0.00016726560989260774,0.00015988367084222025,0.00013733145677698768,0.00021713863041023944,0.0018399217088186847,0.0,0.00016052088686441065,0.00014828344611102516,0.00011910855203816973,0.0002256929034196289,0.0017657297555085172,0.0,8.1350880444476e-05,7.514753822250659e-05,5.606623110212816e-05,0.00012755067661251334,0.0008948596848892364,0.0,0.00020211928910538748,0.00018605887058114,0.00014900737824251144,0.0002866254601752681,0.0022233121801592624,0.0,0.0002828677127981058,0.0002711267751040774,0.00023687071349222047,0.00037097592766029966,0.003111544840779164,0.0,8.878256183948107e-05,8.723137330494568e-05,6.98966760560978e-05,0.00010436353974195708,0.0009766081802342918,0.0,4.1588749744470726e-05,4.259730386024193e-05,3.207364095566905e-05,5.627535873885598e-05,0.0004574762471891781,0.0
