GID_2,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
TGO.1.1_1,1.0,96931.09407060329,97180.96795263304,94512.37629756107,98924.44104285364,5815865.644236198,0.0,96825.28707327496,97071.87862033947,94421.09903387324,98805.19969507432,5809517.224396498,0.0,96825.36421115173,97068.84450475204,94429.84466378253,98811.30848666787,5809521.852669102,0.0,96794.27877087977,97040.06323611087,94397.09382260073,98773.74837711632,5807656.726252785,0.0,96883.74811775696,97132.63049588619,94470.95144144756,98869.84541026724,5813024.887065417,0.0,97120.90554690867,97370.98684711162,94689.64203751674,99126.23245383547,5827254.332814522,0.0,97107.70481897033,97358.62239547637,94665.92350507424,99122.05300888776,5826462.28913822,0.0,97181.77778076618,97432.89094855693,94736.20007888704,99197.07281522578,5830906.666845971,0.0,97065.93314537297,97317.4116462078,94623.99900080307,99074.88335192182,5823955.988722377,0.0,96913.49148626221,97166.05392190572,94471.98308686877,98919.1029580877,5814809.489175732,0.0,96831.66482878887,97079.86941529199,94418.01094817373,98815.08292247172,5809899.889727333,0.0,96869.97067505024,97121.1675308252,94447.76007664377,98854.42255693812,5812198.240503015,0.0
TGO.1.2_1,2.0,97419.96961164656,97437.55160491398,96641.47182264428,98104.92636675175,2727759.149126104,0.0,97312.28577822598,97330.9213524995,96531.8062447458,98001.13794754675,2724744.0017903275,0.0,97298.93158840934,97317.92094618703,96508.64234443687,97992.3656954148,2724370.0844754614,0.0,97270.41071734947,97290.8582653289,96474.58276769168,97967.10330228492,2723571.500085786,0.0,97366.2866309184,97386.44667674508,96571.22321439844,98062.91819186944,2726256.025665716,0.0,97605.08868902127,97624.5919000787,96804.70173290698,98307.09091606623,2732942.483292595,0.0,97594.49852707474,97614.34907984656,96793.85723591606,98295.9190368064,2732645.958758093,0.0,97671.0306544269,97690.59208248617,96868.76052210217,98374.60874177047,2734788.858323953,0.0,97554.35509915462,97573.2889703513,96756.78227210883,98253.4778844683,2731521.94277633,0.0,97403.9828414538,97423.231579462,96607.03622004123,98102.81310673943,2727311.5195607063,0.0,97314.7264095558,97333.23170186604,96526.00334958787,98009.04936925431,2724812.3394675627,0.0,97364.3210007672,97382.73267031119,96585.40653444103,98051.15210938672,2726200.9880214813,0.0
TGO.1.3_1,3.0,96643.01490298164,96623.80525561873,95685.327373952,97491.94204799774,1739574.2682536696,0.0,96534.60219765721,96515.51366645994,95580.576876961,97381.10048063654,1737622.8395578298,0.0,96521.10511332784,96503.36048165981,95563.07254783684,97369.08337398824,1737379.8920399009,0.0,96486.83825397376,96468.25028057123,95525.61196465122,97339.30575800996,1736763.0885715275,0.0,96579.32888713313,96560.09110742953,95614.87942478346,97435.57217700963,1738427.9199683962,0.0,96814.00914186909,96794.73836747596,95843.55639976604,97675.32299503444,1742652.1645536437,0.0,96803.32856284356,96784.71285151812,95829.16355962963,97665.95451837633,1742459.914131184,0.0,96876.63329261732,96857.7116258519,95900.77801689351,97742.06006234196,1743779.399267112,0.0,96764.52759780273,96745.30349008724,95793.69342733842,97626.07046827227,1741761.4967604491,0.0,96613.88236633656,96594.59884257732,95643.65381466236,97475.27017813304,1739049.882594058,0.0,96531.60155821242,96512.75470271123,95572.90116054182,97382.25259890023,1737568.828047824,0.0,96584.01307817346,96564.2808495677,95627.46930137776,97434.21251272364,1738512.2354071224,0.0
TGO.2.1_1,4.0,95962.61126941846,96092.88823865457,95241.61570223133,96873.39265014614,863663.5014247661,0.0,95854.5726111866,95983.32807922382,95138.35088316268,96761.21582718633,862691.1535006794,0.0,95831.59083022305,95957.3829867629,95120.48398079463,96738.1124583978,862484.3174720075,0.0,95791.34386697883,95918.38576807652,95081.43868283887,96693.93853554023,862122.0948028095,0.0,95882.66053314734,96012.42377301137,95167.55522767312,96787.46905228127,862943.9447983259,0.0,96114.53910030126,96244.62265340246,95393.62527662037,97028.72930754538,865030.8519027112,0.0,96102.98656935783,96232.2066118948,95379.1150225588,97022.84620897767,864926.8791242206,0.0,96174.99283603056,96305.50146391011,95448.77795528168,97096.49916277252,865574.9355242752,0.0,96067.73020141329,96197.41649789916,95344.08021094148,96985.75499365774,864609.5718127196,0.0,95917.55483279836,96048.31443907236,95194.08332832556,96833.44144695676,863257.9934951853,0.0,95846.93732607392,95975.41967503936,95130.04174148527,96755.7334592698,862622.435934665,0.0,95904.13976619078,96036.11791398672,95181.58647365587,96812.75437401033,863137.257895717,0.0
TGO.2.2_1,5.0,98428.4913302467,98448.29375204512,96178.83846088608,99588.13044667279,4921424.566512335,0.0,98305.5381990205,98327.36521720416,96071.20870346091,99453.31165576227,4915276.909951027,0.0,98274.65711497156,98308.62725468927,96054.81315472812,99405.63022817926,4913732.855748579,0.0,98228.12720779632,98265.31627826381,96013.59368802184,99355.98493589839,4911406.360389817,0.0,98325.99158963027,98362.1223852869,96102.77322658012,99457.31900692164,4916299.579481514,0.0,98580.98347153133,98616.00526142074,96337.48766406164,99723.96000369496,4929049.173576566,0.0,98584.20908201694,98617.19476941603,96327.52284380584,99734.94807237091,4929210.454100847,0.0,98660.4953324929,98692.96202297011,96398.78040158443,99813.80866006804,4933024.7666246435,0.0,98546.38592678447,98575.99724042077,96290.69185807883,99701.33628302794,4927319.296339224,0.0,98392.22929260641,98421.56585076902,96138.66993946592,99544.99934262088,4919611.464630322,0.0,98300.4044567167,98325.8212417768,96065.3148440396,99447.05139931904,4915020.222835835,0.0,98365.09207200473,98383.22653059926,96117.07421615996,99526.52398774901,4918254.603600235,0.0
TGO.2.3_1,6.0,96610.19097627484,96610.19097627484,96607.88735830614,96612.49459424352,193220.38195254968,0.0,96493.78445133854,96493.78445133854,96491.39789351657,96496.1710091605,192987.56890267707,0.0,96449.55821921976,96449.55821921976,96448.59873351283,96450.51770492672,192899.11643843952,0.0,96400.87454049502,96400.87454049502,96400.80416320627,96400.94491778377,192801.74908099003,0.0,96500.72083471519,96500.72083471519,96500.65378007422,96500.78788935617,193001.44166943038,0.0,96739.5120158898,96739.5120158898,96738.96057698935,96740.06345479023,193479.0240317796,0.0,96733.45426702556,96733.45426702556,96732.76146003482,96734.14707401633,193466.90853405112,0.0,96808.13412904224,96808.13412904224,96807.39570982446,96808.87254826004,193616.26825808448,0.0,96702.49568072762,96702.49568072762,96701.05969262712,96703.93166882813,193404.99136145524,0.0,96552.91511012313,96552.91511012313,96551.83442276764,96553.99579747855,193105.83022024625,0.0,96481.94005373676,96481.94005373676,96481.35704054932,96482.5230669242,192963.88010747352,0.0,96553.04440459123,96553.04440459123,96551.5311919152,96554.55761726726,193106.08880918246,0.0
TGO.2.4_1,7.0,97432.09416332848,97348.17366440405,96343.23634201703,98755.16532839734,1071753.0357966132,0.0,97311.11688742033,97226.99452972108,96228.57009925057,98626.68741276034,1070422.2857616236,0.0,97263.76555026251,97167.71042107802,96187.89922737279,98574.99570737523,1069901.4210528876,0.0,97212.54310253412,97115.1085786152,96138.79595334547,98521.53759807628,1069337.9741278752,0.0,97314.1112458157,97221.98546226804,96235.05080179912,98626.75093574666,1070455.2237039728,0.0,97561.03558179947,97466.882006271,96472.31517353626,98885.59355519824,1073171.3913997945,0.0,97561.31075092137,97467.29381379377,96465.69939605622,98894.6038106593,1073174.418260135,0.0,97637.41123538086,97544.10124373807,96538.97562480324,98973.88420377843,1074011.5235891894,0.0,97529.01860860019,97437.52948975943,96434.32996966742,98861.23892568279,1072819.2046946022,0.0,97377.76595727737,97286.9337231328,96284.6931745482,98707.53217587652,1071155.4255300509,0.0,97299.43486820703,97209.93168963428,96216.17453261037,98616.67743628123,1070293.7835502774,0.0,97371.49326992324,97287.63553984431,96282.39028888544,98694.35661190072,1071086.4259691557,0.0
TGO.2.5_1,8.0,98559.20894121354,98765.5360401818,97333.54925473608,98971.48116554997,1182710.5072945624,0.0,98430.36915136641,98635.53998637183,97213.00873300107,98840.75801473123,1181164.4298163971,0.0,98369.24213785346,98576.4401134171,97164.50896834997,98782.92364343164,1180430.9056542416,0.0,98312.64271216614,98520.07544809484,97111.89100592675,98727.02018432607,1179751.7125459935,0.0,98420.99110787622,98628.11876009924,97214.26806839702,98833.92239600528,1181051.893294515,0.0,98677.4820189656,98886.58343957967,97460.03933249152,99094.51091105805,1184129.784227587,0.0,98686.85068149016,98897.11578769924,97459.8301946634,99106.32640463408,1184242.208177882,0.0,98766.10012512954,98977.0723293308,97535.78673057065,99185.57710860377,1185193.201501554,0.0,98654.98632291892,98864.44615901214,97427.87021188592,99073.31218085406,1183859.835875027,0.0,98502.8409066617,98711.98199485225,97276.77030218665,98920.37936444576,1182034.0908799404,0.0,98415.14842799595,98621.60307160363,97200.33366795882,98828.0997455031,1180981.781135952,0.0,98496.5301319826,98703.01573106217,97272.39040772837,98909.13034309307,1181958.3615837914,0.0
TGO.2.6_1,9.0,97236.08216521682,97236.69873032304,96468.8749180749,98090.00917935674,875124.7394869514,0.0,97118.25294960733,97117.39136328426,96353.91037740117,97967.36333373787,874064.2765464658,0.0,97082.13515734182,97078.23325443418,96315.29953634422,97929.00329500588,873739.2164160764,0.0,97035.40849147136,97031.13397497217,96267.39833139213,97879.43208254094,873318.6764232423,0.0,97135.14085192926,97131.67100144981,96363.5625302986,97980.40008277443,874216.2676673634,0.0,97378.93383116004,97376.23883561726,96601.97114382184,98232.74158775613,876410.4044804404,0.0,97376.38276166776,97373.67665643737,96596.36649841054,98236.4369031458,876387.44485501,0.0,97451.42831964852,97448.41526527372,96668.98053083834,98313.37963777482,877062.8548768369,0.0,97341.20235552087,97338.81378551378,96563.75752222528,98200.64711596217,876070.821199688,0.0,97189.66459129183,97187.97169070953,96413.24985124586,98047.12799328887,874706.9813216266,0.0,97111.85051599504,97111.2254827265,96344.18241366127,97961.94078973742,874006.6546439555,0.0,97178.9619545031,97179.97536099248,96409.79207835444,98030.93955197226,874610.657590528,0.0
TGO.3.1_1,10.0,100798.36619736599,100798.36619736599,100798.36619736599,100798.36619736599,100798.36619736599,0.0,100702.12032780304,100702.12032780304,100702.12032780304,100702.12032780304,100702.12032780304,0.0,100706.47623710195,100706.47623710195,100706.47623710195,100706.47623710195,100706.47623710195,0.0,100668.96682105103,100668.96682105103,100668.96682105103,100668.96682105103,100668.96682105103,0.0,100751.53791554637,100751.53791554637,100751.53791554637,100751.53791554637,100751.53791554637,0.0,101019.70597807744,101019.70597807744,101019.70597807744,101019.70597807744,101019.70597807744,0.0,101013.40502002576,101013.40502002576,101013.40502002576,101013.40502002576,101013.40502002576,0.0,101108.38047578502,101108.38047578502,101108.38047578502,101108.38047578502,101108.38047578502,0.0,100949.07114249107,100949.07114249107,100949.07114249107,100949.07114249107,100949.07114249107,0.0,100773.41853002226,100773.41853002226,100773.41853002226,100773.41853002226,100773.41853002226,0.0,100692.78137833624,100692.78137833624,100692.78137833624,100692.78137833624,100692.78137833624,0.0,100715.26920235569,100715.26920235569,100715.26920235569,100715.26920235569,100715.26920235569,0.0
