GID_2,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
ZMB.1.1_1,1.0,0.00016582690670229755,0.00016514842481909036,0.00014286495100664372,0.00019340709847606784,0.01641686376352746,0.0,0.00011884192208131772,0.00011508749264333794,9.112821133082472e-05,0.00016146161352748078,0.011765350286050457,0.0,5.7710241277575964e-05,5.731958857548494e-05,3.4237969527084475e-05,8.018833804123465e-05,0.005713313886480021,0.0,5.0565644281771035e-05,5.165356933838134e-05,3.332324515887304e-05,7.028048588848377e-05,0.0050059987838953325,0.0,7.818198157899992e-07,4.037729677988465e-07,2.441853054698729e-07,2.7779972041784537e-06,7.740016176320992e-05,0.0,6.221982898600138e-07,4.2720605492576117e-07,1.5050810710655212e-07,2.367851899809717e-06,6.159763069614139e-05,0.0,1.4578461779599259e-07,7.004925752935182e-08,2.940621931287607e-08,9.084143967977438e-07,1.4432677161803268e-05,0.0,1.7184932792672137e-07,9.830981576923e-08,6.268515756557925e-08,7.207423971834969e-07,1.7013083464745408e-05,0.0,3.1756806202807466e-07,1.0298948607061793e-07,1.4703109656438035e-08,2.285121654189999e-06,3.143923814077939e-05,0.0,3.430492478969862e-06,3.2124320596487517e-06,1.858331450965644e-06,5.3164297230926205e-06,0.0003396187554180164,0.0,5.495427095516811e-05,5.173562589114905e-05,3.9896922192519375e-05,7.412558081859057e-05,0.005440472824561643,0.0,5.7863037313789026e-05,5.6333283277594264e-05,3.683951604213667e-05,8.622362153815755e-05,0.005728440694065114,0.0
ZMB.1.2_1,2.0,0.00016196266894697754,0.00016487428448163057,0.00014961186902869375,0.00017205818835643407,0.0024294400342046627,0.0,0.00010590869628632836,0.0001076316552881878,9.4513529302146e-05,0.00011644037203544087,0.0015886304442949257,0.0,7.259755180663723e-05,7.361949212101851e-05,6.230777737556824e-05,8.115883602178134e-05,0.0010889632770995584,0.0,4.492847789131083e-05,4.477250281414592e-05,3.7308262684764805e-05,5.1555233147048214e-05,0.0006739271683696625,0.0,9.8851584435378e-07,9.874432699803805e-07,4.485111238897237e-07,1.6137982154173002e-06,1.4827737665306702e-05,0.0,5.953679764624277e-07,5.762125863974322e-07,3.6246367827882094e-07,9.433281244190296e-07,8.930519646936415e-06,0.0,1.1612030047748294e-07,1.1343832483335064e-07,5.8821066484841145e-08,1.6567611215321862e-07,1.741804507162244e-06,0.0,1.2232995907883285e-07,1.217036095624682e-07,7.866973127225183e-08,1.770382325119528e-07,1.8349493861824928e-06,0.0,2.0967265036534983e-08,1.591719850618142e-08,1.4703109656438035e-08,3.940140758443283e-08,3.145089755480248e-07,0.0,3.616797623576528e-06,3.5911107111219285e-06,3.150164434378629e-06,4.108437103396125e-06,5.425196435364792e-05,0.0,5.942932343126508e-05,5.8409098333788536e-05,4.3618033597754354e-05,7.235444532256491e-05,0.000891439851468976,0.0,5.7224291754860545e-05,5.6864452723311045e-05,4.6098801257394565e-05,6.93598906620284e-05,0.0008583643763229082,0.0
ZMB.1.3_1,3.0,0.0001904100370855589,0.00017921320730176016,0.0001406305594393424,0.00027265723490260934,0.02608617508072156,0.0,0.0001513985001399731,0.00014329090661700932,9.967772208408537e-05,0.0002314848820193753,0.020741594519176315,0.0,8.770760404440909e-05,8.653420445062773e-05,5.3365340296931186e-05,0.00013409260780238667,0.012015941754084046,0.0,6.724557851772774e-05,6.210212496549414e-05,3.4390812455264626e-05,0.00011417583504398394,0.0092126442569287,0.0,1.0054027233009391e-06,5.719483439723877e-07,3.340574824532357e-07,3.010672011283049e-06,0.00013774017309222872,0.0,6.263233579487297e-07,3.084989563547281e-07,4.1877192866019085e-08,2.8202940168464563e-06,8.580630003897596e-05,0.0,1.432204488056083e-07,4.410932896936832e-08,2.4237805979547635e-08,8.922211387419693e-07,1.9621201486368328e-05,0.0,1.5541328682517753e-07,9.363956204910721e-08,3.609861486248345e-08,6.840968174197907e-07,2.1291620295049327e-05,0.0,3.4324011662393526e-08,2.058145305124781e-08,6.338098529928199e-09,2.0885742685989907e-07,4.702389597747914e-06,0.0,4.8058901252287214e-06,4.7287730381485875e-06,3.1957766886025984e-06,7.4741895182268674e-06,0.0006584069471563349,0.0,8.488384816698144e-05,8.530702296775276e-05,4.080177625858979e-05,0.0001250943698029586,0.011629087198876457,0.0,9.720906363364972e-05,8.88590424553134e-05,5.282031473149698e-05,0.00017738028670380538,0.013317641717810013,0.0
ZMB.1.4_1,4.0,0.00016960428332242334,0.00016590676923749858,0.0001307230079957398,0.0002227812943155953,0.024592621081751385,0.0,0.00015619536261682055,0.0001553479317507212,0.00010754405100370842,0.00022281438216420122,0.022648327579438986,0.0,8.282411430375875e-05,8.424222517949659e-05,4.216023097673576e-05,0.00013620966821601286,0.01200949657404502,0.0,5.908993998513325e-05,6.136727457459563e-05,2.3264354298107433e-05,0.0001068483075108674,0.00856804129784432,0.0,4.623498064194532e-06,3.836120987231132e-06,1.5661071179543031e-06,1.1264336497507964e-05,0.000670407219308207,0.0,2.831845254938982e-06,2.560564400820821e-06,4.087878582801776e-07,8.00689069429297e-06,0.0004106175619661524,0.0,7.328796552789462e-07,7.566236743563655e-07,1.0646712303735457e-07,1.9254581248819487e-06,0.00010626755001544716,0.0,7.699913563529199e-07,6.828218962616348e-07,1.5464403556247118e-07,2.216791607226219e-06,0.00011164874667117339,0.0,7.399651392655085e-07,3.054453886279562e-07,2.940621931287607e-08,4.21551843346775e-06,0.00010729494519349871,0.0,7.404101566956308e-06,6.514637529915782e-06,2.3139395790281915e-06,1.3842782222083175e-05,0.0010735947272086646,0.0,8.803838417046268e-05,8.633619013316447e-05,3.954715306781804e-05,0.00013486096114868982,0.012765565704717088,0.0,0.00011572252660195352,0.00011675660956034518,6.515733742514002e-05,0.00016473838591816106,0.01677976635728326,0.0
ZMB.1.5_1,5.0,0.00018504376905508377,0.0001840897125764864,0.00014062382116177563,0.0002361116126999358,0.031642484508419326,0.0,0.00013894300098487512,0.00014022687822988025,8.763139762241518e-05,0.00017201281343602907,0.023759253168413645,0.0,4.587800135671592e-05,4.803245245443374e-05,1.8225381913677216e-05,7.742725614299488e-05,0.007845138231998422,0.0,6.992131482133195e-05,7.019727091268078e-05,5.005325182450316e-05,9.936239671467186e-05,0.011956544834447762,0.0,1.9336835824933523e-07,1.854378937957448e-07,5.59094523543892e-08,5.324030381796568e-07,3.306598926063632e-05,0.0,1.5815490653483135e-07,1.1155595614730272e-07,2.940621931287607e-08,8.211841918614104e-07,2.704448901745616e-05,0.0,4.0012725216550396e-08,3.7682378890838667e-08,2.4606671697177087e-08,8.488398065877782e-08,6.842176012030118e-06,0.0,5.6550825344394016e-08,5.2119643475250905e-08,2.940621931287607e-08,1.1599562510551245e-07,9.670191133891375e-06,0.0,2.625157523288702e-07,1.1605001739126733e-07,1.4703109656438035e-08,1.372205298267041e-06,4.489019364823681e-05,0.0,2.6165806154604684e-06,2.6182653709284463e-06,1.5876960912303175e-06,4.367057507121572e-06,0.00044743528524374,0.0,7.060058790291744e-05,7.338326192797162e-05,3.8541396881880905e-05,9.861710078566602e-05,0.012072700531398882,0.0,7.862543483811277e-05,8.578439918613658e-05,3.279707822912053e-05,0.00012118409765357087,0.013444949357317285,0.0
ZMB.1.6_1,6.0,0.00021842311916974832,0.00021299887245312206,0.00015699836159094042,0.00034259267316368144,0.04150039264225218,0.0,0.00019614928225840717,0.00019291386731743943,0.00015008943426249766,0.000306567628585926,0.03726836362909736,0.0,0.00014078217023836222,0.00012872646889668132,8.03243166412221e-05,0.0002445913029062919,0.026748612345288823,0.0,8.49857824849456e-05,8.197757377392715e-05,5.9985727039856544e-05,0.00015133764985905584,0.01614729867213966,0.0,5.780118889011503e-06,5.892726108438691e-06,6.063053869962468e-07,1.396732935876474e-05,0.0010982225889121856,0.0,2.9363370724311838e-06,2.23651813499553e-06,2.940621931287607e-08,9.654834336848063e-06,0.0005579040437619248,0.0,8.755218060135491e-07,8.457907558864138e-07,2.940621931287607e-08,2.47110685572678e-06,0.0001663491431425743,0.0,8.524240401290117e-07,6.54226126717977e-07,9.937919191366904e-08,2.938370555012125e-06,0.00016196056762451223,0.0,2.042522582839029e-06,1.2703414057130509e-06,1.4703109656438035e-08,7.3484414243658294e-06,0.00038807929073941556,0.0,1.3383183610576013e-05,1.2655749198354429e-05,8.302996868016844e-06,3.209711112254922e-05,0.002542804886009442,0.0,0.00010427978443706012,0.00010595174590496009,6.268562910133968e-05,0.0001486375910050081,0.01981315904304141,0.0,0.0001792795011416185,0.00017640248161345933,0.00013477540592795847,0.0002875626665884501,0.034063105216907516,0.0
ZMB.2.1_1,7.0,0.0002532031029724055,0.00024557581962393886,0.00022773219893928507,0.0002930209967057911,0.0017724217208068386,0.0,0.00021639246487082902,0.00021306269919146986,0.0001963136175930002,0.00024491626330103795,0.0015147472540958033,0.0,0.00016637383771250571,0.00016264999428491258,0.00015030180774985288,0.00019122437907878088,0.00116461686398754,0.0,0.00011362445389150075,0.00011613352282173174,0.00010144737861606598,0.00012761668180079715,0.0007953711772405054,0.0,3.1567896155107424e-06,3.4595011512809724e-06,2.409800981969648e-06,3.807982376712626e-06,2.2097527308575197e-05,0.0,2.8338556444846653e-08,2.940621931287607e-08,2.193257923667018e-08,2.940621931287607e-08,1.983698951139266e-07,0.0,9.418965656903943e-08,9.598717875197287e-08,8.088686813790631e-08,1.1144555319095092e-07,6.593275959832762e-07,0.0,2.990448397865384e-07,2.927223916553312e-07,1.7279811946970544e-07,4.116870703807529e-07,2.093313878505769e-06,0.0,6.139171536321205e-08,5.9494896331095674e-08,5.1480648825003046e-08,6.78814002388954e-08,4.2974200754248417e-07,0.0,8.598024795011582e-06,8.629748868618507e-06,7.526682561322047e-06,9.153649782122574e-06,6.018617356508108e-05,0.0,0.00014602829277921516,0.00014712784387084204,0.00013265160163678384,0.000159014565834998,0.001022198049454506,0.0,0.00022554550455909037,0.00022414628351174668,0.00019949014076769408,0.00024878178212639387,0.0015788185319136323,0.0
ZMB.2.2_1,8.0,0.0002386257886496674,0.00023404943278290888,0.00021962776092042567,0.00027117427319860285,0.003102135252445676,0.0,0.00021062069140465576,0.00020923405140105681,0.0001909168218096933,0.00024333819091634733,0.002738068988260525,0.0,0.00015185529261241767,0.00015172618346914434,0.00014365315077684616,0.00016576879365628785,0.00197411880396143,0.0,0.00010271921034528308,0.00010219692895565457,9.135541634459168e-05,0.00011872464498055469,0.0013353497344886804,0.0,3.098294676557141e-06,3.1429730349689807e-06,2.0826597415039397e-06,3.619549998613009e-06,4.027783079524282e-05,0.0,3.024168875035542e-08,2.940621931287607e-08,2.940621931287607e-08,3.4903845592575786e-08,3.9314195375462057e-07,0.0,8.294372719258548e-08,8.245623145541147e-08,7.236351275365348e-08,9.728999144332762e-08,1.0782684535036112e-06,0.0,1.8896789472321247e-07,1.9528900983211122e-07,1.026619438906809e-07,2.8704915713463645e-07,2.456582631401764e-06,0.0,5.7171603030778696e-08,5.264417957837497e-08,2.9842354164906764e-08,1.1747566814756944e-07,7.432308394001229e-07,0.0,8.507214495855958e-06,8.585118773596969e-06,6.936778124922023e-06,9.511437528995641e-06,0.00011059378844612744,0.0,0.0001411484080878161,0.0001392337074061761,0.000124733155743231,0.0001666599256179235,0.0018349293051416094,0.0,0.00020530448795208064,0.00020252790264260945,0.0001885653178358124,0.00023150785781589125,0.0026689583433770485,0.0
ZMB.2.3_1,9.0,0.0002534873630909567,0.00025424677680332985,0.00022738924033042002,0.00027638789981986414,0.0027883609940005235,0.0,0.00022198600433454964,0.00021898881743818746,0.0001965949841648068,0.0002392863420827782,0.0024418460476800467,0.0,0.00015339387565621774,0.0001546693512563233,0.00013951721251726485,0.00016117299919537326,0.0016873326322183954,0.0,0.00010884531456924812,0.00011111034145776678,9.631821125806304e-05,0.00012010517182957913,0.0011972984602617294,0.0,2.7492189278768392e-06,2.705072061374152e-06,1.704714401527407e-06,3.884415285515662e-06,3.0241408206645228e-05,0.0,3.5994333193439755e-08,3.611523866657763e-08,2.940621931287607e-08,4.410932896936832e-08,3.9593766512783727e-07,0.0,7.478771182164666e-08,7.381503001719144e-08,6.650395368960855e-08,8.763949744071222e-08,8.226648300381131e-07,0.0,1.8456407643228922e-07,1.829571841953584e-07,1.4782115188634687e-07,2.2278876607227827e-07,2.030204840755181e-06,0.0,3.0066272662438084e-08,2.940621931287607e-08,2.940621931287607e-08,3.666680615805824e-08,3.307289992868189e-07,0.0,8.357294131303284e-06,8.078633068003076e-06,6.553826021218363e-06,1.0184911594749952e-05,9.193023544433612e-05,0.0,0.00014777087542438723,0.00014827763767783416,0.00013406318903231825,0.00015953939826066356,0.0016254796296682596,0.0,0.00019824167317839323,0.00020062403657594097,0.0001781283762613055,0.00021355527534423755,0.002180658404962325,0.0
ZMB.2.4_1,10.0,0.00023063391314308485,0.00022408325960980943,0.00021457463955952937,0.00025166794787356443,0.002075705218287763,0.0,0.00021548521790647128,0.00020682169878592438,0.00018848942813151786,0.0002463443678521885,0.0019393669611582414,0.0,0.00015842983955086218,0.00014833800291726764,0.00013303038178406326,0.00019965943634136,0.00142586855595776,0.0,9.815804509432652e-05,9.614561470517231e-05,8.736568307954554e-05,0.00011110184978246168,0.0008834224058489387,0.0,2.1792943791304986e-06,1.9815760256780524e-06,1.8305737871118115e-06,2.9514920316773752e-06,1.9613649412174488e-05,0.0,4.798976071487053e-08,4.083163312183265e-08,2.9343929428590004e-08,8.51391232761723e-08,4.3190784643383453e-07,0.0,7.266050851291929e-08,7.238386069258384e-08,5.881243862580634e-08,8.646667114778114e-08,6.539445766162736e-07,0.0,1.9262327217716679e-07,1.6701678079043658e-07,1.492687035459447e-07,2.999041678915068e-07,1.7336094495945003e-06,0.0,2.3778962425703925e-08,2.693212101660102e-08,1.4703109656438035e-08,2.940621931287607e-08,2.140106618313353e-07,0.0,7.874934331151404e-06,7.664210643643483e-06,7.024166015968389e-06,8.944685764773544e-06,7.087440898036264e-05,0.0,0.00014286813218332355,0.0001368662246380275,0.00012556748058579331,0.00015986431034529058,0.0012858131896499125,0.0,0.00018614060380077368,0.0001773101166318897,0.00016477900610542483,0.0002137269230952941,0.0016752654342069636,0.0
