GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
AGO.1_1,1.0,0.00016821068732139076,0.00015453061149980774,2.0992529496611147e-05,0.00034935820950887653,0.04592151763873968,1.7985611510791366,0.00015682546074325445,0.0001459091015610095,1.2913151870612926e-05,0.0003239667879619873,0.04281335078290847,1.7985611510791366,9.085626944512604e-05,7.504667870841061e-05,3.775302163285232e-06,0.00024193857998015063,0.02480376155851941,1.7985611510791366,0.00016735497138841698,0.00012234406356700442,1.668602088595641e-05,0.0004970644540507505,0.04568790718903784,1.7985611510791366,3.803535927002015e-05,1.9027266561865675e-05,7.695567471721948e-07,0.0001445610123493089,0.010383653080715498,1.7985611510791366,5.167179076838563e-06,3.985963254504911e-06,4.5506167637066976e-07,1.7306961997619988e-05,0.0014106398879769274,1.7985611510791366,4.473888756963041e-06,3.388310427769878e-06,6.463270682789608e-07,1.7305391214263402e-05,0.00122137163065091,1.7985611510791366,9.470413644506147e-06,6.808391983917827e-06,5.495383299048853e-07,3.396906881015221e-05,0.0025854229249501785,1.7985611510791366,1.3852478748142584e-05,1.1399008896978618e-05,1.668708205304621e-06,3.1894224977283646e-05,0.003781726698242925,1.7985611510791366,2.758902046206493e-05,2.060734566965102e-05,4.665927098256367e-06,0.00013635328190811887,0.007531802586143726,1.7985611510791366,8.006930630389575e-05,5.193005996799268e-05,3.6503148409366974e-06,0.00031403340179581013,0.021858920620963538,1.7985611510791366,7.387174602439388e-05,5.688096467019418e-05,3.2616635002235576e-06,0.00022259571343326339,0.02016698666465953,1.7985611510791366
AGO.2_1,2.0,0.00017964947641662836,0.0001950861709535696,2.97193608146452e-06,0.00036162521209019954,0.05658958507123794,1.5625,0.00017969434062074322,0.00019715580324229185,2.658579950861776e-06,0.0003179986573305011,0.05660371729553412,1.5625,0.00014435262271459486,0.0001629157337980978,1.7658109117468342e-06,0.0002568796246769935,0.04547107615509737,1.5625,0.00011047336828302437,0.0001201692207013679,5.857815758274127e-07,0.00023206368155915166,0.034799111009152665,1.5625,4.620683142470796e-06,1.8938386532994614e-06,4.6618603731639834e-08,3.385597064702708e-05,0.0014555151898783007,1.5625,3.6350501383244864e-06,2.544927050029805e-06,2.507182389873069e-08,2.93889224322669e-05,0.0011450407935722135,1.5625,3.902001274215895e-06,2.9093132368524103e-06,2.507182389873069e-08,3.168861975216966e-05,0.001229130401378007,1.5625,4.004712361214602e-06,2.1834671175518453e-06,2.7360572557406173e-07,2.742239660469517e-05,0.0012614843937825994,1.5625,8.077265515660484e-06,5.960799778233798e-06,1.394709658266305e-07,2.9610984047799266e-05,0.002544338637433053,1.5625,5.628376367262234e-05,4.846493225412399e-05,2.5629055833428715e-07,0.0001710519254125949,0.017729385556876042,1.5625,0.00011670528748173659,0.00010748606802395868,2.0849511816128086e-07,0.00027943664121374317,0.03676216555674703,1.5625,4.024166463784441e-05,3.1772900374114255e-05,7.7801135792372e-08,0.0001104803408971814,0.012676124360920988,1.5625
AGO.3_1,3.0,0.0002925657120093239,0.00029878568155460234,0.00017648124578647446,0.00043898242051561406,0.17056581010143584,0.0,0.00026583526384369637,0.000261099175332696,0.00015762537149848768,0.0004190222741859717,0.15498195882087498,0.0,0.00021718642670174888,0.00021534605258398943,0.00013057633575201788,0.0003409717008207786,0.1266196867671196,0.0,0.00017194987275278315,0.00016871613828018354,6.1007847793337e-05,0.00028091901605045927,0.1002467758148726,0.0,2.0407455802294701e-07,1.0577622851765684e-07,1.2535911949392454e-08,1.6112768145857746e-06,0.0001189754673273781,0.0,2.6901728844085224e-08,2.507182389873069e-08,1.2535911949392454e-08,6.147273725173784e-08,1.5683707916101684e-05,0.0,3.5852912312207525e-08,2.507182389873069e-08,2.507182389873069e-08,8.775138364558455e-08,2.0902247878016985e-05,0.0,7.320984704416707e-06,4.919498295980832e-06,1.2535911949392454e-08,2.568047152575705e-05,0.00426813408267494,0.0,9.02131220535738e-06,7.224550395251814e-06,1.048807964659588e-06,4.994807018384983e-05,0.005259425015723353,0.0,7.794111702356546e-05,6.583900414210274e-05,3.434704089443127e-05,0.00018683349140187882,0.04543967122473866,0.0,0.00023327164806354408,0.00023402837224089024,0.00015316176143504825,0.00032667520067131644,0.1359973708210462,0.0,0.00016648589545697343,0.0001567426077564008,9.531805629515864e-05,0.00032701873266881537,0.09706127705141553,0.0
AGO.4_1,4.0,0.00024504362474772823,0.00023644566516662304,0.00013130550723862422,0.00033596251778748843,0.013967486610620508,0.0,0.0002483940194608898,0.0002352577426488408,0.0001334766704547743,0.00033908589366602745,0.01415845910927072,0.0,0.00017995491086631246,0.00016491513279897152,8.093375775436535e-05,0.0002661373624751395,0.010257429919379809,0.0,0.00021609997533895807,0.00020109069930321,0.00010056482621392603,0.0003130060615777397,0.012317698594320615,0.0,9.43383806857196e-05,8.336109523496873e-05,3.4730942224983164e-05,0.00015058735833089817,0.005377287699086017,0.0,3.3382863977709186e-05,2.955921448608204e-05,1.4704624716610135e-05,6.354367842175117e-05,0.0019028232467294235,0.0,1.7700134005183276e-05,1.7795348062781767e-05,6.969967043849302e-06,2.665397515538299e-05,0.0010089076382954467,0.0,2.8059331735908393e-05,2.443920015822761e-05,1.0279447798482783e-05,6.230657607175644e-05,0.0015993819089467779,0.0,2.8857982643604688e-05,2.331833577396682e-05,1.34134257858251e-05,6.065549008248561e-05,0.0016449050106854676,0.0,8.384716312058556e-05,7.358281194907857e-05,3.693079660284181e-05,0.00017779888848708014,0.004779288297873378,0.0,0.0002289912120759513,0.00020908523192816365,0.00011919467295989336,0.00034945572411312215,0.013052499088329223,0.0,0.00021861905544408983,0.00020376139718280008,9.426336721325212e-05,0.00035342902340393715,0.01246128616031312,0.0
AGO.5_1,5.0,0.00018052522366175533,0.00016249563284104231,0.00010098510240525792,0.0004101085080897135,0.2888403578588085,0.0,0.00019324353630025126,0.00017628303724231566,0.00011551295551303283,0.0003501510013517482,0.30918965808040205,0.0,0.00017189776448544244,0.000159188535307761,0.00011471305888868696,0.00028492866168257163,0.2750364231767079,0.0,4.116385656921634e-05,3.698411046018188e-05,1.0184474057564689e-05,0.00011725660777197588,0.06586217051074614,0.0,1.9070262592098002e-08,1.6736169511681234e-08,1.2535911949392454e-08,7.498096197500019e-08,3.0512420147356798e-05,0.0,3.024802331328583e-08,2.507182389873069e-08,1.2535911949392454e-08,1.7143549180980567e-07,4.8396837301257315e-05,0.0,2.746021576100798e-08,2.507182389873069e-08,2.507182389873069e-08,6.267955974685385e-08,4.3936345217612784e-05,0.0,1.8761944915481984e-06,2.34550389091009e-07,1.2535911949392454e-08,1.1807625707294975e-05,0.003001911186477118,0.0,5.578704064901458e-07,2.1382983911184922e-07,0.0,4.99240843956444e-06,0.0008925926503842332,0.0,6.833050281544758e-06,2.2697856741409084e-06,1.906571588667653e-07,4.655615978099218e-05,0.010932880450471609,0.0,0.00011760838362896245,0.00010280450664664442,4.118580290359912e-05,0.00028037725335277377,0.1881734138063399,0.0,0.00011690553430422561,0.00010781838816713128,5.298724708634478e-05,0.00027639324331574087,0.18704885488676096,0.0
AGO.6_1,6.0,0.0002687554432226326,0.0002641000333309468,0.00017131398465443595,0.00036921583186206165,0.0510635342123002,0.0,0.00023361340165789122,0.0002285843817097549,0.00013690717007612074,0.00033983683695230324,0.04438654631499932,0.0,0.00017174289903046204,0.00016391503745797467,8.460626953507706e-05,0.0002709154880874493,0.03263115081578779,0.0,0.00034100085113338236,0.00033139367253589067,0.00013599044020990358,0.0005435561677654771,0.06479016171534266,0.0,4.947577094157224e-05,4.217978087589844e-05,1.0072581060223423e-05,0.0001344109619684297,0.009400396478898723,0.0,6.550680282696253e-06,5.504683529026929e-06,1.1336886127274002e-06,1.631965501124388e-05,0.001244629253712288,0.0,6.357270541968655e-06,4.964110891689845e-06,1.2542909189280024e-06,1.935701677945767e-05,0.0012078814029740446,0.0,2.1755416764855205e-05,2.09218820900204e-05,5.153616448076326e-06,4.688663536982696e-05,0.0041335291853224895,0.0,3.749786609421613e-05,3.282285450634927e-05,5.9613503663002215e-06,0.00010555053353575382,0.007124594557901065,0.0,0.00010127023737452704,8.052797598981205e-05,2.03839286324037e-05,0.0002700333856919472,0.019241345101160136,0.0,0.00020556061085666931,0.0002134436102343345,3.38563795916565e-05,0.0003837778652605328,0.039056516062767166,0.0,0.00015876523086358934,0.00016126797273534143,6.412367879788025e-05,0.0002525658915564369,0.030165393864081968,0.0
AGO.7_1,7.0,0.000173042577705565,0.0001742162799666577,2.566565053673623e-05,0.00028531555600623136,0.07631177676815418,0.8988764044943821,0.0001490255870686831,0.00014958433216840581,1.9055084140976335e-05,0.00029173049445766473,0.06572028389728925,0.8988764044943821,0.00013615127258672982,0.00013835779260411017,7.3563574034710115e-06,0.00023556133934252401,0.06004271121074785,0.8988764044943821,0.000182747364686521,0.00018622874155846354,1.4191511987645746e-05,0.00031373575372945005,0.08059158782675578,0.8988764044943821,9.279194014272503e-06,5.2979838492071615e-06,1.9829774806970433e-07,4.082618051874161e-05,0.004092124560294175,0.8988764044943821,3.3716255977169232e-06,1.6701780385733059e-06,1.3683500387996552e-08,2.902397220809459e-05,0.001486886888593163,0.8988764044943821,3.4136640240343662e-06,1.5995537208616768e-06,2.507182389873069e-08,2.9926738822389116e-05,0.0015054258345991553,0.8988764044943821,8.322764863809511e-06,8.216204896451416e-06,4.2435818952978075e-07,1.990067488884767e-05,0.0036703393049399937,0.8988764044943821,2.647297068266621e-05,2.3756420233135932e-05,1.3468326578806732e-06,7.382313167670338e-05,0.0116745800710558,0.8988764044943821,0.00010016717871465486,9.643405608442952e-05,4.6313656028928004e-06,0.00022585565114966268,0.044173725813162784,0.8988764044943821,0.00017692804422130828,0.00017774405168279262,3.821944431959218e-06,0.00033985114354864504,0.07802526750159695,0.8988764044943821,9.094750586754198e-05,9.41140636270262e-05,5.0249603030329376e-06,0.00016576352719760188,0.04010785008758602,0.8988764044943821
AGO.8_1,8.0,0.00011920615356034864,0.00011584190234871089,2.177057668485824e-05,0.0002743794663878237,0.07390781520741617,0.0,0.00010859353451133459,0.0001114146359285642,8.039767000400952e-06,0.00024433156742924777,0.06732799139702744,0.0,0.0001111833155658087,0.00011471890225328028,1.3135030054733764e-05,0.00020192101446137663,0.0689336556508014,0.0,3.6266736550028333e-05,3.477384024526883e-05,2.1712449781379486e-06,7.052512176730226e-05,0.022485376661017558,0.0,1.5706092288047812e-08,1.2535911949392454e-08,0.0,9.493704560170195e-08,9.737777218589645e-06,0.0,1.4181683594239173e-08,1.2535911949392454e-08,0.0,4.0703508136204884e-08,8.792643828428287e-06,0.0,2.6837113729005e-08,2.507182389873069e-08,0.0,2.076960620614666e-07,1.6639010511983097e-05,0.0,3.8433393464142656e-08,1.2535911949392454e-08,0.0,5.19856334630159e-07,2.382870394776845e-05,0.0,2.408280734233581e-07,1.6460814278256074e-07,6.563480444439173e-10,1.3125508122644757e-06,0.00014931340552248206,0.0,3.877825457850759e-06,3.113966811006685e-06,2.7481548811711396e-07,1.474649308372078e-05,0.00240425178386747,0.0,3.722163054669521e-05,3.856047950435194e-05,2.760263952263081e-07,0.00011420884790581121,0.023077410938951028,0.0,3.7424130016320667e-05,4.080757774226762e-05,5.036105537558796e-07,9.034516760128728e-05,0.023202960610118808,0.0
AGO.9_1,9.0,0.0002255063118817792,0.00022051982693930611,0.00015257012920003672,0.00031670525810269094,0.05998467896055325,0.0,0.00022338207155271977,0.0002149962913065291,0.0001395373622187117,0.00030831881875792097,0.05941963103302346,0.0,0.00019286304658987843,0.00018688762350765726,0.0001270475932543329,0.0002731245181139684,0.051301570392907635,0.0,0.00014304123435823781,0.00013613465606148432,0.00010066578969793252,0.00022353716067113945,0.03804896833929125,0.0,7.716009752294454e-07,4.078358688869792e-07,5.3321317794982816e-08,4.349017785167367e-06,0.00020524585941103247,0.0,4.764305811408794e-08,4.314353423987228e-08,1.8564739033760156e-08,3.428244732503049e-07,1.267305345834739e-05,0.0,1.0485222251822568e-07,6.267955974685385e-08,2.507182389873069e-08,9.280603197823294e-07,2.7890691189848035e-05,0.0,2.9199158082983885e-06,2.258526727152864e-06,6.096501818431022e-08,1.0880501234063067e-05,0.0007766976050073713,0.0,1.4080993528257858e-05,1.1127248554428537e-05,9.09786264041596e-07,4.2314964458502646e-05,0.003745544278516591,0.0,9.531584505522876e-05,8.700219796346222e-05,3.799368857357358e-05,0.0002153158066306989,0.02535401478469085,0.0,0.0001950900254644113,0.0001785094407411129,0.00012558592791136577,0.00035616323719646847,0.05189394677353338,0.0,0.0001007739245149889,9.745771291354056e-05,5.753392632367806e-05,0.00016190461273734568,0.02680586392098705,0.0
AGO.10_1,10.0,0.00022146620104343618,0.00021034766779699042,0.00011350160725628369,0.0003363175741818003,0.14063103766258198,0.0,0.00017475809562640424,0.00016742625837805946,8.976539935364169e-05,0.00031601977523648813,0.11097139072276667,0.0,0.0001764137728877681,0.00016871477470085534,9.680002649499003e-05,0.0002635839071882481,0.11202274578373277,0.0,9.01888043915647e-05,8.744550101290709e-05,4.1105224606090556e-05,0.00014250311361213908,0.057269890788643585,0.0,4.660179683470427e-08,2.507182389873069e-08,1.2535911949392454e-08,6.327722552791445e-07,2.9592140990037208e-05,0.0,3.999329066673619e-08,2.507182389873069e-08,1.2535911949392454e-08,7.538869230669431e-07,2.539573957337748e-05,0.0,7.022462572545344e-08,3.4716528450873614e-08,2.507182389873069e-08,1.482269852744237e-06,4.4592637335662926e-05,0.0,3.067015190297542e-07,1.4120667165458465e-07,1.2535911949392454e-08,2.3740357627806755e-06,0.000194755464583894,0.0,1.2847437568580855e-06,8.17732070216262e-07,8.775138364558455e-08,8.83180979764732e-06,0.0008158122856048843,0.0,2.407273100418753e-05,2.00234688359602e-05,1.7539007981896606e-06,7.743103188888561e-05,0.015286184187659084,0.0,8.854491466850985e-05,8.411506625147745e-05,8.361667511102794e-06,0.00020744673088763432,0.05622602081450377,0.0,6.498191205513909e-05,6.479394876102053e-05,2.0287130323211082e-05,0.000104444716401973,0.041263514155013316,0.0
