GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12
BEN.1_1,1,26.26250458,26.26616287,25.37286377,27.00462914,5620.175781,0,28.22506523,28.22465134,27.27412796,29.04349709,6040.164063,0,32.99032211,33.06572723,31.76873398,33.49461746,7059.928711,0,33.37108994,33.28450012,31.54737091,35.01417923,7141.413086,0,32.4222374,32.32891083,30.62275887,34.15952301,6938.358398,0,29.9540062,29.81224251,28.32120705,32.01309204,6410.157227,0,26.50732422,26.39326477,25.31999397,28.02731323,5672.567383,0,25.59313011,25.55262756,25.16489792,26.27453041,5476.929688,0,25.80338669,25.6798439,24.93436241,27.08236885,5521.924805,0,27.52274323,27.44524574,26.36963272,29.03582001,5889.867188,0,27.98370361,27.92797852,27.45714378,29.00524521,5988.512695,0,27.6797657,27.66283226,26.93066216,28.61894989,5923.469727
BEN.2_1,2,26.42399979,26.28200722,25.31328964,27.77885437,4412.808105,0,28.30323792,28.24337006,26.87146378,29.70194244,4726.640625,0,31.90854263,31.87063789,29.72624779,33.67483521,5328.726563,0,31.22412491,31.22097015,28.6902523,33.74314117,5214.428711,0,30.11125183,30.11264992,27.50805092,32.50613022,5028.579102,0,28.18447113,28.18902016,25.76078033,30.48649216,4706.806641,0,25.07038879,25.02063942,23.36201859,26.60071564,4186.754883,0,24.89164925,24.9569416,23.53087425,25.70973587,4156.905273,0,24.76815033,24.74514961,23.21827126,25.93842316,4136.28125,0,26.28543663,26.35613632,24.90871429,27.42947388,4389.667969,0,27.67923737,27.54035759,26.47027588,28.71748734,4622.432617,0,27.62567902,27.44538116,26.44290733,28.8844223,4613.488281
BEN.3_1,3,28.00595284,27.89200974,27.42250252,28.93953133,728.1547852,0,29.19029617,29.14191818,28.34959984,30.25527382,758.9476929,0,28.65222549,28.62366867,28.3492775,29.06765175,744.9578857,0,28.42337036,28.39631462,28.19447517,28.76728821,739.0076294,0,27.70313644,27.69416618,27.38540649,28.03397942,720.2815552,0,25.94175911,25.94059372,25.63265038,26.39487457,674.4857178,0,24.86704254,24.85429382,24.58265495,25.10584641,646.5430908,0,24.75915337,24.74927139,24.55562782,25.10191345,643.7379761,0,25.32163429,25.3298912,25.03431702,25.60147095,658.3624878,0,26.04464531,26.04991531,25.72175789,26.33516121,677.1607666,0,27.11512566,27.11083603,26.80646515,27.34235573,704.9932861,0,27.5234642,27.52146912,27.23763466,27.94558907,715.6100464
BEN.4_1,4,26.46203232,26.48277664,25.39910507,27.49504662,5636.413086,0,28.2540493,28.28972626,27.21320152,29.32404137,6018.112305,0,31.00831223,30.85588264,30.01920319,33.06416702,6604.770508,0,30.31685829,30.05423927,29.21427917,32.61536789,6457.490723,0,29.10323143,28.72892952,27.7890358,31.77808189,6198.988281,0,26.94418907,26.70185852,25.88881302,28.85809708,5739.112305,0,24.74804878,24.63124847,24.12721825,25.9076519,5271.334473,0,25.29500008,25.31204414,24.70340157,25.73600388,5387.834961,0,24.78953934,24.75988007,24.24999428,25.52624893,5280.171875,0,26.45429039,26.41077423,25.83462906,27.39270973,5634.763672,0,27.67958641,27.60056686,26.91567802,28.72288895,5895.751953,0,27.54382133,27.46229744,26.76801109,28.64660645,5866.833984
BEN.5_1,5,28.11782074,28.10974884,27.29588699,28.7056179,3205.431641,0,29.68878937,29.68106079,28.99312782,30.25063515,3384.521973,0,29.86842728,29.85461426,29.30617714,30.31276703,3405.000732,0,29.17190742,29.2152462,28.52279854,29.71986961,3325.597412,0,28.27943039,28.32196236,27.74758339,28.76014519,3223.85498,0,26.30798149,26.33398056,25.95163727,26.63954353,2999.109863,0,24.72954178,24.74305725,24.32746887,25.0658474,2819.167725,0,25.4215374,25.42710876,25.03009224,25.71221352,2898.055176,0,25.13635826,25.17001152,24.6349678,25.5646019,2865.544922,0,26.41160583,26.43722916,26.04076767,26.6626358,3010.923096,0,28.30674171,28.31602287,27.69430161,28.85210228,3226.968506,0,28.68066025,28.6888504,27.84586716,29.19666481,3269.595215
BEN.6_1,6,27.0945797,27.11994171,25.91954422,28.17855072,2465.606689,0,28.70043373,28.72781754,27.61221123,29.69728088,2611.739502,0,30.50005722,30.50657082,29.74456787,31.09570503,2775.505127,0,29.33205986,29.34801865,28.58393288,30.00225449,2669.217529,0,28.07260323,28.08480453,27.50222206,28.69423294,2554.606934,0,26.1323452,26.15339088,25.59980202,26.67806244,2378.043457,0,24.24262238,24.28038406,23.77175522,24.76079941,2206.078613,0,24.8990593,24.96123314,24.04022026,25.56812096,2265.814453,0,24.33081818,24.37016869,23.66632652,25.09568977,2214.104492,0,26.0169239,26.13289833,25.01775169,26.51325607,2367.540039,0,27.66794014,27.66900253,26.58034515,28.30104828,2517.782471,0,27.70495415,27.67609406,26.58591652,28.65089607,2521.150879
BEN.7_1,7,28.48643303,28.50975609,28.12735367,29.02138519,484.2693481,0,29.90616226,29.91482544,29.58245087,30.32132149,508.4047546,0,28.99485397,29.0003891,28.75971794,29.29393387,492.9125061,0,28.54699898,28.57585526,28.29500961,28.82778931,485.2989807,0,27.66826057,27.66620064,27.40892601,27.99811172,470.3604431,0,25.79843521,25.81012726,25.60344315,26.01845169,438.5733948,0,24.61338234,24.60206413,24.40652466,24.88489532,418.4274902,0,24.863554,24.85050011,24.62460136,25.11717987,422.6804199,0,25.13189697,25.13559723,24.92762756,25.37310219,427.2422485,0,25.85539436,25.8645668,25.62760735,26.1010685,439.5417175,0,27.37580299,27.2614975,27.0491581,27.87278175,465.3886414,0,28.01409721,27.92212677,27.67063713,28.50684738,476.2396545
BEN.8_1,8,27.4754009,,,,,,28.3495998,,,,,,28.3493004,,,,,,28.4025993,,,,,,28.0340004,,,,,,26.3948994,,,,,,25.1058006,,,,,,24.5557003,,,,,,25.5184002,,,,,,26.3351994,,,,,,27.3388004,,,,,,27.5461006,,,,
BEN.9_1,9,28.15847969,28.12047195,27.93963623,28.44566917,394.2187195,6.666666667,29.47257996,29.44748688,29.07582855,29.81607819,412.6161194,6.666666667,28.83401299,28.82846451,28.61834335,29.09856606,403.676178,6.666666667,28.56671715,28.55085945,28.44892883,28.7339325,399.9340515,6.666666667,27.79397964,27.7851181,27.60541153,28.13531685,389.1157227,6.666666667,25.96691322,25.96063805,25.77503967,26.30794334,363.5367737,6.666666667,24.92336464,24.91856766,24.78144073,25.08161545,348.9270935,6.666666667,24.90172958,24.87609482,24.78196144,25.06428719,348.6242065,6.666666667,25.4510498,25.4526825,25.282938,25.70012474,356.3146973,6.666666667,26.08457375,26.06775284,25.88988304,26.40284538,365.184021,6.666666667,27.20903206,27.20677567,27.01259232,27.48338127,380.9264526,6.666666667,27.66839218,27.65575981,27.51936531,27.88287544,387.3574829
BEN.10_1,10,28.01321411,27.85707092,27.54162216,28.78163147,280.1321411,16.66666667,29.08308029,28.90755272,28.42046165,30.08521271,290.8308105,16.66666667,28.6156826,28.44392586,28.32684898,29.204916,286.1568298,16.66666667,28.43949318,28.35972595,28.21474075,28.87244606,284.394928,16.66666667,27.76863098,27.76220131,27.56757736,28.02381134,277.6863098,16.66666667,26.0831604,26.05290031,25.90250587,26.41379929,260.831604,16.66666667,24.99802589,24.9878273,24.87039757,25.13487434,249.9802551,16.66666667,24.83766937,24.74806213,24.6073513,25.20464325,248.3766937,16.66666667,25.35418129,25.34420204,25.20421982,25.48998833,253.5418091,16.66666667,26.16318703,26.1366291,26.01361465,26.35078049,261.6318665,16.66666667,27.1751194,27.15921402,26.94311523,27.40331268,271.7511902,16.66666667,27.5120697,27.43649101,27.22333717,27.97326088,275.120697
