GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
BEN.1_1,1,98192.9995,98117.65677,97431.2417,99220.55422,21013301.89,0,98090.09066,98016.48006,97330.8102,99111.99601,20991279.4,0,97760.56849,97681.7077,97039.04407,98735.61319,20920761.66,0,97773.40804,97697.8322,97069.33778,98713.45507,20923509.32,0,97925.76234,97850.01102,97221.65069,98869.48416,20956113.14,0,98026.54145,97948.25194,97320.77338,98981.6154,20977679.87,0,98042.05873,97961.6781,97325.79734,99014.3833,20981000.57,0,98082.01689,98002.74982,97356.47054,99065.44551,20989551.62,0,98069.19017,97989.3555,97344.31454,99050.2645,20986806.7,0,98028.19091,97949.68648,97299.94851,99006.23218,20978032.85,0,98051.64876,97975.77694,97310.22498,99053.90391,20983052.83,0,98001.62787,97925.00882,97257.3885,99003.28095,20972348.36,0
BEN.2_1,2,97546.23206,97337.47837,95193.6228,99354.48594,16290220.75,0,97448.77009,97241.12577,95112.30808,99245.72394,16273944.6,0,97191.38958,96982.43111,94916.34045,98950.75809,16230962.06,0,97247.9616,97043.9559,94981.73405,99007.11421,16240409.59,0,97396.35884,97189.66399,95121.31566,99160.94225,16265191.93,0,97487.04291,97278.17147,95194.5199,99263.43573,16280336.17,0,97478.99128,97266.20232,95159.65121,99271.3233,16278991.54,0,97512.75608,97300.42528,95188.32377,99311.99435,16284630.27,0,97497.00021,97284.14073,95172.25558,99295.35005,16281999.03,0,97452.64797,97240.41066,95133.9737,99245.09171,16274592.21,0,97435.02792,97225.34903,95109.73736,99225.85849,16271649.66,0,97387.29388,97175.74685,95062.6971,99177.21166,16263678.08,0
BEN.3_1,3,100535.9371,100618.4778,99653.23029,101020.8481,2613934.365,0,100463.4509,100546.1467,99582.4868,100952.1121,2612049.724,0,100419.0715,100502.1027,99536.88953,100907.7647,2610895.86,0,100502.6143,100586.5625,99619.06551,100989.8326,2613067.971,0,100636.0186,100719.1061,99754.10208,101117.5076,2616536.483,0,100738.1983,100822.4683,99850.34698,101220.8459,2619193.156,0,100716.563,100802.6563,99823.10389,101204.3731,2618630.637,0,100772.98,100858.2302,99874.72436,101269.9458,2620097.481,0,100691.4708,100775.3087,99801.12352,101178.8477,2617978.24,0,100620.8978,100704.5463,99735.41146,101103.506,2616143.342,0,100552.3458,100636.4571,99669.67599,101033.0412,2614360.992,0,100504.8849,100588.7205,99621.5894,100987.456,2613127.008,0
BEN.4_1,4,97262.1634,97285.50534,96160.62538,98064.48584,20716840.8,0,97167.30251,97192.42307,96071.88491,97967.49437,20696635.43,0,96960.42172,96968.63364,95873.15166,97843.58615,20652569.83,0,97025.08261,97033.16884,95936.0283,97926.82948,20666342.6,0,97178.26268,97184.72919,96087.97668,98078.73825,20698969.95,0,97268.37618,97280.8256,96170.9696,98168.6056,20718164.13,0,97250.659,97259.51735,96145.65336,98141.20546,20714390.37,0,97273.23197,97280.77732,96167.98912,98163.60699,20719198.41,0,97255.87945,97264.56367,96150.63259,98133.98628,20715502.32,0,97202.30508,97218.03156,96102.07183,98072.59847,20704090.98,0,97173.31619,97188.62904,96078.58867,98011.42833,20697916.35,0,97125.67015,97138.70657,96028.86506,97963.44301,20687767.74,0
BEN.5_1,5,98850.06418,98893.30567,97592.02476,99940.36045,11268907.32,0,98758.87026,98802.34114,97499.6179,99851.06357,11258511.21,0,98672.74316,98717.07266,97390.11591,99783.9495,11248692.72,0,98759.50101,98804.36065,97470.47008,99872.0593,11258583.11,0,98904.60832,98949.19904,97618.226,100016.6553,11275125.35,0,99000.84682,99046.68763,97706.38975,100120.4511,11286096.54,0,98972.47483,99018.42644,97675.45631,100094.1894,11282862.13,0,99003.10005,99049.32487,97700.93521,100131.7656,11286353.41,0,98958.58604,99004.16194,97666.99163,100075.4347,11281278.81,0,98895.18293,98940.72241,97607.49158,100007.549,11274050.85,0,98822.48978,98867.15432,97547.94797,99929.8523,11265763.83,0,98772.36234,98817.57287,97500.58548,99877.53176,11260049.31,0
BEN.6_1,6,97055.73463,96952.28868,96098.96693,98539.81553,8832071.851,0,96965.2512,96861.86308,96012.21423,98445.11324,8823837.859,0,96805.33082,96693.59872,95841.0749,98337.27181,8809285.104,0,96885.98952,96773.07915,95918.07385,98424.54116,8816625.046,0,97033.90191,96922.62479,96061.19537,98573.48878,8830085.074,0,97119.77057,97008.32461,96142.13306,98666.36532,8837899.122,0,97089.2946,96979.5709,96107.61588,98638.85851,8835125.809,0,97112.44873,96999.85179,96134.35909,98664.28102,8837232.834,0,97090.6331,96981.10454,96114.20855,98628.07155,8835247.612,0,97035.3146,96924.68236,96066.25828,98566.15149,8830213.628,0,96986.98735,96881.46081,96026.08859,98495.94184,8825815.849,0,96940.10822,96833.6949,95980.01332,98447.31784,8821549.848,0
BEN.7_1,7,99776.04652,99732.56038,99143.30063,100660.3957,1696192.791,0,99698.7484,99657.69274,99061.16448,100582.6803,1694878.723,0,99648.4676,99609.01442,99000.74894,100537.0214,1694023.949,0,99733.72655,99693.52282,99087.78457,100623.305,1695473.351,0,99870.63652,99829.11576,99224.50155,100761.8557,1697800.821,0,99971.51055,99930.10967,99323.57904,100866.948,1699515.679,0,99944.08097,99902.21864,99292.47604,100844.3837,1699049.377,0,99990.18436,99950.08263,99330.79143,100895.3783,1699833.134,0,99921.61742,99879.64799,99273.70523,100818.8987,1698667.496,0,99856.42406,99813.43544,99211.67157,100750.2504,1697559.209,0,99787.46493,99747.08494,99138.91782,100679.1948,1696386.904,0,99736.54093,99696.06699,99088.36521,100628.7288,1695521.196,0
BEN.8_1,8,101020.8481,,,,,,100952.1121,,,,,,100907.7647,,,,,,100989.8326,,,,,,101117.5076,,,,,,101220.8459,,,,,,101204.3731,,,,,,101269.9458,,,,,,101178.8477,,,,,,101103.506,,,,,,101033.0412,,,,,,100987.456,,,,,
BEN.9_1,9,100700.4831,100700.6218,100428.0608,101082.5624,1409806.764,6.666666667,100627.2022,100627.0478,100353.2252,101012.6838,1408780.831,6.666666667,100584.2978,100583.3131,100308.8688,100972.569,1408180.169,6.666666667,100667.95,100667.7591,100392.8209,101053.9954,1409351.3,6.666666667,100801.1825,100802.0997,100528.9432,101181.6539,1411216.555,6.666666667,100906.9727,100907.8408,100632.9797,101288.5881,1412697.618,6.666666667,100886.5756,100887.4219,100609.9095,101274.5688,1412412.059,6.666666667,100941.2054,100941.1901,100661.5235,101335.9361,1413176.876,6.666666667,100859.1043,100859.5122,100583.7727,101244.7869,1412027.46,6.666666667,100788.5329,100789.3418,100515.0283,101170.6357,1411039.46,6.666666667,100719.2672,100720.3326,100446.3213,101098.9931,1410069.74,6.666666667,100670.8942,100671.6912,100397.6404,101053.4074,1409392.519,6.666666667
BEN.10_1,10,100766.1372,100795.889,100445.0579,100956.3709,1007661.372,16.66666667,100694.0026,100726.2906,100368.3664,100887.0166,1006940.026,16.66666667,100651.6223,100685.2811,100324.5298,100845.0761,1006516.223,16.66666667,100735.0223,100767.3519,100407.8865,100927.7586,1007350.223,16.66666667,100868.6692,100896.8579,100547.7451,101058.4754,1008686.692,16.66666667,100970.1923,100997.4366,100649.9153,101159.4472,1009701.923,16.66666667,100949.2046,100977.674,100625.0392,101141.1599,1009492.046,16.66666667,101008.3942,101042.0233,100676.6383,101204.8744,1010083.942,16.66666667,100925.6828,100954.5633,100603.1155,101116.838,1009256.828,16.66666667,100853.0055,100880.4396,100533.2039,101042.6633,1008530.055,16.66666667,100783.042,100811.1291,100463.259,100971.6155,1007830.42,16.66666667,100736.0458,100765.5516,100413.4034,100926.0303,1007360.458,16.66666667
