GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
BEN.1_1,1,-1.727175069,-1.742079635,-1.949074456,-1.354246468,-369.6154648,0,-1.922618616,-1.956030126,-2.067668499,-1.499168582,-411.4403838,0,-0.016497043,0.011221459,-0.889773207,0.749921886,-3.530367279,0,1.462339203,1.478446154,0.838912895,1.710922771,312.9405894,0,1.645103989,1.661871125,1.31726059,1.831641413,352.0522537,0,1.83390721,1.863983178,1.455235756,2.022200027,392.456143,0,1.629466008,1.647518738,1.226158718,1.961514421,348.7057258,0,1.226838034,1.225105919,0.919533862,1.618717793,262.5433393,0,1.138672887,1.157247938,0.809397824,1.339712745,243.6759978,0,0.6656356,0.71036587,0.36806105,0.855696502,142.4460183,0,-1.050050226,-1.048637853,-1.268452973,-0.709544699,-224.7107483,0,-1.093700046,-1.059954258,-1.546770478,-0.719283932,-234.0518099,0
BEN.2_1,2,-1.36670657,-1.361380587,-2.156292683,-0.884566629,-228.2399973,0,-1.488588924,-1.44857925,-2.210635276,-1.05218176,-248.5943503,0,0.575119354,0.542635814,0.012445356,1.223977929,96.04493212,0,1.53106216,1.391457546,0.977979707,2.499908455,255.6873808,0,1.592969253,1.444559713,1.101581212,2.513617617,266.0258653,0,1.703405186,1.597004318,1.146070364,2.690868288,284.4686661,0,1.545825785,1.445345157,0.961756979,2.422229649,258.1529062,0,1.380126865,1.245741783,0.914621688,2.114868096,230.4811864,0,1.043697595,0.976873417,0.599059696,1.68921218,174.2974983,0,0.547411543,0.548685302,0.217557903,0.919414838,91.41772763,0,-0.75392765,-0.750817513,-1.149758178,-0.439130815,-125.9059175,0,-0.67500691,-0.675434603,-1.052933101,-0.363330202,-112.7261539,0
BEN.3_1,3,0.864784658,0.680738202,0.397840366,2.038702381,22.48440111,0,1.36305278,1.125560721,0.880302809,2.693436045,35.43937229,0,2.095377089,1.827048233,1.560580577,3.506957316,54.47980431,0,2.051133558,1.80639897,1.47763399,3.486202526,53.32947252,0,1.711818023,1.490902059,1.159454498,3.041766072,44.5072686,0,1.530724487,1.314235285,1.034414732,2.812169665,39.79883667,0,1.725929699,1.496683213,1.317630279,2.922330562,44.87417217,0,2.177075887,1.886305817,1.631933961,3.658743821,56.60397306,0,1.659539179,1.380700859,1.163315671,3.022629116,43.14801865,0,1.331404892,1.090798722,0.877467088,2.538608876,34.61652719,0,1.274929368,1.021990248,0.790347689,2.552472658,33.14816356,0,1.478187303,1.232570984,0.965091375,2.8248181,38.43286987,0
BEN.4_1,4,-1.231896874,-1.239198158,-1.71226507,-0.909981968,-262.3940342,0,-1.209799844,-1.236203346,-1.819886296,-0.651422349,-257.6873667,0,0.903524023,0.846186165,0.454201596,1.437368568,192.4506169,0,1.315701507,1.299866,1.086106898,1.565188953,280.2444211,0,1.369979271,1.37137686,1.156956983,1.695682291,291.8055848,0,1.365222514,1.331936962,1.10259546,1.732294029,290.7923955,0,1.156060585,1.158886503,0.950501425,1.430312337,246.2409047,0,1.100596669,1.069770665,0.882100657,1.47682828,234.4270904,0,0.81640461,0.820765741,0.651856374,0.969893344,173.8941819,0,0.55953694,0.520846338,0.249680879,0.941095485,119.1813683,0,-0.472006745,-0.568118068,-1.162723984,0.296647445,-100.5374367,0,-0.466996596,-0.568875568,-1.128632514,0.367127128,-99.47027498,0
BEN.5_1,5,-0.436807967,-0.436550199,-0.9010953,0.061922469,-49.7961082,0,-0.039295473,-0.0295979,-0.60513913,0.539249263,-4.47968393,0,1.428072899,1.43423497,1.234655603,1.565665668,162.8003105,0,1.485187357,1.502105208,1.310258055,1.581420632,169.3113587,0,1.347474609,1.356164756,1.154621195,1.453926544,153.6121054,0,1.248265328,1.262483255,1.090718697,1.32545991,142.3022474,0,1.210125199,1.221146472,1.002515994,1.319218719,137.9542727,0,1.531110566,1.548896905,1.282959073,1.657061335,174.5466045,0,0.950184353,0.973200355,0.717151257,1.120988062,108.3210163,0,0.901951192,0.909141231,0.802700883,0.984555989,102.8224359,0,0.729419657,0.782801111,0.30627135,0.944722635,83.15384089,0,0.768657071,0.778661518,0.404262008,1.056239905,87.62690606,0
BEN.6_1,6,-1.160400286,-1.216579757,-1.47214509,-0.692720648,-105.596426,0,-1.103626857,-1.23111353,-1.485260998,-0.460439401,-100.4300439,0,0.951071333,0.896296016,0.622283116,1.378608617,86.54749131,0,1.151231739,1.124615402,0.905522067,1.464440573,104.7620883,0,1.159144927,1.154205384,0.983684345,1.335193149,105.4821883,0,1.117480899,1.110546489,0.915275757,1.336356787,101.6907618,0,0.958753605,0.951229249,0.767159114,1.139588761,87.24657801,0,1.005324908,0.933575265,0.754735142,1.458584504,91.48456659,0,0.640427684,0.633215718,0.45386476,0.83492816,58.27891921,0,0.515249364,0.465200375,0.228359618,0.903325903,46.88769208,0,-0.223989955,-0.326737015,-0.796608597,0.524893763,-20.38308586,0,-0.259026711,-0.406774995,-0.823623362,0.596186166,-23.57143068,0
BEN.7_1,7,0.326585104,0.358794793,0.125362711,0.41831996,5.551946765,0,0.813239735,0.83110612,0.656255273,0.913646526,13.82507549,0,1.664822241,1.638933569,1.571355277,1.775295458,28.30197809,0,1.614753705,1.593891952,1.505573331,1.737104314,27.45081299,0,1.404001622,1.418624586,1.248484991,1.511832531,23.86802757,0,1.260005232,1.267858388,1.110834208,1.371681305,21.42008894,0,1.432650886,1.431646211,1.344520398,1.515010559,24.35506506,0,1.733698098,1.707493612,1.643937484,1.836670773,29.47286767,0,1.241777797,1.228916714,1.174019275,1.326908629,21.11022254,0,1.003543533,1.010760905,0.902480809,1.079405644,17.06024006,0,0.98538443,0.995704966,0.871722355,1.055996023,16.75153532,0,1.151250086,1.147478342,1.044445924,1.243224397,19.57125146,0
BEN.8_1,8,2.038702381,,,,,,2.693436045,,,,,,3.506957316,,,,,,3.486202526,,,,,,3.041766072,,,,,,2.812169665,,,,,,2.922330562,,,,,,3.658743821,,,,,,3.022629116,,,,,,2.538608876,,,,,,2.552472659,,,,,,2.8248181,,,,,
BEN.9_1,9,0.59696318,0.484405628,0.390026583,1.174844421,8.357484516,6.666666667,1.052531544,0.941461978,0.794103803,1.737746775,14.73544161,6.666666667,1.732867672,1.655368984,1.485634524,2.379278725,24.26014741,6.666666667,1.646219168,1.574305389,1.402049636,2.293384612,23.04706835,6.666666667,1.323494672,1.260395279,1.086867247,1.936942661,18.52892541,6.666666667,1.185388296,1.124446423,0.965852147,1.787229544,16.59543614,6.666666667,1.489520609,1.439924581,1.266945449,2.059253907,20.85328853,6.666666667,1.826726186,1.765180331,1.552937645,2.486097417,25.5741666,6.666666667,1.349600397,1.256658403,1.091123025,2.061725088,18.89440555,6.666666667,1.025951604,0.962661385,0.817542305,1.604823559,14.36332245,6.666666667,0.963269593,0.905888527,0.732097666,1.569803769,13.4857743,6.666666667,1.13995542,1.082619021,0.90304652,1.757034365,15.95937587,6.666666667
BEN.10_1,10,0.928393643,0.810740568,0.338507152,1.848441867,9.283936434,16.66666667,1.415240803,1.228498971,0.815538017,2.466039815,14.15240803,16.66666667,2.113404949,1.830807042,1.614869566,3.221936254,21.13404949,16.66666667,2.096242587,1.797011451,1.603227548,3.214885502,20.96242587,16.66666667,1.770843747,1.490147695,1.325605676,2.793786888,17.70843747,16.66666667,1.570301576,1.286453389,1.126294274,2.59511064,15.70301576,16.66666667,1.728131813,1.471880969,1.287648491,2.71046664,17.28131813,16.66666667,2.216543438,1.940262315,1.638531897,3.393060551,22.16543438,16.66666667,1.704472951,1.452640916,1.186256841,2.778930916,17.04472951,16.66666667,1.390739767,1.177534826,0.940875324,2.32386578,13.90739767,16.66666667,1.31848799,1.082745383,0.839451102,2.318453986,13.1848799,16.66666667,1.509576395,1.244499396,1.010635498,2.57572033,15.09576395,16.66666667
