GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
BFA.1_1,1.0,-0.0004584478040828794,-0.00045307428469425323,-0.001076670004953184,-0.00011510463635857742,-0.12744848953504045,0.0,-0.00033851234532112544,-0.00032290559909163216,-0.0009519359054325543,-7.686551288266729e-05,-0.09410643199927288,0.0,-0.0003810812906639611,-0.000374631418532156,-0.0010218320726037562,-6.660884362470282e-05,-0.1059405988045812,0.0,-0.00034158106437841404,-0.00030938826451538736,-0.0009435833358300984,-7.045611451098425e-05,-0.0949595358971991,0.0,-0.0005556901467384252,-0.0005468425594179024,-0.0013434218503082895,-8.650152408628929e-05,-0.15448186079328222,0.0,-0.0012133216303363515,-0.0011981440089920154,-0.0029245260295309365,-0.0005319188593445998,-0.3373034132335057,0.0,-0.003289724372034852,-0.0033100664909613245,-0.0036992865424055024,-0.0024570767678464586,-0.9145433754256888,0.0,-0.003297350595812105,-0.0033205499584425947,-0.003489849503406937,-0.0027709091115439032,-0.9166634656357652,0.0,-0.0041366452898202654,-0.004142142741866854,-0.0043962202250734505,-0.003454359154745257,-1.1499873905700335,0.0,-0.0038058859131635454,-0.0039121512001119895,-0.004407277326352686,-0.0024041002224941856,-1.0580362838594657,0.0,-0.0019104068981780048,-0.0018522079859475,-0.0027655278141763,-0.0007946219363042441,-0.5310931176934854,0.0,-0.0009889696044979267,-0.0009703230230380184,-0.0016208565672081745,-0.00038085823933618453,-0.2749335500504237,0.0
BFA.2_1,2.0,-0.0011550040742492474,-0.0011618449243500947,-0.0016222472190431177,-0.0008606933450596187,-0.17325061113738716,0.0,-0.0009134376113848994,-0.000903816349089608,-0.0014540979117706548,-0.0006396787337704402,-0.13701564170773492,0.0,-0.0013274197471241642,-0.0012930384983786546,-0.0018909591872121267,-0.0008545364968442479,-0.19911296206862464,0.0,-0.0013901704857095624,-0.0013691393336888395,-0.002469289819939156,-0.0008383968288670343,-0.2085255728564344,0.0,-0.0022788325335881005,-0.002314635510844343,-0.002734268639539248,-0.0015345136761524614,-0.3418248800382151,0.0,-0.002164736064541472,-0.0021288916239371428,-0.003012696709877557,-0.0016943756060606276,-0.3247104096812207,0.0,-0.003023381919718987,-0.003008227892317114,-0.003360916215916157,-0.0027556890999938326,-0.4535072879578481,0.0,-0.003406267679670713,-0.003404080389102845,-0.0036432771541786697,-0.003231267252448032,-0.5109401519506069,0.0,-0.003768056133845271,-0.00377433130403926,-0.00402052104854929,-0.0035579852701566046,-0.5652084200767906,0.0,-0.004389863536687875,-0.0044070187106772536,-0.004613636666811488,-0.0039986354087941465,-0.6584795305031812,0.0,-0.002861921099807548,-0.0028429065614851787,-0.003301249391174418,-0.0022937201299661823,-0.4292881649711322,0.0,-0.0015419163563292154,-0.0015329914114835153,-0.002049123278002081,-0.0011886258658442485,-0.23128745344938234,0.0
BFA.3_1,3.0,-0.0004988565254985293,-0.00043600054267102837,-0.0021893746075289998,-0.00012483253836678248,-0.059862783059823524,0.0,-0.00037994417214816487,-0.00030987443099984684,-0.0019451471549885128,-9.518063163422296e-05,-0.045593300657779806,0.0,-0.00036014703217033,-0.00031847322718124864,-0.0014791621200613426,-0.00012805294558255342,-0.0432176438604396,0.0,-0.0006939857731499257,-0.0006778008240545282,-0.002241146760441582,-0.00012901768164993738,-0.08327829277799109,0.0,-0.0007123503585384753,-0.0006387707904325412,-0.002006186988063327,-0.0002487597660305044,-0.08548204302461704,0.0,-0.0008675075650551406,-0.0007962253993334811,-0.0023442347910860857,-0.0004793677448010421,-0.10410090780661688,0.0,-0.0028632942331915075,-0.002959203859423689,-0.003531854733717914,-0.0022130903297075933,-0.3435953079829809,0.0,-0.003441521540453335,-0.003518130317922661,-0.003838129243395381,-0.002743330388345211,-0.41298258485440015,0.0,-0.003687076895704016,-0.0037241001845427796,-0.003990464590035784,-0.0029677621104530344,-0.4424492274844819,0.0,-0.0037683376559444408,-0.0039495682913504426,-0.004480799525452764,-0.0028887066378991658,-0.45220051871333294,0.0,-0.0019560831241246953,-0.002021742087221095,-0.003341267909924184,-0.00121560399004375,-0.23472997489496344,0.0,-0.0010769120823838423,-0.0010302675903624057,-0.002452210015528402,-0.0006436307108779878,-0.12922944988606108,0.0
BFA.4_1,4.0,-0.0001533458167988557,-0.00012472982900524086,-0.000562229842858162,-5.939076424527349e-05,-0.02407529323742034,0.0,-0.00012277490261790726,-0.0001005377875798236,-0.0004597143425793344,-4.5031737893602655e-05,-0.01927565971101144,0.0,-0.00011676456208133438,-9.460980645930025e-05,-0.00040015280799149817,-4.50826264353183e-05,-0.018332036246769497,0.0,-0.00012682143625965324,-0.0001088195697461107,-0.0003948351404608308,-4.568282085500946e-05,-0.01991096549276556,0.0,-0.00020136904035426002,-0.00019049289778767144,-0.0005266435601590712,-6.496124640175958e-05,-0.03161493933561882,0.0,-0.0006299585271640273,-0.0005898278580744992,-0.0009912109291565158,-0.00040542863496054665,-0.0989034887647523,0.0,-0.002441682404224593,-0.002473616534433649,-0.0029294787305319914,-0.001541986043195352,-0.38334413746326096,0.0,-0.003322473086409053,-0.003377950706060527,-0.003584274202126793,-0.0028099692284791053,-0.5216282745662214,0.0,-0.0037202966176368367,-0.00371657623777653,-0.004243203524714189,-0.003098599420792073,-0.5840865689689834,0.0,-0.0020818300934760613,-0.002100308696898896,-0.0030103585936305825,-0.0011958803458926974,-0.3268473246757416,0.0,-0.0007096207214927359,-0.0006767981087559122,-0.0012824048558153851,-0.0002455035695053759,-0.11141045327435953,0.0,-0.00037594932501736224,-0.00034073052131186566,-0.0007830770369250497,-0.00012258700300884552,-0.059024044027725875,0.0
BFA.5_1,5.0,-0.0006058077163013854,-0.0006026782914697942,-0.0008925067942541318,-0.00031645003163240825,-0.10662215806904382,0.0,-0.00044297094687089473,-0.0004389394199325006,-0.0006929096867405848,-0.0002122865009374202,-0.07796288664927747,0.0,-0.0005123908837815723,-0.00048536672029591535,-0.0009749981684719039,-0.00021534145455338468,-0.09018079554555672,0.0,-0.000625074839763165,-0.0005729137587692655,-0.0009768683960377528,-0.0002701498537318309,-0.11001317179831704,0.0,-0.0006347584954200416,-0.0006219567398526358,-0.0010391735552802877,-0.0003146053864924969,-0.11171749519392732,0.0,-0.0012734876646195948,-0.001253870949590496,-0.0018201519295199505,-0.0008520337013548692,-0.22413382897304868,0.0,-0.003012299247373249,-0.003139384804411918,-0.0034238341150901012,-0.002179062315366062,-0.5301646675376919,0.0,-0.003210878234002415,-0.003299591764429097,-0.0036754050974951435,-0.0025270837937695512,-0.565114569184425,0.0,-0.003917701948265473,-0.0039965527468305605,-0.004191725194674088,-0.003290850018896745,-0.6895155428947233,0.0,-0.0040210411421392174,-0.004300859139851093,-0.004568497287858454,-0.002752052510304283,-0.7077032410165023,0.0,-0.00227157234562598,-0.0023522965749377864,-0.0030001621453410714,-0.0013885016322311412,-0.3997967328301725,0.0,-0.001222097023090637,-0.0012093974327873965,-0.0016050728144024775,-0.0008358949145033357,-0.2150890760639521,0.0
BFA.6_1,6.0,-0.000519892852146947,-0.0005029885808914467,-0.00223226335555818,-0.00024020730592053447,-0.04835003524966607,0.0,-0.000380829534807558,-0.00035637881086658196,-0.0019833593095059114,-0.0001797534594111801,-0.035417146737102896,0.0,-0.00041250117011656,-0.0003957529892463847,-0.0015416775138149571,-0.00018294455566606195,-0.03836260882084008,0.0,-0.0007712267336955713,-0.0007917940198262879,-0.0023134831854331106,-0.000366715097613352,-0.07172408623368813,0.0,-0.0005624410351926257,-0.0005444994581835545,-0.0020195834432669224,-0.00021638616053707826,-0.05230701627291421,0.0,-0.0012923703018172846,-0.0012762641700150466,-0.002348839722528761,-0.0008904682490683743,-0.12019043806900745,0.0,-0.003088161680318017,-0.003127812273500691,-0.003476344866882237,-0.002442980880937195,-0.2871990362695756,0.0,-0.003428397733047847,-0.003459265067314732,-0.0036856568874394963,-0.0029753642899104328,-0.3188409891734498,0.0,-0.0039238446135096035,-0.003940502209101851,-0.004107685712089865,-0.00362875342134046,-0.3649175490563931,0.0,-0.0041783943916070985,-0.004214535937107709,-0.004582816806971484,-0.0035785697519571313,-0.38859067841946016,0.0,-0.0023547013750587075,-0.0023491994878236037,-0.003350947341064152,-0.0018184600599181625,-0.2189872278804598,0.0,-0.0012666482921094026,-0.0012448657579456491,-0.0024735704015661506,-0.0009469783096894383,-0.11779829116617445,0.0
BFA.7_1,7.0,-0.0005164524926529976,-0.0005206934374044352,-0.0006818321075130038,-0.00036429829409926804,-0.010329049853059952,0.0,-0.00040280016741091687,-0.00040958364586742816,-0.0005494475124428624,-0.00026807596651105706,-0.00805600334821834,0.0,-0.00041489336438302256,-0.0004237827982949781,-0.0005409089291883634,-0.00024375214759454595,-0.008297867287660451,0.0,-0.0005744809018218332,-0.0005890581212587817,-0.0007384393432088247,-0.0003468170666496286,-0.011489618036436665,0.0,-0.00042319870194205256,-0.00041731826491951614,-0.0005548318169400165,-0.0002652421050719576,-0.008463974038841051,0.0,-0.0009073307297092984,-0.0009094963714604981,-0.0011804996428631128,-0.0006986997452486615,-0.01814661459418597,0.0,-0.0025095663951240827,-0.002493288750392779,-0.0028441157767816363,-0.0022254529159925368,-0.05019132790248167,0.0,-0.003022177050179307,-0.0029898656189704487,-0.003257226998599213,-0.0028122379603195487,-0.060443541003586135,0.0,-0.003786552169331279,-0.0037402662142383795,-0.004100018943450839,-0.003545317571620207,-0.07573104338662558,0.0,-0.003518524279760261,-0.00350998972264519,-0.0037614806895491424,-0.003186794799700089,-0.07037048559520521,0.0,-0.0017834585051896145,-0.0017985918744624699,-0.001892693110605328,-0.0016116299746672966,-0.03566917010379229,0.0,-0.0010400801147719145,-0.0010405302944858136,-0.0011439629639620732,-0.0009307995144886168,-0.020801602295438287,0.0
BFA.8_1,8.0,-0.00021232233737922813,-0.00017083401016906286,-0.00262751806536238,-6.264106849988185e-05,-0.08047016586672746,0.0,-0.00015139345596233431,-0.00011449504102597558,-0.002330466051297168,-4.262749096563052e-05,-0.0573781198097247,0.0,-0.00018026469623798731,-0.00015501854563441706,-0.001855213894895868,-4.225942306117422e-05,-0.06832031987419718,0.0,-0.0003905316217182037,-0.00031287833535123197,-0.003173450045098348,-4.536832922253436e-05,-0.1480114846311992,0.0,-0.0005863797715948918,-0.0005071467203721097,-0.003374181728319122,-0.00019870659623675568,-0.222237933434464,0.0,-0.0005888583800805707,-0.000556169351716327,-0.0026873679393927285,-0.0003357278603816833,-0.2231773260505363,0.0,-0.002735131270431525,-0.002861928730343807,-0.0035509689811317,-0.0015583916715575727,-1.0366147514935482,0.0,-0.0035934071062054423,-0.0036756661809254467,-0.004031511420869515,-0.002850115303424921,-1.3619012932518626,0.0,-0.003907470976471253,-0.00397645526722064,-0.0042488293273771965,-0.003141395603414221,-1.4809315000826049,0.0,-0.003116191290662261,-0.0032128880362889693,-0.0045264790706304936,-0.0012146421817444144,-1.1810364991609967,0.0,-0.001292487771407157,-0.001296149799176938,-0.0037180633379602225,-0.00019846725616960863,-0.4898528653633125,0.0,-0.0006366362428945581,-0.0005915593589226987,-0.002893000630282152,-9.091786679737428e-05,-0.2412851360570375,0.0
BFA.9_1,9.0,-0.0008608008791703457,-0.0008357365587977865,-0.0014236863922892436,-0.0004147411446714626,-0.1773249811090912,0.0,-0.0006757171367386876,-0.0006559215707717257,-0.001319237332710836,-0.00026372069491373187,-0.13919773016816964,0.0,-0.0009426969479586224,-0.0008836052051211426,-0.0016645488926999995,-0.00042964511690280144,-0.19419557127947626,0.0,-0.000937408069001989,-0.000806792761724694,-0.0023506823222490037,-0.00045600491915110156,-0.19310606221440973,0.0,-0.0013193694721748553,-0.0011913491160870393,-0.002570911471940648,-0.0006120656893119793,-0.2717901112680202,0.0,-0.002304959510865129,-0.0024119528978067736,-0.0029747329428661705,-0.0012373163411153116,-0.4748216592382167,0.0,-0.003356428049496548,-0.00339558872977558,-0.003719383150971236,-0.0028201794173418697,-0.6914241781962889,0.0,-0.0034654330640330076,-0.003473798423484957,-0.0035955008271695357,-0.0031220283067070745,-0.7138792111907996,0.0,-0.004001571816091805,-0.004026042477118802,-0.004173611936096634,-0.0034251295762765025,-0.8243237941149117,0.0,-0.004417799620588186,-0.004427328124083111,-0.0046797971915594145,-0.0037934654948790455,-0.9100667218411662,0.0,-0.002706996025875991,-0.0027476493862492136,-0.003068652704166965,-0.002104087488455775,-0.5576411813304539,0.0,-0.0014549559376363,-0.001505216255723876,-0.001807842164866121,-0.0009086314727966213,-0.2997209231530778,0.0
BFA.10_1,10.0,-0.0002514978975520519,-0.0001991409983597335,-0.0005664602655100956,-6.573261958569147e-05,-0.032443228784214684,0.0,-0.00019795964426741564,-0.00017443763499645995,-0.00046201261320422316,-4.967653241261196e-05,-0.025536794110496617,0.0,-0.0001740680920270261,-0.0001428917948512096,-0.0004292916747728728,-4.243197777375074e-05,-0.022454783871486368,0.0,-0.00016820765896581667,-0.00012741991659448508,-0.00045781997654903406,-4.089926115526941e-05,-0.02169878800659035,0.0,-0.0002067920588030192,-0.0001754612349837963,-0.0005386006682033154,-4.940134408239704e-05,-0.02667617558558948,0.0,-0.0008499708179772398,-0.000843681226846546,-0.0011976159582538074,-0.0005503316304794917,-0.1096462355190639,0.0,-0.002659831147987948,-0.002686079382011337,-0.0030170265875480305,-0.002275008952407656,-0.3431182180904453,0.0,-0.0032162757098960363,-0.003188185756302657,-0.0035429144055619533,-0.002898098511774618,-0.4148995665765887,0.0,-0.0038846917944228686,-0.003901611019991495,-0.00432129813660287,-0.003349765860646103,-0.50112524148055,0.0,-0.002462169752604184,-0.002525083980867873,-0.003259917233511439,-0.0012812453473495294,-0.3176198980859397,0.0,-0.0011050473413152246,-0.001174956745919413,-0.0017962122355569738,-0.000301241739762825,-0.14255110702966398,0.0,-0.0006490725953278464,-0.0006796887302848683,-0.0011240522962351373,-0.0001454573485557019,-0.08373036479729218,0.0
