GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
BFA.1_1,1.0,-1.9488133841127344,-1.9825513628893137,-2.268121671377763,-1.5394034015565516,-541.7701207833402,0.0,-1.9425327906458567,-1.976721048127131,-2.2925675602351223,-1.4841658228178585,-540.0241157995483,0.0,-0.9603690496550294,-0.9233446796848266,-1.6755456652664285,-0.2500751834599053,-266.9825958040982,0.0,0.3346524310654093,0.32543477422835543,-0.3846818989721129,1.2485844065645972,93.0333758361838,0.0,1.3902072602866646,1.4131097530256524,0.7443238803045183,2.028343591421965,386.4776183596928,0.0,1.7369084209883368,1.7168808356416971,1.377179285947782,2.04143728580571,482.8605410347576,0.0,1.5234932040826534,1.5404044187181964,1.1910130752940764,1.8622873322604647,423.53111073497763,0.0,1.4208778755149416,1.4632666149154268,1.0852084744546675,1.6966693038115117,395.00404939315376,0.0,1.0377358717601843,1.0608089034982813,0.7711142902645194,1.2128313911043067,288.49057234933133,0.0,0.8214121767141128,0.8364673777993068,0.3628791286574286,1.0401296940790437,228.35258512652337,0.0,-1.2373684032414456,-1.2389452903131415,-1.7195241651459563,-0.7622931401577318,-343.9884161011218,0.0,-1.3801155582205429,-1.3561605330309574,-1.916846875469564,-0.8170484908781676,-383.6721251853109,0.0
BFA.2_1,2.0,-1.8172396232444323,-1.8031578262285928,-2.193462824583972,-1.401998521849339,-272.58594348666486,0.0,-1.6722232977363023,-1.6816988357301754,-2.0945937236551986,-1.218219529569404,-250.83349466044533,0.0,0.6132655354455858,0.7004496453945622,0.08341761365698569,0.8837043567933205,91.98983031683788,0.0,1.3023455709529248,1.4019739671782545,0.8042501901143757,1.6049648251680344,195.35183564293868,0.0,1.642345952338352,1.6416943374472894,1.1874669080590292,1.9471980275394767,246.35189285075282,0.0,1.6907646617010832,1.7089642164353078,1.2049006893190382,1.9560611233932543,253.61469925516246,0.0,1.3892834889954917,1.3872838471707023,0.8534822003067416,1.7174818930080438,208.39252334932368,0.0,1.4189011779888492,1.427697488819616,0.9125384392176208,1.7506243869260256,212.83517669832744,0.0,0.8481960298724328,0.8393603306467046,0.4964488084155422,1.0958296353528119,127.22940448086493,0.0,0.6373346306382985,0.6316561793122659,0.2971233762037023,0.9869715772328492,95.60019459574478,0.0,-0.6510414135314317,-0.6339102816324583,-1.0800512404581808,-0.2409526640858088,-97.65621202971478,0.0,-0.625011053790349,-0.6112653187939612,-0.9809541798921444,-0.27160651514449996,-93.75165806855236,0.0
BFA.3_1,3.0,-2.0138763806070368,-2.0260869274467703,-2.2925478448447563,-1.7375247688702835,-241.66516567284447,0.0,-2.1410595503285648,-2.149135729123564,-2.4265113362173407,-1.8057973390152569,-256.92714603942784,0.0,-0.05111911668263513,-0.06293911267176165,-0.811151723306657,0.7167546453427449,-6.134294001916215,0.0,1.7521881155698888,1.7755173386718102,0.9676994664808672,2.3811252841366977,210.26257386838662,0.0,2.078399760301318,2.1220568119378806,1.6737987733769013,2.3703788291404164,249.40797123615815,0.0,2.1451186508699465,2.1355430446589505,1.9820366989281344,2.516511368329703,257.4142381043936,0.0,1.9859722809167488,1.99659793677825,1.8641835378981573,2.277280267118838,238.31667371000992,0.0,1.7280438669859284,1.7267427957504502,1.6220902650034819,1.9093420550855296,207.36526403831144,0.0,1.3104893150633492,1.3150809089184985,1.1740190928159977,1.5308749622046849,157.25871780760187,0.0,0.906792177386791,0.9170411239555571,0.7863524240934789,1.0192970272194504,108.81506128641493,0.0,-0.9846779896359888,-0.9859162116793738,-1.2969767438252096,-0.7573939921135622,-118.16135875631866,0.0,-1.0400515150305059,-1.0226737301937892,-1.446758167317048,-0.7807285386288141,-124.80618180366072,0.0
BFA.4_1,4.0,-1.7171619625776064,-1.7262600095138811,-1.9047895702775688,-1.485052431593663,-269.59442812468416,0.0,-1.7422097833491823,-1.7669792200488348,-1.9839301467986423,-1.434872676976528,-273.52693598582164,0.0,-1.4037820193711272,-1.4720410891153854,-1.8120396488153407,-0.860306482892598,-220.39377704126701,0.0,0.2456425154178,0.21592140115560066,-0.3680775973511913,0.9261222546281376,38.5658749205946,0.0,1.1917281000763067,1.1360769015253431,0.8713036173316993,1.6801799393025716,187.10131171198014,0.0,1.9111826668966176,1.924577908682844,1.51541067775247,2.3141381508169823,300.055678702769,0.0,1.950329548045092,1.9229701978751164,1.572377827453087,2.3956136621307937,306.20173904307944,0.0,1.6929975128664905,1.6785710419124429,1.3808416298251869,2.1182197744044986,265.80060952003896,0.0,1.2211127379229991,1.2073977172124075,0.9403340393417382,1.5728002118785698,191.71469985391087,0.0,0.8759218942067571,0.8585906192396583,0.6509788086882994,1.0692859057776034,137.51973739046088,0.0,-1.3165926068203078,-1.3143314556507029,-1.564098162234199,-1.1424594566408917,-206.70503927078843,0.0,-1.4127798745086642,-1.4313645055955189,-1.5848020700054457,-1.1994409183193673,-221.80644029786026,0.0
BFA.5_1,5.0,-1.9016913619336888,-1.9584229950729484,-2.2905624384060417,-1.5907554753717708,-334.69767970032916,0.0,-1.939348921330008,-1.9927844777064552,-2.3165371739335003,-1.6389871995059009,-341.3254101540814,0.0,-0.5020440647238044,-0.5847601876211409,-1.0047260400006637,0.18334317658998267,-88.35975539138956,0.0,0.9984952027467172,1.0273886022340188,0.3253706748469072,1.6824128333049475,175.73515568342225,0.0,1.7224137602037977,1.8118994154577628,1.2505536349197524,2.063605021901655,303.1448217958684,0.0,1.8639535914658043,1.9108171297075809,1.56093110946324,2.0722760032384957,328.05583209798164,0.0,1.7517004699817595,1.7933633757827794,1.5154812245013451,1.9285635580162404,308.2992827167897,0.0,1.5009460909521033,1.5261243378880358,1.321827737626,1.6502286547831029,264.1665120075702,0.0,1.0866070469538114,1.1176974324720894,0.9532380123258646,1.245688939044921,191.24284026387082,0.0,0.9338275337795796,0.9566725631140778,0.6845726438947913,1.0792777052505345,164.35364594520598,0.0,-0.8635269328171424,-0.8350399618050122,-1.2779822863203616,-0.6267493179294943,-151.98074017581706,0.0,-0.9100772248976262,-0.8949229078071465,-1.3523762613248291,-0.5724176542707132,-160.17359158198218,0.0
BFA.6_1,6.0,-2.1093834383567707,-2.080820070763973,-2.383259642282148,-1.8285371178399823,-196.17265976717968,0.0,-2.174253829146547,-2.164081983552318,-2.404013524735221,-1.877928181306499,-202.20560611062888,0.0,-0.23674849389691416,-0.2716498678481744,-0.7135336597579538,0.5513998097097395,-22.017609932413016,0.0,1.5084571261904745,1.5323698815010058,0.8735486663355562,2.119699530224949,140.28651273571413,0.0,1.959854095535504,1.9742750866865133,1.5845989004720735,2.3186031393056767,182.26643088480182,0.0,2.0689067509747168,2.0757408314852084,1.8287503527992808,2.2824766773858234,192.4083278406487,0.0,1.9429408397692152,1.9492489322361697,1.7410322900739126,2.111320144444035,180.69349809853702,0.0,1.6470916245145175,1.6532446934756275,1.4822326451455181,1.8005517914008418,153.17952107985013,0.0,1.2609747659909198,1.2733694063499263,1.0783806622206775,1.4109876610607937,117.27065323715557,0.0,0.966867507875228,0.9759233722719362,0.8723870290957414,1.061035525533542,89.91867823239622,0.0,-0.9664788423171804,-0.9615512587083463,-1.1508758419394034,-0.8095464035975021,-89.8825323354978,0.0,-0.9598742440218856,-0.9629719068310764,-1.0601408541151118,-0.8461289750132359,-89.26830469403536,0.0
BFA.7_1,7.0,-1.7901347801741845,-1.7829808393116138,-1.8535879831404485,-1.731985670327456,-35.802695603483684,0.0,-1.8511865583396567,-1.841564886643712,-1.922040192981159,-1.8102771855922444,-37.023731166793134,0.0,-0.7897569697625351,-0.7760433534495241,-0.9596406423155932,-0.6556240135028468,-15.795139395250704,0.0,0.8325491580177392,0.8119975656033838,0.5895346055498552,1.1377641391570597,16.650983160354787,0.0,1.5408047953314614,1.537179677604008,1.3900538623354266,1.723742712012614,30.81609590662923,0.0,1.8348943334401917,1.8203403685855333,1.760557060584471,1.9808502222569315,36.69788666880385,0.0,1.7267322482768002,1.7089189048881317,1.6694713195555295,1.8627567170175907,34.534644965535996,0.0,1.4724523348773928,1.4601215021388698,1.4156070393637181,1.5939623248187231,29.449046697547857,0.0,1.0788820784014317,1.0641030403302518,1.0190356461131371,1.206779374739216,21.577641568028632,0.0,0.8670487123526464,0.8692047840702974,0.7848025331386618,0.9228323906819864,17.340974247052927,0.0,-1.0738314068547588,-1.0801663241494641,-1.1607537129510272,-0.9615407950510624,-21.476628137095176,0.0,-1.0549697834039615,-1.01924514643565,-1.188702953435192,-0.9621855802297536,-21.09939566807924,0.0
BFA.8_1,8.0,-1.9747706670373384,-2.002954792683296,-2.3306991834969457,-1.5314144267040597,-748.4380828071512,0.0,-2.1000226049072293,-2.1339302769636683,-2.460327616116852,-1.6917062179717255,-795.9085672598401,0.0,-0.6113144574569704,-0.7609542777308934,-1.5300443192051811,0.6677615743881082,-231.6881793761918,0.0,1.456772928178777,1.5046047913812464,0.2658762689316877,2.5113208184655837,552.1169397797564,0.0,1.9344568970124107,1.9435874294447293,1.2086460253054665,2.479624590961415,733.1591639677035,0.0,2.281959272564105,2.3106253622349047,1.786596614868114,2.633734046704168,864.8625643017958,0.0,2.1465680526838042,2.1717202649310505,1.6291973766929342,2.41626663711231,813.5492919671617,0.0,1.867944781900707,1.8911120328628743,1.3984723754185937,2.0837239687183606,707.9510723403679,0.0,1.4111205938269915,1.4319937739764186,1.1213535024116053,1.6573286701530816,534.8147050604298,0.0,0.9203471452458434,0.9318073284451156,0.7105050527510594,1.0848625884771932,348.8115680481746,0.0,-1.2874638932457758,-1.2933784200546576,-1.5590932176958494,-0.7683539637712546,-487.94881554014916,0.0,-1.3985195204271927,-1.4168295336440042,-1.688834155046877,-0.8056911296743676,-530.0388982419059,0.0
BFA.9_1,9.0,-1.8557062134087488,-1.9392684969355507,-2.1690858208126933,-1.1834244763874062,-382.2754799622023,0.0,-1.8500431929402041,-1.9183713917044616,-2.205370751657376,-1.1318995389223176,-381.10889774568193,0.0,-0.1032459330376204,-0.07180504020513108,-0.7707231266720354,0.4031831945331276,-21.2686622057498,0.0,1.0317112867193081,1.0561897707612746,0.4932023668282826,1.4209791956237452,212.53252506417743,0.0,1.718743614713612,1.7051902769575211,1.3930848222469758,2.0191670887987705,354.0611846310041,0.0,1.6920715998601723,1.71399532868931,1.3828754415189015,1.9962481188610643,348.56674957119554,0.0,1.4526892366824118,1.447351606131223,1.1568416626535032,1.8067786712899792,299.2539827565769,0.0,1.360857410755442,1.3780072631785902,0.960078094789343,1.7316939153080646,280.336626615621,0.0,0.9081149223280148,0.9206187360603596,0.7202174259585334,1.0958881665483122,187.07167399957103,0.0,0.7745639427319149,0.7853058416494065,0.4580669891040948,0.9992811490152576,159.5601722027744,0.0,-0.903831314435628,-0.9086163405171832,-1.3268720983629725,-0.5572452691414145,-186.1892507737394,0.0,-0.9037957350596626,-0.8903534983124604,-1.5117167647026435,-0.4949060033452788,-186.1819214222905,0.0
BFA.10_1,10.0,-1.64953966738287,-1.6350362725789294,-1.8239365232962623,-1.5192042042298717,-212.79061709239025,0.0,-1.6029208181391843,-1.5890279948917834,-1.7510007870873785,-1.4852271720171186,-206.7767855399548,0.0,-1.4936187167490371,-1.503759900200632,-2.07086041106248,-0.9551508732886558,-192.67681446062585,0.0,-0.1589001751312689,-0.17517363721960258,-0.8687142205430217,0.3978924637703899,-20.498122591933686,0.0,0.9022043082726664,0.9082760483952764,0.3219133501219516,1.306801917609138,116.384355767174,0.0,1.766334964000345,1.7119434992055595,1.4780821531769068,2.2746398079537737,227.8572103560445,0.0,1.711765246013176,1.6299518034742695,1.5120423892310493,2.2739132251045957,220.8177167356997,0.0,1.6246019937622278,1.5815531170934172,1.3574398012669646,2.1872363783802142,209.57365719532746,0.0,1.1224596844147394,1.085152209463971,0.923498964523946,1.5220614200201827,144.79729928950138,0.0,0.7720338563238577,0.7281896852176172,0.6326497706176869,1.069451474276742,99.59236746577764,0.0,-1.3418836668649032,-1.316738771105679,-1.6665240658041955,-1.1133016664382782,-173.10299302557254,0.0,-1.5180209579322022,-1.5121672082103097,-1.8483430248601416,-1.205573819834136,-195.82470357325408,0.0
