GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
BWA.1_1,1,90297.71785,90317.79695,87745.76409,94619.70157,110524406.6,0,90422.40919,90445.87607,87865.17411,94791.70901,110677028.8,0,90546.01698,90563.36237,87960.17311,94913.65078,110828324.8,0,90699.30861,90717.22705,88103.46702,95104.3834,111015953.7,0,91040.18412,91067.79167,88408.7493,95461.41599,111433185.4,0,91159.79375,91185.66814,88502.13786,95643.24434,111579587.5,0,91205.97659,91221.91685,88550.11523,95710.80926,111636115.3,0,90793.63527,90814.80291,88154.76907,95247.31254,111131409.6,0,90683.00286,90699.18526,88088.18594,95179.47701,110995995.5,0,90473.96374,90488.00076,87921.56912,94986.68257,110740131.6,0,90349.25696,90367.22894,87780.88808,94703.69128,110587490.5,0,90259.64218,90277.60443,87690.5359,94637.83349,110477802,0
BWA.2_1,2,90059.03166,90082.87881,89134.25147,90775.32754,16390743.76,0,90142.4675,90167.33617,89228.14424,90852.98397,16405929.08,0,90287.74625,90309.65294,89364.0288,91013.4292,16432369.82,0,90433.51587,90455.77648,89505.75965,91159.46719,16458899.89,0,90745.318,90771.33762,89799.12672,91493.51955,16515647.88,0,90845.3338,90872.70762,89893.10788,91602.83704,16533850.75,0,90860.37538,90889.7125,89909.56962,91620.74489,16536588.32,0,90520.5615,90542.56521,89584.19997,91257.72399,16474742.19,0,90351.64077,90374.77732,89442.96035,91067.09767,16443998.62,0,90117.6918,90142.45927,89234.84846,90806.35851,16401419.91,0,90110.29535,90133.82457,89193.99331,90820.68883,16400073.75,0,89998.59845,90025.67989,89090.76124,90700.81713,16379744.92,0
BWA.3_1,3,90097.56724,,,,,,90241.2948,,,,,,90359.84224,,,,,,90510.39314,,,,,,90839.55802,,,,,,90957.43997,,,,,,91006.31326,,,,,,90597.07219,,,,,,90520.81474,,,,,,90326.54653,,,,,,90163.88132,,,,,,90081.43233,,,,,
BWA.4_1,4,90143.6724,90143.6724,90013.07319,90274.27162,180287.3448,0,90268.68187,90268.68187,90137.86189,90399.50185,180537.3637,0,90370.4645,90370.4645,90239.08762,90501.84137,180740.929,0,90540.54241,90540.54241,90407.77366,90673.31116,181081.0848,0,90885.95864,90885.95864,90751.89913,91020.01816,181771.9173,0,91027.18131,91027.18131,90891.36451,91162.99811,182054.3626,0,91081.14209,91081.14209,90945.2087,91217.07548,182162.2842,0,90619.05327,90619.05327,90484.86582,90753.24071,181238.1065,0,90514.57085,90514.57085,90381.02516,90648.11655,181029.1417,0,90327.46945,90327.46945,90194.90194,90460.03696,180654.9389,0,90157.57304,90157.57304,90025.9945,90289.15158,180315.1461,0,90076.88189,90076.88189,89945.38598,90208.3778,180153.7638,0
BWA.5_1,5,89124,89385.5414,86243.72274,90542.93784,84311304,0,89214.17579,89468.97485,86303.61872,90642.62207,84396610.3,0,89349.28517,89612.0458,86443.94343,90794.37597,84524423.77,0,89512.21657,89775.57599,86592.49212,90951.84273,84678556.87,0,89873.22477,90140.91584,86906.54307,91320.19089,85020070.64,0,89977.15379,90248.05654,86967.90076,91438.24189,85118387.48,0,90013.80967,90284.27915,86987.96517,91481.32261,85153063.95,0,89628.02162,89891.68976,86679.23382,91063.07016,84788108.45,0,89450.75428,89706.84247,86519.18304,90897.18279,84620413.55,0,89241.52792,89495.36275,86352.90563,90652.49779,84422485.41,0,89118.92336,89386.67477,86201.02207,90576.99857,84306501.5,0,89027.25941,89281.70213,86110.85528,90471.70143,84219787.4,0
BWA.6_1,6,88175.78587,,,,,,88290.37443,,,,,,88387.73624,,,,,,88545.62336,,,,,,88884.56481,,,,,,88989.77618,,,,,,89037.50931,,,,,,88621.08091,,,,,,88504.73147,,,,,,88332.9616,,,,,,88167.66151,,,,,,88091.24799,,,,,
BWA.7_1,7,89328.51866,89395.98906,87314.34492,91297.61106,77447825.68,0,89449.2295,89513.29051,87393.08712,91427.07987,77552481.98,0,89555.65648,89623.74146,87529.60204,91528.27778,77644754.17,0,89757.88294,89821.58612,87688.24519,91788.85679,77820084.51,0,90136.58839,90191.47927,88033.47037,92201.72466,78148422.14,0,90254.43946,90314.28844,88113.67581,92349.85556,78250599.01,0,90292.19907,90356.14516,88140.53907,92380.60108,78283336.59,0,89933.95708,89977.41454,87824.56224,92071.1719,77972740.79,0,89718.11786,89771.69212,87636.32214,91800.22617,77785608.18,0,89537.2561,89590.43734,87478.96937,91598.77536,77628801.04,0,89317.32574,89381.36607,87269.19707,91349.20512,77438121.42,0,89252.22784,89312.84067,87207.41739,91269.89871,77381681.54,0
BWA.8_1,8,90556.83984,90585.09032,89229.49122,91437.37872,5795637.75,0,90685.42783,90711.33135,89355.19887,91575.8468,5803867.381,0,90784.00259,90811.75913,89447.64838,91672.64901,5810176.166,0,90955.9799,90984.46963,89603.65101,91853.73816,5821182.713,0,91302.31422,91329.60611,89936.78143,92207.02194,5843348.11,0,91445.49847,91475.39837,90056.04697,92358.72134,5852511.902,0,91501.3586,91530.75446,90110.39212,92418.48736,5856086.951,0,91037.91672,91065.94621,89669.16393,91948.88713,5826426.67,0,90938.91757,90965.64534,89583.17883,91851.60281,5820090.724,0,90750.88205,90778.64762,89404.70113,91659.96553,5808056.451,0,90579.34804,90606.08644,89249.19231,91471.33716,5797078.274,0,90500.7268,90526.86989,89169.59647,91394.65388,5792046.515,0
BWA.9_1,9,89067.40204,89017.25006,87729.42107,90017.63137,28590636.06,0,89183.89183,89130.25892,87845.71705,90145.24862,28628029.28,0,89283.72712,89228.65455,87938.90234,90242.51271,28660076.4,0,89449.23598,89402.16072,88084.12307,90407.42243,28713204.75,0,89803.1506,89760.14839,88406.36458,90754.4389,28826811.34,0,89917.53665,89874.36724,88507.3568,90889.55194,28863529.27,0,89966.78419,89925.33857,88557.65684,90944.25376,28879337.73,0,89541.18964,89498.12117,88137.02184,90485.19031,28742721.87,0,89413.67561,89362.26484,88050.37996,90384.90329,28701789.87,0,89231.01163,89181.25458,87886.25527,90197.33396,28643154.73,0,89074.45998,89021.70827,87730.57969,90036.91502,28592901.65,0,88993.96817,88940.93024,87652.26723,89956.76986,28567063.78,0
BWA.10_1,10,87792.35299,,,,,,87912.41863,,,,,,88005.74986,,,,,,88152.17106,,,,,,88460.91964,,,,,,88569.6999,,,,,,88619.21867,,,,,,88192.94944,,,,,,88116.68849,,,,,,87956.10526,,,,,,87792.98324,,,,,,87717.43387,,,,,
BWA.11_1,11,89422.4197,89513.29315,87087.97914,91184.98387,4024008.887,0,89558.26963,89649.90008,87200.96347,91340.36288,4030122.133,0,89679.0507,89770.15597,87322.63425,91460.70774,4035557.282,0,89825.17863,89915.87557,87457.35764,91619.0844,4042133.038,0,90139.6694,90235.51575,87728.23275,91955.50471,4056285.123,0,90248.25649,90343.91926,87806.28901,92089.76178,4061171.542,0,90292.91347,90390.01956,87839.43259,92143.83533,4063181.106,0,89903.68572,89995.86056,87511.51836,91715.42411,4045665.858,0,89828.56525,89919.3708,87446.48849,91643.13725,4042285.436,0,89640.37573,89728.3393,87278.25577,91451.06725,4033816.908,0,89489.68405,89579.54458,87159.98106,91255.51496,4027035.782,0,89402.66577,89492.29759,87058.636,91177.87794,4023119.96,0
