GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
BWA.1_1,1,-0.350883275,-0.327563462,-1.323415498,0.363138521,-429.4811281,0,-0.579456958,-0.57399152,-1.782760471,0.342075546,-709.2553167,0,-0.828974438,-0.832674651,-1.751790188,0.082191743,-1014.664712,0,-0.352397972,-0.304023418,-1.461434371,0.727041813,-431.3351173,0,0.232944921,0.131679323,-0.930761532,1.62881359,285.1245837,0,0.237654325,0.207752428,-1.045013518,1.625704839,290.8888941,0,0.310641421,0.30270765,-0.976288918,1.663002733,380.2250991,0,-0.304495309,-0.281091432,-1.312003414,1.130108115,-372.7022583,0,-0.644376432,-0.588430565,-2.253854215,0.998991743,-788.7167526,0,-0.987785257,-0.936741692,-2.69834715,0.4550357,-1209.049154,0,-1.069307447,-0.946267559,-2.11424152,-0.266224469,-1308.832315,0,-1.097566121,-1.129819155,-2.106207081,-0.262807016,-1343.420932,0
BWA.2_1,2,-0.392522947,-0.411155249,-0.524688085,-0.199654257,-71.43917641,0,-0.740240219,-0.753021754,-0.862879234,-0.503222658,-134.7237199,0,-0.382738066,-0.389522379,-0.565286675,-0.11706281,-69.65832805,0,-0.378077997,-0.402048138,-0.703979004,0.164365844,-68.81019545,0,0.478948446,0.447310167,0.188909047,0.916517953,87.16861715,0,0.37417725,0.341285815,0.054604796,0.83858894,68.10025948,0,0.449800759,0.426223387,0.172603574,0.925762752,81.86373815,0,-0.221726005,-0.222750216,-0.468680425,0.126642757,-40.35413289,0,-0.526786131,-0.519549048,-0.875525145,-0.233730764,-95.87507593,0,-1.235257897,-1.227405753,-1.543015995,-0.831989334,-224.8169372,0,-0.822595221,-0.817933203,-1.011001431,-0.664844166,-149.7123302,0,-1.254283434,-1.264992746,-1.460366297,-1.022762803,-228.279585,0
BWA.3_1,3,0.262151451,,,,,,0.198243796,,,,,,-0.27106888,,,,,,-0.039248507,,,,,,0.356088074,,,,,,0.423564774,,,,,,0.54079574,,,,,,-0.16956369,,,,,,-0.085758195,,,,,,-0.031228907,,,,,,-0.544853345,,,,,,-0.309200561,,,,,
BWA.4_1,4,-1.188738656,-1.188738656,-1.195798264,-1.181679048,-2.377477312,0,-1.394048305,-1.394048305,-1.397509831,-1.390586779,-2.788096609,0,-1.085405454,-1.085405454,-1.092707436,-1.078103472,-2.170810908,0,-0.825872168,-0.825872168,-0.828665387,-0.82307895,-1.651744336,0,-0.176185114,-0.176185114,-0.18668416,-0.165686068,-0.352370228,0,-0.070428766,-0.070428766,-0.107400097,-0.033457436,-0.140857533,0,-0.372620787,-0.372620787,-0.394379551,-0.350862022,-0.745241574,0,-0.560722805,-0.560722805,-0.57648301,-0.5449626,-1.12144561,0,-1.561218913,-1.561218913,-1.599373533,-1.523064294,-3.122437827,0,-2.046042137,-2.046042137,-2.08401365,-2.008070625,-4.092084275,0,-1.897355426,-1.897355426,-1.902367161,-1.892343691,-3.794710852,0,-2.040178747,-2.040178747,-2.042431102,-2.037926392,-4.080357494,0
BWA.5_1,5,-0.810226331,-0.79121583,-1.485511657,-0.300171123,-766.4741094,0,-0.964644729,-0.901223107,-2.271499179,-0.326511743,-912.5539136,0,-1.334325297,-1.337061053,-2.113498701,-0.526529152,-1262.271731,0,-0.765478766,-0.702439625,-1.659484236,-0.18858858,-724.1429125,0,-0.095639642,0.055487686,-1.959233831,0.763546692,-90.47510105,0,0.006205439,0.137873613,-1.815578341,0.83483968,5.870345402,0,-0.19930126,-0.036294853,-2.109252693,0.723141282,-188.5389924,0,0.187195724,0.217050361,-0.571186077,0.5881983,177.0871552,0,-0.639083056,-0.630273379,-1.182206941,-0.092398648,-604.5725711,0,-0.20819791,-0.109315101,-1.445865386,0.626582204,-196.9552227,0,-1.723901142,-1.68407564,-2.41812796,-1.013691404,-1630.81048,0,-0.976064351,-1.021313986,-1.632785978,-0.131598735,-923.356876,0
BWA.6_1,6,-1.617768235,,,,,,-1.787584523,,,,,,-1.634343761,,,,,,-0.993123256,,,,,,-0.489163991,,,,,,-0.79969562,,,,,,-0.870230743,,,,,,-0.46470247,,,,,,-1.35402302,,,,,,-1.812677057,,,,,,-2.524431967,,,,,,-2.346915525,,,,,
BWA.7_1,7,-1.33467524,-1.362779168,-2.430775471,0.37073618,-1157.163433,0,-2.165458664,-2.273508786,-2.611546465,-1.2754258,-1877.452662,0,-2.060177038,-2.066195392,-2.551888433,-1.067916636,-1786.173492,0,-1.121323435,-1.169949176,-1.653658153,-0.479241295,-972.1874182,0,-1.36271262,-1.390182314,-2.094299572,0.080594713,-1181.471842,0,-1.364466003,-1.40892688,-2.020401887,-0.114303038,-1182.992024,0,-1.742232199,-1.8114884,-2.424235654,-0.314948382,-1510.515317,0,0.233697089,0.237813977,-0.360059242,0.636840238,202.6153759,0,-0.706572638,-0.893547377,-1.285765709,0.520311813,-612.5984772,0,-0.453167522,-0.405127758,-1.494638811,0.987152752,-392.8962418,0,-1.087118466,-1.173329878,-2.706590998,1.389105078,-942.5317101,0,-0.982196232,-0.865270944,-2.244668111,0.392521594,-851.5641336,0
BWA.8_1,8,-1.180843656,-1.180195313,-1.336364366,-0.928391058,-75.57399399,0,-1.603331728,-1.607655138,-1.78269967,-1.358866862,-102.6132306,0,-1.303618529,-1.29472337,-1.68265972,-1.011435959,-83.43158587,0,-1.088496224,-1.070285765,-1.417426274,-0.843458333,-69.66375834,0,-0.515277195,-0.545560455,-0.763663102,-0.151400929,-32.97774046,0,-0.313804067,-0.35458555,-0.649062262,0.104184713,-20.08346026,0,-0.596701085,-0.621674214,-0.833089194,-0.281831052,-38.18886946,0,-0.888064895,-0.857455894,-1.232206996,-0.596424355,-56.83615325,0,-1.904997337,-1.879593855,-2.374340185,-1.448006223,-121.9198296,0,-2.393502992,-2.395660417,-2.823553541,-1.864050157,-153.1841915,0,-1.946772084,-1.940834346,-2.135072437,-1.717462301,-124.5934134,0,-2.039396651,-2.053037522,-2.158057538,-1.663938244,-130.5213857,0
BWA.9_1,9,-1.065908226,-1.037611545,-1.51966854,-0.706988333,-342.1565404,0,-1.351826453,-1.374202949,-1.730342473,-1.053468597,-433.9362915,0,-1.351037557,-1.299315855,-1.996674029,-1.019349194,-433.6830559,0,-0.689878524,-0.690542573,-0.975703428,-0.48214408,-221.4510061,0,-0.239963773,-0.20863734,-0.882410952,0.151799799,-77.02837118,0,-0.239612074,-0.237911764,-0.775741928,0.250349431,-76.91547586,0,-0.413857995,-0.39162141,-0.947586518,0.029096305,-132.8484163,0,-0.183240364,-0.153141189,-0.792592961,0.391652755,-58.82015695,0,-0.997997268,-0.995614278,-1.588291441,-0.554665917,-320.357123,0,-1.161983233,-1.167374795,-2.102553641,-0.322360904,-372.9966177,0,-1.896675792,-1.901808535,-2.474096949,-1.588455388,-608.8329292,0,-1.740664129,-1.74428184,-2.33280917,-1.306866634,-558.7531853,0
BWA.10_1,10,-1.404231429,,,,,,-1.368994663,,,,,,-1.076327443,,,,,,-0.654752555,,,,,,0.098679246,,,,,,-0.19103967,,,,,,-0.291883286,,,,,,-0.479486835,,,,,,-1.535644777,,,,,,-2.093204329,,,,,,-2.151549343,,,,,,-2.071950595,,,,,
