GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
CMR.1_1,1.0,-0.001053221401815727,-0.000954541501191339,-0.004573126127517675,-0.0007621771620546367,-0.5561009001587038,0.0,-0.0009628833348494099,-0.0008952356854799082,-0.004295861440077777,-0.0007079953484011246,-0.5084024008004886,0.0,-0.0014116863290679032,-0.0013978887696931516,-0.003623446325928961,-0.0007316670329871898,-0.7453703817478529,0.0,-0.0028734038898805287,-0.0030652836971922703,-0.004519334323322857,-0.0012058368439291536,-1.5171572538569191,0.0,-0.0033699294619991323,-0.0034136497514122,-0.00431244016200505,-0.0019134951587024868,-1.7793227559355418,0.0,-0.003315085499533037,-0.003339171338245345,-0.004111359734663652,-0.0023965038037451164,-1.7503651437534435,0.0,-0.0031061880373480315,-0.0030843067239287327,-0.003833228081741081,-0.0027295834573563232,-1.6400672837197607,0.0,-0.0030655360694150672,-0.003048130937285013,-0.003925015874639999,-0.0027041316437287576,-1.6186030446511557,0.0,-0.0030077316718284024,-0.0030178960088033642,-0.003574196274830528,-0.002579802092869541,-1.5880823227253964,0.0,-0.0034609668320275512,-0.0034846446819396704,-0.004023729895188549,-0.0028445655580342684,-1.8273904873105469,0.0,-0.0027002202582668503,-0.002637924111412517,-0.0046588088267301144,-0.0016160391520379455,-1.4257162963648968,0.0,-0.0013379940362219607,-0.001239845581254167,-0.003932009065705259,-0.0006920201519846238,-0.7064608511251952,0.0
CMR.2_1,2.0,-0.002186296187344263,-0.002289588712219715,-0.003531572667010301,-0.0009292354275564822,-1.213394383976066,0.0,-0.0017846224537677391,-0.0017343505210194907,-0.003325154920026429,-0.0008981773357542723,-0.9904654618410952,0.0,-0.002485486060043022,-0.0023996221428452505,-0.0036823152770930506,-0.0016726780159293155,-1.3794447633238769,0.0,-0.003765544115953064,-0.003769810203375264,-0.004577444182809275,-0.002660436228144862,-2.08987698435395,0.0,-0.0035187921807833078,-0.0034556712058024987,-0.0043491909386537035,-0.002243625907377273,-1.952929660334736,0.0,-0.0031522061021277627,-0.0031142963508193487,-0.0038390453980448975,-0.0023410825452622823,-1.7494743866809084,0.0,-0.002831834546155141,-0.0028142541266375828,-0.0035979869640337813,-0.0022333844333953233,-1.571668173116103,0.0,-0.002838138764169305,-0.002808973952899552,-0.003767426986448389,-0.0021074657525570013,-1.5751670141139638,0.0,-0.003051916184696787,-0.003091778949040234,-0.0035062755739070496,-0.002444358163255709,-1.6938134825067168,0.0,-0.003409549615833405,-0.003410251119319191,-0.004073937055565804,-0.002828637310367206,-1.89230003678754,0.0,-0.003679800420949703,-0.003657486032967878,-0.004178902457653424,-0.003063870932636225,-2.042289233627085,0.0,-0.002679920705285097,-0.0027669318707862264,-0.0039245295841145115,-0.0014796563748951936,-1.4873559914332288,0.0
CMR.3_1,3.0,-0.002322345666618525,-0.002438531200305941,-0.0033458934321186342,-0.000864737954294771,-2.0390194952910647,0.0,-0.0019265428296974907,-0.002015906453256807,-0.003072912142982021,-0.000813961684378888,-1.6915046044743964,0.0,-0.002981798401644545,-0.003111659221417997,-0.004084876376901657,-0.0015397834707018626,-2.618018996643911,0.0,-0.00401312572320296,-0.004074589030202431,-0.004506921587450604,-0.003253046603090196,-3.5235243849721987,0.0,-0.003871533653922818,-0.003858779377436485,-0.004406144119547728,-0.003433198117285857,-3.3992065481442344,0.0,-0.0033819541065051497,-0.003365014129266203,-0.003959269711141039,-0.002860667880655864,-2.9693557055115214,0.0,-0.002940442459860116,-0.0029671986461966555,-0.0034827733190520914,-0.0023637076845022358,-2.581708479757181,0.0,-0.002996944780134846,-0.003012488416658331,-0.003626642659934092,-0.002285012280013317,-2.631317516958395,0.0,-0.0033895222404621487,-0.003368128612754205,-0.003966159801383309,-0.0029827778643603045,-2.976000527125767,0.0,-0.003453603184661993,-0.003474139940337445,-0.0038976479292243842,-0.0029802799641986226,-3.0322635961332285,0.0,-0.0037219801437474134,-0.0037711716682196014,-0.004298703554939494,-0.002971547942004602,-3.2678985662102287,0.0,-0.002645021609384075,-0.002738733963726462,-0.0034925082848184783,-0.001377200613723537,-2.3223289730392183,0.0
CMR.4_1,4.0,-0.0007085980087465758,-0.0006179652005037389,-0.005007174348100983,-4.449002915170255e-05,-0.19699024643154808,0.0,-0.0005895477068981966,-0.0004483051448021945,-0.005041315537626926,-4.1857197486348586e-05,-0.16389426251769865,0.0,-0.0005602733306613875,-0.0003777374082029373,-0.0057581267456001325,-4.483643977979741e-05,-0.15575598592386572,0.0,-0.0004990658547997396,-0.00027429823878948024,-0.006491485182592975,-3.825082666726639e-05,-0.13874030763432765,0.0,-0.0006627933993502005,-0.0003754658919333817,-0.006642649380540221,-8.056378156122735e-05,-0.18425656501935567,0.0,-0.0011731590157414054,-0.0010388147809171984,-0.006877271901629168,-0.00024428051127691093,-0.3261382063761107,0.0,-0.002763395597896381,-0.002819479038506253,-0.005858041087109779,-0.0014504904186337984,-0.7682239762151939,0.0,-0.003556150837102068,-0.0035319918919763955,-0.004682998956343917,-0.003240763070886938,-0.9886099327143748,0.0,-0.00401411652439412,-0.004056793489484649,-0.005435638631916837,-0.0019071818836565546,-1.1159243937815653,0.0,-0.0032124954907242985,-0.0035158879583962192,-0.006118075766898954,-0.0004890885672851792,-0.8930737464213551,0.0,-0.0014013514698607904,-0.0014220526104650913,-0.005489035051025626,-0.0002105462246742373,-0.38957570862129975,0.0,-0.0007716657819760242,-0.0006868709634638982,-0.004597613985895117,-0.00013200060512195188,-0.2145230873893348,0.0
CMR.5_1,5.0,-0.002959402966581837,-0.0029412328170722803,-0.003733791544695904,-0.0020379703783230444,-0.473504474653094,1.8404907975460123,-0.0027160357391521274,-0.002737941593746623,-0.004030148031070178,-0.0015273291862843033,-0.4345657182643404,1.8404907975460123,-0.003352072883428632,-0.0033435155731919588,-0.004463396783327911,-0.002221695219016111,-0.5363316613485811,1.8404907975460123,-0.003509302060242544,-0.003517503808494157,-0.0043092436109800035,-0.003013411447380309,-0.561488329638807,1.8404907975460123,-0.003394565448172372,-0.003387970290135398,-0.004050993895031093,-0.0028766925222822835,-0.5431304717075796,1.8404907975460123,-0.0031622073558014484,-0.0031298835148430787,-0.0042505565290008665,-0.00286143561116565,-0.5059531769282317,1.8404907975460123,-0.0026335773832418807,-0.0025751102751388056,-0.004050064461606084,-0.002303413935800959,-0.4213723813187009,1.8404907975460123,-0.002790786437571022,-0.002733042158616236,-0.0041658453111214815,-0.0023351621561479327,-0.4465258300113635,1.8404907975460123,-0.002679963940583049,-0.002633731156701288,-0.004286007775354778,-0.0022872331316534096,-0.4287942304932879,1.8404907975460123,-0.00315719694179832,-0.003170707668750059,-0.0039872613173161965,-0.002786092742047532,-0.5051515106877311,1.8404907975460123,-0.0033542190002615628,-0.00339982713474317,-0.004015144320066463,-0.002873394059362613,-0.5366750400418501,1.8404907975460123,-0.0032182205700866844,-0.0032175559414610398,-0.004190123137538369,-0.002560650804530416,-0.5149152912138695,1.8404907975460123
CMR.6_1,6.0,-0.0014331262292588975,-0.0013231641160200008,-0.003337569404531681,-0.0008891941498488416,-0.20207079832550454,0.0,-0.0011813293096451993,-0.0011189631183919943,-0.003465118848991085,-0.000768494770547689,-0.1665674326599731,0.0,-0.0018976148987379696,-0.001709016650851691,-0.003603005814749364,-0.0012366971632996875,-0.2675637007220537,0.0,-0.0032769241781778827,-0.003264546414883166,-0.0040132785737247755,-0.002227953812856511,-0.4620463091230815,0.0,-0.0032294138622485924,-0.003211393478482553,-0.0037744178083437678,-0.002810001843449268,-0.4553473545770516,0.0,-0.0031101100554476605,-0.003108325305082905,-0.0035755428960024256,-0.002634579734942043,-0.43852551781812016,0.0,-0.0027729017485535984,-0.002786092398739107,-0.0031582820291974137,-0.0021586161562595282,-0.39097914654605737,0.0,-0.002888891147152705,-0.002903842619488873,-0.0033558476078818502,-0.0024773679616577524,-0.4073336517485314,0.0,-0.002629330042711001,-0.002629286983953175,-0.002936107955794592,-0.0021917942785531297,-0.3707355360222512,0.0,-0.0031939553197498608,-0.003178288443488049,-0.0037563878401213322,-0.002682893191451957,-0.45034770008473024,0.0,-0.003091296053755895,-0.0030316043345539863,-0.004000860274061324,-0.002469694357614634,-0.4358727435795812,0.0,-0.0018807838424627387,-0.0016865075170514705,-0.0038083178992668774,-0.0012923348465173027,-0.2651905217872461,0.0
CMR.7_1,7.0,-0.0008727997934853852,-0.0008314925620246191,-0.004056862523522959,-9.447681958976858e-05,-0.4634566903407396,0.0,-0.0007441667058836469,-0.0007286362272273156,-0.004075089211208917,-6.0572369843921265e-05,-0.3951525208242165,0.0,-0.0007654784829683619,-0.0007472103026171093,-0.004598961382653103,-7.150160483204826e-05,-0.4064690744562002,0.0,-0.0009502447164078321,-0.0009254308488578584,-0.005187556247880253,-5.967477067300344e-05,-0.5045799444125587,0.0,-0.0018591754657441137,-0.0018814234229417469,-0.005036632197016347,-0.00015070196323897352,-0.9872221723101244,0.0,-0.002473488194250478,-0.0024308596824435553,-0.004967620646243954,-0.0008546583204346369,-1.3134222311470038,0.0,-0.003337821360475668,-0.003349844454831707,-0.004492204103187983,-0.0022853446010216148,-1.7723831424125798,0.0,-0.0032638761871199274,-0.003296256096740509,-0.003991343696509231,-0.002330323418287292,-1.7331182553606814,0.0,-0.0036668780515526334,-0.003650547298929282,-0.00447719261734542,-0.002953588874883638,-1.9471122453744485,0.0,-0.003583118198637571,-0.003676211452649153,-0.0047542575509965145,-0.0019637926710411725,-1.9026357634765505,0.0,-0.0019169771903317227,-0.002107205328035001,-0.004766763548532339,-0.00020405297652666365,-1.0179148880661446,0.0,-0.0009166372865161619,-0.0009537451676987126,-0.003640169768059122,-6.894742812648666e-05,-0.486734399140082,0.0
CMR.8_1,8.0,-0.0015229450085684805,-0.0012948234308751408,-0.003290269910934275,-0.0008841534335875691,-0.16752395094253286,0.0,-0.0012618521971930613,-0.0010849340218900927,-0.0028736339670770643,-0.0007787313008589793,-0.13880374169123674,0.0,-0.001980285247666999,-0.001624168662567672,-0.003629046955010685,-0.0011752359173962158,-0.21783137724336987,0.0,-0.0032542563508486297,-0.0032563033916062447,-0.004035166591180735,-0.0025804379565135004,-0.3579681985933493,0.0,-0.0032587115601750865,-0.003208822213196319,-0.003958717451185779,-0.002826710881458709,-0.3584582716192595,0.0,-0.003265110986159966,-0.0032367257104093626,-0.003762090130734005,-0.002964309865424251,-0.3591622084775963,0.0,-0.002928081204172781,-0.0029376145486670327,-0.0034743943229368504,-0.002407340430997668,-0.32208893245900594,0.0,-0.003072655366250385,-0.0030540552943908628,-0.0036958060586778974,-0.0025613616627351483,-0.33799209028754235,0.0,-0.002836890676324457,-0.002781063553986446,-0.0033980996212910237,-0.0024635494998164857,-0.3120579743956903,0.0,-0.0032311144138187178,-0.003217595905508141,-0.0037906025744550327,-0.002778238574210028,-0.3554225855200589,0.0,-0.003313235364998918,-0.003306665385452578,-0.003990782452035768,-0.002486056892815521,-0.364455890149881,0.0,-0.0022263446415223763,-0.0019102489296274454,-0.004078557347195707,-0.0012962274396549865,-0.2448979105674615,0.0
CMR.9_1,9.0,-0.002503367922502847,-0.0024450098963485377,-0.003993941931905327,-0.0016902401386207006,-0.5006735845005694,0.4975124378109453,-0.0020460678233218247,-0.001891061572090018,-0.003866841492270901,-0.001311569460717451,-0.4092135646643649,0.4975124378109453,-0.003272815626892848,-0.0032782572554259396,-0.0045850235500200865,-0.0024045306253411675,-0.6545631253785695,0.4975124378109453,-0.0036643311077472905,-0.003660963818690901,-0.004622197122800864,-0.003114836764865041,-0.7328662215494581,0.4975124378109453,-0.003351523401390105,-0.0033425363955919985,-0.004096801685263675,-0.0028049989743688785,-0.670304680278021,0.4975124378109453,-0.003016402972214905,-0.002994836727065698,-0.004071043101770571,-0.0027083726475586635,-0.6032805944429811,0.4975124378109453,-0.002499045116621482,-0.0024388437689277795,-0.0035942437547409924,-0.002166120736735027,-0.4998090233242964,0.4975124378109453,-0.0028512031593040986,-0.002782717785376755,-0.004178724602868034,-0.002387310378744475,-0.5702406318608197,0.4975124378109453,-0.0024836664930115828,-0.0024315508388269287,-0.003961901062433808,-0.0021629725853804945,-0.4967332986023166,0.4975124378109453,-0.003028886760644302,-0.002979201132780417,-0.003682805482523985,-0.002684452956420882,-0.6057773521288604,0.4975124378109453,-0.0035061900095710967,-0.003509322928706856,-0.004194268721938946,-0.0028508377289329307,-0.7012380019142193,0.4975124378109453,-0.0032954512586254197,-0.0033215751130047343,-0.00400216017289698,-0.0025268120199492144,-0.6590902517250838,0.4975124378109453
CMR.10_1,10.0,-0.0028579212736298486,-0.002785858562215792,-0.004152274118016837,-0.0024304834914140806,-1.117447217989271,0.0,-0.002957708530524241,-0.002864266559346237,-0.004571023195309238,-0.0021361903253048014,-1.156464035434978,0.0,-0.0036726585486638436,-0.003661089613314038,-0.004994506812155575,-0.003130380704230602,-1.4360094925275633,0.0,-0.0039145584448036395,-0.003989695603920314,-0.004905450859519081,-0.003298997932131323,-1.5305923519182232,0.0,-0.003418737936423936,-0.003462589272445163,-0.004557730705468946,-0.00288944909224048,-1.336726533141759,0.0,-0.0029955697366851482,-0.002969293950037883,-0.004874663070053693,-0.002568728637381701,-1.1712677670438931,0.0,-0.0025179793578095845,-0.002443352417679388,-0.004673726684911134,-0.002180541596536888,-0.9845299289035476,0.0,-0.002572428997968477,-0.002409544746852189,-0.004949483822724246,-0.002243038576374339,-1.0058197382056746,0.0,-0.0029416017311911184,-0.0029560979290075484,-0.004921905547132915,-0.0023913183256314666,-1.1501662768957273,0.0,-0.0030459661425111875,-0.003042514940279219,-0.004393167280814217,-0.00259461571217238,-1.1909727617218744,0.0,-0.003240998197854771,-0.003205517850711184,-0.004509269888853118,-0.002983977751667385,-1.2672302953612151,0.0,-0.002842005044963845,-0.002792047004265671,-0.004260823515239857,-0.0024402581743893912,-1.1112239725808633,0.0
