GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
EGY.1_1,1.0,-0.0006233966764937659,-0.0005392130871976783,-0.0018384145159035046,-0.0003086018076657628,-0.01807850361831921,3.333333333333333,-0.0004333734130081061,-0.0003455787599875072,-0.001251077521858142,-0.00028355885589507204,-0.012567828977235077,3.333333333333333,-0.0012724603290857734,-0.001266228897072535,-0.0015019503133194155,-0.0011665570680394776,-0.036901349543487436,3.333333333333333,-0.000299599972830962,-0.0002642901591255167,-0.0006458749582040772,-0.00021934203904127849,-0.008688399212097898,3.333333333333333,-0.00015691996212630866,-9.750671347550056e-05,-0.0006279903929809451,-5.6294990213205824e-05,-0.004550678901662951,3.333333333333333,-0.00011748384546208953,-6.029880712638066e-05,-0.0005627647352128384,-3.252045713312578e-05,-0.0034070315184005964,3.333333333333333,-0.00013439707583564166,-8.06854037965104e-05,-0.0005603899471420225,-5.177561071375824e-05,-0.0038975151992336077,3.333333333333333,-0.00013297968420376429,-7.732040586773238e-05,-0.000556359128872334,-5.166959458595536e-05,-0.003856410841909164,3.333333333333333,-0.0001106301333835356,-6.037580770183328e-05,-0.0004749597627606622,-4.29867060039976e-05,-0.0032082738681225324,3.333333333333333,-0.00012055767094552595,-9.651238514361379e-05,-0.00041575506301171436,-3.738788808609491e-05,-0.0034961724574202532,3.333333333333333,-0.0005313349488475584,-0.0004331202351714861,-0.001510569835922165,-0.00021984612613736696,-0.015408713516579197,3.333333333333333,-0.00036760977590242783,-0.0003291314177902309,-0.001016023862017535,-0.00019379425787254432,-0.010660683501170408,3.333333333333333
EGY.2_1,2.0,-4.4133899213372267e-05,-2.378718004503629e-05,-0.0010541022041915973,-1.611342366774775e-05,-0.03905850080383445,0.7847533632286996,-6.861401582857522e-05,-3.034118327912184e-05,-0.0009853720521974683,-2.274668051118477e-05,-0.060723404008289066,0.7847533632286996,-0.0001638750245737201,-5.2278356505732816e-05,-0.0011401116808455176,-3.640716278243229e-05,-0.14502939674774232,0.7847533632286996,-7.825406943938511e-05,-5.858714385568569e-05,-0.0013941690976306234,-3.118854343201251e-05,-0.06925485145385582,0.7847533632286996,-0.00015028175454539794,-0.00011800500924701948,-0.0016282686428293158,-4.852028591419977e-05,-0.13299935277267722,0.7847533632286996,-0.00011134947549017784,-8.773553387218089e-05,-0.0017392740890760387,-4.919945845391349e-05,-0.0985442858088074,0.7847533632286996,-0.00012418827335615402,-9.470126985513414e-05,-0.0016772209275582961,-5.127387733940392e-05,-0.1099066219201963,0.7847533632286996,-0.00011477268398299572,-8.750202981836127e-05,-0.0016677938171046338,-4.7967410133794395e-05,-0.1015738253249512,0.7847533632286996,-0.00010815368317296192,-8.46500002676597e-05,-0.0016815665854516034,-4.590719692803542e-05,-0.0957160096080713,0.7847533632286996,-7.600097126011607e-05,-5.747824220220937e-05,-0.0012349433934576196,-3.1503103865353445e-05,-0.06726085956520272,0.7847533632286996,-7.253645783671575e-05,-3.728699776390519e-05,-0.0012863277842402562,-2.5734834745001584e-05,-0.06419476518549344,0.7847533632286996,-4.717054829997664e-05,-3.321364122959408e-05,-0.0008234261486485756,-1.4923281594648196e-05,-0.04174593524547933,0.7847533632286996
EGY.3_1,3.0,-0.0004633368204300919,-0.0002637061289511674,-0.001987090458320321,-7.216258182179984e-05,-0.04448033476128882,1.0309278350515465,-0.0004937129060348418,-0.00039128722498376137,-0.0016877087210660205,-0.00011867901112309719,-0.04739643897934481,1.0309278350515465,-0.000982608029828611,-0.0008871158385675047,-0.0019811213742599795,-0.0006033930578300635,-0.09433037086354663,1.0309278350515465,-0.00019801732964442884,-0.00016230816826190864,-0.0009395175701388039,-3.822690221224151e-05,-0.01900966364586517,1.0309278350515465,-9.373486042789176e-05,-5.619604955167241e-05,-0.0007931299590351244,-3.9196698239051676e-05,-0.00899854660107761,1.0309278350515465,-8.5121207850734e-05,-5.915521966700776e-05,-0.0007123794597947861,-2.139512903424728e-05,-0.008171635953670464,1.0309278350515465,-0.00010080385056288272,-6.904796491749565e-05,-0.0007339295600679468,-5.046448216283277e-05,-0.00967716965403674,1.0309278350515465,-0.00010053909521894592,-7.293849282399326e-05,-0.000707476657170357,-4.6590652940152066e-05,-0.009651753141018809,1.0309278350515465,-8.708872202982372e-05,-6.525114476036433e-05,-0.0006017200513597138,-3.370413659130739e-05,-0.008360517314863078,1.0309278350515465,-0.00010493161997583868,-5.3129369976826396e-05,-0.0007139524763183221,-4.015641747021778e-05,-0.010073435517680512,1.0309278350515465,-0.00028134457308327446,-0.00020735060784477383,-0.001206915974041602,-3.171896729828298e-05,-0.02700907901599435,1.0309278350515465,-0.00017900132137385532,-9.080399581437308e-05,-0.0010726296187403151,-2.6564314027698103e-05,-0.017184126851890108,1.0309278350515465
EGY.4_1,4.0,-0.0002272862568527893,-9.377159084040032e-05,-0.0012377674613174164,-1.6312444416070658e-05,-0.011591599099492256,0.0,-0.00032996121841861564,-0.0002368009787457326,-0.0014463188968563054,-4.3630891536050206e-05,-0.016828022139349398,0.0,-0.0010835039194157672,-0.0009762281005022508,-0.002557257370105923,-0.0005647185820139263,-0.055258699890204134,0.0,-0.0005642868544171719,-0.00026337652805227607,-0.003411506236238244,-3.473345065969479e-05,-0.028778629575275768,0.0,-0.0006378502583781617,-0.0001086936999171713,-0.004327896782834163,-4.522070854831972e-05,-0.03253036317728625,0.0,-0.0006440873871648931,-0.00010331028992059324,-0.004455026431801311,-2.33636637646248e-05,-0.03284845674540955,0.0,-0.00066484589381629,-0.00011010198736543394,-0.004569358940373872,-2.5530583636409697e-05,-0.03390714058463079,0.0,-0.0006386743741875418,-0.00010996574419396365,-0.004332118539096652,-2.44012539600668e-05,-0.032572393083564626,0.0,-0.0005625284263120951,-9.568065067268052e-05,-0.0037584224174440173,-1.9275448908067678e-05,-0.02868894974191684,0.0,-0.00044171684286528623,-8.052978727814551e-05,-0.0028455592996460164,-1.4221529190613901e-05,-0.0225275589861296,0.0,-0.0003330313979169752,-0.00016385273770014468,-0.0017879845057064449,-2.2827322896166195e-05,-0.016984601293765732,0.0,-0.00020571693099474608,-6.131663851161867e-05,-0.0011922086797217714,-1.995398508925373e-05,-0.01049156348073205,0.0
EGY.5_1,5.0,-0.0005125618904098023,-0.0004949426788343783,-0.0007662395415364954,-0.00032577004466039546,-0.009226114027376442,0.0,-0.0004256353963462552,-0.0004100557664026332,-0.00066902590739705,-0.0003032871923352453,-0.007661437134232594,0.0,-0.001154315076868246,-0.001134106918815376,-0.0013955217917370323,-0.0010756065275680797,-0.020777671383628425,0.0,-0.000272384921867574,-0.0002515995498955857,-0.0005824751345488308,-0.00021870455654305127,-0.004902928593616332,0.0,-0.0001227583728383349,-8.192795673738631e-05,-0.00053158472198384,-6.174065614465525e-05,-0.002209650711090028,0.0,-8.570142594226723e-05,-3.5273251025076464e-05,-0.00048245052248408886,-3.0050380870886853e-05,-0.0015426256669608099,0.0,-0.0001063329168415178,-5.877316115210399e-05,-0.00048736362466416923,-5.32004339968395e-05,-0.0019139925031473207,0.0,-0.00010541920824840573,-5.941860990465368e-05,-0.00048043108781188084,-5.1998896636196916e-05,-0.0018975457484713032,0.0,-8.757407051308047e-05,-4.6177290220790287e-05,-0.0004176531342334817,-4.1871786820426365e-05,-0.0015763332692354485,0.0,-8.334070698100637e-05,-4.9678455198019016e-05,-0.0003597150326763193,-3.190263109250719e-05,-0.0015001327256581151,0.0,-0.0003768729152496624,-0.000368006420420902,-0.0005994099963924622,-0.00026291233383732407,-0.0067837124744939215,0.0,-0.0002330716287833293,-0.00022834255718971318,-0.0003781030227537842,-0.00013926977247267746,-0.004195289318099927,0.0
EGY.6_1,6.0,-0.0009024571680814733,-0.0007446212145565317,-0.0022150952554538385,-0.00025208215799928216,-0.01985405769779241,8.333333333333332,-0.0007269715011176919,-0.0005928912281395732,-0.001978793127200703,-0.00022868022981799527,-0.015993373024589218,8.333333333333332,-0.0013051288921712954,-0.001302449148341002,-0.0024251091870267755,-0.0008099034345663503,-0.02871283562776849,8.333333333333332,-0.0004168464442201205,-0.0003369247420296125,-0.001448336742960314,-9.982161451313372e-05,-0.009170621772842651,8.333333333333332,-0.00019955634635580288,-7.318169438518007e-05,-0.0011768074889683805,-3.693770506851166e-05,-0.004390239619827663,8.333333333333332,-0.0001634337077921249,-5.602460542719403e-05,-0.0009630899954281248,-2.9392775420158868e-05,-0.0035955415714267478,8.333333333333332,-0.00017533714424908066,-6.446361447585392e-05,-0.0009333102239550431,-5.5447189367020226e-05,-0.003857417173479775,8.333333333333332,-0.00017267805465635895,-6.460500415405814e-05,-0.0009255281905694088,-4.5909542270428556e-05,-0.003798917202439897,8.333333333333332,-0.00015296653528891203,-5.648559227978289e-05,-0.0007981916048765178,-3.9998203495697356e-05,-0.003365263776356065,8.333333333333332,-0.0002527775136248414,-0.00015004997682602884,-0.0010222414407792331,-4.198737778719297e-05,-0.005561105299746512,8.333333333333332,-0.0006565584250675737,-0.0005435939543727648,-0.0016485284779236401,-0.00012146931728341189,-0.014444285351486626,8.333333333333332,-0.00042496438130980096,-0.0003398821369313619,-0.0014035780133726814,-4.823809204181773e-05,-0.00934921638881562,8.333333333333332
EGY.7_1,7.0,-0.00030481505591657216,-0.0002484209612421924,-0.0010442481954008012,-9.692450263764373e-05,-0.014326307628078891,0.0,-0.0003475469701230295,-0.0003033257355251146,-0.0009832288692628883,-0.0001984311326426192,-0.01633470759578239,0.0,-0.0010605757714793724,-0.0009595346494223738,-0.0020354438384644928,-0.0007741298540500293,-0.049847061259530485,0.0,-0.00038522588038445165,-0.0002055321307099379,-0.0019035077060779047,-7.604635988920154e-05,-0.018105616378069227,0.0,-0.0003302985946039437,-9.51376943522984e-05,-0.002280532745723135,-5.4671223247478696e-05,-0.015524033946385357,0.0,-0.00032352319186082805,-7.722168767039706e-05,-0.0023827176873766768,-4.562420463618024e-05,-0.01520559001745892,0.0,-0.00033276968576233387,-8.056298173716448e-05,-0.0024747133335736872,-4.8994622768909744e-05,-0.01564017523082969,0.0,-0.00032612308680727035,-7.958906114449179e-05,-0.0024265503220560424,-4.5805159612390416e-05,-0.015327785079941706,0.0,-0.00028651019140765515,-7.187933376297187e-05,-0.0020640334533542338,-4.583921063223388e-05,-0.013465978996159795,0.0,-0.0002169055254309584,-5.23155925157938e-05,-0.001561491330002295,-3.4261018084341576e-05,-0.010194559695255043,0.0,-0.0002606531210199903,-0.0001820597809195233,-0.0012533810396190598,-3.127130835538807e-05,-0.012250696687939544,0.0,-0.0003097690118162127,-0.00028984967975510535,-0.0009287286066100801,-8.814977029883143e-05,-0.014559143555361996,0.0
EGY.8_1,8.0,-5.880695318554701e-05,-2.787032623762645e-05,-0.0004351544240331969,-1.6211820406547576e-05,-0.018112541581148483,0.0,-0.00014222759287731393,-0.00011656742201146941,-0.000600203226070514,-1.9299436385904845e-05,-0.04380609860621267,0.0,-0.0007446582527946525,-0.0006858236010171824,-0.0017413933496183162,-0.000405097839038545,-0.2293547418607529,0.0,-8.064499977210547e-05,-4.072920540069318e-05,-0.0009023990292604064,-3.2185197475532106e-05,-0.024838659929808486,0.0,-7.52730450526482e-05,-5.214545946488924e-05,-0.0008415377224447832,-4.262667464509976e-05,-0.02318409787621565,0.0,-7.211384186666062e-05,-5.8121655315241126e-05,-0.0007756197374864384,-4.913161642008075e-05,-0.022211063294931468,0.0,-7.692812335256367e-05,-6.072156983793318e-05,-0.0007571693783798949,-4.883989296401073e-05,-0.023693861992589608,0.0,-7.645216938074888e-05,-6.314605007128889e-05,-0.0007331762058511403,-5.065827842298375e-05,-0.023547268169270656,0.0,-7.116150974726335e-05,-5.461700909070581e-05,-0.0006980221042531247,-4.595859354543247e-05,-0.021917745002157117,0.0,-5.6799880700508496e-05,-4.492775374574082e-05,-0.0005510500383018033,-3.2093369796811376e-05,-0.017494363255756616,0.0,-7.631188065250366e-05,-6.256072211090175e-05,-0.0004928522430229774,-1.9140935256096577e-05,-0.023504059240971133,0.0,-3.767277677356348e-05,-2.490438861862257e-05,-0.00034898765430291966,-1.3572155895358866e-05,-0.01160321524625755,0.0
EGY.9_1,9.0,-0.0002125772799539941,-0.00019387662126512235,-0.00033556275855926897,-0.00010916519536762315,-0.003826391039171893,0.0,-0.00030392446998903067,-0.00030260485288060966,-0.00036052470390957617,-0.00023856512905379447,-0.005470640459802553,0.0,-0.0011075626561491336,-0.0011361280838657708,-0.0015189602387761494,-0.0007677309268528397,-0.019936127810684403,0.0,-0.0002273107534459067,-0.00023164511570652378,-0.0005122805071785285,-4.1276512323976146e-05,-0.0040915935620263215,0.0,-0.00011377777579354829,-8.308154542284204e-05,-0.000251779097984735,-5.0435254185895796e-05,-0.0020479999642838693,0.0,-0.000102401310539389,-6.977378617909995e-05,-0.0002245708583816769,-3.080685582572154e-05,-0.0018432235897090016,0.0,-0.0001166948458857177,-8.599080041258328e-05,-0.0002307390939747932,-5.384233817422957e-05,-0.002100507225942918,0.0,-0.00011437796577517895,-8.207929500452901e-05,-0.000221627401577896,-4.8487893838509256e-05,-0.002058803383953221,0.0,-0.00010362781245169755,-7.417159416856509e-05,-0.00020983170987387285,-4.248817463651376e-05,-0.001865300624130556,0.0,-7.923516890697758e-05,-5.611132342626782e-05,-0.00016732741176461358,-3.0274616130264753e-05,-0.0014262330403255964,0.0,-0.00016249211519391165,-0.00015433905987921528,-0.0002996906535185526,-5.143879763064343e-05,-0.002924858073490409,0.0,-0.00010087328563582845,-9.92238260707438e-05,-0.0001871208250817465,-4.444381709601377e-05,-0.0018157191414449121,0.0
EGY.10_1,10.0,-3.2790585714748224e-05,-1.999373509804525e-05,-0.00018857777493847287,-1.4284108683117286e-05,-0.00885345814298202,0.0,-7.599203213848835e-05,-6.576701398378735e-05,-0.00023091747160167115,-2.1127260224760322e-05,-0.020517848677391856,0.0,-0.0006092105391240537,-0.0006406763436210482,-0.0008337509315616897,-0.00026597595226688584,-0.16448684556349452,0.0,-5.259437290177406e-05,-3.639667093758467e-05,-0.00038770708989993764,-3.1013152256984496e-05,-0.014200480683478997,0.0,-8.373808171851611e-05,-5.8720892374922316e-05,-0.0004622379934564754,-3.7683980196053506e-05,-0.02260928206399935,0.0,-7.671654572778652e-05,-5.8633529798155006e-05,-0.0004486546281256082,-3.923323568358448e-05,-0.02071346734650236,0.0,-7.925999962300364e-05,-5.939734152984879e-05,-0.0004802409714507803,-4.055165174926712e-05,-0.021400199898210983,0.0,-7.680463728724998e-05,-5.825345131728615e-05,-0.0004465632718145044,-3.986370576249903e-05,-0.02073725206755749,0.0,-7.026069140067718e-05,-5.151489277992289e-05,-0.00046640140138500967,-3.286665877365798e-05,-0.018970386678182842,0.0,-5.549151588321186e-05,-4.1706875255609855e-05,-0.00034014322778439627,-2.671930188932581e-05,-0.014982709288467204,0.0,-4.092016106352443e-05,-2.4334762587567537e-05,-0.0002754914915464274,-1.9495238299661256e-05,-0.011048443487151595,0.0,-3.087041669910774e-05,-2.258419047549197e-05,-0.00019707616872689462,-1.8052360940468312e-05,-0.008335012508759091,0.0
