GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
EGY.1_1,1.0,0.2272018350229256,0.25496689853220145,-0.039190781824956215,0.2901431397274704,6.588853215664844,3.333333333333333,-0.4920626017529792,-0.4416673763915161,-0.9796033626830548,-0.3379770998212556,-14.269815450836392,3.333333333333333,-0.7816666812736617,-0.7199567731626948,-1.4479791147380645,-0.5690265675054497,-22.668333756936192,3.333333333333333,-1.490155162554914,-1.3955358918023382,-2.2522059465052493,-1.1697073176547064,-43.21449971409251,3.333333333333333,-2.164610371718911,-2.039788314399229,-2.9488902408392517,-1.8968064659714912,-62.773700779848426,3.333333333333333,-1.8691544692046929,-1.7652795216517063,-2.5808675508011927,-1.620906754887289,-54.2054796069361,3.333333333333333,-1.8414853134576008,-1.7880653520909269,-2.5902925147311584,-1.5496283798130417,-53.40307409027044,3.333333333333333,-1.55651569759877,-1.4826269092692932,-2.330092839449374,-1.2552719583481582,-45.13895523036433,3.333333333333333,-2.0553077469212635,-1.9450504321022881,-2.881230940016877,-1.7340698033990938,-59.603924660716636,3.333333333333333,-1.9611927533199751,-1.829822316863792,-2.792517537220887,-1.6627359676056754,-56.87458984627928,3.333333333333333,-0.7011560991520225,-0.6549901850330849,-1.2555782448369812,-0.5407066643711773,-20.333526875408648,3.333333333333333,-0.36962083878590346,-0.3460340397969079,-0.74200532598664,-0.2855632330575976,-10.719004324791198,3.333333333333333
EGY.2_1,2.0,-2.563256632199668,-2.6128148416967414,-4.658315074373523,0.08183703174753854,-2268.482119496705,0.7847533632286996,-2.483086251685207,-2.4748093753638027,-4.648468136676452,-0.2550322862408398,-2197.5313327414083,0.7847533632286996,-1.6021318241202624,-1.6966804587057804,-3.3560911185687865,0.2576191762763016,-1417.8866643464326,0.7847533632286996,-2.2191973910493603,-2.2258950040355487,-4.6659836913829436,-0.2941494247908105,-1963.989691078684,0.7847533632286996,-2.148481980228146,-2.041190337835393,-5.046887774725897,-0.1286059710490598,-1901.406552501909,0.7847533632286996,-3.167222029683056,-3.106053645414589,-6.220472754386059,-0.9946178994983784,-2802.9914962695043,0.7847533632286996,-2.500825531691155,-2.326875858234211,-6.6189754432871375,-0.7383831100654896,-2213.2305955466722,0.7847533632286996,-1.913766545436151,-1.6768196855935011,-5.832041590784241,-0.03758514932349576,-1693.6833927109938,0.7847533632286996,-2.589898736905131,-2.5543257550551144,-6.0041298546241615,-0.2678362121636095,-2292.060382161041,0.7847533632286996,-1.8459572554178807,-1.79727637555832,-4.933078775588244,0.2542912939431116,-1633.6721710448246,0.7847533632286996,-2.3992861326245154,-2.3699618111213776,-4.969480484751786,-0.5643089711793715,-2123.3682273726963,0.7847533632286996,-1.6070056195957505,-1.6740620512757425,-3.7980144889295513,0.2337568768490384,-1422.1999733422394,0.7847533632286996
EGY.3_1,3.0,-0.2284722661244828,-0.20616191012570856,-0.7973689393809253,0.03230152810184788,-21.933337547950348,1.0309278350515465,-0.5795866600748537,-0.5662376932586808,-1.055312621568637,-0.3579493860447463,-55.64031936718595,1.0309278350515465,-0.9888497460815044,-0.9898437661100752,-1.472065424516896,-0.6681311978273906,-94.92957562382442,1.0309278350515465,-1.6378772019482746,-1.5767949409319173,-2.414706497524825,-1.0753184167416008,-157.2362113870344,1.0309278350515465,-2.7953342771450296,-2.7048777924946403,-4.046913329852631,-1.910083334583204,-268.35209060592285,1.0309278350515465,-2.3587352965056967,-2.2501041903832952,-3.5925115316985368,-1.5416660062393115,-226.43858846454688,1.0309278350515465,-2.7831145471221506,-2.6974742179427733,-4.1412677942821485,-1.813548379393272,-267.1789965237265,1.0309278350515465,-2.4885374449728914,-2.4072899557988885,-3.783016858214245,-1.5639116050649382,-238.89959471739758,1.0309278350515465,-2.8016149446433998,-2.686526083575881,-4.257685229821848,-1.8681586550825096,-268.95503468576635,1.0309278350515465,-2.431632020537869,-2.3285394735965483,-3.699565126754625,-1.5905045910306523,-233.43667397163543,1.0309278350515465,-1.0041073771157387,-0.9946278897665763,-1.6205619432959013,-0.6519464195490594,-96.39430820311092,1.0309278350515465,-0.5191763304478301,-0.5149965712906177,-0.7279738568738268,-0.3648959345835911,-49.84092772299168,1.0309278350515465
EGY.4_1,4.0,-0.8975365459519611,-0.8985872981493221,-1.5198919346036712,-0.3629775875444648,-45.774363843550006,0.0,-1.1168873140805091,-1.1161890883114487,-1.640396499086484,-0.6154446081469699,-56.961253018105964,0.0,-1.3111360134528358,-1.3183901357502916,-1.7548209056431503,-0.7621182863791947,-66.86793668609462,0.0,-2.3790012215236267,-2.392056008664309,-2.886332438291272,-1.809654654837068,-121.32906229770495,0.0,-3.6190548015001127,-3.658233664569313,-4.372136247480893,-2.786652013780845,-184.57179487650575,0.0,-3.363182843234827,-3.3716008064670686,-4.056901532978274,-2.632490063013582,-171.5223250049762,0.0,-3.647392424324869,-3.658386419983117,-4.594194337850757,-2.8356779974893143,-186.0170136405684,0.0,-3.3056590691609262,-3.301622469959486,-4.246012742159901,-2.5386837401646853,-168.58861252720718,0.0,-3.898326942380587,-3.91486917471586,-4.792093402102006,-3.059211850374973,-198.81467406141002,0.0,-3.4277620020468045,-3.4597385549095323,-4.228614532414971,-2.6415273364682785,-174.815862104387,0.0,-1.5659291599105842,-1.5756520502237898,-2.202105998014144,-0.9915876302492652,-79.86238715543979,0.0,-1.1156269599761035,-1.117165617823524,-1.5855093169643375,-0.7335780795083712,-56.89697495878129,0.0
EGY.5_1,5.0,0.1180702814213944,0.11076182905532928,0.030912811134848527,0.22769958911225816,2.1252650655851,0.0,-0.3960354970284515,-0.3987529833793596,-0.4436062545448525,-0.35509164343755484,-7.128638946512128,0.0,-0.6735000000064829,-0.6645651978314466,-0.7825349170935264,-0.5777613209558324,-12.123000000116697,0.0,-1.2331643542892299,-1.230558666612363,-1.295430554384919,-1.1772941355153679,-22.19695837720614,0.0,-1.9988156594830802,-1.9992986743584893,-2.0958704429370685,-1.9183641002426253,-35.97868187069544,0.0,-1.6949387317862905,-1.6882158027535747,-1.7794867998443968,-1.6283871046952223,-30.508897172153226,0.0,-1.7248613742062,-1.7386396189367541,-1.858200387029154,-1.5922851957073816,-31.047504735711602,0.0,-1.4454768592438416,-1.4568207187253988,-1.5800853712085667,-1.3077403797303493,-26.01858346638915,0.0,-1.8910167652467629,-1.8979052682477824,-1.9959488363492908,-1.7840700256214588,-34.03830177444173,0.0,-1.7557843440612804,-1.752821488052786,-1.8570693873687247,-1.6817820662796108,-31.60411819310305,0.0,-0.6383383920345762,-0.6438881663956176,-0.698848397443201,-0.5614871126800534,-11.490091056622374,0.0,-0.38238398507492577,-0.37594403687161065,-0.4442007480613264,-0.32649546039763633,-6.882911731348663,0.0
EGY.6_1,6.0,-0.4410333715970294,-0.4063528955733836,-0.7997513074572202,-0.19650483070456654,-9.702734175134648,8.333333333333332,-0.6077923335817565,-0.5863664141840756,-0.887290309489196,-0.4038470437670533,-13.371431338798645,8.333333333333332,-1.2230523508043607,-1.2085761665123558,-1.5774509099206582,-0.8920892572378646,-26.90715171769593,8.333333333333332,-1.6495436912168768,-1.6555453068055532,-1.9406099836504545,-1.247584197016857,-36.28996120677129,8.333333333333332,-2.902618993988917,-2.8839901826283683,-3.63815728310548,-2.2675796569765714,-63.857617867756176,8.333333333333332,-2.3649735451456766,-2.2853674257311334,-3.057276418719049,-1.841081684396544,-52.0294179932049,8.333333333333332,-3.1194300947664537,-3.0766720336318785,-3.8911620150530464,-2.408801199996821,-68.62746208486199,8.333333333333332,-2.8309168481698026,-2.8078478747467672,-3.4675768448119384,-2.150349094943492,-62.28017065973565,8.333333333333332,-2.973422693248789,-2.94467389893818,-3.6288131250566926,-2.277603905416666,-65.41529925147336,8.333333333333332,-2.324563329653065,-2.313634179992929,-2.9890840827849563,-1.7899325571245135,-51.14039325236743,8.333333333333332,-1.2447056135135897,-1.2103629514678318,-1.665441370901735,-0.8497475052369547,-27.38352349729897,8.333333333333332,-0.5165413393741344,-0.5178280699996121,-0.7461400614750592,-0.37207839314019214,-11.363909466230956,8.333333333333332
EGY.7_1,7.0,0.6813679606050183,0.6309953176838559,0.33467625300903125,1.2420976595143765,32.02429414843586,0.0,-0.05039283208726129,-0.04707231281731069,-0.37179143084216537,0.3346818159641489,-2.3684631081012806,0.0,-0.0521779345359061,-0.11520791424580973,-0.4044410825377437,0.3577825418317891,-2.4523629231875868,0.0,-1.4372504394024541,-1.4094521303812428,-1.7090967585960908,-1.1180284244297891,-67.55077065191533,0.0,-2.6077884956822395,-2.5919196911742017,-3.0057705021758467,-2.093469958325948,-122.56605929706524,0.0,-2.2838107806778374,-2.235693798105149,-2.7655193338933777,-1.8020081538403927,-107.33910669185836,0.0,-2.4455101492989386,-2.3624568207643493,-3.107425603593561,-1.9486385305727405,-114.93897701705014,0.0,-2.0072730711742324,-1.9133423192859584,-2.6251700303539773,-1.588003096901236,-94.34183434518893,0.0,-2.733109486661736,-2.691969591128593,-3.3414596781575825,-2.132902504513512,-128.45614587310158,0.0,-2.2868624202383336,-2.237182253633837,-2.7136276894104703,-1.8025403957943764,-107.48253375120169,0.0,-0.3703104465438486,-0.3379941986853576,-0.7218189173068659,0.03596136772607557,-17.404590987560884,0.0,0.4350680375241972,0.4065155033955371,0.16061255620702514,0.933898537571519,20.448197763637268,0.0
EGY.8_1,8.0,-1.2242277926752063,-1.4274835471749243,-1.8103021166006368,0.3415872128543005,-377.0621601439637,0.0,-1.3094531700111187,-1.4241297427128392,-1.793823370932422,-0.2605420972933248,-403.3115763634246,0.0,-1.1164418683189767,-1.1139747338573909,-1.903849382161172,-0.013253434055562952,-343.8640954422448,0.0,-2.1319109235823697,-2.06918151675442,-2.9454914407903043,-1.2636682007858997,-656.6285644633699,0.0,-3.7271261421346136,-3.6421623099787386,-4.601407753832554,-2.4613345068716623,-1147.954851777461,0.0,-3.4214997536771725,-3.402469328965089,-4.173095502162458,-2.2973620786215108,-1053.8219241325692,0.0,-3.900429508575937,-3.822425448305437,-4.85144291273092,-2.5374828164219387,-1201.3322886413887,0.0,-3.6532751394533314,-3.6348815162077215,-4.541600255297372,-2.246410881559358,-1125.208742951626,0.0,-4.075122628671231,-4.019678560772147,-4.965253739826274,-2.615511010110537,-1255.137769630739,0.0,-3.5955129903349716,-3.658748710533867,-4.409815742565391,-2.2320967917997443,-1107.4180010231714,0.0,-1.8369449677063283,-1.9600156056599631,-2.404206328742585,-0.6998416868794319,-565.7790500535491,0.0,-1.135359217534969,-1.23754242844856,-1.7123847886004853,-0.03638319216764775,-349.69063900077043,0.0
EGY.9_1,9.0,-0.03751313026583356,-0.0195111811456206,-0.19561952195404725,0.1356949819734485,-0.6752363447850042,0.0,-0.4288316245712761,-0.4133425916574842,-0.5993265536961192,-0.2902414334698468,-7.718969242282967,0.0,-0.6518980683310814,-0.6278065232229033,-0.8796923842360526,-0.5093185466676705,-11.734165229959464,0.0,-1.4608151433878036,-1.4022188885360654,-1.8636946034172548,-1.2000021290227068,-26.294672580980464,0.0,-2.4072166525138594,-2.2958348034021028,-3.1435985004715,-1.9841864616354867,-43.32989974524947,0.0,-2.109625221077328,-2.0080412820599074,-2.761870177717189,-1.7162392963300714,-37.9732539793919,0.0,-2.3075651899028653,-2.187364925707886,-3.1775549094045985,-1.782161333866597,-41.53617341825157,0.0,-2.025909513712009,-1.9206717763567136,-2.8520304612815552,-1.4848536855694778,-36.46637124681616,0.0,-2.391661043043216,-2.2665781197603447,-3.2223517012471925,-1.8931356750153927,-43.04989877477788,0.0,-2.1253979745776124,-2.0086437756678883,-2.8111747540013496,-1.7104580625887809,-38.25716354239702,0.0,-0.7741913272984356,-0.7204525851018952,-1.0640025437853822,-0.5652997885690958,-13.93544389137184,0.0,-0.3558302600339609,-0.3464540903940061,-0.4882456129808112,-0.25941696658177943,-6.404944680611298,0.0
EGY.10_1,10.0,-1.6944398150750564,-1.7526589029040247,-2.212170678943912,-0.8832786118737832,-457.4987500702652,0.0,-1.8419959485266704,-1.8180156333837056,-2.6525648772265584,-1.117281380519916,-497.33890610220107,0.0,-1.269521481842302,-1.2761367049442065,-1.763335666449206,-0.5101325578968794,-342.7708000974216,0.0,-2.7143009160749005,-2.7470670939482336,-3.138342398040561,-2.0118617400226118,-732.8612473402229,0.0,-3.816280302942128,-3.8068925104598943,-4.696487259388543,-2.7854266539126367,-1030.3956817943745,0.0,-3.995341419947536,-4.0099768555651965,-4.548600579846173,-3.32695802780944,-1078.7421833858348,0.0,-4.218414658612796,-4.218971643779482,-4.9246527964857165,-3.2967027333210868,-1138.9719578254553,0.0,-3.866404766145485,-3.876881324027228,-4.39637278727451,-3.032180640896052,-1043.929286859281,0.0,-4.322702178730219,-4.394285985526651,-5.150889844373302,-3.1782050948081464,-1167.129588257159,0.0,-3.7929929876524784,-3.878787716914463,-4.7249233544202385,-2.260186336228845,-1024.108106666169,0.0,-2.268875517211417,-2.301464132517184,-2.6721607842662167,-1.6068373724245546,-612.5963896470826,0.0,-1.2789052356852948,-1.2653999674513052,-1.7847539518034663,-0.6109164892026502,-345.3044136350296,0.0
EGY.11_1,11.0,0.2059117160547722,0.20119662453854045,-0.017644481398989526,0.4177835706271582,4.735969469259762,0.0,-0.3923384349601948,-0.4356810941488955,-0.6601586625031945,-0.1193542750301723,-9.023784004084481,0.0,-0.31489366747731706,-0.3030789620439235,-0.4878391808907127,-0.12696323938349266,-7.242554351978293,0.0,-1.6972882484292902,-1.7350578896444129,-1.8546519782060609,-1.4504280869018888,-39.03762971387367,0.0,-2.93227384895755,-2.9765292135694934,-3.1475057517968845,-2.5732460081713344,-67.44229852602365,0.0,-2.6629738618723384,-2.7004704852316004,-2.869127525202156,-2.3048912732436957,-61.24839882306378,0.0,-3.100918670383052,-3.153310601084169,-3.3737767973935138,-2.576139513568795,-71.3211294188102,0.0,-2.7468904183019083,-2.7946132246190487,-3.013167787240301,-2.265930946022017,-63.17847962094388,0.0,-3.2260176766680595,-3.2827873292219003,-3.461710696238764,-2.7775096771877523,-74.19840656336537,0.0,-2.6485933164988764,-2.6746942638070803,-2.820987756838253,-2.383967956195979,-60.917646279474155,0.0,-0.8190287356609676,-0.8287497464611929,-0.9313266438829207,-0.6411465324761441,-18.837660920202254,0.0,-0.11480137947614286,-0.15366167095172306,-0.3405989953084139,0.15074388292091026,-2.6404317279512854,0.0
EGY.12_1,12.0,0.2224140316118356,0.18639102098268706,0.03810250126749208,0.5395199938243184,2.6689683793420267,0.0,-0.1609221158197473,-0.17754775386086924,-0.29232318510276484,0.047678355478500536,-1.931065389836968,0.0,-0.34182149681308593,-0.3848344949270801,-0.4882856312981158,-0.017178468085760318,-4.101857961757031,0.0,-1.2846794820316056,-1.2808034350059658,-1.4434479194047498,-1.191342747795899,-15.416153784379267,0.0,-2.2410830619418736,-2.2467686698921776,-2.4559865894980355,-1.9780035932166435,-26.892996743302483,0.0,-1.9737632054317242,-1.976675989486854,-2.1887677414502504,-1.7086692336410343,-23.685158465180677,0.0,-2.1455208264276773,-2.1337191215599014,-2.524721891985834,-1.7716594257196292,-25.74624991713213,0.0,-1.8537321960815558,-1.8523956893312967,-2.1882572987428026,-1.4634523881650492,-22.24478635297867,0.0,-2.3036705055385256,-2.2888126830226607,-2.740747645965321,-1.8834336478356144,-27.644046066462305,0.0,-2.012013453743214,-2.0036192638009984,-2.3188445348779188,-1.6975358321592111,-24.14416144491857,0.0,-0.5534832993454327,-0.5386374956254368,-0.7015508399579008,-0.4731396158101326,-6.641799592145192,0.0,-0.057096073772745226,-0.1076786292491972,-0.2322158473161071,0.2914451442375447,-0.6851528852729427,0.0
EGY.13_1,13.0,-1.6956333899874376,-1.6487385344063457,-1.9066118701416683,-1.4567485515687764,-8.478166949937187,0.0,-1.7244344387035828,-1.676484038319321,-1.9489421060056955,-1.467217865905469,-8.622172193517914,0.0,-1.1558306418888005,-1.1054157662849868,-1.31399180528012,-1.0013783657107145,-5.779153209444004,0.0,-1.7201921630241053,-1.6977808096677274,-1.8813538439405733,-1.526836991517745,-8.600960815120526,0.0,-1.595697202394028,-1.5919278775694117,-1.7181489764842324,-1.4362427842696583,-7.978486011970142,0.0,-2.391976490793682,-2.380153754491073,-2.5610250056367234,-2.178470810458416,-11.95988245396841,0.0,-2.2587380512563104,-2.2792549704069005,-2.4211782855256825,-2.0022434859228717,-11.293690256281552,0.0,-2.08066068625692,-2.09452317938184,-2.218457989433744,-1.8730019075696007,-10.403303431284598,0.0,-1.83962301598648,-1.8083750719741043,-2.0625415801413163,-1.551655269783301,-9.198115079932398,0.0,-1.4393235701870122,-1.3998107223081224,-1.6336079070051637,-1.1983985172040277,-7.196617850935061,0.0,-1.5441370841989577,-1.502796141667636,-1.7514294711393663,-1.3004528741567667,-7.720685420994787,0.0,-0.7105116525275346,-0.6264379269611202,-0.90885026962996,-0.5407442763062993,-3.5525582626376737,0.0
