GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
MOZ.1_1,1.0,0.0009055797283822793,0.0008014276572153963,4.637533665370218e-05,0.003437825119379257,0.5705152288808361,0.3164556962025317,0.0012392011286113738,0.0008386932704946725,3.175796647314835e-05,0.00735917067845762,0.7806967110251655,0.3164556962025317,0.0006754508195281459,3.659765170193885e-05,5.982183966248702e-06,0.0049653492553410105,0.4255340163027319,0.3164556962025317,0.00033338709953187063,2.044056911705046e-05,1.990480481398049e-06,0.00221695455653448,0.2100338727050785,0.3164556962025317,0.00015806266805333156,1.1569440968514854e-05,0.0,0.0009756832033950037,0.09957948087359887,0.3164556962025317,8.077839273302147e-05,7.438515337805146e-06,0.0,0.0005732082179299451,0.050890387421803525,0.3164556962025317,4.828641186502294e-05,5.579398238503568e-06,0.0,0.00034754758844667,0.03042043947496445,0.3164556962025317,3.0480980677852174e-05,4.118715792369753e-06,0.0,0.0002159769125632181,0.019203017827046868,0.3164556962025317,1.976122590543765e-05,2.9132788185134626e-06,0.0,0.0001390249875145448,0.01244957232042572,0.3164556962025317,1.542695428683086e-05,5.9714414442080255e-06,0.0,9.236815860537232e-05,0.009718981200703442,0.3164556962025317,1.0174093549187486e-05,2.126440700648069e-06,0.0,6.74374115601106e-05,0.006409678935988114,0.3164556962025317,5.216909405653248e-05,2.5199016805728132e-05,1.990480481398049e-06,0.0004608241837302374,0.032866529255615465,0.3164556962025317
MOZ.2_1,2.0,4.768305280926021e-05,1.2003794568669608e-05,4.790854671223832e-07,0.0005169743960039145,0.029229711372076507,0.0,0.00046804027629004236,0.00016433508017401802,3.9809609627960985e-06,0.003268202291565935,0.28690868936579605,0.0,1.8168013994167423e-06,1.990480481398049e-06,0.0,8.043325003266408e-06,0.0011136992578424632,0.0,6.140484051507685e-06,3.9809609627960985e-06,6.529446429746282e-07,0.00024197005159624698,0.003764116723574211,0.0,2.5453224839407604e-07,0.0,0.0,7.887925250847031e-06,0.0001560282682655686,0.0,1.1457303010214969e-06,0.0,0.0,4.018968216854978e-05,0.0007023326745261777,0.0,1.3167935725139424e-07,0.0,0.0,3.9809609627960985e-06,8.071944599510467e-05,0.0,6.862955650577407e-07,0.0,0.0,3.9809609627960985e-06,0.00042069918138039504,0.0,1.0279968963096294e-06,4.20678918779974e-07,0.0,7.3025708645686526e-06,0.0006301620974378027,0.0,3.665714675241938e-06,3.9809609627960985e-06,8.498331080633364e-07,1.3946128443136621e-05,0.002247083095923308,0.0,2.3842365495573114e-05,7.3441540804142595e-06,8.498331080633364e-07,0.0005379389988868191,0.01461537004878632,0.0,0.0004737303566587405,0.0003253979573435932,5.321023402075079e-05,0.002117155841037082,0.29039670863180794,0.0
MOZ.3_1,3.0,4.862867072536092e-05,1.1795650162968695e-05,1.6856362069871172e-06,0.0004933648725044361,0.027037540923300667,1.2433392539964476,8.900992535555109e-06,5.6284293592318436e-06,1.990480481398049e-06,8.351827497670498e-05,0.00494895184976864,1.2433392539964476,1.7938217088649757e-06,1.26591820245943e-06,0.0,3.773192839850584e-05,0.0009973648701289263,1.2433392539964476,3.1232944855952906e-05,1.990480481398049e-06,0.0,0.000997076387736393,0.017365517339909816,1.2433392539964476,3.507535245980165e-07,0.0,0.0,5.9714414442080255e-06,0.0001950189596764972,1.2433392539964476,9.415135162135972e-07,0.0,0.0,1.1942882888402173e-05,0.0005234815150147599,1.2433392539964476,2.752444930592665e-07,0.0,0.0,5.9714414442080255e-06,0.0001530359381409522,1.2433392539964476,3.022929984464905e-07,0.0,0.0,5.9714414442080255e-06,0.00016807490713624876,1.2433392539964476,6.465771438616094e-07,0.0,0.0,5.9714414442080255e-06,0.00035949689198705486,1.2433392539964476,2.4483206828666542e-06,1.990480481398049e-06,0.0,7.961921925606076e-06,0.0013612662996738598,1.2433392539964476,2.595926968505675e-05,4.116692843978291e-06,0.0,0.0006328497535582859,0.014433353944891553,1.2433392539964476,0.0006380853136285999,0.00033823170755662303,7.961921925606075e-06,0.004591874878818278,0.35477543437750153,1.2433392539964476
MOZ.4_1,4.0,0.0005845736587589322,0.0004010827060104604,1.628477601202379e-05,0.0033134655238271672,0.2987171396258144,0.0,0.0013882655271540585,0.0005910844859731166,5.988183436642898e-06,0.011061316014404259,0.7094036843757239,0.0,5.586030394030235e-05,3.9157029543996665e-06,0.0,0.001380793268022135,0.028544615313494507,0.0,3.764466187962133e-05,5.2090457655264135e-06,0.0,0.0005789805539741677,0.0192364222204865,0.0,1.7664045560478952e-05,0.0,0.0,0.00029442232168350505,0.009026327281404744,0.0,1.3999577826811178e-05,1.990480481398049e-06,0.0,0.00019544124802822456,0.007153784269500513,0.0,9.860908567652014e-06,1.3345787792566822e-06,0.0,0.0001282060109604214,0.005038924278070179,0.0,9.63719018761699e-06,1.990480481398049e-06,0.0,0.00018995964900959424,0.004924604185872282,0.0,8.790601637065261e-06,1.990480481398049e-06,0.0,0.00015213127675226646,0.0044919974365403475,0.0,1.1100048918179044e-05,5.027309391871791e-06,0.0,0.00016412511762695537,0.00567212499718949,0.0,2.9277500202151323e-05,9.952402407004124e-06,0.0,0.0005157907021671764,0.014960802603299324,0.0,0.0012131291346470492,0.0008846702330290432,1.4797764457811727e-05,0.004997647607689303,0.6199089878046422,0.0
MOZ.5_1,5.0,5.254099495318391e-05,4.864301361413964e-05,4.292562960531905e-05,6.330438640085179e-05,0.00026270497476591956,0.0,0.0009614272064410528,0.0009570368138610764,0.0006854327281307673,0.001328831814758351,0.0048071360322052645,0.0,4.673150314193384e-06,4.276925005878722e-06,3.9809609627960985e-06,6.240610563560181e-06,2.336575157096692e-05,0.0,2.809536060976641e-05,2.583540470553669e-05,1.9342288780009548e-05,3.957182382303012e-05,0.00014047680304883202,0.0,5.756745221279425e-07,2.9596404308055893e-07,0.0,1.990480481398049e-06,2.8783726106397117e-06,0.0,9.958658071054428e-06,1.0228391246188084e-05,6.13514328331867e-06,1.4387574060352136e-05,4.9793290355272136e-05,0.0,2.0311527583497057e-06,2.0282836003382744e-06,9.042173800519648e-08,3.8071103748469886e-06,1.015576379174853e-05,0.0,1.990480481398049e-06,1.990480481398049e-06,1.990480481398049e-06,1.990480481398049e-06,9.952402406990246e-06,0.0,2.4508582878842517e-06,2.22675250461815e-06,1.990480481398049e-06,3.8071103748469886e-06,1.2254291439421256e-05,0.0,1.0430465265906253e-05,1.0424946453445973e-05,8.052343663611271e-06,1.3585662193912793e-05,5.215232632953126e-05,0.0,4.016850178709843e-06,3.9809609627960985e-06,3.9809609627960985e-06,4.160407042364827e-06,2.0084250893549225e-05,0.0,0.00022161585917320576,0.00022660351138652885,0.00015338908633461142,0.0002881198790946404,0.0011080792958660286,0.0
MOZ.6_1,6.0,8.790965633203657e-05,6.243586573269099e-05,7.801451343029796e-06,0.0005461186801313961,0.015999557452430656,1.0869565217391304,0.0006217982378234431,0.0005826020216835112,3.228291288223078e-05,0.0015249612961401734,0.11316727928386665,1.0869565217391304,5.0154942731121204e-06,3.9809609627960985e-06,1.990480481398049e-06,0.0001104251435608954,0.0009128199577064061,1.0869565217391304,2.671550294808134e-05,1.5339867267843126e-05,1.990480481398049e-06,0.0001600158528256693,0.004862221536550804,1.0869565217391304,1.3772214608990707e-06,0.0,0.0,0.00010791171772296624,0.0002506543058836309,1.0869565217391304,1.04188499419265e-05,5.698946176784128e-06,0.0,0.00017380652599728954,0.0018962306894306227,1.0869565217391304,2.093596915762207e-06,1.1917425767950872e-06,0.0,0.00012723219842128978,0.0003810346386687217,1.0869565217391304,2.2371051313987016e-06,1.990480481398049e-06,0.0,0.00010805709578640624,0.0004071531339145637,1.0869565217391304,2.5118793913395128e-06,1.990480481398049e-06,0.0,8.582555956710309e-05,0.0004571620492237912,1.0869565217391304,8.423330289091098e-06,7.961921925606075e-06,1.990480481398049e-06,8.62989831808832e-05,0.0015330461126145801,1.0869565217391304,7.0413357377943545e-06,4.226319638335404e-06,1.990480481398049e-06,7.315936790492878e-05,0.0012815231042785724,1.0869565217391304,0.00033905002038712816,0.0003046654734653047,3.749791883418917e-05,0.0011857398978635785,0.061707103710457324,1.0869565217391304
MOZ.7_1,7.0,0.0013602940304028438,0.0012382649057046547,5.942861270126805e-05,0.004109379976441907,0.8583455331841945,1.7133956386292832,0.0005923288122418689,0.0003725904440224208,3.5727979626352536e-05,0.004574652643676516,0.3737594805246193,1.7133956386292832,0.00037342017790745023,2.5792470797705467e-05,6.037755757533535e-06,0.004231481992487263,0.2356281322596011,1.7133956386292832,0.00017316209335868456,1.407218653204255e-05,1.4056220749663818e-08,0.0014671836112398345,0.10926528090932996,1.7133956386292832,8.658339824471934e-05,9.985292494113167e-06,0.0,0.0006370125628111817,0.054634124292417895,1.7133956386292832,5.089447495038151e-05,8.334808138545027e-06,0.0,0.00034316358784203705,0.03211441369369073,1.7133956386292832,3.48678879688724e-05,7.591943242703415e-06,0.0,0.0002214105322563207,0.022001637308358482,1.7133956386292832,2.397068595347467e-05,5.789181301176633e-06,0.0,0.00016168769325029093,0.015125502836642518,1.7133956386292832,1.6730276147767194e-05,4.4698110963198375e-06,0.0,0.0001375928963583884,0.0105568042492411,1.7133956386292832,1.3554895596873306e-05,5.339630242855114e-06,7.956024509535048e-07,0.000117859666187071,0.008553139121627053,1.7133956386292832,9.03591434444794e-06,3.3733710824813566e-06,0.0,0.00010311159591814238,0.00570166195134665,1.7133956386292832,5.8188073716637476e-05,3.9449017863534146e-05,4.923596944993713e-06,0.0004723288412077797,0.03671667451519825,1.7133956386292832
MOZ.8_1,8.0,0.002048944277606097,0.0019294380407362016,0.0,0.009221318479652735,2.1493425472087955,0.0,0.0022736970437574077,0.0017334994952857056,0.0,0.010191082432272321,2.3851081989015213,0.0,0.0012621257140877796,0.0007285349145914017,0.0,0.006529583456646828,1.3239698740780803,0.0,0.0004389843767681888,0.0003856837362463085,0.0,0.0021452208889045747,0.46049461122983,0.0,0.00020145976720735702,0.00019173114768184047,0.0,0.0008343486961342009,0.21133129580051754,0.0,0.00010866092041828744,0.00010640049456334618,0.0,0.00041964514902689836,0.11398530551878355,0.0,6.797250868943112e-05,6.467760312498776e-05,0.0,0.0002713049149990329,0.07130316161521325,0.0,4.443438973374002e-05,4.178227629038283e-05,0.0,0.00018941846046571166,0.046611674830693284,0.0,2.8995474305798402e-05,2.511453413876249e-05,0.0,0.00013906445004822085,0.03041625254678252,0.0,2.5241094151018312e-05,2.032751318497055e-05,0.0,0.00024614496822732997,0.026477907764418208,0.0,1.5517312872443977e-05,1.1407244395999775e-05,0.0,0.0002398826196861208,0.016277661203193728,0.0,0.00018173842447102552,6.993021053764597e-05,0.0,0.003495943832266825,0.19064360727010576,0.0
MOZ.9_1,9.0,0.00038941174914226254,0.0003516401991385205,1.1902592293343668e-05,0.0018610992501110887,0.2130082267808176,0.3642987249544625,0.0002707131190260262,0.00012496355338409662,4.880355827131542e-06,0.0030058458678219363,0.14808007610723636,0.3642987249544625,3.383415589905182e-05,6.029710074162735e-06,0.0,0.0007725149508433621,0.018507283276781347,0.3642987249544625,2.383626412039009e-05,5.518084137400482e-06,0.0,0.0005003846358225797,0.013038436473853377,0.3642987249544625,1.4412764354726904e-05,1.7618894633103756e-06,0.0,0.0003101320339185649,0.007883782102035617,0.3642987249544625,1.270523926922608e-05,2.6481076805509344e-06,0.0,0.00020851715536402264,0.006949765880266665,0.3642987249544625,9.676369773881067e-06,1.990480481398049e-06,0.0,0.00015045864047662626,0.005292974266312943,0.3642987249544625,7.751877092978412e-06,1.990480481398049e-06,0.0,0.00011095165084712544,0.004240276769859192,0.3642987249544625,5.8305358657853566e-06,1.990480481398049e-06,0.0,8.094904525807355e-05,0.003189303118584589,0.3642987249544625,5.9843642237678415e-06,3.7508606352800973e-06,0.0,6.0178301906750195e-05,0.003273447230401009,0.3642987249544625,6.1114723151533675e-06,3.9809609627960985e-06,0.0,6.5468661983217e-05,0.003342975356388892,0.3642987249544625,0.001038394495259096,0.0006036495882608895,2.90026801386263e-05,0.0060821743646616785,0.5680017889067256,0.3642987249544625
MOZ.10_1,10.0,0.0018081382623557887,0.0010631088172816292,0.00012533246242314516,0.015600076324048669,1.486289651656458,0.0,0.002057824677762287,0.0016004351079813993,2.381487808070857e-05,0.008215516040437968,1.6915318851205998,0.0,0.00038188547760236656,3.4693375158332203e-05,0.0,0.002776196245186582,0.3139098625891453,0.0,0.0001580216199219765,2.395826465085777e-05,0.0,0.0010575776031330698,0.12989377157586468,0.0,7.658913598403647e-05,1.4665520869030485e-05,0.0,0.0005389641649601732,0.06295626977887799,0.0,4.5206254213678415e-05,1.1146625649053452e-05,0.0,0.0003016377412451933,0.03715954096364366,0.0,3.096224589040034e-05,9.715407971424856e-06,0.0,0.00018885061911500602,0.025450966121909082,0.0,2.0480779237885515e-05,6.900451514701185e-06,0.0,0.0001245117544319324,0.01683520053354189,0.0,1.3224872687452773e-05,4.627124442072549e-06,0.0,0.00010179992496375555,0.010870845349086179,0.0,1.1584890897282032e-05,5.607619649436861e-06,0.0,8.450004372123634e-05,0.009522780317565831,0.0,8.321172703107595e-06,4.107704226626717e-06,0.0,0.0001063746303235632,0.006840003961954443,0.0,0.0009173633267559917,0.0007080262069237433,2.7157949167730857e-05,0.005167668459460679,0.7540726545934251,0.0
