GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
NAM.1_1,1.0,0.00027448135298685034,0.00013065768378597582,5.809529284306336e-07,0.0010262504387069755,0.3658836435314715,0.37369207772795215,0.0008321416851429787,0.0007112778539961704,2.6879264616831938e-06,0.003568905721844134,1.1092448662955907,0.37369207772795215,0.00025030110336870387,0.0002245952704646483,5.809529284306336e-07,0.0010283160322008009,0.3336513707904823,0.37369207772795215,0.00027741333365136983,0.00023657120676492003,1.631292935128802e-05,0.0011870286810973655,0.3697919737572759,0.37369207772795215,9.598665051326503e-06,1.1561128799547572e-06,5.809529284306336e-07,0.00011954809313752258,0.012795020513418229,0.37369207772795215,7.275880445593734e-05,1.675265357929717e-05,5.809529284306336e-07,0.00046902735308051855,0.09698748633976448,0.37369207772795215,0.00017544297905373508,0.00011135695788826836,5.809529284306336e-07,0.000798769073010359,0.2338654910786289,0.37369207772795215,2.2160540609379275e-05,3.7683841474619247e-06,5.809529284306336e-07,0.00022157703141534898,0.029540000632302575,0.37369207772795215,3.0453148145156513e-05,2.2267058125250536e-05,5.809529284306336e-07,0.00014826883136336548,0.04059404647749363,0.37369207772795215,2.8676256795265405e-05,2.07805629337381e-05,5.809529284306336e-07,0.00019338976637076064,0.03822545030808879,0.37369207772795215,0.00011914971663139236,6.881714463989566e-05,1.6012089505757568e-06,0.0007176034963248103,0.158826572269646,0.37369207772795215,0.0007928803431110242,0.00034529210492715266,8.885878576610426e-07,0.004335551326783922,1.0569094973669952,0.37369207772795215
NAM.2_1,2.0,0.00039420991550027966,4.356003141027066e-05,2.0020856160922747e-06,0.0029665036490251874,0.2049891560601454,1.5151515151515151,0.0018280819056473766,0.0009924790876326293,4.4556621277576035e-05,0.00702020822924001,0.9506025909366356,1.5151515151515151,0.0009685779063736033,0.0007844655485499339,2.76570821446377e-05,0.00323984672128596,0.5036605113142737,1.5151515151515151,0.00012055906700769748,5.160125012717869e-05,2.632110518235864e-06,0.0008325812572050805,0.06269071484400268,1.5151515151515151,1.473243952060788e-06,5.809529284306336e-07,5.809529284306336e-07,6.734425697860202e-06,0.0007660868550716098,1.5151515151515151,1.9395190873208198e-06,5.809529284306336e-07,5.809529284306335e-07,9.048480671612883e-06,0.0010085499254068263,1.5151515151515151,1.5950269510296565e-05,1.0260889150231353e-05,5.809529284306336e-07,0.00011951676633022732,0.008294140145354213,1.5151515151515151,2.7376031997731684e-06,5.809529284306336e-07,5.809529284306336e-07,3.0487612329348106e-05,0.0014235536638820474,1.5151515151515151,2.6617365788271383e-05,1.8581686330342213e-05,1.5741572391632411e-06,9.577233001147758e-05,0.01384103020990112,1.5151515151515151,1.9849942087600367e-05,1.2188008578495474e-05,5.809529284306336e-07,0.00015036308106511714,0.010321969885552193,1.5151515151515151,7.132235132746585e-05,1.6914108243752633e-05,5.809529284306336e-07,0.0006480750643575253,0.037087622690282235,1.5151515151515151,0.0006701815621576681,0.00044181406950763566,3.299303180116453e-05,0.0035936642127752548,0.3484944123219874,1.5151515151515151
NAM.3_1,3.0,0.0004027468905662471,0.00037403071305669363,5.809529284306336e-07,0.0012040113758543974,0.3624722015096224,0.5524861878453038,0.0025838913589330274,0.0028390081232113513,6.589161912449504e-06,0.005523409543193154,2.3255022230397246,0.5524861878453038,0.0008391065572574237,0.0008330900767716287,2.632110518235864e-06,0.002317402099416574,0.7551959015316814,0.5524861878453038,0.00024757101426242217,0.000244879952845371,1.2062853311410656e-05,0.0006728964364495352,0.22281391283618,0.5524861878453038,1.9649214330324542e-06,5.809529284306336e-07,5.809529284306336e-07,3.0635409490607486e-05,0.0017684292897292087,0.5524861878453038,2.419508174912817e-06,5.809529284306336e-07,5.809529284306336e-07,6.0663535768551796e-05,0.002177557357421536,0.5524861878453038,3.760343793074928e-05,1.2335005966438428e-06,5.809529284306336e-07,0.00037360952313938935,0.033843094137674355,0.5524861878453038,8.659021178779981e-07,5.809529284306336e-07,5.809529284306336e-07,1.3602653751506565e-05,0.0007793119060901983,0.5524861878453038,3.7693253771853025e-05,3.370792744334915e-05,5.809529284306336e-07,0.00015508125020980733,0.03392392839466773,0.5524861878453038,3.024320925574007e-05,2.1623607854520034e-05,2.632110518235864e-06,0.0001287001697022997,0.027218888330166058,0.5524861878453038,5.557434337958954e-05,3.0667232811437564e-05,5.809529284306336e-07,0.00035416101155745494,0.05001690904163058,0.5524861878453038,0.0016869076484846365,0.0016637745059149215,8.031624928091314e-06,0.004400095212487507,1.518216883636173,0.5524861878453038
NAM.4_1,4.0,0.006146131159791658,0.0061960342784134394,0.003981845581502767,0.007677968499578495,2.44616020159708,0.0,0.008977481810687152,0.008903810166321417,0.006700331679709882,0.0122373691280153,3.573037760653486,0.0,0.004984049772019412,0.004865780416934417,0.003887843739415887,0.006255681828534704,1.9836518092637256,0.0,0.0007051007049123108,0.0007138536260389742,0.000426622056913958,0.0010328818565963794,0.28063008055509964,0.0,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,0.00023121926551539213,0.0,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,0.00023121926551539213,0.0,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,0.00023121926551539213,0.0,1.0091588470649428e-06,5.809529284306336e-07,5.809529284306336e-07,1.279434768494033e-05,0.0004016452211318471,0.0,2.7081455305114607e-06,2.237102099275343e-06,5.809529284306336e-07,2.2542099490948678e-05,0.0010778419211435618,0.0,3.140211943871743e-05,2.6284192741201378e-05,2.6797123966430814e-06,0.00011008926835393003,0.012498043536609537,0.0,0.003788209010319582,0.003684602577966274,0.0025945148659149504,0.005548453766896583,1.5077071861071936,0.0,0.0037681072051777226,0.003564438941369087,0.002872355323941355,0.006513456869840721,1.4997066676607336,0.0
NAM.5_1,5.0,0.0007522226544397892,0.0006649113726814647,5.766817666806671e-06,0.0018379040729932074,0.2309323549130153,0.0,0.005566358821016233,0.005263221895168793,0.0008501810609702935,0.010963064371961446,1.7088721580519834,0.0,0.002687982570473861,0.0026443853523287607,0.0005164491862428278,0.004755033701336585,0.8252106491354754,0.0,0.0003179707285823456,0.000274690426599499,3.087517276178247e-05,0.001093563548257443,0.0976170136747801,0.0,4.978124269995629e-06,2.6662433319611754e-06,5.809529284306336e-07,3.063217182095151e-05,0.001528284150888658,0.0,5.918937804068286e-07,5.809529284306336e-07,5.809529284306336e-07,2.2767827197462285e-06,0.0001817113905848964,0.0,1.4809433212872532e-05,5.809529284306336e-07,5.809529284306336e-07,0.00015400547014539131,0.0045464959963518676,0.0,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,0.00017835254902820452,0.0,8.077735776764296e-05,6.886407154174751e-05,1.149854712141518e-06,0.0002969496197816345,0.024798648834666388,0.0,0.00012696342543732194,0.00011542618509577481,2.632110518235864e-06,0.0004321796314022752,0.03897777160925783,0.0,0.0001814763249549932,0.00012009732566206028,4.1018620514947335e-06,0.0009171331610561676,0.05571323176118291,0.0,0.0019655023966725143,0.002170844363747045,0.0001503084114447108,0.003471036614639931,0.6034092357784621,0.0
NAM.6_1,6.0,0.0025641042841374885,0.002244110914418689,2.446225054580871e-05,0.008282536068008203,2.4333349656464764,1.2486992715920917,0.0021070931798180268,0.0015970392485982275,6.044261383961223e-06,0.008469715871497273,1.9996314276473075,1.2486992715920917,0.0017477706438388287,0.0016484488659921695,1.8781994200705986e-05,0.0055652707597411005,1.6586343410030486,1.2486992715920917,0.0003846763213371259,0.00035674838359322234,9.317607015323896e-06,0.0013601971353150884,0.3650578289489325,1.2486992715920917,6.252170128317344e-07,5.809529284306336e-07,5.809529284306335e-07,2.7689539856679083e-06,0.0005933309451773161,1.2486992715920917,1.1362227395117549e-06,5.809529284306336e-07,5.809529284306335e-07,1.0747308292816632e-05,0.0010782753797966553,1.2486992715920917,1.254382636985565e-06,5.809529284306336e-07,5.809529284306336e-07,9.148986664406332e-06,0.0011904091224993016,1.2486992715920917,2.2961886381473395e-06,5.809529284306336e-07,5.809529284306336e-07,3.5047466822149125e-05,0.002179083017601825,1.2486992715920917,3.2532288130324964e-05,2.724600159598189e-05,5.809529284306336e-07,0.00014606742509862933,0.030873141435678392,1.2486992715920917,5.4377889738038316e-05,2.7611199610663868e-05,5.809529284306336e-07,0.00030266137663902414,0.05160461736139836,1.2486992715920917,0.00018172316812042915,6.40066808234825e-05,5.809529284306335e-07,0.0018133969100679727,0.17245528654628728,1.2486992715920917,0.0006533229587237688,0.0003590879498673592,1.9157659498202193e-05,0.004403855853526856,0.6200034878288565,1.2486992715920917
NAM.7_1,7.0,0.006498498787784692,0.00667174290423244,0.005394409212537637,0.007437793492404133,0.5393753993861294,0.0,0.007815804730016094,0.007444125078831505,0.006019475313013587,0.010733598170848018,0.6487117925913357,0.0,0.004507685684058732,0.004154847293274979,0.003231715184732919,0.005765296077442281,0.3741379117768748,0.0,0.0008478116484168444,0.0009121366673871344,0.0005170530590735428,0.0011421909293930733,0.07036836681859808,0.0,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,4.821909305974259e-05,0.0,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,4.821909305974259e-05,0.0,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,4.821909305974259e-05,0.0,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,4.821909305974259e-05,0.0,9.577838556022566e-06,8.800901080883759e-06,2.632110518235864e-06,2.5378728653035448e-05,0.0007949606001498731,0.0,9.00292594242991e-05,8.891042207337031e-05,4.739296999416506e-05,0.00017736894049117768,0.007472428532216827,0.0,0.002526080550095693,0.0027271500264658124,0.0012431674535966376,0.0032468375774562077,0.20966468565794247,0.0,0.003497150104090096,0.003750683703242247,0.00194971215176558,0.004456588145839085,0.29026345863947794,0.0
NAM.8_1,8.0,0.002424565999584194,0.002693987082338937,0.0003823991473351127,0.0043731566970785325,1.689922501710183,0.0,0.005742865738773489,0.005614630020211623,0.003861658153801585,0.008629830623649677,4.002777419925122,0.0,0.0031441946739009124,0.003182306351846995,0.0015905565923901089,0.0045117741961282895,2.191503687708936,0.0,0.0008277710939624727,0.0008247769496634449,0.0004263424710308008,0.0012584449942017071,0.5769564524918436,0.0,9.679138007994316e-07,5.809529284306336e-07,5.809529284306336e-07,4.683268108054972e-06,0.0006746359191572037,0.0,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,0.00040492419111615163,0.0,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,0.00040492419111615163,0.0,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,0.00040492419111615163,0.0,1.290040118955451e-05,9.45271182025437e-06,5.809529284306336e-07,4.671580583503029e-05,0.008991579629119494,0.0,0.00010478382702577344,9.585041219337206e-05,9.454485334145654e-06,0.00033429107561883857,0.07303432743696409,0.0,0.0011415642428360775,0.0011637702176305687,6.49181157853159e-05,0.002768004542898003,0.795670277256746,0.0,0.003020508548940041,0.0028974723471831307,0.0020511926519968,0.004349208827825242,2.1052944586112083,0.0
NAM.9_1,9.0,0.005177572035944379,0.00523043496701027,0.0028479817113951475,0.008260289674009744,1.1131779877280414,0.0,0.00538898968336345,0.005120696468088246,0.002930751575756072,0.008443274736500334,1.1586327819231417,0.0,0.002632232389104595,0.002639805545678977,0.0017480337893728331,0.003571191281562074,0.5659299636574879,0.0,0.00036906099293077866,0.00032531384254681913,0.00020136753852486805,0.0007564726673978932,0.07934811348011743,0.0,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,0.00012490487961258623,0.0,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,0.00012490487961258623,0.0,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,0.00012490487961258623,0.0,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,0.00012490487961258623,0.0,1.1877948607918218e-05,8.267388445784726e-06,5.809529284306336e-07,7.048353406567556e-05,0.002553758950702417,0.0,3.521052938471435e-05,3.351854674809836e-05,1.2514606083584744e-05,0.00012823615817156485,0.007570263817713584,0.0,0.0004683519806211117,0.0004209934828444056,0.00018500367983374937,0.0012263883221700538,0.100695675833539,0.0,0.0010694080622012543,0.0008856116825065319,0.0004939746385819079,0.0022109579742681444,0.2299227333732697,0.0
NAM.10_1,10.0,0.005768493593197417,0.005725041728304693,0.004300582393524376,0.0068201628065603535,0.4037945515238192,0.0,0.007127490592381223,0.007482887792681197,0.004898892662841115,0.008974888549284394,0.4989243414666856,0.0,0.0029868449221464558,0.002819010092384573,0.002461746098402377,0.004056691126076491,0.20907914455025192,0.0,0.0003464118616838172,0.0003468483305304555,0.00020941559485210305,0.000535920514629482,0.024248830317867204,0.0,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,4.066670499014434e-05,0.0,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,4.066670499014434e-05,0.0,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,4.066670499014434e-05,0.0,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,5.809529284306336e-07,4.066670499014434e-05,0.0,1.703586120032445e-05,1.6573301137100064e-05,4.875829998035922e-06,3.186236265476529e-05,0.0011925102840227115,0.0,4.778092611354343e-05,4.202234099575129e-05,1.7712264722129504e-05,0.00010103577228303088,0.00334466482794804,0.0,0.0010261662438922172,0.0010086910736381905,0.000464503198202329,0.0015047496902944788,0.0718316370724552,0.0,0.002179970092467987,0.0022128397552608576,0.001375812743361144,0.002751578775118561,0.1525979064727591,0.0
