GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
NAM.1_1,1.0,91340.05126432916,90644.1024410954,83556.21716504853,100520.25286241082,121756288.33535078,0.37369207772795215,91392.64211509527,90709.13180552301,83613.90950111553,100475.18912149123,121826391.939422,0.37369207772795215,91475.70407877552,90796.7870812152,83669.00370057375,100595.04775339144,121937113.53700778,0.37369207772795215,91688.14972162909,91021.82782755492,83783.81300001526,100791.40080994397,122220303.57893156,0.37369207772795215,92018.4166145559,91367.34708092989,84051.91381909235,101059.52824843695,122660549.34720302,0.37369207772795215,92127.68953668645,91476.87884754957,84040.47727326468,101226.29417473912,122806210.15240304,0.37369207772795215,92141.38864951339,91503.36066721336,84052.09813282432,101196.3850339044,122824471.06980138,0.37369207772795215,91967.77096231608,91299.7097763862,83833.97507474173,101284.22709318539,122593038.69276734,0.37369207772795215,91750.7351425868,91070.16432529992,83761.3463322762,101035.58659248217,122303729.94506824,0.37369207772795215,91593.10272247763,90908.2687200459,83698.34871871956,100858.4531929668,122093605.9290627,0.37369207772795215,91414.42446038699,90721.1728864775,83530.70948411974,100690.61488498912,121855427.80569585,0.37369207772795215,91303.76643462859,90614.58764801233,83478.05019524721,100547.59110299897,121707920.65735991,0.37369207772795215
NAM.2_1,2.0,92140.24194250404,91354.62076664958,84647.33329196273,100379.75777343976,47912925.8101021,1.5151515151515151,92148.71681809015,91359.17516782432,84656.79432131899,100381.97267942976,47917332.74540688,1.5151515151515151,92205.98831928386,91427.04828612336,84771.29828186872,100380.54037631882,47947113.92602761,1.5151515151515151,92355.87608969133,91576.17306479797,84907.95686630334,100552.52225644053,48025055.56663948,1.5151515151515151,92596.01632124698,91838.72225746328,85165.63875715235,100706.91579627662,48149928.48704842,1.5151515151515151,92691.22244390617,91935.04214612758,85180.12951875586,100875.51650718863,48199435.67083121,1.5151515151515151,92671.01544991817,91920.65900660168,85170.37126666054,100849.85658201274,48188928.03395743,1.5151515151515151,92535.15986258963,91741.30359395908,84955.18136183737,100855.56425845773,48118283.12854661,1.5151515151515151,92411.3680594574,91608.71957301463,84863.37332175951,100739.63324001664,48053911.39091785,1.5151515151515151,92247.96581939602,91445.54677781992,84721.98661450596,100554.2010253913,47968942.22608593,1.5151515151515151,92199.17525741906,91400.20626400065,84628.21962398787,100530.67162372686,47943571.13385791,1.5151515151515151,92085.3907067127,91295.24636635596,84504.01143424139,100409.624729443,47884403.1674906,1.5151515151515151
NAM.3_1,3.0,88731.35301282941,88134.05738062231,83603.1689633794,100636.73973981947,79858217.71154647,0.5524861878453038,88793.77464113758,88209.94127072678,83640.51821815112,100636.43254403348,79914397.17702383,0.5524861878453038,88888.0151862406,88338.95672124073,83725.38316111332,100662.73190362737,79999213.66761655,0.5524861878453038,89048.67907145961,88506.57434589248,83840.98366231364,100852.16138598953,80143811.16431364,0.5524861878453038,89373.57649332672,88859.69171829332,84095.35793584952,101043.91723857736,80436218.84399405,0.5524861878453038,89456.1090034345,88945.76027694385,84096.23883777214,101217.55516856283,80510498.10309105,0.5524861878453038,89470.14289824449,88973.38346115632,84094.70458902678,101186.8579670974,80523128.60842006,0.5524861878453038,89239.97009506926,88693.13775463476,83893.21350128051,101183.2598885824,80315973.08556232,0.5524861878453038,89064.39675654739,88483.17868591045,83827.33258717484,101035.38459657633,80157957.08089264,0.5524861878453038,88915.4481582464,88330.52169174912,83725.38921557304,100829.43680932037,80023903.34242177,0.5524861878453038,88746.89724861787,88128.9455974499,83588.59908063544,100802.86400567008,79872207.52375609,0.5524861878453038,88656.42097781727,88046.4968235092,83492.85918374803,100653.84993513222,79790778.88003555,0.5524861878453038
NAM.4_1,4.0,88623.99757947256,88514.68000429953,87908.96476146224,89895.05809383006,35272351.03663008,0.0,88641.3893510516,88524.1264139722,87922.20806473901,89946.3811361725,35279272.96171854,0.0,88793.76362065977,88668.26896536906,88083.18387044892,90095.7122698866,35339917.921022594,0.0,88967.12806037258,88842.92680263377,88252.94644523229,90262.90316499266,35408916.96802829,0.0,89249.59424123152,89107.56195196754,88535.86054357215,90569.68983383603,35521338.50801015,0.0,89325.21599444635,89178.01142483279,88607.18277638908,90659.61555687003,35551435.96578965,0.0,89316.93319832554,89164.9081052967,88601.53560781042,90661.74689203901,35548139.41293357,0.0,89010.97606749731,88874.4066409989,88295.98300595461,90333.3138272951,35426368.474863924,0.0,88816.9211971066,88682.31076398125,88108.46645720492,90135.84424747582,35349134.63644843,0.0,88578.99054104573,88460.46496257375,87883.83870303875,89873.17813983164,35254438.23533621,0.0,88618.52684709152,88496.6009964705,87894.3178385222,89928.09884576051,35270173.68514243,0.0,88458.72872857322,88333.45440619516,87740.98239991082,89783.01655099922,35206574.033972144,0.0
NAM.5_1,5.0,84767.93017547186,84448.85503329236,81150.11617296681,90333.27828153168,26023754.563869864,0.0,84806.7315905269,84494.12364670381,81171.00039696903,90352.08892462004,26035666.59829176,0.0,84918.22801397806,84628.21394538075,81264.95537780003,90428.67497732713,26069896.000291266,0.0,85044.48449667517,84753.24624373384,81373.38394748556,90585.1875095033,26108656.74047928,0.0,85323.08277227888,85013.42856001866,81605.46618819014,90867.85696700416,26194186.41108961,0.0,85346.91197795962,85023.14315345863,81575.5834542025,90954.54764746393,26201501.977233604,0.0,85350.24578311825,85014.60339430081,81571.15695159508,90934.30598535016,26202525.455417305,0.0,85125.28684602925,84818.59988498231,81377.58338607581,90751.12015383267,26133463.06173098,0.0,85021.26346562439,84706.45725120629,81340.06386311099,90609.75452019632,26101527.88394669,0.0,84893.73025153088,84575.52687754137,81249.92972675299,90444.26830410886,26062375.18721997,0.0,84751.5924236289,84425.81791030416,81112.36353853332,90378.95149279576,26018738.87405407,0.0,84650.58246325159,84312.96461565998,81019.62591004046,90259.06177248649,25987728.81621824,0.0
NAM.6_1,6.0,90984.47315562537,89922.03996015777,84299.51310974316,100689.32861604636,86344265.02468848,1.2486992715920917,90973.67806286844,89912.62707347996,84286.19975393912,100689.3930603773,86334020.48166215,1.2486992715920917,91012.85819082576,89969.8904358706,84339.71487829612,100666.90445617457,86371202.42309365,1.2486992715920917,91146.46632903443,90114.44641098726,84476.38813937119,100819.89807483456,86497996.5462537,1.2486992715920917,91346.47894256744,90346.12394022717,84657.81440277664,100917.04003880238,86687808.5164965,1.2486992715920917,91417.40614353734,90418.51683680736,84653.91276813972,101063.26010218152,86755118.43021694,1.2486992715920917,91385.9809601378,90390.70819001684,84615.95548903175,101025.27460317712,86725295.93117076,1.2486992715920917,91276.5869219708,90225.85354959266,84501.75753579511,101123.56318876034,86621480.98895028,1.2486992715920917,91170.01209689293,90115.22436795688,84433.00103574367,101033.60726052236,86520341.4799514,1.2486992715920917,91034.85918192154,89964.83204668689,84314.11573046622,100873.49455522627,86392081.36364354,1.2486992715920917,91003.1470703081,89924.53235895841,84285.18849200592,100844.10100231793,86361986.56972238,1.2486992715920917,90911.70319835053,89841.93380303914,84173.96162808985,100733.54582597592,86275206.33523464,1.2486992715920917
NAM.7_1,7.0,88619.12105395964,88556.07643893159,88322.5873417978,88990.51934154543,7355387.047478649,0.0,88607.91881299694,88544.07281757203,88315.7488396863,88976.1072398314,7354457.261478746,0.0,88715.10489390709,88651.27778424596,88433.18444535439,89066.58594873971,7363353.706194287,0.0,88883.28884433256,88818.90185227523,88608.34729806232,89223.86441009528,7377312.974079602,0.0,89120.18169070713,89055.63260629945,88849.5818663409,89454.26358649033,7396975.080328693,0.0,89183.67123807526,89119.02112417504,88910.22731727136,89517.64989931554,7402244.712760246,0.0,89163.91272734606,89099.52715265623,88887.054562524,89499.27452602673,7400604.756369722,0.0,88910.65451142141,88845.56734554339,88621.65733360966,89270.19938497408,7379584.324447975,0.0,88734.39729259256,88667.05040414863,88440.45990628375,89108.19663125592,7364954.975285183,0.0,88549.9226379202,88483.74540052217,88245.24402651012,88938.67343778539,7349643.578947376,0.0,88572.04516764739,88506.33680291742,88282.44339908408,88942.50066760181,7351479.748914733,0.0,88408.82401240832,88337.39059590154,88104.35417710664,88805.70024372912,7337932.39302989,0.0
NAM.8_1,8.0,86487.61505990388,86610.27326046508,83564.11623407635,89532.66839806219,60281867.696753,0.0,86539.40355805264,86655.49424276815,83596.23943361874,89589.25660590742,60317964.27996271,0.0,86685.41558220905,86799.12049749242,83728.45307206921,89757.13303180068,60419734.66079971,0.0,86834.1793494045,86949.35758240549,83860.38341762919,89916.68843980439,60523423.00653493,0.0,87148.37268121383,87270.22062346131,84127.78558338093,90265.22466096158,60742415.75880604,0.0,87210.02775971634,87336.07874620972,84141.21245503347,90370.2662611584,60785389.34852229,0.0,87226.25895293812,87355.90912014592,84146.9889052027,90389.30030592086,60796702.49019787,0.0,86923.37545452091,87055.02367756671,83897.06432860943,90021.61050299874,60585592.69180107,0.0,86759.59932000673,86883.8937470144,83794.73909076862,89809.86463075793,60471440.72604469,0.0,86586.19180606453,86727.83533391907,83660.9071194579,89565.22909511389,60350575.68882698,0.0,86448.84353917824,86570.05397485735,83521.42352658269,89513.68930114456,60254843.94680724,0.0,86350.1817011222,86471.68713647619,83411.66860810807,89390.02176319364,60186076.64568218,0.0
NAM.9_1,9.0,88554.38725330471,88712.88742048088,87315.98715419247,89351.61030774676,19039193.25946051,0.0,88535.04640523,88695.72883431302,87297.07856410643,89320.51287856822,19035034.97712445,0.0,88627.46007782668,88789.89446645949,87387.56109306411,89385.02669841735,19054903.916732736,0.0,88771.81280848046,88932.90301949186,87526.26248357639,89525.98732727887,19085939.753823306,0.0,89007.54952440805,89166.96423020557,87753.46836673658,89744.98871558649,19136623.147747733,0.0,89064.06779627506,89229.95844154592,87792.77967213669,89805.53513776168,19148774.576199137,0.0,89045.28811849034,89213.60371034303,87769.46657234068,89782.79690307406,19144736.94547542,0.0,88839.1835383145,89000.64010119405,87588.93253066618,89596.718413924,19100424.460737616,0.0,88699.11005943693,88859.17609822041,87476.8585516529,89453.46767239645,19070308.662778936,0.0,88535.11485556056,88697.41910657125,87327.352697472,89311.61709442855,19035049.693945523,0.0,88518.63148161024,88680.06329771217,87294.90970102543,89292.57425036824,19031505.7685462,0.0,88397.05583424967,88553.57691507104,87180.6526678749,89192.25895215668,19005367.00436368,0.0
NAM.10_1,10.0,88929.25567956152,89009.86415885264,88277.97799299685,89107.81339867816,6225047.897569306,0.0,88915.18730117318,88995.12555594239,88265.12539330473,89094.95372224506,6224063.111082123,0.0,89024.94136170302,89098.61927712167,88389.30618826227,89195.1851960917,6231745.895319211,0.0,89176.5734262732,89248.54942051537,88536.75099416943,89349.34506002438,6242360.139839125,0.0,89425.29169299534,89491.17480339383,88796.73959556915,89597.28926077805,6259770.418509672,0.0,89492.00888677512,89558.34591829246,88857.35400334712,89669.00362186455,6264440.6220742585,0.0,89477.25578718234,89543.84319345679,88842.5945384599,89655.80443521931,6263407.905102762,0.0,89239.45106519756,89311.0425945557,88605.57913809168,89409.07496542713,6246761.574563827,0.0,89079.75798398176,89152.24142741182,88456.65457983107,89245.48264752065,6235583.0588787235,0.0,88896.07714044387,88969.13711439517,88268.3013737208,89066.51245304037,6222725.39983107,0.0,88889.4576606277,88967.54494569168,88247.17020878242,89065.11758746508,6222262.036243939,0.0,88748.62382197348,88825.56939210618,88107.45211259626,88925.66051264056,6212403.667538144,0.0
