GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
NGA.1_1,1.0,-0.0017351242545859253,-0.001644449150602766,-0.0024943943718588628,-0.0012119219261396766,-0.06593472167426516,0.0,-0.001346699001349509,-0.0012401107319689095,-0.0019350871562622324,-0.000903535968209067,-0.05117456205128135,0.0,-0.0026057833514938496,-0.002487121908500734,-0.0032750641491035393,-0.002062583649214267,-0.09901976735676628,0.0,-0.0031461380301632314,-0.003175157406011644,-0.003521111566096681,-0.002780925421059065,-0.1195532451462028,0.0,-0.0030760112650154736,-0.003035264523718837,-0.0033557485591015393,-0.002941679476366481,-0.11688842807058802,0.0,-0.002895367766303286,-0.0029084396292721353,-0.0031465044252295127,-0.0027131537987964065,-0.11002397511952486,0.0,-0.0024418988596079465,-0.0024599999828623185,-0.002715619292689857,-0.002212931962124182,-0.09279215666510196,0.0,-0.0028815043745902148,-0.002834225210661741,-0.003271264740263149,-0.0026062891113607114,-0.10949716623442818,0.0,-0.002604515768542027,-0.002592025546025125,-0.002878907618008792,-0.002455548646377871,-0.09897159920459704,0.0,-0.002923852833547637,-0.00290661331558685,-0.003248210963616327,-0.002676759134885129,-0.11110640767481024,0.0,-0.003137111163411225,-0.00314921393482735,-0.0033732641522570828,-0.002843870003579298,-0.11921022420962653,0.0,-0.0024736660282203525,-0.0023311031204183053,-0.0033460888765589857,-0.001747545865942087,-0.0939993090723734,0.0
NGA.2_1,2.0,-0.000704891423396664,-0.0007435850975836497,-0.0017047154976052275,-3.9358827109410996e-05,-0.1959598157042726,0.0,-0.0005766592345065416,-0.0005633248843772435,-0.0017264829133428867,-3.5620988941096834e-05,-0.16031126719281855,0.0,-0.0006639242256238532,-0.000585174051349695,-0.0019473734547980047,-7.249727338803779e-05,-0.1845709347234312,0.0,-0.0007771721119052839,-0.0005059699404329225,-0.0027337673800026732,-6.748082875924958e-05,-0.2160538471096689,0.0,-0.0012798569666572553,-0.0008971993695533982,-0.003549623689979165,-0.0004068865005751504,-0.3558002367307169,0.0,-0.0018749966499501086,-0.0015226877409100525,-0.003740007619861593,-0.000792143532145146,-0.5212490686861302,0.0,-0.00277341510269527,-0.002838178413535717,-0.0037949108394566057,-0.0013321948279785608,-0.7710093985492851,0.0,-0.0030543645351798683,-0.0031335534623524192,-0.0036633361425789,-0.0018935654492582227,-0.8491133407800033,0.0,-0.003667724667066736,-0.003717197538768929,-0.004094039758239521,-0.0030994953018086712,-1.0196274574445523,0.0,-0.0033204553847994444,-0.003539174281069428,-0.0045884395500401355,-0.001501974591800663,-0.9230865969742456,0.0,-0.0014840233082815215,-0.0013972213109955947,-0.003138660687812649,-0.00013452112705645726,-0.41255847970226295,0.0,-0.0007427255033617405,-0.0006834216807038961,-0.001946426544368996,-5.771482322883328e-05,-0.20647768993456386,0.0
NGA.3_1,3.0,-0.0021963775330448767,-0.0021806781844732628,-0.003113724373851422,-0.0014724440400567802,-0.11421163171833355,0.0,-0.0017834493083251476,-0.0017824250096651602,-0.002500221742821041,-0.0010800347593808628,-0.09273936403290768,0.0,-0.003004360744340627,-0.0030330224453914666,-0.003880476241264576,-0.0022598402444365053,-0.1562267587057126,0.0,-0.003410831170047294,-0.0033751931691949288,-0.004349839205171157,-0.002806235640116018,-0.17736322084245928,0.0,-0.003162971462965546,-0.003074531092297361,-0.003940289766537281,-0.0027432681039214115,-0.1644745160742084,0.0,-0.002977902564348084,-0.0028963805919813013,-0.0039224228687384285,-0.002658943779866023,-0.15485093334610034,0.0,-0.0025426275128354607,-0.0024440707122904788,-0.0037137803925280134,-0.0022170676159883047,-0.132216630667444,0.0,-0.003022476810717534,-0.0030398184092686803,-0.003837449500568936,-0.002463272958577932,-0.15716879415731178,0.0,-0.002785811487698031,-0.002668181084986763,-0.004033098882681226,-0.002421920707987743,-0.1448621973602976,0.0,-0.002835125004814305,-0.0027560835149201854,-0.003561041523563568,-0.0024730137523806765,-0.14742650025034382,0.0,-0.0030931308768386108,-0.0030923214054301663,-0.003690305100654297,-0.002621497918320302,-0.16084280559560776,0.0,-0.002906157271727113,-0.002965681549752321,-0.003572070005874107,-0.002165661670455498,-0.15112017812980988,0.0
NGA.4_1,4.0,-0.0015111611294955714,-0.001441945557420387,-0.0020880645099736767,-0.001082389272065224,-0.058935284050327275,0.0,-0.0012870355779581492,-0.0011923048897308091,-0.001825715134207637,-0.0008881811141169768,-0.05019438754036782,0.0,-0.002499409328217025,-0.002425522452972771,-0.0031634366148007753,-0.001926926648435264,-0.09747696380046396,0.0,-0.002961695641299678,-0.0028909582145000435,-0.00371773610975856,-0.002382275901872427,-0.11550613001068745,0.0,-0.002866806323723257,-0.002836762298682079,-0.003511032360211441,-0.0024791537214258717,-0.111805446625207,0.0,-0.003029702224934744,-0.003024791520749056,-0.003255901455068517,-0.0028713256824575853,-0.118158386772455,0.0,-0.002663843787657126,-0.002642865371545893,-0.002928587258386927,-0.002465199287994753,-0.10388990771862792,0.0,-0.002899177622941995,-0.002854591331431009,-0.003307880388380821,-0.0026240247282107642,-0.1130679272947378,0.0,-0.0026446586718347877,-0.002622333914591257,-0.002868669489275936,-0.0024720668605820962,-0.10314168820155672,0.0,-0.003053116818409285,-0.003043207527619825,-0.0032987351252845853,-0.0029245939305759545,-0.1190715559179621,0.0,-0.00319238847409915,-0.003248612287705589,-0.003450585092233544,-0.0027726470304614537,-0.12450315048986685,0.0,-0.0022352264388165663,-0.002270122127848519,-0.002942340010446539,-0.001655106907076867,-0.08717383111384608,0.0
NGA.5_1,5.0,-0.0008582395743378978,-0.0008050670415491911,-0.0015532886640500939,-0.00023252194606953282,-0.34072111101214536,0.0,-0.0007450034507254046,-0.0007060293717746412,-0.0014473197530169455,-0.0001365131415745795,-0.2957663699379857,0.0,-0.0007597719205921218,-0.0007052753266609964,-0.0017327125250308378,-0.00010404573967034784,-0.30162945247507233,0.0,-0.0006428215116481434,-0.0005652433593262964,-0.0013732032029413518,-0.00012508823068280611,-0.2552001401243129,0.0,-0.0011986006591884475,-0.001163952768346903,-0.0023863777785629787,-0.0001870760756553044,-0.4758444616978138,0.0,-0.0018461214037113754,-0.0017391434569374792,-0.003859254074968471,-0.00037969720398389886,-0.7329101972734159,0.0,-0.003271651618911771,-0.0034745505375478303,-0.0042979426113026985,-0.001840780646438568,-1.298845692707973,0.0,-0.003563066009246118,-0.0036040235532537775,-0.0040894435138362824,-0.0027179812528796204,-1.4145372056707088,0.0,-0.0037563323564043616,-0.0037718933046767744,-0.0042935932520541415,-0.002904782379990921,-1.4912639454925316,0.0,-0.0033337419816606376,-0.0034541444201745017,-0.00438687095580293,-0.001991301921743365,-1.3234955667192732,0.0,-0.0016940444102148766,-0.001696429679732734,-0.002630144775655267,-0.000783220541716912,-0.6725356308553061,0.0,-0.0010112993396536338,-0.0009642024280788,-0.0016679179902816413,-0.0003398568255662025,-0.4014858378424926,0.0
NGA.6_1,6.0,-0.002740810398202761,-0.002709101236492183,-0.0036648360942455396,-0.0018462450347063472,-0.21926483185622087,1.2345679012345678,-0.002556941528652185,-0.002565460734585385,-0.0035294079162817775,-0.0015507313136363602,-0.2045553222921748,1.2345679012345678,-0.0037587531054017226,-0.003718978360674493,-0.004549805407305406,-0.0029708478577810714,-0.30070024843213783,1.2345679012345678,-0.00405697353359605,-0.0039769875889949504,-0.004948110826767114,-0.0032714933255749467,-0.32455788268768404,1.2345679012345678,-0.003552588035152856,-0.003476001058301786,-0.004363814630648383,-0.003030378311543749,-0.2842070428122285,1.2345679012345678,-0.003319080711099257,-0.003201883310169259,-0.004594845224864886,-0.0028144320840210995,-0.2655264568879405,1.2345679012345678,-0.0028430494485591285,-0.0026819431579314795,-0.00461662052225081,-0.0022487578660537163,-0.22744395588473024,1.2345679012345678,-0.003364584936118497,-0.003373418946467363,-0.0041707580306536715,-0.0026148190281919397,-0.2691667948894797,1.2345679012345678,-0.00317966573816066,-0.003064065964465313,-0.004356379163248311,-0.00258143434909432,-0.2543732590528528,1.2345679012345678,-0.0032248076261879666,-0.003160547021400211,-0.004275916783883253,-0.002766446627418657,-0.2579846100950373,1.2345679012345678,-0.0036409294339757054,-0.003604971486044962,-0.004224797945507762,-0.003148321555623216,-0.2912743547180565,1.2345679012345678,-0.0035949972651309328,-0.003583454486615035,-0.004175139645371571,-0.0030326858478356288,-0.2875997812104746,1.2345679012345678
NGA.7_1,7.0,-0.0011297701473790714,-0.0010361094591995195,-0.0027649853153036245,-0.0007285022491774317,-0.29148069802380056,0.0,-0.0009289029006463688,-0.0008536802120447394,-0.0022291791602036893,-0.0006165220097073018,-0.2396569483667632,0.0,-0.0013954369871231414,-0.0013543260969452813,-0.002443206253345596,-0.0010239039611656278,-0.3600227426777705,0.0,-0.001862315219878464,-0.0018068569385729114,-0.003207329302778381,-0.0012081471733884812,-0.4804773267286437,0.0,-0.0023100822247607397,-0.002316487658408864,-0.003292015611001506,-0.0017082362516499785,-0.5960012139882709,0.0,-0.002630151178746268,-0.002648180122027421,-0.003196259902376517,-0.002002567187411708,-0.6785790041165372,0.0,-0.002807782793286941,-0.00278126923258164,-0.003303762964872154,-0.0024532819759573955,-0.7244079606680307,0.0,-0.002848349031362537,-0.002820750313717103,-0.003577853048705322,-0.0023532660726307605,-0.7348740500915345,0.0,-0.002817231152321276,-0.002820953588556536,-0.0033146646909995308,-0.002453492517441377,-0.7268456372988892,0.0,-0.003253972445521768,-0.003248002132426925,-0.0037404522862176867,-0.0028515191107979275,-0.8395248909446161,0.0,-0.002697331320006931,-0.002668556992012996,-0.003615896298533072,-0.0021524073965340264,-0.6959114805617882,0.0,-0.0014372389638771998,-0.0013890053716599615,-0.002407697687953355,-0.0010794141796446118,-0.3708076526803176,0.0
NGA.8_1,8.0,-0.00025978165389706285,-0.00018014822248081522,-0.0030855036080787487,-2.1134450012890783e-05,-0.14781576106742875,0.0,-0.0002079939293652825,-0.00013077664605775136,-0.0031540475187616032,-2.171557170162889e-05,-0.11834854580884575,0.0,-0.00021817492931369632,-0.0001358278479108562,-0.0035566547153474976,-2.8899920464008557e-05,-0.1241415347794932,0.0,-0.0001630096094240316,-8.123735711468779e-05,-0.004047596163476767,-2.9451402405802392e-05,-0.09275246776227396,0.0,-0.00031633302001239617,-0.00018833227814231665,-0.004048915524772208,-3.8442364962965626e-05,-0.17999348838705342,0.0,-0.0007341849609559628,-0.0006430757289745436,-0.004204832951021835,-0.00012630580105045,-0.4177512427839429,0.0,-0.0020972878959270268,-0.002077889240612373,-0.004197507888332945,-0.0007293685459432997,-1.1933568127824778,0.0,-0.003511802425241425,-0.003514726683147757,-0.0042398886054021145,-0.002800843929703812,-1.998215579962371,0.0,-0.0036515127253257,-0.003840586501843964,-0.004359285300898466,-0.0017188448105521256,-2.077710740710323,0.0,-0.002261226070646408,-0.002378946488951957,-0.0045705122136345975,-0.00029149020853773313,-1.286637634197806,0.0,-0.0008446755597240012,-0.0009139747125671304,-0.0035899765914870953,-6.561587644694371e-05,-0.4806203934829568,0.0,-0.0004399538504942548,-0.0004498569417075469,-0.0029154720908417674,-3.950950773445443e-05,-0.2503337409312309,0.0
NGA.9_1,9.0,-0.0018852714245667472,-0.0018209792623287608,-0.0033821039189287877,-0.0009503824044849408,-0.3242666850254805,1.1494252873563218,-0.0014783264946446825,-0.0013833592290098825,-0.0031313764036535177,-0.0008004237676385457,-0.2542721570788854,1.1494252873563218,-0.002624922571350855,-0.0026639796977084877,-0.0041923296903286274,-0.0013327570429186176,-0.4514866822723471,1.1494252873563218,-0.003312073715744128,-0.003415020727287607,-0.004401635857165145,-0.0019682046023996027,-0.5696766791079899,1.1494252873563218,-0.0032743264875927805,-0.0033372491834724434,-0.004012151845368368,-0.002292986025578003,-0.5631841558659583,1.1494252873563218,-0.0029772403637228603,-0.002963732188630047,-0.0038553823631230603,-0.002525218191374207,-0.5120853425603319,1.1494252873563218,-0.002625102001186705,-0.002617911247197645,-0.003358215129423696,-0.002185430137458205,-0.4515175442041132,1.1494252873563218,-0.002906345981686829,-0.0028187050175802037,-0.003987007139654798,-0.0025124214716133572,-0.4998915088501346,1.1494252873563218,-0.0026556432254170865,-0.002620460854628189,-0.003715810139110809,-0.002346076330033813,-0.4567706347717389,1.1494252873563218,-0.0031490671050777123,-0.003121746828089236,-0.003770050120484725,-0.0027907654174510665,-0.5416395420733665,1.1494252873563218,-0.0033952661311339176,-0.003447220276816844,-0.004074776766009241,-0.002491694635118963,-0.5839857745550339,1.1494252873563218,-0.00267820089189028,-0.0027581657102085343,-0.003819867871071831,-0.0013518186233636676,-0.4606505534051282,1.1494252873563218
NGA.10_1,10.0,-0.0020611284050409896,-0.0020634173159089593,-0.0034880227918828283,-0.0010370944429499245,-0.2741300778704517,0.0,-0.0018114413629536754,-0.001834115716707587,-0.0033047916309524978,-0.0008155860968001267,-0.2409217012728388,0.0,-0.0032430904998251627,-0.003305985552245575,-0.0050570391895014685,-0.0020770706925190186,-0.4313310364767467,0.0,-0.003685224598910005,-0.003654871065083614,-0.005526801397741695,-0.0027249419924736565,-0.4901348716550307,0.0,-0.003365720865788552,-0.003311106048760721,-0.005239739245617509,-0.0027033386242779245,-0.4476408751498774,0.0,-0.0031675588500021125,-0.003050995924454425,-0.00514254706460229,-0.0027269011845113826,-0.4212853270502809,0.0,-0.002800640460291561,-0.002660780958739084,-0.00501733910463323,-0.00223621947870827,-0.3724851812187776,0.0,-0.0030042751807200442,-0.00293872402164267,-0.004592322476997006,-0.0022831222417811128,-0.39956859903576586,0.0,-0.002907335694791712,-0.002753791052675859,-0.005076291739019511,-0.0024583765419467106,-0.3866756474072977,0.0,-0.003120696311465309,-0.003040389050853616,-0.004511196216614086,-0.002673712189928986,-0.4150526094248862,0.0,-0.003461009084430165,-0.0034530143158972753,-0.0046601711170226575,-0.0027363953349376358,-0.46031420822921204,0.0,-0.003071285354083259,-0.0032352786392552783,-0.004473222222392291,-0.00193199183988472,-0.4084809520930735,0.0
