GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
SEN.1_1,1.0,-2.8499132789875734,-2.8499132789875734,-2.9293396981293984,-2.7704868598457493,-5.699826557975148,60.0,-2.078182885506978,-2.078182885506978,-2.1238549894571306,-2.0325107815568253,-4.156365771013956,60.0,-0.7107937860198852,-0.7107937860198852,-0.7536951339948275,-0.667892438044943,-1.4215875720397704,60.0,-0.1680858558046488,-0.1680858558046488,-0.20958985936460928,-0.1265818522446883,-0.3361717116092976,60.0,1.2827666370195372,1.2827666370195372,1.2704481319558814,1.2950851420831933,2.5655332740390744,60.0,2.8462343205346494,2.8462343205346494,2.803777132988339,2.8886915080809588,5.692468641069299,60.0,2.8972381292143874,2.8972381292143874,2.8389578542527234,2.955518404176052,5.794476258428775,60.0,3.0865539037549343,3.0865539037549343,3.016283892356247,3.156823915153621,6.1731078075098695,60.0,1.8086228985305857,1.8086228985305857,1.7645230412739819,1.8527227557871893,3.6172457970611713,60.0,1.2133059587486517,1.2133059587486517,1.212361339441158,1.2142505780561454,2.426611917497304,60.0,-0.8711719236667457,-0.8711719236667457,-0.9305386327378358,-0.8118052145956555,-1.7423438473334911,60.0,-1.38504115411158,-1.38504115411158,-1.4597455416069225,-1.3103367666162378,-2.7700823082231603,60.0
SEN.2_1,2.0,-2.6598299150573834,-2.6678784111256717,-2.8282172753589863,-2.403391955523804,-106.3931966022953,0.0,-2.170042166969904,-2.1828901123384887,-2.371603019863169,-1.9566913477492136,-86.80168667879612,0.0,-0.33803373056422725,-0.3388175925684277,-0.4656557530520871,-0.1961376540596866,-13.52134922256909,0.0,0.6080436762928851,0.6005238972248046,0.4423409429325952,0.7971142601558207,24.321747051715413,0.0,1.7958870717894158,1.820847407915439,1.4236909179933492,1.9377962569157865,71.83548287157663,0.0,2.7767244362158943,2.793747902275645,2.5872791285801022,2.9777777811674926,111.06897744863576,0.0,1.9909559979102425,1.958541192779919,1.877161645022864,2.2991024106990223,79.6382399164097,0.0,1.974403489494368,1.9633442364958311,1.8684932476926424,2.2119111072874555,78.97613957977472,0.0,1.1780074999606749,1.1716191939816651,1.079474288994133,1.2990129733286004,47.120299998426994,0.0,0.8429783806443603,0.8655391251311395,0.6215463968892802,0.9821716292338948,33.719135225774416,0.0,-1.1676726778279234,-1.1669897806671097,-1.4605806188409427,-0.8364321941071525,-46.706907113116934,0.0,-0.7958322750650685,-0.7901804109751238,-0.9531659349254136,-0.668849617765317,-31.83329100260274,0.0
SEN.3_1,3.0,-2.352054510565249,-2.370122820730554,-2.588379931399602,-1.9853578595392816,-129.3629980810887,0.0,-1.807340830308112,-1.7873606814666871,-2.1895223179511247,-1.3646689829528045,-99.40374566694616,0.0,-0.10347968557422912,-0.2434290964656697,-0.4575206203265479,0.8331973999218787,-5.691382706582601,0.0,0.7482569405142041,0.5754153405798145,0.3405928377973338,1.9368232279591864,41.154131728281214,0.0,2.1880492669301157,1.9731879697992598,1.459217898728136,3.633125749526144,120.3427096811564,0.0,3.0474748537103875,2.938496446259029,2.6089425782307507,4.115127506988832,167.61111695407132,0.0,2.2762002271627555,2.1158713679583023,1.8360357662147009,3.4084073095414658,125.19101249395158,0.0,2.161899334795069,1.952063788964876,1.6963027917002207,3.153800374595333,118.90446341372879,0.0,1.2968031409095395,1.1585768212469845,0.9479026185407388,2.1203371734959764,71.32417275002467,0.0,1.3090777789475605,1.2314636159776395,0.7424424671847747,2.205894229925764,71.99927784211583,0.0,-0.4914645327973754,-0.40262539848494094,-1.272566347384278,0.06059011408511693,-27.030549303855647,0.0,-0.6959610010946289,-0.6934284793745394,-0.9051854280123564,-0.4750075919014182,-38.277855060204594,0.0
SEN.4_1,4.0,-1.9834828147951016,-1.9920711206739328,-2.355692282448745,-1.7024015494168492,-182.48041896114933,0.0,-1.6510009978528877,-1.6778739538099667,-2.048151007001795,-1.2661780481238545,-151.8920918024657,0.0,-0.1987155188346554,-0.24433300337981925,-0.4691058369530213,0.1571789264669113,-18.281827732788297,0.0,0.5499826337174627,0.5339233641128706,0.3180722552159349,0.8430068116554309,50.59840230200657,0.0,1.9979161119922728,1.963116014644111,1.8301472587173184,2.3084806418657537,183.8082823032891,0.0,2.4513267199825095,2.433656170493879,2.3162119797852507,2.738821765691517,225.52205823839085,0.0,1.656251151829138,1.651630877599008,1.5091054461554727,1.9021847677973984,152.3751059682807,0.0,1.6498444587138887,1.6337118825781327,1.4731205188370646,1.9222314301845136,151.78569020167774,0.0,1.0265539772963173,1.0165761423204618,0.9134745370778884,1.2286974053408477,94.4429659112612,0.0,0.7638505615672642,0.7594123781733828,0.5511145024747452,1.0178067142326108,70.2742516641883,0.0,-0.9069614200241845,-0.9422272194010228,-1.3636760198746358,-0.4127109745243073,-83.44045064222495,0.0,-0.6532911449231893,-0.6737647615949569,-0.8860327386464278,-0.431440434995409,-60.10278533293343,0.0
SEN.5_1,5.0,-1.992282087927264,-2.035907157803746,-2.4235793845787366,-1.6064206416393536,-87.66041186879959,0.0,-1.5516217298262698,-1.5633030508906445,-2.024975240699867,-1.1187595909512125,-68.27135611235587,0.0,-0.08499435963134717,-0.09711667967559592,-0.3602049055803284,0.2325161259363642,-3.739751823779277,0.0,0.6747775211671311,0.6382387602542606,0.4941223579129429,0.9310251653141705,29.690210931353768,0.0,2.050570999150993,2.0579127189250173,1.838169244212444,2.3632806819473915,90.22512396264368,0.0,2.6690849057237003,2.6862405407750725,2.4139471646446453,2.922510687405432,117.43973585184278,0.0,1.7775201312471642,1.7831756002269177,1.5328453262481945,2.030467939982183,78.21088577487522,0.0,1.6393309404621268,1.6456147881956813,1.435806363108739,1.8380896303247545,72.13056138033356,0.0,0.9981906050386556,0.9994192135696846,0.918495831484948,1.1142152720045566,43.92038662170085,0.0,1.0670188917033174,1.0728977094232768,0.9082929671041604,1.283841510977123,46.94883123494596,0.0,-0.4492110041271876,-0.3989753515357092,-0.9327426661422376,-0.16767174431846227,-19.765284181596254,0.0,-0.5341852250610715,-0.5251883045617014,-0.7867028842341275,-0.3309209833546322,-23.504149902687143,0.0
SEN.6_1,6.0,-2.317595500470685,-2.3618091868834497,-2.655284304473549,-1.7617434373493452,-326.7809655663666,0.0,-1.8729253336509948,-1.9040508013109747,-2.5686656287714817,-1.0949227529966312,-264.0824720447903,0.0,0.14640155785672646,0.23303758035990466,-0.5843330090034012,0.5191736819211048,20.642619657798427,0.0,1.4990631092134803,1.5686227524036356,0.7355722007893187,1.8701298885944813,211.3678983991008,0.0,2.906196966883781,3.003371427627107,1.719577048980395,3.332626122606567,409.77377233061327,0.0,2.426181349493159,2.4952114092979656,1.2974310809954959,2.9632776629178887,342.09157027853536,0.0,2.1935279213586294,2.246649019031424,1.1881075429920325,2.6616074172755457,309.28743691156683,0.0,2.1976397266503445,2.253565924461894,1.1523556602064369,2.687593264167405,309.86720145769857,0.0,1.1519997691102533,1.152740292318888,0.6857162607032259,1.4526516706743886,162.43196744454568,0.0,0.6710304055253471,0.7166949711912184,0.2676467987336249,0.9132917962266408,94.61528717907393,0.0,-0.8770379583226073,-0.9158008081730598,-1.5049126057814877,-0.23323907708886835,-123.66235212348765,0.0,-0.8008001251352017,-0.7710625532063282,-1.3998010706648203,-0.2282828906588608,-112.91281764406344,0.0
SEN.7_1,7.0,-1.9405134293727488,-1.9404392201417253,-2.30706395110285,-1.7094046175566129,-203.75391008413865,0.0,-1.248781892920564,-1.2618308850292086,-1.7945672460714632,-0.9120609447769306,-131.1220987566592,0.0,0.14135653669174425,0.12853119349433825,-0.08584220309425944,0.2971499224100435,14.84243635263315,0.0,1.151267277556947,1.1172198222392258,0.884346271283239,1.4940529084305358,120.88306414347944,0.0,2.5704059685031946,2.541274498627333,2.311313863183223,2.8705548091361432,269.89262669283545,0.0,2.184835875279986,2.1871221084286794,1.9218256913177048,2.478042255009329,229.4077669043985,0.0,1.6045531501100925,1.5812434695139603,1.3560839736498511,1.916014063647101,168.4780807615597,0.0,1.6054102803654329,1.575740504505427,1.3098948515387756,1.948835622683202,168.56807943837043,0.0,0.9808468829445474,0.9932366714677408,0.8839812299323895,1.1067382407210873,102.98892270917747,0.0,0.9463803803646786,0.9529868103993242,0.8365184793859134,1.0155999191725122,99.36993993829122,0.0,-0.3743383713039444,-0.3719654232743717,-0.8168125835780661,-0.16400745358133198,-39.305528986914155,0.0,-0.3570957403291128,-0.3631165123374076,-0.8082356482452132,-0.17783569680615802,-37.49505273455684,0.0
SEN.8_1,8.0,-3.2827652135273886,-3.3958636808815084,-4.24385286231922,-2.1889842865238305,-666.4013383460599,0.0,-2.8008085299441117,-2.8176633640227866,-3.6970693123728737,-1.9077330778228831,-568.5641315786548,0.0,-0.5895314410600735,-0.5651953408467384,-1.092050566512753,-0.10240865333198128,-119.67488253519493,0.0,0.4906589428163758,0.4412895054263454,0.15959740246183546,1.0591995931543323,99.6037653917243,0.0,1.832485414739968,1.8554085999475065,1.1192301793688535,2.3581847108336813,371.99453919221344,0.0,3.4163147463014543,3.4171602298519157,2.5311432798079245,4.3777310434401695,693.5118934991953,0.0,2.764875396002157,2.7711757609632603,1.824009603355261,4.084213057511096,561.2697053884378,0.0,2.810139882357933,2.8144987694227868,1.8649628801723268,4.02838199595204,570.4583961186604,0.0,1.7914082369188469,1.786655665874593,1.1651219500887562,2.4982063832379304,363.65587209452593,0.0,0.4451581261762369,0.4605632940630985,-0.2298372657650193,1.4123298072338195,90.36709961377608,0.0,-1.7374503178508898,-1.6976608109849392,-2.389847458134502,-1.2401053187622837,-352.7024145237307,0.0,-1.0747341750857926,-1.0655300851345508,-1.5058583456209658,-0.7186441478255752,-218.17103754241592,0.0
SEN.9_1,9.0,-3.4067188105148394,-3.499416009187715,-4.658533769673742,-2.195304418127539,-766.5117323658387,0.0,-3.16770142106575,-3.2273253079478668,-4.413171553041553,-1.9533644012829303,-712.7328197397937,0.0,-0.9199055922070926,-0.9758366823916896,-1.318862025657825,-0.4296606161467599,-206.97875824659585,0.0,0.15080986376555547,0.1430746868095236,0.02310182448276113,0.3562063478760278,33.93221934724998,0.0,1.5169682501663793,1.603893100835375,0.5184944486396001,1.9445230340091733,341.3178562874353,0.0,3.0151833910309853,3.093307144548827,2.055447455386448,3.6884184221386738,678.4162629819717,0.0,2.617566842860217,2.682868405580572,1.7453843395170228,3.7754668169256833,588.9525396435488,0.0,2.7134430000828926,2.777003202724896,1.8075339453644856,3.775583087607497,610.524675018651,0.0,1.727378955517599,1.7649035030353548,1.088710871217767,2.4297519001512824,388.66026499145966,0.0,0.4651784933458499,0.5329480781798122,-0.4091714100325585,0.8333265607710337,104.66516100281623,0.0,-1.985502181197572,-1.9644327552805043,-3.188668591314725,-1.200855296162884,-446.73799076945375,0.0,-1.4274812907113246,-1.5641723396413534,-2.0340915399553787,-0.6307224689574426,-321.183290410048,0.0
SEN.10_1,10.0,-4.032063131908732,-4.082373418910957,-4.558356422241171,-3.5307504876079285,-665.2904167649407,1.1976047904191618,-3.5538122136985844,-3.6394183778211087,-4.315179945801264,-2.4773660593022795,-586.3790152602662,1.1976047904191618,-0.9464756972339324,-1.0636346056619346,-1.2586327621278746,0.019531906394183673,-156.1684900435989,1.1976047904191618,0.3191426753029762,0.197547182860358,0.08460507089697708,1.05116691891591,52.65854142499107,1.1976047904191618,1.2900942827677158,1.216372334090803,0.5891318725095298,2.3897439139015075,212.8655566566732,1.1976047904191618,3.6707711455198,3.6306914681910767,3.3147082834489687,4.395377647005273,605.6772390107669,1.1976047904191618,3.6206001753227723,3.6638009922081087,2.790612805823608,4.369681750063788,597.3990289282574,1.1976047904191618,3.7358690595651214,3.777098118490464,2.889425485203996,4.368818568006045,616.418394828245,1.1976047904191618,2.3866763839203644,2.410772625221144,1.8552308699358029,2.8657308781237774,393.80160334686,1.1976047904191618,-0.4195953531810812,-0.4258615472343761,-1.4567294314387016,1.0026012441701448,-69.23323327487839,1.1976047904191618,-2.4374996090941843,-2.51276867916685,-3.1892717325255133,-1.3627102954041348,-402.1874355005404,1.1976047904191618,-1.4450298583793528,-1.4846771000877184,-1.7999157626656468,-1.1084353719296889,-238.42992663259318,1.1976047904191618
