GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
TZA.1_1,1.0,-0.0033725799981929533,-0.003394115166074807,-0.003985372592857263,-0.002647614999929958,-1.042127219441623,0.0,-0.003869611604630793,-0.003915837721082773,-0.004602797320103112,-0.002704353677307825,-1.195709985830915,0.0,-0.003466424928047166,-0.0034767411330601213,-0.004466831400157229,-0.0026810548210376827,-1.0711253027665744,0.0,-0.0033058374024162204,-0.0033078945315745505,-0.004188793813512671,-0.0023971504347602445,-1.021503757346612,0.0,-0.0031615559026555644,-0.0031292674259699557,-0.00472351502456457,-0.0020888262868345078,-0.9769207739205694,0.0,-0.002102992156678522,-0.0020395507469968795,-0.004415161833472928,-0.0008701763045937138,-0.6498245764136632,0.0,-0.0014588194854762836,-0.001383042062895375,-0.0043951880148091725,-0.0006105311645931646,-0.4507752210121717,0.0,-0.001378740609265704,-0.0012713210093380815,-0.004874558126364613,-0.0004623067047365925,-0.42603084826310256,0.0,-0.0013887096183417885,-0.0012595678215323134,-0.005271112853121497,-0.00047251581121818937,-0.42911127206761257,0.0,-0.001610624820219293,-0.0014617408729861758,-0.00565950624625455,-0.0005649509929320334,-0.4976830694477616,0.0,-0.0025563872656908337,-0.002650638850764896,-0.004154344367444515,-0.0007824058623021786,-0.7899236650984676,0.0,-0.002884487655723973,-0.0032643766626946785,-0.004343500787917222,-0.0003422284466605381,-0.8913066856187074,0.0
TZA.2_1,2.0,-0.004137696822552903,-0.004158964285251629,-0.004317432395499283,-0.003642120398628436,-0.049652361870634834,7.6923076923076925,-0.004335901277250448,-0.004365212495823915,-0.004503162247790605,-0.003941374413712789,-0.052030815327005375,7.6923076923076925,-0.0040932790447279314,-0.0040755442367172824,-0.0043278233433481144,-0.0038354834275910288,-0.04911934853673517,7.6923076923076925,-0.003511541708902213,-0.003410054758446926,-0.00407870402001265,-0.00323964985930872,-0.04213850050682656,7.6923076923076925,-0.0036366290037093494,-0.003563961985260475,-0.004082892414864902,-0.003371684260378321,-0.04363954804451218,7.6923076923076925,-0.003076033493845867,-0.0029635471465898925,-0.0037258186118193422,-0.00278711395921747,-0.0369124019261504,7.6923076923076925,-0.002716540898307827,-0.0025458761478686608,-0.0035300520956540213,-0.002459595232935731,-0.03259849077969392,7.6923076923076925,-0.002267354873806986,-0.0022330827063539588,-0.0027456592436812853,-0.0020083685262885878,-0.027208258485683832,7.6923076923076925,-0.002158680447131351,-0.00210408958991742,-0.002657257219500577,-0.0019028298247492023,-0.025904165365576208,7.6923076923076925,-0.0028904102459334203,-0.0029266721454918555,-0.003266757651455693,-0.0024200554180062875,-0.034684922951201035,7.6923076923076925,-0.0035433391093183924,-0.003574834097135742,-0.0038093317180830756,-0.0030993484021981012,-0.0425200693118207,7.6923076923076925,-0.0035677196585307204,-0.003682463605287365,-0.0041570637688042285,-0.0027706142435889496,-0.04281263590236865,7.6923076923076925
TZA.3_1,3.0,-0.0037293000127218813,-0.003733185026579751,-0.004484451074982332,-0.002878264866522145,-1.2605034042999956,0.0,-0.003980690746677261,-0.003972516914053328,-0.00465703768995127,-0.0031814224580166447,-1.3454734723769144,0.0,-0.0035914660316772205,-0.0035694765284151235,-0.004384889598967305,-0.00307973580883023,-1.2139155187069002,0.0,-0.0034181719254741845,-0.003387476506276279,-0.004565666704795326,-0.0028243259835967487,-1.1553421108102744,0.0,-0.002957618603562529,-0.0029979081005347755,-0.004627715990744714,-0.0015453583926999808,-0.9996750880041348,0.0,-0.0016138169783223467,-0.0016311848327443047,-0.004659885035168015,-0.0003297113967714566,-0.5454701386729532,0.0,-0.0011808439097864348,-0.001150711880946019,-0.004719859822757546,-0.00030520622931527264,-0.399125241507815,0.0,-0.0009772112167617528,-0.0009488760754214458,-0.004615325806625459,-0.00012165636010472856,-0.3302973912654725,0.0,-0.0008650449404043628,-0.0008213094565775972,-0.0052170310332413615,-9.5393817216541e-05,-0.2923851898566746,0.0,-0.0011074099052070972,-0.0009978210920556306,-0.006192550655172043,-0.00024145356970886134,-0.3743045479599988,0.0,-0.002230380875959534,-0.0022812083026506674,-0.0050037419196823155,-0.0009316425482947088,-0.7538687360743226,0.0,-0.002695350577164657,-0.002758765816858616,-0.004689954708113296,-0.0010569010201335824,-0.9110284950816544,0.0
TZA.4_1,4.0,-0.003346297628253602,-0.003332599688457601,-0.004017378922341781,-0.0029360196860738976,-0.5320613228923228,0.0,-0.0036872708755857435,-0.0036715596397784342,-0.004497584609318752,-0.003268956062456137,-0.5862760692181332,0.0,-0.003442752509508764,-0.003419365161993565,-0.00400710466512835,-0.0030452750211271,-0.5473976490118935,0.0,-0.003429502315227784,-0.003373618327471827,-0.004156683463386087,-0.002930806333756107,-0.5452908681212176,0.0,-0.0033422374139638273,-0.0033028571955316024,-0.00458290419271579,-0.0026034690420103394,-0.5314157488202486,0.0,-0.0019426569870765985,-0.0018962168158276047,-0.00398378366733964,-0.001423160094683344,-0.3088824609451791,0.0,-0.0012151861410728676,-0.0011456454050604158,-0.003902623443956509,-0.0008137627166609564,-0.19321459643058592,0.0,-0.0011403823173593661,-0.0010139465880767665,-0.003694469177179385,-0.0007040883821348974,-0.1813207884601392,0.0,-0.0014596017738242161,-0.001262631719631838,-0.004318051171870164,-0.0008992042513619284,-0.2320766820380503,0.0,-0.002165508198007345,-0.002071868014148157,-0.004031694892963953,-0.001430326618181701,-0.3443158034831679,0.0,-0.002783964844785093,-0.0027051357158982287,-0.00365121883475016,-0.002312449619358932,-0.44265041032082975,0.0,-0.003178771888348971,-0.0031766898688367078,-0.003892445772206117,-0.002818914662993175,-0.5054247302474864,0.0
TZA.5_1,5.0,-0.003510540372408261,-0.0034553693809608607,-0.004275788361567577,-0.002631220117392566,-1.0391199502328452,0.0,-0.0037202961357396345,-0.00367544456938462,-0.004427334429355528,-0.003090170503984821,-1.1012076561789317,0.0,-0.0033442679325009625,-0.003288399788772629,-0.004090486987723287,-0.0027248836043752564,-0.9899033080202848,0.0,-0.003507108503169285,-0.00353509730335656,-0.004186266870788147,-0.002709221646090359,-1.0381041169381082,0.0,-0.003006896567712018,-0.003054337254540555,-0.0037066383371020047,-0.0017440804962327071,-0.8900413840427572,0.0,-0.0016709887975334325,-0.0016572277143271758,-0.0027352304171133802,-0.000517524950515005,-0.49461268406989595,0.0,-0.0013605100995377046,-0.001272761471745713,-0.0026649413852532595,-0.0003845544330422543,-0.4027109894631605,0.0,-0.0012375531077242186,-0.001190749052580483,-0.0025547938003935393,-0.00024002686597115523,-0.3663157198863687,0.0,-0.0011030224760516592,-0.0011031090187719782,-0.002343422413750777,-0.00017316601115378462,-0.3264946529112911,0.0,-0.0015538711919628706,-0.0013697384467161848,-0.003498549277058458,-0.00046575396464591573,-0.4599458728210097,0.0,-0.002298729634123225,-0.002360703962959593,-0.004259320801195739,-0.0008285881198524108,-0.6804239717004748,0.0,-0.0030299492718344127,-0.003193070309231829,-0.004690031917392257,-0.0010732318013404812,-0.8968649844629861,0.0
TZA.6_1,6.0,-0.003505999090744263,-0.00326309336707962,-0.004582813641924281,-0.002273526358518298,-1.0693297226770002,0.0,-0.003648252643213975,-0.003493698723903461,-0.004506351565310607,-0.0028975315481923336,-1.1127170561802622,0.0,-0.003496136448506977,-0.003325353926868668,-0.004461333292931131,-0.00271241716407165,-1.0663216167946277,0.0,-0.0035021734136323045,-0.0032271699764159674,-0.004707915757893606,-0.002638642653432964,-1.068162891157853,0.0,-0.0036425114522927976,-0.0033268783253028607,-0.005147302559750329,-0.0026482213191495172,-1.1109659929493034,0.0,-0.003166318573303001,-0.002591147842629344,-0.005245486562154934,-0.0016372883922338368,-0.9657271648574154,0.0,-0.002731161411967618,-0.0018045217595053266,-0.005689725182183789,-0.0008610073788062043,-0.8330042306501235,0.0,-0.00225384074964246,-0.0016645757310405954,-0.004235320590979917,-0.0008014885722150651,-0.6874214286409503,0.0,-0.002698297517265256,-0.002376326422596449,-0.00448990069672672,-0.0009275996863079539,-0.822980742765903,0.0,-0.002899389059355886,-0.0026012118198836787,-0.004251185508607452,-0.0014652865938934027,-0.8843136631035454,0.0,-0.003076641124361877,-0.002929689903884057,-0.0038839859624760437,-0.0023053666129593496,-0.9383755429303726,0.0,-0.0033093708984716554,-0.003200840101883672,-0.004011597890542565,-0.002561131291379775,-1.009358124033855,0.0
TZA.7_1,7.0,-0.003593226375398483,-0.003578972628768661,-0.00430651060065917,-0.003168738127277769,-1.4085447391562052,0.0,-0.00379742293550189,-0.003776628552552272,-0.004387282868941743,-0.0033741159943808064,-1.4885897907167407,0.0,-0.0035588246315785984,-0.003523094706830803,-0.0043051292728586345,-0.0031454707468594467,-1.3950592555788106,0.0,-0.003526251405864285,-0.003450562299017759,-0.0047921019693620654,-0.003105073445145101,-1.3822905510988,0.0,-0.003155528278852953,-0.003067715745658865,-0.005915645857542881,-0.002429003501391976,-1.2369670853103576,0.0,-0.0016915940646355515,-0.0015072606450519314,-0.005749878070022995,-0.001145739101538792,-0.6631048733371363,0.0,-0.001239013052524355,-0.0009903688807849833,-0.006288823704740153,-0.000740294795969763,-0.4856931165895472,0.0,-0.0010289069783633474,-0.0008776656083510378,-0.0038537602341034735,-0.0006339136958540269,-0.40333153551843215,0.0,-0.0010850071770632276,-0.000896028639540908,-0.004947968730615792,-0.0005331046564936098,-0.4253228134087852,0.0,-0.0014226750890205314,-0.001112996101404372,-0.005070240894789898,-0.0005984469350659474,-0.5576886348960484,0.0,-0.0025431686761051967,-0.0024549248818420038,-0.004963410384816772,-0.0019323334580711976,-0.9969221210332372,0.0,-0.003309868799089251,-0.003264533573853113,-0.004038478793205735,-0.002901025646612987,-1.2974685692429864,0.0
TZA.8_1,8.0,-0.0036388625229096007,-0.0035787421719026885,-0.004518073890063585,-0.0030498190306410444,-1.3027127832016372,0.0,-0.003755523130841747,-0.003760408354627185,-0.004457177645500487,-0.003195264224436922,-1.3444772808413452,0.0,-0.00358575871798447,-0.003510563367419985,-0.004535584479109892,-0.002991331330237643,-1.2837016210384404,0.0,-0.0034192040736570656,-0.003295973837730103,-0.0048704915355840105,-0.002664310962333208,-1.2240750583692297,0.0,-0.0035141038515083683,-0.003338654452176083,-0.0059373482430656824,-0.002596031272698016,-1.258049178839996,0.0,-0.002490631519377287,-0.0020244199842536724,-0.005764403470077708,-0.0013887641307906936,-0.8916460839370688,0.0,-0.001947105959411508,-0.0013001483014241845,-0.006342135963443517,-0.0008013182428226143,-0.6970639334693198,0.0,-0.0016107905296217668,-0.0011030948205966466,-0.004531958090636393,-0.0007034642935902636,-0.5766630096045925,0.0,-0.0018276793056775046,-0.0011639744717739926,-0.0053305887690706395,-0.0007943415307634801,-0.6543091914325467,0.0,-0.002385996234001368,-0.0017879103454728948,-0.0053101703233333535,-0.0011355465968095595,-0.8541866517724898,0.0,-0.003065705063282294,-0.0027615140594562213,-0.005036198623898145,-0.002298950667636143,-1.0975224126550611,0.0,-0.0033945911129565944,-0.0033075688214868576,-0.004401031072374652,-0.0028163618286284517,-1.2152636184384606,0.0
TZA.9_1,9.0,-0.00344424553156407,-0.0034155005860782217,-0.004130975219537454,-0.002732123942459293,-0.3616457808142273,0.0,-0.003662754108738558,-0.0037331262809986118,-0.0042996161291712475,-0.0024461990070403037,-0.38458918141754855,0.0,-0.003449411805638649,-0.003474856160890366,-0.003895707928936743,-0.0025840097231887398,-0.3621882395920582,0.0,-0.0029631331626297627,-0.0029775571770144487,-0.003447073782685269,-0.0022639745844867235,-0.311128982076125,0.0,-0.002854041777359941,-0.002856447203315228,-0.0033586153693363693,-0.002282397678754813,-0.2996743866227938,0.0,-0.0022389141138009004,-0.0022127422778869038,-0.0031271005571332352,-0.0013717998216458266,-0.2350859819490945,0.0,-0.0017028008922722947,-0.0016164034873273818,-0.002982835083466758,-0.0009725866149506207,-0.17879409368859098,0.0,-0.0015305570259659448,-0.0014821593656508846,-0.002923087839046667,-0.0007539969368606588,-0.1607084877264242,0.0,-0.0015624852447984493,-0.0014084303133263467,-0.0034722942457780593,-0.0006530594340494907,-0.16406095070383714,0.0,-0.001848090400512913,-0.0016246253366725867,-0.0037850622348993713,-0.0006525434205075407,-0.19404949205385588,0.0,-0.002795947087041457,-0.002721244057745213,-0.0036786896189049774,-0.0017688582870071024,-0.293574444139353,0.0,-0.0027841353458800968,-0.00273222149683568,-0.004116552557502726,-0.0008903284285667974,-0.2923342113174102,0.0
TZA.10_1,10.0,-0.00391449270071411,-0.003901373009610731,-0.004875360140721669,-0.00334955327191667,-2.055108667874908,0.19011406844106465,-0.004327030292003202,-0.004316979936343917,-0.005140237062502594,-0.003774533633308261,-2.2716909033016814,0.19011406844106465,-0.003877968873422108,-0.003860625894419468,-0.005055273600489765,-0.0034867651621577987,-2.0359336585466066,0.19011406844106465,-0.004066414356270792,-0.004061424920364956,-0.005180690102352723,-0.003460665788407125,-2.134867537042166,0.19011406844106465,-0.0030204790442123768,-0.0029924737000394065,-0.005026611859234926,-0.001956733054649084,-1.5857514982114982,0.19011406844106465,-0.0015000328687479695,-0.0014781648682365663,-0.0037238891303327812,-0.0007626843667246294,-0.7875172560926841,0.19011406844106465,-0.0011810194251727526,-0.0011221285659911036,-0.0036584273729762975,-0.0004890565481855512,-0.6200351982156954,0.19011406844106465,-0.0009867976469772495,-0.0009821995029335264,-0.0024373310626983704,-0.00034474329847957596,-0.5180687646630561,0.19011406844106465,-0.0009175176624330953,-0.0009043064324455783,-0.0026265744894793572,-0.0002911211003484848,-0.4816967727773751,0.19011406844106465,-0.0016257186587020009,-0.0016062131784214465,-0.003111883487545387,-0.000848881710176199,-0.8535022958185507,0.19011406844106465,-0.0021705665951360607,-0.0020893781602205077,-0.004085858283497525,-0.001061918456578389,-1.139547462446432,0.19011406844106465,-0.00212587204255505,-0.0018652486397055465,-0.004331308145948214,-0.0011780541042424664,-1.1160828223414014,0.19011406844106465
