GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
ZMB.1_1,1.0,-0.14326553951203833,-0.10916534812934042,-0.8266879181404587,0.5159618215781929,-108.452013410613,0.0,-0.7799534776462671,-0.7003157562710032,-1.5885941436378623,-0.21161974368855213,-590.4247825782243,0.0,-1.9838124112500988,-2.0726085563840946,-2.992755767645156,-0.08772009931572597,-1501.7459953163248,0.0,-2.0884447283769867,-2.170785624270984,-3.0860934927456127,-0.04041058887383951,-1580.9526593813794,0.0,-2.133743970870786,-2.235197124819364,-3.1490710553090056,0.01854653737179756,-1615.2441859491848,0.0,-2.1679922434727468,-2.2707896645201675,-3.2582421909408716,0.28374787265473944,-1641.1701283088696,0.0,-2.6111554516602205,-2.7205047150579316,-3.762091135019314,0.07262924282020337,-1976.644676906786,0.0,-2.3643259188708963,-2.4292117696519044,-3.5072479212631227,-0.2622447635304144,-1789.7947205852686,0.0,-2.780917239366532,-2.8167221883477933,-3.86803539060413,-0.7274557574549952,-2105.1543502004643,0.0,-2.8070967924437533,-2.797996400312081,-3.924824281291986,-1.147972135241102,-2124.9722718799208,0.0,-1.5353897235018117,-1.5490915322937793,-2.4017930752790906,-0.6767404844197933,-1162.2900206908714,0.0,-0.4793379495815295,-0.4135159244188609,-1.1868873538889282,0.018167696876569446,-362.8588278332178,0.0
ZMB.2_1,2.0,0.29091023915098924,0.28057963874112457,-0.08272438342824706,0.7209303730289432,74.47302122265323,0.0,-0.26296903376720204,-0.2287912525822663,-0.7096947314421165,0.09603241530624654,-67.32007264440371,0.0,-1.3606136350005675,-1.2929583424626312,-2.137979165380099,-0.9936957964648322,-348.31709056014535,0.0,-1.7364360528670173,-1.6898842938900929,-2.2930347595398106,-1.4150350816773891,-444.5276295339564,0.0,-1.81075159078136,-1.757097536866742,-2.342704066839644,-1.4748906036217548,-463.5524072400282,0.0,-1.7591741030658554,-1.7138227088721174,-2.3375348946858403,-1.4446160864426325,-450.348570384859,0.0,-2.1933217593762846,-2.1189125927677197,-2.8442870692995745,-1.7990631876283458,-561.4903704003291,0.0,-1.9814771583131998,-1.9289686235279144,-2.5422690733217546,-1.6907719924789213,-507.2581525281791,0.0,-2.30313463089692,-2.251524918751993,-2.9339400749569857,-1.89277865883594,-589.6024655096113,0.0,-2.1503947688264,-2.111351084936387,-2.8064638650168963,-1.7176642752409763,-550.5010608195585,0.0,-0.8699047059996227,-0.8105422332889258,-1.483334265087502,-0.4982510393892567,-222.6956047359034,0.0,-0.12433488563073955,-0.12090423303936094,-0.3766459506662773,0.2182109171640859,-31.829730721469325,0.0
ZMB.3_1,3.0,-0.32580391605765885,-0.27891004992819163,-1.0800344477221535,0.3709040465141085,-133.25380166758248,0.0,-1.0198194279703574,-1.0267847655700215,-1.9722392482413,-0.06877393623651012,-417.1061460398762,0.0,-1.5197377380871238,-1.55568520698739,-3.0386185048400485,0.2714476422709676,-621.5727348776336,0.0,-1.7513267038831954,-1.8321575566581063,-3.001901612032112,-0.007680758305239232,-716.2926218882269,0.0,-1.8122030258467248,-1.9315079414466183,-3.2644921747390847,0.39041113483287787,-741.1910375713106,0.0,-1.7658172827346377,-1.932214938694235,-3.46713875011942,0.6911573895562779,-722.2192686384668,0.0,-2.1345608344429152,-2.276190307432858,-3.804454269421187,0.4211261273794205,-873.0353812871523,0.0,-2.1571699490079523,-2.2181220794011205,-3.7720900744555736,-0.18891112505767602,-882.2825091442526,0.0,-2.717661625851657,-2.7372378309951078,-4.3627166678819265,-0.95928177963357,-1111.5236049733276,0.0,-2.9110837299534924,-2.913649239341112,-4.565297440684773,-1.2674087431504188,-1190.6332455509785,0.0,-2.5237862658689703,-2.5553660857952645,-3.931776417364776,-0.9217519865408575,-1032.228582740409,0.0,-0.7900091063853539,-0.8056063537229046,-1.4344377567198972,-0.10557439369347447,-323.1137245116098,0.0
ZMB.4_1,4.0,0.5141497280743851,0.5068877834420998,-0.1850060522307589,1.355977257351089,205.14574150167962,0.0,-0.18688610228910474,-0.18464181109716507,-0.4344737524801193,0.2359735306791557,-74.5675548133528,0.0,-0.9767484396127368,-1.0646724612912182,-2.4594628560683547,0.2232566078953959,-389.722627405482,0.0,-1.6538333959873297,-1.7494546782596292,-3.017056411776216,-0.11534532743853175,-659.8795249989445,0.0,-1.7511031831600454,-1.951722760400777,-2.8631943699651847,0.5300642727166891,-698.6901700808581,0.0,-1.6021421393521451,-1.8821066640981488,-2.676813531607574,1.059782728246535,-639.254713601506,0.0,-1.9677491066797543,-2.268276252082343,-3.1917087183573813,0.830965915424535,-785.1318935652223,0.0,-1.5817370844179808,-1.923516655885104,-2.674417306343676,0.9796133223029688,-631.1130966827743,0.0,-1.81437643291866,-2.1704134340359054,-2.941420679160776,0.5814575328350395,-723.9361967345453,0.0,-1.59492072328978,-1.7687637786264283,-2.985082833327357,0.35585855991346704,-636.3733685926222,0.0,-0.465785275276557,-0.4675351031830224,-1.2330002296293496,0.7572145735599296,-185.84832483534626,0.0,0.05027636173337791,0.0380179928757754,-0.28143925452856466,0.4736834115841633,20.060268331617788,0.0
ZMB.5_1,5.0,-0.7605773734670254,-0.7188878841436748,-1.3380619371204057,-0.3690745331889624,-136.1433498505975,0.0,-1.1806108837860163,-1.1573493733744362,-1.590348331291186,-0.5525242351930154,-211.32934819769696,0.0,-2.038789381568116,-1.972988592868588,-2.8360900175478387,-1.0823447631823444,-364.94329930069273,0.0,-1.9799633587963918,-1.880567430331047,-2.846205406261938,-1.2129459846318955,-354.4134412245542,0.0,-2.057949986106648,-1.9909489186350249,-2.9027019075558806,-1.0021750926282738,-368.3730475130899,0.0,-2.050636129077812,-1.9446526760523148,-3.0323818681357477,-0.9356006616657768,-367.0638671049283,0.0,-2.4709094427226024,-2.4050540947172014,-3.4793575442005107,-1.258512067834167,-442.2927902473458,0.0,-2.2894522358505625,-2.177435945449453,-3.275265422839213,-1.1077666633483028,-409.8119502172507,0.0,-2.799560628209131,-2.7151774857523576,-3.6514341312501024,-1.6072356904575982,-501.1213524494345,0.0,-3.0482211870968663,-2.9860686942562364,-3.7979024192031225,-1.8642711716869969,-545.631592490339,0.0,-1.902729978103332,-1.9238355571714825,-2.5333503134101707,-1.3622253636870525,-340.58866608049635,0.0,-0.9080324441597168,-0.8800684376037914,-1.470457582053343,-0.3309052691166529,-162.5378075045893,0.0
ZMB.6_1,6.0,0.4171301628294831,0.4225346796226848,-0.18637943169555227,1.0916737337731468,287.8198123523433,0.0,-0.20292636290698232,-0.2198494773199436,-0.716117655591379,0.2983921153621471,-140.0191904058178,0.0,-0.7387683170392063,-0.7517791481120157,-2.392424034939117,0.6680180475437939,-509.7501387570524,0.0,-1.1134148983327543,-1.3095353532964162,-2.7876894956747527,0.6534761233095291,-768.2562798496002,0.0,-1.186684117671843,-1.4187320419564555,-3.050374993853563,1.0453342263642131,-818.8120411935716,0.0,-1.0989480820461601,-1.3413105687025553,-3.032375199844523,1.2998201005387058,-758.2741766118504,0.0,-1.3440254970879488,-1.6025435910805321,-3.3227792714968074,1.1185546223395952,-927.3775929906848,0.0,-1.422072274153778,-1.7071770081529496,-3.282581451288137,0.5994422980539955,-981.2298691661067,0.0,-1.8332822379870024,-2.0621857242894395,-4.0210472524856575,0.08084302869457408,-1264.9647442110318,0.0,-2.1068778557704357,-2.2764801093998663,-4.490350230726131,-0.17676385000264885,-1453.7457204816008,0.0,-1.4246076928566884,-1.3654953270797452,-3.833110184283848,-0.334437513281122,-982.9793080711148,0.0,-0.09612456217893367,-0.10410803741351764,-0.7813412174094327,0.3542031926357931,-66.32594790346424,0.0
ZMB.7_1,7.0,0.5199131861191473,0.5096141852131468,0.006838534487936384,1.172744300091376,519.9131861191473,0.0,0.1421592101764344,0.11961564673589616,-0.6018815255802772,0.5561333690107438,142.1592101764344,0.0,-0.9497944881817728,-0.928799060076871,-2.1459669924748237,-0.3972994697384937,-949.7944881817727,0.0,-1.4794865498732683,-1.4588707208604368,-2.3617843448048617,-0.9967352562127342,-1479.4865498732684,0.0,-1.698232060311684,-1.6793021243959094,-2.427141556003916,-1.2014367089528255,-1698.2320603116839,0.0,-1.6428033172773553,-1.6145294238964798,-2.5106906318748505,-1.1336419218152631,-1642.8033172773553,0.0,-2.153760376385283,-2.127870699627871,-3.1281927023054736,-1.6418850516155499,-2153.760376385283,0.0,-1.6175793844336552,-1.6285358480353729,-2.7414814203245967,-1.074903659505497,-1617.5793844336554,0.0,-1.9050509717580868,-1.8927618303397336,-3.1872309032664816,-1.1445091650561192,-1905.050971758087,0.0,-1.3964369882650014,-1.3983427110895517,-3.0998161464985428,-0.3155391258397716,-1396.4369882650014,0.0,-0.4007507086103757,-0.35627132682903273,-1.3212479761675575,-0.006826875890167458,-400.7507086103757,0.0,0.28067634754924675,0.2473363435770093,-0.364144342182005,0.9107358830927323,280.6763475492468,0.0
ZMB.8_1,8.0,0.6193530709623547,0.6542253009643026,-0.2629821107380093,1.305343963152314,392.6698469901329,0.0,-0.1841121390198632,-0.1736982262091524,-0.42292882593374,0.07534426826820194,-116.72709613859327,0.0,-0.7802823627965528,-0.8581776665722558,-2.4074179581086,-0.03442510315432413,-494.69901801301455,0.0,-1.6674398048507142,-1.7195789602117484,-2.9690567453767573,-0.6110080527300157,-1057.1568362753528,0.0,-1.9122935235120264,-1.9777275587338576,-2.8663616826362133,-0.6777863607079192,-1212.3940939066251,0.0,-1.7687509848481835,-1.8774248551897823,-2.546858435643212,-0.1971493825687793,-1121.3881243937483,0.0,-2.032742076244926,-2.121872916065893,-3.177103143193272,-0.29978826599861474,-1288.7584763392833,0.0,-1.6669749685328714,-1.8122555290046,-2.4873699703879164,-0.06415552673615615,-1056.8621300498403,0.0,-1.8100413122384047,-1.9455301175710369,-2.909160624552161,-0.2295177349285132,-1147.566191959149,0.0,-1.650470523192786,-1.8509311762486813,-2.9655737701442924,0.2709356881096343,-1046.3983117042262,0.0,-0.6016181730955469,-0.5637716313365128,-1.7458589670811862,0.2661820408803156,-381.4259217425768,0.0,0.03497042292766862,0.04352777557685087,-0.2754836440844056,0.3493447757287949,22.17124813614189,0.0
ZMB.9_1,9.0,-0.749621340322356,-0.7875344707316659,-1.6951940625360282,-0.1278517893163246,-518.7379675030703,0.0,-1.3450737155102772,-1.4395519894187667,-2.3618394335156,-0.5407470728842338,-930.7910111331121,0.0,-1.96078518063065,-2.0336670205747067,-2.8082060224766656,-0.5305356830125949,-1356.8633449964098,0.0,-1.980704074648847,-2.1206236020393217,-2.889178204311738,-0.3637213526824487,-1370.6472196570019,0.0,-1.8686451120197407,-2.0724681079857157,-2.888275232651744,-0.0092715592783304,-1293.1024175176606,0.0,-2.057620722744809,-2.2738776457356336,-2.986292044825892,-0.0641598040026922,-1423.8735401394079,0.0,-2.430311181374539,-2.6477315420703875,-3.4607915982825808,-0.36286288578411774,-1681.775337511181,0.0,-2.0893632976771226,-2.12716728351619,-3.1938013522815067,-0.4280552929372668,-1445.8394019925684,0.0,-2.7306029449281564,-2.7619994352755266,-3.603999632228108,-1.0507077649803451,-1889.577237890284,0.0,-2.9443545560624083,-2.8952030040310484,-3.7847027733035823,-1.6110567163580358,-2037.4933527951864,0.0,-1.3337246724226883,-1.3302728327533049,-2.084044910690336,-0.5159377941521079,-922.9374733165004,0.0,-1.0699299784695462,-1.0755361915807322,-2.8358544719721857,-0.32240616785644544,-740.3915451009259,0.0
ZMB.10_1,10.0,-0.05529136590711752,-0.030625582464751593,-0.7679048408760869,0.5502415783222873,-57.1712723479595,0.0,-0.4233650078405636,-0.3864520232095301,-1.6479027674789473,0.4757053653686077,-437.7594181071428,0.0,-1.296175176842753,-1.2856309014138028,-2.2708166896556348,-0.7040771910414939,-1340.2451328554064,0.0,-1.6299031346464337,-1.6041119015658891,-2.421902884914316,-1.1238652828950488,-1685.3198412244126,0.0,-1.8933700482462263,-1.8765855297943543,-2.4859194960079787,-1.4810516316843896,-1957.7446298865984,0.0,-1.974406531733174,-1.9597478034073508,-2.7056034510610307,-1.5536446856137656,-2041.5363538121007,0.0,-2.4463513189863955,-2.445457553741728,-3.1649000882110787,-1.9752641150163903,-2529.527263831933,0.0,-1.8021019844530408,-1.755426217189739,-2.6188566441384578,-1.4210429627951535,-1863.373451924444,0.0,-2.2133804983852685,-2.166167845555535,-3.1937767138715865,-1.6682318149012088,-2288.635435330368,0.0,-1.860573596603674,-1.9081907308224064,-3.056138306529622,-0.5848566894364859,-1923.833098888199,0.0,-0.7889525064699161,-0.7764862805098103,-1.4902333012232625,-0.2375637835518252,-815.7768916898932,0.0,-0.25271680659816903,-0.2660787105285469,-1.3312198994555118,0.6424104672653603,-261.30917802250684,0.0
