GID_2,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
GAB.1.1_1,1.0,-0.003250735846252695,-0.003281282643159668,-0.0036639051332695155,-0.0027872832587704506,-0.24055445262269945,0.0,-0.0034847795070140123,-0.003486300483104038,-0.0039001659896616006,-0.003057162327856128,-0.2578736835190369,0.0,-0.0036911968191663366,-0.0036984088294329397,-0.003963498994791764,-0.003376338899577451,-0.2731485646183089,0.0,-0.00353487875126696,-0.0035599403364527174,-0.003769877609155583,-0.003209148952177379,-0.261581027593755,0.0,-0.0032942612894301987,-0.0033016135254629662,-0.003640999046943339,-0.00285701554292214,-0.2437753354178347,0.0,-0.00261849817893524,-0.0026388626701258147,-0.002962569712084757,-0.002148297583450615,-0.19376886524120776,0.0,-0.002355682741189637,-0.0023516032961585017,-0.002826431657887303,-0.0019339773049103519,-0.17432052284803315,0.0,-0.002190089672706803,-0.0021451451287221586,-0.002839855278377168,-0.001675894477877353,-0.16206663578030342,0.0,-0.002581622352058928,-0.002564828860495673,-0.0031274435898615035,-0.0020768252643653985,-0.19104005405236066,0.0,-0.002906751542109779,-0.002913142114993035,-0.003153120825841538,-0.002569671569437547,-0.2150996141161237,0.0,-0.0031285185655791693,-0.003130623591148832,-0.003410762607833873,-0.002778654427263634,-0.2315103738528585,0.0,-0.003230157139965251,-0.003224113283599804,-0.003723618539005312,-0.0027039640592410037,-0.2390316283574285,0.0
GAB.1.2_1,2.0,-0.003701971292308657,-0.003689707831323621,-0.004362735938413954,-0.0031781707463650897,-0.16658870815388954,2.1739130434782608,-0.003962461712605395,-0.003921077152703149,-0.0046440194439027185,-0.003415970958608859,-0.1783107770672428,2.1739130434782608,-0.0041230099592206425,-0.004113664263117409,-0.004942984430632518,-0.0036271038080173718,-0.18553544816492887,2.1739130434782608,-0.003831366693757557,-0.0037943462422743647,-0.004656586159526193,-0.003385627928290078,-0.17241150121909007,2.1739130434782608,-0.003818463455503172,-0.003801294815250391,-0.004658445026376214,-0.003238364588520122,-0.17183085549764274,2.1739130434782608,-0.0032320354384486106,-0.0032460541171197245,-0.004398734772188004,-0.0025662958860311513,-0.14544159473018747,2.1739130434782608,-0.002697768351652351,-0.002656277097000525,-0.003736314292563785,-0.0021763837484701275,-0.1213995758243558,2.1739130434782608,-0.0024181854314828345,-0.0022587801373751396,-0.003973187039737488,-0.0017169765030924573,-0.10881834441672757,2.1739130434782608,-0.002782861305455026,-0.0027285329351534,-0.0040667942632562435,-0.002080401538316116,-0.12522875874547618,2.1739130434782608,-0.0033062382560688037,-0.003226410676041945,-0.004438667833204075,-0.0027301178502531893,-0.14878072152309615,2.1739130434782608,-0.0036064921264829827,-0.003546431934791483,-0.00457957788027126,-0.0030505028805833108,-0.16229214569173422,2.1739130434782608,-0.003847467200541184,-0.003822119356265373,-0.004692093179884832,-0.0032074503577023553,-0.1731360240243533,2.1739130434782608
GAB.1.3_1,3.0,-0.003242497247049276,-0.003244401120705989,-0.0036127475944287726,-0.002920136920093265,-0.1199723981408232,2.631578947368421,-0.0035455097146173944,-0.0035298225228969603,-0.003903542448006008,-0.0031860149722168912,-0.1311838594408436,2.631578947368421,-0.003778490141063624,-0.003730765848436805,-0.0042137739108936865,-0.0034326043407429,-0.1398041352193541,2.631578947368421,-0.003595403246916678,-0.003571492726369914,-0.003914985629932018,-0.003390813963638848,-0.1330299201359171,2.631578947368421,-0.0033955429069016424,-0.0033076953827609816,-0.003840257675624422,-0.0030696603566284448,-0.12563508755536076,2.631578947368421,-0.0028128049453905873,-0.002799732023652703,-0.003221954264410199,-0.0025322457590934203,-0.10407378297945173,2.631578947368421,-0.0026329844563074177,-0.0026413296714911877,-0.003025803743039725,-0.0022425560153767686,-0.09742042488337443,2.631578947368421,-0.0027238151890172555,-0.0027138043722785108,-0.003274780419388485,-0.002329090892621564,-0.10078116199363846,2.631578947368421,-0.002754498190099441,-0.0027404548138587736,-0.003180528358018919,-0.0023841786344557035,-0.10191643303367932,2.631578947368421,-0.0029650039771189213,-0.002935198690768409,-0.003615711129376272,-0.0027235662811469497,-0.10970514715340013,2.631578947368421,-0.0031578707800710465,-0.0031384210821696536,-0.0037551102262723406,-0.002878863035288721,-0.11684121886262873,2.631578947368421,-0.003238868875466863,-0.00324284923042488,-0.0036883588557784213,-0.0028713822228592038,-0.11983814839227393,2.631578947368421
GAB.2.1_1,4.0,-0.0040842780999123095,-0.004060263378820086,-0.00446691911167791,-0.0038000348911406256,-0.07760128389833387,0.0,-0.004254006328427079,-0.004205952289428529,-0.0045674474033593395,-0.004068498284135633,-0.0808261202401145,0.0,-0.004420564358408169,-0.0043647032300781355,-0.004698468733160605,-0.0042891168031540415,-0.08399072280975521,0.0,-0.003912199877402422,-0.003875966631340082,-0.004176990756079628,-0.0037120034237177616,-0.07433179767064604,0.0,-0.003738572481859328,-0.0036940902493882337,-0.004055818361088277,-0.0034750744464825444,-0.07103287715532723,0.0,-0.0032881279853885,-0.0032844286315970683,-0.003514200922957061,-0.0030491927355007628,-0.062474431722381485,0.0,-0.002693285690024461,-0.0026931891522994945,-0.002895201221928916,-0.002404072739348009,-0.051172428110464775,0.0,-0.0024744169827384268,-0.002497263235603051,-0.002590998372382588,-0.002331346541891196,-0.047013922672030105,0.0,-0.003299076856977339,-0.0032786692015421845,-0.0035427390823331343,-0.003064807270536317,-0.06268246028256944,0.0,-0.003433131128403605,-0.0033850427662406746,-0.003697606616824724,-0.0032261187694974554,-0.06522949143966847,0.0,-0.003777403271490283,-0.003735310617531415,-0.004040428964001998,-0.0035509308865991525,-0.07177066215831537,0.0,-0.0037974733834251436,-0.0037014189644127243,-0.004157704316419905,-0.003527955747792639,-0.07215199428507774,0.0
GAB.2.2_1,5.0,-0.003899571952533855,-0.0038613058345292523,-0.004360918500909109,-0.0035184634644848923,-0.1910790256741589,0.0,-0.0039298275808559045,-0.003924544327447225,-0.004251377149747738,-0.003483779737737305,-0.19256155146193926,0.0,-0.0042226068593319175,-0.004212435673302105,-0.004532137637113517,-0.003773625100750612,-0.2069077361072639,0.0,-0.003884888235565157,-0.0039088944249269,-0.004209230231415165,-0.003382347435500667,-0.1903595235426927,0.0,-0.003678154112620154,-0.0036493001092586437,-0.004097504861194652,-0.003277874028980175,-0.18022955151838754,0.0,-0.003124145193697757,-0.0031376681483362497,-0.003582878120987876,-0.002605634486921279,-0.1530831144911901,0.0,-0.002471148646765851,-0.002516640391741952,-0.002754431920225788,-0.0019375488243666594,-0.12108628369152673,0.0,-0.002275189136633745,-0.0022828913707641065,-0.0024835816187744266,-0.0019950513887915322,-0.11148426769505353,0.0,-0.003145364638796511,-0.003142155193665853,-0.0035285509985478383,-0.00280753380563369,-0.15412286730102906,0.0,-0.003362370488910886,-0.003353277170129625,-0.00371505658388664,-0.003008959071271208,-0.16475615395663346,0.0,-0.003688749733276895,-0.003690599723029422,-0.003965865219870876,-0.0032970774063679122,-0.18074873693056784,0.0,-0.0036015691318088384,-0.0035740572041758133,-0.0041054608630780145,-0.003217912095539025,-0.17647688745863307,0.0
GAB.2.3_1,6.0,-0.003910177926783089,-0.003916957303869289,-0.004574452254806846,-0.00346718842671126,-0.17595800670523898,0.0,-0.004161334340227272,-0.004148258294659233,-0.004668639795085959,-0.003853499223942565,-0.1872600453102272,0.0,-0.0043282359757162905,-0.0043359156182147,-0.004732349683241709,-0.004085178358484339,-0.1947706189072331,0.0,-0.0038246678963341717,-0.00382120769928053,-0.004120001167104882,-0.003615193783512394,-0.17211005533503773,0.0,-0.003500414091810305,-0.0035025375322073576,-0.0038589157100226415,-0.0031560311718350155,-0.15751863413146372,0.0,-0.002866680481863195,-0.002821185652811575,-0.0034621056259645936,-0.0023843385827879244,-0.1290006216838438,0.0,-0.002240771073116936,-0.002231040622491437,-0.0028066208273302517,-0.0017694909309630797,-0.10083469829026212,0.0,-0.0021717160042209133,-0.0022004626060176924,-0.0026390164053923105,-0.0017541281143528822,-0.0977272201899411,0.0,-0.0028378205581953346,-0.002783485276211637,-0.003600977124887117,-0.002335690842909073,-0.12770192511879006,0.0,-0.003260806239305072,-0.003242408165540766,-0.0036229304865188867,-0.0030625664243225594,-0.14673628076872824,0.0,-0.003462328665613528,-0.003449314802605445,-0.0037824058993854936,-0.003195357298915661,-0.15580478995260874,0.0,-0.003492060969897617,-0.003469568667692311,-0.003937049923284508,-0.0031460085582854284,-0.15714274364539274,0.0
GAB.2.4_1,7.0,-0.004035679217166364,-0.004048825982712815,-0.004445761565592525,-0.0036627797627166734,-0.1694985271209873,0.0,-0.004080481628595739,-0.0040970528377480865,-0.0044597631964853725,-0.003644651976677882,-0.17138022840102105,0.0,-0.004327326240133485,-0.004337012054490943,-0.0046346240343378645,-0.003896271097447425,-0.1817477020856064,0.0,-0.003813247813649869,-0.0038240531084775546,-0.004155873548320116,-0.0034786286649203467,-0.1601564081732945,0.0,-0.0035404973005586865,-0.0035217419868315203,-0.003984734959716609,-0.003150619759047511,-0.14870088662346484,0.0,-0.002899051779648526,-0.0029377451403516178,-0.0034865028658986425,-0.002405723452236328,-0.12176017474523808,0.0,-0.0022354848331589973,-0.0022588784862514035,-0.0028486807076170536,-0.0017678620994126984,-0.09389036299267788,0.0,-0.0021599521430408705,-0.0022005944155665353,-0.002517139337716496,-0.0017567452834090056,-0.09071799000771656,0.0,-0.00296582876054425,-0.003009360202291555,-0.0035565023059090095,-0.002373994995476938,-0.1245648079428585,0.0,-0.0033340370555160967,-0.003336186450322954,-0.0037008926673055813,-0.003025221892770897,-0.14002955633167602,0.0,-0.003657333208189217,-0.0036633270021694093,-0.004086705047541888,-0.0032831508372707266,-0.15360799474394712,0.0,-0.003584238666281663,-0.0035875432515633937,-0.0040621911165044395,-0.0031912438741889065,-0.15053802398382982,0.0
GAB.2.5_1,8.0,-0.003952141280657625,-0.003944705562253799,-0.0042691251165112645,-0.0036301079176536562,-0.1738942163489355,0.0,-0.003874150057606204,-0.0038807772430751344,-0.004177589227550159,-0.0035432411551049436,-0.170462602534673,0.0,-0.004135032442485111,-0.004129106961862748,-0.0044412635637312535,-0.003823844638621908,-0.1819414274693448,0.0,-0.0036997748734240157,-0.003710612528076157,-0.004048295280368089,-0.003424597199674673,-0.1627900944306567,0.0,-0.0035462938521652826,-0.003538104336081589,-0.0039075410028976,-0.0032095119453088325,-0.15603692949527245,0.0,-0.0029680528528685537,-0.0029197297634135197,-0.0033012034415164032,-0.002443056845596411,-0.13059432552621636,0.0,-0.0022197138509123288,-0.002136833453596084,-0.002641221236982355,-0.0018146458618210715,-0.09766740944014247,0.0,-0.0021395414975753767,-0.0021206623235715144,-0.00233924905181523,-0.001866973545861905,-0.0941398258933166,0.0,-0.0030863637546602474,-0.003090447980714264,-0.0034803339275772376,-0.002630053224562269,-0.1358000052050509,0.0,-0.003270046328669496,-0.0032471139758124233,-0.0035244075868821213,-0.0030171156767917736,-0.14388203846145786,0.0,-0.003518334837657731,-0.003510856129573987,-0.0038097236210515866,-0.0033204309986008297,-0.15480673285694016,0.0,-0.0035219582550783937,-0.0035166310336615177,-0.003857019120922385,-0.0032006256884465844,-0.15496616322344933,0.0
GAB.2.6_1,9.0,-0.0033678585780325195,-0.00336883411696835,-0.0036976570650181454,-0.0031065304139274515,-0.2559572519304715,0.0,-0.003780311299893689,-0.00379941070987646,-0.004037046612536436,-0.003558178446211629,-0.2873036587919204,0.0,-0.0041935410250851434,-0.004221751417969248,-0.00431434078768656,-0.003949663582722628,-0.3187091179064709,0.0,-0.0040245282685237894,-0.004033729974342,-0.004148478131885397,-0.0038680660777481,-0.3058641484078081,0.0,-0.003734845494769268,-0.00374717532945755,-0.003929666622063257,-0.00350246312244202,-0.28384825760246435,0.0,-0.003055703807834725,-0.0030394759415876124,-0.003371949391244826,-0.002879149608955961,-0.2322334893954391,0.0,-0.0024970939983888136,-0.002531419632822553,-0.002810230081586765,-0.0022546279742203497,-0.18977914387754985,0.0,-0.0023231106357572825,-0.0023017018195223018,-0.002654465758811621,-0.0021165039501683867,-0.17655640831755348,0.0,-0.0030653901805988326,-0.003044282336630425,-0.0033178468274316,-0.002909985609320425,-0.2329696537255113,0.0,-0.003338064045805622,-0.0033467654327089787,-0.0034589143029919787,-0.003196868170045799,-0.2536928674812273,0.0,-0.003623274092486411,-0.003626517362746958,-0.003847422965443851,-0.003414636992155423,-0.27536883102896725,0.0,-0.003329984623488209,-0.003340543093721421,-0.0036297700440125424,-0.003093828935446109,-0.25307883138510384,0.0
GAB.3.1_1,10.0,-0.003302840383350348,-0.00331782101187102,-0.003891994505876296,-0.0027169380307141664,-0.2510158691346264,0.0,-0.0036344507769839936,-0.0036376098747911024,-0.004218813459913967,-0.0030332786237370624,-0.2762182590507835,0.0,-0.003862447446814153,-0.0038636620360963797,-0.004187697930987932,-0.0033351742401230857,-0.2935460059578757,0.0,-0.003667401628669577,-0.003675955496852896,-0.003985361340972256,-0.0031682818458597085,-0.27872252377888784,0.0,-0.003437584722623984,-0.003417755245327075,-0.0038846036499167423,-0.0029065873822809595,-0.26125643891942274,0.0,-0.002638679257120272,-0.0026750805958888624,-0.0031389475127560924,-0.0022419702351512078,-0.20053962354114066,0.0,-0.002307825400916741,-0.002361864302954722,-0.002820650381730912,-0.001897191663387171,-0.1753947304696723,0.0,-0.002195005299375812,-0.0022341694210269397,-0.0027175288513221216,-0.0017338527345994975,-0.16682040275256171,0.0,-0.002660359263670448,-0.0026637195264985524,-0.003210064054481444,-0.0022403656125524127,-0.20218730403895405,0.0,-0.003059410900846923,-0.003060599354036548,-0.0034553524638110005,-0.0026210954568849647,-0.2325152284643661,0.0,-0.003274702964512776,-0.003311201914925484,-0.003627937064700385,-0.0027851236893982746,-0.248877425302971,0.0,-0.003381253562990131,-0.003415716585205513,-0.003914174848445107,-0.0027883632412051274,-0.25697527078725,0.0
