GID_2,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
GHA.1.1_1,1.0,292.2212008979416,292.24666312763657,291.45865387428074,293.0983201516785,1753.3272053876494,0.0,293.59630191399106,293.6358889936172,292.828196197839,294.52051475026263,1761.5778114839466,0.0,296.65708512036764,296.6688788316044,296.27626780355024,297.04121758860873,1779.9425107222055,0.0,296.3913234073931,296.404200360552,296.04184795859163,296.7236069768934,1778.3479404443585,0.0,296.3013911033576,296.31294906394834,295.9381595474024,296.6634886955485,1777.8083466201456,0.0,295.65319170004835,295.66492414905974,295.31957862933046,295.9596318514965,1773.9191502002905,0.0,294.3998858306841,294.40568890963084,294.0758835757375,294.7091031753164,1766.3993149841046,0.0,293.3111040055598,293.31140749852705,292.9657735295428,293.671265821588,1759.8666240333594,0.0,294.79886595417736,294.79689615106685,294.47844918442024,295.10332059643065,1768.7931957250644,0.0,295.5351014308721,295.5368074816648,295.21735461651247,295.828365968295,1773.2106085852322,0.0,295.80992392442073,295.82384531762204,295.44366371958944,296.14956549122064,1774.8595435465243,0.0,295.4672033753275,295.46798548156534,295.1279383220688,295.83216790618616,1772.8032202519648,0.0
GHA.1.2_1,2.0,292.5886499843787,292.68053276491037,291.22556484493595,293.4517312973514,3803.652449796923,0.0,294.055349197603,294.1252461821468,292.7272839297624,294.80932349046384,3822.719539568839,0.0,296.8610460530548,296.92675627676465,296.33827428311383,297.0810005898793,3859.1935986897133,0.0,296.5472029391267,296.61464180140223,296.0769557957223,296.75039869889036,3855.113638208647,0.0,296.49171341931753,296.5517160420931,295.97925122198995,296.7087054830122,3854.392274451128,0.0,295.82211965463944,295.88925201062364,295.35714990687364,295.9745215413776,3845.687555510313,0.0,294.57200294996073,294.6461950877252,294.139400924093,294.7193111983136,3829.4360383494895,0.0,293.50186766490316,293.58304634507215,293.03693739661566,293.69073976853275,3815.5242796437415,0.0,294.9661171375143,295.05111345113545,294.5330422489525,295.11941263981726,3834.5595227876856,0.0,295.71233107202687,295.7860934244396,295.25408397784327,295.85593327626776,3844.2603039363507,0.0,295.9625346916222,296.0299358323268,295.4447255422277,296.2212961425796,3847.512950991089,0.0,295.60646505439024,295.6903399040479,295.110078444692,295.92156873825354,3842.884045707073,0.0
GHA.1.3_1,3.0,287.4278091327708,287.38951055091286,285.9898911445633,288.43533280665014,1437.1390456638544,0.0,288.0119551377801,287.9423393136202,286.1880002620253,289.3053313698188,1440.0597756889001,0.0,296.0247979860505,296.0454655102419,295.83579337309226,296.15931879213275,1480.1239899302525,0.0,295.9220076540472,295.9262520524352,295.7610489991575,296.01978417174604,1479.6100382702357,0.0,295.7338480850004,295.7419472434902,295.57120405984574,295.8251410428324,1478.6692404250018,0.0,295.2716054510505,295.25694548114535,295.1340943742045,295.3648044000771,1476.3580272552524,0.0,294.0885558947338,294.06718748753605,293.9325102350773,294.2060338882863,1470.4427794736691,0.0,292.8848568051829,292.8731835668509,292.6953086236188,293.02842173575436,1464.4242840259146,0.0,294.67098216933965,294.643133684646,294.5403876065723,294.7899911127133,1473.3549108466987,0.0,295.2007170884429,295.1994549761912,295.03169547912626,295.32659113421073,1476.0035854422144,0.0,294.8949577752888,294.99453773519645,294.5078575864617,295.16903970048736,1474.474788876444,0.0,294.22036251561605,294.2733850503932,293.8052780299412,294.49234260503056,1471.1018125780802,0.0
GHA.1.4_1,4.0,288.58913806334044,288.647273035201,287.9034014276157,289.1485854250848,1731.5348283800427,0.0,288.7693409607103,288.89342508297693,287.94672130685007,289.451890671962,1732.6160457642618,0.0,296.1212945158676,296.15612807986906,295.8931703933639,296.36802172894124,1776.7277670952053,0.0,295.98197927267637,296.0223874507284,295.73066891590094,296.2187054407284,1775.8918756360583,0.0,295.7284308558676,295.76942260511953,295.4695259707364,295.9640856428905,1774.3705851352054,0.0,295.2808874028495,295.31958236068454,295.04781223137013,295.48377778840216,1771.6853244170968,0.0,294.07273782363643,294.1219073247204,293.7955590453348,294.28270786137716,1764.4364269418186,0.0,292.9223071447964,292.98182750915225,292.58173432750203,293.15883545119175,1757.5338428687785,0.0,294.6387777663012,294.6967920484933,294.3261635778911,294.83971305546766,1767.8326665978068,0.0,295.3028984353114,295.3488251692446,295.0332512701124,295.5240220953782,1771.8173906118682,0.0,295.16525133761866,295.20869431466787,294.9534071336745,295.3532696578182,1770.9915080257126,0.0,294.34383929578536,294.3690625586694,294.17315155151465,294.5100265507221,1766.0630357747125,0.0
GHA.1.5_1,5.0,287.8771998001669,288.25126079021527,285.98317774815064,289.3238302744162,3166.6491978018357,0.0,288.3767818171961,288.74752426379456,286.2233655433493,290.0633043298699,3172.144599989157,0.0,295.9763141990763,295.92968853898117,295.6157082931658,296.35885977823864,3255.739456189839,0.0,295.83944034990503,295.7992677670983,295.45484781076635,296.1915964046553,3254.2338438489555,0.0,295.60629430874377,295.56942984303436,295.196391153293,295.96890932840284,3251.669237396181,0.0,295.1898780036372,295.1621134036562,294.8092438197029,295.5096651693825,3247.088658040008,0.0,293.9987854777424,293.98312766363944,293.5511335679815,294.3505410713862,3233.9866402551647,0.0,292.8307645327354,292.81626752368777,292.29970418421885,293.20714311892414,3221.1384098600893,0.0,294.5876467267852,294.596882244823,294.0660640036395,294.9142265727941,3240.464113994637,0.0,295.1680533390118,295.14001600795916,294.76076472194563,295.508437520326,3246.848586729131,0.0,295.00722962141975,294.9835463113729,294.67110809610415,295.4347342566299,3245.079525835617,0.0,294.2746105910778,294.2304039909138,293.89698279907486,294.77742682044953,3237.020716501856,0.0
GHA.1.6_1,6.0,291.9489815232643,291.9626748436653,291.31575788586593,292.5332274159852,2335.5918521861145,0.0,293.24520420853355,293.22517937576663,292.5347152393795,293.94312451483535,2345.9616336682684,0.0,296.6911036556244,296.6841459541216,296.4854184390847,296.90450365542864,2373.528829244995,0.0,296.4439788150047,296.4469881337648,296.28452728334224,296.5902802035146,2371.5518305200376,0.0,296.3299171013662,296.32221787249216,296.1477149023029,296.5175368496608,2370.639336810929,0.0,295.7042919490528,295.717648875537,295.57102528670487,295.81541292196613,2365.634335592423,0.0,294.46251057158,294.47325651843465,294.3358570884702,294.56892651862125,2355.70008457264,0.0,293.3632346618137,293.3688666491298,293.21638766405516,293.48207056414145,2346.905877294509,0.0,294.8639605174904,294.87990218121206,294.760449622731,294.9424396564878,2358.911684139923,0.0,295.6095674473333,295.6176921925878,295.4927874547804,295.6996298654477,2364.876539578667,0.0,295.85067098548814,295.87581244604326,295.6574645620052,296.00675516795906,2366.805367883905,0.0,295.48892989157287,295.50466416103745,295.2660735548035,295.700710629196,2363.911439132583,0.0
GHA.1.7_1,7.0,290.9558171890567,290.81419487596656,290.50594722292936,291.7437024998163,1745.73490313434,0.0,292.59233590601036,292.4283696882692,291.9898057271075,293.52312624091564,1755.5540154360626,0.0,296.4651307417012,296.45029987020223,296.26847143908503,296.7942025385607,1778.7907844502072,0.0,296.2052424844623,296.20546248393725,296.05802016202216,296.43410388315584,1777.2314549067735,0.0,296.09790250876665,296.0902729734778,295.9365765638755,296.3771786225426,1776.5874150526001,0.0,295.523293227578,295.52092044300787,295.3457890138818,295.8138300487845,1773.139759365468,0.0,294.30207214131593,294.30804522392367,294.1119031724731,294.57485129843724,1765.8124328478955,0.0,293.17176156878355,293.1886542727421,292.9848306722306,293.4231683844077,1759.0305694127014,0.0,294.6981852733364,294.7088401203398,294.5242705478313,294.939212527878,1768.1891116400186,0.0,295.4346232171963,295.4361125115911,295.2507441874698,295.7383856391688,1772.6077393031778,0.0,295.50278032005167,295.47524020551936,295.4216062424167,295.69294728820194,1773.01668192031,0.0,295.06324817248344,295.0583175983809,294.9807903332229,295.12894284937266,1770.3794890349004,0.0
GHA.1.8_1,8.0,291.3306844986292,291.28597471395216,290.41458159295365,292.1994965234258,2913.306844986292,0.0,292.44255735333587,292.34993756735105,291.4803698150348,293.45230612524915,2924.4255735333595,0.0,296.5463360080668,296.53335692032846,296.1954360141443,296.8257228741145,2965.463360080668,0.0,296.28112866119136,296.2842108967692,295.98553660417303,296.51638644653605,2962.8112866119136,0.0,296.12500556697603,296.11820926675153,295.77934241549826,296.4214886820968,2961.25005566976,0.0,295.57398368162904,295.57317364632763,295.3104418231286,295.7763962067049,2955.7398368162903,0.0,294.34361171555315,294.3508964646792,294.0751535822505,294.534080372863,2943.436117155531,0.0,293.2118534670006,293.2378692188998,292.8886666611761,293.4270646688064,2932.1185346700067,0.0,294.7735616549453,294.79036799897017,294.5324467867792,294.9262672773642,2947.735616549454,0.0,295.52163873064166,295.5355139618937,295.23311914901717,295.70281420717635,2955.216387306416,0.0,295.67708843898447,295.68584087977626,295.2962076287196,295.95917531296845,2956.770884389845,0.0,295.2191567189915,295.22416394261506,294.77524907623433,295.59839357779754,2952.1915671899146,0.0
GHA.1.9_1,9.0,288.91599902975446,289.0261211475658,287.74479031259244,289.9600436178355,3466.9919883570533,0.0,289.94976802767366,289.86301716665287,288.79499917781317,291.70502013752264,3479.397216332085,0.0,296.1701381777471,296.22941635439287,295.7577377826054,296.4458946081422,3554.041658132965,0.0,296.0207457896829,296.09239660027697,295.63431348335143,296.33357843713816,3552.2489494761962,0.0,295.8705380813672,295.9238983617072,295.45131246406083,296.1994808003275,3550.446456976407,0.0,295.4224920059172,295.47685903462366,295.05565661478283,295.79292664805064,3545.0699040710065,0.0,294.2673076918922,294.33655074083384,293.89004473361217,294.67937785434424,3531.207692302706,0.0,293.03852559821183,293.12787979302976,292.6071329468263,293.4103186894308,3516.4623071785413,0.0,294.73821325664903,294.7818044057365,294.3128027636525,295.27856050085666,3536.8585590797875,0.0,295.3581993679931,295.39827425603323,294.92261179836623,295.7538114565109,3544.2983924159166,0.0,294.81162275498275,294.7552023458802,294.2873436054823,295.3621362992208,3537.739473059793,0.0,294.07692765039434,293.98936958062563,293.5739306630276,294.6943063607321,3528.923131804733,0.0
GHA.1.10_1,10.0,290.04327524530527,290.01007788042665,289.15776100209524,291.1962536809648,2320.346201962442,0.0,291.66544814652036,291.63642496694376,290.6739065662362,293.04041676147074,2333.323585172163,0.0,296.46831220533244,296.47564643259057,296.26856779641463,296.6563553928392,2371.7464976426595,0.0,296.19991643004437,296.18298961639516,296.07245047896566,296.34243031144257,2369.599331440355,0.0,296.06992751578184,296.0490959430967,295.86432276104074,296.23664033954867,2368.5594201262547,0.0,295.5615709196682,295.5679122937075,295.40809049682554,295.6963428843723,2364.492567357345,0.0,294.34780394500734,294.3593002725371,294.1825186240858,294.48121373269964,2354.7824315600587,0.0,293.19255780103094,293.1918149631168,293.02013440332644,293.3500867677902,2345.5404624082475,0.0,294.7899044070188,294.7785814024294,294.68027318281065,294.9514887506156,2358.3192352561505,0.0,295.52325455824376,295.5246252897432,295.35676065473746,295.678519106688,2364.18603646595,0.0,295.3221626120352,295.29421398353225,295.1445028014644,295.5080014446515,2362.577300896281,0.0,294.64137365564767,294.5838297649875,294.40790811003137,294.9289875626628,2357.130989245182,0.0
