GID_2,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
GHA.1.1_1,1.0,-0.002312826687607641,-0.0023682734113835173,-0.002452667561329505,-0.002113911037467221,-0.013876960125645849,0.0,-0.0019187837362263328,-0.0019643754471745573,-0.0020275611284555238,-0.0017592883934356926,-0.011512702417357995,0.0,-0.0032182154647946892,-0.00325272021319905,-0.0033271750262218905,-0.003034850682736262,-0.01930929278876814,0.0,-0.003686267554524289,-0.003691664535571878,-0.003772641513855243,-0.0035581134752190368,-0.022117605327145733,0.0,-0.003378010903674837,-0.003371084794244947,-0.003450068582423687,-0.003328354699423756,-0.02026806542204902,0.0,-0.003120126100820832,-0.0031342318055344745,-0.003159917032423284,-0.003025884142160888,-0.018720756604924997,0.0,-0.002593065400898665,-0.0026095906729502925,-0.0026444080331845324,-0.0024881563971824185,-0.01555839240539199,0.0,-0.0024746304679951576,-0.002514803088619902,-0.002561862551477849,-0.0022844042646393914,-0.01484778280797095,0.0,-0.0029357002632546896,-0.002939451673400738,-0.002984599419539189,-0.0028712972427955502,-0.017614201579528137,0.0,-0.003561937849573881,-0.003573447078594842,-0.00359565513377066,-0.0034892846352876546,-0.02137162709744329,0.0,-0.0037503228468419524,-0.003789151267493711,-0.003817201412215304,-0.003599520275783882,-0.022501937081051717,0.0,-0.003180840203861161,-0.003180989955984992,-0.0032989660533965155,-0.0030334663150372,-0.019085041223166968,0.0
GHA.1.2_1,2.0,-0.0024109226754768075,-0.0024227572876683394,-0.002548175003717487,-0.002267029157149668,-0.0313419947811985,0.0,-0.001979809459571017,-0.001995886249285856,-0.0020320723643039926,-0.0018408603388713391,-0.02573752297442321,0.0,-0.0032245423041498875,-0.003230689001374532,-0.0033282835790527827,-0.003043405058778148,-0.04191904995394854,0.0,-0.003673387012363892,-0.003660484377412577,-0.003865722889631485,-0.003428231507382166,-0.04775403116073059,0.0,-0.003412236182992377,-0.003407275738151356,-0.003550293222304922,-0.003261749910108975,-0.04435907037890091,0.0,-0.003100564462462435,-0.003114423307589524,-0.0031685369051013463,-0.002980377327238976,-0.04030733801201165,0.0,-0.002573476130946627,-0.002579266929436366,-0.0026330780310849754,-0.0025089689289068515,-0.03345518970230614,0.0,-0.0025860415946358326,-0.002584554715881828,-0.002694119327084516,-0.0023981397083255905,-0.033618540730265836,0.0,-0.0029203230390367364,-0.0029332637545797266,-0.0029911210418192844,-0.002715454705927863,-0.03796419950747757,0.0,-0.003592221710775385,-0.0035931993090056163,-0.0036424716490441908,-0.003463886862311602,-0.046698882240080015,0.0,-0.003773547644940603,-0.003784097389295168,-0.0038775628440202796,-0.003538110003249103,-0.04905611938422784,0.0,-0.0032082095290843216,-0.003264523729779803,-0.0033924286811544326,-0.002684473450908675,-0.04170672387809618,0.0
GHA.1.3_1,3.0,-0.001783069371776847,-0.0017751805946550946,-0.0018976703593172968,-0.0016768937375777626,-0.008915346858884234,0.0,-0.0013812855360912988,-0.0013744205307964818,-0.0014600579593806225,-0.0012931621637901035,-0.006906427680456496,0.0,-0.0031767255842028905,-0.003188656944935705,-0.003272802668588068,-0.003070975229287105,-0.015883627921014453,0.0,-0.003817074927544351,-0.00389902181195709,-0.003943786854247803,-0.0036444607050277007,-0.01908537463772176,0.0,-0.003316314789702012,-0.0033203109950399197,-0.0034241380102356988,-0.0032218320015031288,-0.016581573948510057,0.0,-0.002923390520267947,-0.0029519268573958085,-0.002994457619317013,-0.0028437608927231704,-0.014616952601339734,0.0,-0.00249970746151908,-0.002506485737608609,-0.002537214675673095,-0.002467193591744584,-0.0124985373075954,0.0,-0.002300753464635419,-0.002337566618682425,-0.0024465392586771753,-0.002161993592958524,-0.011503767323177094,0.0,-0.002915351061373965,-0.002912166335285708,-0.002980137853670512,-0.002869794088643708,-0.014576755306869828,0.0,-0.0035995171915627813,-0.0036741052753181094,-0.003718890327179349,-0.003432195414462284,-0.017997585957813905,0.0,-0.003672036515872432,-0.0037215355314165095,-0.003804712558634014,-0.003518966594566606,-0.018360182579362158,0.0,-0.0029683149929473985,-0.0029793295872337,-0.003111048076007197,-0.002844334331140793,-0.014841574964736991,0.0
GHA.1.4_1,4.0,-0.0021871577274134267,-0.0021766487943430607,-0.00231033598612307,-0.0021100859845672045,-0.013122946364480557,0.0,-0.0015890591377764275,-0.0015877881782410618,-0.0017034502507092234,-0.00148743982824812,-0.009534354826658566,0.0,-0.0031089311028004393,-0.0031248220746887398,-0.003171971762915393,-0.002995291095800025,-0.01865358661680263,0.0,-0.003909776904327815,-0.003903091726217908,-0.0040177944415613715,-0.003830931290551501,-0.02345866142596689,0.0,-0.003159221697189201,-0.003161644766164427,-0.003244228529954661,-0.003052068606350663,-0.018955330183135208,0.0,-0.0028614075588335123,-0.0028627262646764304,-0.00292313892487618,-0.0027908245949636572,-0.01716844535300107,0.0,-0.0024351817895471514,-0.002436134961335782,-0.0024966049391486546,-0.0023781182230764504,-0.014611090737282909,0.0,-0.0020802272080680754,-0.0020966274775957106,-0.002158070920868737,-0.001963617886880415,-0.012481363248408452,0.0,-0.0027896581706886663,-0.002800272883014757,-0.0028710424564148194,-0.002691867285228295,-0.016737949024131997,0.0,-0.0035333945505226275,-0.003543412380265933,-0.0035870613879242954,-0.003445600894907236,-0.021200367303135764,0.0,-0.0034983248750436683,-0.003510204394643923,-0.0036402383525756827,-0.0033394374791973843,-0.02098994925026201,0.0,-0.002543778593825016,-0.00251497011934806,-0.0027627973650222078,-0.0022743347162281326,-0.015262671562950096,0.0
GHA.1.5_1,5.0,-0.00209090631179088,-0.00211441640327289,-0.0022227828067617394,-0.0019192204191987169,-0.02299996942969968,0.0,-0.001588695697843419,-0.0015961655576793936,-0.0016859914097747935,-0.0014515580773468133,-0.017475652676277608,0.0,-0.003173564836727068,-0.003189407685258003,-0.0032516134600014245,-0.0030791936695025736,-0.034909213203997744,0.0,-0.003910886325566521,-0.003941527336701057,-0.004029681150142192,-0.0037567869306158476,-0.04301974958123174,0.0,-0.00322494513293131,-0.0032437164209412604,-0.003299935676677213,-0.003066250300079711,-0.035474396462244415,0.0,-0.0029227818342032162,-0.002921476927319889,-0.003066534172191825,-0.00284860570423338,-0.03215060017623537,0.0,-0.002461158973524153,-0.00243072915974813,-0.002688607197602184,-0.002388025402306756,-0.027072748708765682,0.0,-0.0022177940128781308,-0.002214799047071031,-0.0022611610077615764,-0.0021779719534872287,-0.024395734141659443,0.0,-0.002899413655551661,-0.0029064394322368308,-0.002972665950511137,-0.0028298800176261344,-0.03189355021106826,0.0,-0.003632064891750358,-0.003655200343592565,-0.003682979568055085,-0.003514167633334516,-0.039952713809253936,0.0,-0.0036876646185190092,-0.0037056243502007953,-0.0037745240579400937,-0.003514741895782052,-0.0405643108037091,0.0,-0.002916540039562099,-0.0029510370543694604,-0.003035324441797028,-0.002497261284600751,-0.03208194043518309,0.0
GHA.1.6_1,6.0,-0.002351353634968896,-0.002404306463161777,-0.002493549015097229,-0.0020549557474190713,-0.018810829079751158,0.0,-0.0019285635356528254,-0.0019657352223585787,-0.00203626766935422,-0.0017085714786967895,-0.015428508285222603,0.0,-0.0032116779858099515,-0.0032209560832172556,-0.003340122833586008,-0.003082207834949141,-0.02569342388647961,0.0,-0.003696123428902596,-0.0036995761339824055,-0.003791848074852057,-0.003570441227988197,-0.02956898743122077,0.0,-0.0033156678949425354,-0.0033190380457348736,-0.0033944767975481053,-0.003217609935881343,-0.026525343159540284,0.0,-0.003071397445859976,-0.003066166718322969,-0.003153586772391197,-0.0029831688157813483,-0.02457117956687981,0.0,-0.002574361784655357,-0.0025971892012774424,-0.002640709069941945,-0.0024710364290900858,-0.02059489427724286,0.0,-0.002422798881396869,-0.002425542273448194,-0.002503167248846169,-0.0023044012997128853,-0.019382391051174952,0.0,-0.002917270729727149,-0.002918649432686928,-0.0029854418221430838,-0.0028690283968485822,-0.0233381658378172,0.0,-0.0034820998012871137,-0.003481210627997144,-0.0035175971831504504,-0.003433226543453916,-0.02785679841029691,0.0,-0.003710396377722794,-0.003730824506391896,-0.0037681178805134283,-0.003556336905197033,-0.029683171021782355,0.0,-0.003071764746300243,-0.003060885768105836,-0.003186449356772278,-0.0029698971142132296,-0.024574117970401942,0.0
GHA.1.7_1,7.0,-0.0021878632451809406,-0.0022159084425613933,-0.002284166715109732,-0.002052203329588482,-0.013127179471085644,0.0,-0.0018745842556178226,-0.0018784423026520988,-0.0019823838318363397,-0.001723142632085661,-0.011247505533706936,0.0,-0.003256463940438718,-0.0032492647495245648,-0.0034108526400980607,-0.0031037284019461444,-0.01953878364263231,0.0,-0.003732488192382561,-0.0037578920473194297,-0.003953967382838593,-0.003419969658574652,-0.02239492915429537,0.0,-0.003466227362970978,-0.003469985093430648,-0.0036461533316040923,-0.00325877453376988,-0.020797364177825867,0.0,-0.0031112449590092986,-0.003105908916750934,-0.003253923095379915,-0.00298267744424726,-0.0186674697540558,0.0,-0.0026040824831739715,-0.002593651710296491,-0.002752435439140592,-0.002512741457213404,-0.015624494899043832,0.0,-0.002564052161622457,-0.0025797317027801197,-0.002809755361892584,-0.0023726899091115893,-0.015384312969734745,0.0,-0.0029222284325205136,-0.002924916031211455,-0.0030612245355776816,-0.0027525651685608265,-0.017533370595123082,0.0,-0.0035638931300985993,-0.003555958603405284,-0.0036456876084869326,-0.0034792195361419078,-0.0213833587805916,0.0,-0.0037467451264844268,-0.003759526143664,-0.003902073155824139,-0.0035439855616013092,-0.022480470758906558,0.0,-0.0030504983927582088,-0.003109494242101633,-0.003332776955049318,-0.002577279399841812,-0.018302990356549257,0.0
GHA.1.8_1,8.0,-0.002366661424523588,-0.002385313806127628,-0.0025188594711862853,-0.0021806004595220077,-0.023666614245235883,0.0,-0.001838025004798752,-0.0018531826746874087,-0.001987891977569116,-0.00166763758094694,-0.018380250047987517,0.0,-0.0031560911852149803,-0.003150643720169805,-0.003289587633408948,-0.003050964106948118,-0.0315609118521498,0.0,-0.003656468932925867,-0.0036689861316282274,-0.003838482996460443,-0.003481895105941807,-0.03656468932925866,0.0,-0.0031867284150002358,-0.0031908404909986336,-0.003275203174797632,-0.003088360131198171,-0.03186728415000236,0.0,-0.0029807483309233327,-0.00297718123659992,-0.00309153401458047,-0.002870691419845705,-0.029807483309233333,0.0,-0.002529279439623473,-0.002535431948488153,-0.0025990425154118145,-0.0024181731018971,-0.025292794396234733,0.0,-0.0023217825822588038,-0.0023228513376399155,-0.0024186985277231342,-0.002263228425885121,-0.023217825822588044,0.0,-0.002850454623214121,-0.0028561492046909635,-0.0029036901957734443,-0.002756361345068034,-0.02850454623214121,0.0,-0.003463684228502522,-0.003471123360388576,-0.003504855106001565,-0.0033832799982037648,-0.03463684228502522,0.0,-0.0036828657025205647,-0.0036968455555015686,-0.0037290186881978296,-0.003574109961562118,-0.03682865702520565,0.0,-0.0029174302289873572,-0.0029123360694696013,-0.0030419931139199314,-0.0027934272277182672,-0.02917430228987357,0.0
GHA.1.9_1,9.0,-0.0017231148174429427,-0.0017331917840980795,-0.001971469691312595,-0.0014618526422660073,-0.02067737780931532,0.0,-0.0013989980867157054,-0.001375867903159147,-0.001706625098141302,-0.0012125163118228998,-0.01678797704058847,0.0,-0.003015974148756116,-0.0031102996162990343,-0.003362635845016495,-0.0024186651062864163,-0.03619168978507339,0.0,-0.0035472883925763156,-0.003670158830879226,-0.0038559679364825548,-0.00296383056596012,-0.04256746071091578,0.0,-0.003179803020371373,-0.003261597883065177,-0.0033611715467977976,-0.0028179153318819944,-0.038157636244456485,0.0,-0.002894488881867619,-0.002958061054091993,-0.003049443026562116,-0.002585991126783391,-0.03473386658241144,0.0,-0.0025477217170720165,-0.002543113093216036,-0.002807162813342729,-0.002388900994831835,-0.0305726606048642,0.0,-0.002492426260986893,-0.0025029274942539076,-0.002734442228562925,-0.0022049824972290607,-0.029909115131842717,0.0,-0.002872118467404609,-0.0029187297608804,-0.003068243996450673,-0.002608375315341669,-0.03446542160885531,0.0,-0.0034778083684306703,-0.003584581258362121,-0.003704924859097519,-0.00304451299533828,-0.041733700421168037,0.0,-0.003181733820691653,-0.003254855889950772,-0.003655865284466858,-0.0024786718797279177,-0.03818080584829984,0.0,-0.002253090303305059,-0.002271774631404829,-0.0027495457723193143,-0.0016656086380218366,-0.027037083639660703,0.0
GHA.1.10_1,10.0,-0.0019068744449304367,-0.0019072202959114688,-0.002146781458856767,-0.0016117023159896865,-0.015254995559443497,0.0,-0.0015878305532235862,-0.0015688573931265733,-0.0018190823609890688,-0.0012878721964329964,-0.01270264442578869,0.0,-0.003223966935497252,-0.003246639197870875,-0.003381575599067922,-0.003042917719513254,-0.025791735483978014,0.0,-0.0036604748350054094,-0.0036675282800634336,-0.0039050191674757256,-0.0033763205952837354,-0.029283798680043282,0.0,-0.0032432504258754053,-0.0032571063953525585,-0.0033397946656204282,-0.0030961690742504194,-0.025946003407003246,0.0,-0.002951775482164289,-0.002961372557016145,-0.0030005094338497787,-0.0028656103854664697,-0.02361420385731431,0.0,-0.002503716507399311,-0.0025128727570979236,-0.002564134378407,-0.002433387078863979,-0.020029732059194488,0.0,-0.0024763884824336464,-0.0024554297886889838,-0.0026659746405408124,-0.002277868915294964,-0.019811107859469167,0.0,-0.002905574650121076,-0.0029300366904169853,-0.003052301221542855,-0.0027653712078592853,-0.02324459720096861,0.0,-0.003597638527598257,-0.0035866381951388665,-0.0036922731856564852,-0.0035316035697938396,-0.028781108220786056,0.0,-0.003541250602968649,-0.0035736984412395186,-0.003692402412656936,-0.0032920741306350434,-0.028330004823749193,0.0,-0.0025332050477376053,-0.002564908414203587,-0.002709225039022326,-0.00218654330381993,-0.020265640381900842,0.0
