GID_2,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
GHA.1.1_1,1.0,98823.25627000234,98854.86533107812,98026.07711131973,99620.71190015947,592939.5376200139,0.0,98760.29087700123,98791.94682206938,97965.12368886759,99555.8714428416,592561.7452620075,0.0,98740.07175987515,98772.19026659688,97941.55920344876,99538.12891630473,592440.430559251,0.0,98815.31543160672,98846.96920636973,98016.34687541738,99614.61295095936,592891.8925896403,0.0,98939.04031253333,98971.2041325374,98136.88275372393,99741.07795545671,593634.2418752,0.0,99034.66983394127,99066.59201070301,98228.24900576778,99841.1289232342,594208.0190036477,0.0,98998.20382813003,99030.22843468576,98189.34691773188,99807.69481026867,593989.2229687803,0.0,99034.97504340028,99067.5424321167,98224.10010445381,99846.43409592754,594209.8502604017,0.0,98970.85465457306,99003.37871310707,98163.18358229796,99779.1089591052,593825.1279274385,0.0,98913.40864915807,98945.20093727854,98109.12051095227,99717.83338165424,593480.4518949485,0.0,98858.81668848467,98890.61688903523,98056.81888986778,99660.72282128062,593152.9001309081,0.0,98821.26664118351,98853.02803430356,98019.7148249416,99623.06765600266,592927.5998471011,0.0
GHA.1.2_1,2.0,99277.73987586863,99456.3247445224,98067.38620906713,99650.46285735484,1290610.6183862921,0.0,99214.17428722406,99391.4340630582,98006.54716827082,99586.00880764966,1289784.2657339128,0.0,99194.42364422767,99371.93191177184,97982.28962916246,99567.23990906448,1289527.5073749598,0.0,99270.2398559584,99448.24200927412,98056.54464848703,99643.7824611157,1290513.1181274592,0.0,99396.11027008065,99574.80875159564,98179.06103671381,99771.30561624812,1292149.4335110483,0.0,99494.16542762297,99674.42959489534,98269.72665910519,99870.48850043576,1293424.1505590985,0.0,99460.42479813533,99641.48193320617,98230.76842239806,99838.68039475195,1292985.5223757592,0.0,99497.52583683886,99676.87432819,98266.47075819773,99876.43350368226,1293467.8358789056,0.0,99431.85359970212,99611.79893809046,98204.13871227288,99809.55165657095,1292614.0967961273,0.0,99372.91965747773,99553.41517691758,98151.18573094213,99748.22934306221,1291847.9555472105,0.0,99315.74774027133,99495.23165695518,98098.33459412784,99690.57766485165,1291104.7206235272,0.0,99277.18130793858,99456.50648253298,98060.75943725515,99652.29166270592,1290603.3570032015,0.0
GHA.1.3_1,3.0,97821.2190282368,97758.28066938254,97373.98919753762,98180.91876033436,489106.09514118405,0.0,97748.63077183039,97688.02822681381,97300.46579866065,98106.3860569823,488743.1538591519,0.0,97719.65776437674,97661.17636898183,97266.89440104405,98078.58976997233,488598.2888218837,0.0,97795.28854632033,97736.6144465074,97341.76869010496,98154.47354250665,488976.44273160154,0.0,97916.9660386144,97857.61986473898,97463.61300356984,98276.63583917207,489584.83019307203,0.0,98009.52636988043,97949.6161738081,97553.90893785123,98371.63658644822,490047.6318494021,0.0,97967.11470923947,97906.78816903038,97508.97255918002,98330.54532907836,489835.57354619744,0.0,97997.35637486646,97938.19659084913,97538.83380840713,98361.44246227156,489986.7818743323,0.0,97946.29670961856,97884.87904321334,97491.49944490267,98308.97766197244,489731.4835480929,0.0,97898.60155435448,97837.89776891633,97444.67842128928,98260.05154415766,489493.0077717725,0.0,97843.44255219423,97783.1425630658,97390.0122424947,98204.01454783026,489217.21276097116,0.0,97806.24885585453,97746.47396130787,97352.51685486178,98167.1793472955,489031.24427927256,0.0
GHA.1.4_1,4.0,98218.6140549216,98301.38896093973,97470.80611579784,98899.67329705707,589311.6843295296,0.0,98146.73940586188,98228.49923155848,97404.64361091373,98824.41466378883,588880.4364351713,0.0,98120.46142232482,98201.63622050457,97378.81522497324,98800.00435457565,588722.7685339489,0.0,98198.80453166716,98280.72506206016,97454.73343435828,98880.22192469706,589192.8271900029,0.0,98318.13944051252,98400.1040599424,97572.9148802578,99000.45776637082,589908.8366430751,0.0,98412.57845364511,98494.94874954157,97661.32148358882,99099.47239795313,590475.4707218707,0.0,98371.03163425664,98454.24517913953,97617.48724488619,99060.35602905024,590226.1898055399,0.0,98404.1271154594,98486.60164236175,97652.05095195447,99093.7463156733,590424.7626927565,0.0,98349.40117103573,98432.37157965006,97597.34984761619,99036.72044331985,590096.4070262144,0.0,98301.05736254583,98384.22153924128,97548.82090902343,98987.66406491019,589806.3441752751,0.0,98244.03298167614,98327.35621195038,97495.58235071428,98926.1455647072,589464.1978900568,0.0,98206.42565535264,98289.64693314044,97457.89874367186,98888.46798010085,589238.5539321158,0.0
GHA.1.5_1,5.0,97707.16215904405,97574.04348123792,96917.81432783238,98550.64413073656,1074778.7837494845,0.0,97638.05181404427,97504.24757979113,96855.69835488911,98478.42572814584,1074018.569954487,0.0,97609.86587577008,97474.7948632192,96827.49005686383,98456.13031663666,1073708.5246334712,0.0,97685.56316646932,97551.87972497227,96900.87466148236,98531.15744001894,1074541.1948311625,0.0,97805.2206692716,97670.55529583585,97018.79112050326,98653.11300326054,1075857.4273619878,0.0,97896.7866098844,97761.58412030069,97104.37880752039,98750.89001019002,1076864.6527087283,0.0,97853.62556926368,97717.33846187872,97058.50877291843,98710.79692787628,1076389.8812619008,0.0,97886.27831777657,97750.0887882109,97092.08414077683,98743.46087289928,1076749.061495542,0.0,97833.15563317062,97697.99517794627,97037.98345669778,98686.12646989156,1076164.7119648769,0.0,97785.74650517695,97650.64836677439,96991.43234075178,98637.97408761637,1075643.2115569466,0.0,97732.34463982224,97598.18756839108,96940.61599511126,98582.60419026592,1075055.7910380447,0.0,97695.15322158288,97561.71956157582,96903.98867874547,98543.83651910553,1074646.6854374115,0.0
GHA.1.6_1,6.0,98966.39484715671,98968.46830251672,98539.07261885764,99318.2198461114,791731.1587772537,0.0,98901.27536784447,98902.22151024383,98473.63728211273,99254.4755004644,791210.2029427558,0.0,98882.75800534087,98883.71021853796,98452.6757337811,99239.13649762463,791062.064042727,0.0,98957.63064085427,98958.95817795617,98528.04007717934,99313.28811148237,791661.0451268342,0.0,99081.87200681624,99083.16913972527,98650.92523711042,99439.03208076817,792654.97605453,0.0,99178.47206168948,99179.87797110887,98746.1610529902,99536.90068918136,793427.7764935158,0.0,99142.1676649327,99143.39078821114,98706.94236252496,99501.63145514824,793137.3413194616,0.0,99178.53025744582,99178.93531413267,98742.57201250724,99540.42163781436,793428.2420595665,0.0,99114.70359459108,99116.21005558016,98680.08674985406,99474.19700568436,792917.6287567287,0.0,99058.59079191338,99060.70885161236,98627.09947920193,99415.28549390873,792468.726335307,0.0,99002.7269871759,99005.1260114326,98573.33049366156,99357.5727549153,792021.8158974072,0.0,98965.09920346057,98966.90915655677,98535.64688661913,99320.00218452919,791720.7936276846,0.0
GHA.1.7_1,7.0,98492.3408122832,98419.30309769908,97974.6379463048,99477.00906200893,590954.0448736992,0.0,98428.71815467182,98354.48252018366,97912.18017308561,99412.01702830961,590572.3089280309,0.0,98406.2750486406,98332.01865811397,97889.28365267484,99391.93399889796,590437.6502918436,0.0,98481.82079209547,98407.67576038033,97963.63245917368,99469.00430119263,590890.9247525728,0.0,98604.99909141258,98530.72577729207,98084.81566871883,99595.30424446997,591629.9945484755,0.0,98700.1166359326,98626.17765492204,98175.98367089227,99696.0095387752,592200.6998155956,0.0,98661.81166325892,98587.01771055846,98135.93088171599,99661.86503663867,591970.8699795535,0.0,98696.41651107863,98620.98973342973,98170.6200446686,99697.57078428914,592178.4990664718,0.0,98634.76309206637,98559.71483684242,98111.27518190046,99632.70975219582,591808.5785523982,0.0,98581.618836288,98508.29145350515,98057.95792827627,99576.25596360704,591489.713017728,0.0,98526.3701463386,98453.31028811232,98006.03570765973,99515.7112317727,591158.2208780316,0.0,98488.01892516494,98415.10037991154,97969.39873222374,99474.51808897108,590928.1135509897,0.0
GHA.1.8_1,8.0,98700.86245973027,98735.05504693367,97941.78983225477,99181.90505774326,987008.6245973028,0.0,98635.26044449618,98668.51519598292,97877.88563704964,99116.43548944574,986352.6044449615,0.0,98616.09075686947,98649.61799901763,97854.78639824588,99099.87875265887,986160.9075686948,0.0,98690.32585694324,98724.04982684503,97928.9436810784,99174.02873997588,986903.2585694323,0.0,98813.30429375822,98846.5916835714,98049.72423271091,99299.23068375276,988133.0429375822,0.0,98909.11882283092,98943.09030185637,98140.472293044,99397.61960875326,989091.1882283094,0.0,98871.1362931326,98905.31377294836,98100.19148355053,99361.62492527322,988711.3629313259,0.0,98907.27710650515,98941.21534802511,98134.95475146073,99398.28393916301,989072.7710650516,0.0,98844.3954872584,98878.0611170128,98075.95964551793,99333.14954989914,988443.9548725842,0.0,98790.78263217674,98824.9160836399,98024.95461102492,99276.1822625872,987907.8263217672,0.0,98735.44064920754,98769.35268610358,97972.01100145011,99219.65685202352,987354.4064920752,0.0,98697.60764825293,98731.60313299496,97934.34823020076,99181.95833495796,986976.0764825292,0.0
GHA.1.9_1,9.0,98403.55384835113,98498.85066003984,97422.73116285149,99623.99681299119,1180842.6461802137,0.0,98329.6436546889,98426.03071106016,97353.23037954564,99538.3772579291,1179955.7238562668,0.0,98300.11723618743,98398.93085628434,97320.74389564373,99505.68088840053,1179601.4068342494,0.0,98378.17658127287,98477.26440430248,97397.42015504307,99586.00696474858,1180538.1189752743,0.0,98503.22931491958,98601.94897275988,97519.47014736726,99717.00997865477,1182038.751779035,0.0,98601.17260494099,98700.21327476176,97609.21441442307,99825.51602477494,1183214.071259292,0.0,98561.35434227753,98660.47219919524,97566.85142070297,99790.15852986627,1182736.25210733,0.0,98590.04079452039,98689.8751818365,97597.02404015053,99812.78007087453,1183080.4895342449,0.0,98536.78569381607,98635.20660147328,97544.88104747006,99763.66118681194,1182441.4283257928,0.0,98487.17418447878,98585.1238016846,97497.20005523539,99712.5095159161,1181846.0902137454,0.0,98424.64973658713,98523.95962005244,97440.1916167791,99638.0848518082,1181095.7968390454,0.0,98383.51405771117,98483.90427235533,97400.68460939587,99594.42023175007,1180602.168692534,0.0
GHA.1.10_1,10.0,98669.72338398117,98759.39424170963,98120.475660421,99298.79155534494,789357.7870718496,0.0,98602.13893569144,98693.70962372892,98051.64089882922,99232.90676235166,788817.1114855312,0.0,98579.13273757404,98671.09410945699,98025.97880627967,99213.10517617984,788633.0619005923,0.0,98656.32515993102,98747.9124094952,98104.17759862528,99289.59349248454,789250.6012794481,0.0,98780.28099371676,98871.55075091557,98227.0286493316,99415.20850022684,790242.2479497341,0.0,98877.97897317153,98969.77391441906,98320.78249834133,99515.68333403104,791023.831785372,0.0,98839.9752520068,98932.48377900818,98280.5782087844,99480.19749951972,790719.8020160545,0.0,98871.69349247463,98965.04191644867,98310.9292539664,99513.7210037744,790973.5479397972,0.0,98812.66322775642,98904.61521796817,98255.7011044746,99450.57009960717,790501.3058220514,0.0,98761.76137697416,98852.85644504873,98207.00042100939,99396.5724481833,790094.0910157934,0.0,98701.84197857561,98794.03596218166,98146.36022541164,99336.22585872668,789614.7358286049,0.0,98660.9267824318,98753.1599406157,98105.71553879608,99295.06857128008,789287.4142594546,0.0
