GID_2,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
NER.1.1_1,1.0,-3.405612078091409e-05,-3.042321260110493e-05,-0.00012994035636832468,-1.680208240419257e-05,-0.05578392583913727,0.0,-2.869254871024373e-05,-2.574329447169761e-05,-4.578450673368101e-05,-1.875895205179544e-05,-0.04699839478737924,0.0,-4.8938681800475864e-05,-4.541586182418184e-05,-6.967864280353713e-05,-3.5978887250252665e-05,-0.08016156078917946,0.0,-7.05103948620947e-05,-6.696168541410755e-05,-9.598274614374834e-05,-5.605420937057481e-05,-0.11549602678411112,0.0,-7.481259621406904e-05,-7.11529490807359e-05,-0.00010063042053065304,-5.6477556606483263e-05,-0.1225430325986451,0.0,-8.574952696921369e-05,-8.096136914779538e-05,-0.00017127905581509743,-6.323432638246165e-05,-0.14045772517557198,0.0,-0.00010539977402267707,-7.617401064073263e-05,-0.0010243832114741425,-5.727000365402026e-05,-0.17264482984914506,0.0,-0.00035190530551222165,-0.00013347437544297924,-0.002616976576806382,-6.106693199407739e-05,-0.5764208904290191,0.0,-0.0001427844034263777,-6.608611564062477e-05,-0.0013582042617480575,-5.239103973205661e-05,-0.2338808528124066,0.0,-5.343730039211394e-05,-5.016877788145456e-05,-0.0001435265701885195,-3.778829065410074e-05,-0.08753029804228263,0.0,-2.868762007969573e-05,-2.5344872391245784e-05,-7.225987245471634e-05,-1.85439143234488e-05,-0.0469903216905416,0.0,-2.8602448068576567e-05,-2.5136902629020936e-05,-5.036276900641586e-05,-1.9918458803757086e-05,-0.04685080993632843,0.0
NER.1.2_1,2.0,-2.4665775192980304e-05,-2.0194707746875307e-05,-0.00012802861399584424,-1.5369150299182386e-05,-0.055596657284977605,0.0,-2.5272435591835572e-05,-2.525832901983981e-05,-3.535477672877311e-05,-1.5289207168157465e-05,-0.056964069823997376,0.0,-4.369022572349458e-05,-4.36486367281303e-05,-5.393147604073017e-05,-2.8618120708650252e-05,-0.0984777687807568,0.0,-6.353780718544755e-05,-6.409314384700329e-05,-7.79907979288481e-05,-4.3452014222282786e-05,-0.14321421739599874,0.0,-6.962220627500475e-05,-6.950750308392438e-05,-0.00011391159873210281,-4.789950051097956e-05,-0.1569284529438607,0.0,-7.910938076638083e-05,-7.966625142226614e-05,-9.896565445598308e-05,-5.845096594441106e-05,-0.1783125442474224,0.0,-7.328594209076967e-05,-7.446411469562776e-05,-0.00011490538967169304,-5.211474945943125e-05,-0.16518651347259486,0.0,-0.00010428371985566513,-7.974734130166124e-05,-0.00048079002530450175,-5.5169217638690185e-05,-0.2350555045546692,0.0,-6.754310133467915e-05,-6.657245762422547e-05,-0.00014884652434360912,-4.3849309771023373e-05,-0.1522421504083668,0.0,-4.8196843799177913e-05,-4.802396384197415e-05,-6.119653288630553e-05,-3.2213930373078625e-05,-0.10863568592334702,0.0,-2.4954984388959305e-05,-2.495411697810145e-05,-3.406567803374162e-05,-1.685387167459221e-05,-0.05624853481271427,0.0,-2.409617152291524e-05,-2.376326728920647e-05,-3.163741887445309e-05,-1.597900280559144e-05,-0.05431277061265094,0.0
NER.1.3_1,3.0,-2.8697150865109325e-05,-2.860489020374333e-05,-6.445688890386476e-05,-9.936762094711425e-06,-0.03369045511563835,0.0,-3.376524748236094e-05,-3.3910805319474225e-05,-5.969141900253447e-05,-1.1805529493826974e-05,-0.039640400544291736,0.0,-5.29387158189021e-05,-5.354078880131288e-05,-7.691352551024239e-05,-1.9903866627410282e-05,-0.06215005237139106,0.0,-7.158846299255709e-05,-7.452509683218093e-05,-9.954578432748951e-05,-2.70582823047707e-05,-0.08404485555326204,0.0,-7.439605821624722e-05,-7.76278622737903e-05,-0.00010195604976567208,-2.65694021513794e-05,-0.08734097234587422,0.0,-8.501280542622664e-05,-8.483328690000684e-05,-0.00024417875205080505,-3.341265231668202e-05,-0.09980503357039007,0.0,-0.00028282007415541036,-0.0002094863889306165,-0.0013155557400459526,-5.6913800281117845e-05,-0.3320307670584518,0.0,-0.0009712486244086713,-0.0009256647370583312,-0.003124971312892214,-5.742807464123104e-05,-1.14024588505578,0.0,-0.0004148429533541554,-0.00020105861982389105,-0.002425363113123157,-5.673113061394963e-05,-0.4870256272377784,0.0,-7.390413235501066e-05,-6.171518991379567e-05,-0.0004245384558249232,-4.291547981984165e-05,-0.08676345138478253,0.0,-3.477651171218921e-05,-3.441099587846154e-05,-0.0001014220296543244,-1.3127460421789626e-05,-0.04082762475011013,0.0,-3.3172947000142624e-05,-3.3251970142880144e-05,-7.268457477418967e-05,-1.2683494572787313e-05,-0.03894503977816744,0.0
NER.2.1_1,4.0,-3.146701922398292e-05,-2.5892921345087584e-05,-6.966543582867567e-05,-1.9690980614732847e-05,-0.0017936200957670266,0.0,-3.594831635285611e-05,-3.2828619971774905e-05,-7.179102887777287e-05,-2.489545697056445e-05,-0.0020490540321127983,0.0,-4.026597274795667e-05,-3.4776880926557646e-05,-9.213157681923576e-05,-2.9733565489563146e-05,-0.00229516044663353,0.0,-4.505173890013253e-05,-4.013503633322874e-05,-0.00011909413587777374,-2.8028555830984626e-05,-0.002567949117307555,0.0,-9.6710581024651e-05,-8.513350206037114e-05,-0.00021191541353117894,-5.365892028482131e-05,-0.005512503118405106,0.0,-0.00017921713521710025,-0.00017746136390737295,-0.00041059958892434716,-5.444459588819693e-05,-0.010215376707374713,0.0,-0.0009417384337540199,-0.0008981242097685824,-0.001658673872637954,-0.000528041812267391,-0.05367909072397914,0.0,-0.003046762294959001,-0.003067012168141806,-0.003717319802894797,-0.002305327695171411,-0.17366545081266305,0.0,-0.0017237067808144454,-0.0016819332271252778,-0.002689291760445021,-0.0011752503869971991,-0.0982512865064234,0.0,-0.00029207278353219826,-0.0002691444144946647,-0.000558024945720608,-0.00011842598547917798,-0.0166481486613353,0.0,-6.527229455933808e-05,-5.494467605996049e-05,-0.00017101555481281768,-2.25614514874328e-05,-0.0037205207898822704,0.0,-4.2691212143148624e-05,-3.4863804081952614e-05,-9.381024150817689e-05,-1.8529010688670487e-05,-0.002433399092159472,0.0
NER.2.2_1,5.0,-7.658879084948326e-05,-5.8090815746088674e-05,-0.00019113366788262606,-2.2646437149520755e-05,-0.009573598856185408,0.0,-7.191078479738331e-05,-5.306307944982314e-05,-0.00017489677821738231,-2.7284787133384146e-05,-0.008988848099672913,0.0,-6.90887482062677e-05,-5.13857696907294e-05,-0.00016909422861022348,-2.799454166223136e-05,-0.008636093525783461,0.0,-5.082851864309884e-05,-4.341313370227187e-05,-0.00011731437702848171,-2.76550501864444e-05,-0.006353564830387354,0.0,-6.863430553223139e-05,-6.516247948752612e-05,-0.00012992690423356006,-3.2899477341403964e-05,-0.008579288191528924,0.0,-0.00010489710260215442,-8.894643228414209e-05,-0.00025619317239269847,-4.1658425904467516e-05,-0.013112137825269302,0.0,-0.0006614993924036001,-0.0005912404418725175,-0.0014185502856761836,-0.0004038476464229168,-0.08268742405045001,0.0,-0.002538931009261379,-0.0025160248439333953,-0.0033589132549856357,-0.001512122418631749,-0.3173663761576724,0.0,-0.0016114524630443823,-0.0015091202207785429,-0.002897641713671429,-0.0006860095731306323,-0.2014315578805478,0.0,-0.00022682368765786505,-0.00013446757943781114,-0.0008988161401511078,-4.4233850454907704e-05,-0.02835296095723313,0.0,-6.205817715240899e-05,-2.727903160834805e-05,-0.0003175097285218895,-1.4772376879225416e-05,-0.007757272144051123,0.0,-4.084098872808736e-05,-2.2191182900830554e-05,-0.0001915951029584304,-1.3591068150228207e-05,-0.00510512359101092,0.0
NER.2.3_1,6.0,-2.3718545667105185e-05,-2.165413083315781e-05,-8.847437350416791e-05,-1.7802476126734905e-05,-0.02371854566710518,0.0,-2.8088549746408423e-05,-2.6658503413881383e-05,-9.425951848913355e-05,-1.7131891292224066e-05,-0.028088549746408426,0.0,-4.574715580880605e-05,-4.5419261854935135e-05,-0.00013087166854614717,-2.0539945485852328e-05,-0.04574715580880605,0.0,-6.0276735823596997e-05,-5.993277011658904e-05,-0.00015783681752931758,-2.5542773213278805e-05,-0.06027673582359699,0.0,-6.685683523351722e-05,-6.518531050446331e-05,-0.00020958521628506202,-3.1280269425816576e-05,-0.06685683523351724,0.0,-6.956271738886211e-05,-6.898268518105597e-05,-0.00013784710362261033,-2.953099192771925e-05,-0.0695627173888621,0.0,-0.00015616171340689585,-9.830456466939308e-05,-0.0014382729963793555,-5.49716092011456e-05,-0.15616171340689586,0.0,-0.0009200397262997504,-0.000743563237517091,-0.003367161470059325,-0.00022815830019141703,-0.9200397262997504,0.0,-0.0002625573213565156,-0.00017177505962629738,-0.001542509080550205,-5.525083117500868e-05,-0.26255732135651555,0.0,-6.110028698234562e-05,-4.757733068643152e-05,-0.0004358023897922673,-4.146344258087877e-05,-0.061100286982345625,0.0,-2.9450649488234114e-05,-2.8572871441098743e-05,-0.0001206285714359257,-1.443651768422915e-05,-0.029450649488234112,0.0,-2.7644014218126867e-05,-2.7232106591375892e-05,-9.606211408807116e-05,-1.36440342686208e-05,-0.027644014218126872,0.0
NER.3.1_1,7.0,-0.00020991915872195984,-0.00014276625373775068,-0.0005627666153940117,-0.00010352802855651569,-0.0075570897139905545,0.0,-0.00016946025376823992,-0.00011890334357355381,-0.0004894507902416817,-7.562066992762181e-05,-0.006100569135656636,0.0,-0.0001523458779760397,-0.00010747597079916096,-0.0004404971776217926,-6.357994281011138e-05,-0.005484451607137429,0.0,-0.00011837590133684607,-6.856671228337965e-05,-0.0004246892576583866,-4.403753501970393e-05,-0.004261532448126461,0.0,-0.00024503836939412954,-0.00015145665020481884,-0.0008769887420192358,-5.5394639921814294e-05,-0.008821381298188663,0.0,-0.0004397541677407154,-0.00038242831006984814,-0.0011073989083583194,-0.0002912917582752831,-0.015831150038665757,0.0,-0.0014228880746106304,-0.0014377293079660804,-0.0022382214728497605,-0.0009403168374209656,-0.051223970685982695,0.0,-0.0031414566423141306,-0.003114269882002878,-0.003506975151999093,-0.002712504830618379,-0.1130924391233087,0.0,-0.0034430048658225924,-0.0034981648420668605,-0.0037562544657847095,-0.0029121435248904144,-0.1239481751696133,0.0,-0.0020271936960835537,-0.002073546016043741,-0.002788996464090247,-0.0012808899366336206,-0.07297897305900794,0.0,-0.0008325611792320009,-0.0008376158662678169,-0.0014638235629983838,-0.00031962339465491026,-0.02997220245235203,0.0,-0.00048259567823448924,-0.00043998058101361924,-0.000981223084945942,-0.00017148117993927625,-0.017373444416441612,0.0
NER.3.2_1,8.0,-0.00013285154519937896,-0.00010253391791602208,-0.000317119207712834,-6.900003747890218e-05,-0.012089490613143484,0.0,-0.00010834390858837416,-8.723743932025717e-05,-0.00024701580213775244,-5.754911552739937e-05,-0.009859295681542049,0.0,-9.771375753801722e-05,-8.325267642857228e-05,-0.00023363027281928173,-5.05256549129215e-05,-0.008891951935959567,0.0,-6.622641191853487e-05,-5.256157805973212e-05,-0.00017227494390279144,-3.4488038622577364e-05,-0.006026603484586675,0.0,-9.70120449158602e-05,-6.376012233232688e-05,-0.0003655327010211645,-4.361735824500474e-05,-0.008828096087343279,0.0,-0.00034311149267588387,-0.0003040224537682627,-0.0005792746576170603,-0.0001982018694802872,-0.03122314583350544,0.0,-0.0011856336807236168,-0.0011856617507098356,-0.0017751070567242355,-0.0008464521781318665,-0.10789266494584912,0.0,-0.0029694779807977584,-0.002955328902749867,-0.0033780826165722435,-0.002739532921187373,-0.27022249625259603,0.0,-0.003198796521888041,-0.0031938754574092954,-0.003513725843187355,-0.0027376022377831,-0.29109048349181177,0.0,-0.0015664051931112573,-0.0015827195788614904,-0.00217705003119088,-0.0009983622066010805,-0.14254287257312442,0.0,-0.0005419774880177687,-0.0005384074773465058,-0.0008311837766868052,-0.00028522018539037204,-0.04931995140961695,0.0,-0.00030645677782222827,-0.0003072746704931541,-0.0004575089862880077,-0.00014575144161486683,-0.02788756678182277,0.0
NER.3.3_1,9.0,-0.00026763737312943613,-0.00021812036868990308,-0.0006402426122734852,-0.00014771620128310533,-0.01766406662654279,0.0,-0.000210457390176928,-0.00015638138867113158,-0.0005631748818295117,-0.00010889558022161162,-0.013890187751677248,0.0,-0.00018854959915722328,-0.00013512745241799794,-0.0005123254750182589,-9.597974067339086e-05,-0.012444273544376735,0.0,-0.00014622831079012983,-9.852534432398708e-05,-0.0005063982393980289,-6.026178562512e-05,-0.009651068512148569,0.0,-0.00033766475306488763,-0.00028319173168040086,-0.001048883520496668,-8.175010335988324e-05,-0.02228587370228258,0.0,-0.0006042829764474893,-0.0005198078684287336,-0.0013465830952501276,-0.00037816807588953664,-0.039882676445534296,0.0,-0.001499704643144118,-0.0014225312223357276,-0.002452942088809988,-0.0010123539298679707,-0.0989805064475118,0.0,-0.003041406498491261,-0.002960754921299859,-0.0036907567149411023,-0.0027080601952478986,-0.20073282890042324,0.0,-0.0033953559062412484,-0.003326469599957681,-0.00410893801900858,-0.0029220225388712643,-0.2240934898119224,0.0,-0.002283816405702485,-0.0022492816614729963,-0.003297593507877145,-0.0012316812008692935,-0.15073188277636398,0.0,-0.0008663721295521997,-0.0008810295009617863,-0.0016841324675117364,-0.0002316585935542232,-0.05718056055044516,0.0,-0.0004880914944615828,-0.0004935806229338704,-0.0011019639261773439,-0.0001258862233436061,-0.03221403863446446,0.0
NER.3.4_1,10.0,-0.0004453134776107583,-0.00047356613692556575,-0.0007164079192566688,-0.00022749005443894712,-0.016031285193987298,0.0,-0.0003496262934547398,-0.000372567190874362,-0.0005957340625940631,-0.000153048666147967,-0.012586546564370629,0.0,-0.0003231815846938591,-0.00034034748469341145,-0.0005404721082365209,-0.00013077633020523556,-0.011634537048978929,0.0,-0.0003348151586795516,-0.0003065289864144359,-0.0007208288082985005,-8.710833793745907e-05,-0.012053345712463859,0.0,-0.0007096455237979643,-0.0007184045516031122,-0.0011737142378577387,-0.0001348748146753678,-0.025547238856726717,0.0,-0.0011824054008828194,-0.001304514723241493,-0.0016980436067358608,-0.0005721667564290103,-0.04256659443178151,0.0,-0.002255540255557917,-0.002267747721353075,-0.002969634862461612,-0.0015669820705642025,-0.08119944920008501,0.0,-0.003167318266066768,-0.003154847482096176,-0.0036516930526491616,-0.002572348038123211,-0.11402345757840365,0.0,-0.003589341430549468,-0.0035785205047194147,-0.004132383064998751,-0.00281396504460092,-0.12921629149978084,0.0,-0.0029713135369590113,-0.00298741698740465,-0.0037397111806582884,-0.001969015316812671,-0.1069672873305244,0.0,-0.001355477956113965,-0.0014127565113965961,-0.0018752229966039105,-0.000648298184856613,-0.04879720642010274,0.0,-0.0007766878216248598,-0.0007859898952373673,-0.0011486180080975148,-0.00032213642677623186,-0.027960761578494947,0.0
