GID_2,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
NER.1.1_1,1.0,95164.00203696836,95528.15790612114,85419.68853867645,97590.49941846415,155878635.33655417,0.0,95076.93770979883,95440.54330524642,85408.65012228799,97485.71403718225,155736023.9686505,0.0,94521.33778605243,94845.3864508658,85142.07263488509,96953.46269119694,154825951.29355392,0.0,94353.59312318127,94670.3969624071,85165.7734310754,96744.71015956982,154551185.5357709,0.0,94404.4427740746,94730.79561642332,85221.69951452849,96761.71096684523,154634477.26393417,0.0,94337.98492547632,94644.98524915626,85229.64152964843,96730.18102524042,154525619.30793023,0.0,94226.93793123028,94527.33762983492,85084.24894282015,96687.2475817908,154343724.33135518,0.0,94253.56801388461,94542.49000709779,85097.86971330759,96755.91771322576,154387344.406743,0.0,94442.9822757606,94751.1494449029,85233.76648799267,96850.94227381473,154697604.96769583,0.0,94606.92238344057,94932.97104102463,85296.78524336437,96997.94792249663,154966138.86407566,0.0,94925.17484704348,95277.74678468672,85340.81048613832,97335.58244223006,155487436.39945722,0.0,94758.40173573123,95093.88279780312,85233.22996478807,97228.21090533961,155214262.04312778,0.0
NER.1.2_1,2.0,95796.18834879434,96388.5008548059,90988.55729060553,97472.69330226867,215924608.53818244,0.0,95684.68434025033,96264.6531613241,90945.0332836072,97340.05798634829,215673278.50292423,0.0,95119.07493633793,95703.27040720716,90404.5513525874,96776.85262625043,214398394.90650564,0.0,94974.22408993258,95559.73489062674,90350.00435375916,96641.4212002344,214071901.09870803,0.0,95020.44881215322,95587.2479877425,90467.36437085646,96654.68480341928,214176091.62259337,0.0,94908.738380743,95468.62823418553,90391.89724837874,96528.7262966856,213924296.31019482,0.0,94757.62246082918,95316.9840993974,90255.09873407867,96399.47144020554,213583681.02670896,0.0,94786.1316921218,95361.1936974282,90237.45748278973,96483.40181336565,213647940.8340425,0.0,94993.98579214216,95556.58770927068,90481.38105003627,96604.50735010461,214116443.9754884,0.0,95186.99796047207,95758.76455284146,90589.63452621813,96814.27967747283,214551493.402904,0.0,95529.07715683844,96115.86069909652,90802.2874496142,97179.20695487564,215322539.91151384,0.0,95368.95146512364,95964.00370943401,90577.98493943813,97051.506162185,214961616.60238868,0.0
NER.1.3_1,3.0,96138.57992994248,96267.7163553318,85357.15302915436,97892.11162624996,112866692.83775246,0.0,96039.05514474704,96163.3118628152,85337.79971877276,97783.46942325344,112749850.73993304,0.0,95543.11596485744,95666.81343211378,85094.86206285137,97246.54547631564,112167618.14274263,0.0,95371.61213285787,95495.56619372556,85121.1752472497,97032.47078401137,111966272.64397514,0.0,95398.44310229068,95524.14253271297,85164.24424379556,97062.59978368825,111997772.20208924,0.0,95355.78927158774,95478.4989498844,85162.7978080925,97031.79107120645,111947696.60484399,0.0,95304.71817461078,95430.34140078533,85022.27630933115,97001.44849984744,111887739.13699304,0.0,95364.5702258066,95492.05782173137,85033.83694123733,97072.24689929344,111958005.44509695,0.0,95455.19759363912,95572.271457113,85156.14507381133,97157.59124631758,112064401.97493231,0.0,95595.95845381082,95713.50046376043,85227.41423216411,97294.11841912393,112229655.2247739,0.0,95899.23144041939,96024.52294513107,85280.54774430244,97629.39950688617,112585697.71105242,0.0,95794.3157971693,95920.25165699897,85187.25508316151,97531.43526385113,112462526.74587676,0.0
NER.2.1_1,4.0,98066.47662188923,98077.09971316184,97810.84508514694,98369.96406145082,5589789.167447686,0.0,97935.19875913725,97944.66396468511,97682.2453567728,98236.22550862904,5582306.329270823,0.0,97443.39082402326,97456.89281305176,97195.5913790278,97724.9486034124,5554273.276969327,0.0,97276.39105743644,97292.0011315407,97025.78108256463,97555.3395306009,5544754.290273877,0.0,97359.52769602508,97376.22443853537,97102.9943351733,97630.15050343383,5549493.07867343,0.0,97366.41865672584,97381.23372926084,97101.94048182787,97619.78391209117,5549885.863433372,0.0,97423.646751419,97436.29278041548,97152.50493835514,97685.75153268066,5553147.864830882,0.0,97485.97964795186,97498.9077989377,97212.81665332936,97753.86845996043,5556700.839933257,0.0,97487.35884090602,97501.65218549556,97218.03030352316,97749.71542079699,5556779.453931643,0.0,97524.99247611132,97542.83153655037,97267.45106797002,97797.92586261652,5558924.571138347,0.0,97782.60391907807,97794.97127284894,97531.27087511838,98072.69443695342,5573608.423387448,0.0,97710.65662636554,97725.5403214746,97459.37662832493,97994.9714888128,5569507.427702837,0.0
NER.2.2_1,5.0,97666.43189758142,97675.53035954254,97458.00495479439,97861.83280785344,12208303.98719768,0.0,97540.4215124451,97549.55638634387,97334.69014500141,97732.99817867747,12192552.689055638,0.0,97056.87452339038,97062.79314370142,96846.26138441912,97254.59180383064,12132109.315423794,0.0,96885.5705142174,96887.5406460409,96670.60715159222,97089.70958637174,12110696.314277176,0.0,96959.32293135967,96958.03249499858,96732.11919235539,97177.77399500136,12119915.36641996,0.0,96955.6899127225,96958.03548333076,96711.61695695287,97195.54311289014,12119461.239090312,0.0,97006.87559956056,97010.69767808619,96755.12361211352,97253.43669982204,12125859.44994507,0.0,97065.91127653774,97069.77113230216,96812.45202761512,97313.30951041872,12133238.909567215,0.0,97074.6683099876,97079.08090090752,96829.7496350802,97313.90908616027,12134333.53874845,0.0,97127.98804290257,97129.04808437117,96901.49695866057,97340.04529679434,12140998.50536282,0.0,97391.13587974956,97400.19735437835,97181.14475910431,97585.93807371141,12173891.984968696,0.0,97318.22723160482,97323.53939243061,97103.25701891693,97518.16981539401,12164778.403950602,0.0
NER.2.3_1,6.0,97359.7313255425,97533.6581331683,95893.2437219782,98476.17690015858,97359731.32554252,0.0,97233.35915314924,97404.55917326301,95780.38251014508,98334.33620336537,97233359.15314925,0.0,96705.6630206274,96871.03845787972,95270.294200118,97750.79239278816,96705663.0206274,0.0,96550.2206001334,96717.48667231506,95132.27410614581,97604.51881496195,96550220.60013342,0.0,96582.53233839992,96742.74419695164,95156.92628077167,97632.3650739099,96582532.33839992,0.0,96495.47873534108,96656.53343819002,95053.68373741047,97613.94381855648,96495478.73534109,0.0,96450.97660451206,96622.77136075725,94947.1395024459,97676.28366974523,96450976.60451208,0.0,96522.57520210644,96692.47962868217,95014.95052588164,97743.86063708153,96522575.20210645,0.0,96594.29092577618,96758.542106492,95133.45611307863,97742.45618716805,96594290.92577615,0.0,96745.64356571564,96907.74353366316,95309.75678005855,97800.00772842763,96745643.56571564,0.0,97074.34203813117,97244.7643928402,95630.83697316078,98160.27197550355,97074342.03813116,0.0,96969.05165014832,97135.4456774278,95511.40617491397,98040.27739459244,96969051.65014832,0.0
NER.3.1_1,7.0,98815.36027881312,98821.93745644225,98505.17088439364,99183.22054845512,3557352.9700372727,0.0,98710.1073094524,98716.95945984275,98402.26898894824,99076.34604976435,3553563.8631402864,0.0,98299.25709367396,98297.18728124411,98005.31150852404,98678.12975102408,3538773.255372262,0.0,98225.17527247408,98216.2686814494,97943.0641897487,98628.7415568328,3536106.3098090664,0.0,98352.78946664957,98344.49355537494,98066.9985408693,98771.43519887909,3540700.420799384,0.0,98443.81381447107,98438.51873999859,98151.71202037948,98877.54075069506,3543977.297320958,0.0,98481.22060626256,98474.65038768404,98186.84884144113,98916.74032669225,3545323.9418254527,0.0,98544.91645734069,98537.35766664367,98251.65288277333,98974.00029185208,3547616.9924642644,0.0,98536.64627996813,98528.42004538844,98246.64322316324,98960.14430818836,3547319.2660788517,0.0,98516.68303423347,98507.23681176764,98228.42363630618,98926.04587369326,3546600.5892324056,0.0,98620.78030590102,98623.23394796925,98318.07771279065,98999.54625697326,3550348.0910124364,0.0,98571.81780666091,98573.52709092874,98269.55556639028,98951.97789867848,3548585.441039793,0.0
NER.3.2_1,8.0,98374.31655696667,98319.5464433765,98079.61297074307,98772.79453147069,8952062.806683967,0.0,98271.38361724936,98216.03578762976,97976.51710887931,98668.40290375506,8942695.90916969,0.0,97833.89598205913,97768.50889773734,97522.5334816736,98256.63559829426,8902884.534367379,0.0,97728.58810543542,97652.56488582963,97388.59653539062,98189.18097565543,8893301.517594624,0.0,97841.90690417764,97761.40276085057,97483.07876808726,98324.51338080027,8903613.528280165,0.0,97915.60951652227,97834.03582150438,97537.23856794424,98419.24679859144,8910320.466003526,0.0,97957.36151463137,97878.18290302217,97579.82327708877,98457.39821186534,8914119.897831455,0.0,98019.92073236738,97938.38770082574,97646.55690638992,98515.88003725694,8919812.786645431,0.0,98022.56551063381,97942.14663791876,97659.76786435267,98506.84643548164,8920053.461467676,0.0,98020.27255086543,97944.530720317,97679.4408291319,98479.87002342012,8919844.802128756,0.0,98163.94696958552,98102.2310379053,97852.88779257335,98581.73267294033,8932919.174232282,0.0,98108.04325152909,98045.39921137184,97795.29125722851,98528.23686871414,8927831.935889147,0.0
NER.3.3_1,9.0,98729.1594716065,98695.09974364698,98471.43915368599,99178.532733345,6516124.525126029,0.0,98625.06612369127,98591.641845682,98368.70039830217,99071.69707013221,6509254.364163625,0.0,98217.42754425843,98180.38194353346,97940.92234729014,98676.91195398607,6482350.217921058,0.0,98150.16670060773,98113.90816931572,97850.04639324227,98633.30625941508,6477911.00224011,0.0,98282.85094814078,98249.82185085537,97969.21455423473,98780.10596215085,6486668.162577293,0.0,98376.91866425404,98343.8190056292,98050.65428859569,98888.0993221166,6492876.631840767,0.0,98413.34442392684,98380.58610398922,98088.74761485377,98926.63945342768,6495280.731979171,0.0,98472.99709386566,98438.38951917787,98152.14289225703,98981.73076087104,6499217.808195134,0.0,98464.08857270447,98428.33271547356,98149.0888363614,98967.83270437302,6498629.845798492,0.0,98440.23123974814,98402.38480578834,98138.77198338397,98931.32934126402,6497055.261823378,0.0,98538.47944015566,98503.85114925027,98269.8178326114,99000.0090353544,6503539.643050273,0.0,98487.29697428107,98451.58033948176,98216.92895463554,98951.24957763213,6500161.600302553,0.0
NER.3.4_1,10.0,98918.48136383377,98913.20409557113,98636.1715007786,99183.27231823072,3561065.329098016,0.0,98813.3163176948,98808.35223047053,98532.23502141016,99075.61173124646,3557279.3874370125,0.0,98422.55495732557,98427.07298232926,98121.69546276065,98699.77251411174,3543211.97846372,0.0,98379.7705267318,98385.84993758275,98052.62821181225,98678.09885834844,3541671.738962345,0.0,98527.05257640127,98534.25418596508,98185.05877802108,98833.78613074108,3546973.8927504458,0.0,98631.9531641993,98642.51455608108,98277.91894432859,98945.34306009336,3550750.3139111744,0.0,98665.69824949515,98673.20888617274,98314.88605506717,98978.86845303827,3551965.136981825,0.0,98719.41387563894,98724.82424579497,98372.80132299585,99029.6809426428,3553898.899523002,0.0,98706.79698192957,98712.51847012,98365.50772163279,99014.62861835708,3553444.691349465,0.0,98671.23097306091,98677.46299051674,98341.49258551878,98970.4037159618,3552164.315030193,0.0,98741.28220817877,98743.12535829288,98444.45492040624,99017.71939280932,3554686.159494435,0.0,98688.5975744776,98690.12857028288,98391.60933675566,98967.12565014226,3552789.512681193,0.0
