GID_2,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
RWA.1.1_1,1.0,286.9110264238113,286.8614302406292,286.2186375064189,287.79063401216155,1721.4661585428678,0.0,287.32995820219935,287.2371544794569,286.68411477185623,288.14068539248296,1723.9797492131963,0.0,287.7728910617615,287.67717284149103,287.15738494047,288.47660662053914,1726.6373463705688,0.0,287.8137847074408,287.7258098102746,287.2715967188136,288.4405364234975,1726.8827082446453,0.0,286.35531770136043,286.29306371235043,285.7551400300458,287.00423745014257,1718.1319062081625,0.0,284.35438183098864,284.26341902664404,283.53625298520825,285.2927210084439,1706.126290985932,0.0,282.8601679268292,282.6739993216763,281.84971483989625,284.26217646995565,1697.1610075609753,0.0,283.5396374392203,283.3390910795772,282.4896350846393,285.0638809269558,1701.2378246353219,0.0,285.1013932047065,285.02676590215606,284.21856770739936,286.1999703164874,1710.6083592282391,0.0,286.27184113154027,286.18327840315294,285.56141115230764,287.041467321693,1717.631046789242,0.0,286.7345304631034,286.6353288634938,286.0618842846455,287.4901366671365,1720.4071827786206,0.0,286.404384550013,286.32344081126803,285.6579082861843,287.21610892438235,1718.4263073000782,0.0
RWA.1.2_1,2.0,288.1031409311758,287.80479944655036,286.9420600316965,289.51965783513884,2016.721986518231,0.0,288.40200271080835,288.0952584930838,287.3183013226182,289.8259606419464,2018.8140189756589,0.0,288.8381023854756,288.47519533946814,287.8412089597308,290.1089093502465,2021.866716698329,0.0,288.82640786191826,288.5272759459254,287.9458477534498,289.82650960568014,2021.7848550334281,0.0,287.22128756814664,286.91570656778305,286.2098166017077,288.3909792629883,2010.5490129770265,0.0,285.2667171991134,284.97922531634566,283.91067675275065,287.01877035060926,1996.8670203937936,0.0,283.8502905761805,283.6006621536403,282.22090868755544,286.0208290313216,1986.9520340332635,0.0,284.46857985062036,284.0440057896152,282.9951933231315,286.7040962843492,1991.2800589543426,0.0,285.92705147525425,285.6087488228567,284.64348831341425,287.7449220681937,2001.4893603267801,0.0,287.2382349279565,286.9357129717473,286.11515911945577,288.7388363771885,2010.6676444956952,0.0,287.711461094071,287.3952331223314,286.65388240197484,289.07769710115707,2013.980227658497,0.0,287.38731288809305,287.09675944474844,286.2545283044771,288.9488124125058,2011.7111902166519,0.0
RWA.1.3_1,3.0,287.30282528171495,287.1314290075217,286.4144689569196,288.61574728526483,1723.8169516902897,0.0,287.9424006074272,287.77793155650767,286.9569571730576,289.21394056540436,1727.6544036445632,0.0,288.52015503156053,288.3750095701489,287.5182660246777,289.72988311359427,1731.1209301893632,0.0,288.58356929896536,288.4543766898784,287.63901732198934,289.6888259638565,1731.5014157937924,0.0,286.9434770837832,286.85122021428487,286.0068617109798,288.0269804817569,1721.6608625026984,0.0,284.698798818013,284.60270779547005,283.71727391222214,285.89152609891664,1708.1927929080782,0.0,282.80744565337744,282.7172478371498,281.9717538951093,283.8191338758805,1696.844673920265,0.0,283.7223729138953,283.6611982376442,282.7209221559752,284.79524202100515,1702.3342374833717,0.0,285.42911619925303,285.37137172867506,284.4366678878879,286.5150422178458,1712.574697195518,0.0,286.83624207534024,286.7345473659875,285.84258214100123,287.97681161349624,1721.0174524520417,0.0,287.3477716492107,287.20974259439174,286.3509612398692,288.5263614993368,1724.0866298952642,0.0,286.8349178919739,286.66690414799933,285.84953571112067,288.1048744244899,1721.0095073518432,0.0
RWA.1.4_1,4.0,285.94586201739145,285.9044095050385,283.11606250130325,288.8585665581854,1143.7834480695658,0.0,286.3823604476952,286.34500191642974,283.59616807169624,289.2432698862249,1145.5294417907808,0.0,286.8744007093802,286.84626296091295,284.2375621653217,289.56751475037316,1147.4976028375208,0.0,286.7629670251771,286.757260783376,284.2345681413059,289.30277839265017,1147.051868100708,0.0,285.43768921842025,285.46212563496084,282.87804994047667,287.94845566328263,1141.750756873681,0.0,283.76695017450965,283.77936202583265,281.00276510693186,286.506311539441,1135.0678006980386,0.0,282.9293629448998,282.97969195065195,280.2088290464597,285.5492388318356,1131.7174517795993,0.0,283.7746435353997,283.85187043954517,281.07698262221544,286.317850640293,1135.0985741415989,0.0,284.62710355505664,284.64570529139536,281.906972416936,287.3100312204995,1138.5084142202265,0.0,285.44903902753987,285.42571346919937,282.74583160362243,288.19889756813836,1141.7961561101595,0.0,285.81121609155645,285.7912042532833,283.1065063230908,288.5559495365684,1143.2448643662258,0.0,285.6508750763879,285.65299640775726,282.83831573589214,288.4591917541448,1142.6035003055515,0.0
RWA.1.5_1,5.0,287.72825339883155,287.83280241947966,287.17081739819304,288.18114037882196,863.1847601964946,0.0,288.2142497441758,288.2753025822382,287.6463742391473,288.7210724111418,864.6427492325273,0.0,288.790963879594,288.85892275195874,288.1971371153698,289.31683177145317,866.372891638782,0.0,288.8365530798748,288.9096932908331,288.2688121952628,289.3311537535285,866.5096592396242,0.0,287.0907674212039,287.16017819168644,286.5476955868807,287.5644284850445,861.2723022636118,0.0,284.8506576767539,284.92231607336964,284.3006547670259,285.3290021898662,854.5519730302617,0.0,282.97481723645785,283.01361932873834,282.5028273539648,283.40800502667037,848.9244517093738,0.0,283.8683992896402,283.9032176897146,283.3917644800049,284.3102156992008,851.6051978689204,0.0,285.5402245565432,285.5583875508948,285.0156328335778,286.04665328515665,856.6206736696295,0.0,287.0604391709371,287.1083544145287,286.4925821031943,287.5803809950883,861.1813175128112,0.0,287.58780073959116,287.6456544283545,287.01637392631403,288.1013738641051,862.7634022187736,0.0,287.1274189360184,287.18901270003767,286.57104727818995,287.62219682982743,861.3822568080551,0.0
RWA.2.1_1,6.0,288.47448529197663,288.7141240349173,287.6717230228647,288.9807779931262,1442.3724264598832,0.0,289.005026459031,289.2335518881016,288.23283189182564,289.47252937976464,1445.0251322951553,0.0,289.26237082006764,289.4722785561946,288.506437380028,289.74558992830083,1446.3118541003385,0.0,289.3571271532488,289.53265542035064,288.69369594124606,289.80199087401394,1446.7856357662438,0.0,287.40755109142845,287.54917215133537,286.61171630785185,288.0017777595375,1437.0377554571426,0.0,285.14029593129885,285.1908622461702,284.18219568954737,285.904335538797,1425.701479656494,0.0,282.531699368657,282.44993852657245,281.53370071703506,283.4360013849516,1412.6584968432846,0.0,282.60321642696863,282.4673278296125,281.6010763105125,283.5918499000695,1413.0160821348431,0.0,284.52727995973447,284.49980800058256,283.42749200302444,285.49656873789337,1422.6363997986725,0.0,287.21077319228317,287.4058489123883,286.3534868817765,287.8060774596968,1436.0538659614162,0.0,288.4432372463079,288.6440299196432,287.72218686935804,288.8792087248925,1442.2161862315397,0.0,287.8293092583591,288.07451943574506,287.0077680516933,288.34747075423235,1439.1465462917954,0.0
RWA.2.2_1,7.0,287.4490496267742,287.41998693677084,287.0046872667693,287.87715485786606,1437.2452481338707,0.0,287.80990537329984,287.67734811393296,287.27363487851846,288.3608329488316,1439.0495268664993,0.0,288.15374258593863,288.03064412502437,287.63162550903144,288.69260073199507,1440.768712929693,0.0,288.33742311896145,288.2252543758249,287.8510453575917,288.8578753980462,1441.6871155948072,0.0,286.3239328224705,286.2069895670772,285.77478589161166,286.95875658200606,1431.6196641123527,0.0,284.2317209327699,284.29563530429425,283.72185249976764,284.83744095071637,1421.1586046638495,0.0,282.06273704100016,281.9957945935175,281.62526140865435,282.52420388233867,1410.3136852050006,0.0,282.11659928686095,281.99245060916365,281.65223810047354,282.561101637723,1410.5829964343047,0.0,283.71384248002585,283.6399149747755,283.2466539912993,284.3100727976135,1418.5692124001293,0.0,286.0456095960919,286.0319509098396,285.51958670219466,286.62210219407905,1430.2280479804597,0.0,287.23810765910287,287.06517111741067,286.7080094175629,287.7592185605234,1436.1905382955144,0.0,286.6334939525482,286.5366109346527,286.11160331211045,287.1809688619645,1433.1674697627413,0.0
RWA.2.3_1,8.0,288.3736555848529,288.26735168925745,287.6441934287285,289.40980893029524,1730.2419335091172,0.0,288.68874388708036,288.5516839242055,288.00455141037963,289.6927303696948,1732.1324633224826,0.0,289.1792923838145,289.0151216558934,288.5594760055638,290.1560264866625,1735.0757543028867,0.0,289.29239731524086,289.14603681873575,288.6983475939511,290.1860824217593,1735.7543838914453,0.0,287.5322712676868,287.4086913054439,286.8989130998815,288.4674231728405,1725.1936276061206,0.0,285.3852971732967,285.3063741881176,284.6212414262306,286.38619990876435,1712.31178303978,0.0,283.58087666281745,283.68152355918585,282.77348059650683,284.4032233269762,1701.4852599769047,0.0,284.12304738886814,284.0731086246365,283.38866055449995,284.99479100454056,1704.7382843332086,0.0,285.8297370571039,285.70940094470143,285.05136116409835,286.8510627818228,1714.9784223426236,0.0,287.4380737311052,287.29482186331035,286.7311202304082,288.38992786284024,1724.628442386631,0.0,288.0776410228646,287.9391707519736,287.3839298574017,289.077498750249,1728.4658461371878,0.0,287.6219328731812,287.4812838957391,286.8896368754137,288.6860834395156,1725.731597239087,0.0
RWA.2.4_1,9.0,288.1392962942671,287.9947103675112,287.53865761560525,288.9362675024998,1728.8357777656024,0.0,288.3507908407165,288.1796775753084,287.81404174397426,289.12414595648283,1730.1047450442984,0.0,288.7864924344248,288.59245997528734,288.24384756897115,289.56752286281846,1732.7189546065488,0.0,288.89811969934885,288.72653322126814,288.48101631149694,289.52330013964587,1733.3887181960931,0.0,287.1716498652974,286.9345609384352,286.60315101042715,288.0014457145648,1723.0298991917844,0.0,285.21904064646554,285.01785208778057,284.46977130103295,286.24321062336486,1711.3142438787936,0.0,283.9559084239084,283.8540762722111,283.0436165898966,285.0944835463344,1703.7354505434507,0.0,284.3249483208392,284.2428074259732,283.3269274540725,285.565387218004,1705.9496899250355,0.0,285.66275146295015,285.5349777043893,284.7461707584971,286.82806993317496,1713.9765087777012,0.0,287.1736094244958,287.0534039070332,286.486753734775,288.05177567101464,1723.041656546975,0.0,287.7214036439619,287.5649321319312,287.2310368933028,288.43209092690387,1726.3284218637714,0.0,287.3149091168785,287.1551866029981,286.71626966561206,288.1446071950647,1723.889454701271,0.0
RWA.2.5_1,10.0,287.2081300404168,287.498892978927,285.94587187337396,288.37643519623094,2584.8731703637523,0.0,287.254071404062,287.48396371173874,286.0079117083711,288.4053988265393,2585.286642636558,0.0,287.6082374706941,287.8201210206996,286.4272599264061,288.74574611984724,2588.474137236247,0.0,287.7783000314538,287.9803426278073,286.69286093618837,288.86145540931864,2590.004700283085,0.0,285.84971110630863,286.07770699389795,284.6578817461668,286.9740412490724,2572.647399956777,0.0,284.2910492825335,284.5664172823056,282.9007984967721,285.4114060338493,2558.619443542801,0.0,283.08578562533063,283.446317734704,281.67256973615247,284.21927418725016,2547.7720706279747,0.0,283.0542892761364,283.21299344919663,281.3129381004416,284.4379119440188,2547.488603485227,0.0,284.16955857282056,284.21374375117,282.29333900746764,285.4348879100521,2557.5260271553852,0.0,285.7479859052248,285.95250335999236,284.20407947769826,287.02759558118646,2571.731873147023,0.0,286.63492257489565,286.82520782120764,285.492468935923,287.74844749134115,2579.714303174061,0.0,286.22287442568495,286.4200134523219,285.117807309656,287.3401673063543,2576.0058698311645,0.0
