GID_2,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
ZAF.1.1_1,1.0,87849.45728277907,87328.27332305255,79669.42870845599,99277.31510853932,7467203.869036223,0.0,88021.8465866582,87500.81213738985,79830.80327975562,99433.84815785458,7481856.959865947,0.0,87997.92186957457,87472.97650735937,79795.63656235582,99440.34854946307,7479823.358913839,0.0,88142.41528460891,87612.16503907673,79834.99925884252,99691.32989393976,7492105.299191756,0.0,88314.62877493369,87778.45412459603,79975.55610231067,99890.58626401816,7506743.445869364,0.0,88423.48246051495,87886.80070194343,80014.81773668362,100070.10583674918,7515996.009143773,0.0,88426.32951640655,87883.28818934827,80033.78357428593,100095.85509499248,7516238.008894556,0.0,88028.24637527818,87484.57541575503,79629.91598882555,99741.1153755752,7482400.941898648,0.0,88127.01205515732,87592.74962442617,79771.86475200628,99837.08394347133,7490796.024688372,0.0,88036.22889402838,87502.95817553834,79751.66748687066,99662.99663774174,7483079.455992413,0.0,87801.56749101683,87269.56155463378,79559.98248488213,99349.23862883924,7463133.236736429,0.0,87726.60233964978,87201.67340159067,79544.99775434421,99177.38524011524,7456761.19887023,0.0
ZAF.1.2_1,2.0,94070.27661315844,94337.02271750057,85481.62585007711,100438.2552296291,16274157.854076415,0.0,94228.95113669694,94496.09044970684,85654.4860250381,100579.06171692237,16301608.54664857,0.0,94208.35737355932,94473.10289379713,85616.84273995514,100570.82317361695,16298045.825625764,0.0,94441.63876560816,94714.0487155716,85749.58089231132,100859.54173686006,16338403.50645021,0.0,94593.69348580964,94856.67411147604,85904.1437998037,101000.09577204767,16364708.973045064,0.0,94714.29567501404,94973.07282585293,85973.8605199573,101128.32134569077,16385573.151777428,0.0,94728.55551526774,94986.99600812496,85974.89878745713,101181.28464529602,16388040.104141315,0.0,94413.25701446502,94681.89804464887,85612.22622556619,100925.45642447613,16333493.463502448,0.0,94456.3932432523,94722.00670918268,85683.12721081843,100951.5331225333,16340956.031082647,0.0,94363.40707343817,94632.41556564473,85633.57724511057,100851.0341523336,16324869.423704805,0.0,94093.32693037193,94362.57710169474,85404.62432531077,100534.9474134816,16278145.558954345,0.0,93994.32437070136,94265.95458677637,85369.60368572961,100401.61476354103,16261018.116131332,0.0
ZAF.1.3_1,3.0,97871.48185169855,98482.41066715255,93530.47170689458,100322.3067434901,1761686.6733305743,10.0,98020.1260853265,98628.77901626346,93692.52233661091,100464.48605017293,1764362.2695358768,10.0,98007.15865091082,98617.67872947756,93667.82319201506,100457.74195880405,1764128.8557163947,10.0,98277.48216987873,98894.1924755042,93899.71691041165,100748.01031352943,1768994.6790578172,10.0,98417.22170644633,99033.39270471797,94044.81719203237,100889.48828636669,1771509.990716034,10.0,98544.4486869856,99163.65536837127,94155.58999584489,101020.32763780668,1773800.0763657403,10.0,98577.1780226983,99198.28654048695,94168.02352015476,101070.01135756746,1774389.204408569,10.0,98298.19674781324,98923.49817857351,93860.11992697263,100810.38310963153,1769367.5414606384,10.0,98336.03514842324,98960.59457826422,93899.09320526096,100838.28362473713,1770048.6326716184,10.0,98233.36094196599,98854.84688312325,93814.16019042193,100733.10726599462,1768200.4969553882,10.0,97941.00664198502,98559.84141585186,93547.09353479356,100419.4217455006,1762938.1195557304,10.0,97819.26631628658,98432.70491300557,93458.26194063123,100284.99794920046,1760746.7936931585,10.0
ZAF.1.4_1,4.0,93657.15741552619,93495.25570609473,83497.90349083969,100501.17537127806,43175949.568557575,0.646551724137931,93804.78096663328,93626.1808315816,83696.96016022732,100635.40303251332,43244004.02561794,0.646551724137931,93792.01302391462,93618.71692851448,83658.996348107,100627.59779490432,43238118.00402464,0.646551724137931,94031.15273169868,93845.32364870084,83787.46658373401,100913.51966641356,43348361.40931308,0.646551724137931,94214.52571251252,94008.37518434727,83994.31524690194,101051.1383102074,43432896.35346827,0.646551724137931,94299.59690250213,94101.47569479203,84030.32764219338,101165.66054968485,43472114.17205349,0.646551724137931,94330.14680427057,94119.23729997178,84041.74176884668,101222.88992422976,43486197.676768735,0.646551724137931,94069.89544306217,93874.51996224816,83674.62171649262,100986.90382590241,43366221.79925166,0.646551724137931,94032.2424651366,93850.50541825233,83702.46740208816,101004.33770146113,43348863.77642797,0.646551724137931,93962.95462758096,93783.45650554168,83650.09958338058,100915.69504874498,43316922.08331482,0.646551724137931,93688.24186354193,93509.16637058444,83426.50606340759,100597.9117532062,43190279.49909283,0.646551724137931,93596.092192181,93425.24889671686,83390.26110799267,100469.05812912561,43147798.50059544,0.646551724137931
ZAF.1.5_1,5.0,87255.65766333659,87215.2775158614,82202.55992467044,92673.57939440847,24780606.77638759,0.0,87451.22714842892,87420.25101651136,82387.98052460764,92846.72400250752,24836148.51015381,0.0,87423.38879025447,87390.80195162607,82355.21901629781,92821.1273836224,24828242.41643227,0.0,87595.0522260384,87574.05174963543,82442.38130625611,93048.24489325752,24876994.832194906,0.0,87788.1581626826,87793.37378778265,82615.82341899411,93217.68648814537,24931836.918201856,0.0,87885.14648550878,87893.97538463827,82670.18717255662,93359.82790358904,24959381.60188449,0.0,87884.80503653955,87890.40183102523,82675.14739772632,93352.31435307217,24959284.63037724,0.0,87503.73526237921,87507.95796273975,82265.79117565611,92985.40008886684,24851060.81451569,0.0,87531.66774914277,87499.81457708731,82361.16003017062,93042.86693341086,24858993.64075655,0.0,87446.32023170742,87413.5084413129,82314.1632319867,92931.582287552,24834754.94580491,0.0,87207.63523813288,87173.73016376782,82099.47674005077,92677.50777883404,24766968.407629736,0.0,87145.27495796287,87108.49759864574,82077.05662947956,92576.47216810644,24749258.088061456,0.0
ZAF.1.6_1,6.0,83824.36443577222,84229.44998559036,77544.54873698148,89616.37097038393,17100170.344897535,0.0,84026.59884022985,84435.03607817215,77705.45418122277,89793.52750053573,17141426.16340689,0.0,84012.84527191879,84428.44686626454,77678.86773819836,89764.1371200409,17138620.435471438,0.0,84124.73920140258,84550.59952193934,77688.60138348465,89943.19818706012,17161446.797086127,0.0,84334.4432614609,84781.00763048761,77844.35369417496,90118.15811885564,17204226.425338022,0.0,84413.86205160632,84865.03561709296,77859.4425284833,90243.93483637736,17220427.85852769,0.0,84425.59290979027,84871.5995688058,77889.56991883008,90233.0953144808,17222820.953597218,0.0,84005.34406926246,84457.04983660765,77479.14373297355,89842.6664635801,17137090.19012954,0.0,84051.55768762696,84472.70067917906,77625.27597260517,89923.45684787648,17146517.7682759,0.0,83967.54687197141,84372.73535879885,77604.09371712722,89822.66167099286,17129379.561882168,0.0,83754.33236249413,84159.63072408011,77420.45744979182,89580.69800902944,17085883.8019488,0.0,83706.29963464681,84106.62743203751,77424.17942205824,89496.8714693307,17076085.12546795,0.0
ZAF.1.7_1,7.0,99563.00742503273,99635.26222490448,97875.06662495037,100628.35170673074,1393882.1039504579,6.666666666666668,99682.35182605633,99755.38789476122,98000.326731282,100745.58565354033,1395552.9255647885,6.666666666666668,99677.14862792069,99751.88571774852,97992.36435970436,100740.18692763087,1395480.0807908894,6.666666666666668,99946.360424693,100025.42365514117,98248.89420466768,101014.304778859,1399249.0459457021,6.666666666666668,100098.00322483043,100180.55374202775,98403.61566694136,101160.30201839472,1401372.045147626,6.666666666666668,100180.40998202225,100266.10646284923,98486.79108301036,101243.49915884336,1402525.7397483112,6.666666666666668,100241.49647292537,100326.787167068,98538.33936157748,101310.2319590634,1403380.950620955,6.666666666666668,100039.67630777859,100123.79205986463,98321.55186436276,101113.23324714806,1400555.4683089005,6.666666666666668,100021.50873672457,100100.35702851096,98300.52236290961,101103.79434578212,1400301.1223141442,6.666666666666668,99961.97692035043,100038.36703728027,98245.02801542087,101042.746171923,1399467.676884906,6.666666666666668,99649.60205268953,99724.27982984457,97943.07664172024,100724.11596217725,1395094.4287376537,6.666666666666668,99528.30546696168,99602.67249464378,97832.44623073726,100596.4779383238,1393396.2765374635,6.666666666666668
ZAF.1.8_1,8.0,93803.00423962012,93635.14783420275,87053.90270443773,99880.63654691234,8817482.398524292,3.09278350515464,93967.0169380031,93800.63447511317,87230.85972320674,100031.02375629099,8832899.592172291,3.09278350515464,93950.10073948727,93782.12586029909,87196.94587775403,100032.1177212039,8831309.469511805,3.09278350515464,94167.86227602336,94003.68325937404,87340.72942154847,100306.37408986744,8851779.053946195,3.09278350515464,94339.03221685186,94172.46727478564,87502.23803770366,100488.33225045107,8867869.028384075,3.09278350515464,94482.5761492042,94316.24716099317,87605.46098048275,100659.2629255772,8881362.158025196,3.09278350515464,94485.8386865986,94315.99826584,87596.35797782554,100687.91618575607,8881668.836540269,3.09278350515464,94127.22496266828,93957.16690638117,87205.00789134332,100360.79784898773,8847959.146490818,3.09278350515464,94207.34085941492,94031.60412960117,87302.88615331231,100428.29855664133,8855490.040785,3.09278350515464,94082.97036750881,93908.15156259734,87223.57781914384,100277.77250405477,8843799.214545827,3.09278350515464,93819.15856283695,93650.46579972313,86992.29094337013,99973.17797493537,8819000.904906675,3.09278350515464,93701.17526267676,93534.92073874264,86930.6588442931,99805.28640317752,8807910.474691615,3.09278350515464
ZAF.2.1_1,9.0,85400.29889605675,85327.71601802169,83602.5788451349,86884.32130762588,13834848.421161193,0.0,85546.75451873892,85473.27921194959,83747.40153694218,87042.87832369383,13858574.232035706,0.0,85614.43959770567,85541.99110487619,83792.17048322326,87124.64076952514,13869539.21482832,0.0,85728.31309348106,85653.84746517232,83881.65844319337,87262.69836407788,13887986.721143933,0.0,85978.24906991866,85906.830779104,84094.83514234188,87551.43140692463,13928476.349326825,0.0,86081.26300978637,86007.9244166713,84177.53183358995,87672.61521915591,13945164.60758539,0.0,86119.82449388635,86046.62031466527,84219.10392800659,87704.94716979958,13951411.568009587,0.0,85701.05811684932,85625.99078845578,83820.45496931179,87268.53986083875,13883571.414929593,0.0,85682.62566262568,85607.55004265308,83848.76181514033,87203.5958044158,13880585.35734536,0.0,85550.23012473455,85473.37291873606,83746.56137045789,87035.29282504266,13859137.280206995,0.0,85384.46000766254,85311.09392186662,83584.33534116138,86861.92492657588,13832282.52124133,0.0,85318.76090274096,85244.63441297082,83526.95871969197,86792.8272325724,13821639.266244035,0.0
ZAF.2.2_1,10.0,86863.04903228725,87003.80989240992,85102.08040282743,88130.1028530672,21715762.258071814,0.0,87045.49238770094,87183.74022777905,85257.24536162644,88356.86622778287,21761373.09692524,0.0,87117.02429000646,87254.28347762597,85316.03506715481,88427.64048815503,21779256.07250161,0.0,87263.37850141531,87405.12670604147,85426.83891834925,88610.49912533029,21815844.625353828,0.0,87558.94025139579,87704.55304886191,85678.43981749662,88937.73530129828,21889735.062848948,0.0,87680.01397817588,87829.45160053465,85780.41074966312,89067.88512074607,21920003.49454397,0.0,87707.41768458865,87852.96217783201,85817.1651016937,89088.79434040314,21926854.421147164,0.0,87275.54088418072,87419.07713313837,85392.13323093254,88669.47255135547,21818885.22104518,0.0,87201.9316802361,87341.05780785653,85378.10908471477,88542.23028905292,21800482.920059025,0.0,87031.84408130657,87168.41470427238,85243.22632425206,88356.15751567709,21757961.020326644,0.0,86847.31018321641,86983.81676089551,85074.9807473276,88160.23693912293,21711827.545804106,0.0,86770.63169984907,86909.2913765735,85012.13820220488,88057.60053193918,21692657.924962267,0.0
