GID_2,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
ZMB.1.1_1,1.0,-0.003569289234009338,-0.003580781686803529,-0.0037594660113312453,-0.0033053762725425546,-0.3533596341669245,0.0,-0.003665985830998371,-0.0036631175378724545,-0.0038534762351589524,-0.003474952260102753,-0.3629325972688387,0.0,-0.003856010290028229,-0.0038702496444767928,-0.00407696333709948,-0.003573742605294947,-0.3817450187127946,0.0,-0.002717835290250728,-0.002684232376845591,-0.003134973017614361,-0.0022718541900052123,-0.26906569373482203,0.0,-0.0012564917113007932,-0.001215424846303783,-0.0015996106901717936,-0.0009093677333872576,-0.12439267941877853,0.0,-0.0006936512500017563,-0.0006742946695216876,-0.000936511541397111,-0.00045420607936125956,-0.06867147375017386,0.0,-0.0005461135889939389,-0.0005289767603798828,-0.0007878290125818265,-0.0003215589110549509,-0.05406524531039995,0.0,-0.0006251950794669241,-0.0006128791977103043,-0.0008797902553229235,-0.0003665343692981629,-0.06189431286722547,0.0,-0.0006279484404946258,-0.0006248595072883468,-0.0009562476113665453,-0.00033954750112499436,-0.06216689560896796,0.0,-0.0011189797068732036,-0.0011246496151848787,-0.0016616317332642113,-0.0007275750002776379,-0.1107789909804472,0.0,-0.0015773354789479187,-0.0014077701799850954,-0.002403529202780836,-0.0008723698123166639,-0.156156212415844,0.0,-0.003274225551180993,-0.003267193919002239,-0.0035503939274152546,-0.003009567973426653,-0.3241483295669184,0.0
ZMB.1.2_1,2.0,-0.003541515801975918,-0.0035730760552194867,-0.0036934609146223756,-0.00328936025563307,-0.05312273702963877,0.0,-0.003640174772099235,-0.0036376229364709993,-0.0037703671281505593,-0.003473899350009307,-0.05460262158148853,0.0,-0.0038222093689393452,-0.00381460836906744,-0.003989998232311796,-0.0035460494538977366,-0.057333140534090186,0.0,-0.0028574215343009,-0.002891760101392795,-0.0031126630427939,-0.0025458375780773607,-0.04286132301451349,0.0,-0.001328589976549109,-0.001309521014885141,-0.001489927726798892,-0.0011597657376141806,-0.01992884964823664,0.0,-0.0007508100459245352,-0.0007319309124202367,-0.0008689844668709985,-0.0006724197782519532,-0.011262150688868029,0.0,-0.0005796364503273773,-0.0005703302090173133,-0.0006660693657319166,-0.0005188143695377029,-0.00869454675491066,0.0,-0.0006983318003354948,-0.0006821034550553947,-0.000802427309302991,-0.0006193009422106418,-0.01047497700503242,0.0,-0.0007092507952123287,-0.0007023497109546268,-0.0008219982871586505,-0.00062570959986308,-0.010638761928184932,0.0,-0.0014435781623138824,-0.0014228774124682825,-0.0017192094422067011,-0.0012174375953498484,-0.02165367243470824,0.0,-0.0016464615287033464,-0.0015865668605676495,-0.001993379067065766,-0.0012476452597929186,-0.0246969229305502,0.0,-0.00314735503698708,-0.003170697596226066,-0.003264238676704565,-0.0029827103147656315,-0.0472103255548062,0.0
ZMB.1.3_1,3.0,-0.0036577003788742703,-0.003643973237572487,-0.0041467194643461545,-0.0032383203780550433,-0.501104951905775,0.0,-0.003648287969883026,-0.0036717764154551736,-0.004013230713921507,-0.003211692009989616,-0.4998154518739745,0.0,-0.0038019360543187055,-0.0038049881429050455,-0.004157502899396396,-0.003265260834017048,-0.5208652394416627,0.0,-0.003190281778529526,-0.003193766356801073,-0.003804972473895075,-0.0025971659814328536,-0.43706860365854505,0.0,-0.001682324989377576,-0.0017000948011050565,-0.0022450947412113614,-0.0011409064166421144,-0.2304785235447279,0.0,-0.0009744664493549725,-0.0009876773390088637,-0.0014419268124016222,-0.0006341932136412066,-0.13350190356163122,0.0,-0.0007752837533979317,-0.0007815184283224058,-0.0012787910334252743,-0.0005135522502334874,-0.10621387421551667,0.0,-0.0008799971154435181,-0.0008706563751135367,-0.0013448366734228909,-0.0005648898538982976,-0.120559604815762,0.0,-0.0009035998759015493,-0.0008885167376602148,-0.0014903914418166581,-0.0005862836592035665,-0.12379318299851225,0.0,-0.0016029417430382447,-0.0015355635057364536,-0.002435528634165416,-0.0010474953658221359,-0.2196030187962396,0.0,-0.002223080093707031,-0.002238028347315471,-0.0027991139055465954,-0.0009050028546175157,-0.30456197283786324,0.0,-0.003218656408777964,-0.003236906583449111,-0.0036838654437453353,-0.002651768487491823,-0.440955928002581,0.0
ZMB.1.4_1,4.0,-0.003582824498601621,-0.0035823465801663634,-0.003868087094418532,-0.0031608657203761052,-0.5195095522972349,0.0,-0.0035356458271559406,-0.003555995984906874,-0.0038663514388291437,-0.0030666605418872557,-0.5126686449376114,0.0,-0.003815642803681925,-0.003832325307754604,-0.00422435492392953,-0.0032167644061949405,-0.5532682065338791,0.0,-0.0031760886789199533,-0.003283182447033412,-0.003565412424673374,-0.001996477565767591,-0.4605328584433932,0.0,-0.0017403774332896535,-0.001824593487326416,-0.0023389579782170608,-0.0007892493137871874,-0.2523547278269997,0.0,-0.0010443589080855328,-0.0011169234996530213,-0.0016790173989270336,-0.0004246641106535712,-0.15143204167240226,0.0,-0.0008569819594361527,-0.0008977588332861809,-0.0015428278328766991,-0.00030475395067409067,-0.12426238411824216,0.0,-0.000986899787251464,-0.001065573542738719,-0.00141366137029616,-0.0003326712834477155,-0.14310046915146227,0.0,-0.0010039825753094707,-0.001075960945228303,-0.0017467409233432798,-0.00030667168663561453,-0.14557747341987326,0.0,-0.001747529444220817,-0.001814551351282234,-0.0027779389360019077,-0.0005485961076022829,-0.2533917694120185,0.0,-0.0018254270642251032,-0.0019311417725638165,-0.002622793025859901,-0.0006212110247697119,-0.26468692431264,0.0,-0.003175067441657857,-0.0031774966811147732,-0.003780242437922468,-0.0027128556201727865,-0.4603847790403892,0.0
ZMB.1.5_1,5.0,-0.0037110097471544728,-0.0036937720205219454,-0.004189664356604945,-0.003314565822844361,-0.6345826667634149,0.0,-0.003711551014282081,-0.0037075257219308603,-0.00400641244326023,-0.003442363506531634,-0.6346752234422359,0.0,-0.0038024868059567305,-0.003788918465415274,-0.004320832911035303,-0.003430094143178209,-0.6502252438186009,0.0,-0.0030955953315016512,-0.003199744243296777,-0.0037400763799988507,-0.0019685910376061955,-0.5293468016867824,0.0,-0.0015132517980841929,-0.0016065681365619927,-0.0019458989457107122,-0.0006948825555420442,-0.2587660574723969,0.0,-0.0008281282423415006,-0.0008685242170426467,-0.0011398874042692724,-0.00034199746238844776,-0.1416099294403966,0.0,-0.0006599629905112298,-0.0006948630400706808,-0.0009636559619052644,-0.00024912487152946143,-0.11285367137742032,0.0,-0.0007032830180682298,-0.0007508596491902555,-0.0009771101182217148,-0.00027218417731184736,-0.1202613960896673,0.0,-0.000698834609891029,-0.0007438263529168719,-0.0010456610783704432,-0.0002561500151970996,-0.11950071829136595,0.0,-0.0009868522807807165,-0.0009894678023905283,-0.0013500548848028725,-0.0006139831823755258,-0.16875174001350252,0.0,-0.0023741366691794807,-0.0024039542539543426,-0.0031418153103736123,-0.001304915894768156,-0.4059773704296913,0.0,-0.0034981278808925605,-0.0034986965070778553,-0.003845225784674162,-0.0031196001650766825,-0.5981798676326279,0.0
ZMB.1.6_1,6.0,-0.0034614672300692768,-0.003444009276140748,-0.003907006828016975,-0.0030035756461524172,-0.6576787737131624,0.0,-0.0035850627861401148,-0.0035859941224206117,-0.0041074659576585395,-0.003096915453449278,-0.6811619293666218,0.0,-0.003835583653340436,-0.003886764429962,-0.004385503056393709,-0.0031819934646059147,-0.7287608941346828,0.0,-0.003635683735913387,-0.003648255480750021,-0.0043065230718521644,-0.0029726854628398004,-0.6907799098235435,0.0,-0.0021874209568093573,-0.0022166178877086624,-0.002604131830343429,-0.001695979484906765,-0.415609981793778,0.0,-0.001371212385351458,-0.0013867668765255026,-0.0016851010966038847,-0.0010443843319306288,-0.26053035321677703,0.0,-0.0011448179770287615,-0.0011372184619401473,-0.001485509682150047,-0.0009298734676905472,-0.21751541563546467,0.0,-0.001276265431947569,-0.0012723178512468148,-0.0016580455076032256,-0.0009121854489160373,-0.2424904320700381,0.0,-0.001290069260287788,-0.0012879190254606,-0.0018589247309454238,-0.0007960304420800929,-0.2451131594546797,0.0,-0.0017772480093419035,-0.0018054084875589254,-0.0027159294053120393,-0.0010780301923816982,-0.3376771217749617,0.0,-0.002167035044129011,-0.002244087498844996,-0.002765050665747904,-0.0012779609693043105,-0.411736658384512,0.0,-0.0033960241302017106,-0.0033383600801870487,-0.004295303522148009,-0.0028991007931080236,-0.6452445847383249,0.0
ZMB.2.1_1,7.0,-0.0035672032669684687,-0.003549235609511568,-0.0037544511200602367,-0.0034073691355520496,-0.02497042286877928,0.0,-0.0036139120257011616,-0.0035943845630664398,-0.0037951579895399335,-0.0034310627157058226,-0.025297384179908133,0.0,-0.0035493951704044227,-0.003509786033698196,-0.003737047784236586,-0.003367120678164112,-0.024845766192830958,0.0,-0.003610480993352743,-0.0035997733353686687,-0.0037087578135201406,-0.0035229991592456633,-0.0252733669534692,0.0,-0.0017747460576678785,-0.0017998175867450215,-0.0019137491908077216,-0.0015479562655325019,-0.01242322240367515,0.0,-0.0010315292940838877,-0.0010406703593518242,-0.0011215982961958976,-0.0008500803018007548,-0.007220705058587212,0.0,-0.0008444745400173327,-0.0008621542716287876,-0.0009160679454710553,-0.000687628117676718,-0.005911321780121329,0.0,-0.0009394945547707543,-0.0009486906445734695,-0.0010282781866785304,-0.000739760024784417,-0.006576461883395281,0.0,-0.0009991836747635897,-0.0010090069233787543,-0.0011065333129901297,-0.0007759227870974872,-0.006994285723345127,0.0,-0.0017918556108683491,-0.0018367927987428504,-0.001943788326495945,-0.001530187363891274,-0.012542989276078444,0.0,-0.002807806150938443,-0.0028107652059115107,-0.002947308897037305,-0.002646414001405502,-0.01965464305656909,0.0,-0.0033616658600763107,-0.00335041992544398,-0.0035289415068332376,-0.003209108834131454,-0.02353166102053417,0.0
ZMB.2.2_1,8.0,-0.0035459018920024686,-0.003510931327361565,-0.0038446757350275203,-0.003388255815532159,-0.04609672459603209,0.0,-0.0035915694164684853,-0.0035736165247615384,-0.003846583035677361,-0.003433913425417865,-0.04669040241409031,0.0,-0.003510526817103119,-0.003491653020936464,-0.003767008619768864,-0.003350822205875706,-0.04563684862234055,0.0,-0.003495387213547527,-0.003489078707138188,-0.003598456234164083,-0.003353050715038871,-0.04544003377611785,0.0,-0.0017023092332545955,-0.0017266985843117158,-0.0019014960607899247,-0.001468542247883161,-0.022130020032309745,0.0,-0.0010076994009099985,-0.001011542180274942,-0.0011729350848422241,-0.0008481250727722441,-0.013100092211829978,0.0,-0.0008339846584338097,-0.0008310482765980884,-0.0010129419158448753,-0.0006938567575488875,-0.010841800559639523,0.0,-0.0009389431157142666,-0.0009321344736350528,-0.0011589745083802649,-0.0007636056322369392,-0.012206260504285466,0.0,-0.001005106064082887,-0.0009895778372451952,-0.001291065621089852,-0.0008007006865947853,-0.013066378833077529,0.0,-0.001785512622061284,-0.0018034985537981444,-0.0020098753312149985,-0.0015393677283206714,-0.02321166408679669,0.0,-0.002826192677096516,-0.002847772754108639,-0.002989176824431373,-0.002593638923925023,-0.03674050480225472,0.0,-0.0033344880891478393,-0.0032913283030115512,-0.003543177293539489,-0.0031865688298356428,-0.04334834515892192,0.0
ZMB.2.3_1,9.0,-0.003677851037845428,-0.003673952021543676,-0.0039422571144841975,-0.0034320866397546303,-0.040456361416299706,0.0,-0.0036622059604414,-0.003693560933809193,-0.0039052061044364283,-0.003473582066692775,-0.0402842655648554,0.0,-0.0036026501554771366,-0.003643974385982686,-0.003839033803987657,-0.003402142975302817,-0.039629151710248514,0.0,-0.0034593234750709663,-0.0034651681705773385,-0.003665584888464829,-0.003220283445107568,-0.03805255822578063,0.0,-0.0016156224768433378,-0.0016241344896880427,-0.0018728815717655085,-0.0014183623182540779,-0.017771847245276716,0.0,-0.0009380428130784883,-0.0009628615893118699,-0.0011694937314436606,-0.0007948260599318143,-0.010318470943863373,0.0,-0.0007762896670197362,-0.0008023227601159843,-0.0010238988006773604,-0.0006178874424754693,-0.0085391863372171,0.0,-0.0008600476122205794,-0.0008949356564641619,-0.0011547233155418145,-0.0006620710612611554,-0.009460523734426374,0.0,-0.0009211062415060273,-0.0009380260923571642,-0.0013036668384243009,-0.0007358745657065673,-0.0101321686565663,0.0,-0.0016077254091129574,-0.0015962538335421547,-0.0020106618631776803,-0.0014535590715213686,-0.017684979500242542,0.0,-0.002645881982358507,-0.002607606947088496,-0.002906365016089991,-0.002479841081340029,-0.029104701805943576,0.0,-0.003292355073573528,-0.003329673270402909,-0.0035196392105721094,-0.003086878013711452,-0.03621590580930882,0.0
ZMB.2.4_1,10.0,-0.003733080901314553,-0.003727142169027928,-0.003863008674796599,-0.0036180963749834734,-0.03359772811183098,0.0,-0.003672303319884168,-0.0036607026925410736,-0.003825398580929961,-0.0035208590469884772,-0.033050729878957505,0.0,-0.003724075060895684,-0.0037250386825779117,-0.003931112474800886,-0.003502691744759649,-0.033516675548061155,0.0,-0.00369263214017469,-0.003712365519334503,-0.0038799637341935976,-0.0035511201706393603,-0.033233689261572205,0.0,-0.0017899171502344289,-0.0018068984848113208,-0.0019603988947262123,-0.001574600880326605,-0.01610925435210986,0.0,-0.001028875759309311,-0.0010682512054130504,-0.0011253639079262085,-0.0008494853485659482,-0.0092598818337838,0.0,-0.0008518650136891395,-0.0008899826293340498,-0.0009508554287191842,-0.0006815365875254138,-0.007666785123202255,0.0,-0.0009566553457218387,-0.0010101273454686157,-0.0010749886772555496,-0.0007262996948730088,-0.00860989811149655,0.0,-0.0010180581116900943,-0.0010756362714120274,-0.0011705614318414466,-0.0007603591335192014,-0.009162523005210848,0.0,-0.0015948961202121325,-0.0016050310140777301,-0.0017383261552204375,-0.0014385274028031812,-0.01435406508190919,0.0,-0.0026725079779425878,-0.002692182431930787,-0.0027685514699503128,-0.002573505987486907,-0.02405257180148329,0.0,-0.003288577050861073,-0.003277488132080805,-0.003437789318795494,-0.003137804400144863,-0.02959719345774965,0.0
